gene_a	gene_b	in_dna_loose	cls	core_recip	aln_frac	fold	residual	exon_ratio	intron_cos	njunc_min	block_ident	concentration	total_frac	ident_disp	expr_ratio	log_expr_diff	npsv_min	nsun_min	l4_present
LOC101128106	LOC101136009	0	genuine	0.2161	0.0000	4	0	0.6667	0.9612	1.3863	0.0000	0.0000	0.0000	0.0000	0.5455	0.5390	NA	NA	0
LOC101128106	LOC101137462	0	genuine	0.1660	0.0000	4	0	0.6667	0.9658	1.3863	0.0000	0.0000	0.0000	0.0000	0.6875	0.3483	NA	NA	0
LOC101128106	LOC101141027	0	genuine	0.1627	0.0000	4	0	0.6667	0.9673	1.3863	0.0000	0.0000	0.0000	0.0000	0.4074	0.8473	NA	NA	0
LOC101128106	LOC101142646	0	genuine	0.1328	0.0000	4	0	0.5000	0.9233	1.0986	0.0000	0.0000	0.0000	0.0000	0.2727	1.0986	NA	NA	0
LOC101128106	LOC101144838	0	genuine	0.1748	0.0000	4	0	0.8333	0.9666	1.6094	0.0000	0.0000	0.0000	0.0000	0.5238	0.6061	NA	NA	0
LOC101128106	LOC101146634	0	genuine	0.2042	0.0000	4	0	0.3333	0.7531	0.6931	0.0000	0.0000	0.0000	0.0000	0.3636	0.8755	NA	NA	0
LOC101128106	LOC101147715	0	genuine	0.1636	0.0000	4	0	0.6667	0.9439	1.3863	0.0000	0.0000	0.0000	0.0000	0.3636	0.8755	NA	NA	0
LOC101128106	LOC101153126	0	genuine	0.1632	0.0000	4	0	0.6667	0.9672	1.3863	0.0000	0.0000	0.0000	0.0000	0.0809	2.4351	NA	NA	0
LOC101128106	LOC115930172	0	genuine	0.1659	0.0000	4	0	0.6667	0.9647	1.3863	0.0000	0.0000	0.0000	0.0000	0.2895	1.1787	NA	NA	0
LOC101128106	LOC115931567	0	genuine	0.2754	0.0000	4	0	0.8333	0.9734	1.6094	0.0000	0.0000	0.0000	0.0000	0.8182	0.1823	NA	NA	0
LOC101128106	LOC115931568	0	genuine	0.1672	0.0000	4	0	0.6667	0.9601	1.3863	0.0000	0.0000	0.0000	0.0000	0.1392	1.8971	NA	NA	0
LOC101128106	LOC115931576	0	genuine	0.1907	0.0000	4	0	0.6667	0.9278	1.3863	0.0000	0.0000	0.0000	0.0000	0.5500	0.5596	NA	NA	0
LOC101128106	LOC129527827	0	genuine	0.1445	0.0000	4	0	0.6667	0.9620	1.3863	0.0000	0.0000	0.0000	0.0000	0.2727	1.0986	NA	NA	0
LOC101128106	LOC129528947	0	genuine	0.2015	0.0000	4	0	0.6667	0.9663	1.3863	0.0000	0.0000	0.0000	0.0000	0.8462	0.1542	NA	NA	0
LOC101128106	ZNF141	0	genuine	0.1548	0.0000	4	0	0.6667	0.8521	1.3863	0.0000	0.0000	0.0000	0.0000	0.0940	2.2858	NA	NA	0
LOC101128106	ZNF254	0	genuine	0.1746	0.5160	4	0	0.3333	0.7531	0.6931	0.8034	1.0000	0.5160	0.0859	0.3636	0.8755	NA	NA	0
LOC101128106	ZNF273	0	genuine	0.2066	0.0000	4	0	0.6667	0.9560	1.3863	0.0000	0.0000	0.0000	0.0000	0.6364	0.4055	NA	NA	0
LOC101128106	ZNF429	0	genuine	0.2029	0.0000	4	0	0.3333	0.7531	0.6931	0.0000	0.0000	0.0000	0.0000	0.2727	1.0986	NA	NA	0
LOC101128106	ZNF43	0	genuine	0.1880	0.0000	4	0	0.6667	0.8772	1.3863	0.0000	0.0000	0.0000	0.0000	0.3056	1.1260	NA	NA	0
LOC101128106	ZNF506	0	genuine	0.2032	0.0000	4	0	0.3333	0.7531	0.6931	0.0000	0.0000	0.0000	0.0000	0.8462	0.1542	NA	NA	0
LOC101128106	ZNF595	0	genuine	0.1640	0.0000	4	0	0.3333	0.7531	0.6931	0.0000	0.0000	0.0000	0.0000	0.5238	0.6061	NA	NA	0
LOC101128106	ZNF626	0	genuine	0.1997	0.0000	4	0	0.3333	0.7531	0.6931	0.0000	0.0000	0.0000	0.0000	0.5238	0.6061	NA	NA	0
LOC101128106	ZNF675	0	genuine	0.3447	0.0000	4	0	0.6667	0.9138	1.3863	0.0000	0.0000	0.0000	0.0000	0.4400	0.7732	NA	NA	0
LOC101128106	ZNF678	0	genuine	0.1801	0.0000	4	0	0.6667	0.8144	1.3863	0.0000	0.0000	0.0000	0.0000	0.7333	0.2877	NA	NA	0
LOC101128106	ZNF681	0	genuine	0.1632	0.0000	4	0	0.6667	0.9128	1.3863	0.0000	0.0000	0.0000	0.0000	0.4400	0.7732	NA	NA	0
LOC101128106	ZNF682	0	genuine	0.2089	0.0000	4	0	0.6667	0.9624	1.3863	0.0000	0.0000	0.0000	0.0000	0.4231	0.8109	NA	NA	0
LOC101128106	ZNF695	0	genuine	0.2171	0.0000	4	0	0.6667	0.9627	1.3863	0.0000	0.0000	0.0000	0.0000	0.9091	0.0870	NA	NA	0
LOC101128106	ZNF721	0	genuine	0.1671	0.0000	4	0	0.3333	0.7531	0.6931	0.0000	0.0000	0.0000	0.0000	0.2727	1.0986	NA	NA	0
LOC101128106	ZNF723	0	genuine	0.1615	0.0000	4	0	0.6667	0.9466	1.3863	0.0000	0.0000	0.0000	0.0000	0.3636	0.8755	NA	NA	0
LOC101128106	ZNF727	0	genuine	0.1382	0.0000	4	0	0.6667	0.9041	1.3863	0.0000	0.0000	0.0000	0.0000	0.6471	0.4055	NA	NA	0
LOC101128106	ZNF8	0	genuine	0.1787	0.0000	4	0	0.6667	0.9437	1.3863	0.0000	0.0000	0.0000	0.0000	0.2973	1.1527	NA	NA	0
LOC101128351	LOC101128712	1	TP	0.3863	0.3797	4	0	1.0000	1.0000	1.3863	0.9295	1.0000	0.3797	0.0419	0.5417	0.5960	NA	NA	0
LOC101128351	LOC101129789	0	genuine	0.1489	0.0000	4	0	0.5000	0.9991	0.6931	0.0000	0.0000	0.0000	0.0000	0.5000	0.6568	NA	NA	0
LOC101128351	LOC101130507	0	truthbar	0.3328	0.8408	4	0	1.0000	1.0000	1.3863	0.8377	1.0000	0.8408	0.0570	0.2989	1.1815	NA	NA	0
LOC101128351	LOC101130877	0	truthbar	0.2878	0.4769	4	0	1.0000	0.9999	1.3863	0.7925	1.0000	0.4769	0.1819	0.9630	0.0364	NA	NA	0
LOC101128351	LOC101148180	0	truthbar	0.1390	0.0000	4	0	1.0000	0.9968	1.3863	0.0000	0.0000	0.0000	0.0000	0.5200	0.6360	NA	NA	0
LOC101128351	LOC101153725	0	truthbar	0.1544	0.0000	4	0	1.0000	0.9760	1.3863	0.0000	0.0000	0.0000	0.0000	0.1538	1.6864	NA	NA	0
LOC101128351	LOC101154200	0	truthbar	0.1579	0.0000	4	0	1.0000	0.9994	1.3863	0.0000	0.0000	0.0000	0.0000	0.2600	1.3193	NA	NA	0
LOC101128351	LOC109024269	0	genuine	0.1501	0.0000	4	0	0.5000	0.9991	0.6931	0.0000	0.0000	0.0000	0.0000	0.1538	1.6864	NA	NA	0
LOC101128351	LOC109025073	0	truthbar	0.2418	0.0000	4	0	0.7500	0.9963	1.0986	0.0000	0.0000	0.0000	0.0000	0.3077	1.0986	NA	NA	0
LOC101128351	ZNF124	0	truthbar	0.1477	0.0000	4	0	1.0000	0.9936	1.3863	0.0000	0.0000	0.0000	0.0000	0.1154	1.9095	NA	NA	0
LOC101128351	ZNF136	0	truthbar	0.2468	0.0000	4	0	1.0000	0.9997	1.3863	0.0000	0.0000	0.0000	0.0000	0.1955	1.6020	NA	NA	0
LOC101128351	ZNF14	0	truthbar	0.1623	0.0000	4	0	1.0000	0.9999	1.3863	0.0000	0.0000	0.0000	0.0000	0.2708	1.2789	NA	NA	0
LOC101128351	ZNF433	0	truthbar	0.2222	0.3556	4	0	1.0000	0.9996	1.3863	0.7740	1.0000	0.3556	0.0361	0.8077	0.2048	NA	NA	0
LOC101128351	ZNF440	0	truthbar	0.4007	0.9349	4	0	1.0000	0.9998	1.3863	0.7601	1.0000	0.9349	0.3236	0.6923	0.3514	NA	NA	0
LOC101128351	ZNF443	0	truthbar	0.2164	0.0000	4	0	1.0000	0.9984	1.3863	0.0000	0.0000	0.0000	0.0000	0.1557	1.8281	NA	NA	0
LOC101128351	ZNF490	0	truthbar	0.2127	0.0000	4	0	0.8000	0.9992	1.3863	0.0000	0.0000	0.0000	0.0000	0.2692	1.2164	NA	NA	0
LOC101128351	ZNF563	0	truthbar	0.2506	0.0000	4	0	1.0000	0.9911	1.3863	0.0000	0.0000	0.0000	0.0000	0.6154	0.4626	NA	NA	0
LOC101128351	ZNF57	0	truthbar	0.1815	0.0000	4	0	1.0000	0.9999	1.3863	0.0000	0.0000	0.0000	0.0000	0.4561	0.7646	NA	NA	0
LOC101128351	ZNF627	0	truthbar	0.2606	0.0000	4	0	1.0000	0.9981	1.3863	0.0000	0.0000	0.0000	0.0000	0.0959	2.3100	NA	NA	0
LOC101128351	ZNF669	0	truthbar	0.2632	0.0000	4	0	1.0000	0.9846	1.3863	0.0000	0.0000	0.0000	0.0000	0.1154	1.9095	NA	NA	0
LOC101128351	ZNF77	0	truthbar	0.1570	0.0000	4	0	1.0000	0.8992	1.3863	0.0000	0.0000	0.0000	0.0000	0.9615	0.0377	NA	NA	0
LOC101128351	ZNF799	0	truthbar	0.1655	0.0000	4	0	1.0000	0.9984	1.3863	0.0000	0.0000	0.0000	0.0000	0.6341	0.4418	NA	NA	0
LOC101128351	ZNF823	0	truthbar	0.4682	0.0000	4	0	0.5000	0.9991	0.6931	0.0000	0.0000	0.0000	0.0000	0.3077	1.0986	NA	NA	0
LOC101128458	LOC115931020	1	TP	0.3547	0.7913	1	0	1.0000	0.9952	2.4849	0.9403	1.0000	0.7913	0.0508	0.9600	0.0392	NA	NA	0
LOC101128585	LOC134758598	0	truthbar	0.2600	0.2303	1	0	1.0000	1.0000	0.6931	0.8311	1.0000	0.2303	0.0709	0.5294	0.5878	NA	NA	0
LOC101128712	LOC101130507	0	truthbar	0.2571	0.6707	4	0	1.0000	1.0000	1.3863	0.8683	1.0000	0.6707	0.0569	0.5517	0.5855	NA	NA	0
LOC101128712	LOC101130877	0	truthbar	0.1975	0.4111	4	0	1.0000	0.9999	1.3863	0.8433	1.0000	0.4111	0.0496	0.5625	0.5596	NA	NA	0
LOC101128712	LOC101153725	0	truthbar	0.1677	0.0000	4	0	1.0000	0.9766	1.3863	0.0000	0.0000	0.0000	0.0000	0.0833	2.2824	NA	NA	0
LOC101128712	LOC101153837	0	truthbar	0.2430	0.0000	4	0	1.0000	1.0000	1.3863	0.0000	0.0000	0.0000	0.0000	0.4583	0.7563	NA	NA	0
LOC101128712	LOC101154200	0	truthbar	0.1390	0.0000	4	0	1.0000	0.9995	1.3863	0.0000	0.0000	0.0000	0.0000	0.4800	0.7233	NA	NA	0
LOC101128712	LOC109024269	0	genuine	0.1376	0.0000	4	0	0.5000	0.9990	0.6931	0.0000	0.0000	0.0000	0.0000	0.0833	2.2824	NA	NA	0
LOC101128712	LOC109025073	0	truthbar	0.2418	0.0000	4	0	0.7500	0.9965	1.0986	0.0000	0.0000	0.0000	0.0000	0.1667	1.6946	NA	NA	0
LOC101128712	ZNF124	0	truthbar	0.1423	0.0000	4	0	1.0000	0.9939	1.3863	0.0000	0.0000	0.0000	0.0000	0.0625	2.5055	NA	NA	0
LOC101128712	ZNF136	0	truthbar	0.2229	0.0000	4	0	1.0000	0.9997	1.3863	0.0000	0.0000	0.0000	0.0000	0.3609	1.0060	NA	NA	0
LOC101128712	ZNF14	0	truthbar	0.1330	0.0000	4	0	1.0000	0.9999	1.3863	0.0000	0.0000	0.0000	0.0000	0.5000	0.6829	NA	NA	0
LOC101128712	ZNF433	0	truthbar	0.2265	0.0000	4	0	1.0000	0.9996	1.3863	0.0000	0.0000	0.0000	0.0000	0.4375	0.8008	NA	NA	0
LOC101128712	ZNF440	1	TP	0.4939	0.5917	4	0	1.0000	0.9999	1.3863	0.9470	1.0000	0.5917	0.0345	0.3750	0.9474	NA	NA	0
LOC101128712	ZNF443	0	truthbar	0.2000	0.0000	4	0	1.0000	0.9986	1.3863	0.0000	0.0000	0.0000	0.0000	0.2874	1.2321	NA	NA	0
LOC101128712	ZNF490	0	truthbar	0.1492	0.0000	4	0	0.8000	0.9993	1.3863	0.0000	0.0000	0.0000	0.0000	0.1458	1.8124	NA	NA	0
LOC101128712	ZNF563	0	truthbar	0.2201	0.0000	4	0	1.0000	0.9915	1.3863	0.0000	0.0000	0.0000	0.0000	0.3333	1.0586	NA	NA	0
LOC101128712	ZNF564	0	truthbar	0.1619	0.0000	4	0	1.0000	0.9997	1.3863	0.0000	0.0000	0.0000	0.0000	0.2840	1.2440	NA	NA	0
LOC101128712	ZNF57	0	truthbar	0.1486	0.0000	4	0	1.0000	0.9999	1.3863	0.0000	0.0000	0.0000	0.0000	0.8421	0.1686	NA	NA	0
LOC101128712	ZNF627	0	truthbar	0.2351	0.0000	4	0	1.0000	0.9982	1.3863	0.0000	0.0000	0.0000	0.0000	0.1771	1.7140	NA	NA	0
LOC101128712	ZNF669	0	truthbar	0.1727	0.0000	4	0	1.0000	0.9850	1.3863	0.0000	0.0000	0.0000	0.0000	0.0625	2.5055	NA	NA	0
LOC101128712	ZNF77	0	truthbar	0.1771	0.0000	4	0	1.0000	0.9003	1.3863	0.0000	0.0000	0.0000	0.0000	0.5208	0.6337	NA	NA	0
LOC101128712	ZNF799	0	truthbar	0.1332	0.0000	4	0	1.0000	0.9985	1.3863	0.0000	0.0000	0.0000	0.0000	0.8542	0.1542	NA	NA	0
LOC101128712	ZNF823	0	truthbar	0.3392	0.0000	4	0	0.5000	0.9990	0.6931	0.0000	0.0000	0.0000	0.0000	0.1667	1.6946	NA	NA	0
LOC101128844	LOC101133546	0	truthbar	0.1392	0.0000	4	0	1.0000	0.9278	1.3863	0.0000	0.0000	0.0000	0.0000	0.7045	0.3409	NA	NA	0
LOC101128844	LOC101133668	0	genuine	0.2228	0.0000	4	0	0.8000	0.9849	1.3863	0.0000	0.0000	0.0000	0.0000	0.0968	2.0794	NA	NA	0
LOC101128844	LOC101136009	0	truthbar	0.1971	0.0000	4	0	1.0000	0.9841	1.3863	0.0000	0.0000	0.0000	0.0000	0.1935	1.5198	NA	NA	0
LOC101128844	LOC101137462	0	truthbar	0.2847	0.5651	4	0	1.0000	0.9971	1.3863	0.6444	1.0000	0.5651	0.3405	0.5161	0.6325	NA	NA	0
LOC101128844	LOC101141027	0	truthbar	0.1879	1.1330	4	0	1.0000	0.9903	1.3863	0.6059	1.0000	1.1330	0.3699	0.8710	0.1335	NA	NA	0
LOC101128844	LOC101142646	0	truthbar	0.1792	0.0000	4	0	0.7500	0.9934	1.0986	0.0000	0.0000	0.0000	0.0000	0.0968	2.0794	NA	NA	0
LOC101128844	LOC101144119	0	genuine	0.1443	0.0000	4	0	0.5000	0.8672	0.6931	0.0000	0.0000	0.0000	0.0000	0.1935	1.5198	NA	NA	0
LOC101128844	LOC101144838	0	truthbar	0.2470	0.3831	4	0	0.8000	0.9973	1.3863	0.7268	1.0000	0.3810	0.2994	0.6774	0.3747	NA	NA	0
LOC101128844	LOC101145945	0	truthbar	0.2709	0.4926	4	0	1.0000	0.9950	1.3863	0.7370	1.0000	0.4926	0.2830	0.2903	1.1632	NA	NA	0
LOC101128844	LOC101146634	0	truthbar	0.2618	0.0000	4	0	1.0000	0.9866	1.3863	0.6760	1.0000	0.7090	0.3080	0.6129	0.4700	NA	NA	0
LOC101128844	LOC101147715	0	truthbar	0.2417	0.4532	4	0	1.0000	0.9973	1.3863	0.6460	1.0000	0.4532	0.3339	0.1290	1.8563	NA	NA	0
LOC101128844	LOC101150965	0	genuine	0.1348	0.0000	4	0	0.8000	0.8069	1.3863	0.0000	0.0000	0.0000	0.0000	0.4194	0.8267	NA	NA	0
LOC101128844	LOC101152401	0	truthbar	0.1450	0.0000	4	0	1.0000	0.9467	1.3863	0.0000	0.0000	0.0000	0.0000	0.5806	0.5213	NA	NA	0
LOC101128844	LOC101153126	0	truthbar	0.3888	0.4022	4	0	1.0000	0.9940	1.3863	0.8257	1.0000	0.4022	0.0607	0.2279	1.4542	NA	NA	0
LOC101128844	LOC109026610	0	truthbar	0.1440	0.0000	4	0	1.0000	0.9518	1.3863	0.0000	0.0000	0.0000	0.0000	0.8611	0.1452	NA	NA	0
LOC101128844	LOC115930172	0	genuine	0.1497	0.4939	4	0	1.0000	0.9977	1.3863	0.7249	1.0000	0.4939	0.2793	0.8158	0.1978	NA	NA	0
LOC101128844	LOC115931567	0	truthbar	0.4894	0.5447	4	0	0.8000	0.9877	1.3863	0.8352	1.0000	0.5447	0.0532	0.2903	1.1632	NA	NA	0
LOC101128844	LOC115931568	0	truthbar	0.3632	0.0000	4	0	1.0000	0.9806	1.3863	0.0000	0.0000	0.0000	0.0000	0.3924	0.9163	NA	NA	0
LOC101128844	LOC115931576	0	truthbar	0.4690	0.3219	4	0	1.0000	0.9926	1.3863	0.6988	0.5919	0.5438	0.3120	0.6452	0.4212	NA	NA	0
LOC101128844	LOC115931654	0	truthbar	0.3512	0.0000	4	0	1.0000	0.9130	1.3863	0.0000	0.0000	0.0000	0.0000	0.6458	0.4261	NA	NA	0
LOC101128844	LOC115931857	0	truthbar	0.1995	0.0000	4	0	0.7500	0.9938	1.0986	0.0000	0.0000	0.0000	0.0000	0.5806	0.5213	NA	NA	0
LOC101128844	LOC129527827	0	genuine	0.2277	0.7197	4	0	1.0000	0.9789	1.3863	0.7223	1.0000	0.7197	0.2605	0.0968	2.0794	NA	NA	0
LOC101128844	LOC129528947	0	genuine	0.4093	0.6032	4	0	1.0000	0.9903	1.3863	0.6750	0.5717	1.0551	0.3262	0.4194	0.8267	NA	NA	0
LOC101128844	ZNF141	0	truthbar	0.1937	0.0000	4	0	1.0000	0.9440	1.3863	0.0000	0.0000	0.0000	0.0000	0.2650	1.3049	NA	NA	0
LOC101128844	ZNF195	0	truthbar	0.1687	0.0000	4	0	0.8000	0.9627	1.3863	0.0000	0.0000	0.0000	0.0000	0.3196	1.1192	NA	NA	0
LOC101128844	ZNF254	0	truthbar	0.2621	0.0000	4	0	0.5000	0.8672	0.6931	0.0000	0.0000	0.0000	0.0000	0.1290	1.8563	NA	NA	0
LOC101128844	ZNF267	0	truthbar	0.3053	0.0000	4	0	1.0000	0.9848	1.3863	0.0000	0.0000	0.0000	0.0000	0.0706	2.6210	NA	NA	0
LOC101128844	ZNF273	0	truthbar	0.4169	0.5642	4	0	1.0000	0.9727	1.3863	0.6890	1.0000	0.5642	0.3259	0.2258	1.3863	NA	NA	0
LOC101128844	ZNF28	0	truthbar	0.1408	0.0000	4	0	0.8000	0.8791	1.3863	0.0000	0.0000	0.0000	0.0000	0.3647	0.9886	NA	NA	0
LOC101128844	ZNF415	0	truthbar	0.1865	0.0000	4	0	1.0000	0.9866	1.0986	0.0000	0.0000	0.0000	0.0000	0.3871	0.9008	NA	NA	0
LOC101128844	ZNF429	0	truthbar	0.3026	0.9210	4	0	1.0000	0.9791	1.3863	0.6983	1.0000	0.9210	0.2953	0.5636	0.5596	NA	NA	0
LOC101128844	ZNF430	0	truthbar	0.3937	0.5293	4	0	0.8000	0.9917	1.3863	0.6996	1.0000	0.5293	0.3172	0.7209	0.3185	NA	NA	0
LOC101128844	ZNF468	0	truthbar	0.1382	0.0000	4	0	0.8000	0.8392	1.3863	0.0000	0.0000	0.0000	0.0000	0.2583	1.3301	NA	NA	0
LOC101128844	ZNF486	0	truthbar	0.2185	0.0000	4	0	0.8000	0.9939	1.3863	0.0000	0.0000	0.0000	0.0000	0.1613	1.6740	NA	NA	0
LOC101128844	ZNF506	0	truthbar	0.1879	0.0000	4	0	1.0000	0.9851	1.3863	0.0000	0.0000	0.0000	0.0000	0.3974	0.9037	NA	NA	0
LOC101128844	ZNF519	0	truthbar	0.2269	0.0000	4	0	0.5000	0.8672	0.6931	0.0000	0.0000	0.0000	0.0000	0.3871	0.9008	NA	NA	0
LOC101128844	ZNF578	0	truthbar	0.1880	0.0000	4	0	0.6667	0.9573	1.3863	0.0000	0.0000	0.0000	0.0000	0.5806	0.5213	NA	NA	0
LOC101128844	ZNF595	0	truthbar	0.1894	0.0000	4	0	1.0000	0.9548	1.3863	0.0000	0.0000	0.0000	0.0000	0.2650	1.3049	NA	NA	0
LOC101128844	ZNF611	0	truthbar	0.2486	0.0000	4	0	1.0000	0.9879	1.3863	0.0000	0.0000	0.0000	0.0000	0.7419	0.2877	NA	NA	0
LOC101128844	ZNF675	0	truthbar	0.2357	0.8447	4	0	1.0000	0.9833	1.3863	0.8108	1.0000	0.8447	0.0574	0.8065	0.2076	NA	NA	0
LOC101128844	ZNF678	0	truthbar	0.3191	0.0000	4	0	1.0000	0.9038	1.3863	0.0000	0.0000	0.0000	0.0000	0.4839	0.6931	NA	NA	0
LOC101128844	ZNF680	0	truthbar	0.3235	0.5558	4	0	1.0000	0.9957	1.3863	0.8076	1.0000	0.5558	0.0625	0.2897	1.2164	NA	NA	0
LOC101128844	ZNF681	0	truthbar	0.2810	0.3983	4	0	1.0000	0.9794	1.3863	0.8421	1.0000	0.3983	0.0514	0.8065	0.2076	NA	NA	0
LOC101128844	ZNF682	0	truthbar	0.1842	0.0000	4	0	1.0000	0.9689	1.3863	0.0000	0.0000	0.0000	0.0000	0.8387	0.1699	NA	NA	0
LOC101128844	ZNF695	0	truthbar	0.1803	0.0000	4	0	1.0000	0.9895	1.3863	0.0000	0.0000	0.0000	0.0000	0.3226	1.0678	NA	NA	0
LOC101128844	ZNF721	0	truthbar	0.5053	0.0000	4	0	0.5000	0.8672	0.6931	0.0000	0.0000	0.0000	0.0000	0.0968	2.0794	NA	NA	0
LOC101128844	ZNF723	0	truthbar	0.3709	0.7293	4	0	1.0000	0.9977	1.3863	0.7709	1.0000	0.7293	0.2526	0.1290	1.8563	NA	NA	0
LOC101128844	ZNF727	0	truthbar	0.1607	0.0000	4	0	1.0000	0.9795	1.3863	0.0000	0.0000	0.0000	0.0000	0.5484	0.5754	NA	NA	0
LOC101128844	ZNF736	0	truthbar	0.2698	0.0000	4	0	1.0000	0.9985	1.3863	0.0000	0.0000	0.0000	0.0000	0.2258	1.3863	NA	NA	0
LOC101128844	ZNF761	0	truthbar	0.1765	0.0000	4	0	0.8000	0.9692	1.3863	0.0000	0.0000	0.0000	0.0000	0.2480	1.3705	NA	NA	0
LOC101128844	ZNF808	0	truthbar	0.3886	0.0000	4	0	0.8000	0.8751	1.3863	0.0000	0.0000	0.0000	0.0000	0.7750	0.2478	NA	NA	0
LOC101128844	ZNF813	0	truthbar	0.2374	0.0000	4	0	1.0000	0.9679	1.3863	0.0000	0.0000	0.0000	0.0000	0.4133	0.8650	NA	NA	0
LOC101128844	ZNF83	0	truthbar	0.2181	0.0000	4	0	1.0000	0.9410	1.3863	0.0000	0.0000	0.0000	0.0000	0.2013	1.5777	NA	NA	0
LOC101128844	ZNF836	0	truthbar	0.2069	0.0000	4	0	0.8000	0.9593	1.3863	0.0000	0.0000	0.0000	0.0000	0.1613	1.6740	NA	NA	0
LOC101128844	ZNF841	0	truthbar	0.1440	0.0000	4	0	0.5714	0.8518	1.3863	0.0000	0.0000	0.0000	0.0000	0.8857	0.1178	NA	NA	0
LOC101128844	ZNF91	0	truthbar	0.3485	0.4613	4	0	1.0000	0.9995	1.3863	0.7329	1.0000	0.4613	0.0741	0.4769	0.7239	NA	NA	0
LOC101128844	ZNF92	0	truthbar	0.1687	0.0000	4	0	0.5000	0.8672	0.6931	0.0000	0.0000	0.0000	0.0000	0.1290	1.8563	NA	NA	0
LOC101128980	LOC134758331	0	genuine	0.5290	0.5302	0	0	1.0000	1.0000	0.6931	0.9932	1.0000	0.5302	0.0087	0.0142	3.9703	NA	NA	0
LOC101129171	LOC101133546	0	truthbar	0.1741	0.0000	4	0	1.0000	0.9521	1.3863	0.0000	0.0000	0.0000	0.0000	0.3259	1.1060	NA	NA	0
LOC101129171	LOC101133668	0	genuine	0.2263	0.0000	4	0	0.8000	0.9504	1.3863	0.0000	0.0000	0.0000	0.0000	0.0222	3.5264	NA	NA	0
LOC101129171	LOC101136009	0	truthbar	0.2177	0.7784	4	0	1.0000	0.9501	1.3863	0.5867	1.0000	0.7784	0.0936	0.0444	2.9667	NA	NA	0
LOC101129171	LOC101137462	0	truthbar	0.1727	0.5771	4	0	1.0000	0.9897	1.3863	0.7276	1.0000	0.5771	0.0608	0.1185	2.0794	NA	NA	0
LOC101129171	LOC101141027	0	truthbar	0.4252	0.6645	4	0	1.0000	0.9968	1.3863	0.8005	1.0000	0.6645	0.0708	0.2000	1.5805	NA	NA	0
LOC101129171	LOC101142646	0	truthbar	0.1943	0.0000	4	0	0.7500	0.9456	1.0986	0.0000	0.0000	0.0000	0.0000	0.0222	3.5264	NA	NA	0
LOC101129171	LOC101144838	0	truthbar	0.3269	0.0000	4	0	0.8000	0.9880	1.3863	0.0000	0.0000	0.0000	0.0000	0.1556	1.8216	NA	NA	0
LOC101129171	LOC101145945	0	truthbar	0.1766	0.0000	4	0	1.0000	0.9922	1.3863	0.0000	0.0000	0.0000	0.0000	0.0667	2.6101	NA	NA	0
LOC101129171	LOC101146634	0	truthbar	0.2569	0.0000	4	0	1.0000	0.9633	1.3863	0.0000	0.0000	0.0000	0.0000	0.1407	1.9169	NA	NA	0
LOC101129171	LOC101147715	0	truthbar	0.1940	0.0000	4	0	1.0000	0.9610	1.3863	0.0000	0.0000	0.0000	0.0000	0.0296	3.3032	NA	NA	0
LOC101129171	LOC101150965	0	genuine	0.1323	0.0000	4	0	0.8000	0.8655	1.3863	0.0000	0.0000	0.0000	0.0000	0.0963	2.2736	NA	NA	0
LOC101129171	LOC101153126	0	truthbar	0.3258	0.0000	4	0	1.0000	0.9942	1.3863	0.0000	0.0000	0.0000	0.0000	0.9926	0.0073	NA	NA	0
LOC101129171	LOC101153131	0	truthbar	0.1453	0.0000	4	0	1.0000	0.9532	1.3863	0.0000	0.0000	0.0000	0.0000	0.1630	1.7772	NA	NA	0
LOC101129171	LOC109024216	0	truthbar	0.2616	0.0000	4	0	1.0000	0.9440	1.3863	0.0000	0.0000	0.0000	0.0000	0.2593	1.3291	NA	NA	0
LOC101129171	LOC109026610	0	truthbar	0.2566	0.0000	4	0	1.0000	0.8669	1.3863	0.0000	0.0000	0.0000	0.0000	0.2667	1.3017	NA	NA	0
LOC101129171	LOC115930172	0	genuine	0.3269	0.9250	4	0	1.0000	0.9768	1.3863	0.7885	1.0000	0.9250	0.0618	0.2815	1.2491	NA	NA	0
LOC101129171	LOC115931567	0	truthbar	0.3263	0.3883	4	0	0.8000	0.9895	1.3863	0.8361	0.5729	0.6778	0.0769	0.2148	1.5115	NA	NA	0
LOC101129171	LOC115931568	0	truthbar	0.3534	0.0000	4	0	1.0000	0.9982	1.3863	0.0000	0.0000	0.0000	0.0000	0.5852	0.5306	NA	NA	0
LOC101129171	LOC115931576	0	truthbar	0.2438	0.4783	4	0	1.0000	0.9447	1.3863	0.7350	1.0000	0.4783	0.0748	0.1481	1.8681	NA	NA	0
LOC101129171	LOC115931654	0	truthbar	0.1373	0.0000	4	0	1.0000	0.9345	1.3863	0.0000	0.0000	0.0000	0.0000	0.3556	1.0208	NA	NA	0
LOC101129171	LOC129527827	0	genuine	0.2242	0.0000	4	0	1.0000	0.9987	1.3863	0.0000	0.0000	0.0000	0.0000	0.0222	3.5264	NA	NA	0
LOC101129171	LOC129528947	0	genuine	0.3269	0.4938	4	0	1.0000	0.9967	1.3863	0.7976	1.0000	0.4938	0.0852	0.0963	2.2736	NA	NA	0
LOC101129171	ZNF141	0	truthbar	0.2563	0.0000	4	0	1.0000	0.8543	1.3863	0.0000	0.0000	0.0000	0.0000	0.8667	0.1420	NA	NA	0
