family_id	n_genes	n_loci	n_contigs	cross_chrom	density	biotype_purity	repeat_mosaic	dom_biotype	compara_paralog	genes
GRFAM36	25	25	4	1	0.440	0.560	0	protein_coding	0	LOC115933714,LOC134757045,LOC129526450,LOC129527232,LOC134756975,LOC129527234,LOC134756976,LOC129526427,LOC134756395,LOC134756960,LOC115933423,LOC129526088,LOC101142994,LOC129526087,LOC129526444,LOC129526449,LOC134756958,LOC129527204,LOC134756956,LOC129527203,LOC129526137,LOC129526139,LOC129527253,LOC115930538,FEM1A
GRFAM37	25	25	1	0	0.490	0.880	0	protein_coding	0	LOC115935376,LOC115933167,LOC115933216,LOC115930131,LOC129523466,LOC134758926,LOC101127516,LOC115933283,LOC115935416,LOC129534727,LOC134758925,LOC115933256,LOC115935290,LOC129523901,LOC101146186,LOC101132319,LOC101127139,LOC115933217,LOC101126771,LOC115935262,LOC115933184,LOC101128488,SPDYE3,LOC101136273,LOC101130521
GRFAM38	25	23	1	0	0.240	0.800	0	protein_coding	0	LOC129523509,LOC101151425,LRRC37A3,LOC129533524,LOC101135518,ARL17A,LOC115934628,LOC101135168,LOC115934626,LOC134758431,LOC101151290,LOC115933002,LOC134758434,PLEKHM1,LOC109026957,ARHGAP27,LOC134758435,LOC101144084,LOC109026855,RDM1,LOC101128092,LOC134758541,LOC109026815,LOC101143223,LOC109026918
GRFAM39	23	23	1	0	0.253	0.870	0	protein_coding	0	AGAP5,LOC115935978,LOC129525050,LOC101143038,LOC101136048,WASHC2A,AGAP6,LOC129525002,LOC101144261,LOC129525006,LOC115932707,ANTXRL,LOC129525196,LOC101143406,LOC101143885,LOC129525008,LOC101136772,WASHC2C,LOC101141934,LOC101138261,LOC115935981,LOC101131388,FAM25A
GRFAM40	23	23	1	0	0.949	0.870	0	snoRNA	0	LOC101128211,LOC115930901,LOC115930884,LOC115930881,LOC115930877,LOC129527079,LOC115930902,LOC115930890,LOC115930882,LOC134757306,LOC115930888,LOC129527319,LOC115930898,LOC115930886,LOC129527309,LOC129527314,LOC129527322,LOC129527312,LOC129527320,LOC129527316,LOC129527324,LOC129527304,LOC129527303
GRFAM41	23	23	6	1	0.787	0.522	0	snRNA	0	LOC101150595,LOC115935635,POTEA,LOC115935650,LOC101139634,LOC115933815,LOC115933751,LOC129532245,LOC115933765,LOC115933811,LOC101140864,LOC129526511,LOC129527231,LOC129527297,LOC115933402,LOC115930628,LOC129527298,LOC129527244,LOC101135203,LOC134757302,LOC134757361,LOC129527300,LOC129527066
GRFAM42	23	23	1	0	0.893	0.913	0	snRNA	0	LOC115934024,LOC115932673,LOC115932646,LOC115932640,LOC115932426,LOC129530038,LOC115932649,LOC115932412,LOC115933276,LOC115933328,LOC129530015,LOC134758074,LOC129530032,LOC115932729,LOC129530031,LOC129530007,LOC129533299,LOC115933125,LOC115932730,LOC129530023,LOC115932870,LOC134758076,LOC115933117
GRFAM43	23	23	1	0	0.917	0.957	0	snoRNA	0	LOC129527326,LOC129527080,LOC129527325,LOC129527323,LOC129527308,LOC129527321,LOC129527327,LOC129527305,LOC115930887,LOC115930893,LOC115930899,LOC115930892,LOC129527307,LOC129527311,LOC115930878,LOC115930903,LOC115930891,LOC115930880,LOC115930883,LOC115930894,LOC129527306,LOC115930895,LOC115930879
GRFAM44	23	23	1	0	0.866	0.696	0	tRNA	0	TRNAN-GUU,TRNAN-GUU,TRNAN-GUU,TRNAN-GUU,TRNAN-GUU,TRNAN-GUU,TRNAN-GUU,TRNAN-GUU,TRNAN-GUU,LOC129533291,TRNAE-UUC,LOC134758588,TRNAN-GUU,LOC129533336,TRNAN-GUU,LOC129533334,TRNAN-GUU,LOC109023618,TRNAN-GUU,TRNAN-GUU,LOC134756448,LOC115932866,TRNAN-GUU
GRFAM45	22	22	2	1	0.307	0.909	0	protein_coding	0	LOC109023795,LOC101135886,ZNF808,ZNF701,LOC101151324,ZNF611,ZNF600,ZNF28,ZNF468,LOC101152401,ZNF888,LOC109024170,LOC101153131,LOC115931654,LOC109024216,LOC101133546,LOC101140029,LOC129528676,ZNF761,ZNF813,LOC109024093,LOC129528677
GRFAM46	22	22	1	0	0.359	0.864	0	protein_coding	0	LOC115932918,UPK3BL1,LOC115932795,DBNL,LOC129523857,LOC115935266,LOC115935268,LOC129534750,LOC109027627,LOC115935525,LOC101129811,LOC129534752,LOC115932796,LOC101130894,LOC115932798,LOC101136868,LOC101146405,LOC134758843,LOC115933185,LOC129523494,LOC115935415,LOC115935248
GRFAM47	22	22	14	1	0.615	0.909	0	protein_coding	0	LOC129527151,LOC129533108,LOC134757970,LOC115934976,LOC115936058,LOC129534573,LOC129534575,LOC129534111,LOC134758964,LOC129525035,LOC129525034,LOC129525550,LOC134756663,LOC129524559,LOC129524726,LOC134757253,LOC129528280,LOC129528948,TRNAK-CUU,LOC134757796,LOC129529606,LOC129529611
GRFAM48	22	22	1	0	1.000	1.000	0	protein_coding	0	LOC129528415,LOC129528410,LOC129528411,LOC129528417,LOC129528419,LOC129528414,LOC129528424,LOC129528422,LOC129528429,LOC129528421,LOC129528428,LOC129528420,LOC129528427,LOC129528423,LOC129528426,LOC129528418,LOC129528430,LOC129528416,LOC129528412,LOC134756367,LOC129528431,ELOA2
GRFAM49	20	20	2	1	0.300	1.000	0	protein_coding	0	LOC101131885,LOC101126098,LOC101125738,LOC101153414,LOC101154495,LOC101123911,LOC101151967,LOC101152321,LOC115934932,LOC101136257,LOC101136632,LOC109024886,LOC101143962,LOC101135184,LOC101133882,LOC101140761,LOC109023047,LOC101141136,LOC101141751,LOC101142132
GRFAM50	20	20	10	1	0.279	0.900	0	protein_coding	0	LOC101154368,LOC115933183,LOC129525230,LOC134758505,LOC101140340,LOC101139294,LOC101153588,LOC101147117,LOC101127555,LOC129525333,LOC115933479,LOC101144515,LOC101151494,LOC101135138,LOC101127811,LOC101154144,LOC101137179,LOC129526222,LOC115931217,LOC101152412
GRFAM51	19	19	1	0	0.269	0.684	0	protein_coding	0	LOC101133154,LOC101154187,LOC129533545,LOC109026769,LOC115934576,LOC115934787,LOC101143460,LOC115932997,LOC101125311,LOC101126519,LOC115932657,LGALS9C,LOC115934575,CCDC144A,LOC101127370,LOC115931314,LOC101126875,LOC129533382,LOC115934569
GRFAM52	19	19	8	1	0.327	0.632	0	protein_coding	0	LOC109026167,LOC115935444,LOC129524135,LOC129532218,LOC129524732,ANKRD18A,LOC101142047,LOC101141666,ANKRD18B,LOC115935773,LOC115935870,LOC101149535,LOC101147259,LOC115935881,LOC129524455,LOC134756977,LOC129528241,LOC129529296,LOC115935851
GRFAM53	19	19	2	1	0.287	0.632	0	lncRNA	0	LOC129532018,LOC129532019,LOC101144552,LOC134756692,LOC101143820,LOC101151284,LOC109025998,LOC129527796,LOC134757480,LOC134757481,LOC134757482,LOC134757483,LOC134757484,LOC134757485,LOC129527808,LOC129527809,POLR3K,SNRNP25,LOC129527459
GRFAM54	18	18	1	0	0.261	0.611	0	protein_coding	0	LOC101144119,LOC129534677,ZNF716,LOC129534710,LOC129523646,LOC129523644,LOC129523647,LOC101124000,LOC109027583,ZNF722,LOC109027736,LOC134758866,ZNF727,LOC101132213,ZNF735,ZNF679,LOC109027739,ZNF736
GRFAM55	18	17	5	1	0.582	0.667	0	protein_coding	0	LOC134756509,LOC115930212,LOC109023666,LOC129528956,LOC101132076,LOC134757934,LOC129529765,LOC129529767,LOC129529768,LOC129529769,LOC129529770,LOC129529771,LOC101132445,LOC129529773,LOC129529774,LOC129529775,PAGE1,LOC134757948
GRFAM56	17	17	1	0	0.721	1.000	0	protein_coding	0	LOC101142673,IFNA8,IFNA2,LOC101141543,IFNA6,LOC101140412,LOC101139713,LOC101138981,LOC101139336,LOC115935829,LOC115935834,LOC134756937,LOC115935833,LOC115935827,LOC115935832,LOC115935831,IFNA21
GRFAM57	17	17	3	1	0.316	0.529	0	protein_coding	0	LOC101146303,LOC115930162,LOC101147134,LOC134758959,PRSS2,TMEM45B,UBE2R2,LOC115932694,LOC129524753,PRSS3,LOC129524750,LOC109028332,LOC101142783,LOC115935908,LOC115935863,LOC129524756,LOC129524755
GRFAM58	16	16	2	1	0.350	0.562	0	protein_coding	0	LOC115930451,LOC101124545,LOC115930517,LOC129526516,LOC129526151,LOC115930496,LOC115933320,LOC101125773,LOC115930426,LOC134757010,LOC129526141,LOC134756400,LOC115932766,LOC129526165,LOC109029387,LOC109024451
GRFAM59	15	15	2	1	0.324	0.800	0	protein_coding	0	LOC101144465,LOC115930068,LOC101142134,LOC101141279,LOC101143108,LOC134758727,LOC101153360,LOC101142998,LOC101142644,LOC101143844,LOC101150350,RPL3,LOC115932011,LOC115932012,LOC115932017
GRFAM60	15	15	10	1	0.362	1.000	0	protein_coding	0	LOC109029187,LOC109025909,LOC101146129,LOC134757968,LOC101145937,LOC101129170,LOC129524120,LOC101152462,LOC129527250,LOC129527246,LOC129526436,LOC109023149,CCNQ,LOC115932158,LOC129530296
GRFAM61	15	15	1	0	0.571	0.933	0	protein_coding	0	LOC129525691,GPR89A,LOC129525599,LOC101125737,LOC134756861,LOC109028615,LOC115934004,LOC134757357,LOC101128637,LOC129525331,LOC115933235,LOC115932984,LOC101135585,LOC101131274,LOC115930576
GRFAM62	14	14	6	1	1.000	1.000	0	protein_coding	0	LOC101142993,LOC109027258,LOC115935612,LOC109025589,LOC115935839,LOC129524434,LOC109028392,LOC115935789,LOC101143315,LOC115931078,LOC115931087,LOC115931082,LOC115931086,NPAP1L
GRFAM63	14	14	2	1	0.385	0.571	0	snRNA	0	LOC115933475,LOC129534012,LOC109027025,LOC109026822,LOC115932788,LOC115932787,LOC129533583,LOC115935551,LOC129523954,LOC115933344,LOC115935542,LOC109027614,LOC115935549,LOC101151331
GRFAM64	14	14	3	1	0.341	0.857	0	protein_coding	0	LOC115935007,LOC101143516,LOC115935969,LOC115936053,LOC101142918,LOC101143280,LOC101141440,LOC115936005,LOC101143887,LOC109028507,LOC101145975,LOC129523464,NUTM2F,CTSV
GRFAM65	14	13	3	1	0.407	0.714	0	protein_coding	0	LOC115935842,LOC115935858,LOC101134109,LOC115935822,IGFBPL1,ALDH1B1,LOC129524764,LOC109028222,LOC101140542,LOC115935867,LOC129524687,LOC129524766,LOC109028236,CNN2
GRFAM66	14	14	4	1	0.440	0.500	0	snRNA	0	LOC115936082,LOC115935974,LOC115936071,LOC115936065,LOC115936072,LOC115933107,LOC129527295,LOC129526201,LOC115933177,LOC129527296,LOC134757323,LOC134757228,LOC101152383,LOC115933457
GRFAM67	14	14	1	0	0.978	1.000	0	protein_coding	0	PCDHB2,LOC101125318,LOC101126997,LOC101145202,PCDHB8,PCDHB16,PCDHB9,PCDHB11,PCDHB12,LOC115934657,PCDHB14,LOC101127374,LOC101146984,PCDHB15
GRFAM68	13	13	9	1	0.962	0.846	0	protein_coding	0	LOC101130686,RPSA,LOC115934178,LOC115934177,LOC115930187,LOC101154352,LOC101142220,LOC101123958,LOC101148649,LOC129528351,LOC101145104,LOC101138859,LOC109024647
GRFAM69	13	13	11	1	0.821	0.769	0	protein_coding	0	LOC101142804,LOC129534058,LOC101151121,LOC101126577,LOC101151037,LOC101146120,LOC109028360,LOC134757117,RPS2,LOC115932950,LOC115932949,LOC115931577,LOC101137478
GRFAM70	13	13	2	1	0.936	1.000	0	protein_coding	0	LOC115935297,LOC101146750,LOC115935261,LOC115931292,LOC134757579,LOC134757581,LOC134757578,LOC134757580,LOC134757583,LOC101125919,LOC134757582,LOC115931291,LOC115931293
GRFAM71	13	13	3	1	0.295	1.000	0	protein_coding	0	LOC134758274,LOC101124938,LOC101125304,LOC101125671,LOC115931107,LOC129523465,LOC101126985,LOC101134211,LOC109023678,LOC101127721,LOC129527364,LOC101126623,LOC101153373
GRFAM72	13	13	1	0	0.372	1.000	0	protein_coding	0	PKD1,LOC101138318,LOC101136480,LOC134757425,LOC115933209,LOC101129526,LOC129527620,LOC101131561,LOC115933066,LOC115933250,LOC129527624,LOC115931016,LOC115933354
GRFAM73	13	13	1	0	0.513	1.000	0	protein_coding	0	PPIAL4H,LOC129525664,LOC129532935,LOC129525628,LOC134757007,LOC129525330,LOC129523581,LOC129525329,LOC115932777,LOC129532613,LOC129525208,PSMA5,SORT1
GRFAM74	12	11	2	1	0.439	0.667	0	lncRNA	0	ACTR3C,LOC109027795,LOC101137479,LOC129523724,LOC129526150,LOC134757000,LOC134757001,LOC134757003,LOC134757002,LOC115932765,LOC129526258,LOC134757081
GRFAM75	12	12	1	0	0.470	0.833	0	protein_coding	0	CEACAM7,CEACAM5,CEACAM6,LOC101148900,LOC101151083,LOC109024103,LOC129528544,LOC129528545,LOC101152037,LOC115931550,LOC134757686,LOC101152645
GRFAM76	12	12	2	1	0.712	0.667	0	lncRNA	0	LOC101130871,LOC134758617,LOC129533404,LOC129533405,LOC101138086,LOC129533420,LOC129533423,LOC115933189,LOC115933006,LOC129533422,LOC129533421,LOC129527820
GRFAM77	12	12	1	0	0.727	1.000	0	V_segment	0	LOC101132436,LOC134758818,LOC134758819,LOC134758820,LOC134758821,LOC134758822,LOC134758823,LOC101135313,LOC134758824,LOC134758826,LOC134758827,LOC134758828
GRFAM78	12	12	2	1	0.682	0.667	0	protein_coding	0	LOC101144253,LOC129523482,LOC115930095,LOC115932813,LOC101150259,LOC115935781,LOC134756882,LOC134756883,LOC115935780,LOC115935779,LOC109025440,LOC115935771
GRFAM79	12	12	7	1	0.682	1.000	0	protein_coding	0	LOC129532770,LOC101127689,LOC101137804,LOC101140345,LOC109027238,LOC101141058,LOC115935862,LOC109023133,LOC101126607,LOC101148869,LOC101140615,LOC101130226
GRFAM80	11	11	1	0	1.000	1.000	0	protein_coding	0	CT47C1,LOC115932251,LOC101125118,LOC115932294,LOC115932289,LOC115932301,LOC129529693,LOC129529694,LOC101124756,LOC129529695,LOC115932226
GRFAM81	11	11	1	0	0.400	0.818	0	protein_coding	0	LOC115933071,LOC134757427,LOC101130854,LOC129527569,LOC129527573,LOC115932781,LOC115933079,LOC134757432,NPIPB11,LOC129527626,LOC115933349
GRFAM82	11	11	2	1	0.382	0.818	0	protein_coding	0	LOC115935345,LOC101148570,LOC129523811,LOC109026927,LOC129523812,TBX20,LOC115935244,LOC115935380,LOC129525975,DPY19L2,LOC129525865
GRFAM83	11	11	4	1	0.600	0.636	0	lncRNA	0	LOC129531438,LOC129531437,LOC129527258,LOC115934544,LOC115934545,LOC134757324,LOC129527263,LOC129527054,LOC109023330,LOC109023544,LOC129530231
GRFAM84	11	11	2	1	0.800	1.000	0	V_segment	0	LOC129531670,LOC129531673,LOC134756770,LOC101123798,LOC129531671,LOC134756772,LOC129523531,LOC129531669,LOC129531672,LOC134756408,LOC101148587
GRFAM85	11	11	2	1	0.545	0.636	0	protein_coding	0	XPO6,LOC115931131,LOC134757470,LOC129528975,LOC115931110,LOC134757498,LOC129528916,LOC129528917,LOC115932641,LOC134757768,LOC115930101
GRFAM86	11	11	1	0	0.218	0.545	0	lncRNA	0	ZNF208,LOC109024107,LOC101146634,LOC129528953,LOC101153126,LOC134757666,LOC115931586,LOC101128106,LOC101126289,LOC115931584,ZNF254
GRFAM87	11	11	1	0	0.655	0.818	0	protein_coding	0	ZNF506,LOC115931574,LOC101129171,ZNF90,LOC101134578,ZNF486,LOC129528946,LOC101136009,LOC101136504,ZNF626,LOC101137462
GRFAM88	10	10	7	1	0.222	0.700	0	protein_coding	0	LOC101123774,LOC109026425,RPL23A,LOC115934836,LOC115934821,LOC115934835,LOC101152815,LOC101129492,LOC101141087,LOC101152273
GRFAM89	10	10	3	1	0.556	0.800	0	V_segment	0	LOC101133851,LOC134756950,LOC101145290,LOC101144307,LOC134757149,LOC101146493,LOC129527215,LOC101144925,LOC129523481,LOC109023156
GRFAM90	10	10	1	0	0.622	1.000	0	protein_coding	0	LOC101135404,LOC109026844,LOC101137823,LOC101132032,LOC101131333,LOC129533766,LOC129533767,LOC129533768,LOC115934664,LOC101131675
GRFAM91	10	10	1	0	0.733	0.800	0	protein_coding	0	LOC101136034,LOC129529976,LOC129529977,LOC129529978,MAGEA12,CSAG1,LOC129529983,LOC129529985,LOC129529986,MAGEA1
GRFAM92	10	10	1	0	0.533	1.000	0	protein_coding	0	LOC101136522,LOC101139086,LOC109024495,LOC129529257,LOC101139701,LOC109024494,LOC115931850,LOC101137607,LOC109024496,LOC109024497
GRFAM93	10	10	1	0	0.467	0.800	0	protein_coding	0	LOC101136692,LOC109025447,LOC129531693,RGPD8,LOC129531666,LOC129531677,LOC129531667,LOC134756771,LOC101131768,PLGLB2
GRFAM94	10	10	9	1	0.200	0.900	0	protein_coding	0	LOC101137537,LOC101152491,LOC101141290,LOC101138851,LOC115933486,LOC115930479,LOC134757331,LOC101137833,LOC101151538,LOC109024489
GRFAM95	10	10	1	0	0.511	0.800	0	protein_coding	0	LOC101145065,KRT16,LOC101149133,LOC115932653,LOC115932656,LOC101134688,LOC129533365,LOC115932994,LOC101124577,LOC129533373
GRFAM96	10	10	3	1	0.422	0.700	0	protein_coding	0	LOC115932771,LOC115934046,LOC115934002,LOC115933999,LOC101138917,LOC129524324,LOC101124208,PDCD6,LOC129528099,SDHA
GRFAM97	10	10	1	0	0.667	1.000	0	protein_coding	0	LOC129523908,LOC129523909,LOC129523910,LOC129523911,LOC129523912,LOC129523913,LOC129523914,LOC129523915,LOC129523916,MUC3A
GRFAM98	10	10	5	1	0.956	0.500	0	lncRNA	0	LOC134759155,LOC129525192,LOC129525778,LOC129525779,LOC129525838,LOC134757173,LOC129526731,LOC129528260,LOC129528261,LOC129528040
GRFAM99	9	9	1	0	0.917	1.000	0	protein_coding	0	LOC101140047,LOC109024635,LOC101151343,LOC115930166,LOC129523569,SSX4,LOC115930107,LOC101153153,LOC129529923
GRFAM100	9	9	1	0	1.000	1.000	0	protein_coding	0	LOC101141135,LOC115931596,LOC101141507,LOC115931598,LOC115931597,LOC115931599,LOC115931624,LOC115931595,MBD3L3
GRFAM101	9	9	1	0	0.444	1.000	0	protein_coding	0	LOC101146690,ANKRD36C,LOC129531718,LOC101149632,LOC101148848,FAHD2B,LOC129531713,LOC101125154,LOC109025523
GRFAM102	9	9	4	1	0.556	0.556	0	protein_coding	0	LOC101150321,LOC101132879,LOC101143037,LOC101134166,RPL7A,LOC115935895,LOC115935887,LOC115935886,LOC115935888
GRFAM103	9	9	5	1	0.333	0.778	0	protein_coding	0	LOC115930192,LOC101146784,LOC101127166,LOC115935032,LOC101137306,LOC101129521,RPL17,LOC115931477,LOC115931476
GRFAM104	9	9	1	0	0.556	1.000	0	protein_coding	0	LOC115931046,LOC115931047,LOC129527618,SULT1A2,SULT1A3,LOC115930099,LOC129527629,LOC101143578,LOC129527339
GRFAM105	9	9	8	1	0.639	1.000	0	snoRNA	0	LOC115934854,LOC115935168,LOC115935167,LOC115935489,LOC115935700,LOC115936125,LOC115936386,LOC115933872,LOC115931337
GRFAM106	9	9	1	0	0.556	0.889	0	protein_coding	0	LOC129532335,LOC101141204,LOC101140827,LOC101140436,LOC129532332,LOC115932969,LOC129532330,LOC115931420,LOC101141577
GRFAM107	9	9	1	0	0.556	0.556	0	snoRNA	0	LOC129533358,LOC129534007,LOC129534006,LOC129533360,LOC129533355,LOC129534005,LOC101142742,LOC129534004,LOC115934912
GRFAM108	9	9	1	0	0.361	1.000	0	V_segment	0	LOC134758188,LOC115931975,LOC129529601,LOC134758189,LOC115931977,LOC134758191,LOC134758192,LOC134758194,LOC115931978
GRFAM109	9	9	2	1	0.500	0.778	0	tRNA	0	TRNAA-UGC,TRNAA-AGC,LOC115935037,TRNAA-UGC,TRNAF-GAA,TRNAA-AGC,TRNAA-UGC,LOC109028759,TRNAA-UGC
GRFAM110	8	8	1	0	0.464	0.750	0	protein_coding	0	C4H17orf58,LOC115934629,LOC134758430,LOC134758432,LOC101141121,LOC129533728,LOC129533530,LOC115934587
GRFAM111	8	8	5	1	0.429	0.625	0	protein_coding	0	LOC101147574,RPS12,LOC115935147,LOC115935171,LOC115935163,LOC101149210,LOC101142199,LOC101148666
GRFAM112	8	8	1	0	0.571	0.750	0	protein_coding	0	LOC101151897,LOC101150079,LOC115931121,LOC115932699,LOC129527628,BFAR,LOC129527839,PARN
GRFAM113	8	8	8	1	0.357	1.000	0	protein_coding	0	LOC101152650,LOC101133796,RPS26,LOC101141346,LOC101130286,LOC101145780,LOC101146854,LOC101129892
GRFAM114	8	8	6	1	0.607	0.875	0	protein_coding	0	LOC101154501,LOC101127181,LOC101127907,LOC129531710,LOC101140002,HMGN1,LOC115931895,LOC101151349
GRFAM115	8	8	1	0	1.000	0.625	0	snRNA	0	LOC115930885,LOC134757329,LOC115931003,LOC134757330,TERB2,LOC115931010,LOC115931006,LOC115930896
GRFAM116	8	8	1	0	1.000	1.000	0	protein_coding	0	LOC115931563,LOC115931566,LOC115933440,LOC129528686,KIR2DL4,LOC115933447,LOC129523563,LOC115930123
GRFAM117	8	8	1	0	0.571	0.875	0	protein_coding	0	LOC115932133,F8A1,CLIC2,LOC134757927,LOC101129330,LOC115932395,F8A3,LOC115932200
GRFAM118	8	8	1	0	1.000	0.500	0	protein_coding	0	LOC115932583,DMRTC1B,LOC129530009,FAM236B,LOC129530008,LOC129530010,LOC115932943,LOC115932941
GRFAM119	8	8	4	1	0.679	0.875	0	protein_coding	0	LOC115932819,LOC115933033,LOC115931699,LOC115933013,LOC101142362,LOC101133506,LOC109023224,LOC134757320
GRFAM120	8	8	1	0	0.464	1.000	0	protein_coding	0	LOC115936296,LOC101124653,LOC109027626,LOC115936267,LOC101127913,LOC115936270,LOC101126816,LOC101128286
GRFAM121	8	7	1	0	0.536	0.625	0	lncRNA	0	LOC129528512,LOC101142508,LOC101153727,LOC129528516,LOC134757719,LOC129528518,LOC129528519,LOC115930085
GRFAM122	8	8	2	1	0.286	0.750	0	lncRNA	0	LOC129533933,LOC115932794,LOC129529083,LOC134757821,LOC129528984,LOC134757820,LOC115931727,LOC115933008
GRFAM123	8	7	1	0	0.393	0.500	0	lncRNA	0	LOC134756443,LOC129527248,LOC129527056,LOC129527257,LOC115932683,LOC129527055,LOC115932684,TUBGCP5
GRFAM124	8	8	1	0	0.571	0.500	0	V_segment	0	LOC134756737,LOC129531680,LOC134756775,LOC134756776,LOC129531675,LOC115933446,LOC101151870,LOC134756740
GRFAM125	8	8	2	1	0.464	0.750	0	protein_coding	0	OTOP1,DRD5,LOC101128212,LOC134757058,LOC134757040,LOC115931710,LOC101129613,LOC134756952
GRFAM126	8	8	1	0	1.000	1.000	0	protein_coding	0	RFPL4A,LOC129528711,LOC129528712,LOC129528713,LOC129528714,LOC129528715,LOC101151087,LOC109024957
GRFAM127	8	8	2	1	1.000	1.000	0	protein_coding	0	SSU72L6,LOC134759324,LOC115932623,LOC115932624,LOC115936205,LOC115936287,LOC115932622,LOC101131398
GRFAM128	8	8	1	0	0.893	0.750	0	tRNA	0	TRNAI-AAU,LOC129534200,TRNAM-CAU,TRNAM-CAU,TRNAI-AAU,TRNAM-CAU,TRNAI-AAU,LOC129534206
GRFAM129	8	8	1	0	0.393	1.000	0	tRNA	0	TRNAV-CAC,TRNAL-AAG,TRNAL-AAG,TRNAV-CAC,TRNAV-AAC,TRNAV-AAC,TRNAV-CAC,TRNAL-AAG
GRFAM130	7	7	1	0	1.000	1.000	0	protein_coding	0	GH1,LOC101126984,LOC101125803,LOC134756429,LOC115934631,LOC101126399,LOC115934632
GRFAM131	7	7	1	0	0.619	0.857	0	protein_coding	0	LOC101125629,LOC101126357,LOC101126699,LOC101143657,LOC129525495,LOC115930165,FAM111B
GRFAM132	7	7	1	0	0.476	1.000	0	protein_coding	0	LOC101131786,LOC115934050,LOC101127099,LOC109026114,LOC101127473,LOC101127832,LOC134758073
GRFAM133	7	7	1	0	0.667	1.000	0	protein_coding	0	LOC101139316,LOC115934969,ULBP1,LOC101133056,LOC101140030,LOC101140391,ULBP3
GRFAM134	7	7	1	0	1.000	1.000	0	protein_coding	0	LOC101143949,LOC101129659,LOC109023073,LOC101143221,LOC101137446,LOC101143583,LOC101137094
GRFAM135	7	7	4	1	0.762	0.714	0	protein_coding	0	LOC101144197,LOC115934454,LOC115934455,LOC129534774,LOC101132345,LOC101130553,LOC101145399
GRFAM136	7	7	1	0	0.714	1.000	0	protein_coding	0	LOC101148684,LOC101151677,LOC109027180,LOC115934984,LOC101153366,LOC101152643,LOC101152035
GRFAM137	7	7	6	1	0.476	0.857	0	protein_coding	0	LOC101148834,LOC134758341,LOC101136134,LOC115936029,RPL12,LOC115935903,LOC101144966
GRFAM138	7	7	3	1	0.524	1.000	0	protein_coding	0	LOC101152182,IFITM2,IFITM1,LOC129523486,LOC101128980,LOC101143671,LOC101151759
GRFAM139	7	7	1	0	0.429	0.857	0	V_segment	0	LOC101153307,LOC129531484,LOC129531483,LOC129531712,LOC101134766,LOC115933454,LOC109024788
GRFAM140	7	7	1	0	0.524	0.571	0	protein_coding	0	LOC109024386,LOC129528979,LOC115931737,LOC101150231,LOC129528981,LOC109023081,CST5
GRFAM141	7	7	1	0	0.571	0.571	0	lncRNA	0	LOC109027848,LOC134758913,YAE1,LOC101147491,LOC109027847,LOC134758918,LOC129523874
GRFAM142	7	7	1	0	0.571	0.571	0	ncRNA	0	LOC115931910,LOC115932007,LOC115932010,HIC2,LOC115932009,LOC115932006,LOC101144123
GRFAM143	7	7	6	1	0.667	1.000	0	protein_coding	0	LOC115935008,LOC115935586,LOC115933483,LOC101142817,LOC115930181,PTMA,LOC101129469
GRFAM144	7	7	2	1	0.381	0.714	0	lncRNA	0	LOC129534614,LOC134757798,LOC129529147,LOC129529149,LOC109024407,LOC109024405,LOC115931767
GRFAM145	7	7	1	0	0.476	0.857	0	protein_coding	0	LOC134756626,LOC101132628,LOC115933790,LOC115933736,LOC115933737,LOC129532103,ALPI
GRFAM146	7	7	2	1	0.571	0.571	0	V_segment	0	LOC134758960,LOC134758836,LOC109027645,LOC101145839,LOC134756931,LOC134756932,LOC101145465
GRFAM147	7	7	6	1	0.524	0.714	0	protein_coding	0	LOC134759083,LOC129533119,LOC129533263,LOC134758718,ERVW-1,LOC101135599,LOC129528248
GRFAM148	7	7	2	1	0.381	0.857	0	protein_coding	0	PDZK1,CD160,LOC101142064,LOC101140955,LOC101140560,RBMX,LOC115932530
GRFAM149	7	7	1	0	0.571	0.857	0	protein_coding	0	POM121,NSUN5,TRIM50,TRIM73,LOC101131844,POM121C,LOC129534735
GRFAM150	7	7	4	1	0.381	0.857	0	protein_coding	0	RPL15,LOC101135508,LOC101153622,LOC115933000,LOC101128806,LOC129527644,LOC129527639
GRFAM151	7	7	1	0	0.667	0.857	0	protein_coding	0	SEC22B,LOC134756922,LOC134757155,LOC101129940,LOC109025744,LOC101146213,LOC129525219
GRFAM152	7	6	1	0	0.476	1.000	0	protein_coding	0	TMSB15A,LOC129530131,LOC101145971,LOC101142541,LOC101143138,LOC101143505,SLC25A53
GRFAM153	7	7	1	0	0.571	1.000	0	protein_coding	0	UPK3B,DTX2,LOC109027640,ZP3,LOC101143607,LOC101145093,LOC129534743
GRFAM154	7	7	1	0	0.810	1.000	0	protein_coding	0	ZNF440,LOC134757658,LOC101128351,LOC101128712,LOC101130507,LOC101130877,LOC134757659
GRFAM155	7	7	1	0	0.286	0.714	0	protein_coding	0	ZNF595,LOC109026610,ZNF732,LOC129532927,ZNF141,LOC134758222,ZNF721
GRFAM156	6	6	2	1	0.600	1.000	0	protein_coding	0	CNTNAP3C,LOC129523567,LOC101143875,LOC115933307,LOC109024996,LOC101145348
GRFAM157	6	6	1	0	0.533	1.000	0	protein_coding	0	ETDB,LOC101143635,LOC101143270,LOC101142901,LOC115932285,ETDC
