gene_a	gene_b	in_rna	in_dna_loose	in_dna_whole	n_tied	expr_a	expr_b	cross_map	chrom_a	chrom_b	same_chrom	dist_bp	id	cov_a	cov_b
GTF2F2	NDUFV2	1	0	0	199	1	1	1	NC_073238.2	NC_073241.2	0	-1	0.0000	0.000	0.000
GTF2H2C	OCLN	0	1	0	0	1	1	0	NC_073243.2	NC_073243.2	1	35765	1.0000	0.360	0.576
GTF2I	LOC134758867	0	1	0	0	1	1	0	NC_073230.2	NC_073230.2	1	8790287	0.9335	0.000	0.445
GTSF1	LOC109027668	1	1	1	57	1	0	1	NC_073234.2	NC_073230.2	0	-1	0.9973	0.599	0.953
H1-4	LOC101135182	0	1	0	0	1	1	0	NC_073229.2	NC_073229.2	1	1761	1.0000	0.322	1.000
H1-4	LOC101135184	0	1	0	0	1	1	0	NC_073229.2	NC_073229.2	1	893465	0.9185	0.000	0.662
H1-4	LOC101136632	0	1	0	0	1	1	0	NC_073229.2	NC_073229.2	1	43057	0.9270	0.000	0.746
H1-4	LOC101140761	0	1	0	0	1	0	0	NC_073229.2	NC_073229.2	1	1572409	0.9429	0.000	0.783
H1-4	LOC101143962	0	1	0	0	1	0	0	NC_073229.2	NC_073229.2	1	108664	0.9153	0.000	0.744
H1-4	LOC109024886	0	1	0	0	1	0	0	NC_073229.2	NC_073229.2	1	94373	0.9235	0.000	0.748
H1-4	LOC109027306	0	1	0	0	1	1	0	NC_073229.2	NC_073229.2	1	899480	0.9290	0.000	0.317
H1-5	LOC101127003	0	1	0	0	0	0	0	NC_073229.2	NC_073229.2	1	1344	1.0000	0.707	0.280
HAUS6	LOC101152900	0	1	1	0	1	1	1	NC_073237.2	NC_073230.2	0	-1	0.9257	0.550	1.000
HBZ	LOC129527462	0	1	0	0	1	1	1	NC_073242.2	NC_073242.2	1	11043	0.9970	0.416	0.475
HDDC2	TPD52L1	0	1	0	0	1	1	0	NC_073229.2	NC_073229.2	1	102117	1.0000	0.165	0.484
HERC2	LOC101149126	0	1	0	0	1	1	0	NC_073240.2	NC_073242.2	0	-1	0.9523	0.221	0.699
HERC2	LOC129527054	1	0	0	10	1	1	1	NC_073240.2	NC_073240.2	1	6090374	0.0000	0.000	0.000
HERC2	LOC129527258	1	1	0	3	1	1	1	NC_073240.2	NC_073240.2	1	7888882	0.9928	0.000	0.538
HGFAC	LOC115934282	0	1	1	0	1	1	1	NC_073227.2	NC_073236.2	0	-1	0.9065	0.677	1.000
HGSNAT	LOC109028071	0	1	0	0	1	0	0	NC_073231.2	NC_073231.2	1	1001	1.0000	0.163	1.000
HHLA2	LOC129532778	0	1	0	0	1	1	0	NC_086017.1	NC_086017.1	1	17413032	0.9120	0.000	0.617
HIGD1A	LOC101132615	0	1	0	0	1	0	0	NC_086017.1	NC_073233.2	0	-1	0.9407	0.000	0.855
HIGD1A	LOC101134412	0	1	0	0	1	0	1	NC_086017.1	NC_073236.2	0	-1	0.9894	0.237	0.824
HIGD1A	LOC101152317	0	1	1	0	1	0	0	NC_086017.1	NC_073224.2	0	-1	0.9511	0.724	1.000
HIGD1A	LOC109029167	0	1	1	0	1	0	1	NC_086017.1	NC_073234.2	0	-1	0.9667	0.692	0.969
HIGD2A	LOC101136214	0	1	0	0	1	0	0	NC_073228.2	NC_086017.1	0	-1	0.9545	0.974	0.288
HIKESHI	LOC115932917	0	1	0	0	1	0	0	NC_073233.2	NC_073244.2	0	-1	0.9866	0.344	0.751
HILPDA	LOC129527587	0	1	0	0	1	0	0	NC_073230.2	NC_073224.2	0	-1	0.9221	0.000	0.621
HINT1	LOC101124007	0	1	0	0	1	0	0	NC_073228.2	NC_073230.2	0	-1	0.9423	0.436	1.000
HMGA1	LOC101127844	0	1	0	0	1	0	0	NC_073229.2	NC_073227.2	0	-1	0.9362	0.223	0.993
HMGA1	LOC109024698	0	1	0	0	1	0	0	NC_073229.2	NC_073247.2	0	-1	0.9451	0.230	1.000
HMGA1	LOC134756436	0	1	0	0	1	0	0	NC_073229.2	NC_073236.2	0	-1	0.9536	0.000	0.854
HMGB1	LOC101125882	0	1	0	0	1	0	0	NC_073238.2	NC_073235.2	0	-1	0.9287	0.000	0.926
HMGB1	THSD4	1	0	0	3	1	1	1	NC_073238.2	NC_073240.2	0	-1	0.0000	0.000	0.000
HMGB3	LOC101150009	0	1	0	0	1	1	0	NC_073247.2	NC_073247.2	1	38184349	0.9075	0.000	0.959
HMGB3	LOC115935782	0	1	0	0	1	0	0	NC_073247.2	NC_073237.2	0	-1	0.9469	0.000	0.997
HMGCR	LOC129525396	0	1	0	0	1	1	0	NC_073243.2	NC_073233.2	0	-1	0.9317	0.000	0.605
HMGCR	LOC129533061	0	1	0	0	1	1	0	NC_073243.2	NC_073227.2	0	-1	0.9207	0.000	0.537
HMGN1	LOC101127181	0	1	0	0	1	0	0	NC_073246.2	NC_073224.2	0	-1	0.9611	0.312	1.000
HMGN1	LOC101127907	0	1	0	0	1	0	0	NC_073246.2	NC_073233.2	0	-1	0.9503	0.214	0.987
HMGN1	LOC101140002	0	1	0	0	1	0	0	NC_073246.2	NC_073240.2	0	-1	0.9788	0.371	1.000
HMGN1	LOC101151349	0	1	0	0	1	0	1	NC_073246.2	NC_073247.2	0	-1	0.9697	0.447	1.000
HMGN1	LOC101154501	1	1	1	12	1	1	1	NC_073246.2	NC_073224.2	0	-1	0.9883	0.909	0.995
HMGN1	LOC129531710	0	1	0	0	1	0	0	NC_073246.2	NC_073236.2	0	-1	0.9701	0.239	1.000
HMGN2	LOC101126607	0	1	0	0	1	0	0	NC_073224.2	NC_073239.2	0	-1	0.9481	0.000	1.000
HMGN2	LOC101127689	0	1	0	0	1	0	1	NC_073224.2	NC_086017.1	0	-1	0.9630	0.181	0.997
HMGN2	LOC101130226	0	1	0	0	1	0	0	NC_073224.2	NC_073240.2	0	-1	0.9271	0.000	1.000
HMGN2	LOC101137804	0	1	0	0	1	0	0	NC_073224.2	NC_086017.1	0	-1	0.9636	0.154	0.965
HMGN2	LOC101140345	0	1	0	0	1	0	0	NC_073224.2	NC_086017.1	0	-1	0.9856	0.155	1.000
HMGN2	LOC101141058	0	1	0	0	1	0	0	NC_073224.2	NC_073233.2	0	-1	0.9549	0.211	0.898
HMGN2	LOC101148869	0	1	1	0	1	1	1	NC_073224.2	NC_073240.2	0	-1	0.9790	0.665	1.000
HMGN2	LOC101153591	0	1	0	0	1	1	0	NC_073224.2	NC_073228.2	0	-1	0.9582	0.000	0.803
HMGN2	LOC109023133	0	1	0	0	1	0	1	NC_073224.2	NC_073239.2	0	-1	0.9616	0.335	1.000
HMGN2	LOC115934990	0	1	0	0	1	1	0	NC_073224.2	NC_073229.2	0	-1	0.9525	0.000	0.836
HMGN2	LOC129531477	0	1	0	0	1	0	0	NC_073224.2	NC_073236.2	0	-1	0.9341	0.203	0.618
HMGN2	LOC129532770	0	1	1	0	1	1	1	NC_073224.2	NC_073224.2	1	18256241	0.9566	0.668	0.932
HNF4G	LOC115930505	1	0	0	11	1	1	1	NC_073231.2	NC_073238.2	0	-1	0.0000	0.000	0.000
HNF4G	LOC115930748	1	0	0	8	1	1	1	NC_073231.2	NC_073239.2	0	-1	0.0000	0.000	0.000
HNF4G	LOC115930989	1	0	0	7	1	0	1	NC_073231.2	NC_073240.2	0	-1	0.0000	0.000	0.000
HNF4G	LOC115933017	1	0	0	10	1	1	1	NC_073231.2	NC_073244.2	0	-1	0.0000	0.000	0.000
HNF4G	LOC115933924	1	0	0	11	1	0	1	NC_073231.2	NC_073235.2	0	-1	0.0000	0.000	0.000
HNF4G	LOC115934533	1	0	0	3	1	0	1	NC_073231.2	NC_073227.2	0	-1	0.0000	0.000	0.000
HNF4G	LOC129530168	1	0	0	5	1	0	1	NC_073231.2	NC_073247.2	0	-1	0.0000	0.000	0.000
HNRNPA1	HYCC2	1	0	0	3	1	1	1	NC_073234.2	NC_073235.2	0	-1	0.0000	0.000	0.000
HNRNPA1	LOC101144033	0	1	0	0	1	0	0	NC_073234.2	NC_073233.2	0	-1	0.9388	0.383	0.767
HNRNPA1	LOC129532720	1	0	0	45	1	1	1	NC_073234.2	NC_086017.1	0	-1	0.0000	0.000	0.000
HNRNPA1L2	HYCC2	1	0	0	267	1	1	1	NC_073238.2	NC_073235.2	0	-1	0.0000	0.000	0.000
HNRNPA1L2	LOC101130214	0	1	1	0	1	0	1	NC_073238.2	NC_086017.1	0	-1	0.9758	0.795	0.996
HNRNPA1L2	LOC101134010	0	1	1	0	1	1	0	NC_073238.2	NC_073230.2	0	-1	0.9530	0.726	0.915
HNRNPA1L2	LOC101144033	0	1	1	0	1	0	0	NC_073238.2	NC_073233.2	0	-1	0.9185	0.609	1.000
HNRNPA3	LOC109029309	0	1	0	0	1	0	0	NC_073235.2	NC_073238.2	0	-1	0.9701	0.332	0.889
HNRNPCL1	LOC101148340	0	1	1	0	0	0	0	NC_073224.2	NC_073224.2	1	365958	0.9833	1.000	1.000
HNRNPCL1	LOC101148714	0	1	0	0	0	0	0	NC_073224.2	NC_073224.2	1	224914	0.9588	0.000	0.473
HNRNPCL1	LOC115932964	0	1	1	0	0	0	0	NC_073224.2	NC_073224.2	1	666359	0.9866	1.000	0.821
HNRNPCL1	LOC129529411	0	1	0	0	0	0	0	NC_073224.2	NC_073224.2	1	715449	0.9643	0.000	0.776
HNRNPCL1	LOC129533082	0	1	1	0	0	0	0	NC_073224.2	NC_073224.2	1	522046	0.9732	1.000	0.933
HNRNPCL1	LOC134758529	0	1	1	0	0	0	0	NC_073224.2	NC_073224.2	1	582862	0.9745	0.874	0.971
HNRNPK	LOC101153715	0	1	1	0	1	1	1	NC_073237.2	NC_073228.2	0	-1	0.9127	0.858	1.000
HOXA10	LOC109027859	0	1	0	0	1	0	0	NC_073230.2	NC_073230.2	1	2154	1.0000	0.000	0.390
HOXA11	LOC101150723	0	1	0	0	0	1	0	NC_073230.2	NC_073230.2	1	2904	1.0000	0.370	0.200
HOXA5	HOXA6	0	1	0	0	0	0	0	NC_073230.2	NC_073230.2	1	3063	1.0000	0.415	0.555
HOXA7	LOC134758907	0	1	0	0	1	1	0	NC_073230.2	NC_073230.2	1	13402	1.0000	0.249	0.377
HP	LOC101124941	0	1	0	0	0	1	1	NC_073242.2	NC_073242.2	1	6889	0.9375	0.304	0.458
HP	LOC115930087	0	1	1	0	0	0	0	NC_073242.2	NC_073242.2	1	35672	0.9504	0.889	0.914
HP	LOC129527712	0	1	1	0	0	0	0	NC_073242.2	NC_073242.2	1	19623	0.9488	0.698	0.682
HPS1	LOC101149521	0	1	0	0	1	0	0	NC_073232.2	NC_086018.1	0	-1	0.9497	0.000	0.764
HRCT1	SPAAR	0	1	0	0	1	0	0	NC_073237.2	NC_073237.2	1	0	1.0000	0.285	1.000
HSD3B2	LOC101141070	0	1	1	0	1	1	0	NC_073224.2	NC_073224.2	1	24313	0.9207	0.921	0.846
HSD3B2	LOC101141801	0	1	1	0	1	1	0	NC_073224.2	NC_073224.2	1	93183	0.9288	0.969	0.908
HSP90AA1	LOC115936257	0	1	1	0	1	1	1	NC_073239.2	NC_073233.2	0	-1	0.9688	0.878	0.994
HSP90B1	LOC101143886	0	1	0	0	1	0	0	NC_073234.2	NC_073224.2	0	-1	0.9423	0.326	0.770
HSPA12A	LOC109028576	0	1	0	0	1	0	0	NC_073232.2	NC_073232.2	1	857	1.0000	0.000	0.782
HSPA1A	LOC101131586	1	1	1	1411	1	1	1	NC_073229.2	NC_073229.2	1	6687	0.9892	0.889	0.612
HSPA1L	LOC101131586	1	0	0	48	1	1	1	NC_073229.2	NC_073229.2	1	12541	0.0000	0.000	0.000
HSPA4L	LOC101137537	1	0	0	29	1	0	1	NC_073227.2	NC_086017.1	0	-1	0.0000	0.000	0.000
HSPA4L	LOC101138851	1	0	0	147	1	0	1	NC_073227.2	NC_073231.2	0	-1	0.0000	0.000	0.000
HSPA4L	LOC109024489	1	0	0	151	1	0	1	NC_073227.2	NC_073246.2	0	-1	0.0000	0.000	0.000
HSPA4L	N6AMT1	1	0	0	3	1	1	1	NC_073227.2	NC_073246.2	0	-1	0.0000	0.000	0.000
HSPA9	LOC101152106	0	1	1	0	1	0	1	NC_073228.2	NC_073235.2	0	-1	0.9472	0.605	1.000
HSPA9	LOC129528231	0	1	0	0	1	1	1	NC_073228.2	NC_073241.2	0	-1	0.9367	0.000	0.304
HSPB1	LOC101133686	0	1	0	0	1	0	1	NC_073230.2	NC_073237.2	0	-1	0.9630	0.181	0.904
HSPD1	LOC101150049	0	1	1	0	1	0	1	NC_073235.2	NC_073234.2	0	-1	0.9639	0.792	0.993
HSPD1	LOC115931220	0	1	1	0	1	0	1	NC_073235.2	NC_073243.2	0	-1	0.9749	0.764	0.983
HTD2	RPP14	0	1	0	0	1	1	0	NC_086017.1	NC_086017.1	1	11198	1.0000	0.483	0.708
HTN1	HTN3	0	1	1	0	0	1	0	NC_073227.2	NC_073227.2	1	22210	0.9173	0.995	0.987
HYCC2	LOC129532720	1	0	0	5	1	1	1	NC_073235.2	NC_086017.1	0	-1	0.0000	0.000	0.000
ICAM3	LOC115931581	0	1	0	0	1	0	0	NC_073244.2	NC_073244.2	1	1344	1.0000	0.153	0.320
ID2	LOC101142351	0	1	0	0	1	0	0	NC_073236.2	NC_086017.1	0	-1	0.9420	0.000	0.990
IDS	LOC101149182	0	1	0	0	1	1	1	NC_073247.2	NC_073247.2	1	42989	0.9958	0.000	0.380
IFITM2	LOC101128980	0	1	1	0	1	1	1	NC_073233.2	NC_073233.2	1	12161	0.9174	0.979	0.823
IFITM2	LOC101143671	0	1	1	0	1	0	0	NC_073233.2	NC_073234.2	0	-1	0.9329	0.676	0.931
IFITM2	LOC109026657	0	1	0	0	1	0	0	NC_073233.2	NC_073227.2	0	-1	0.9526	0.797	0.212
IFNA2	IFNA6	0	1	0	0	0	0	0	NC_073237.2	NC_073237.2	1	34410	0.9081	0.464	0.935
IFNA2	LOC101138981	0	1	0	0	0	0	0	NC_073237.2	NC_073237.2	1	157837	0.9068	0.458	0.537
IFNA2	LOC101139713	0	1	1	0	0	0	0	NC_073237.2	NC_073237.2	1	145996	0.9044	0.519	0.596
IFNA2	LOC101142673	0	1	0	0	0	1	0	NC_073237.2	NC_073237.2	1	55906	0.9014	0.486	0.636
IFNA21	IFNA8	0	1	0	0	0	0	0	NC_073237.2	NC_073237.2	1	280913	0.9091	0.462	0.442
IFNA21	LOC101138981	0	1	1	0	0	0	0	NC_073237.2	NC_073237.2	1	98292	0.9338	0.797	0.828
IFNA21	LOC101139336	0	1	1	0	0	0	0	NC_073237.2	NC_073237.2	1	77372	0.9212	0.756	0.819
IFNA21	LOC101139713	0	1	1	0	0	0	0	NC_073237.2	NC_073237.2	1	110133	0.9033	0.717	0.729
IFNA21	LOC101140412	0	1	1	0	0	0	0	NC_073237.2	NC_073237.2	1	176204	0.9080	0.584	0.606
IFNA21	LOC115935827	0	1	1	0	0	0	0	NC_073237.2	NC_073237.2	1	36888	0.9375	0.797	0.834
IFNA21	LOC115935829	0	1	1	0	0	0	0	NC_073237.2	NC_073237.2	1	67174	0.9770	0.552	0.972
IFNA21	LOC115935831	0	1	1	0	0	1	0	NC_073237.2	NC_073237.2	1	20790	0.9435	0.553	0.993
IFNA21	LOC115935832	0	1	0	0	0	0	0	NC_073237.2	NC_073237.2	1	31906	0.9629	0.553	0.000
IFNA21	LOC115935833	0	1	1	0	0	1	0	NC_073237.2	NC_073237.2	1	47102	0.9420	0.725	1.000
IFNA21	LOC115935834	0	1	0	0	0	0	0	NC_073237.2	NC_073237.2	1	62215	0.9647	0.553	0.000
IFNA21	LOC134756937	0	1	0	0	0	0	0	NC_073237.2	NC_073237.2	1	52036	0.9626	0.626	0.000
IFNA6	LOC101138981	0	1	1	0	0	0	0	NC_073237.2	NC_073237.2	1	123427	0.9032	0.888	0.517
IFNA6	LOC101140412	0	1	0	0	0	0	0	NC_073237.2	NC_073237.2	1	45515	0.9076	0.988	0.000
IFNA6	LOC101141543	0	1	0	0	0	0	0	NC_073237.2	NC_073237.2	1	17062	0.9078	0.970	0.000
IFNA6	LOC101142673	0	1	1	0	0	1	0	NC_073237.2	NC_073237.2	1	90316	0.9132	0.970	0.630
IFNA8	LOC101138981	0	1	0	0	0	0	0	NC_073237.2	NC_073237.2	1	182621	0.9045	0.460	0.503
IFNA8	LOC101139336	0	1	0	0	0	0	0	NC_073237.2	NC_073237.2	1	203541	0.9055	0.455	0.516
IFNA8	LOC115935827	0	1	0	0	0	0	0	NC_073237.2	NC_073237.2	1	244025	0.9004	0.460	0.506
IFNA8	LOC115935831	0	1	0	0	0	1	0	NC_073237.2	NC_073237.2	1	260123	0.9027	0.451	0.847
IFNAR2	IL10RB	0	1	0	0	1	1	0	NC_073246.2	NC_073246.2	1	33829	1.0000	0.409	0.328
IFNE	LOC129526805	0	1	0	0	1	1	0	NC_073237.2	NC_073239.2	0	-1	0.9443	0.000	0.370
IFNE	LOC134756815	0	1	0	0	1	0	0	NC_073237.2	NC_073236.2	0	-1	0.9715	0.000	0.307
IFNE	LOC134757626	0	1	0	0	1	0	0	NC_073237.2	NC_073243.2	0	-1	0.9361	0.000	0.439
IFNE	LOC134759326	0	1	0	0	1	1	0	NC_073237.2	NC_073233.2	0	-1	0.9588	0.000	0.519
IGBP1	IGBP1C	0	1	0	0	1	1	0	NC_073247.2	NC_073228.2	0	-1	0.9148	0.411	0.549
IGFBPL1	LOC115935867	1	1	0	24	1	1	1	NC_073237.2	NC_073237.2	1	7130224	0.9863	0.995	0.483
IGIP	PURA	0	1	0	0	0	1	0	NC_073228.2	NC_073228.2	1	15757	1.0000	1.000	0.000
IGLL1	LOC101140402	0	1	0	0	0	1	0	NC_086018.1	NC_086018.1	1	2295545	0.9673	0.499	0.345
IGSF3	LOC129524653	0	1	0	0	1	1	0	NC_073224.2	NC_073237.2	0	-1	0.9520	0.334	0.671
IGSF3	LOC129524658	0	1	0	0	1	0	0	NC_073224.2	NC_073237.2	0	-1	0.9476	0.334	0.563
IGSF3	LOC129524663	0	1	0	0	1	1	0	NC_073224.2	NC_073237.2	0	-1	0.9504	0.334	0.908
IGSF3	LOC129524664	0	1	0	0	1	1	0	NC_073224.2	NC_073237.2	0	-1	0.9731	0.334	0.645
IGSF3	LOC129524670	0	1	0	0	1	1	0	NC_073224.2	NC_073237.2	0	-1	0.9715	0.334	0.627
IGSF3	LOC129526379	0	1	0	0	1	1	0	NC_073224.2	NC_073238.2	0	-1	0.9740	0.334	0.852
IGSF3	LOC129528193	0	1	0	0	1	1	0	NC_073224.2	NC_073241.2	0	-1	0.9514	0.333	0.859
IGSF3	LOC129528440	0	1	0	0	1	0	0	NC_073224.2	NC_073241.2	0	-1	0.9765	0.173	0.726
IGSF3	LOC129528444	0	1	0	0	1	1	0	NC_073224.2	NC_073241.2	0	-1	0.9484	0.334	0.908
IGSF3	LOC129528449	0	1	0	0	1	1	0	NC_073224.2	NC_073241.2	0	-1	0.9721	0.166	0.808
IGSF3	LOC129528455	0	1	0	0	1	1	0	NC_073224.2	NC_073241.2	0	-1	0.9524	0.334	0.639
IGSF3	LOC129528459	0	1	0	0	1	1	0	NC_073224.2	NC_073241.2	0	-1	0.9500	0.334	0.908
IGSF3	LOC129528464	0	1	0	0	1	1	0	NC_073224.2	NC_073241.2	0	-1	0.9520	0.334	0.886
IGSF3	LOC129528466	0	1	0	0	1	0	0	NC_073224.2	NC_073241.2	0	-1	0.9760	0.334	0.790
IGSF3	LOC129528469	0	1	0	0	1	1	0	NC_073224.2	NC_073241.2	0	-1	0.9508	0.334	0.831
IGSF3	LOC129529381	0	1	0	0	1	0	0	NC_073224.2	NC_073246.2	0	-1	0.9692	0.278	0.954
IGSF3	LOC129529384	0	1	0	0	1	1	0	NC_073224.2	NC_073246.2	0	-1	0.9736	0.334	0.848
IGSF3	LOC129529387	0	1	0	0	1	0	0	NC_073224.2	NC_073246.2	0	-1	0.9673	0.278	0.954
IGSF3	LOC129529647	0	1	0	0	1	0	0	NC_073224.2	NC_086018.1	0	-1	0.9736	0.334	0.933
IGSF3	LOC129530382	0	1	0	0	1	1	0	NC_073224.2	NC_073248.2	0	-1	0.9483	0.334	0.844
IGSF3	LOC129530464	0	1	0	0	1	0	0	NC_073224.2	NC_073238.2	0	-1	0.9496	0.334	0.672
IGSF3	LOC129530486	0	1	0	0	1	0	0	NC_073224.2	NC_073246.2	0	-1	0.9500	0.334	0.730
IGSF3	LOC129530497	0	1	0	0	1	0	0	NC_073224.2	NC_073246.2	0	-1	0.9685	0.334	0.848
IGSF3	LOC129530543	0	1	0	0	1	1	0	NC_073224.2	NC_073236.2	0	-1	0.9744	0.334	0.851
IGSF3	LOC129530565	0	1	0	0	1	0	0	NC_073224.2	NC_073246.2	0	-1	0.9508	0.334	0.730
IGSF3	LOC134757055	0	1	0	0	1	0	0	NC_073224.2	NC_073238.2	0	-1	0.9740	0.334	0.910
IKBKG	LOC115932121	1	1	0	419	1	1	1	NC_073247.2	NC_073247.2	1	82129	1.0000	0.450	0.348
IL32	LOC101134447	0	1	0	0	1	0	0	NC_073242.2	NC_073242.2	1	16330	0.9798	0.366	0.931
ILDR2	LOC129527523	0	1	0	0	1	1	0	NC_073224.2	NC_073224.2	1	38781	1.0000	0.000	0.584
IMPDH1	LOC109024945	0	1	1	0	1	0	0	NC_073230.2	NC_073237.2	0	-1	0.9135	0.788	0.989
INIP	LOC129533141	0	1	0	0	1	0	0	NC_073237.2	NC_073227.2	0	-1	0.9192	0.000	0.418
INTS4	LOC109027741	0	1	0	0	1	1	1	NC_073233.2	NC_073230.2	0	-1	0.9849	0.267	0.455
INTS4	LOC129523663	0	1	0	0	1	1	1	NC_073233.2	NC_073230.2	0	-1	0.9249	0.458	0.192
INTS4	LOC134757183	1	0	0	3	1	1	1	NC_073233.2	NC_073239.2	0	-1	0.0000	0.000	0.000
INTS4	PRKG1	1	0	0	3	1	1	1	NC_073233.2	NC_073232.2	0	-1	0.0000	0.000	0.000
ISCA1	LOC101129959	0	1	0	0	1	1	1	NC_073237.2	NC_073235.2	0	-1	0.9920	0.000	0.359
ISCA1	LOC101148543	0	1	0	0	1	1	1	NC_073237.2	NC_073243.2	0	-1	0.9744	0.000	0.540
ITFG2	NRIP2	0	1	0	0	1	1	0	NC_073234.2	NC_073234.2	1	12038	1.0000	0.157	0.594
ITLN2	LOC101146454	0	1	0	0	1	1	0	NC_073224.2	NC_073224.2	1	124704	0.9251	0.380	0.575
ITLN2	LOC115930226	0	1	0	0	1	1	0	NC_073224.2	NC_073224.2	1	55294	0.9205	0.380	0.336
JMJD8	STUB1	0	1	0	0	1	1	0	NC_073242.2	NC_073242.2	1	2029	0.9085	0.436	0.472
KANSL1	LOC115934626	1	0	0	9	1	1	1	NC_073228.2	NC_073228.2	1	564250	0.0000	0.000	0.000
KANSL1	LOC115934629	1	1	0	24	1	1	1	NC_073228.2	NC_073228.2	1	704241	0.9977	0.315	0.098
KANSL1	LOC129533728	1	0	0	8	1	1	1	NC_073228.2	NC_073228.2	1	429093	0.0000	0.000	0.000
KAT7	LOC101151345	0	1	1	0	1	0	1	NC_073228.2	NC_073247.2	0	-1	0.9810	0.706	0.992
KBTBD6	LOC101123709	0	1	0	0	1	1	0	NC_073238.2	NC_073238.2	1	69554	0.9107	0.459	0.407
KCNAB1	SSR3	0	1	0	0	1	1	0	NC_086017.1	NC_086017.1	1	492980	1.0000	0.167	0.372
KCNJ11	LOC129525448	0	1	0	0	1	0	0	NC_073233.2	NC_073233.2	1	4075	1.0000	0.000	0.615
KCNJ12	LOC109026822	0	1	0	0	1	1	0	NC_073228.2	NC_073228.2	1	8886354	0.9543	0.463	0.848
KCNJ12	LOC129533583	0	1	1	0	1	1	1	NC_073228.2	NC_073228.2	1	285535	0.9842	0.533	0.748
KCNJ14	LOC134757698	0	1	0	0	1	0	0	NC_073244.2	NC_073244.2	1	2158	1.0000	0.000	0.723
KCNK15	RIMS4	0	1	0	0	1	1	0	NC_073245.2	NC_073245.2	1	5995	1.0000	0.332	0.187
KCNQ5	LOC129524727	1	0	0	11	1	1	1	NC_073229.2	NC_073237.2	0	-1	0.0000	0.000	0.000
KCNQ5	LOC129533599	1	0	0	11	1	1	1	NC_073229.2	NC_073228.2	0	-1	0.0000	0.000	0.000
KCNQ5	PRKG1	1	0	0	3	1	1	1	NC_073229.2	NC_073232.2	0	-1	0.0000	0.000	0.000
KCNS2	STK3	0	1	0	0	1	1	0	NC_073231.2	NC_073231.2	1	32477	1.0000	0.460	0.489
KCTD1	LOC101153641	0	1	0	0	1	1	0	NC_073241.2	NC_073237.2	0	-1	0.9453	0.218	0.972
KCTD10	LOC115936053	0	1	1	0	1	1	1	NC_073234.2	NC_073232.2	0	-1	0.9767	0.658	0.998
KCTD5	LOC129532010	0	1	0	0	1	0	0	NC_073242.2	NC_073235.2	0	-1	0.9023	0.000	0.573
KDM4D	KDM4E	0	1	0	0	1	1	0	NC_073233.2	NC_073233.2	1	51752	0.9048	0.293	0.483
KDM4D	KDM4F	0	1	0	0	1	1	0	NC_073233.2	NC_073233.2	1	75857	0.9083	0.301	0.478
KDM8	LOC101125551	1	0	0	8	1	1	1	NC_073242.2	NC_073242.2	1	172494	0.0000	0.000	0.000
KDM8	LOC129523519	1	1	1	256	1	1	1	NC_073242.2	NC_073242.2	1	204061	0.9996	0.564	0.847
KHDC1	LOC101128712	0	1	0	0	1	1	0	NC_073229.2	NC_073244.2	0	-1	0.9401	0.390	0.000
KHDC1	LOC101136000	0	1	0	0	1	1	0	NC_073229.2	NC_073228.2	0	-1	0.9244	0.337	0.418
KHDC1	LOC101137462	0	1	0	0	1	1	0	NC_073229.2	NC_073244.2	0	-1	0.9247	0.390	0.000
KHDC1	LOC101138407	0	1	0	0	1	1	0	NC_073229.2	NC_073234.2	0	-1	0.9274	0.306	0.000
KHDC1	LOC101147034	0	1	0	0	1	0	0	NC_073229.2	NC_073237.2	0	-1	0.9507	0.000	0.318
KHDC1	LOC109026610	0	1	0	0	1	1	0	NC_073229.2	NC_073227.2	0	-1	0.9358	0.390	0.000
KHDC1	LOC109027309	0	1	0	0	1	1	0	NC_073229.2	NC_073229.2	1	33054005	0.9375	0.000	0.401
KHDC1	LOC115935329	0	1	0	0	1	1	0	NC_073229.2	NC_073230.2	0	-1	0.9381	0.279	0.557
KHDC1	LOC129524898	0	1	0	0	1	0	0	NC_073229.2	NC_073232.2	0	-1	0.9404	0.000	0.333
KHDC1	LOC129527277	0	1	0	0	1	1	0	NC_073229.2	NC_073238.2	0	-1	0.9192	0.000	0.371
KHDC1	LOC129528054	0	1	0	0	1	1	0	NC_073229.2	NC_073243.2	0	-1	0.9038	0.389	0.000
KHDC1	LOC129529125	0	1	0	0	1	1	0	NC_073229.2	NC_073245.2	0	-1	0.9302	0.000	0.307
KHDC1	LOC129531833	0	1	0	0	1	0	0	NC_073229.2	NC_073236.2	0	-1	0.9307	0.259	0.814
KHDC1	LOC129532081	0	1	0	0	1	1	0	NC_073229.2	NC_073235.2	0	-1	0.9562	0.000	0.332
KHDC1	LOC129533273	0	1	0	0	1	1	0	NC_073229.2	NC_073227.2	0	-1	0.9339	0.000	0.653
KHDC1	LOC129534406	0	1	0	0	1	1	0	NC_073229.2	NC_073229.2	1	68358631	0.9150	0.000	0.347
KHDC1	LOC134756439	0	1	0	0	1	1	0	NC_073229.2	NC_073224.2	0	-1	0.9278	0.306	0.365
KHDC1	LOC134756576	0	1	0	0	1	1	0	NC_073229.2	NC_073234.2	0	-1	0.9495	0.000	0.308
KHDC1	LOC134757115	0	1	0	0	1	1	0	NC_073229.2	NC_073239.2	0	-1	0.9393	0.388	0.310
