gene_a	gene_b	dn_a	dn_b	cls	core	aln_frac	aln_len	matches_best	blocklen_best	matches_sum	len_a	len_b	recip_id_best	recip_id_sum
LOC101129171	ZNF273	DN_NC_073230.2_74299233_4	DN_NC_073244.2_26314241_4	truthbar	0.3258	0.4409	1593	1196	1593	1196	3761	3613	0.3180	0.3180
LOC101129171	ZNF43	DN_NC_073244.2_26314241_4	DN_NC_073244.2_28333451_4	truthbar	0.2516	0.4564	1649	1318	1649	3497	3613	4132	0.3190	0.8463
LOC101129171	ZNF430	DN_NC_073244.2_26314241_4	DN_NC_073244.2_27504818_5	truthbar	0.3258	0.4487	1621	1270	1621	1270	3613	3686	0.3445	0.3445
LOC101129171	ZNF626	DN_NC_073244.2_26314241_4	DN_NC_073244.2_27131194_2	truthbar	0.3631	0.8446	2652	2112	2652	2112	3613	3140	0.5846	0.5846
LOC101129171	ZNF680	DN_NC_073230.2_73977205_4	DN_NC_073244.2_26314241_4	truthbar	0.3456	0.4544	1479	1090	1479	1090	3255	3613	0.3017	0.3017
LOC101129171	ZNF681	DN_NC_073244.2_26314241_4	DN_NC_073244.2_30067652_4	truthbar	0.2175	0.2953	1067	840	1067	1509	3613	5815	0.1445	0.2595
LOC101129171	ZNF723	DN_NC_073244.2_26314241_4	DN_NC_073244.2_29232445_4	truthbar	0.4836	0.6429	1489	1192	1489	1192	3613	2316	0.3299	0.3299
LOC101129219	ZNF33B	DN_NC_073232.2_72820474_5	DN_NC_073232.2_81033881_5	TP	0.4566	1.0068	5466	5016	5466	5016	9116	5429	0.5502	0.5502
LOC101129558	LOC101135429	DN_NC_073245.2_11562885_6	DN_NC_073245.2_11814428_9	TP	0.3748	0.3459	935	849	935	849	2703	4033	0.2105	0.2105
LOC101129910	SDAD1	DN_NC_073227.2_96191422_22	DN_NC_073231.2_30601556_2	genuine	0.191	0.7906	3088	2771	3088	2771	4955	3906	0.5592	0.5592
LOC101129940	SEC22B	DN_NC_073224.2_117114419_5	DN_NC_073224.2_124983304_5	TP	0.2783	1.0017	6627	6496	6627	6496	6641	6616	0.9782	0.9782
LOC101130023	LOC101153131	DN_NC_073244.2_64618758_7	DN_NC_073244.2_64908457_4	truthbar	0.7124	0.821	2192	1729	2192	1729	3139	2670	0.5508	0.5508
LOC101130023	LOC109024216	DN_NC_073244.2_64618758_7	DN_NC_073244.2_65293743_4	truthbar	0.2224	0.2775	871	742	871	742	3139	4397	0.1688	0.1688
LOC101130023	OSBPL10	DN_NC_073244.2_64618758_7	DN_NC_086017.1_41849470_3	genuine	0.3495	0.339	1064	838	1064	838	3139	4410	0.1900	0.1900
LOC101130023	ZNF28	DN_NC_073244.2_64618758_7	DN_NC_073244.2_64759228_5	truthbar	0.2099	0.6314	1982	1269	1982	1269	3139	4546	0.2791	0.2791
LOC101130023	ZNF578	DN_NC_073244.2_64426370_6	DN_NC_073244.2_64618758_7	truthbar	0.2552	0.677	2125	1663	2125	1663	6763	3139	0.2459	0.2459
LOC101130023	ZNF600	DN_NC_073244.2_64618758_7	DN_NC_073244.2_64724127_4	truthbar	0.2928	0.8203	2575	1696	2575	1696	3139	4325	0.3921	0.3921
LOC101130023	ZNF611	DN_NC_073244.2_64618758_7	DN_NC_073244.2_64672255_4	truthbar	0.2383	0.814	2555	1691	2555	1691	3139	4340	0.3896	0.3896
LOC101130023	ZNF761	DN_NC_073244.2_64618758_7	DN_NC_073244.2_65362909_5	truthbar	0.2039	0.4756	1493	1092	1493	1092	3139	4515	0.2419	0.2419
LOC101130023	ZNF808	DN_NC_073244.2_64500861_5	DN_NC_073244.2_64618758_7	truthbar	0.2383	0.5451	1711	1261	1711	1261	4884	3139	0.2582	0.2582
LOC101130137	ZNF583	DN_NC_073244.2_48980018_5	DN_NC_073244.2_68513423_5	truthbar	0.4358	0.3583	717	621	717	621	2001	5280	0.1176	0.1176
LOC101130401	LOC129527528	DN_NC_073242.2_7013229_2	DN_NC_073246.2_32689693_4	genuine	0.2487	0.3747	1115	1024	1115	1024	2976	5255	0.1949	0.1949
LOC101130426	LOC101137042	DN_NC_073224.2_150567709_6	DN_NC_073224.2_150903711_11	genuine	0.2895	0.7296	2064	1936	2064	1936	2829	3977	0.4868	0.4868
LOC101130507	LOC101130877	DN_NC_073244.2_17960497_4	DN_NC_073244.2_17994654_4	truthbar	0.1925	0.7267	2114	1699	2114	2419	2909	5497	0.3091	0.4401
LOC101130507	ZNF440	DN_NC_073244.2_17846610_4	DN_NC_073244.2_17960497_4	truthbar	0.2571	1.032	3002	2275	3002	2275	3027	2909	0.7516	0.7516
LOC101130542	TCEAL6	DN_NC_073247.2_113922705_3	DN_NC_073247.2_115394224_3	TP	0.4757	0.8272	1245	1169	1245	1169	1505	6002	0.1948	0.1948
LOC101130728	LOC129523520	DN_NC_073224.2_19027212_8	DN_NC_073224.2_19135994_8	TP	0.9993	0.9993	1467	1459	1467	1459	1472	1468	0.9912	0.9912
LOC101130728	LOC129529226	DN_NC_073224.2_15670210_25	DN_NC_073224.2_19135994_8	genuine	0.4932	0.4952	727	725	727	725	3348	1468	0.2165	0.2165
LOC101130728	LOC129531982	DN_NC_073224.2_19135994_8	DN_NC_073224.2_29070818_24	genuine	0.626	0.6267	920	914	920	914	1468	3917	0.2333	0.2333
LOC101130728	LOC134756437	DN_NC_073224.2_19135994_8	DN_NC_073224.2_19235747_8	TP	1.0	1.0	1468	1459	1468	1459	1468	1474	0.9898	0.9898
LOC101130728	LOC134758712	DN_NC_073224.2_15783681_8	DN_NC_073224.2_19135994_8	TP	1.0	1.0	1468	1461	1468	1461	1474	1468	0.9912	0.9912
LOC101130728	LOC134758754	DN_NC_073224.2_19135994_8	DN_NC_073224.2_19344252_8	TP	1.0	1.0	1441	1440	1441	1440	1468	1441	0.9809	0.9809
LOC101130854	LOC115932779	DN_NC_073242.2_15911262_31	DN_NC_073242.2_29051840_13	genuine	0.6351	0.658	1778	1746	1778	1746	6507	2702	0.2683	0.2683
LOC101130854	LOC115932992	DN_NC_073242.2_15911262_31	DN_NC_073242.2_16378095_15	TP	0.2915	0.6031	1779	1669	1779	2092	6507	2950	0.2565	0.3215
LOC101130877	LOC109025073	DN_NC_073244.2_17994654_4	DN_NC_073244.2_18096775_3	genuine	0.235	0.4406	1243	861	1243	861	5497	2821	0.1566	0.1566
LOC101130877	ZNF440	DN_NC_073244.2_17846610_4	DN_NC_073244.2_17994654_4	truthbar	0.2669	0.7199	2179	1846	2179	1846	3027	5497	0.3358	0.3358
LOC101130894	LOC115933167	DN_NC_073230.2_51812102_9	DN_NC_073230.2_86213678_7	TP	0.5193	0.5428	901	883	901	883	1660	2571	0.3434	0.3434
LOC101130894	LOC129534750	DN_NC_073230.2_86128587_5	DN_NC_073230.2_86213678_7	genuine	0.4554	0.4572	497	496	497	496	1087	2571	0.1929	0.1929
LOC101131060	MMP19	DN_NC_073234.2_45519337_9	DN_NC_073234.2_45523055_3	genuine	0.5901	0.6851	2223	2043	2223	2043	3245	6249	0.3269	0.3269
LOC101131274	LOC101135585	DN_NC_073224.2_130335848_23	DN_NC_073224.2_218361248_19	truthbar	0.2067	0.6189	2434	2155	2434	2155	3933	4756	0.4531	0.4531
LOC101131274	LOC115930164	DN_NC_073224.2_218361248_19	DN_NC_073224.2_223156764_8	TP	0.9202	0.9468	2420	2373	2420	2373	4756	2556	0.4989	0.4989
LOC101131274	LOC115930576	DN_NC_073224.2_218361248_19	DN_NC_073224.2_218434129_23	TP	0.8486	0.8902	4234	4214	4234	4214	4756	5272	0.7993	0.7993
LOC101131274	LOC115932984	DN_NC_073224.2_130224824_25	DN_NC_073224.2_218361248_19	TP	0.1952	0.5846	2435	2153	2435	2153	4165	4756	0.4527	0.4527
LOC101131274	LOC115933235	DN_NC_073224.2_129429039_7	DN_NC_073224.2_218361248_19	TP	0.4724	0.9123	2279	2026	2279	2026	2498	4756	0.4260	0.4260
LOC101131274	LOC115933241	DN_NC_073224.2_115073393_19	DN_NC_073224.2_218361248_19	genuine	0.1967	0.8191	3594	2996	3594	3682	4388	4756	0.6299	0.7742
LOC101131274	LOC129525330	DN_NC_073224.2_125594338_29	DN_NC_073224.2_218361248_19	TP	0.1937	0.5802	2435	2155	2435	2155	4197	4756	0.4531	0.4531
LOC101131274	LOC129525599	DN_NC_073224.2_116807774_25	DN_NC_073224.2_218361248_19	truthbar	0.2546	0.7752	2549	2071	2549	2071	3288	4756	0.4354	0.4354
LOC101131274	LOC134756861	DN_NC_073224.2_117494263_25	DN_NC_073224.2_218361248_19	truthbar	0.2552	0.7406	2435	2144	2435	2144	3288	4756	0.4508	0.4508
LOC101131416	LOC115930154	DN_NC_073235.2_31672555_8	DN_NC_073235.2_32750477_8	TP	0.771	1.011	1470	1430	1470	1430	1454	1507	0.9489	0.9489
LOC101131460	THOC3	DN_NC_073228.2_179795915_6	DN_NC_073228.2_182778476_6	TP	1.0	1.0	2518	2499	2518	2499	2518	3080	0.8114	0.8114
LOC101131561	LOC134757427	DN_NC_073242.2_15607160_18	DN_NC_073242.2_28689005_18	genuine	0.3331	0.9448	6643	6537	6643	6537	7031	7138	0.9158	0.9158
LOC101131674	TUBB2A	DN_NC_073229.2_20766733_4	DN_NC_073242.2_120516047_4	TP	0.7718	0.7565	1286	1149	1286	1149	1700	1840	0.6245	0.6245
LOC101131674	TUBB4A	DN_NC_073242.2_120516047_4	DN_NC_073244.2_12296250_4	TP	0.7011	0.7027	1293	1157	1293	1157	1840	2302	0.5026	0.5026
LOC101131674	TUBB4B	DN_NC_073237.2_133664160_4	DN_NC_073242.2_120516047_4	truthbar	0.7245	0.5495	1011	888	1011	888	2374	1840	0.3741	0.3741
LOC101131689	ZNF234	DN_NC_073244.2_55654796_6	DN_NC_073244.2_55678004_6	truthbar	0.3392	0.3636	1579	1373	1579	1373	5083	4343	0.2701	0.2701
LOC101131768	LOC101136692	DN_NC_073236.2_46653509_10	DN_NC_073236.2_52824428_4	truthbar	0.4684	0.468	1913	1881	1913	1881	8832	4088	0.2130	0.2130
LOC101131768	LOC109025447	DN_NC_073236.2_47712811_9	DN_NC_073236.2_52824428_4	TP	0.468	0.468	1913	1879	1913	1879	5851	4088	0.3211	0.3211
LOC101131768	LOC129531666	DN_NC_073236.2_51202468_4	DN_NC_073236.2_52824428_4	TP	0.7321	0.9993	4085	4016	4085	4016	4386	4088	0.9156	0.9156
LOC101131768	LOC129531667	DN_NC_073236.2_51437835_4	DN_NC_073236.2_52824428_4	TP	1.0	1.0	3225	3173	3225	3173	3225	4088	0.7762	0.7762
LOC101131768	RGPD8	DN_NC_073236.2_49989275_2	DN_NC_073236.2_52824428_4	TP	0.4873	1.0397	4086	3680	4086	3680	3930	4088	0.9002	0.9002
LOC101131844	NSUN5	DN_NC_073230.2_82396764_10	DN_NC_073230.2_84201987_11	truthbar	0.4213	1.0146	1806	1613	1806	1613	1780	1799	0.8966	0.8966
LOC101131852	LOC129528486	DN_NC_073231.2_4571400_3	DN_NC_073244.2_6036407_2	genuine	0.2029	0.9314	1983	1887	1983	1887	5641	2129	0.3345	0.3345
LOC101131923	LOC101142371	DN_NC_073242.2_21650759_11	DN_NC_073242.2_31545375_14	genuine	0.31	0.2896	583	576	583	576	2013	3216	0.1791	0.1791
LOC101131923	RRN3	DN_NC_073242.2_21650759_11	DN_NC_073242.2_29556580_18	genuine	0.3308	0.3323	669	661	669	661	2013	6802	0.0972	0.0972
LOC101132303	LOC115935014	DN_NC_073229.2_50085643_6	DN_NC_073229.2_50300098_6	TP	0.4727	0.6563	1226	1158	1226	1158	2353	1868	0.4921	0.4921
LOC101132313	SBDS	DN_NC_073230.2_76179541_5	DN_NC_073230.2_82279960_5	genuine	0.418	1.007	1720	1662	1720	1662	3488	1708	0.4765	0.4765
LOC101132325	MKRN1	DN_NC_073230.2_149564614_8	DN_NC_073247.2_51197700_2	TP	0.4492	0.4466	1191	1111	1191	1111	3144	2667	0.3534	0.3534
LOC101132434	LOC101135843	DN_NC_086018.1_18646417_6	DN_NC_086018.1_22406144_7	TP	0.8537	0.8492	1921	1876	1921	1876	2262	2652	0.7074	0.7074
LOC101132434	LOC115932815	DN_NC_086018.1_18646417_6	DN_NC_086018.1_22166696_9	TP	0.7263	0.8479	1918	1878	1918	1878	2262	2655	0.7073	0.7073
LOC101132445	LOC129529771	DN_NC_073247.2_59744368_5	DN_NC_073247.2_59753367_5	TP	0.9963	1.0	543	543	543	543	543	1095	0.4959	0.4959
LOC101132445	LOC129529775	DN_NC_073247.2_59753367_5	DN_NC_073247.2_59782481_5	TP	1.0	1.0	579	578	579	578	1095	579	0.5279	0.5279
LOC101132881	LOC109023808	DN_NC_073239.2_98531685_2	DN_NC_073243.2_97368870_3	genuine	0.2358	0.5476	1461	1225	1461	1225	2982	2668	0.4108	0.4108
LOC101133440	LOC101137806	DN_NC_073231.2_11581641_7	DN_NC_086017.1_136773097_2	genuine	0.251	0.7648	1740	1467	1740	1467	2275	3501	0.4190	0.4190
LOC101133440	LOC101139163	DN_NC_073231.2_11581641_7	DN_NC_086017.1_141278779_5	TP	0.4484	0.7415	1687	1512	1687	1512	2275	2308	0.6551	0.6551
LOC101133440	LOC101152938	DN_NC_073231.2_11581641_7	DN_NC_073233.2_75718276_6	truthbar	0.3099	0.9446	2149	1847	2149	1847	2275	3428	0.5388	0.5388
LOC101133440	LOC115934341	DN_NC_073231.2_11581641_7	DN_NC_086017.1_85330170_7	TP	0.4945	1.0466	2381	2141	2381	2141	2275	2538	0.8436	0.8436
LOC101133546	LOC101152401	DN_NC_073244.2_64836827_4	DN_NC_073244.2_65326089_4	truthbar	0.2113	0.6957	3066	1827	3066	1827	4407	5314	0.3438	0.3438
LOC101133546	LOC109024216	DN_NC_073244.2_65293743_4	DN_NC_073244.2_65326089_4	truthbar	0.2427	0.9486	4171	3184	4171	3184	4397	5314	0.5992	0.5992
LOC101133546	LOC115931654	DN_NC_073244.2_65266359_4	DN_NC_073244.2_65326089_4	truthbar	0.2994	0.4475	2378	1968	2378	2959	5995	5314	0.3283	0.4936
LOC101133546	ZNF578	DN_NC_073244.2_64426370_6	DN_NC_073244.2_65326089_4	truthbar	0.2789	0.4132	2196	1472	2196	1472	6763	5314	0.2177	0.2177
LOC101133546	ZNF600	DN_NC_073244.2_64724127_4	DN_NC_073244.2_65326089_4	truthbar	0.2021	0.5242	2267	1553	2267	1553	4325	5314	0.2922	0.2922
LOC101133546	ZNF611	DN_NC_073244.2_64672255_4	DN_NC_073244.2_65326089_4	truthbar	0.2134	0.465	2018	1192	2018	2312	4340	5314	0.2243	0.4351
LOC101133546	ZNF701	DN_NC_073244.2_64543447_4	DN_NC_073244.2_65326089_4	truthbar	0.232	1.0154	3747	2153	3747	2153	3690	5314	0.4052	0.4052
LOC101133546	ZNF813	DN_NC_073244.2_65326089_4	DN_NC_073244.2_65398487_4	TP	0.2849	0.613	3109	2170	3109	3438	5314	5072	0.4084	0.6470
LOC101133546	ZNF888	DN_NC_073244.2_64860608_4	DN_NC_073244.2_65326089_4	truthbar	0.309	0.2913	1548	1165	1548	1968	5389	5314	0.2162	0.3652
LOC101133657	LOC101154200	DN_NC_073244.2_18307855_4	DN_NC_073244.2_18385030_4	truthbar	0.3554	0.3481	1483	1293	1483	1293	4260	4700	0.2751	0.2751
LOC101133657	ZNF443	DN_NC_073244.2_18385030_4	DN_NC_073244.2_18470484_4	truthbar	0.3759	0.4934	1537	1318	1537	1318	4700	3115	0.2804	0.2804
LOC101133657	ZNF563	DN_NC_073244.2_18356684_4	DN_NC_073244.2_18385030_4	truthbar	0.355	0.4937	1328	1017	1328	1017	2690	4700	0.2164	0.2164
LOC101133657	ZNF799	DN_NC_073244.2_18385030_4	DN_NC_073244.2_18426035_4	truthbar	0.3187	0.3306	1554	1394	1554	1394	4700	5769	0.2416	0.2416
LOC101133657	ZNF823	DN_NC_073244.2_17751584_2	DN_NC_073244.2_18385030_4	truthbar	0.6643	0.6384	1455	1299	1455	1299	2279	4700	0.2764	0.2764
LOC101133668	LOC101145945	DN_NC_073230.2_74190289_5	DN_NC_073244.2_28588105_4	genuine	0.2163	0.4346	1348	978	1348	978	3102	3928	0.2490	0.2490
LOC101133668	LOC129528947	DN_NC_073230.2_74190289_5	DN_NC_073244.2_27408454_4	genuine	0.2427	0.4007	1243	985	1243	985	3102	3831	0.2571	0.2571
LOC101133668	ZNF723	DN_NC_073230.2_74190289_5	DN_NC_073244.2_29232445_4	genuine	0.3221	0.5017	1162	974	1162	974	3102	2316	0.3140	0.3140
LOC101133668	ZNF92	DN_NC_073230.2_74190289_5	DN_NC_073230.2_74637814_2	genuine	0.197	0.3886	1156	972	1156	972	3102	2975	0.3133	0.3133
LOC101134115	TMEM14B	DN_NC_073229.2_28348360_6	DN_NC_073229.2_28419493_6	truthbar	0.2206	0.7454	855	762	855	762	1147	1505	0.5063	0.5063
LOC101134596	PI4KA	DN_NC_086018.1_18253436_31	DN_NC_086018.1_19032395_10	genuine	0.5759	0.6088	1351	1332	1351	1332	3795	2219	0.3510	0.3510
LOC101135168	LOC115933002	DN_NC_073228.2_45710800_6	DN_NC_073228.2_46729356_10	TP	0.3937	0.4235	1379	1375	1379	1375	3256	4664	0.2948	0.2948
LOC101135168	LOC115934626	DN_NC_073228.2_45710800_6	DN_NC_073228.2_45948292_6	TP	0.7466	0.9453	3078	3056	3078	3056	3256	5605	0.5452	0.5452
LOC101135168	LRRC37A3	DN_NC_073228.2_27148471_4	DN_NC_073228.2_45710800_6	TP	0.2107	0.7408	2412	2073	2412	2073	3988	3256	0.5198	0.5198
LOC101135518	LOC101151290	DN_NC_073228.2_27169290_8	DN_NC_073228.2_45974488_9	TP	0.2657	0.8611	2722	2469	2722	2469	4964	3161	0.4974	0.4974
LOC101135518	PLEKHM1	DN_NC_073228.2_27169290_8	DN_NC_073228.2_46778774_7	TP	0.2716	1.0016	3098	2840	3098	2840	4964	3093	0.5721	0.5721
LOC101135585	LOC115930576	DN_NC_073224.2_130335848_23	DN_NC_073224.2_218434129_23	truthbar	0.2067	0.6189	2434	2156	2434	3387	3933	5272	0.4090	0.6425
LOC101135585	LOC115932984	DN_NC_073224.2_130224824_25	DN_NC_073224.2_130335848_23	TP	0.6456	0.6522	2565	2561	2565	2561	4165	3933	0.6149	0.6149
LOC101135585	LOC129525330	DN_NC_073224.2_125594338_29	DN_NC_073224.2_130335848_23	TP	0.6522	0.6522	2565	2548	2565	2548	4197	3933	0.6071	0.6071
LOC101135585	LOC129525331	DN_NC_073224.2_125055626_35	DN_NC_073224.2_130335848_23	TP	0.5164	0.6522	2565	2548	2565	2548	4929	3933	0.5169	0.5169
LOC101135585	LOC129525599	DN_NC_073224.2_116807774_25	DN_NC_073224.2_130335848_23	genuine	0.2336	0.7801	2565	2522	2565	2522	3288	3933	0.6412	0.6412
LOC101135585	LOC134756861	DN_NC_073224.2_117494263_25	DN_NC_073224.2_130335848_23	genuine	0.2336	0.7801	2565	2529	2565	2529	3288	3933	0.6430	0.6430
LOC101135843	LOC115932815	DN_NC_086018.1_22166696_9	DN_NC_086018.1_22406144_7	TP	0.6481	0.9989	2649	2622	2649	2622	2655	2652	0.9876	0.9876
LOC101136009	LOC101137462	DN_NC_073244.2_26901109_4	DN_NC_073244.2_27285351_4	truthbar	0.438	0.5077	1821	1218	1821	1218	3587	4682	0.2601	0.2601
LOC101136009	LOC115930172	DN_NC_073244.2_26901109_4	DN_NC_073244.2_27051998_4	genuine	0.3647	0.3454	1239	924	1239	924	3587	3768	0.2452	0.2452
LOC101136009	ZNF486	DN_NC_073244.2_26666712_5	DN_NC_073244.2_26901109_4	truthbar	0.3723	0.388	1188	633	1188	633	3062	3587	0.1765	0.1765
LOC101136009	ZNF506	DN_NC_073244.2_26240039_2	DN_NC_073244.2_26901109_4	truthbar	0.3465	0.3814	1158	993	1158	993	3036	3587	0.2768	0.2768
LOC101136009	ZNF626	DN_NC_073244.2_26901109_4	DN_NC_073244.2_27131194_2	truthbar	0.3997	0.5519	1733	1187	1733	1187	3587	3140	0.3309	0.3309
LOC101136036	LOC109025592	DN_NC_073224.2_125859316_3	DN_NC_073237.2_96675699_5	genuine	0.2083	0.3844	657	556	657	556	1709	2745	0.2026	0.2026
LOC101136203	LOC109029034	DN_NC_073234.2_49024482_9	DN_NC_073234.2_49087212_9	TP	0.4795	0.648	1362	1253	1362	1253	2102	2675	0.4684	0.4684
LOC101136352	LOC101152610	DN_NC_073240.2_21601841_7	DN_NC_073240.2_23210840_6	TP	0.4433	0.9407	904	768	904	768	961	990	0.7758	0.7758
LOC101136352	LOC129527660	DN_NC_073240.2_23210840_6	DN_NC_073242.2_37476471_6	genuine	0.3303	1.003	993	908	993	908	990	995	0.9126	0.9126
LOC101136398	LOC115932241	DN_NC_073247.2_18318973_2	DN_NC_073247.2_18638732_2	TP	0.4233	0.907	585	510	585	510	966	645	0.5280	0.5280
LOC101136398	LOC115932281	DN_NC_073247.2_18638732_2	DN_NC_073247.2_18934892_2	TP	0.5745	1.0	644	619	644	619	645	644	0.9597	0.9597
LOC101136398	LOC129529790	DN_NC_073247.2_17003459_2	DN_NC_073247.2_18638732_2	TP	0.7534	1.0514	614	581	614	581	584	645	0.9008	0.9008
LOC101136398	LOC129530333	DN_NC_073247.2_18638732_2	DN_NC_073248.2_30080680_2	genuine	0.3798	1.0295	664	583	664	583	645	664	0.8780	0.8780
LOC101136480	LOC115933250	DN_NC_073242.2_15726062_24	DN_NC_073242.2_30717385_31	TP	0.6532	1.0	3503	3424	3503	3424	3503	4305	0.7954	0.7954
LOC101136480	LOC129527620	DN_NC_073242.2_15726062_24	DN_NC_073242.2_28606635_19	TP	0.4953	0.673	2291	2272	2291	2272	3503	3404	0.6486	0.6486
LOC101136583	LOC101148853	DN_NC_073235.2_121946440_4	DN_NC_073240.2_22595737_5	truthbar	0.8487	0.8195	1289	1098	1289	1098	1573	2200	0.4991	0.4991
LOC101136583	LOC115933728	DN_NC_073235.2_31723374_5	DN_NC_073240.2_22595737_5	truthbar	0.8922	0.9316	1443	1383	1443	1383	1549	2200	0.6286	0.6286
LOC101136583	LOC129526434	DN_NC_073238.2_31467876_5	DN_NC_073240.2_22595737_5	TP	1.0	1.0	2200	2185	2200	2185	2306	2200	0.9475	0.9475
LOC101136583	TUBA3E	DN_NC_073235.2_32697745_5	DN_NC_073240.2_22595737_5	truthbar	0.8725	0.911	1443	1383	1443	1383	1584	2200	0.6286	0.6286
LOC101136583	TUBA8	DN_NC_073240.2_22595737_5	DN_NC_086018.1_16134008_5	truthbar	0.5868	0.4496	914	774	914	774	2200	2033	0.3518	0.3518
LOC101136640	ZNF155	DN_NC_073244.2_55497464_5	DN_NC_073244.2_55565140_5	truthbar	0.4023	0.6987	1695	1334	1695	1334	4218	2426	0.3163	0.3163
LOC101136640	ZNF221	DN_NC_073244.2_55464824_5	DN_NC_073244.2_55565140_5	truthbar	0.4192	0.3953	959	832	959	832	3239	2426	0.2569	0.2569
LOC101136640	ZNF222	DN_NC_073244.2_55538420_4	DN_NC_073244.2_55565140_5	truthbar	0.8599	0.8569	1431	1263	1431	1263	1670	2426	0.5206	0.5206
LOC101136640	ZNF224	DN_NC_073244.2_55565140_5	DN_NC_073244.2_55607411_6	truthbar	0.4073	0.4555	1105	922	1105	922	2426	4082	0.2259	0.2259
LOC101136640	ZNF225	DN_NC_073244.2_55565140_5	DN_NC_073244.2_55626504_5	truthbar	0.4081	0.3883	942	799	942	799	2426	4728	0.1690	0.1690
LOC101136640	ZNF230	DN_NC_073244.2_55516115_5	DN_NC_073244.2_55565140_5	truthbar	0.4909	0.6764	1641	1392	1641	1392	4169	2426	0.3339	0.3339
LOC101136640	ZNF284	DN_NC_073244.2_55565140_5	DN_NC_073244.2_55585242_5	truthbar	0.2333	0.3714	901	762	901	762	2426	4351	0.1751	0.1751
LOC101136692	LOC109025447	DN_NC_073236.2_46653509_10	DN_NC_073236.2_47712811_9	truthbar	0.5126	1.0174	5953	5796	5953	5796	8832	5851	0.6562	0.6562
LOC101136692	LOC129531666	DN_NC_073236.2_46653509_10	DN_NC_073236.2_51202468_4	genuine	0.5068	0.5071	2224	2178	2224	2178	8832	4386	0.2466	0.2466
LOC101136692	LOC129531667	DN_NC_073236.2_46653509_10	DN_NC_073236.2_51437835_4	truthbar	0.3265	0.3265	1053	1029	1053	1029	8832	3225	0.1165	0.1165
LOC101136692	RGPD8	DN_NC_073236.2_46653509_10	DN_NC_073236.2_49989275_2	genuine	0.5344	0.5344	2100	2058	2100	2058	8832	3930	0.2330	0.2330
LOC101136819	LOC101147313	DN_NC_086017.1_207228653_16	DN_NC_086017.1_207540432_15	genuine	0.2477	0.6701	1607	1421	1607	1421	2398	3987	0.3564	0.3564
LOC101136819	SDHA	DN_NC_073243.2_112081564_15	DN_NC_086017.1_207228653_16	genuine	0.2135	1.0133	2430	2187	2430	2187	3005	2398	0.7278	0.7278
LOC101136971	LOC115932749	DN_NC_073242.2_28528734_13	DN_NC_073242.2_35785087_23	TP	0.9632	0.9632	2539	2524	2539	2524	2636	3846	0.6563	0.6563
LOC101136971	ZC3H7A	DN_NC_073242.2_15387796_13	DN_NC_073242.2_28528734_13	TP	1.0	1.0	2621	2610	2621	2610	2621	2636	0.9901	0.9901
LOC101137060	LOC109025447	DN_NC_073236.2_46676942_15	DN_NC_073236.2_47732210_12	genuine	0.2617	0.3892	1310	1183	1310	1183	4910	3366	0.2409	0.2409
LOC101137311	PSPC1	DN_NC_073238.2_34005367_9	DN_NC_073240.2_22623333_4	truthbar	0.3602	0.6276	669	658	669	658	4213	1066	0.1562	0.1562
LOC101137455	LOC129533419	DN_NC_073228.2_182473921_9	DN_NC_073228.2_182638384_11	TP	0.8018	0.8018	1319	1313	1319	1313	1645	2785	0.4715	0.4715
LOC101137462	LOC101141027	DN_NC_073244.2_27285351_4	DN_NC_073244.2_27765726_4	truthbar	0.5385	0.7004	1812	1406	1812	1406	4682	2587	0.3003	0.3003
LOC101137462	LOC101144838	DN_NC_073244.2_27285351_4	DN_NC_073244.2_28256975_5	truthbar	0.1982	0.3645	1620	1289	1620	1289	4682	4445	0.2753	0.2753
LOC101137462	LOC101145945	DN_NC_073244.2_27285351_4	DN_NC_073244.2_28588105_4	truthbar	0.2744	0.4425	1738	1260	1738	1260	4682	3928	0.2691	0.2691
LOC101137462	LOC101153126	DN_NC_073244.2_27285351_4	DN_NC_073244.2_29297022_4	truthbar	0.3845	0.4231	1981	1452	1981	2826	4682	4794	0.3029	0.5895
LOC101137462	LOC115930172	DN_NC_073244.2_27051998_4	DN_NC_073244.2_27285351_4	genuine	0.3522	0.6176	2327	2003	2327	2003	3768	4682	0.4278	0.4278
LOC101137462	LOC115931567	DN_NC_073244.2_27285351_4	DN_NC_073244.2_27626411_5	genuine	0.4079	0.2431	937	803	937	1514	4682	3854	0.1715	0.3234
LOC101137462	LOC115931576	DN_NC_073244.2_27285351_4	DN_NC_073244.2_29046961_4	truthbar	0.4798	0.4257	1730	1327	1730	1327	4682	4064	0.2834	0.2834
LOC101137462	LOC129527827	DN_NC_073242.2_66613619_4	DN_NC_073244.2_27285351_4	genuine	0.2279	0.5046	2050	1424	2050	1424	4063	4682	0.3041	0.3041
LOC101137462	LOC129528947	DN_NC_073244.2_27285351_4	DN_NC_073244.2_27408454_4	genuine	0.4072	0.45	1724	1470	1724	1470	4682	3831	0.3140	0.3140
LOC101137462	ZNF254	DN_NC_073244.2_27285351_4	DN_NC_073244.2_30438340_4	truthbar	0.4512	0.4333	1759	1391	1759	1391	4682	4060	0.2971	0.2971
LOC101137462	ZNF273	DN_NC_073230.2_74299233_4	DN_NC_073244.2_27285351_4	truthbar	0.2776	0.4964	1867	1443	1867	1443	3761	4682	0.3082	0.3082
