modal_gene	copies_chimp	copies_gorilla	copies_orang	origin_branch	sample_paralogs
MCL1	2	0	0	chimp lineage (<9 Mya; or shared with human)	MCL1,EIF3F
SF3B4	2	0	0	chimp lineage (<9 Mya; or shared with human)	SF3B4,GARIN2
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
TRIP13	2	0	0	chimp lineage (<9 Mya; or shared with human)	TRIP13
BRD9	2	0	0	chimp lineage (<9 Mya; or shared with human)	BRD9,ZDHHC11
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
AP4B1	2	0	0	chimp lineage (<9 Mya; or shared with human)	AP4B1,BCL2L15,PTPN22
HIPK1	2	0	0	chimp lineage (<9 Mya; or shared with human)	HIPK1,HIPK2
ST7L	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	ST7L,ST7,MIR6132
SLC25A24	2	0	2	ancestral, contracted in gorilla (>17 Mya)	SLC25A24
THAP3	2	0	0	chimp lineage (<9 Mya; or shared with human)	THAP3
HOOK1	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	HOOK1,HOOK3,RNF170
MRPL37	2	0	2	ancestral, contracted in gorilla (>17 Mya)	MRPL37,SSBP3,SSBP2
DST	2	2	0	African-ape ancestor (~9-17 Mya)	DST,MACF1
RRAGC	2	0	0	chimp lineage (<9 Mya; or shared with human)	RRAGC,RRAGD
ZBTB8OS	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	ZBTB8OS,RBBP4,RBBP7,SYNC,TXLNG
HDAC1	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	HDAC1,HDAC2
ARID1A	2	2	0	African-ape ancestor (~9-17 Mya)	ARID1A,ARID1B
HNRNPR	2	0	2	ancestral, contracted in gorilla (>17 Mya)	HNRNPR,SYNCRIP
TRNAE-UUC	2	0	2	ancestral, contracted in gorilla (>17 Mya)	TRNAE-UUC
PLOD1	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	PLOD1,PLOD3
TARDBP	2	0	0	chimp lineage (<9 Mya; or shared with human)	TARDBP
RER1	2	2	0	African-ape ancestor (~9-17 Mya)	RER1,PEX10
LETM1	2	0	0	chimp lineage (<9 Mya; or shared with human)	LETM1,ZNF135,ZSCAN1
FAM200B	2	0	0	chimp lineage (<9 Mya; or shared with human)	FAM200B,FAM200A
PDS5A	2	0	0	chimp lineage (<9 Mya; or shared with human)	PDS5A,PDS5B
NAA11	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	NAA11,NAA10
BMP2K	2	0	2	ancestral, contracted in gorilla (>17 Mya)	BMP2K,RPS21
SDAD1	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	SDAD1,BNIP3L
ANKRD17	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	ANKRD17,ANKHD1
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
HERC6	2	2	0	African-ape ancestor (~9-17 Mya)	HERC6,HERC5
GRID2	2	0	0	chimp lineage (<9 Mya; or shared with human)	GRID2,PMPCA
PAPSS1	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	PAPSS1,PAPSS2
SEC24D	2	2	0	African-ape ancestor (~9-17 Mya)	SEC24D,SEC24C
NAA15	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	NAA15,NDUFC1,NAA16
SMARCA5	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	SMARCA5,SMARCA1
TRIM60	2	0	0	chimp lineage (<9 Mya; or shared with human)	TRIM60
CLCN3	2	2	0	African-ape ancestor (~9-17 Mya)	CLCN3,CLCN4,MIR502A,MIR660,MIR362
RNASE12	2	0	0	chimp lineage (<9 Mya; or shared with human)	RNASE12,RNASE11
SNX25	2	0	0	chimp lineage (<9 Mya; or shared with human)	SNX25,CFAP97
SLC6A3	2	0	0	chimp lineage (<9 Mya; or shared with human)	SLC6A3,SLC6A2
FAM177A1	2	0	0	chimp lineage (<9 Mya; or shared with human)	FAM177A1,SRP54
PTP4A1	2	0	0	chimp lineage (<9 Mya; or shared with human)	PTP4A1
DHFR	2	0	0	chimp lineage (<9 Mya; or shared with human)	DHFR,DHFR2
ENC1	2	0	2	ancestral, contracted in gorilla (>17 Mya)	ENC1,KLHL25,MIR1276
TNPO1	2	2	0	African-ape ancestor (~9-17 Mya)	TNPO1,TNPO2
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
TAF9	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	TAF9,AK6,TAF9B,RAD17
ANKRD55	2	0	0	chimp lineage (<9 Mya; or shared with human)	ANKRD55,FAHD2B
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
CDH18	2	0	0	chimp lineage (<9 Mya; or shared with human)	CDH18,NUP50
RPL28	2	0	0	chimp lineage (<9 Mya; or shared with human)	RPL28
PPP2CA	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	PPP2CA,PPP2CB
NDUFA2	2	0	0	chimp lineage (<9 Mya; or shared with human)	NDUFA2,IK
HARS1	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	HARS1,HARS2
PCDHB2	2	0	0	chimp lineage (<9 Mya; or shared with human)	PCDHB2,PCDHB12
PCDHB5	2	0	0	chimp lineage (<9 Mya; or shared with human)	PCDHB5,RPL6
CSNK1A1	2	0	2	ancestral, contracted in gorilla (>17 Mya)	CSNK1A1,ARHGEF37,CSNK1A1L
NDST1	2	2	0	African-ape ancestor (~9-17 Mya)	NDST1,NDST2
SLC36A3	2	0	0	chimp lineage (<9 Mya; or shared with human)	SLC36A3,SLC36A1
KIF4B	2	0	0	chimp lineage (<9 Mya; or shared with human)	KIF4B,KIF4A
FNDC9	2	2	0	African-ape ancestor (~9-17 Mya)	FNDC9,CYFIP2,CYFIP1,NIPA2
RANBP17	2	2	0	African-ape ancestor (~9-17 Mya)	RANBP17,XPO7
FBXW11	2	0	2	ancestral, contracted in gorilla (>17 Mya)	FBXW11,BTRC
RPL26L1	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	RPL26L1,RPL26,ODF4
RPL19	2	2	0	African-ape ancestor (~9-17 Mya)	RPL19
CANX	2	0	0	chimp lineage (<9 Mya; or shared with human)	CANX,CBY3,HMGB3
GFPT2	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	GFPT2,GFPT1
FAM50B	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	FAM50B,FAM50A
TMEM14C	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	TMEM14C,TMEM14B
BTN2A2	2	2	0	African-ape ancestor (~9-17 Mya)	BTN2A2,BTN2A1
RPL30	2	0	0	chimp lineage (<9 Mya; or shared with human)	RPL30
STXBP4	2	2	0	African-ape ancestor (~9-17 Mya)	STXBP4,TOM1L1,TRNAT-CGU,TRNAL-AAG,TRNAT-UGU
DDX39B	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	DDX39B,MCCD1,DDX39A
C4A	2	2	0	African-ape ancestor (~9-17 Mya)	C4A,C4B
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
TCP11	2	0	2	ancestral, contracted in gorilla (>17 Mya)	TCP11,TCP11X2
HSP90AB1	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	HSP90AB1,HSP90AA1,SLC35B2
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
KHDC1L	2	0	0	chimp lineage (<9 Mya; or shared with human)	KHDC1L,KHDC1
FYN	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	FYN,YES1,SRC
ECHDC1	2	2	0	African-ape ancestor (~9-17 Mya)	ECHDC1,RNF146
KATNA1	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	KATNA1,KATNAL1
MTHFD1L	2	2	0	African-ape ancestor (~9-17 Mya)	MTHFD1L,ZBTB25,MTHFD1
(unnamed)	2	0	2	ancestral, contracted in gorilla (>17 Mya)	
RAC1	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	RAC1,RAC3
PDE1C	2	0	2	ancestral, contracted in gorilla (>17 Mya)	PDE1C,PDE1A
PGAM2	2	0	2	ancestral, contracted in gorilla (>17 Mya)	PGAM2,PGAM1,EXOSC1
ERV3-1	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	ERV3-1,ACSM1
SBDS	2	2	0	African-ape ancestor (~9-17 Mya)	SBDS
TYW1B	2	2	0	African-ape ancestor (~9-17 Mya)	TYW1B
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
POM121	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	POM121,NSUN5,POM121C
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
FAM133B	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	FAM133B,FAM133A
DYNC1I1	2	0	0	chimp lineage (<9 Mya; or shared with human)	DYNC1I1,DYNC1I2
SLC25A13	2	2	0	African-ape ancestor (~9-17 Mya)	SLC25A13,SLC25A12,MIR1282-2,MIR591
CASTOR3P	2	0	0	chimp lineage (<9 Mya; or shared with human)	CASTOR3P,STAG3,PILRB
SRPK2	2	0	0	chimp lineage (<9 Mya; or shared with human)	SRPK2,NKAIN3
METTL2B	2	2	0	African-ape ancestor (~9-17 Mya)	METTL2B,METTL2A
COPG2	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	COPG2,COPG1,MEST,TSGA13
TMEM140	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	TMEM140,CYREN
LUC7L2	2	0	0	chimp lineage (<9 Mya; or shared with human)	LUC7L2,LUC7L
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
CDS2	2	0	0	chimp lineage (<9 Mya; or shared with human)	CDS2
TCAF1	2	2	0	African-ape ancestor (~9-17 Mya)	TCAF1,TCAF2
EZH2	2	2	0	African-ape ancestor (~9-17 Mya)	EZH2,EZH1
ZNF212	2	0	0	chimp lineage (<9 Mya; or shared with human)	ZNF212
CHPF2	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	CHPF2,CHPF,MIR671,TMEM198
ACTR3B	2	0	0	chimp lineage (<9 Mya; or shared with human)	ACTR3B
TNKS	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	TNKS,TNKS2,MIR597
MEIG1	2	0	0	chimp lineage (<9 Mya; or shared with human)	MEIG1
PPP3CC	2	0	0	chimp lineage (<9 Mya; or shared with human)	PPP3CC,PPP3CB
PLPP5	2	0	0	chimp lineage (<9 Mya; or shared with human)	PLPP5,DDHD2,PLPP4
KAT6A	2	2	0	African-ape ancestor (~9-17 Mya)	KAT6A,KAT6B
VDAC3	2	0	0	chimp lineage (<9 Mya; or shared with human)	VDAC3,DKK4
PXDNL	2	0	2	ancestral, contracted in gorilla (>17 Mya)	PXDNL,PXDN
RPS20	2	0	0	chimp lineage (<9 Mya; or shared with human)	RPS20,TMEM70
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
ARFGEF1	2	2	0	African-ape ancestor (~9-17 Mya)	ARFGEF1,ARFGEF2
SULF1	2	2	0	African-ape ancestor (~9-17 Mya)	SULF1,SULF2
RPL7	2	0	0	chimp lineage (<9 Mya; or shared with human)	RPL7
RUNX1T1	2	0	0	chimp lineage (<9 Mya; or shared with human)	RUNX1T1,CBFA2T2
STK3	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	STK3,STK4
LY6K	2	0	0	chimp lineage (<9 Mya; or shared with human)	LY6K
GPT	2	0	0	chimp lineage (<9 Mya; or shared with human)	GPT,GPT2
GDI2	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	GDI2,GDI1,TASOR2
SEC61A2	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	SEC61A2,SEC61A1
NMT2	2	2	0	African-ape ancestor (~9-17 Mya)	NMT2,NMT1
(unnamed)	2	0	2	ancestral, contracted in gorilla (>17 Mya)	
BMS1	2	0	0	chimp lineage (<9 Mya; or shared with human)	BMS1
WASHC2C	2	2	0	African-ape ancestor (~9-17 Mya)	WASHC2C
ANTXRL	2	0	0	chimp lineage (<9 Mya; or shared with human)	ANTXRL
SHLD2	2	0	0	chimp lineage (<9 Mya; or shared with human)	SHLD2
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
ADIRF	2	0	2	ancestral, contracted in gorilla (>17 Mya)	ADIRF
IFIT1	2	0	2	ancestral, contracted in gorilla (>17 Mya)	IFIT1,IFIT5
HSPA12A	2	2	0	African-ape ancestor (~9-17 Mya)	HSPA12A,SPMIP5,HSPA12B
PTPRE	2	2	0	African-ape ancestor (~9-17 Mya)	PTPRE,PTPRA
DENND5A	2	0	0	chimp lineage (<9 Mya; or shared with human)	DENND5A,DENND5B
PARVA	2	2	0	African-ape ancestor (~9-17 Mya)	PARVA,TRNASTOP-UCA,PARVB
SLC25A51	2	0	0	chimp lineage (<9 Mya; or shared with human)	SLC25A51
DCDC1	2	0	0	chimp lineage (<9 Mya; or shared with human)	DCDC1
MAPK8IP1	2	0	0	chimp lineage (<9 Mya; or shared with human)	MAPK8IP1,FREY1
NR1H3	2	0	2	ancestral, contracted in gorilla (>17 Mya)	NR1H3,NR1H2
KBTBD4	2	2	0	African-ape ancestor (~9-17 Mya)	KBTBD4,PTPMT1,NDUFS3
OSBP	2	0	0	chimp lineage (<9 Mya; or shared with human)	OSBP,OSBP2
ATL3	2	2	0	African-ape ancestor (~9-17 Mya)	ATL3,ATL2
PACS1	2	0	0	chimp lineage (<9 Mya; or shared with human)	PACS1,PACS2
RBM4	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	RBM4,RBM4B
GRK2	2	2	0	African-ape ancestor (~9-17 Mya)	GRK2,GRK3
CORO1B	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	CORO1B,CORO1C
CDK2AP2	2	0	0	chimp lineage (<9 Mya; or shared with human)	CDK2AP2
CPT1B	2	0	2	ancestral, contracted in gorilla (>17 Mya)	CPT1B,CPT1A,CPT1C
NEU3	2	0	0	chimp lineage (<9 Mya; or shared with human)	NEU3
GAB2	2	0	0	chimp lineage (<9 Mya; or shared with human)	GAB2,GAB4
BIRC3	2	0	2	ancestral, contracted in gorilla (>17 Mya)	BIRC3,BIRC2
PPP2R1B	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	PPP2R1B,PPP2R1A
ERC1	2	0	0	chimp lineage (<9 Mya; or shared with human)	ERC1,ERC2
GAPDH	2	0	0	chimp lineage (<9 Mya; or shared with human)	GAPDH
ING4	2	2	0	African-ape ancestor (~9-17 Mya)	ING4,ING5,ACRBP
USP5	2	2	0	African-ape ancestor (~9-17 Mya)	USP5,USP13,CDCA3
LPCAT3	2	2	0	African-ape ancestor (~9-17 Mya)	LPCAT3,EMG1,PHB2
SLC2A14	2	2	0	African-ape ancestor (~9-17 Mya)	SLC2A14,SLC2A3
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
C12H12orf56	2	0	0	chimp lineage (<9 Mya; or shared with human)	C12H12orf56,RPS11
RPS26	2	0	2	ancestral, contracted in gorilla (>17 Mya)	RPS26,POLR2D
SLC4A8	2	0	0	chimp lineage (<9 Mya; or shared with human)	SLC4A8,SLC4A7
FMNL3	2	0	0	chimp lineage (<9 Mya; or shared with human)	FMNL3,FMNL1
CACNB3	2	0	0	chimp lineage (<9 Mya; or shared with human)	CACNB3,CACNB4
ALG10B	2	2	0	African-ape ancestor (~9-17 Mya)	ALG10B,ALG10
PPFIBP1	2	0	0	chimp lineage (<9 Mya; or shared with human)	PPFIBP1,C12H12orf71
KRR1	2	0	0	chimp lineage (<9 Mya; or shared with human)	KRR1,GLIPR1
ACACB	2	0	0	chimp lineage (<9 Mya; or shared with human)	ACACB,ACACA
RNFT2	2	0	0	chimp lineage (<9 Mya; or shared with human)	RNFT2,PRSS3
ATP6V0A2	2	0	0	chimp lineage (<9 Mya; or shared with human)	ATP6V0A2,ATP6V0A1
EP400	2	0	2	ancestral, contracted in gorilla (>17 Mya)	EP400
NTMT1	2	2	0	African-ape ancestor (~9-17 Mya)	NTMT1,ASB6
ENDOG	2	0	0	chimp lineage (<9 Mya; or shared with human)	ENDOG,KYAT1
CFAP157	2	0	0	chimp lineage (<9 Mya; or shared with human)	CFAP157,PTRH1
STXBP1	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	STXBP1,STXBP2,PTRH1
PTBP3	2	0	0	chimp lineage (<9 Mya; or shared with human)	PTBP3,PLPPR3,PTBP1
NIPSNAP3A	2	2	0	African-ape ancestor (~9-17 Mya)	NIPSNAP3A,NIPSNAP3B
TMOD1	2	0	0	chimp lineage (<9 Mya; or shared with human)	TMOD1,TSTD2
IARS1	2	0	0	chimp lineage (<9 Mya; or shared with human)	IARS1,SPTLC1
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
GNAQ	2	0	0	chimp lineage (<9 Mya; or shared with human)	GNAQ,GNA11
KIF27	2	0	0	chimp lineage (<9 Mya; or shared with human)	KIF27
CNTNAP3	2	0	0	chimp lineage (<9 Mya; or shared with human)	CNTNAP3,CNTNAP4
PHF24	2	0	2	ancestral, contracted in gorilla (>17 Mya)	PHF24,FAM205A
AQP7	2	0	0	chimp lineage (<9 Mya; or shared with human)	AQP7
LAGE3	2	2	0	African-ape ancestor (~9-17 Mya)	LAGE3,DNAJA1
RANBP6	2	2	0	African-ape ancestor (~9-17 Mya)	RANBP6,IPO5
SMARCA2	2	0	2	ancestral, contracted in gorilla (>17 Mya)	SMARCA2,SMARCA4
ZNG1A	2	0	0	chimp lineage (<9 Mya; or shared with human)	ZNG1A,ZNG1B
CKAP2L	2	0	0	chimp lineage (<9 Mya; or shared with human)	CKAP2L,IL36G,SIRPG
FAHD2B	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	FAHD2B,FAHD2A
TEKT4	2	0	0	chimp lineage (<9 Mya; or shared with human)	TEKT4
FUNDC2	2	0	0	chimp lineage (<9 Mya; or shared with human)	FUNDC2,F8
PPP4R3B	2	2	0	African-ape ancestor (~9-17 Mya)	PPP4R3B,PPP4R3A
ATP6V1E2	2	0	0	chimp lineage (<9 Mya; or shared with human)	ATP6V1E2,ATP6V1E1,SLC25A18
MAP4K3	2	0	0	chimp lineage (<9 Mya; or shared with human)	MAP4K3,ATL1,MAP4K5
RRM2	2	0	0	chimp lineage (<9 Mya; or shared with human)	RRM2
RRM2	2	0	0	chimp lineage (<9 Mya; or shared with human)	RRM2,EFHC2
CLASP1	2	0	0	chimp lineage (<9 Mya; or shared with human)	CLASP1,CLASP2
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
RBMS1	2	0	0	chimp lineage (<9 Mya; or shared with human)	RBMS1,RBMS3
TLK1	2	2	0	African-ape ancestor (~9-17 Mya)	TLK1,TLK2
SP3	2	0	0	chimp lineage (<9 Mya; or shared with human)	SP3
ATP5MC3	2	0	0	chimp lineage (<9 Mya; or shared with human)	ATP5MC3,RPS15A
ZNF385B	2	0	0	chimp lineage (<9 Mya; or shared with human)	ZNF385B,TXNL4A
PLCL1	2	2	0	African-ape ancestor (~9-17 Mya)	PLCL1,PLCL2
BMPR2	2	0	0	chimp lineage (<9 Mya; or shared with human)	BMPR2
USP37	2	2	0	African-ape ancestor (~9-17 Mya)	USP37,USP29
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
MSL3	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	MSL3
PER2	2	0	0	chimp lineage (<9 Mya; or shared with human)	PER2,PER1
HDAC4	2	0	0	chimp lineage (<9 Mya; or shared with human)	HDAC4,HDAC5
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
ARL2BP	2	0	0	chimp lineage (<9 Mya; or shared with human)	ARL2BP
LSM14A	2	0	0	chimp lineage (<9 Mya; or shared with human)	LSM14A
INTS6L	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	INTS6L,INTS6,SAGE1
DNAJC3	2	0	0	chimp lineage (<9 Mya; or shared with human)	DNAJC3
DOCK9	2	2	0	African-ape ancestor (~9-17 Mya)	DOCK9,DOCK11
SLC7A7	2	0	0	chimp lineage (<9 Mya; or shared with human)	SLC7A7,OXA1L,SLC7A6OS,SLC7A6
SEC23A	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	SEC23A,SEC23B
BTBD6	2	0	0	chimp lineage (<9 Mya; or shared with human)	BTBD6,BRF1,BTBD3
SNURF	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	SNURF,SNRPB,SNRPN
CCDC32	2	0	2	ancestral, contracted in gorilla (>17 Mya)	CCDC32
MAPKBP1	2	0	0	chimp lineage (<9 Mya; or shared with human)	MAPKBP1
TUBGCP4	2	0	0	chimp lineage (<9 Mya; or shared with human)	TUBGCP4,ZSCAN29,ZKSCAN2
ZNF280C	2	0	2	ancestral, contracted in gorilla (>17 Mya)	ZNF280C,ZNF280D,ZNF280B
MORF4L1	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	MORF4L1,MORF4L2
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
TTLL13	2	0	0	chimp lineage (<9 Mya; or shared with human)	TTLL13,TTLL6
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
PMM2	2	0	0	chimp lineage (<9 Mya; or shared with human)	PMM2
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
HAGH	2	0	0	chimp lineage (<9 Mya; or shared with human)	HAGH
PKD1	2	0	0	chimp lineage (<9 Mya; or shared with human)	PKD1
PDPK1	2	0	2	ancestral, contracted in gorilla (>17 Mya)	PDPK1
ZSCAN32	2	0	0	chimp lineage (<9 Mya; or shared with human)	ZSCAN32,MTRNR2L4
C16H16orf90	2	0	0	chimp lineage (<9 Mya; or shared with human)	C16H16orf90,RPL18
MGRN1	2	0	0	chimp lineage (<9 Mya; or shared with human)	MGRN1
SEPTIN12	2	0	2	ancestral, contracted in gorilla (>17 Mya)	SEPTIN12,SEPTIN9,SMIM22
GSPT1	2	0	0	chimp lineage (<9 Mya; or shared with human)	GSPT1,GSPT2
TNRC6A	2	0	0	chimp lineage (<9 Mya; or shared with human)	TNRC6A,TNRC6C
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
ALDOA	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	ALDOA,ALDOC
ZNF747	2	0	0	chimp lineage (<9 Mya; or shared with human)	ZNF747,ZNF764
RUSF1	2	0	0	chimp lineage (<9 Mya; or shared with human)	RUSF1,SLC5A2
CSNK2A2	2	0	2	ancestral, contracted in gorilla (>17 Mya)	CSNK2A2,CSNK2A1
DPEP3	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	DPEP3,DPEP2
NIP7	2	0	0	chimp lineage (<9 Mya; or shared with human)	NIP7,COG8
IST1	2	0	0	chimp lineage (<9 Mya; or shared with human)	IST1,PKD1L3
DDX19A	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	DDX19A,DDX19B
DEF8	2	0	0	chimp lineage (<9 Mya; or shared with human)	DEF8
MED31	2	0	0	chimp lineage (<9 Mya; or shared with human)	MED31,TXNDC17,C19H17orf100
MPDU1	2	0	0	chimp lineage (<9 Mya; or shared with human)	MPDU1,CD68,SOX15
NAA38	2	0	2	ancestral, contracted in gorilla (>17 Mya)	NAA38,CYB5D1
EFCAB13	2	0	0	chimp lineage (<9 Mya; or shared with human)	EFCAB13,MRPL45
TUBG2	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	TUBG2,RETREG3,TUBG1
STAT5A	2	0	0	chimp lineage (<9 Mya; or shared with human)	STAT5A,STAT5B
KAT2A	2	0	0	chimp lineage (<9 Mya; or shared with human)	KAT2A,KAT2B
KRT34	2	0	0	chimp lineage (<9 Mya; or shared with human)	KRT34,KRT33A
AP2B1	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	AP2B1,AP1B1
LINC02693	2	0	0	chimp lineage (<9 Mya; or shared with human)	LINC02693
DRG2	2	0	0	chimp lineage (<9 Mya; or shared with human)	DRG2
FBXW10	2	0	0	chimp lineage (<9 Mya; or shared with human)	FBXW10,FBXW10B
DNAH9	2	0	0	chimp lineage (<9 Mya; or shared with human)	DNAH9,DNAH17,PGS1
RANGRF	2	0	0	chimp lineage (<9 Mya; or shared with human)	RANGRF,SLC25A35
NME1	2	0	2	ancestral, contracted in gorilla (>17 Mya)	NME1
IGBP1C	2	0	2	ancestral, contracted in gorilla (>17 Mya)	IGBP1C,IGBP1,TEX14
CLTC	2	2	0	African-ape ancestor (~9-17 Mya)	CLTC,CLTCL1
AMZ2	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	AMZ2,ARSG
CSNK1D	2	0	0	chimp lineage (<9 Mya; or shared with human)	CSNK1D,CSNK1E
FN3KRP	2	0	0	chimp lineage (<9 Mya; or shared with human)	FN3KRP,FN3K
CNN2	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	CNN2,CNN1
SAFB2	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	SAFB2,SAFB
AP1M2	2	2	0	African-ape ancestor (~9-17 Mya)	AP1M2,AP1M1
(unnamed)	2	0	2	ancestral, contracted in gorilla (>17 Mya)	
ZNF780B	2	0	0	chimp lineage (<9 Mya; or shared with human)	ZNF780B,ZNF780A
GEMIN7	2	0	0	chimp lineage (<9 Mya; or shared with human)	GEMIN7
NAPA	2	2	0	African-ape ancestor (~9-17 Mya)	NAPA,NAPB
MED25	2	0	0	chimp lineage (<9 Mya; or shared with human)	MED25,PNKP,PTOV1
NLRP7	2	2	0	African-ape ancestor (~9-17 Mya)	NLRP7,NLRP2
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
ZBED1	2	2	0	African-ape ancestor (~9-17 Mya)	ZBED1,DHRSX
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
TXLNG	2	0	0	chimp lineage (<9 Mya; or shared with human)	TXLNG,TXLNGY
PHKA2	2	2	0	African-ape ancestor (~9-17 Mya)	PHKA2,PHKA1
EIF1AX	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	EIF1AX,EIF1AY
DDX3X	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	DDX3X,DDX3Y
MAOA	2	2	0	African-ape ancestor (~9-17 Mya)	MAOA,MAOB
NUDT10	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	NUDT10
FAM156B	2	0	2	ancestral, contracted in gorilla (>17 Mya)	FAM156B,FAM156A
PAGE2B	2	0	0	chimp lineage (<9 Mya; or shared with human)	PAGE2B,ALAS2,ALAS1
NLGN3	2	0	0	chimp lineage (<9 Mya; or shared with human)	NLGN3,NLGN4Y
CT83	2	0	2	ancestral, contracted in gorilla (>17 Mya)	CT83
(unnamed)	2	2	0	African-ape ancestor (~9-17 Mya)	
TEX13D	2	0	0	chimp lineage (<9 Mya; or shared with human)	TEX13D,TEX13C
ATP11C	2	0	0	chimp lineage (<9 Mya; or shared with human)	ATP11C,ATP11B
CXHXorf51B	2	0	0	chimp lineage (<9 Mya; or shared with human)	CXHXorf51B,CXHXorf51A
EOLA1	2	0	2	ancestral, contracted in gorilla (>17 Mya)	EOLA1,EOLA2,HSFX3
