gene_a	gene_b	core_recip	compara
ZNF616	ZNF600	0.183	paralog
ZNF184	ZNF468	0.172	not
ZNF605	ZNF565	0.154	paralog
ZNF333	ZNF256	0.164	not
ZFP62	ZNF235	0.152	not
ZNF484	ZNF334	0.139	paralog
ZNF487	ZNF334	0.180	not
ZNF678	ZNF141	0.171	paralog
ZNF701	ZNF28	0.174	not
ZFP37	ZNF260	0.146	not
ZFP2	ZNF544	0.141	paralog
ZNF594	ZNF567	0.149	not
ZIK1	ZNF134	0.194	paralog
ZFP69B	ZNF606	0.191	not
ZNF829	ZNF331	0.168	paralog
ZNF157	ZNF717	0.147	paralog
ZNF823	ZNF582	0.130	not
ZNF33B	ZNF256	0.139	not
ZNF605	ZNF568	0.146	paralog
ZNF568	ZNF416	0.189	not
ZNF260	ZNF829	0.142	paralog
ZFP90	ZNF260	0.144	not
ZNF177	ZNF235	0.154	not
ZNF568	ZNF157	0.190	paralog
ZNF578	ZNF468	0.175	paralog
ZNF567	ZFP28	0.183	not
ZNF879	ZNF727	0.180	paralog
ZNF776	ZNF586	0.191	not
ZNF547	ZNF548	0.141	not
ZFP3	ZNF302	0.177	not
ZNF225	ZNF233	0.192	not
IRF6	IRF5	0.147	paralog
ZNF684	ZNF16	0.166	not
ZNF260	ZNF766	0.157	not
ZNF776	ZNF132	0.144	not
ZNF30	ZNF808	0.183	not
ZNF684	ZNF181	0.146	not
ZNF680	ZNF506	0.181	not
ZNF527	ZNF674	0.170	not
ZNF670	ZNF665	0.135	not
ZNF121	ZNF790	0.198	paralog
ZNF184	ZNF583	0.159	not
ZNF432	ZNF182	0.164	paralog
ZNF792	ZIK1	0.184	paralog
ZNF527	ZNF180	0.155	not
ZNF487	ZNF605	0.161	not
ZNF250	ZNF157	0.164	paralog
ZNF823	ZNF791	0.172	paralog
ZFP2	ZNF197	0.153	paralog
ZNF84	ZNF888	0.132	not
ZNF235	ZNF229	0.185	paralog
ZNF721	ZNF573	0.163	not
BEX5	BEX3	0.169	paralog
ZNF782	ZNF416	0.174	not
SAMD9L	SAMD9	0.185	paralog
ZNF235	ZNF112	0.181	paralog
ZNF782	ZNF717	0.154	paralog
ZNF883	ZNF14	0.137	not
ZNF695	ZNF727	0.146	paralog
ZNF189	ZNF790	0.152	paralog
ZNF264	ZNF41	0.131	not
ZNF485	ZNF682	0.141	not
DLD	EPPIN	0.193	not
ZNF484	ZNF302	0.187	not
ZNF184	ZNF273	0.153	not
ZNF233	ZNF616	0.193	not
ZNF585B	ZNF649	0.136	not
ZNF234	ZNF28	0.144	paralog
ZSCAN21	ZNF197	0.140	not
ZFP2	ZNF391	0.145	paralog
ZSCAN29	ZNF674	0.131	not
ZNF91	ZNF528	0.163	not
ZNF799	ZNF490	0.166	not
ZNF569	ZNF546	0.151	not
ZFP1	ZNF571	0.164	paralog
ZNF3	ZNF671	0.182	not
ZNF680	ZNF91	0.175	not
ZNF613	ZNF660	0.142	not
ZNF134	ZNF551	0.159	paralog
ZNF879	ZNF527	0.158	not
ACSL3	ACSL4	0.179	paralog
DAAM2	DAAM1	0.170	paralog
ZNF547	ZNF776	0.138	paralog
ZIK1	ZNF586	0.142	paralog
ZNF585A	ZNF569	0.137	not
ZNF436	ZNF41	0.145	paralog
ZNF540	ZNF808	0.199	not
TRDN	DAND5	0.152	not
ZKSCAN5	ZNF197	0.143	paralog
ZNF234	ZNF578	0.146	not
ZFP62	ZNF195	0.167	not
ZNF91	ZNF616	0.139	not
ZNF696	ZNF74	0.158	paralog
ZNF397	ZNF573	0.149	not
ZNF776	ZNF256	0.177	not
ZNF233	ZNF285	0.143	paralog
ZNF195	OSBPL10	0.162	not
ZNF670	ZNF823	0.156	not
ZNF586	ZNF418	0.143	paralog
ZNF16	ZNF232	0.162	not
SEM1	TMEM38B	0.174	not
ZNF605	ZNF256	0.141	not
ZNF30	ZNF780B	0.154	paralog
ZNF429	ZNF836	0.159	paralog
ZNF699	ZNF571	0.169	paralog
ZNF334	ZNF619	0.181	not
ZNF28	ZNF157	0.139	paralog
ZNF268	ZNF883	0.159	paralog
ZNF671	ZNF418	0.145	not
ZNF782	ZNF112	0.183	paralog
ZFP69B	ZNF594	0.154	not
ZNF557	ZNF81	0.132	not
ZNF879	ZNF16	0.167	paralog
ZNF233	ZNF235	0.191	not
TNFRSF10B	TNFRSF10A	0.183	paralog
ZNF560	ZNF544	0.135	not
ZNF879	ZNF181	0.200	not
TMEM63A	TMEM63B	0.179	paralog
ZKSCAN3	ZNF394	0.132	paralog
ZNF26	ZNF135	0.170	paralog
ZNF484	ZFP28	0.135	paralog
ZFP62	ZNF543	0.155	not
ZNF571	ZNF616	0.189	paralog
ZNF682	ZNF420	0.188	not
ZNF600	ZNF667	0.145	not
ZNF415	ZNF813	0.145	not
ZNF26	ZNF551	0.167	not
ZNF585A	ZNF614	0.141	not
ZNF433	ZNF540	0.170	not
ZNF548	ZNF586	0.166	paralog
ZNF124	ZNF823	0.154	not
GGCT	CGREF1	0.131	not
ZNF251	ZNF30	0.198	paralog
ZNF230	ZNF235	0.134	not
ZNF484	ZNF836	0.189	paralog
ZNF678	ZNF468	0.154	not
ZNF660	ZNF35	0.162	not
ZNF721	ZNF92	0.168	not
ZNF841	ZNF83	0.147	paralog
ZNF3	ZNF585A	0.132	paralog
HMGN2	BLOC1S6	0.153	not
ZNF510	ZNF674	0.159	not
ZFP3	ZNF813	0.131	not
ZNF45	ZNF233	0.148	not
ZNF30	ZNF527	0.183	not
ZNF33B	ZNF527	0.166	not
ZNF605	ZNF615	0.154	paralog
ZSCAN31	ZNF77	0.146	not
ZFP37	ZNF334	0.178	not
MAGEB2	MAGEB1	0.169	paralog
ZNF136	ZNF57	0.160	not
ZNF823	ZNF490	0.168	not
ZNF519	ZNF888	0.155	not
ZNF594	ZNF571	0.151	not
ZNF674	ZNF81	0.139	not
ZNF264	ZNF460	0.134	not
ZNF569	ZNF334	0.144	not
ZNF564	ZNF91	0.168	not
ZNF585A	ZKSCAN7	0.149	not
ZFP62	ZNF26	0.168	not
ZNF45	ZNF155	0.195	not
ZNF14	ZNF77	0.182	not
ZNF721	ZNF813	0.132	not
ZNF134	ZNF256	0.141	paralog
ZFP62	ZNF699	0.183	not
ZNF594	ZNF547	0.134	not
ZFP90	ZNF35	0.157	paralog
ZNF195	ZNF594	0.158	not
ZNF333	ZNF181	0.140	not
ZNF420	ZFP28	0.139	not
ZNF304	ZNF418	0.183	paralog
NBEAL1	HSCB	0.160	not
ZNF879	ZNF583	0.153	not
ZNF605	ZNF260	0.166	paralog
ZNF354A	ZNF184	0.167	not
WDR64	MCTP2	0.174	not
DCAF16	GIMAP4	0.153	not
ZNF221	ZNF235	0.163	paralog
ZNF624	ZFP3	0.181	paralog
ZNF23	ZNF560	0.180	not
ZNF699	ZNF502	0.150	paralog
ZNF433	ZNF283	0.165	not
ZNF256	ZNF132	0.187	not
ZNF527	ZNF611	0.161	not
ZNF287	ZNF585B	0.193	not
ZNF557	ZNF558	0.149	paralog
ZNF879	ZNF565	0.186	paralog
ZNF879	ZNF268	0.165	paralog
ZNF287	ZNF665	0.158	not
ZNF558	ZNF260	0.153	not
ZFP69	ZNF433	0.152	not
ZNF34	ZNF70	0.151	not
ZNF287	ZNF394	0.132	not
ZFP2	ZNF569	0.186	not
ZNF823	ZNF791	0.187	paralog
WDR55	RPS26	0.137	not
ZNF573	ZNF766	0.149	not
ZNF84	ZNF132	0.165	not
ZNF727	ZNF506	0.137	paralog
ZNF273	ZNF681	0.168	not
ZFP62	ZNF607	0.141	not
ZNF624	ZNF823	0.136	not
ZNF721	ZNF682	0.160	not
ZNF3	ZNF605	0.165	paralog
ZNF440	ZNF791	0.163	not
ZFP2	ZFP90	0.170	not
ZNF571	ZNF578	0.198	not
ZNF529	ZNF461	0.178	not
ZFP37	ZNF302	0.184	not
ZNF875	ZNF337	0.142	paralog
ZNF397	ZNF813	0.158	not
ZNF300	ZNF182	0.179	paralog
KDM7A	PHF8	0.161	paralog
ZNF267	ZFP28	0.141	paralog
ZNF721	ZNF92	0.166	not
ZNF19	ZNF808	0.134	not
ACOT2	ACOT6	0.168	paralog
ZNF234	ZNF83	0.138	paralog
ZNF606	ZNF717	0.191	paralog
ZNF669	ZFP2	0.152	not
ZNF585B	ZNF841	0.162	paralog
ZNF527	ZNF717	0.162	not
ZNF585A	ZNF649	0.182	not
ALB	AVEN	0.154	not
ZNF484	ZNF841	0.142	paralog
ZNF251	ZNF415	0.164	paralog
ZSCAN2	ZNF235	0.131	not
ZNF302	ZNF527	0.148	not
ZNF736	ZNF681	0.179	paralog
ZNF300	ZNF527	0.138	not
ZNF239	ZNF569	0.134	not
ZNF699	ZNF823	0.146	not
ZNF45	ZNF221	0.158	paralog
ZFP2	ZNF461	0.164	paralog
ZNF519	ZNF302	0.131	not
ZFP2	ZNF614	0.141	not
ZNF184	ZNF540	0.166	not
ZNF721	ZNF727	0.168	not
ZNF585B	ZNF761	0.160	not
ZNF195	ZNF254	0.142	paralog
ZNF487	ZNF248	0.170	paralog
ZNF134	ZNF671	0.149	not
ZFP2	ZNF266	0.197	not
ZNF155	ZNF235	0.191	not
ZNF354A	ZNF841	0.172	paralog
ZNF540	ZNF665	0.180	not
ZNF568	ZNF780A	0.141	paralog
ZNF79	ZNF397	0.142	not
ZNF287	ZNF583	0.195	not
ZNF354B	ZNF33B	0.159	paralog
ZNF585A	ZNF616	0.171	paralog
ZNF248	ZFP37	0.133	paralog
ZNF528	OSBPL10	0.196	not
ZNF607	ZNF573	0.140	paralog
ZNF420	ZNF808	0.149	not
ZNF565	ZNF256	0.137	not
ZNF615	ZNF614	0.176	not
TCIRG1	ATP6V0A2	0.147	paralog
ZNF883	ZNF780B	0.152	paralog
ZNF616	ZNF480	0.189	not
ZNF585B	ZNF780B	0.145	paralog
ZNF184	ZNF565	0.144	not
ZNF721	ZNF813	0.144	not
ZNF616	ZNF28	0.143	paralog
ZFP37	ZNF792	0.159	not
ZNF699	ZNF544	0.180	paralog
ZNF891	ZNF10	0.149	paralog
ZFP1	ZNF197	0.168	paralog
ZNF251	ZNF565	0.139	paralog
ZNF697	ZNF205	0.191	not
ZNF624	ZNF197	0.132	paralog
ZNF780B	ZNF460	0.141	paralog
ZSCAN12	ZNF232	0.181	paralog
ZNF91	ZNF81	0.174	not
CNIH1	IL20RB	0.146	not
ZFP69B	ZNF182	0.154	not
ZFP69	ZNF606	0.153	not
ZSCAN16	ZNF569	0.161	not
ZNF121	ZNF502	0.159	paralog
ZNF485	ZNF334	0.169	not
ZNF429	ZNF347	0.177	not
ZFP62	ZNF778	0.147	not
ZNF189	ZNF780B	0.165	paralog
ZNF568	ZNF420	0.183	not
SEM1	SPATA33	0.172	not
ZNF195	ZNF415	0.154	paralog
ZNF354B	ZNF3	0.178	paralog
ZNF573	ZNF175	0.172	paralog
ZNF33B	ZNF568	0.186	paralog
ZNF250	ZNF71	0.167	paralog
ZNF287	ZNF233	0.180	paralog
ZNF251	ZNF568	0.178	paralog
ZNF3	ZFP28	0.146	paralog
ZNF699	ZNF440	0.161	not
ZNF26	ZNF260	0.162	paralog
PRKCZ	PRKCI	0.165	paralog
ZNF571	ZNF780B	0.154	paralog
ZNF560	ZNF175	0.177	not
ZNF551	ZNF154	0.174	paralog
ZNF487	ZNF182	0.179	not
ZNF529	ZNF790	0.133	not
ZNF181	ZNF41	0.180	not
ZNF665	ZNF132	0.198	not
ZNF260	ZNF468	0.157	not
DCP1B	NDUFAF2	0.180	not
ZNF792	ZNF256	0.136	paralog
ZFP69B	ZNF527	0.171	not
ZNF571	ZNF81	0.158	paralog
ZNF529	ZNF582	0.149	paralog
ZNF260	ZNF157	0.157	paralog
ZNF624	ZNF460	0.179	paralog
ZNF699	ZNF197	0.167	paralog
ZNF234	ZNF197	0.184	paralog
ZNF394	ZNF551	0.149	not
ZNF397	ZNF594	0.139	not
ZNF155	ZNF230	0.154	paralog
ZNF300	ZNF416	0.197	not
ZNF883	ZNF527	0.140	not
ZNF595	ZNF721	0.196	not
ZNF780B	ZNF766	0.147	not
ZFP2	ZNF606	0.156	paralog
ZNF721	ZNF285	0.196	not
ZNF548	ZNF671	0.184	not
ZNF585B	ZNF527	0.182	not
ZNF573	ZNF613	0.141	not
ZNF624	ZNF221	0.151	paralog
CCDC92	IL20RB	0.179	not
ZNF829	ZNF583	0.176	not
ZNF487	ZNF527	0.142	not
ZNF141	ZNF680	0.181	not
ZNF426	ZNF433	0.173	not
ZNF287	ZNF501	0.161	not
ZFP69	ZFP2	0.154	not
ZNF585A	ZNF480	0.141	not
ZNF394	ZNF420	0.140	not
ZNF721	ZNF267	0.142	not
ZNF16	ZKSCAN7	0.175	not
ZNF799	ZNF77	0.173	not
ZNF33B	ZNF782	0.141	paralog
ZNF490	ZNF791	0.152	not
ZNF251	ZNF154	0.136	not
ZNF382	ZNF81	0.199	not
ZNF808	ZFP28	0.133	not
ZFP37	ZNF426	0.133	not
ZNF675	ZNF813	0.180	not
ZNF232	ZNF571	0.177	not
XRCC2	LDHC	0.137	not
NFXL1	SEM1	0.153	not
ZNF548	ZIK1	0.182	paralog
ZFP62	ZNF594	0.192	not
ZNF540	ZNF77	0.151	not
ZNF224	ZNF233	0.155	not
ZNF195	ZNF83	0.166	paralog
ZNF26	ZNF175	0.131	paralog
ZNF184	ZNF304	0.189	not
ZNF84	ZNF514	0.173	not
ZNF594	ZNF157	0.136	not
ZNF836	ZNF347	0.196	not
ZNF485	ZNF302	0.134	not
ZNF181	ZNF607	0.173	not
ZNF721	ZNF528	0.143	not
ZNF302	ZNF583	0.152	not
ZNF721	ZNF665	0.132	not
ZNF471	ZFP28	0.181	paralog
ZNF682	ZNF841	0.147	paralog
ZNF766	ZNF813	0.141	paralog
ZNF669	ZNF490	0.146	not
PBX1	PBX2	0.183	paralog
ZNF727	ZNF91	0.153	not
ZNF23	ZNF613	0.152	not
ZNF140	ZNF527	0.190	not
ZNF484	ZNF181	0.137	not
ZFP1	ZNF571	0.164	paralog
ZNF605	ZNF790	0.180	paralog
ZNF727	ZNF682	0.148	paralog
ZNF594	ZNF197	0.148	not
ZNF697	ZNF835	0.154	not
BEX5	BEX3	0.156	paralog
ZNF776	ZNF586	0.191	not
ZNF354B	ZNF568	0.148	paralog
ZNF721	ZNF681	0.197	not
ZNF468	ZNF347	0.176	not
ZNF254	ZNF480	0.131	not
ZNF721	ZNF519	0.148	not
ZFP69B	ZFP37	0.183	paralog
ZNF605	ZNF567	0.141	not
ZNF26	ZNF134	0.135	not
ZNF23	ZNF283	0.150	paralog
ZNF260	ZNF480	0.147	not
ZNF268	ZNF23	0.150	paralog
ZNF514	ZNF841	0.147	paralog
ZNF519	ZNF813	0.152	not
ZNF841	ZNF701	0.158	not
ZNF177	ZNF382	0.134	not
ZNF141	ZNF681	0.153	paralog
DAZ1	DAZL	0.142	paralog
ZNF429	ZNF91	0.148	not
MAPKAPK2	MAPKAPK3	0.191	paralog
ZNF585B	ZNF468	0.140	not
ZNF91	ZNF569	0.163	paralog
ZNF510	ZFP3	0.154	paralog
ZNF684	ZNF573	0.133	not
ZNF573	ZKSCAN7	0.179	not
ZFP37	ZNF841	0.189	not
ZSCAN16	ZNF606	0.151	not
ZNF429	ZNF91	0.161	not
ZNF684	ZNF302	0.151	not
APBA2	APBA3	0.163	paralog
ZNF184	ZNF35	0.164	not
ZNF487	ZNF717	0.147	not
ZNF616	ZNF502	0.192	paralog
ZNF721	ZNF571	0.186	not
ZNF266	ZNF546	0.191	not
ZNF547	ZNF660	0.194	not
ZNF565	ZNF569	0.192	not
ZNF124	ZNF461	0.174	not
ZNF595	ZNF813	0.134	not
ZNF669	ZNF791	0.168	not
ZNF184	ZNF471	0.151	not
ZNF721	ZNF680	0.147	not
ZNF571	ZNF468	0.139	not
ZNF26	ZNF585A	0.147	paralog
ZNF571	ZNF157	0.152	paralog
ZNF624	ZNF267	0.164	paralog
ZNF304	ZNF586	0.158	paralog
ZNF195	ZNF197	0.148	paralog
ZNF426	ZNF790	0.153	not
GIMAP4	SEM1	0.172	not
ZNF165	ZNF397	0.151	paralog
ZNF568	ZNF836	0.154	paralog
SPIN1	SPIN3	0.149	paralog
ZNF232	ZNF502	0.149	not
ZFP2	ZNF485	0.200	not
ZNF626	ZNF468	0.181	not
ZNF300	ZNF782	0.172	paralog
ZNF329	ZNF544	0.163	not
ZNF471	ZNF674	0.169	not
ZNF566	ZNF761	0.154	not
LARP1B	NUPR2	0.147	not
ZNF426	ZNF14	0.138	not
ZNF140	ZNF717	0.187	paralog
SOX30	DCP1B	0.133	not
ZFP90	ZNF415	0.173	not
ZNF780B	ZNF283	0.156	paralog
ZNF175	ZNF543	0.164	paralog
ZNF2	ZNF543	0.179	paralog
ZSCAN30	ZNF766	0.130	not
ZNF776	ZNF256	0.177	not
ZNF468	ZNF157	0.180	not
ZNF721	ZNF736	0.184	not
ZNF304	ZNF134	0.159	paralog
ZNF334	ZNF717	0.171	paralog
ZNF721	ZNF568	0.137	not
ZNF546	ZNF808	0.146	not
ZNF487	ZNF268	0.131	not
ZFP62	ZNF251	0.152	not
ZFP90	ZNF502	0.168	not
ZNF382	ZNF157	0.164	not
ZNF669	ZNF136	0.174	not
ZNF761	ZFP28	0.197	not
ZNF83	ZNF415	0.182	paralog
ZNF892	ZNF334	0.175	paralog
ZNF184	ZNF813	0.160	not
ZNF230	ZNF112	0.147	not
ZFP37	ZNF182	0.169	not
ZNF892	ZNF420	0.171	not
ZNF627	ZNF136	0.158	paralog
ZNF595	ZNF432	0.134	paralog
ZNF394	ZSCAN29	0.140	not
SPIN1	SPIN3	0.142	paralog
ZNF563	ZNF57	0.170	paralog
ZNF33B	ZNF260	0.158	paralog
ZNF879	ZNF283	0.199	paralog
ZNF251	ZNF260	0.147	paralog
ZNF529	ZNF808	0.178	not
ZNF484	ZNF568	0.152	paralog
RPS26	POLR2D	0.133	not
ZFP62	ZNF502	0.151	not
ZNF596	ZNF560	0.162	paralog
ZNF16	ZNF836	0.186	paralog
TIMM23B	EXOC3L2	0.131	not
ZNF892	ZNF429	0.184	paralog
ZNF684	ZNF471	0.156	not
ZNF333	ZNF334	0.168	not
ZFP37	ZNF527	0.170	not
ZNF84	ZNF502	0.186	not
ZNF621	ZNF660	0.147	not
ZNF888	ZNF761	0.176	paralog
ZNF568	ZNF180	0.150	not
ZFP62	ZKSCAN7	0.145	not
ZNF461	ZNF571	0.155	paralog
ZFP62	ZNF699	0.176	not
ZNF302	ZNF546	0.166	not
ZNF268	ZNF551	0.145	not
ZNF543	ZNF41	0.169	paralog
ZNF30	ZNF420	0.152	not
ZNF624	ZNF266	0.160	not
ENO1	TMEM237	0.145	not
ZNF519	ZNF30	0.156	paralog
ZNF565	ZNF157	0.152	paralog
ZFP62	ZSCAN16	0.141	not
ZNF669	ZNF627	0.189	not
ZNF675	ZNF234	0.149	not
ZNF266	ZNF420	0.172	not
ZNF486	ZNF254	0.191	paralog
ZNF791	ZNF77	0.192	not
ZNF780A	ZNF180	0.181	not
ZNF675	ZNF611	0.146	not
ZNF875	ZNF805	0.186	paralog
DCAF16	NCALD	0.151	not
ZNF484	ZNF782	0.134	paralog
HYAL3	NAA80	0.146	not
ZNF394	ZSCAN2	0.161	not
SPATA33	NDUFAF2	0.158	not
ZNF420	ZNF284	0.143	not
ZFP82	ZNF766	0.149	not
ZNF594	ZNF302	0.137	paralog
ZNF780B	ZNF225	0.156	paralog
ZNF91	ZNF790	0.159	not
ZNF600	ZNF665	0.133	not
ZNF84	ZNF135	0.166	not
ZFP2	ZNF23	0.150	paralog
ZNF26	ZNF649	0.188	not
ZNF429	ZNF546	0.148	paralog
ZNF391	ZNF605	0.167	paralog
ZFP37	ZNF181	0.155	not
ZNF594	ZNF546	0.163	not
LIPA	NDUFAF2	0.134	not
ZNF175	ZNF132	0.197	paralog
ZNF823	ZNF441	0.156	paralog
ZNF879	ZNF699	0.159	paralog
ZFP37	ZNF558	0.142	paralog
ZNF287	ZNF613	0.176	not
ZNF287	ZNF418	0.185	not
ZNF233	ZNF671	0.142	not
ZNF624	ZKSCAN7	0.131	not
ZFP1	ZNF334	0.133	paralog
ZNF33B	ZNF613	0.186	not
ZNF543	ZNF544	0.193	paralog
ZNF514	ZFP37	0.167	not
ZSCAN29	ZKSCAN2	0.178	paralog
ZNF224	ZNF600	0.137	paralog
ZNF529	ZNF780B	0.183	not
ZNF766	ZNF528	0.197	not
ZNF782	ZNF554	0.190	not
AMY2A	ZNF888	0.170	not
ZNF568	ZNF761	0.159	not
ZNF461	ZNF528	0.142	paralog
ZNF624	ZNF519	0.140	paralog
ZNF578	ZNF761	0.163	paralog
ZNF268	ZNF134	0.151	not
ZNF415	ZNF606	0.168	paralog
GRIA1	GRIA4	0.145	paralog
FGD3	ZNF626	0.166	not
FRK	PDCD5	0.174	not
ZNF519	ZNF181	0.131	not
SVBP	FBXO17	0.146	not
ZNF879	ZNF132	0.193	paralog
ZFP90	ZNF566	0.144	paralog
ZNF669	ZFP37	0.147	paralog
ZNF678	ZNF836	0.193	paralog
ZNF624	ZNF606	0.134	paralog
ZNF879	ZNF84	0.166	not
ZNF519	ZNF585B	0.170	paralog
ZNF792	ZNF548	0.161	paralog
ZNF251	ZNF883	0.166	paralog
ZNF723	ZNF681	0.171	not
ZNF879	ZNF471	0.181	paralog
ZNF623	ZNF892	0.166	paralog
ZNF25	ZFP37	0.166	paralog
ZNF420	ZNF607	0.193	not
ZNF519	ZNF528	0.151	paralog
ZNF25	ZNF717	0.159	not
ZNF268	ZNF197	0.187	paralog
ZFP2	ZNF780B	0.158	paralog
ZNF264	ZNF256	0.172	not
ZNF184	ZNF30	0.190	not
ZSCAN31	ZKSCAN3	0.149	paralog
ZNF3	ZNF547	0.156	not
ZNF415	ZNF619	0.185	not
ZNF155	ZNF112	0.158	not
ZNF569	ZNF415	0.181	not
ZNF181	ZNF573	0.150	not
ZNF695	ZNF519	0.149	paralog
ZNF239	ZNF112	0.154	paralog
SLC37A2	IL20RB	0.146	not
ZNF260	ZNF334	0.136	paralog
ZFP37	ZNF805	0.166	paralog
ZFP69B	ZNF519	0.151	not
ZNF45	ZNF285	0.194	not
ZNF721	ZNF836	0.178	not
ZNF284	ZNF234	0.163	paralog
ZNF611	ZNF665	0.192	not
ZNF189	ZNF546	0.178	paralog
ZNF519	ZNF415	0.196	paralog
CCPG1	LDLR	0.143	not
ZNF302	ZNF334	0.135	not
ZNF623	ZNF81	0.192	paralog
ZNF594	ZNF780A	0.139	not
ZNF776	ZNF418	0.195	not
ZNF721	ZNF566	0.142	not
ZNF892	ZNF836	0.156	paralog
ZNF551	ZNF132	0.192	not
ZNF836	ZNF701	0.169	not
ZNF546	ZNF611	0.192	paralog
ZNF611	ZNF415	0.186	paralog
ZNF567	ZNF613	0.144	paralog
ZNF585B	ZNF615	0.180	paralog
ZNF23	ZNF594	0.166	not
ZNF721	ZNF92	0.168	not
ZNF506	ZNF761	0.141	not
ZNF780A	ZNF182	0.182	paralog
ZNF615	ZNF182	0.157	paralog
ZNF721	ZNF626	0.182	not
ZNF568	ZNF527	0.164	not
ZFP82	ZNF569	0.157	not
WWOX	RPS15A	0.141	not
ZNF551	ZNF660	0.133	paralog
ZNF607	ZNF502	0.145	paralog
ZNF2	ZNF554	0.151	not
ZNF808	ZNF468	0.177	not
EPB41	SDHAF4	0.136	not
ZNF480	ZNF701	0.169	not
ZNF665	ZNF41	0.143	not
ZNF519	ZNF91	0.135	not
ZNF594	ZNF334	0.144	not
ZNF678	ZNF808	0.190	not
ZNF304	ZNF586	0.158	paralog
ZNF594	ZNF420	0.144	paralog
ZFP62	ZNF235	0.152	not
ZNF790	ZNF674	0.136	not
ZNF678	ZNF721	0.169	not
ZNF121	ZNF780A	0.160	paralog
ZSCAN20	ZNF34	0.143	not
ZNF420	ZNF221	0.171	not
ZNF25	ZNF77	0.196	paralog
ZNF585B	ZNF888	0.171	not
ZNF280D	ZNF280C	0.137	paralog
ZNF354B	ZNF883	0.168	paralog
ZNF594	ZNF256	0.144	not
ZNF304	ZIK1	0.182	paralog
ZNF26	ZNF256	0.132	not
ZNF436	ZNF23	0.147	paralog
ZKSCAN4	ZNF394	0.131	paralog
ZNF394	ZKSCAN7	0.134	not
ZNF232	ZNF274	0.145	not
ZNF25	ZNF568	0.179	not
ZNF487	ZNF260	0.145	not
ZNF684	ZNF30	0.134	not
ZNF415	ZFP28	0.191	paralog
ZNF888	ZNF415	0.188	not
ZNF568	ZNF234	0.176	paralog
ZNF184	ZNF528	0.172	not
ZNF879	ZNF554	0.200	not
GIMAP4	NDUFAF2	0.164	not
ZNF26	ZNF674	0.172	not
ZNF585B	ZNF667	0.184	not
ZNF519	ZNF41	0.153	paralog
ZNF3	ZNF568	0.131	paralog
ZIK1	ZNF586	0.142	paralog
ZNF304	ZNF134	0.148	paralog
ZNF311	ZNF35	0.132	not
ZNF585B	ZNF540	0.196	paralog
ZNF514	ZNF154	0.196	not
ZSCAN12	ZNF35	0.172	not
ZFP69B	ZNF420	0.193	not
ZNF552	ZNF418	0.151	paralog
ZNF354A	ZNF260	0.145	paralog
ZNF678	ZNF841	0.189	paralog
ZFP37	ZNF607	0.155	not
CDKN2AIPNL	ACOT6	0.132	not
ZFP37	ZNF501	0.178	not
ZNF883	ZNF334	0.151	paralog
ZNF121	ZNF420	0.195	not
ZNF461	ZNF544	0.131	paralog
ZNF883	ZNF420	0.187	not
ZFP37	ZNF782	0.176	not
ZNF605	ZNF551	0.181	not
ZNF782	ZNF234	0.168	paralog
ZNF669	ZNF501	0.137	not
FRK	DCP1B	0.133	not
ZNF841	ZNF674	0.156	not
ZFP82	ZNF529	0.149	not
ZNF721	ZNF486	0.150	not
ZNF546	ZNF583	0.190	not
ZNF792	ZNF671	0.151	not
ZNF266	ZNF426	0.168	not
ZNF287	ZNF813	0.172	not
ZFP62	ZNF578	0.137	not
ZNF780A	ZNF665	0.143	not
ZNF486	ZNF600	0.159	paralog
ZNF596	ZNF266	0.140	paralog
ZNF568	ZNF717	0.160	paralog
ZNF189	ZNF565	0.154	paralog
ZNF284	ZNF112	0.192	paralog
ZNF195	ZNF519	0.155	paralog
ZFP62	ZNF184	0.196	not
ZNF879	ZNF514	0.156	paralog
ZNF266	ZNF180	0.141	paralog
ZNF627	ZNF564	0.184	not
ZNF397	ZNF600	0.184	not
ZSCAN20	ZNF23	0.189	not
ZNF823	ZNF441	0.170	paralog
TRHDE	CGREF1	0.150	not
ZNF234	ZNF235	0.167	paralog
ZNF16	ZNF181	0.131	not
ZNF549	ZNF154	0.177	paralog
ZNF234	ZNF836	0.149	paralog
ZNF333	ZNF554	0.186	not
ZFP62	ZSCAN2	0.132	not
ZNF669	ZNF723	0.135	not
ZFP69B	ZNF573	0.184	not
ZNF184	ZNF135	0.170	not
ZNF721	ZNF727	0.182	not
ZNF506	ZNF233	0.137	not
ZNF195	ZNF790	0.199	paralog
ZNF251	ZNF473	0.144	not
ZNF184	ZNF41	0.170	not
ZNF605	ZNF157	0.164	paralog
ZNF484	ZNF543	0.161	paralog
ZNF485	ZNF583	0.135	not
ZNF268	ZNF546	0.153	paralog
ZNF177	ZNF426	0.135	not
ZNF34	ZNF717	0.166	not
ZNF547	ZNF586	0.183	not
ZFP2	ZNF682	0.170	paralog
ZNF180	ZNF615	0.132	not
ZNF354A	ZNF283	0.161	paralog
ZNF415	ZNF606	0.194	paralog
ZNF268	ZNF569	0.131	not
ZFP3	ZNF699	0.150	paralog
ZNF605	ZNF197	0.132	paralog
ZNF670	ZNF443	0.190	not
SLAIN2	MTHFS	0.138	not
ZNF629	ZNF205	0.197	not
ZNF266	ZNF791	0.135	not
ZNF251	ZSCAN30	0.184	not
