gene_a	gene_b	dn_a	dn_b	cls	ep_impure	gstm2	mage	in_dna_loose	mean_matched_id	div_bin	colinear	chromA	startA	endA	chromB	startB	endB	same_chrom	cross_n	cross_best_idfm	cross_best_idfi	same_region	same_best_idfm	a_in_segdup	b_in_segdup	cn_status	cn_a	cn_b	cn_diff	segdup_keep_90	segdup_keep_95	segdup_keep_98
LOC101143844	LOC109027174	DN_NC_073229.2_47663527_8	DN_NC_073229.2_49051174_8	genuine	0	0	0	0	0.8708	0.80-0.90	8	NC_073229.2	47663527	47667334	NC_073229.2	49051174	49054923	1	1	0.8293	0.7727	0	0.0	1	1	NA_both				0	0	0
LOC101144119	LOC101146634	DN_NC_073230.2_64900495_2	DN_NC_073244.2_28711447_2	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	64900495	64946173	NC_073244.2	28711447	28749576	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144119	LOC109026610	DN_NC_073227.2_8705656_4	DN_NC_073230.2_64900495_2	genuine	0	0	0	0	0.0	<0.70	0	NC_073227.2	8705656	8745014	NC_073230.2	64900495	64946173	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144119	LOC115931568	DN_NC_073230.2_64900495_2	DN_NC_073244.2_28072858_4	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	64900495	64946173	NC_073244.2	28072858	28101601	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144119	LOC129527827	DN_NC_073230.2_64900495_2	DN_NC_073242.2_66613619_4	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	64900495	64946173	NC_073242.2	66613619	66651969	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144119	ZNF254	DN_NC_073230.2_64900495_2	DN_NC_073244.2_30438386_2	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	64900495	64946173	NC_073244.2	30438386	30483513	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144119	ZNF273	DN_NC_073230.2_64900495_2	DN_NC_073230.2_74299233_4	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	64900495	64946173	NC_073230.2	74299233	74334240	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144119	ZNF429	DN_NC_073230.2_64900495_2	DN_NC_073244.2_27956158_2	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	64900495	64946173	NC_073244.2	27956158	27994790	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144119	ZNF430	DN_NC_073230.2_64900495_2	DN_NC_073244.2_27504818_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	64900495	64946173	NC_073244.2	27504818	27543672	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144119	ZNF486	DN_NC_073230.2_64900495_2	DN_NC_073244.2_26666712_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	64900495	64946173	NC_073244.2	26666712	26701477	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144119	ZNF506	DN_NC_073230.2_64900495_2	DN_NC_073244.2_26240039_2	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	64900495	64946173	NC_073244.2	26240039	26271037	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144119	ZNF595	DN_NC_073227.2_8633418_2	DN_NC_073230.2_64900495_2	genuine	0	0	0	0	0.0	<0.70	0	NC_073227.2	8633418	8669342	NC_073230.2	64900495	64946173	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144119	ZNF626	DN_NC_073230.2_64900495_2	DN_NC_073244.2_27131194_2	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	64900495	64946173	NC_073244.2	27131194	27169982	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144119	ZNF675	DN_NC_073230.2_64900495_2	DN_NC_073244.2_29970261_4	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	64900495	64946173	NC_073244.2	29970261	30005993	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144119	ZNF678	DN_NC_073224.2_40627195_4	DN_NC_073230.2_64900495_2	genuine	0	0	0	0	0.0	<0.70	0	NC_073224.2	40627195	40691824	NC_073230.2	64900495	64946173	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144119	ZNF680	DN_NC_073230.2_64900495_2	DN_NC_073230.2_73977205_4	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	64900495	64946173	NC_073230.2	73977205	74023352	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144119	ZNF682	DN_NC_073230.2_64900495_2	DN_NC_073244.2_26470366_4	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	64900495	64946173	NC_073244.2	26470366	26506414	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144119	ZNF723	DN_NC_073230.2_64900495_2	DN_NC_073244.2_29232445_4	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	64900495	64946173	NC_073244.2	29232445	29259316	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144119	ZNF91	DN_NC_073230.2_64900495_2	DN_NC_073244.2_29680825_2	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	64900495	64946173	NC_073244.2	29680825	29718633	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144243	VPS13B	DN_NC_073231.2_105681903_7	DN_NC_073231.2_105703620_4	genuine	0	0	0	0	1.0	id>=0.95	1	NC_073231.2	105681903	105705877	NC_073231.2	105703620	105722043	1	0	0.0	0.0	0	0.0	0	0	NA_both				0	0	0
LOC101144471	LOC101150965	DN_NC_073244.2_64306022_6	DN_NC_073244.2_64400145_5	genuine	0	0	0	0	0.8221	0.80-0.90	3	NC_073244.2	64306022	64337731	NC_073244.2	64400145	64410572	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144471	LOC115931567	DN_NC_073244.2_27626411_5	DN_NC_073244.2_64340366_4	genuine	0	0	0	0	0.8492	0.80-0.90	1	NC_073244.2	27626411	27669889	NC_073244.2	64340366	64357820	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144471	LOC129527827	DN_NC_073242.2_66613619_4	DN_NC_073244.2_64340366_4	genuine	0	0	0	0	0.8175	0.80-0.90	1	NC_073242.2	66613619	66651969	NC_073244.2	64340366	64357820	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144471	LOC129528947	DN_NC_073244.2_27408454_4	DN_NC_073244.2_64340366_4	genuine	0	0	0	0	0.8571	0.80-0.90	1	NC_073244.2	27408454	27437361	NC_073244.2	64340366	64357820	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144471	OSBPL10	DN_NC_073244.2_64306022_6	DN_NC_086017.1_41849470_3	genuine	0	0	0	0	0.0	<0.70	0	NC_073244.2	64306022	64337731	NC_086017.1	41849470	41860491	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144552	SNRNP25	DN_NC_073235.2_144819821_8	DN_NC_073242.2_3673676_5	genuine	1	0	0	0	0.0	<0.70	0	NC_073235.2	144819821	144823105	NC_073242.2	3673676	3679850	0	1	0.9948	0.9448	0	0.0	1	1	NA_a		2		1	1	1
LOC101144655	ZMYM5	DN_NC_073238.2_34124992_8	DN_NC_073238.2_34259091_25	genuine	0	0	0	0	0.7975	0.70-0.80	6	NC_073238.2	34124992	34164537	NC_073238.2	34259091	34382401	1	2	0.8971	0.8507	0	0.0	1	1	NA_both				0	0	0
LOC101144838	LOC101147715	DN_NC_073244.2_28256975_5	DN_NC_073244.2_28820229_4	genuine	0	0	0	0	0.816	0.80-0.90	3	NC_073244.2	28256975	28304593	NC_073244.2	28820229	28854386	1	4	0.8599	0.8413	0	0.0	1	1	NA_both				0	0	0
LOC101144838	LOC115930172	DN_NC_073244.2_27051998_4	DN_NC_073244.2_28256975_5	genuine	0	0	0	0	0.8558	0.80-0.90	3	NC_073244.2	27051998	27075053	NC_073244.2	28256975	28304593	1	1	0.7946	0.7085	0	0.0	1	1	NA_both				0	0	0
LOC101144838	LOC115931567	DN_NC_073244.2_27626411_5	DN_NC_073244.2_28256975_5	genuine	0	0	0	0	0.8677	0.80-0.90	4	NC_073244.2	27626411	27669889	NC_073244.2	28256975	28304593	1	1	0.7822	0.3742	0	0.0	1	1	NA_both				0	0	0
LOC101144838	LOC129527827	DN_NC_073242.2_66613619_4	DN_NC_073244.2_28256975_5	genuine	0	0	0	0	0.8616	0.80-0.90	3	NC_073242.2	66613619	66651969	NC_073244.2	28256975	28304593	0	2	0.8312	0.7675	0	0.0	1	1	NA_both				0	0	0
LOC101144838	LOC129528947	DN_NC_073244.2_27408454_4	DN_NC_073244.2_28256975_5	genuine	0	0	0	0	0.8709	0.80-0.90	3	NC_073244.2	27408454	27437361	NC_073244.2	28256975	28304593	1	4	0.8312	0.7189	0	0.0	1	1	NA_both				0	0	0
LOC101144838	ZNF28	DN_NC_073244.2_28256975_5	DN_NC_073244.2_64759228_5	genuine	0	0	0	0	0.8095	0.80-0.90	1	NC_073244.2	28256975	28304593	NC_073244.2	64759228	64780032	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101144838	ZNF91	DN_NC_073244.2_28256975_5	DN_NC_073244.2_29680825_2	genuine	0	0	0	0	0.8707	0.80-0.90	1	NC_073244.2	28256975	28304593	NC_073244.2	29680825	29718633	1	1	0.777	0.3654	0	0.0	1	1	NA_both				0	0	0
LOC101145348	LOC101151317	DN_NC_073237.2_30220066_5	DN_NC_073244.2_48030811_4	genuine	0	0	0	0	0.0	<0.70	0	NC_073237.2	30220066	30240431	NC_073244.2	48030811	48056884	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101145348	LOC101153727	DN_NC_073237.2_30220066_5	DN_NC_073244.2_48384768_7	genuine	0	0	0	0	0.7381	0.70-0.80	1	NC_073237.2	30220066	30240431	NC_073244.2	48384768	48410685	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101145348	LOC109024207	DN_NC_073237.2_30220066_5	DN_NC_073244.2_49176797_4	genuine	0	0	0	0	0.0	<0.70	0	NC_073237.2	30220066	30240431	NC_073244.2	49176797	49201173	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101145348	LOC109027078	DN_NC_073228.2_182909765_5	DN_NC_073237.2_30220066_5	genuine	0	0	0	0	0.7778	0.70-0.80	1	NC_073228.2	182909765	182934806	NC_073237.2	30220066	30240431	0	0	0.0	0.0	0	0.0	0	1	NA_both				0	0	0
LOC101145348	ZFP69	DN_NC_073224.2_199458269_6	DN_NC_073237.2_30220066_5	genuine	0	0	0	0	0.7222	0.70-0.80	1	NC_073224.2	199458269	199476764	NC_073237.2	30220066	30240431	0	0	0.0	0.0	0	0.0	0	1	NA_both				0	0	0
LOC101145348	ZNF184	DN_NC_073229.2_45067329_6	DN_NC_073237.2_30220066_5	genuine	0	0	0	0	0.7063	0.70-0.80	1	NC_073229.2	45067329	45090559	NC_073237.2	30220066	30240431	0	0	0.0	0.0	0	0.0	0	1	NA_both				0	0	0
LOC101145348	ZNF30	DN_NC_073237.2_30220066_5	DN_NC_073244.2_45985550_6	genuine	0	0	0	0	0.7302	0.70-0.80	1	NC_073237.2	30220066	30240431	NC_073244.2	45985550	46004074	0	0	0.0	0.0	0	0.0	1	0	NA_both				0	0	0
LOC101145348	ZNF420	DN_NC_073237.2_30220066_5	DN_NC_073244.2_48242798_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073237.2	30220066	30240431	NC_073244.2	48242798	48297900	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101145348	ZNF461	DN_NC_073237.2_30220066_5	DN_NC_073244.2_47831779_6	genuine	0	0	0	0	0.0	<0.70	0	NC_073237.2	30220066	30240431	NC_073244.2	47831779	47858893	0	0	0.0	0.0	0	0.0	1	0	NA_both				0	0	0
LOC101145348	ZNF540	DN_NC_073237.2_30220066_5	DN_NC_073244.2_49101177_5	genuine	0	0	0	0	0.7063	0.70-0.80	1	NC_073237.2	30220066	30240431	NC_073244.2	49101177	49124375	0	0	0.0	0.0	0	0.0	1	0	NA_both				0	0	0
LOC101145348	ZNF565	DN_NC_073237.2_30220066_5	DN_NC_073244.2_47250467_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073237.2	30220066	30240431	NC_073244.2	47250467	47288683	0	0	0.0	0.0	0	0.0	1	0	NA_both				0	0	0
LOC101145348	ZNF573	DN_NC_073237.2_30220066_5	DN_NC_073244.2_49246931_6	genuine	0	0	0	0	0.7222	0.70-0.80	1	NC_073237.2	30220066	30240431	NC_073244.2	49246931	49287394	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101145348	ZNF780A	DN_NC_073237.2_30220066_5	DN_NC_073244.2_51825388_5	genuine	0	0	0	0	0.7778	0.70-0.80	1	NC_073237.2	30220066	30240431	NC_073244.2	51825388	51843119	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101145348	ZNF790	DN_NC_073237.2_30220066_5	DN_NC_073244.2_47997304_5	genuine	0	0	0	0	0.7398	0.70-0.80	1	NC_073237.2	30220066	30240431	NC_073244.2	47997304	48018752	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101145464	LOC109023154	DN_NC_073239.2_123333523_2	DN_NC_073247.2_147586730_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073239.2	123333523	123378413	NC_073247.2	147586730	147600703	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101145464	LOC109025730	DN_NC_073224.2_123525276_5	DN_NC_073247.2_147586730_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073224.2	123525276	123536289	NC_073247.2	147586730	147600703	0	0	0.0	0.0	0	0.0	0	1	NA_both				0	0	0
LOC101145464	LOC129530096	DN_NC_073247.2_114234875_11	DN_NC_073247.2_147586730_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073247.2	114234875	114250600	NC_073247.2	147586730	147600703	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101145464	LOC129530131	DN_NC_073247.2_115708949_2	DN_NC_073247.2_147586730_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073247.2	115708949	115756339	NC_073247.2	147586730	147600703	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101145464	LOC134756589	DN_NC_073234.2_126370406_2	DN_NC_073247.2_147586730_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073234.2	126370406	126373363	NC_073247.2	147586730	147600703	0	0	0.0	0.0	0	0.0	0	1	NA_both				0	0	0
LOC101145464	LRFN5	DN_NC_073239.2_14838701_6	DN_NC_073247.2_147586730_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073239.2	14838701	15136895	NC_073247.2	147586730	147600703	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101145464	NCALD	DN_NC_073231.2_107519754_4	DN_NC_073247.2_147586730_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073231.2	107519754	107624936	NC_073247.2	147586730	147600703	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101145464	NCR3LG1	DN_NC_073233.2_23732821_4	DN_NC_073247.2_147586730_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073233.2	23732821	23752349	NC_073247.2	147586730	147600703	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101145464	OXCT1	DN_NC_073243.2_70014918_17	DN_NC_073247.2_147586730_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073243.2	70014918	70162884	NC_073247.2	147586730	147600703	0	0	0.0	0.0	0	0.0	0	1	NA_both				0	0	0
LOC101145464	PDCD5	DN_NC_073244.2_43610901_6	DN_NC_073247.2_147586730_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073244.2	43610901	43617830	NC_073247.2	147586730	147600703	0	0	0.0	0.0	0	0.0	0	1	NA_both				0	0	0
LOC101145464	SELENOP	DN_NC_073243.2_69046517_5	DN_NC_073247.2_147586730_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073243.2	69046517	69063476	NC_073247.2	147586730	147600703	0	0	0.0	0.0	0	0.0	0	1	NA_both				0	0	0
LOC101145464	SEM1	DN_NC_073230.2_92132360_3	DN_NC_073247.2_147586730_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	92132360	92154921	NC_073247.2	147586730	147600703	0	0	0.0	0.0	0	0.0	0	1	NA_both				0	0	0
LOC101145464	SPATA33	DN_NC_073242.2_120248671_3	DN_NC_073247.2_147586730_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073242.2	120248671	120263820	NC_073247.2	147586730	147600703	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101145464	SPC25	DN_NC_073235.2_71373985_7	DN_NC_073247.2_147586730_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073235.2	71373985	71393450	NC_073247.2	147586730	147600703	0	0	0.0	0.0	0	0.0	0	1	NA_both				0	0	0
LOC101145464	THNSL1	DN_NC_073232.2_34013134_3	DN_NC_073247.2_147586730_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073232.2	34013134	34025276	NC_073247.2	147586730	147600703	0	0	0.0	0.0	0	0.0	0	1	NA_both				0	0	0
LOC101145464	TMEM38B	DN_NC_073237.2_101948554_6	DN_NC_073247.2_147586730_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073237.2	101948554	102036506	NC_073247.2	147586730	147600703	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101145464	UCHL1	DN_NC_073227.2_49278079_9	DN_NC_073247.2_147586730_5	genuine	0	0	0	0	0.0	<0.70	0	NC_073227.2	49278079	49292283	NC_073247.2	147586730	147600703	0	0	0.0	0.0	0	0.0	0	1	NA_both				0	0	0
LOC101145660	LOC109027124	DN_NC_073229.2_194862622_5	DN_NC_073240.2_23674889_10	genuine	0	0	0	0	0.0	<0.70	0	NC_073229.2	194862622	194883855	NC_073240.2	23674889	23695312	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101145660	LOC129527173	DN_NC_073240.2_23674889_10	DN_NC_073240.2_29752710_11	genuine	0	0	0	0	0.9933	id>=0.95	9	NC_073240.2	23674889	23695312	NC_073240.2	29752710	29773209	1	1	0.9852	0.903	0	0.0	1	1	NA_both				1	1	1
LOC101145660	MPHOSPH8	DN_NC_073238.2_33904146_3	DN_NC_073240.2_23674889_10	genuine	0	0	0	0	0.0	<0.70	0	NC_073238.2	33904146	33935775	NC_073240.2	23674889	23695312	0	0	0.0	0.0	0	0.0	1	1	NA_a		2		0	0	0
LOC101145825	SERHL2	DN_NC_086018.1_40516247_7	DN_NC_086018.1_40570429_6	genuine	0	0	0	0	0.9734	id>=0.95	5	NC_086018.1	40516247	40581778	NC_086018.1	40570429	40581823	1	1	0.9725	0.8541	1	0.9725	1	1	NA_both				1	1	0
LOC101145945	LOC115930172	DN_NC_073244.2_27051998_4	DN_NC_073244.2_28588105_4	genuine	0	0	0	0	0.831	0.80-0.90	4	NC_073244.2	27051998	27075053	NC_073244.2	28588105	28627201	1	3	0.8386	0.7937	0	0.0	1	1	NA_both				0	0	0
LOC101145945	LOC115931567	DN_NC_073244.2_27566430_5	DN_NC_073244.2_28588105_4	genuine	0	0	0	0	0.8365	0.80-0.90	4	NC_073244.2	27566430	27603446	NC_073244.2	28588105	28627201	1	2	0.8618	0.7129	0	0.0	1	1	NA_both				0	0	0
LOC101145945	LOC129527827	DN_NC_073242.2_66613619_4	DN_NC_073244.2_28588105_4	genuine	0	0	0	0	0.8575	0.80-0.90	3	NC_073242.2	66613619	66651969	NC_073244.2	28588105	28627201	0	5	0.8433	0.8155	0	0.0	1	1	NA_both				0	0	0
LOC101145945	LOC129528947	DN_NC_073244.2_27408454_4	DN_NC_073244.2_28588105_4	genuine	0	0	0	0	0.8345	0.80-0.90	4	NC_073244.2	27408454	27437361	NC_073244.2	28588105	28627201	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101146405	LOC115935376	DN_NC_073230.2_47098444_23	DN_NC_073230.2_86257459_21	genuine	0	0	0	0	0.9729	id>=0.95	8	NC_073230.2	47098444	47181526	NC_073230.2	86257459	86292192	1	3	0.9853	0.9719	0	0.0	1	1	NA_both				1	1	1
LOC101146458	LOC115936279	DN_NC_073233.2_54778450_7	DN_NC_073233.2_54817717_7	genuine	0	0	0	0	0.9226	0.90-0.95	5	NC_073233.2	54778450	54787800	NC_073233.2	54817717	54830049	1	1	0.8817	0.8317	0	0.0	1	1	NA_both				0	0	0
LOC101146634	LOC101150965	DN_NC_073244.2_28711447_4	DN_NC_073244.2_64400145_5	genuine	0	0	0	0	0.8175	0.80-0.90	1	NC_073244.2	28711447	28749561	NC_073244.2	64400145	64410572	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101146634	LOC109026610	DN_NC_073227.2_8705656_4	DN_NC_073244.2_28711447_2	genuine	0	0	0	0	0.0	<0.70	0	NC_073227.2	8705656	8745014	NC_073244.2	28711447	28749576	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101146634	LOC115930172	DN_NC_073244.2_27051998_4	DN_NC_073244.2_28711447_2	genuine	0	0	0	0	0.809	0.80-0.90	1	NC_073244.2	27051998	27075053	NC_073244.2	28711447	28749576	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101146634	LOC129527827	DN_NC_073242.2_66613619_4	DN_NC_073244.2_28711447_4	genuine	0	0	0	0	0.81	0.80-0.90	4	NC_073242.2	66613619	66651969	NC_073244.2	28711447	28749561	0	1	0.7888	0.4043	0	0.0	1	1	NA_both				0	0	0
LOC101146634	LOC129528947	DN_NC_073244.2_27408454_4	DN_NC_073244.2_28711447_4	genuine	0	0	0	0	0.8604	0.80-0.90	3	NC_073244.2	27408454	27437361	NC_073244.2	28711447	28749561	1	1	0.7865	0.5907	0	0.0	1	1	NA_both				0	0	0
LOC101146634	ZNF141	DN_NC_073227.2_8907801_4	DN_NC_073244.2_28711447_2	genuine	0	0	0	0	0.0	<0.70	0	NC_073227.2	8907801	8946871	NC_073244.2	28711447	28749576	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101146634	ZNF486	DN_NC_073244.2_26666712_5	DN_NC_073244.2_28711447_4	genuine	0	0	0	0	0.827	0.80-0.90	3	NC_073244.2	26666712	26701477	NC_073244.2	28711447	28749561	1	2	0.8106	0.7612	0	0.0	1	1	NA_both				0	0	0
LOC101146634	ZNF506	DN_NC_073244.2_26240035_4	DN_NC_073244.2_28711447_4	genuine	0	0	0	0	0.8242	0.80-0.90	3	NC_073244.2	26240035	26271063	NC_073244.2	28711447	28749561	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101146634	ZNF626	DN_NC_073244.2_27131194_2	DN_NC_073244.2_28711447_2	genuine	0	0	0	0	0.7134	0.70-0.80	1	NC_073244.2	27131194	27169982	NC_073244.2	28711447	28749576	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101146634	ZNF695	DN_NC_073224.2_8422960_4	DN_NC_073244.2_28711447_2	genuine	0	0	0	0	0.0	<0.70	0	NC_073224.2	8422960	8449592	NC_073244.2	28711447	28749576	0	0	0.0	0.0	0	0.0	0	1	NA_both				0	0	0
LOC101146634	ZNF723	DN_NC_073244.2_28711447_4	DN_NC_073244.2_29232445_4	genuine	0	0	0	0	0.8179	0.80-0.90	3	NC_073244.2	28711447	28749561	NC_073244.2	29232445	29259316	1	3	0.8312	0.6234	0	0.0	1	1	NA_both				0	0	0
LOC101146634	ZNF727	DN_NC_073230.2_73508332_4	DN_NC_073244.2_28711447_2	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	73508332	73545785	NC_073244.2	28711447	28749576	0	1	0.7984	0.5009	0	0.0	1	1	NA_both				0	0	0
LOC101146634	ZNF736	DN_NC_073230.2_73776646_4	DN_NC_073244.2_28711447_2	genuine	0	0	0	0	0.0	<0.70	0	NC_073230.2	73776646	73817568	NC_073244.2	28711447	28749576	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101146782	LOC134759160	DN_NC_073232.2_64911725_5	DN_NC_073232.2_65534545_21	genuine	0	0	0	0	0.9741	id>=0.95	4	NC_073232.2	64911725	64931284	NC_073232.2	65534545	65601401	1	1	0.9812	0.9762	0	0.0	1	1	NA_both				1	1	1
LOC101147313	LOC115934054	DN_NC_086017.1_207540432_15	DN_NC_086017.1_209174437_6	genuine	0	0	0	0	0.9538	id>=0.95	5	NC_086017.1	207540432	207569051	NC_086017.1	209174437	209188548	1	1	0.9673	0.8561	0	0.0	1	1	NA_both				1	1	0
LOC101147313	SDHA	DN_NC_073243.2_112081564_15	DN_NC_086017.1_207540432_15	genuine	0	0	0	0	0.9535	id>=0.95	12	NC_073243.2	112081564	112119582	NC_086017.1	207540432	207569051	0	1	0.9337	0.6257	0	0.0	1	1	NA_both				1	0	0
LOC101147715	LOC101153126	DN_NC_073244.2_28820229_4	DN_NC_073244.2_29297022_4	genuine	0	0	0	0	0.8576	0.80-0.90	2	NC_073244.2	28820229	28854386	NC_073244.2	29297022	29327777	1	3	0.8204	0.797	0	0.0	1	1	NA_both				0	0	0
LOC101147715	LOC115930172	DN_NC_073244.2_27051998_4	DN_NC_073244.2_28820229_4	genuine	0	0	0	0	0.8095	0.80-0.90	3	NC_073244.2	27051998	27075053	NC_073244.2	28820229	28854386	1	2	0.8353	0.7851	0	0.0	1	1	NA_both				0	0	0
LOC101147715	LOC115931857	DN_NC_073244.2_28820229_4	DN_NC_073246.2_15789320_2	genuine	0	0	0	0	0.0	<0.70	0	NC_073244.2	28820229	28854386	NC_073246.2	15789320	15819201	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101147715	LOC129527827	DN_NC_073242.2_66613619_4	DN_NC_073244.2_28820229_4	genuine	0	0	0	0	0.7857	0.70-0.80	4	NC_073242.2	66613619	66651969	NC_073244.2	28820229	28854386	0	2	0.8279	0.6955	0	0.0	1	1	NA_both				0	0	0
LOC101147715	LOC129528947	DN_NC_073244.2_27408454_4	DN_NC_073244.2_28820229_4	genuine	0	0	0	0	0.8761	0.80-0.90	2	NC_073244.2	27408454	27437361	NC_073244.2	28820229	28854386	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101147715	ZNF141	DN_NC_073227.2_8907801_4	DN_NC_073244.2_28820229_4	genuine	0	0	0	0	0.8009	0.80-0.90	2	NC_073227.2	8907801	8946871	NC_073244.2	28820229	28854386	0	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101147715	ZNF273	DN_NC_073230.2_74299233_4	DN_NC_073244.2_28820229_4	genuine	0	0	0	0	0.8414	0.80-0.90	3	NC_073230.2	74299233	74334240	NC_073244.2	28820229	28854386	0	4	0.8214	0.7937	0	0.0	1	1	NA_both				0	0	0
LOC101147715	ZNF28	DN_NC_073244.2_28820229_4	DN_NC_073244.2_64759228_5	genuine	0	0	0	0	0.8175	0.80-0.90	1	NC_073244.2	28820229	28854386	NC_073244.2	64759228	64780032	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101147715	ZNF430	DN_NC_073244.2_27504818_5	DN_NC_073244.2_28820229_4	genuine	0	0	0	0	0.8186	0.80-0.90	3	NC_073244.2	27504818	27543672	NC_073244.2	28820229	28854386	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
