gene_a	gene_b	cls	in_ep	core	bridge_dn_a	bridge_dn_b	bridge_mask	deg_max	deg_mean	mm_median_max	mm_max_max	km_median_max	km_p90_max	km_frac_ge_100_max	aln_len	aln_frac	arbitration
LOC101138337	ZNF780B	genuine	0														0
LOC101138337	ZNF790	genuine	0														0
LOC101138337	ZNF829	genuine	0														0
LOC101138337	ZNF891	genuine	0														0
LOC101138952	LOC129523567	genuine	0														0
LOC101138952	LOC129528667	truthbar	1	0.2226	DN_NC_073244.2_63882905_5	DN_NC_073244.2_63934684_6	0.2320	36	27.5000	9.5000	52.0000						0
LOC101138952	ZFP37	truthbar	1	0.1864	DN_NC_073237.2_109279481_4	DN_NC_073244.2_63934684_6	0.2257	95	65.5000	2.0000	52.0000						0
LOC101138952	ZNF10	truthbar	1														0
LOC101138952	ZNF140	truthbar	1														0
LOC101138952	ZNF157	truthbar	1														0
LOC101138952	ZNF175	truthbar	1														0
LOC101138952	ZNF180	truthbar	1														0
LOC101138952	ZNF182	truthbar	1	0.2412	DN_NC_073244.2_63934684_6	DN_NC_073247.2_58372296_6	0.1467	64	50.0000	2.0000	52.0000						0
LOC101138952	ZNF25	truthbar	1														0
LOC101138952	ZNF26	truthbar	1	0.2409	DN_NC_073234.2_148486259_4	DN_NC_073244.2_63934684_6	0.1823	36	33.5000	2.0000	52.0000						0
LOC101138952	ZNF260	genuine	0	0.1833	DN_NC_073244.2_47706460_3	DN_NC_073244.2_63934684_6	0.2910	52	44.0000	3.0000	52.0000				0.0000	0.0000	1
LOC101138952	ZNF268	genuine	0														0
LOC101138952	ZNF287	truthbar	1														0
LOC101138952	ZNF300	truthbar	1	0.1678	DN_NC_073228.2_154747841_5	DN_NC_073244.2_63934684_6	0.1543	50	43.0000	2.0000	52.0000						0
LOC101138952	ZNF302	truthbar	1														0
LOC101138952	ZNF334	truthbar	1														0
LOC101138952	ZNF33B	truthbar	1	0.1402	DN_NC_073232.2_72820474_5	DN_NC_073244.2_63934684_6	0.2521	48	42.0000	2.0000	52.0000						0
LOC101138952	ZNF354A	truthbar	1														0
LOC101138952	ZNF354B	truthbar	1														0
LOC101138952	ZNF382	truthbar	1														0
LOC101138952	ZNF41	truthbar	1	0.1399	DN_NC_073244.2_63934684_6	DN_NC_073247.2_57840463_5	0.1565	47	41.5000	2.0000	52.0000						0
LOC101138952	ZNF432	truthbar	1														0
LOC101138952	ZNF484	truthbar	1	0.1409	DN_NC_073237.2_89310571_5	DN_NC_073244.2_63934684_6	0.2190	67	51.5000	2.0000	52.0000						0
LOC101138952	ZNF487	genuine	0														0
LOC101138952	ZNF501	genuine	0														0
LOC101138952	ZNF510	truthbar	1														0
LOC101138952	ZNF527	truthbar	1														0
LOC101138952	ZNF565	truthbar	1														0
LOC101138952	ZNF567	truthbar	1														0
LOC101138952	ZNF568	truthbar	1														0
LOC101138952	ZNF569	truthbar	1														0
LOC101138952	ZNF577	truthbar	1	0.1595	DN_NC_073244.2_63840101_6	DN_NC_073244.2_63934684_6	0.1892	36	21.5000	2.0000	52.0000						0
LOC101138952	ZNF585A	truthbar	1	0.1396	DN_NC_073244.2_48319142_5	DN_NC_073244.2_63934684_6	0.1403	78	57.0000	2.0000	52.0000						0
LOC101138952	ZNF585B	truthbar	1	0.1850	DN_NC_073244.2_48352926_4	DN_NC_073244.2_63934684_6	0.1502	114	75.0000	2.0000	52.0000						0
LOC101138952	ZNF605	truthbar	1	0.2195	DN_NC_073234.2_148420424_5	DN_NC_073244.2_63934684_6	0.1220	64	50.0000	2.0000	52.0000						0
LOC101138952	ZNF606	truthbar	1	0.1833	DN_NC_073244.2_63934684_6	DN_NC_073244.2_70077616_7	0.1288	44	40.0000	2.0000	52.0000						0
LOC101138952	ZNF613	truthbar	1	0.1303	DN_NC_073244.2_63895938_6	DN_NC_073244.2_63934684_6	0.1312	36	33.0000	2.0000	52.0000						0
LOC101138952	ZNF614	truthbar	1														0
LOC101138952	ZNF615	truthbar	1														0
LOC101138952	ZNF624	truthbar	1														0
LOC101138952	ZNF649	truthbar	1	0.1602	DN_NC_073244.2_63855100_5	DN_NC_073244.2_63934684_6	0.1720	36	22.5000	2.0000	52.0000						0
LOC101138952	ZNF674	truthbar	1														0
LOC101138952	ZNF717	truthbar	1														0
LOC101138952	ZNF782	truthbar	1														0
LOC101138952	ZNF81	truthbar	1														0
LOC101138952	ZNF84	truthbar	1	0.1551	DN_NC_073234.2_148537990_5	DN_NC_073244.2_63934684_6	0.2027	52	44.0000	2.0000	52.0000						0
LOC101138952	ZNF883	truthbar	1														0
LOC101139163	LOC101152938	TP	1	0.2500	DN_NC_073233.2_75718276_6	DN_NC_086017.1_141278779_5	0.0604	7	7.0000	15.0000	52.0000						0
LOC101139163	LOC115934341	TP	1	0.2448	DN_NC_086017.1_141278779_5	DN_NC_086017.1_85330170_7	0.0477	7	6.5000	15.0000	52.0000						0
LOC101139594	LOC101144987	genuine	0	0.2368	DN_NC_073247.2_62361057_13	DN_NC_073247.2_64998786_13	0.0316	3	2.5000	2.0000	53.0000				0.0000	0.0000	1
LOC101139594	LOC101146541	genuine	0	0.2352	DN_NC_073247.2_62249491_13	DN_NC_073247.2_64998786_13	0.0237	3	2.5000	2.0000	51.0000				0.0000	0.0000	1
LOC101139703	LOC129526951	TP	1	0.4479	DN_NC_073237.2_17678391_14	DN_NC_073238.2_22049850_15	0.2174	1	1.0000	17.0000	52.0000						0
LOC101140030	ULBP1	truthbar	1	0.2157	DN_NC_073229.2_174132332_5	DN_NC_073229.2_174168227_4	0.3569	2	2.0000	3.0000	40.0000						0
LOC101140030	ULBP3	truthbar	1	0.3927	DN_NC_073229.2_174168227_4	DN_NC_073229.2_174230881_5	0.3181	2	2.0000	3.0000	40.0000						0
LOC101140402	LOC101141165	genuine	0	0.3016	DN_NC_086018.1_21140998_4	DN_NC_086018.1_23370474_4	0.1016	2	2.0000	9.0000	51.0000				438.0000	0.4735	1
LOC101140402	LOC109024546	genuine	0	0.4596	DN_NC_086018.1_19935965_4	DN_NC_086018.1_23370474_4	0.1332	2	2.0000	11.0000	51.0000				0.0000	0.0000	1
LOC101140579	LOC101148313	genuine	0														0
LOC101140579	LOC115935025	genuine	0														0
LOC101140579	XAF1	genuine	0														0
LOC101140641	LOC101141395	truthbar	1	0.1995	DN_NC_073229.2_50716510_5	DN_NC_073229.2_50784857_5	0.2184	2	1.5000	1.0000	51.0000						0
LOC101140864	LOC109026769	genuine	0	0.1308	DN_NC_073228.2_79926211_12	DN_NC_073238.2_29962908_11	0.1248	2	1.5000	8.0000	52.0000				0.0000	0.0000	1
LOC101140892	RPLP1	genuine	0	0.2191	DN_NC_073228.2_155613898_3	DN_NC_073240.2_70293854_4	0.1955	2	1.5000	16.0000	51.0000				728.0000	0.6041	1
LOC101140892	TXNL4B	genuine	0														0
LOC101141025	LOC115935014	truthbar	1	0.3442	DN_NC_073229.2_50300098_6	DN_NC_073229.2_50795834_6	0.0964	4	3.5000	8.0000	52.0000						0
LOC101141027	LOC101142646	truthbar	1	0.2830	DN_NC_073244.2_27765726_4	DN_NC_073244.2_27869273_3	0.4816	95	90.5000	51.0000	52.0000						0
LOC101141027	LOC101144119	genuine	0	0.1991	DN_NC_073230.2_64900495_2	DN_NC_073244.2_27765726_4	0.4666	86	56.0000	51.0000	52.0000				0.0000	0.0000	1
LOC101141027	LOC101144471	truthbar	1														0
LOC101141027	LOC101144838	truthbar	1	0.4468	DN_NC_073244.2_27765726_4	DN_NC_073244.2_28256975_5	0.4666	86	77.0000	51.0000	52.0000						0
LOC101141027	LOC101145945	truthbar	1	0.2114	DN_NC_073244.2_27765726_4	DN_NC_073244.2_28588105_4	0.4666	86	66.5000	51.0000	52.0000						0
LOC101141027	LOC101146634	truthbar	1	0.3533	DN_NC_073244.2_27765726_4	DN_NC_073244.2_28711447_2	0.4666	86	82.0000	51.0000	52.0000						0
LOC101141027	LOC101147715	genuine	0	0.1461	DN_NC_073244.2_27765726_4	DN_NC_073244.2_28820229_4	0.5027	86	75.5000	51.0000	52.0000				1320.0000	0.5102	1
LOC101141027	LOC101150965	genuine	0														0
LOC101141027	LOC101151892	genuine	0	0.1554	DN_NC_073227.2_8792448_3	DN_NC_073244.2_27765726_4	0.5584	86	49.0000	51.0000	52.0000				0.0000	0.0000	1
LOC101141027	LOC101152401	truthbar	1														0
LOC101141027	LOC101153126	truthbar	1	0.4395	DN_NC_073244.2_27765726_4	DN_NC_073244.2_29297022_4	0.4666	86	83.0000	51.0000	52.0000						0
LOC101141027	LOC101153131	truthbar	1														0
LOC101141027	LOC109024216	truthbar	1	0.1542	DN_NC_073244.2_27765726_4	DN_NC_073244.2_65293743_4	0.4666	86	78.5000	51.0000	52.0000						0
LOC101141027	LOC109026610	truthbar	1	0.4302	DN_NC_073227.2_8705656_4	DN_NC_073244.2_27765726_4	0.4666	86	75.5000	51.0000	52.0000						0
LOC101141027	LOC115930172	genuine	0	0.4557	DN_NC_073244.2_27051998_4	DN_NC_073244.2_27765726_4	0.4666	86	75.5000	51.0000	52.0000				1772.0000	0.6850	1
LOC101141027	LOC115931567	genuine	0	0.4828	DN_NC_073244.2_27566430_5	DN_NC_073244.2_27765726_4	0.4666	86	84.0000	51.0000	52.0000				880.0000	0.3402	1
LOC101141027	LOC115931568	truthbar	1	0.4322	DN_NC_073244.2_27765726_4	DN_NC_073244.2_28072858_4	0.4666	86	77.0000	51.0000	52.0000						0
LOC101141027	LOC115931576	truthbar	1	0.5334	DN_NC_073244.2_27765726_4	DN_NC_073244.2_29046961_4	0.4666	86	82.0000	51.0000	52.0000						0
LOC101141027	LOC115931654	truthbar	1	0.2756	DN_NC_073244.2_27765726_4	DN_NC_073244.2_65266359_4	0.4666	86	77.0000	51.0000	52.0000						0
LOC101141027	LOC115931857	truthbar	1	0.3456	DN_NC_073244.2_27765726_4	DN_NC_073246.2_15789285_3	0.4666	86	75.0000	51.0000	52.0000						0
LOC101141027	LOC129527827	genuine	0	0.1859	DN_NC_073242.2_66613619_4	DN_NC_073244.2_27765726_4	0.4666	86	78.5000	51.0000	52.0000				2213.0000	0.8554	1
LOC101141027	LOC129528947	genuine	0	0.5133	DN_NC_073244.2_27408454_4	DN_NC_073244.2_27765726_4	0.5416	90	88.0000	51.0000	52.0000				1746.0000	0.6749	1
LOC101141027	OSBPL10	genuine	0														0
LOC101141027	ZNF141	truthbar	1	0.1604	DN_NC_073227.2_8907801_4	DN_NC_073244.2_27765726_4	0.4666	86	71.5000	51.0000	52.0000						0
LOC101141027	ZNF195	truthbar	1	0.2412	DN_NC_073233.2_9788172_5	DN_NC_073244.2_27765726_4	0.4666	86	79.0000	51.0000	52.0000						0
LOC101141027	ZNF254	truthbar	1	0.5419	DN_NC_073244.2_27765726_4	DN_NC_073244.2_30438340_4	0.4666	86	79.5000	51.0000	52.0000						0
LOC101141027	ZNF267	truthbar	1	0.2215	DN_NC_073242.2_37386128_4	DN_NC_073244.2_27765726_4	0.4666	86	82.5000	51.0000	52.0000						0
LOC101141027	ZNF273	truthbar	1	0.5307	DN_NC_073230.2_74299233_4	DN_NC_073244.2_27765726_4	0.4666	86	82.0000	51.0000	52.0000						0
LOC101141027	ZNF28	truthbar	1														0
LOC101141027	ZNF347	truthbar	1														0
LOC101141027	ZNF415	truthbar	1														0
LOC101141027	ZNF429	truthbar	1	0.6447	DN_NC_073244.2_27765726_4	DN_NC_073244.2_27956158_2	0.5265	86	85.0000	51.0000	52.0000						0
LOC101141027	ZNF43	truthbar	1	0.3634	DN_NC_073244.2_27765726_4	DN_NC_073244.2_28333451_4	0.4666	86	76.0000	51.0000	52.0000						0
LOC101141027	ZNF430	truthbar	1	0.4785	DN_NC_073244.2_27504818_5	DN_NC_073244.2_27765726_4	0.4666	86	76.5000	51.0000	52.0000						0
LOC101141027	ZNF468	truthbar	1														0
LOC101141027	ZNF480	truthbar	1														0
LOC101141027	ZNF486	truthbar	1	0.3927	DN_NC_073244.2_26666712_5	DN_NC_073244.2_27765726_4	0.4666	86	74.5000	51.0000	52.0000						0
LOC101141027	ZNF506	truthbar	1	0.2474	DN_NC_073244.2_26240035_4	DN_NC_073244.2_27765726_4	0.4666	86	72.0000	51.0000	52.0000						0
LOC101141027	ZNF519	truthbar	1	0.3643	DN_NC_073241.2_36126198_2	DN_NC_073244.2_27765726_4	0.4666	86	77.5000	51.0000	52.0000						0
LOC101141027	ZNF528	truthbar	1	0.1867	DN_NC_073244.2_27765726_4	DN_NC_073244.2_64368633_7	0.4666	86	67.5000	51.0000	53.0000						0
LOC101141027	ZNF578	truthbar	1														0
LOC101141027	ZNF595	truthbar	1	0.4592	DN_NC_073227.2_8633416_4	DN_NC_073244.2_27765726_4	0.5220	86	84.5000	51.0000	52.0000						0
LOC101141027	ZNF600	truthbar	1														0
LOC101141027	ZNF611	truthbar	1														0
LOC101141027	ZNF616	truthbar	1														0
LOC101141027	ZNF626	truthbar	1	0.4403	DN_NC_073244.2_27131194_2	DN_NC_073244.2_27765726_4	0.4666	86	73.0000	51.0000	52.0000						0
LOC101141027	ZNF655	truthbar	1														0
LOC101141027	ZNF675	truthbar	1	0.4460	DN_NC_073244.2_27765726_4	DN_NC_073244.2_29970261_4	0.4666	90	88.0000	51.0000	52.0000						0
LOC101141027	ZNF678	truthbar	1	0.4480	DN_NC_073224.2_40627195_4	DN_NC_073244.2_27765726_4	0.4666	86	82.0000	51.0000	52.0000						0
LOC101141027	ZNF680	truthbar	1	0.4983	DN_NC_073230.2_73977205_4	DN_NC_073244.2_27765726_4	0.4666	86	74.5000	51.0000	52.0000						0
LOC101141027	ZNF681	truthbar	1	0.2772	DN_NC_073244.2_27765726_4	DN_NC_073244.2_30067652_4	0.4666	86	78.0000	51.0000	52.0000						0
LOC101141027	ZNF682	truthbar	1	0.4445	DN_NC_073244.2_26470366_4	DN_NC_073244.2_27765726_4	0.4666	86	81.5000	51.0000	52.0000						0
LOC101141027	ZNF695	truthbar	1	0.4743	DN_NC_073224.2_8422960_4	DN_NC_073244.2_27765726_4	0.4666	86	78.0000	51.0000	52.0000						0
LOC101141027	ZNF701	truthbar	1														0
LOC101141027	ZNF721	truthbar	1	0.2891	DN_NC_073227.2_9010062_2	DN_NC_073244.2_27765726_4	0.4666	86	78.0000	51.0000	52.0000						0
LOC101141027	ZNF723	truthbar	1	0.5104	DN_NC_073244.2_27765726_4	DN_NC_073244.2_29232445_4	0.5099	86	77.0000	51.0000	52.0000						0
LOC101141027	ZNF727	truthbar	1	0.1546	DN_NC_073230.2_73508332_4	DN_NC_073244.2_27765726_4	0.4666	86	71.5000	51.0000	52.0000						0
LOC101141027	ZNF736	truthbar	1	0.2888	DN_NC_073230.2_73776646_4	DN_NC_073244.2_27765726_4	0.4666	86	68.0000	51.0000	52.0000						0
LOC101141027	ZNF761	truthbar	1														0
LOC101141027	ZNF766	truthbar	1														0
LOC101141027	ZNF8	truthbar	1														0
LOC101141027	ZNF808	truthbar	1														0
LOC101141027	ZNF813	truthbar	1														0
LOC101141027	ZNF83	truthbar	1														0
LOC101141027	ZNF836	truthbar	1														0
LOC101141027	ZNF841	truthbar	1														0
LOC101141027	ZNF888	truthbar	1														0
LOC101141027	ZNF91	genuine	0	0.2845	DN_NC_073244.2_27765726_4	DN_NC_073244.2_29680825_2	0.5202	86	83.5000	51.0000	53.0000				1163.0000	0.4496	1
LOC101141027	ZNF92	truthbar	1	0.5072	DN_NC_073230.2_74637722_4	DN_NC_073244.2_27765726_4	0.4666	86	76.5000	51.0000	52.0000						0
LOC101141165	LOC109024546	genuine	0	0.3128	DN_NC_086018.1_19935965_4	DN_NC_086018.1_21140998_4	0.1332	2	2.0000	11.0000	51.0000				0.0000	0.0000	1
LOC101141171	NUDT10	TP	1	0.2192	DN_NC_073247.2_61509959_2	DN_NC_073247.2_61690478_2	0.1929	1	1.0000	2.0000	52.0000						0
LOC101141192	LOC101146782	genuine	0	0.1585	DN_NC_073232.2_65009281_5	DN_NC_073232.2_65534545_21	0.1361	2	2.0000	3.0000	51.0000				2766.0000	0.5502	1
LOC101141192	LOC134759160	genuine	0	0.7093	DN_NC_073232.2_64911725_5	DN_NC_073232.2_65009281_5	0.1361	2	2.0000	3.0000	9.0000				5251.0000	0.9998	1
LOC101141821	LOC115933573	TP	0	0.2778	DN_NC_073236.2_31528778_7	DN_NC_073236.2_32340171_12	0.3211	1	1.0000	4.0000	51.0000				2615.0000	0.7459	1
LOC101142134	LOC101142998	truthbar	1	0.4851	DN_NC_073229.2_47549272_8	DN_NC_073229.2_48967498_8	0.0542	6	6.0000	9.0000	52.0000						0
LOC101142134	LOC101143844	truthbar	1	0.4831	DN_NC_073229.2_47549272_8	DN_NC_073229.2_49051174_8	0.0339	6	6.0000	10.0000	52.0000						0
LOC101142134	LOC101153360	truthbar	1	0.5387	DN_NC_073229.2_47549272_8	DN_NC_073229.2_48177425_8	0.2762	6	5.5000	10.0000	52.0000						0
LOC101142134	LOC109027174	genuine	0	0.9386	DN_NC_073229.2_47549272_8	DN_NC_073229.2_47663527_8	0.0423	6	6.0000	9.0000	52.0000				1944.0000	1.0026	1
LOC101142134	MHC-G	truthbar	1	0.8425	DN_NC_073229.2_47377766_7	DN_NC_073229.2_47549272_8	0.0739	6	6.0000	9.0000	52.0000						0
LOC101142371	RRN3	truthbar	1	0.1947	DN_NC_073242.2_29556580_18	DN_NC_073242.2_31545375_14	0.1955	2	2.0000	5.0000	52.0000						0
LOC101142457	LOC129523511	TP	1	0.5635	DN_NC_073227.2_212285016_9	DN_NC_073247.2_167707352_7	0.2419	4	4.0000	8.0000	51.0000						0
LOC101142457	LOC134756389	TP	1	0.4029	DN_NC_073231.2_151170137_9	DN_NC_073247.2_167707352_7	0.2419	4	4.0000	8.0000	51.0000						0
LOC101142457	RABL2A	TP	1	0.3069	DN_NC_073235.2_15131698_9	DN_NC_073247.2_167707352_7	0.2419	4	4.0000	8.0000	51.0000						0
LOC101142457	RABL2B	truthbar	1	0.5125	DN_NC_073247.2_167707352_7	DN_NC_086018.1_48818439_9	0.2419	4	4.0000	8.0000	52.0000						0
LOC101142502	SERPINB9	genuine	0	0.1622	DN_NC_073229.2_20497552_7	DN_NC_073241.2_93292541_7	0.3692	1	1.0000	1.0000	51.0000				0.0000	0.0000	1
LOC101142525	LOC134756641	genuine	0														0
LOC101142525	LOC134757208	genuine	0														0
LOC101142525	LOC134758618	genuine	0	0.1432	DN_NC_073228.2_179980536_5	DN_NC_073230.2_113873404_2	0.3605	33	17.0000	3.0000	52.0000				0.0000	0.0000	1
LOC101142525	TRHDE	genuine	0														0
LOC101142525	ZNF80	genuine	0														0
LOC101142646	LOC101144119	genuine	0														0
LOC101142646	LOC101144471	truthbar	1	0.1812	DN_NC_073244.2_27869273_3	DN_NC_073244.2_64306022_6	0.4816	95	68.0000	50.0000	53.0000						0
LOC101142646	LOC101144838	truthbar	1	0.2093	DN_NC_073244.2_27869273_3	DN_NC_073244.2_28256975_5	0.4816	95	81.5000	50.0000	52.0000						0
LOC101142646	LOC101145945	truthbar	1	0.1399	DN_NC_073244.2_27869273_3	DN_NC_073244.2_28588105_4	0.4816	95	71.0000	50.0000	52.0000						0
LOC101142646	LOC101146634	truthbar	1	0.2093	DN_NC_073244.2_27869273_3	DN_NC_073244.2_28711447_4	0.4816	95	89.0000	50.0000	52.0000						0
LOC101142646	LOC101147715	truthbar	1	0.1389	DN_NC_073244.2_27869273_3	DN_NC_073244.2_28820229_4	0.5027	95	80.0000	51.0000	52.0000						0
LOC101142646	LOC101150965	genuine	0														0
LOC101142646	LOC101151892	genuine	0	0.1348	DN_NC_073227.2_8792448_3	DN_NC_073244.2_27869273_3	0.5584	95	53.5000	51.0000	52.0000				0.0000	0.0000	1
LOC101142646	LOC101152401	truthbar	1														0
LOC101142646	LOC101153126	truthbar	1	0.3294	DN_NC_073244.2_27869273_3	DN_NC_073244.2_29297022_4	0.4816	95	87.5000	50.0000	52.0000						0
LOC101142646	LOC101153131	truthbar	1														0
LOC101142646	LOC109024216	truthbar	1	0.1389	DN_NC_073244.2_27869273_3	DN_NC_073244.2_65293743_4	0.4816	95	83.0000	50.0000	52.0000						0
LOC101142646	LOC109026610	truthbar	1	0.1989	DN_NC_073227.2_8705656_4	DN_NC_073244.2_27869273_3	0.4816	95	80.0000	50.0000	52.0000						0
LOC101142646	LOC115930172	genuine	0	0.2193	DN_NC_073244.2_27051998_4	DN_NC_073244.2_27869273_3	0.4816	95	80.0000	51.0000	52.0000				0.0000	0.0000	1
LOC101142646	LOC115931567	genuine	0	0.2583	DN_NC_073244.2_27566430_5	DN_NC_073244.2_27869273_3	0.4816	95	88.5000	50.0000	52.0000				0.0000	0.0000	1
LOC101142646	LOC115931568	truthbar	1	0.2093	DN_NC_073244.2_27869273_3	DN_NC_073244.2_28072858_4	0.4816	95	81.5000	50.0000	52.0000						0
LOC101142646	LOC115931576	truthbar	1	0.3191	DN_NC_073244.2_27869273_3	DN_NC_073244.2_29046961_4	0.4816	95	86.5000	50.0000	52.0000						0
LOC101142646	LOC115931654	truthbar	1	0.3204	DN_NC_073244.2_27869273_3	DN_NC_073244.2_65266359_4	0.4816	95	81.5000	50.0000	52.0000						0
LOC101142646	LOC115931857	truthbar	1	0.2760	DN_NC_073244.2_27869273_3	DN_NC_073246.2_15789285_3	0.4816	95	79.5000	50.0000	52.0000						0
LOC101142646	LOC129527827	genuine	0	0.1395	DN_NC_073242.2_66613619_4	DN_NC_073244.2_27869273_3	0.4816	95	83.0000	51.0000	52.0000				0.0000	0.0000	1
LOC101142646	LOC129528947	genuine	0	0.3031	DN_NC_073244.2_27408454_4	DN_NC_073244.2_27869273_3	0.5416	95	92.5000	51.0000	52.0000				0.0000	0.0000	1
LOC101142646	OSBPL10	genuine	0														0
LOC101142646	ZNF141	truthbar	1	0.2039	DN_NC_073227.2_8907801_4	DN_NC_073244.2_27869273_3	0.4816	95	76.0000	51.0000	52.0000						0
LOC101142646	ZNF195	truthbar	1	0.2714	DN_NC_073233.2_9788172_5	DN_NC_073244.2_27869273_3	0.4816	95	83.5000	50.0000	52.0000						0
LOC101142646	ZNF254	truthbar	1	0.3294	DN_NC_073244.2_27869273_3	DN_NC_073244.2_30438340_4	0.4816	95	84.0000	51.0000	52.0000						0
LOC101142646	ZNF267	truthbar	1	0.1659	DN_NC_073242.2_37386128_4	DN_NC_073244.2_27869273_3	0.4816	95	87.0000	50.0000	52.0000						0
LOC101142646	ZNF273	truthbar	1	0.2840	DN_NC_073230.2_74299233_4	DN_NC_073244.2_27869273_3	0.4816	95	86.5000	50.0000	52.0000						0
LOC101142646	ZNF28	truthbar	1														0
LOC101142646	ZNF347	truthbar	1	0.1315	DN_NC_073244.2_27869273_3	DN_NC_073244.2_65073171_5	0.4816	95	71.5000	50.0000	52.0000						0
LOC101142646	ZNF415	truthbar	1	0.2661	DN_NC_073244.2_27869273_3	DN_NC_073244.2_65046428_4	0.4816	95	88.0000	50.0000	52.0000						0
LOC101142646	ZNF429	truthbar	1	0.3642	DN_NC_073244.2_27869273_3	DN_NC_073244.2_27956158_4	0.5461	95	89.0000	50.0000	52.0000						0
LOC101142646	ZNF43	truthbar	1	0.3294	DN_NC_073244.2_27869273_3	DN_NC_073244.2_28333451_4	0.4816	95	80.5000	50.0000	52.0000						0
LOC101142646	ZNF430	truthbar	1	0.2380	DN_NC_073244.2_27504818_5	DN_NC_073244.2_27869273_3	0.4816	95	81.0000	51.0000	52.0000						0
LOC101142646	ZNF468	truthbar	1	0.1719	DN_NC_073244.2_27869273_3	DN_NC_073244.2_64797239_5	0.4816	95	78.5000	50.0000	52.0000						0
LOC101142646	ZNF480	truthbar	1														0
LOC101142646	ZNF486	truthbar	1	0.1639	DN_NC_073244.2_26666712_5	DN_NC_073244.2_27869273_3	0.4816	95	79.0000	50.0000	52.0000						0
LOC101142646	ZNF506	truthbar	1	0.1379	DN_NC_073244.2_26240035_4	DN_NC_073244.2_27869273_3	0.4816	95	76.5000	50.0000	52.0000						0
LOC101142646	ZNF519	truthbar	1	0.1658	DN_NC_073241.2_36126198_2	DN_NC_073244.2_27869273_3	0.4816	95	82.0000	50.0000	52.0000						0
LOC101142646	ZNF528	truthbar	1														0
LOC101142646	ZNF578	truthbar	1	0.1469	DN_NC_073244.2_27869273_3	DN_NC_073244.2_64426370_6	0.4816	95	67.5000	50.0000	53.0000						0
LOC101142646	ZNF595	truthbar	1	0.3687	DN_NC_073227.2_8633418_2	DN_NC_073244.2_27869273_3	0.5689	95	82.0000	50.0000	52.0000						0
LOC101142646	ZNF600	truthbar	1	0.2036	DN_NC_073244.2_27869273_3	DN_NC_073244.2_64724127_4	0.4816	95	80.5000	50.0000	52.0000						0
LOC101142646	ZNF611	truthbar	1	0.1699	DN_NC_073244.2_27869273_3	DN_NC_073244.2_64672255_4	0.4816	95	71.5000	50.0000	53.0000						0
LOC101142646	ZNF616	truthbar	1	0.2473	DN_NC_073244.2_27869273_3	DN_NC_073244.2_64081943_4	0.4816	95	76.5000	50.0000	52.0000						0
LOC101142646	ZNF626	truthbar	1	0.2063	DN_NC_073244.2_27131194_2	DN_NC_073244.2_27869273_3	0.4816	95	77.5000	51.0000	52.0000						0
LOC101142646	ZNF655	truthbar	1														0
LOC101142646	ZNF675	truthbar	1	0.1926	DN_NC_073244.2_27869273_3	DN_NC_073244.2_29970261_4	0.4816	95	92.5000	50.0000	52.0000						0
LOC101142646	ZNF678	truthbar	1	0.3111	DN_NC_073224.2_40627195_4	DN_NC_073244.2_27869273_3	0.4816	95	86.5000	51.0000	52.0000						0
LOC101142646	ZNF680	truthbar	1	0.2744	DN_NC_073230.2_73977205_4	DN_NC_073244.2_27869273_3	0.4816	95	79.0000	50.0000	52.0000						0
LOC101142646	ZNF681	truthbar	1	0.3291	DN_NC_073244.2_27869273_3	DN_NC_073244.2_30067652_4	0.4816	95	82.5000	50.0000	52.0000						0
LOC101142646	ZNF682	truthbar	1	0.2083	DN_NC_073244.2_26470366_4	DN_NC_073244.2_27869273_3	0.4816	95	86.0000	50.0000	52.0000						0
LOC101142646	ZNF695	truthbar	1	0.2316	DN_NC_073224.2_8422960_4	DN_NC_073244.2_27869273_3	0.4816	95	82.5000	50.5000	52.0000						0
LOC101142646	ZNF701	truthbar	1														0
LOC101142646	ZNF721	truthbar	1	0.2310	DN_NC_073227.2_9010062_2	DN_NC_073244.2_27869273_3	0.4816	95	82.5000	51.0000	52.0000						0
LOC101142646	ZNF723	truthbar	1	0.3001	DN_NC_073244.2_27869273_3	DN_NC_073244.2_29232445_4	0.5099	95	81.5000	51.0000	52.0000						0
LOC101142646	ZNF727	truthbar	1	0.1636	DN_NC_073230.2_73508332_4	DN_NC_073244.2_27869273_3	0.4816	95	76.0000	50.0000	52.0000						0
LOC101142646	ZNF736	truthbar	1	0.1742	DN_NC_073230.2_73776646_4	DN_NC_073244.2_27869273_3	0.4816	95	72.5000	51.0000	52.0000						0
LOC101142646	ZNF761	truthbar	1	0.3291	DN_NC_073244.2_27869273_3	DN_NC_073244.2_65362909_5	0.4816	95	74.5000	50.0000	52.0000						0
LOC101142646	ZNF766	truthbar	1														0
LOC101142646	ZNF8	truthbar	1														0
LOC101142646	ZNF808	truthbar	1	0.1929	DN_NC_073244.2_27869273_3	DN_NC_073244.2_64500861_5	0.4816	95	80.0000	50.0000	53.0000						0
LOC101142646	ZNF813	truthbar	1	0.1305	DN_NC_073244.2_27869273_3	DN_NC_073244.2_65398487_4	0.4816	95	83.0000	50.0000	52.0000						0
LOC101142646	ZNF83	truthbar	1														0
LOC101142646	ZNF836	truthbar	1														0
LOC101142646	ZNF841	truthbar	1														0
