dn_a	dn_b	contain_ab	contain_ba	n_exon_a	n_exon_b	n_cov_a	n_cov_b
DN_NC_073229.2_60853569_16	DN_NC_073244.2_56850091_13	0.000000	0.000000	16	13	0	0
DN_NC_073229.2_62050928_12	DN_NC_073239.2_119046659_11	0.000000	0.000000	12	11	0	0
DN_NC_073229.2_64639535_22	DN_NC_073238.2_32078126_7	0.227273	0.714286	22	7	5	5
DN_NC_073229.2_67950085_3	DN_NC_073230.2_150857421_7	0.333333	0.000000	3	7	1	0
DN_NC_073229.2_67950085_3	DN_NC_073237.2_58966871_3	0.000000	0.000000	3	3	0	0
DN_NC_073229.2_67950085_3	DN_NC_073238.2_32617313_2	0.000000	0.000000	3	2	0	0
DN_NC_073229.2_67950085_3	DN_NC_073241.2_83874271_3	1.000000	1.000000	3	3	3	3
DN_NC_073229.2_67950085_3	DN_NC_073244.2_6165323_3	0.333333	0.333333	3	3	1	1
DN_NC_073229.2_67950085_3	DN_NC_086017.1_112545872_3	0.333333	0.333333	3	3	1	1
DN_NC_073229.2_70515777_4	DN_NC_073229.2_70567152_7	0.000000	0.000000	4	7	0	0
DN_NC_073229.2_70527768_7	DN_NC_073229.2_70567152_7	1.000000	0.714286	7	7	7	5
DN_NC_073229.2_70527768_7	DN_NC_073229.2_70609285_7	1.000000	1.000000	7	7	7	7
DN_NC_073229.2_70527768_7	DN_NC_073229.2_70674504_7	0.857143	0.857143	7	7	6	6
DN_NC_073229.2_70567152_7	DN_NC_073229.2_70609285_7	0.714286	1.000000	7	7	5	7
DN_NC_073229.2_70567152_7	DN_NC_073229.2_70674504_7	0.714286	0.857143	7	7	5	6
DN_NC_073229.2_70609285_7	DN_NC_073229.2_70674504_7	0.857143	0.857143	7	7	6	6
DN_NC_073229.2_86209092_3	DN_NC_073234.2_71885470_2	0.333333	0.000000	3	2	1	0
DN_NC_073229.2_86209092_3	DN_NC_073243.2_86703688_5	0.000000	0.000000	3	5	0	0
DN_NC_073229.2_94673034_3	DN_NC_086017.1_52688084_4	0.000000	0.000000	3	4	0	0
DN_NC_073229.2_94771458_11	DN_NC_073229.2_94961202_4	0.181818	0.250000	11	4	2	1
DN_NC_073229.2_97353754_3	DN_NC_073231.2_114003443_13	0.000000	0.923077	3	13	0	12
DN_NC_073229.2_97353754_3	DN_NC_086017.1_49305793_6	0.000000	0.000000	3	6	0	0
DN_NC_073229.2_97456874_3	DN_NC_073234.2_36991193_12	0.000000	0.000000	3	12	0	0
DN_NC_073229.2_97606864_8	DN_NC_073230.2_28044538_2	0.250000	0.000000	8	2	2	0
DN_NC_073229.2_97606864_8	DN_NC_073239.2_98531685_2	0.750000	0.500000	8	2	6	1
DN_NC_073229.2_97606864_8	DN_NC_073243.2_97368870_3	0.750000	0.333333	8	3	6	1
DN_NC_073230.2_101581724_4	DN_NC_073230.2_101602035_18	0.250000	0.111111	4	18	1	2
DN_NC_073230.2_101602035_18	DN_NC_073230.2_101646316_2	0.055556	0.500000	18	2	1	1
DN_NC_073230.2_112158616_4	DN_NC_073230.2_51812102_9	0.500000	0.333333	4	9	2	3
DN_NC_073230.2_112158616_4	DN_NC_073230.2_86050165_15	0.000000	0.200000	4	15	0	3
DN_NC_073230.2_112158616_4	DN_NC_073230.2_86128587_5	0.500000	0.600000	4	5	2	3
DN_NC_073230.2_112158616_4	DN_NC_073230.2_86213678_7	0.750000	0.428571	4	7	3	3
DN_NC_073230.2_115994887_11	DN_NC_086017.1_58612310_12	0.000000	0.000000	11	12	0	0
DN_NC_073230.2_116119215_11	DN_NC_073230.2_116150343_22	0.090909	0.000000	11	22	1	0
DN_NC_073230.2_116851282_14	DN_NC_073245.2_57775599_4	0.000000	0.000000	14	4	0	0
DN_NC_073230.2_12962256_6	DN_NC_073232.2_101260375_9	0.000000	0.000000	6	9	0	0
DN_NC_073230.2_132467242_13	DN_NC_073233.2_14005356_9	0.000000	0.000000	13	9	0	0
DN_NC_073230.2_132467242_13	DN_NC_073239.2_70164897_2	0.000000	0.500000	13	2	0	1
DN_NC_073230.2_13331389_15	DN_NC_073230.2_14245227_15	1.000000	1.000000	15	15	15	15
DN_NC_073230.2_13358875_21	DN_NC_073230.2_14200490_21	0.952381	0.904762	21	21	20	19
DN_NC_073230.2_137552467_7	DN_NC_073231.2_6126395_2	0.000000	0.000000	7	2	0	0
DN_NC_073230.2_13762772_6	DN_NC_086018.1_35225663_7	0.000000	0.000000	6	7	0	0
DN_NC_073230.2_137926513_11	DN_NC_086017.1_68009077_13	0.000000	0.000000	11	13	0	0
DN_NC_073230.2_14161449_15	DN_NC_073230.2_76425037_7	0.200000	0.571429	15	7	3	4
DN_NC_073230.2_14161449_15	DN_NC_073230.2_81087606_7	0.333333	0.571429	15	7	5	4
DN_NC_073230.2_143596666_10	DN_NC_073230.2_143617302_10	0.800000	0.900000	10	10	8	9
DN_NC_073230.2_149202220_20	DN_NC_073247.2_64062359_23	0.000000	0.000000	20	23	0	0
DN_NC_073230.2_149564614_8	DN_NC_073247.2_51197700_2	0.750000	0.500000	8	2	6	1
DN_NC_073230.2_150857421_7	DN_NC_073241.2_83874271_3	0.000000	0.333333	7	3	0	1
DN_NC_073230.2_150857421_7	DN_NC_073244.2_6165323_3	0.000000	0.333333	7	3	0	1
DN_NC_073230.2_152836468_8	DN_NC_073230.2_152880918_9	0.000000	0.000000	8	9	0	0
DN_NC_073230.2_159385621_3	DN_NC_073230.2_92132360_3	0.000000	0.000000	3	3	0	0
DN_NC_073230.2_159385621_3	DN_NC_073234.2_126370406_2	0.000000	0.000000	3	2	0	0
DN_NC_073230.2_159385621_3	DN_NC_073235.2_71373985_7	0.000000	0.142857	3	7	0	1
DN_NC_073230.2_159385621_3	DN_NC_073239.2_123333523_2	0.000000	0.000000	3	2	0	0
DN_NC_073230.2_159385621_3	DN_NC_073244.2_43610901_6	0.000000	0.166667	3	6	0	1
DN_NC_073230.2_159385621_3	DN_NC_073247.2_115708949_2	0.000000	0.000000	3	2	0	0
DN_NC_073230.2_159385621_3	DN_NC_073247.2_147586730_5	0.000000	0.000000	3	5	0	0
DN_NC_073230.2_159879400_23	DN_NC_073235.2_122326496_17	0.000000	0.000000	23	17	0	0
DN_NC_073230.2_160290576_8	DN_NC_073232.2_68914292_6	0.875000	0.166667	8	6	7	1
DN_NC_073230.2_161022909_27	DN_NC_073236.2_21263952_7	0.037037	0.000000	27	7	1	0
DN_NC_073230.2_161022909_27	DN_NC_073238.2_22875925_6	0.037037	0.166667	27	6	1	1
DN_NC_073230.2_161022909_27	DN_NC_073238.2_24580375_8	0.037037	0.125000	27	8	1	1
DN_NC_073230.2_161022909_27	DN_NC_073240.2_14396114_6	0.037037	0.000000	27	6	1	0
DN_NC_073230.2_161461454_2	DN_NC_073233.2_24803514_8	0.000000	0.000000	2	8	0	0
DN_NC_073230.2_161461454_2	DN_NC_073236.2_23070420_5	0.500000	0.200000	2	5	1	1
DN_NC_073230.2_161461454_2	DN_NC_073238.2_25250945_5	0.500000	0.200000	2	5	1	1
DN_NC_073230.2_161461454_2	DN_NC_073240.2_17174470_5	0.500000	0.000000	2	5	1	0
DN_NC_073230.2_168783006_4	DN_NC_073231.2_150902261_3	0.750000	0.666667	4	3	3	2
DN_NC_073230.2_168783006_4	DN_NC_073232.2_146269317_5	0.750000	0.600000	4	5	3	3
DN_NC_073230.2_168783006_4	DN_NC_073232.2_8583099_4	1.000000	0.750000	4	4	4	3
DN_NC_073230.2_168783006_4	DN_NC_073236.2_140400059_5	0.750000	0.600000	4	5	3	3
DN_NC_073230.2_168783006_4	DN_NC_073237.2_118498911_4	1.000000	0.750000	4	4	4	3
DN_NC_073230.2_168783006_4	DN_NC_073239.2_124648897_4	1.000000	0.750000	4	4	4	3
DN_NC_073230.2_168783006_4	DN_NC_073240.2_103747497_4	1.000000	0.750000	4	4	4	3
DN_NC_073230.2_168783006_4	DN_NC_073241.2_110003031_5	0.750000	0.600000	4	5	3	3
DN_NC_073230.2_168783006_4	DN_NC_073242.2_121237165_4	1.000000	0.750000	4	4	4	3
DN_NC_073230.2_168783006_4	DN_NC_073244.2_70818649_5	0.750000	0.600000	4	5	3	3
DN_NC_073230.2_168783006_4	DN_NC_086017.1_211655827_5	0.750000	0.600000	4	5	3	3
DN_NC_073230.2_168783006_4	DN_NC_086017.1_9337960_4	1.000000	1.000000	4	4	4	4
DN_NC_073230.2_28044538_2	DN_NC_073239.2_98531685_2	0.000000	0.000000	2	2	0	0
DN_NC_073230.2_28044538_2	DN_NC_073243.2_97368870_3	0.000000	0.000000	2	3	0	0
DN_NC_073230.2_29909396_5	DN_NC_073230.2_98628332_5	0.600000	0.800000	5	5	3	4
DN_NC_073230.2_37931018_4	DN_NC_073236.2_112799498_6	0.000000	0.000000	4	6	0	0
DN_NC_073230.2_40386475_10	DN_NC_073230.2_63523034_4	0.300000	0.750000	10	4	3	3
DN_NC_073230.2_44313875_22	DN_NC_073245.2_58594952_21	0.000000	0.000000	22	21	0	0
DN_NC_073230.2_47037104_3	DN_NC_073230.2_51605178_3	0.666667	0.666667	3	3	2	2
DN_NC_073230.2_47037167_3	DN_NC_073230.2_51605178_3	0.666667	0.666667	3	3	2	2
DN_NC_073230.2_47037167_3	DN_NC_073233.2_132992860_18	0.000000	0.000000	3	18	0	0
DN_NC_073230.2_47037167_3	DN_NC_086018.1_40100382_3	0.000000	0.000000	3	3	0	0
DN_NC_073230.2_47098444_23	DN_NC_073230.2_51812102_9	0.130435	0.333333	23	9	3	3
DN_NC_073230.2_47098444_23	DN_NC_073230.2_86128587_5	0.130435	0.600000	23	5	3	3
DN_NC_073230.2_47098444_23	DN_NC_073230.2_86257459_21	0.565217	0.666667	23	21	13	14
DN_NC_073230.2_47332274_8	DN_NC_073244.2_63917963_3	0.000000	0.000000	8	3	0	0
DN_NC_073230.2_51812102_9	DN_NC_073230.2_86128587_5	0.444444	0.800000	9	5	4	4
DN_NC_073230.2_51812102_9	DN_NC_073230.2_86213678_7	0.777778	0.857143	9	7	7	6
DN_NC_073230.2_51889040_3	DN_NC_073232.2_109704136_4	0.000000	0.000000	3	4	0	0
DN_NC_073230.2_52044244_19	DN_NC_073232.2_41878762_20	0.000000	0.000000	19	20	0	0
DN_NC_073230.2_52428682_23	DN_NC_073232.2_66124270_23	0.000000	0.000000	23	23	0	0
DN_NC_073230.2_53547116_11	DN_NC_073230.2_64295055_2	0.000000	0.000000	11	2	0	0
DN_NC_073230.2_53547116_11	DN_NC_073230.2_64705365_4	0.000000	0.000000	11	4	0	0
DN_NC_073230.2_53547116_11	DN_NC_073233.2_55845432_8	0.000000	0.000000	11	8	0	0
DN_NC_073230.2_56036026_15	DN_NC_073233.2_11450665_3	0.000000	0.000000	15	3	0	0
DN_NC_073230.2_56036026_15	DN_NC_073246.2_35769268_8	0.066667	0.125000	15	8	1	1
DN_NC_073230.2_63938060_3	DN_NC_073230.2_64191496_8	0.333333	0.000000	3	8	1	0
DN_NC_073230.2_63938060_3	DN_NC_073230.2_64295055_2	0.000000	0.000000	3	2	0	0
DN_NC_073230.2_63938060_3	DN_NC_073230.2_64705365_4	0.666667	0.750000	3	4	2	3
DN_NC_073230.2_63974160_10	DN_NC_073236.2_47432803_11	0.000000	0.000000	10	11	0	0
DN_NC_073230.2_63974160_10	DN_NC_073245.2_35625538_4	0.000000	0.000000	10	4	0	0
DN_NC_073230.2_64191496_8	DN_NC_073230.2_64705365_4	0.000000	0.000000	8	4	0	0
DN_NC_073230.2_64900495_2	DN_NC_073230.2_73977205_4	0.000000	0.000000	2	4	0	0
DN_NC_073230.2_64900495_2	DN_NC_073230.2_74126483_4	0.000000	0.000000	2	4	0	0
DN_NC_073230.2_64900495_2	DN_NC_073230.2_74190289_5	0.000000	0.000000	2	5	0	0
DN_NC_073230.2_64900495_2	DN_NC_073230.2_74299233_4	0.000000	0.000000	2	4	0	0
DN_NC_073230.2_64900495_2	DN_NC_073242.2_66613619_4	0.000000	0.000000	2	4	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_26240039_2	0.000000	0.000000	2	2	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_26470366_4	0.000000	0.000000	2	4	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_26666712_5	0.000000	0.000000	2	5	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_27131194_2	0.000000	0.000000	2	2	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_27285351_4	0.000000	0.000000	2	4	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_27504818_5	0.000000	0.000000	2	5	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_27765726_4	0.000000	0.000000	2	4	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_27956158_2	0.000000	0.000000	2	2	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_28072858_4	0.000000	0.000000	2	4	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_28711447_2	0.000000	0.000000	2	2	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_29232445_4	0.000000	0.000000	2	4	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_29557605_4	0.000000	0.000000	2	4	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_29680825_2	0.000000	0.000000	2	2	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_29970261_4	0.000000	0.000000	2	4	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_30438386_2	0.000000	0.000000	2	2	0	0
DN_NC_073230.2_72857214_2	DN_NC_073230.2_72907176_2	1.000000	1.000000	2	2	2	2
DN_NC_073230.2_72857214_2	DN_NC_073230.2_73388327_2	1.000000	1.000000	2	2	2	2
DN_NC_073230.2_72907176_2	DN_NC_073230.2_73388327_2	1.000000	1.000000	2	2	2	2
DN_NC_073230.2_73508332_4	DN_NC_073230.2_73977205_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073230.2_74126483_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073230.2_74190289_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_73508332_4	DN_NC_073230.2_74299233_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073230.2_74637814_2	0.000000	0.000000	4	2	0	0
DN_NC_073230.2_73508332_4	DN_NC_073242.2_37386128_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073242.2_66613619_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_26240035_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_26314241_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_26470366_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_26666712_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_26901109_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27051998_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27131194_2	0.000000	0.000000	4	2	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27285351_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27408454_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27504818_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27626411_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27765726_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27869273_3	0.000000	0.000000	4	3	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27956158_2	0.000000	0.000000	4	2	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_28072858_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_28256975_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_28333451_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_28711447_2	0.000000	0.000000	4	2	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_28820229_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_29046961_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_29232445_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_29297022_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_29557605_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_29680825_2	0.000000	0.000000	4	2	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_29970261_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_30067652_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_30090650_6	0.000000	0.000000	4	6	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_30438386_2	0.000000	0.000000	4	2	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_65046428_2	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_65266359_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073230.2_73977205_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073230.2_74126483_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073230.2_74190289_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_73776646_4	DN_NC_073230.2_74299233_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073230.2_74637814_2	0.000000	0.000000	4	2	0	0
DN_NC_073230.2_73776646_4	DN_NC_073242.2_66613619_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_26240035_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_26314241_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_26470366_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_26666712_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_27051998_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_27285351_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_27408454_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_27504818_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_27626411_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_27765726_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_27869273_3	0.000000	0.000000	4	3	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_27956158_2	0.000000	0.000000	4	2	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_28072858_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_28333451_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_28588105_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_28711447_2	0.000000	0.000000	4	2	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_29046961_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_29232445_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_29297022_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_29557605_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_29680825_2	0.000000	0.000000	4	2	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_30067652_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_30438386_2	0.000000	0.000000	4	2	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_64265252_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_64585864_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_64836827_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73977205_4	DN_NC_073230.2_74126483_4	0.750000	0.750000	4	4	3	3
DN_NC_073230.2_73977205_4	DN_NC_073230.2_74190289_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_73977205_4	DN_NC_073230.2_74299233_4	1.000000	0.750000	4	4	4	3
DN_NC_073230.2_73977205_4	DN_NC_073230.2_74637814_2	0.250000	0.500000	4	2	1	1
DN_NC_073230.2_73977205_4	DN_NC_073233.2_9788172_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_73977205_4	DN_NC_073241.2_36126198_2	0.000000	0.000000	4	2	0	0
DN_NC_073230.2_73977205_4	DN_NC_073242.2_37386128_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73977205_4	DN_NC_073242.2_66613619_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73977205_4	DN_NC_073244.2_26240035_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73977205_4	DN_NC_073244.2_26314241_4	0.500000	0.500000	4	4	2	2
DN_NC_073230.2_73977205_4	DN_NC_073244.2_26470366_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73977205_4	DN_NC_073244.2_26666712_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_73977205_4	DN_NC_073244.2_26901109_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27051998_4	0.750000	0.750000	4	4	3	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27131194_2	0.000000	0.000000	4	2	0	0
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27285351_4	0.750000	0.750000	4	4	3	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27408454_4	0.500000	0.500000	4	4	2	2
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27504818_5	0.500000	0.400000	4	5	2	2
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27566430_5	0.500000	0.600000	4	5	2	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27765726_4	0.750000	1.000000	4	4	3	4
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27869273_3	0.000000	0.000000	4	3	0	0
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27956158_2	0.000000	0.000000	4	2	0	0
DN_NC_073230.2_73977205_4	DN_NC_073244.2_28072858_4	0.500000	0.500000	4	4	2	2
DN_NC_073230.2_73977205_4	DN_NC_073244.2_28256975_5	0.500000	0.400000	4	5	2	2
DN_NC_073230.2_73977205_4	DN_NC_073244.2_28588105_4	0.750000	0.750000	4	4	3	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_28711447_4	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_73977205_4	DN_NC_073244.2_28820229_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73977205_4	DN_NC_073244.2_29046961_4	0.500000	0.750000	4	4	2	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_29232445_4	0.500000	1.000000	4	4	2	4
DN_NC_073230.2_73977205_4	DN_NC_073244.2_29297022_4	0.750000	0.750000	4	4	3	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_29557605_4	0.500000	1.000000	4	4	2	4
DN_NC_073230.2_73977205_4	DN_NC_073244.2_29680825_4	0.750000	0.750000	4	4	3	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_29970261_4	0.750000	1.000000	4	4	3	4
DN_NC_073230.2_73977205_4	DN_NC_073244.2_30067652_4	1.000000	0.750000	4	4	4	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_30438386_2	0.000000	0.000000	4	2	0	0
DN_NC_073230.2_73977205_4	DN_NC_073244.2_64125568_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_73977205_4	DN_NC_073244.2_64585864_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73977205_4	DN_NC_073244.2_65003440_7	0.000000	0.000000	4	7	0	0
DN_NC_073230.2_73977205_4	DN_NC_073244.2_65266359_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_73977205_4	DN_NC_073246.2_15789285_3	0.000000	0.000000	4	3	0	0
DN_NC_073230.2_74126483_4	DN_NC_073230.2_74190289_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_74126483_4	DN_NC_073230.2_74299233_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_74126483_4	DN_NC_073230.2_74637814_2	0.000000	0.000000	4	2	0	0
DN_NC_073230.2_74126483_4	DN_NC_073233.2_9788172_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_74126483_4	DN_NC_073241.2_36126198_2	0.000000	0.000000	4	2	0	0
DN_NC_073230.2_74126483_4	DN_NC_073242.2_37386128_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_74126483_4	DN_NC_073242.2_66613619_4	1.000000	1.000000	4	4	4	4
DN_NC_073230.2_74126483_4	DN_NC_073244.2_26240035_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_74126483_4	DN_NC_073244.2_26470366_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_74126483_4	DN_NC_073244.2_26666712_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_74126483_4	DN_NC_073244.2_26901109_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_74126483_4	DN_NC_073244.2_27051998_4	0.750000	0.750000	4	4	3	3
DN_NC_073230.2_74126483_4	DN_NC_073244.2_27285351_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_74126483_4	DN_NC_073244.2_27408454_4	0.250000	0.000000	4	4	1	0
DN_NC_073230.2_74126483_4	DN_NC_073244.2_27504818_5	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_74126483_4	DN_NC_073244.2_27566430_5	0.750000	0.600000	4	5	3	3
DN_NC_073230.2_74126483_4	DN_NC_073244.2_27765726_4	0.750000	0.750000	4	4	3	3
DN_NC_073230.2_74126483_4	DN_NC_073244.2_27869273_3	0.000000	0.000000	4	3	0	0
DN_NC_073230.2_74126483_4	DN_NC_073244.2_27956158_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_74126483_4	DN_NC_073244.2_28072858_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_74126483_4	DN_NC_073244.2_28256975_5	0.500000	0.400000	4	5	2	2
DN_NC_073230.2_74126483_4	DN_NC_073244.2_28588105_4	0.750000	0.750000	4	4	3	3
DN_NC_073230.2_74126483_4	DN_NC_073244.2_28711447_4	0.000000	0.000000	4	5	0	0
DN_NC_073230.2_74126483_4	DN_NC_073244.2_28820229_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_74126483_4	DN_NC_073244.2_29046961_4	0.000000	0.000000	4	4	0	0
DN_NC_073230.2_74126483_4	DN_NC_073244.2_29232445_4	0.500000	1.000000	4	4	2	4
