family	copy	chrom	start	end	gene	n_psv	n_sun	tier	hap_unique	group_size
160	copy1	NC_073237.2	24536843	24549708	IGFBPL1	137	137	1	1	1
161	copy0	NC_073237.2	109453117	109460140	LOC101124026	9	9	1	1	1
161	copy1	NC_073237.2	109461576	109468401	LOC101141789	9	9	1	1	1
163	copy0	NC_073238.2	30171533	30202445	LOC101137734	205	205	1	1	1
163	copy1	NC_073238.2	33197456	33228323	LOC134756955	205	205	1	1	1
164	copy0	NC_073238.2	33904146	33935775	MPHOSPH8	110	110	1	1	1
164	copy1	NC_073240.2	20728188	20759768	.	110	110	1	1	1
165	copy0	NC_073239.2	32630520	32646141	LOC101144919	109	109	1	1	1
165	copy1	NC_073239.2	32665979	32681475	LOC115930536	109	109	1	1	1
166	copy0	NC_073239.2	32644328	32646126	LOC101144919	7	7	1	1	1
166	copy1	NC_073239.2	32679688	32681469	LOC115930536	7	7	1	1	1
167	copy0	NC_073239.2	35447365	35468594	LOC101124683	16	16	1	1	1
167	copy1	NC_073239.2	35559772	35580772	LOC115930071	16	16	1	1	1
168	copy0	NC_073239.2	35464611	35468594	LOC101124683	1	1	1	1	1
168	copy1	NC_073239.2	35577027	35581002	LOC115930071	1	1	1	1	1
169	copy0	NC_073239.2	35465817	35469874	LOC101124683	0	0	3	0	2
169	copy1	NC_073239.2	35578233	35581016	LOC115930071	0	0	3	0	2
170	copy0	NC_073239.2	35466171	35468601	LOC101124683	0	0	3	0	2
170	copy1	NC_073239.2	35578605	35581010	LOC115930071	0	0	3	0	2
171	copy0	NC_073239.2	122615409	122617135	LOC115933240	69	69	1	1	1
171	copy1	NC_073239.2	122634080	122635806	LOC115933128	69	69	1	1	1
172	copy0	NC_073240.2	23210840	23219738	LOC101136352	15	15	1	1	1
172	copy1	NC_073240.2	21601841	21610583	LOC101152610	15	15	1	1	1
173	copy0	NC_073240.2	23725423	23762872	LOC101149946	423	423	1	1	1
173	copy1	NC_073240.2	29803861	29832555	LOC134757265	423	423	1	1	1
174	copy0	NC_073240.2	29838430	29858601	LOC115930831	477	477	1	1	1
174	copy1	NC_073243.2	104785765	104805788	LOC101137572	477	477	1	1	1
175	copy0	NC_073240.2	85821672	85868140	UBE2Q2P16	0	0	3	0	2
175	copy1	NC_073240.2	86403557	86409251	LOC101138066	0	0	3	0	2
176	copy0	NC_073242.2	3790652	3791552	LOC115931067	0	0	3	0	2
176	copy1	NC_073242.2	3794469	3795361	LOC134757486	0	0	3	0	2
177	copy0	NC_073242.2	6159400	6232974	PDPK1	104	104	1	1	1
177	copy1	NC_073242.2	6233195	6297099	LOC101147811	104	104	1	1	1
178	copy0	NC_073242.2	30717387	30772185	LOC115933250	317	317	1	1	1
178	copy1	NC_073242.2	15726062	15768736	LOC101136480	317	317	1	1	1
179	copy0	NC_073242.2	29938505	30093491	BMERB1	110	110	1	1	1
179	copy1	NC_073242.2	27042289	27143701	LOC101125551	110	110	1	1	1
181	copy0	NC_073242.2	68751082	68760152	LOC134757438	9	9	1	1	1
181	copy1	NC_073242.2	65850805	65859676	LOC134757436	9	9	1	1	1
182	copy0	NC_073242.2	68108553	68129983	LOC129527663	32	32	1	1	1
182	copy1	NC_073242.2	66481481	66502248	LINC02693	32	32	1	1	1
183	copy0	NC_073242.2	99381861	99418311	LOC115933369	80	80	1	1	1
183	copy1	NC_073242.2	104701006	104723769	LOC129527725	80	80	1	1	1
189	copy0	NC_073244.2	68293337	68300389	LOC115931590	10	10	1	1	1
189	copy1	NC_073244.2	68333021	68340030	LOC101153611	10	10	1	1	1
191	copy0	NC_086018.1	1713296	1719732	LOC129530554	0	0	3	0	2
191	copy1	NC_073246.2	2173988	2180391	LOC129530473	0	0	3	0	2
192	copy0	NC_073246.2	2235416	2244379	LOC101142904	17	17	1	1	1
192	copy1	NC_086018.1	1774757	1783719	LOC129530552	17	17	1	1	1
193	copy0	NC_073247.2	18934892	18935727	LOC115932281	4	4	1	1	1
193	copy1	NC_073247.2	17003459	17004234	LOC129529790	4	4	1	1	1
195	copy0	NC_073247.2	62876862	62887262	LOC129529923	4	4	1	1	1
195	copy1	NC_073247.2	62823555	62833870	LOC101153153	4	4	1	1	1
