gene	chrom	n_snp	n_tv	phase_qual	donor	acceptor	psi0	psi1	dPSI	q	multi_snp_only
ZNF614	NC_073244.2	2	0	0.99	63984896	63984926	0.0	0.772	0.772	1.118e-20	0
STAM2	NC_073235.2	5	4	0.85	54615044	54615144	0.771	0.0	0.771	4.705e-11	1
LOC115932992	NC_073242.2	19	7	0.84	16448896	16453284	0.769	0.0	0.769	3.261e-03	0
LOC134756448	NC_073224.2	2	0	0.56	223545998	223547040	0.769	0.0	0.769	9.455e-03	0
L1TD1	NC_073224.2	12	3	0.99	177786346	177786379	0.766	0.0	0.766	1.426e-31	0
LOC101141065	NC_073224.2	3	3	1.0	192932010	192934011	0.765	0.0	0.765	1.815e-17	0
PLIN2	NC_073237.2	3	0	1.0	45214399	45214635	0.0	0.765	0.765	1.089e-06	0
LOC115934626	NC_073228.2	5	3	0.72	45956866	45956972	1.0	0.25	0.750	1.807e-03	0
LOC129527076	NC_073240.2	8	1	0.77	26341675	26347158	0.976	0.231	0.745	1.390e-15	1
LOC101149340	NC_073235.2	10	2	1.0	32912949	32913067	0.248	0.989	0.742	4.884e-28	0
LOC101138206	NC_073243.2	6	3	0.85	111897795	111900908	0.0	0.741	0.741	5.924e-31	0
LOC101131116	NC_073244.2	22	7	0.9	65149855	65150023	0.0	0.733	0.733	1.587e-02	0
LOC129527076	NC_073240.2	8	1	0.77	26345435	26347158	0.012	0.744	0.732	8.710e-16	1
LOC115932992	NC_073242.2	19	7	0.84	16439052	16448758	0.731	0.0	0.731	7.002e-03	0
PCNT	NC_073246.2	23	6	0.99	48247283	48247438	0.0	0.73	0.730	3.818e-13	1
LOC101141065	NC_073224.2	3	3	1.0	192934105	193091754	0.0	0.73	0.730	1.167e-04	0
CD58	NC_073224.2	2	1	1.0	120920978	120923604	0.769	0.04	0.729	7.383e-07	0
CCDC14	NC_086017.1	14	4	0.96	134812083	134813463	0.0	0.728	0.728	2.781e-36	0
CORO2A	NC_073237.2	4	0	0.97	94438982	94439143	0.722	0.0	0.722	7.850e-03	0
CORO2A	NC_073237.2	4	0	0.97	94438994	94439155	0.278	1.0	0.722	7.850e-03	0
LOC129525331	NC_073224.2	40	10	0.79	125059671	125060301	0.081	0.8	0.719	1.741e-09	1
IAH1	NC_073236.2	11	3	0.99	130444917	130444958	0.734	0.017	0.717	6.791e-18	0
LOC115932992	NC_073242.2	19	7	0.84	16419347	16429060	0.714	0.0	0.714	2.062e-04	0
LOC115933270	NC_073243.2	10	2	0.67	82856203	82856490	0.0	0.714	0.714	1.754e-03	0
LOC134758712	NC_073224.2	1	0	0.97	15802398	15912615	0.0	0.714	0.714	1.062e-02	1
ALDH9A1	NC_073224.2	7	2	0.99	91068439	91068495	0.712	0.0	0.712	1.221e-14	0
LOC115932735	NC_073224.2	9	1	1.0	124293276	124295060	0.858	0.147	0.711	1.770e-28	0
PCNT	NC_073246.2	23	6	0.99	48246854	48247087	0.0	0.703	0.703	3.122e-12	1
ZNF544	NC_073244.2	4	1	1.0	70323393	70323564	0.913	0.212	0.702	9.541e-24	0
LOC101141065	NC_073224.2	3	3	1.0	192950636	192956643	0.702	0.0	0.702	1.259e-14	0
C13H9orf43	NC_073237.2	2	0	1.0	109779303	109779964	0.7	0.0	0.700	4.946e-03	0
LOC101130871	NC_073228.2	3	0	1.0	179939429	179941998	0.05	0.75	0.700	6.450e-03	0
TELO2	NC_073242.2	5	1	0.72	5123598	5123775	0.304	1.0	0.696	5.917e-03	1
LOC134756861	NC_073224.2	40	13	0.86	117522626	117523345	0.216	0.909	0.693	5.843e-08	1
CD58	NC_073224.2	2	1	1.0	120916532	120920941	0.692	0.0	0.692	1.771e-06	0
CNTNAP3C	NC_073236.2	20	3	0.98	33306610	33308283	0.0	0.692	0.692	3.564e-04	0
LOC134756861	NC_073224.2	40	13	0.86	117524167	117524876	0.228	0.919	0.691	7.169e-09	1
LOC101142783	NC_073237.2	35	7	0.83	29435056	29435629	0.091	0.781	0.690	1.215e-04	0
LOC115934626	NC_073228.2	5	3	0.72	45956648	45956972	0.0	0.688	0.688	6.327e-03	0
PSMD2	NC_086017.1	2	2	0.63	195405929	195406117	0.312	1.0	0.688	7.834e-03	0
LOC101142783	NC_073237.2	35	7	0.83	29435683	29438193	0.095	0.781	0.686	1.215e-04	0
NSMCE2	NC_073231.2	2	0	1.0	130931482	130931652	0.15	0.833	0.683	5.016e-03	0
ZNF578	NC_073244.2	6	0	0.55	64488111	64489196	0.0	0.68	0.680	2.296e-06	0
LOC115932992	NC_073242.2	19	7	0.84	16429198	16438914	0.68	0.0	0.680	2.529e-02	1
RFTN1	NC_086017.1	14	2	0.99	26098223	26098645	0.25	0.929	0.679	4.909e-02	1
RFTN1	NC_086017.1	14	2	0.99	26098822	26112834	0.25	0.929	0.679	4.909e-02	1
LOC101149340	NC_073235.2	10	2	1.0	32911555	32913067	0.676	0.0	0.676	4.462e-25	0
PCNT	NC_073246.2	23	6	0.99	48247843	48259735	0.0	0.676	0.676	7.024e-12	1
NSMCE2	NC_073231.2	2	0	1.0	130921296	130931652	0.789	0.118	0.672	6.205e-03	0
LOC129532042	NC_073224.2	9	2	0.98	15801864	15801989	0.667	0.0	0.667	2.159e-05	1
LOC129532042	NC_073224.2	9	2	0.98	15800402	15800543	0.667	0.0	0.667	2.159e-05	1
LOC129532042	NC_073224.2	9	2	0.98	15800723	15801010	0.667	0.0	0.667	2.159e-05	1
LOC129527692	NC_073242.2	8	4	0.9	99212005	99212047	0.667	0.0	0.667	2.348e-02	0
LOC134756389	NC_073231.2	16	6	1.0	151184677	151185287	0.667	0.0	0.667	2.640e-02	0
CD46	NC_073224.2	5	2	0.99	48992892	48994641	0.984	0.32	0.664	3.634e-102	0
C21H20orf96	NC_073245.2	6	1	1.0	10192341	10192505	0.893	0.231	0.662	1.567e-04	0
LOC134756922	NC_073224.2	19	7	0.97	117267324	117270007	0.66	0.0	0.660	5.071e-35	0
TCP11	NC_073229.2	4	1	1.0	52881158	52881272	0.0	0.655	0.655	1.025e-10	0
LOC115930576	NC_073224.2	35	15	0.99	218460917	218461380	0.349	1.0	0.651	1.647e-44	0
LOC115930576	NC_073224.2	35	15	0.99	218459794	218460844	0.349	1.0	0.651	2.372e-44	0
LOC129532042	NC_073224.2	9	2	0.98	15796313	15796556	0.65	0.0	0.650	4.858e-05	1
LOC129532042	NC_073224.2	9	2	0.98	15798173	15798832	0.65	0.0	0.650	4.858e-05	1
LOC129532042	NC_073224.2	9	2	0.98	15796640	15796917	0.65	0.0	0.650	4.858e-05	1
LOC129532042	NC_073224.2	9	2	0.98	15799426	15799558	0.65	0.0	0.650	4.858e-05	1
LOC129532042	NC_073224.2	9	2	0.98	15796955	15798037	0.65	0.0	0.650	4.858e-05	1
LOC101130871	NC_073228.2	3	0	1.0	179940249	179941351	0.65	0.0	0.650	3.109e-02	0
TCP11	NC_073229.2	4	1	1.0	52881158	52882230	0.956	0.31	0.646	1.303e-08	0
LOC115930576	NC_073224.2	35	15	0.99	218458743	218459579	0.357	1.0	0.643	5.107e-42	0
LOC129532042	NC_073224.2	9	2	0.98	15907795	15908245	0.0	0.643	0.643	9.297e-11	0
LOC115932992	NC_073242.2	19	7	0.84	16485066	16489453	0.64	0.0	0.640	3.668e-02	0
LOC115930576	NC_073224.2	35	15	0.99	218456905	218458640	0.272	0.911	0.639	2.149e-32	0
LOC134756861	NC_073224.2	40	13	0.86	117523397	117523994	0.273	0.909	0.636	6.765e-07	1
CNTNAP3C	NC_073236.2	20	3	0.98	33308530	33310960	0.0	0.636	0.636	2.783e-03	0
LOC129525331	NC_073224.2	40	10	0.79	125064400	125065033	0.159	0.793	0.634	1.318e-06	1
LOC115930576	NC_073224.2	35	15	0.99	218461592	218462645	0.362	0.995	0.633	1.940e-42	0
LOC129532042	NC_073224.2	9	2	0.98	15795459	15795594	0.632	0.0	0.632	1.085e-04	1
LOC129532042	NC_073224.2	9	2	0.98	15795269	15795418	0.632	0.0	0.632	1.085e-04	1
SNRPB2	NC_073245.2	5	3	0.98	26726852	26728342	1.0	0.368	0.632	2.476e-04	0
KIRREL3	NC_073233.2	1	0	1.0	134338515	134377894	0.632	0.0	0.632	1.181e-02	0
ST3GAL4	NC_073233.2	3	0	1.0	134338515	134377894	0.0	0.632	0.632	1.181e-02	0
LOC101149340	NC_073235.2	10	2	1.0	32911555	32912834	0.057	0.688	0.631	2.778e-19	0
CD46	NC_073224.2	5	2	0.99	48992892	48994617	0.0	0.629	0.629	3.370e-102	0
KNOP1	NC_073242.2	7	5	0.99	19352291	19355151	0.06	0.688	0.627	9.951e-09	0
KLF8	NC_073247.2	1	1	1.0	66389875	66391915	0.0	0.625	0.625	2.809e-02	0
TCP11	NC_073229.2	4	1	1.0	52881411	52882230	0.0	0.621	0.621	6.718e-10	0
LOC129525331	NC_073224.2	40	10	0.79	125063508	125064227	0.172	0.793	0.621	2.691e-06	1
LOC129525331	NC_073224.2	40	10	0.79	125062859	125063456	0.172	0.793	0.621	2.691e-06	1
LOC129532042	NC_073224.2	9	2	0.98	15801177	15801677	0.619	0.0	0.619	8.759e-05	1
LOC109023386	NC_073240.2	6	0	0.99	23473916	23486851	0.952	0.333	0.619	4.930e-04	0
KIRREL3	NC_073233.2	1	0	1.0	134377742	134377894	0.316	0.933	0.618	2.615e-02	0
ST3GAL4	NC_073233.2	3	0	1.0	134377742	134377894	0.933	0.316	0.618	2.615e-02	0
LOC101141065	NC_073224.2	3	3	1.0	192950606	193091754	0.615	0.0	0.615	1.233e-05	0
C13H9orf43	NC_073237.2	2	0	1.0	109776151	109776418	1.0	0.385	0.615	1.054e-02	0
LOC129532042	NC_073224.2	9	2	0.98	15900781	15901012	0.674	0.061	0.614	4.888e-06	0
LOC109023386	NC_073240.2	6	0	0.99	23459271	23461786	0.0	0.611	0.611	1.262e-04	0
LOC129532042	NC_073224.2	9	2	0.98	15794584	15794887	0.611	0.0	0.611	2.571e-04	1
PSMD2	NC_086017.1	2	2	0.63	195408341	195408570	0.389	1.0	0.611	2.788e-02	0
SGSH	NC_073228.2	38	9	1.0	11752264	11752321	0.609	0.0	0.609	3.209e-24	0
TELO2	NC_073242.2	5	1	0.72	5123867	5124109	0.391	1.0	0.609	4.017e-02	1
LOC129524706	NC_073224.2	40	8	0.99	236903722	236903866	0.608	0.0	0.608	1.301e-16	0
KNOP1	NC_073242.2	7	5	0.99	19352291	19355406	0.83	0.227	0.603	1.296e-06	0
RRBP1	NC_073245.2	18	7	1.0	27640069	27655561	0.224	0.826	0.602	2.545e-18	0
HELQ	NC_073227.2	7	3	0.84	103744314	103745874	0.729	0.128	0.601	4.551e-06	0
LOC129532042	NC_073224.2	9	2	0.98	15795935	15796182	0.6	0.0	0.600	1.958e-04	1
LOC129532042	NC_073224.2	9	2	0.98	15798969	15799203	0.6	0.0	0.600	1.958e-04	1
CEP152	NC_073240.2	7	1	1.0	49554908	49557201	0.6	0.0	0.600	1.790e-03	0
LOC129525331	NC_073224.2	40	10	0.79	125061297	125061925	0.134	0.733	0.599	2.531e-06	1
SYNM	NC_073240.2	17	3	1.0	100359408	100359465	0.0	0.595	0.595	1.011e-07	0
RRBP1	NC_073245.2	18	7	1.0	27640069	27655570	0.704	0.11	0.594	1.617e-18	0
ABI3BP	NC_086017.1	4	1	1.0	111628702	111630338	0.053	0.643	0.590	2.978e-02	0
LOC129525331	NC_073224.2	40	10	0.79	125061977	125062686	0.169	0.759	0.589	1.100e-05	1
LOC115933039	NC_073244.2	11	1	0.75	20979664	20982306	0.412	1.0	0.588	3.189e-02	0
SLC27A6	NC_073228.2	13	2	1.0	132917193	132918051	0.0	0.586	0.586	4.071e-305	0
ANKRD18B	NC_073237.2	3	0	1.0	31491737	31495489	0.586	0.0	0.586	8.101e-05	0
ANKRD18B	NC_073237.2	3	0	1.0	31491737	31492549	0.414	1.0	0.586	8.101e-05	0
ANKRD18B	NC_073237.2	3	0	1.0	31492687	31495489	0.414	1.0	0.586	8.101e-05	0
DOP1B	NC_073246.2	13	4	0.98	38104634	38112077	0.417	1.0	0.583	3.926e-04	0
LOC129532042	NC_073224.2	9	2	0.98	15795637	15795880	0.579	0.0	0.579	4.448e-04	1
ZNF888	NC_073244.2	9	5	0.98	64875647	64879055	0.578	0.0	0.578	5.360e-08	0
OSBPL6	NC_073235.2	3	0	1.0	80809492	80810069	0.265	0.842	0.577	5.931e-07	1
ZNF727	NC_073230.2	19	7	0.99	73532529	73540190	0.276	0.85	0.574	9.781e-03	0
TMEM120A	NC_073230.2	4	1	1.0	84820392	84827040	0.852	0.278	0.574	1.271e-02	1
FANCD2	NC_086017.1	5	3	0.99	19859153	19864780	0.321	0.895	0.573	9.394e-03	1
LOC129532042	NC_073224.2	9	2	0.98	15802398	15912615	0.571	0.0	0.571	3.338e-04	1
DENND2C	NC_073224.2	7	0	0.91	119022977	119026388	0.945	0.38	0.565	5.648e-08	0
LOC129532042	NC_073224.2	9	2	0.98	15790591	15790822	0.562	0.0	0.562	1.507e-03	1
CEP128	NC_073239.2	7	4	0.98	97809834	97829299	0.625	0.062	0.562	4.368e-02	0
CNTNAP3C	NC_073236.2	20	3	0.98	33306610	33310960	0.926	0.364	0.562	4.707e-02	1
LOC101142783	NC_073237.2	35	7	0.83	29433981	29434921	0.318	0.879	0.561	3.070e-03	1
KLRK1	NC_073234.2	8	4	0.73	25790189	25793146	0.56	0.0	0.560	5.699e-03	0
KLRK1	NC_073234.2	8	4	0.73	25793196	25795211	0.56	0.0	0.560	5.699e-03	0
LOC129525331	NC_073224.2	40	10	0.79	125060410	125061124	0.176	0.733	0.557	4.858e-05	1
LOC129532042	NC_073224.2	9	2	0.98	15795024	15795137	0.556	0.0	0.556	1.027e-03	1
LOC101144032	NC_073236.2	3	2	0.99	97424608	97424835	0.553	0.0	0.553	3.026e-09	0
ZNF727	NC_073230.2	19	7	0.99	73539912	73540190	0.552	0.0	0.552	2.690e-03	0
RABEP1	NC_073243.2	12	4	1.0	20532474	20532535	0.0	0.549	0.549	1.085e-60	0
LOC134758712	NC_073224.2	1	0	0.97	15790591	15790822	0.451	1.0	0.549	1.540e-04	1
ZNF701	NC_073244.2	7	3	0.98	64543515	64546273	0.0	0.548	0.548	1.342e-21	0
ZNF701	NC_073244.2	7	3	0.98	64546394	64547260	0.223	0.771	0.548	2.935e-14	0
LOC101132801	NC_073230.2	10	1	1.0	8433276	8433319	0.0	0.548	0.548	3.959e-06	0
DENND2C	NC_073224.2	7	0	0.91	119026559	119027479	0.945	0.4	0.545	1.692e-07	0
SNRNP25	NC_073242.2	2	1	1.0	3675394	3675621	1.0	0.455	0.545	5.288e-04	0
OSBPL6	NC_073235.2	3	0	1.0	80809492	80821155	0.699	0.158	0.541	7.182e-06	1
USP53	NC_073227.2	9	3	0.98	139376486	139381181	0.22	0.75	0.530	9.147e-05	0
ZNF331	NC_073244.2	1	0	1.0	65470689	65471630	0.863	0.333	0.529	1.521e-04	1
LOC101148384	NC_073235.2	15	5	1.0	31689929	31690502	0.893	0.364	0.529	1.497e-02	0
XAF1	NC_073243.2	5	0	0.99	21897433	21898123	0.953	0.429	0.525	1.273e-05	0
LOC129532042	NC_073224.2	9	2	0.98	15800130	15800297	0.524	0.0	0.524	1.138e-03	1
LOC129532042	NC_073224.2	9	2	0.98	15799676	15799992	0.524	0.0	0.524	1.138e-03	1
FBXO39	NC_073243.2	4	0	0.7	21896471	21897376	0.207	0.731	0.524	1.133e-02	0
LOC101126097	NC_073224.2	40	15	1.0	115231566	115237875	0.968	0.444	0.523	4.689e-03	0
LOC115932735	NC_073224.2	9	1	1.0	124327751	124334947	0.342	0.865	0.522	7.475e-14	0
OSBPL6	NC_073235.2	3	0	1.0	80810162	80821155	0.241	0.763	0.522	1.448e-05	1
TMEM120A	NC_073230.2	4	1	1.0	84820392	84843926	0.037	0.556	0.519	1.035e-02	1
GPSM2	NC_073224.2	9	2	0.75	131207268	131207572	0.0	0.517	0.517	9.629e-05	0
LOC115932781	NC_073242.2	1	0	1.0	28370846	28371014	0.517	0.0	0.517	1.129e-03	0
CDK5RAP2	NC_073237.2	13	2	1.0	116774893	116779138	0.992	0.478	0.514	1.414e-42	0
ADGRG1	NC_073242.2	16	3	1.0	86764018	86776678	0.551	0.041	0.511	5.887e-115	0
CDK5RAP2	NC_073237.2	13	2	1.0	116774893	116777797	0.0	0.509	0.509	1.596e-44	0
LOC129524706	NC_073224.2	40	8	0.99	236903265	236903445	0.507	0.0	0.507	1.897e-12	0
TTC38	NC_086018.1	12	4	0.99	44299003	44302829	0.468	0.97	0.502	1.519e-28	0
OSGEPL1	NC_073235.2	2	0	1.0	92206436	92207544	0.0	0.5	0.500	5.972e-05	0
LOC129526379	NC_073238.2	19	6	0.99	24465673	24465752	0.0	0.5	0.500	7.022e-05	0
ZNF578	NC_073244.2	6	0	0.55	64485805	64488028	0.0	0.5	0.500	1.212e-03	0
SNRNP25	NC_073242.2	2	1	1.0	3675394	3675565	0.0	0.5	0.500	1.681e-03	0
LOC109023386	NC_073240.2	6	0	0.99	23486983	23488768	0.5	0.0	0.500	2.590e-02	1
LOC129532042	NC_073224.2	9	2	0.98	15908381	15909040	0.455	0.953	0.499	1.077e-05	0
ZNF888	NC_073244.2	9	5	0.98	64875647	64901614	0.061	0.558	0.498	6.674e-04	0
TTC38	NC_086018.1	12	4	0.99	44298665	44298929	0.468	0.965	0.497	8.133e-28	0
CDK5RAP2	NC_073237.2	13	2	1.0	116778036	116779138	0.0	0.496	0.496	5.279e-43	0
XAF1	NC_073243.2	5	0	0.99	21896471	21897376	0.689	0.195	0.494	5.847e-04	0
TTC38	NC_086018.1	12	4	0.99	44298665	44302829	0.521	0.03	0.491	1.147e-27	0
CD58	NC_073224.2	2	1	1.0	120916532	120923604	0.051	0.542	0.490	1.774e-03	0
EHHADH	NC_086017.1	10	2	0.99	196341368	196354306	0.489	0.978	0.489	1.522e-05	0
LOC101148384	NC_073235.2	15	5	1.0	31689929	31697635	0.111	0.6	0.489	3.687e-02	1
EBAG9	NC_073231.2	1	1	1.0	115357487	115367805	0.575	0.087	0.488	1.131e-02	0
LOC134756922	NC_073224.2	19	7	0.97	117264178	117267087	0.583	0.096	0.487	2.227e-16	0
LIPA	NC_073232.2	2	0	0.99	101578054	101582104	0.0	0.485	0.485	3.435e-51	0
ZNF727	NC_073230.2	19	7	0.99	73532529	73539852	0.483	0.0	0.483	1.563e-02	0
LOC129532042	NC_073224.2	9	2	0.98	15790591	15901318	0.0	0.483	0.483	3.759e-02	1
LOC109029264	NC_073234.2	18	10	0.98	24989837	24991281	1.0	0.52	0.480	8.419e-03	0
ENOX1	NC_073238.2	2	0	1.0	57909017	57945848	0.0	0.478	0.478	1.962e-03	0
CHST10	NC_073236.2	4	2	0.97	38258630	38260465	0.63	0.154	0.476	7.676e-05	0
LOC129527076	NC_073240.2	8	1	0.77	26341675	26345093	0.012	0.487	0.475	3.795e-08	1
LOC101142783	NC_073237.2	35	7	0.83	29433981	29438193	0.571	0.097	0.475	2.752e-02	1
ARSK	NC_073228.2	2	0	1.0	99705311	99715932	1.0	0.526	0.474	6.327e-03	0
LCMT2	NC_073240.2	2	1	1.0	44143201	44144500	0.754	0.28	0.473	8.329e-20	0
LOC134758712	NC_073224.2	1	0	0.97	15791289	15794511	0.0	0.471	0.471	9.819e-03	1
LOC129526379	NC_073238.2	19	6	0.99	24465673	24466309	0.703	0.233	0.469	1.562e-02	0
USP53	NC_073227.2	9	3	0.98	139377857	139381181	0.736	0.268	0.468	1.090e-03	0
F11R	NC_073224.2	13	2	0.97	95772921	95774533	0.5	0.033	0.467	2.311e-03	0
CENPK	NC_073243.2	6	1	1.0	44670957	44672485	0.4	0.865	0.465	1.296e-04	0
PFKP	NC_073232.2	4	1	0.99	12068240	12072757	0.461	0.0	0.461	4.298e-17	0
MICAL2	NC_073233.2	20	4	0.91	18687715	18688749	0.174	0.633	0.459	1.171e-03	1
LOC129524706	NC_073224.2	40	8	0.99	236903758	236903866	0.0	0.456	0.456	1.087e-10	0
TMA16	NC_073227.2	3	0	0.99	184514365	184515574	0.991	0.538	0.452	1.692e-14	0
LOC129526389	NC_073238.2	20	2	0.99	23410520	23411221	0.049	0.5	0.451	5.566e-03	0
PTER	NC_073232.2	6	3	0.94	25415984	25446067	0.237	0.688	0.450	3.979e-05	1
SLC19A1	NC_073246.2	6	0	0.99	47400421	47404581	0.48	0.032	0.448	7.908e-03	0
ADGRG1	NC_073242.2	16	3	1.0	86763992	86776678	0.006	0.453	0.446	3.042e-114	0
LOC101136640	NC_073244.2	4	1	1.0	55565324	55568226	1.0	0.556	0.444	2.683e-02	1
LOC129526398	NC_073238.2	5	3	0.83	24582355	24622216	0.305	0.747	0.442	4.909e-07	0
PFKP	NC_073232.2	4	1	0.99	12061769	12068087	0.441	0.0	0.441	6.811e-16	0
NOP2	NC_073234.2	2	2	1.0	22228833	22229049	0.438	0.0	0.438	6.430e-32	0
PCNT	NC_073246.2	23	6	0.99	48238922	48246772	0.364	0.8	0.436	6.814e-03	1
DCT	NC_073238.2	7	2	0.87	109221121	109280808	0.567	1.0	0.433	3.742e-06	0
ENOSF1	NC_073241.2	5	3	0.99	49650570	49653156	0.661	0.228	0.433	3.961e-04	0
LOC101126097	NC_073224.2	40	15	1.0	115238027	115238312	0.433	0.0	0.433	1.552e-02	1
FHL5	NC_073229.2	6	0	1.0	120740981	120743405	0.466	0.037	0.430	5.263e-20	0
USP53	NC_073227.2	9	3	0.98	139376486	139377696	0.68	0.25	0.430	5.493e-03	0
GUCY2C	NC_073234.2	4	0	1.0	30019696	30020060	0.943	0.515	0.428	6.492e-03	1
ABCC4	NC_073238.2	5	1	0.99	109947626	109971515	0.982	0.558	0.425	2.224e-17	0
ADAL	NC_073240.2	5	1	0.99	44143201	44144500	0.34	0.764	0.424	8.396e-24	0
LOC101135984	NC_073242.2	5	0	0.95	28598260	28600381	0.424	0.0	0.424	8.792e-04	1
PCNT	NC_073246.2	23	6	0.99	48248353	48259735	0.45	0.027	0.423	2.914e-04	1
DCT	NC_073238.2	7	2	0.87	109213746	109215703	0.04	0.462	0.422	2.138e-06	0
RBSN	NC_086017.1	21	6	0.97	24910004	24911401	0.622	0.2	0.422	3.690e-05	0
DCT	NC_073238.2	7	2	0.87	109221121	109244467	0.443	0.022	0.421	1.878e-05	0
ZNF888	NC_073244.2	9	5	0.98	64876631	64901614	0.0	0.419	0.419	6.674e-04	0
LOC101135984	NC_073242.2	5	0	0.95	28576984	28598147	0.418	0.0	0.418	1.585e-03	1
GUCY2C	NC_073234.2	4	0	1.0	30021539	30022327	0.065	0.483	0.418	2.353e-02	1
LOC129526398	NC_073238.2	5	3	0.83	24582327	24622216	0.463	0.046	0.417	7.450e-09	0
XAF1	NC_073243.2	5	0	0.99	21896471	21898123	0.047	0.463	0.417	1.018e-03	0
NUBPL	NC_073239.2	5	0	0.99	24780402	24789280	0.974	0.559	0.415	2.491e-03	0
NOL6	NC_073237.2	7	0	0.98	31462513	31466271	0.352	0.766	0.414	2.941e-04	0
HNRNPK	NC_073237.2	1	1	0.98	80173635	80174084	0.489	0.901	0.412	2.333e-07	0
DENND2C	NC_073224.2	7	0	0.91	119022977	119027479	0.018	0.429	0.410	3.088e-05	0
LOC129525330	NC_073224.2	25	8	0.9	125625150	125626205	0.659	0.25	0.409	3.007e-03	0
SLC25A18	NC_086018.1	8	3	1.0	15590690	15602826	0.0	0.407	0.407	7.881e-03	0
TMA16	NC_073227.2	3	0	0.99	184508656	184514327	0.944	0.539	0.405	1.019e-09	0
CHST10	NC_073236.2	4	2	0.97	38258630	38266911	0.32	0.725	0.405	5.699e-03	0
LIPA	NC_073232.2	2	0	0.99	101578054	101581826	0.913	0.512	0.402	1.160e-25	0
SEC23B	NC_073245.2	1	0	1.0	28511306	28514163	0.307	0.709	0.401	2.648e-10	0
LOC129525330	NC_073224.2	25	8	0.9	125626420	125627255	0.651	0.25	0.401	5.033e-03	0
PTCH1	NC_073237.2	2	0	1.0	91897677	91897786	0.0	0.4	0.400	2.654e-05	0
POLR3H	NC_086018.1	6	1	0.99	39547506	39547779	0.4	0.0	0.400	1.392e-03	0
TTLL5	NC_073239.2	3	0	0.99	92744979	92814311	0.66	0.26	0.400	9.911e-03	0
LOC109023386	NC_073240.2	6	0	0.99	23473916	23491603	0.0	0.4	0.400	1.170e-02	1
LOC101145690	NC_073244.2	3	0	1.0	69943590	69943672	0.4	0.0	0.400	2.257e-02	1
LOC129525330	NC_073224.2	25	8	0.9	125624614	125625077	0.659	0.262	0.398	5.839e-03	0
NOP2	NC_073234.2	2	2	1.0	22228833	22229117	0.496	0.892	0.396	1.968e-17	0
PLIN2	NC_073237.2	3	0	1.0	45313648	45316768	0.085	0.48	0.395	1.912e-02	0
LOC109023154	NC_073239.2	40	18	0.89	123353358	123378127	0.948	0.554	0.394	1.860e-08	0
LOC101127631	NC_073244.2	6	0	0.78	48663874	48682215	0.86	0.469	0.392	5.078e-03	0
ABCC4	NC_073238.2	5	1	0.99	109947543	109971515	0.0	0.389	0.389	5.018e-18	0
FHL5	NC_073229.2	6	0	1.0	120703270	120743405	0.488	0.877	0.389	4.086e-13	0
LOC109023386	NC_073240.2	6	0	0.99	23491706	23492614	0.0	0.389	0.389	9.333e-03	1
NUBPL	NC_073239.2	5	0	0.99	24789363	24792888	0.947	0.559	0.389	1.331e-02	0
LOC101154628	NC_073229.2	7	0	1.0	86867783	86881074	0.389	0.0	0.389	2.946e-02	0
GUCY2C	NC_073234.2	4	0	1.0	30019632	30021364	0.062	0.452	0.389	3.057e-02	1
LOC115930576	NC_073224.2	35	15	0.99	218462855	218464589	0.612	1.0	0.388	7.148e-23	0
LOC129525330	NC_073224.2	25	8	0.9	125623038	125624402	0.667	0.279	0.387	7.739e-03	0
SART1	NC_073233.2	1	0	1.0	73882448	73883148	0.581	0.969	0.387	8.740e-03	0
LOC109026610	NC_073227.2	7	2	0.96	8705881	8712006	0.375	0.761	0.386	1.534e-02	1
NUBPL	NC_073239.2	5	0	0.99	24780402	24792888	0.026	0.412	0.385	5.787e-03	0
LOC129529599	NC_086018.1	6	1	0.99	20067659	20068294	0.49	0.873	0.383	3.169e-35	0
CHST10	NC_073236.2	4	2	0.97	38260583	38266911	0.52	0.137	0.383	4.592e-03	0
GUCY2C	NC_073234.2	4	0	1.0	30013632	30015194	0.056	0.438	0.382	2.523e-02	1
HMMR	NC_073228.2	3	0	0.99	167289300	167292192	0.574	0.956	0.381	1.697e-03	0
TTC23	NC_073240.2	14	2	0.99	100476295	100476417	0.381	0.0	0.381	3.496e-03	0
LOC101126097	NC_073224.2	40	15	1.0	115234675	115237875	0.0	0.381	0.381	2.059e-02	1
MYO5B	NC_073241.2	6	0	1.0	79157529	79158343	1.0	0.619	0.381	3.137e-02	1
ADAL	NC_073240.2	5	1	0.99	44141767	44143100	0.181	0.561	0.380	1.061e-16	0
TPMT	NC_073229.2	1	0	1.0	35835009	35840082	0.98	0.6	0.380	3.594e-12	0
C1QL3	NC_073232.2	2	1	1.0	25415984	25446067	0.267	0.647	0.380	1.957e-02	1
GUCY2C	NC_073234.2	4	0	1.0	30015271	30016957	0.057	0.438	0.380	2.640e-02	1
LCMT2	NC_073240.2	2	1	1.0	44141767	44144500	0.163	0.542	0.379	9.896e-14	0
ZNF28	NC_073244.2	3	1	1.0	64769774	64776617	0.901	0.521	0.379	2.481e-09	0
EHHADH	NC_086017.1	10	2	0.99	196341368	196359817	0.4	0.022	0.378	1.317e-03	0
EHHADH	NC_086017.1	10	2	0.99	196354410	196359817	0.378	0.756	0.378	3.840e-02	0
FPGT	NC_073224.2	7	2	0.99	165755492	165756752	0.0	0.377	0.377	1.679e-15	0
