gene_a	gene_b	dn_a	dn_b	cls	in_ep	core	aln_len	aln_frac
LOC101129578	ZNF623	DN_NC_073231.2_149487156_2	DN_NC_073231.2_150817007_4	genuine	0	0.1688	0	0.0
LOC101129578	ZNF79	DN_NC_073231.2_150817007_4	DN_NC_073237.2_123801018_5	genuine	0	0.1752	0	0.0
LOC101129578	ZNF892	DN_NC_073231.2_150817007_4	DN_NC_073236.2_32240619_3	genuine	0	0.1467	0	0.0
LOC101129712	LOC101134034	DN_NC_073232.2_88373590_10	DN_NC_073232.2_89563823_24	genuine	0	0.1482	1633	0.5474
LOC101129789	LOC101130507	DN_NC_073244.2_17960497_4	DN_NC_073244.2_18124175_2	genuine	0	0.2561	0	0.0
LOC101129789	LOC101153725	DN_NC_073244.2_17700597_4	DN_NC_073244.2_18124175_2	genuine	0	0.1529	0	0.0
LOC101129789	LOC101154200	DN_NC_073244.2_18124175_2	DN_NC_073244.2_18307855_4	genuine	0	0.1438	0	0.0
LOC101129789	LOC109025073	DN_NC_073244.2_18096775_3	DN_NC_073244.2_18124193_3	genuine	0	0.1411	0	0.0
LOC101129789	ZNF124	DN_NC_073224.2_8261601_4	DN_NC_073244.2_18124193_3	genuine	0	0.1412	0	0.0
LOC101129789	ZNF136	DN_NC_073244.2_18124175_2	DN_NC_073244.2_18201516_4	genuine	0	0.1635	0	0.0
LOC101129789	ZNF14	DN_NC_073244.2_18124175_2	DN_NC_073244.2_26156853_4	genuine	0	0.1545	0	0.0
LOC101129789	ZNF443	DN_NC_073244.2_18124193_3	DN_NC_073244.2_18470484_4	genuine	0	0.1429	0	0.0
LOC101129789	ZNF490	DN_NC_073244.2_18124175_2	DN_NC_073244.2_18614963_5	genuine	0	0.1416	0	0.0
LOC101129789	ZNF669	DN_NC_073224.2_8329397_4	DN_NC_073244.2_18124175_2	genuine	0	0.3143	0	0.0
LOC101129789	ZNF670	DN_NC_073224.2_8356715_4	DN_NC_073244.2_18124193_3	genuine	0	0.1410	0	0.0
LOC101129789	ZNF791	DN_NC_073244.2_18124175_2	DN_NC_073244.2_18649721_4	genuine	0	0.1448	0	0.0
LOC101129789	ZNF799	DN_NC_073244.2_18124175_2	DN_NC_073244.2_18426035_4	genuine	0	0.1436	0	0.0
LOC101129789	ZNF823	DN_NC_073244.2_17751584_2	DN_NC_073244.2_18124193_3	genuine	0	0.2475	0	0.0
LOC101129910	SDAD1	DN_NC_073227.2_96191422_22	DN_NC_073231.2_30601556_2	genuine	0	0.1910	3088	0.7906
LOC101129968	PXN	DN_NC_073234.2_135608372_3	DN_NC_073234.2_135617419_11	genuine	0	0.1750	209	0.175
LOC101130023	LOC101150965	DN_NC_073244.2_64400145_5	DN_NC_073244.2_64618758_7	genuine	0	0.6131	0	0.0
LOC101130023	LOC115931567	DN_NC_073244.2_27566430_5	DN_NC_073244.2_64618758_7	genuine	0	0.2076	0	0.0
LOC101130023	OSBPL10	DN_NC_073244.2_64618758_7	DN_NC_086017.1_41849470_3	genuine	0	0.3495	1064	0.339
LOC101130137	LOC101151317	DN_NC_073244.2_48030811_4	DN_NC_073244.2_48980018_5	genuine	0	0.3653	0	0.0
LOC101130137	LOC109024207	DN_NC_073244.2_48980018_5	DN_NC_073244.2_49176797_4	genuine	0	0.2409	0	0.0
LOC101130401	LOC101137734	DN_NC_073238.2_30171533_2	DN_NC_073246.2_32689693_4	genuine	0	0.1794	810	0.2367
LOC101130401	LOC101146595	DN_NC_073239.2_34910171_2	DN_NC_073246.2_32689693_4	genuine	0	0.1369	0	0.0
LOC101130401	LOC129527528	DN_NC_073242.2_7013229_2	DN_NC_073246.2_32689693_4	genuine	0	0.2487	1115	0.3747
LOC101130401	LOC134756955	DN_NC_073238.2_33197456_2	DN_NC_073246.2_32689693_4	genuine	0	0.2149	810	0.2365
LOC101130426	LOC101137042	DN_NC_073224.2_150567709_6	DN_NC_073224.2_150903711_11	genuine	0	0.2895	2064	0.7296
LOC101130507	LOC109024269	DN_NC_073244.2_17960497_4	DN_NC_073244.2_18045307_2	genuine	0	0.2107	0	0.0
LOC101130677	ZNF487	DN_NC_073232.2_71973207_3	DN_NC_073232.2_80964961_8	genuine	0	0.1398	0	0.0
LOC101130728	LOC129529226	DN_NC_073224.2_15670210_25	DN_NC_073224.2_19135994_8	genuine	0	0.4932	727	0.4952
LOC101130728	LOC129531982	DN_NC_073224.2_19135994_8	DN_NC_073224.2_29070818_24	genuine	0	0.6260	920	0.6267
LOC101130854	LOC115932779	DN_NC_073242.2_15911262_31	DN_NC_073242.2_29051840_13	genuine	0	0.6351	1778	0.658
LOC101130854	LOC115932992	DN_NC_073242.2_15911262_31	DN_NC_073242.2_16378095_15	TP	0	0.2915	1779	0.6031
LOC101130877	LOC109025073	DN_NC_073244.2_17994654_4	DN_NC_073244.2_18096775_3	genuine	0	0.2350	1243	0.4406
LOC101130877	ZNF433	DN_NC_073244.2_17994654_4	DN_NC_073244.2_18047026_4	genuine	0	0.1846	1442	0.6162
LOC101130894	LOC129534750	DN_NC_073230.2_86128587_5	DN_NC_073230.2_86213678_7	genuine	0	0.4554	497	0.4572
LOC101131060	MMP19	DN_NC_073234.2_45519337_9	DN_NC_073234.2_45523055_3	genuine	0	0.5901	2223	0.6851
LOC101131274	LOC115933241	DN_NC_073224.2_115073393_19	DN_NC_073224.2_218361248_19	genuine	0	0.1967	3594	0.8191
LOC101131397	LOC101137280	DN_NC_073232.2_135159346_4	DN_NC_073232.2_135204586_6	genuine	0	0.1363	455	0.1348
LOC101131561	LOC134757427	DN_NC_073242.2_15607160_18	DN_NC_073242.2_28689005_18	genuine	0	0.3331	6643	0.9448
LOC101131689	LOC109024259	DN_NC_073244.2_55618657_2	DN_NC_073244.2_55678004_6	genuine	0	0.2155	0	0.0
LOC101131689	ZNF239	DN_NC_073232.2_71881634_2	DN_NC_073244.2_55678004_6	genuine	0	0.2524	0	0.0
LOC101131852	LOC129528486	DN_NC_073231.2_4571400_3	DN_NC_073244.2_6036407_2	genuine	0	0.2029	1983	0.9314
LOC101131852	RPL23A	DN_NC_073228.2_64369461_5	DN_NC_073231.2_4571400_3	genuine	0	0.1486	470	0.3695
LOC101131923	LOC101142371	DN_NC_073242.2_21650759_11	DN_NC_073242.2_31545375_14	genuine	0	0.3100	583	0.2896
LOC101131923	RRN3	DN_NC_073242.2_21650759_11	DN_NC_073242.2_29556580_18	genuine	0	0.3308	669	0.3323
LOC101132313	SBDS	DN_NC_073230.2_76179541_5	DN_NC_073230.2_82279960_5	genuine	0	0.4180	1720	1.007
LOC101132325	LOC101148457	DN_NC_073247.2_51197700_2	DN_NC_086018.1_19844955_6	genuine	0	0.1692	690	0.2756
LOC101132881	LOC101148191	DN_NC_073230.2_28044538_2	DN_NC_073239.2_98531685_2	genuine	0	0.1861	0	0.0
LOC101132881	LOC109023808	DN_NC_073239.2_98531685_2	DN_NC_073243.2_97368870_3	genuine	0	0.2358	1461	0.5476
LOC101132881	LOC115930530	DN_NC_073239.2_98531685_2	DN_NC_073239.2_98531712_3	genuine	0	0.2317	691	0.2317
LOC101133249	LOC109024404	DN_NC_073227.2_16860393_3	DN_NC_073245.2_28784637_3	genuine	0	0.1547	1735	0.6709
LOC101133249	LOC109026441	DN_NC_073227.2_16860393_3	DN_NC_073227.2_21866694_4	genuine	0	0.1489	0	0.0
LOC101133249	MCFD2	DN_NC_073227.2_16860393_3	DN_NC_073236.2_92822528_4	genuine	0	0.1485	1942	0.751
LOC101133440	LOC101137806	DN_NC_073231.2_11581641_7	DN_NC_086017.1_136773097_2	genuine	0	0.2510	1740	0.7648
LOC101133546	LOC101150965	DN_NC_073244.2_64400145_5	DN_NC_073244.2_65326089_4	genuine	0	0.2038	0	0.0
LOC101133546	LOC129527827	DN_NC_073242.2_66613619_4	DN_NC_073244.2_65326089_4	genuine	0	0.1334	0	0.0
LOC101133657	LOC109024269	DN_NC_073244.2_18045307_2	DN_NC_073244.2_18385030_4	genuine	0	0.2645	0	0.0
LOC101133668	LOC101136009	DN_NC_073230.2_74190289_5	DN_NC_073244.2_26901109_4	genuine	0	0.2492	0	0.0
LOC101133668	LOC101137462	DN_NC_073230.2_74190289_5	DN_NC_073244.2_27285351_4	genuine	0	0.1486	0	0.0
LOC101133668	LOC101141027	DN_NC_073230.2_74190289_5	DN_NC_073244.2_27765726_4	genuine	0	0.2451	0	0.0
LOC101133668	LOC101142646	DN_NC_073230.2_74190289_5	DN_NC_073244.2_27869273_3	genuine	0	0.1499	0	0.0
LOC101133668	LOC101144119	DN_NC_073230.2_64900495_2	DN_NC_073230.2_74190289_5	genuine	0	0.1331	0	0.0
LOC101133668	LOC101144838	DN_NC_073230.2_74190289_5	DN_NC_073244.2_28256975_5	genuine	0	0.1789	0	0.0
LOC101133668	LOC101145945	DN_NC_073230.2_74190289_5	DN_NC_073244.2_28588105_4	genuine	0	0.2163	1348	0.4346
LOC101133668	LOC101146634	DN_NC_073230.2_74190289_5	DN_NC_073244.2_28711447_4	genuine	0	0.2108	0	0.0
LOC101133668	LOC101147715	DN_NC_073230.2_74190289_5	DN_NC_073244.2_28820229_4	genuine	0	0.1564	0	0.0
LOC101133668	LOC101153126	DN_NC_073230.2_74190289_5	DN_NC_073244.2_29297022_4	genuine	0	0.2402	0	0.0
LOC101133668	LOC109024216	DN_NC_073230.2_74190289_5	DN_NC_073244.2_65293743_4	genuine	0	0.1560	0	0.0
LOC101133668	LOC109026610	DN_NC_073227.2_8705656_4	DN_NC_073230.2_74190289_5	genuine	0	0.2063	0	0.0
LOC101133668	LOC115930172	DN_NC_073230.2_74190289_5	DN_NC_073244.2_27051998_4	genuine	0	0.2376	0	0.0
LOC101133668	LOC115931567	DN_NC_073230.2_74190289_5	DN_NC_073244.2_27566430_5	genuine	0	0.2654	0	0.0
LOC101133668	LOC115931568	DN_NC_073230.2_74190289_5	DN_NC_073244.2_28072858_4	genuine	0	0.2395	0	0.0
LOC101133668	LOC115931576	DN_NC_073230.2_74190289_5	DN_NC_073244.2_29046961_4	genuine	0	0.2434	0	0.0
LOC101133668	LOC129527827	DN_NC_073230.2_74190289_5	DN_NC_073242.2_66613619_4	genuine	0	0.2386	0	0.0
LOC101133668	LOC129528947	DN_NC_073230.2_74190289_5	DN_NC_073244.2_27408454_4	genuine	0	0.2427	1243	0.4007
LOC101133668	ZNF141	DN_NC_073227.2_8907801_4	DN_NC_073230.2_74190289_5	genuine	0	0.1328	0	0.0
LOC101133668	ZNF254	DN_NC_073230.2_74190289_5	DN_NC_073244.2_30438386_2	genuine	0	0.1783	0	0.0
LOC101133668	ZNF267	DN_NC_073230.2_74190289_5	DN_NC_073242.2_37386128_4	genuine	0	0.1467	0	0.0
LOC101133668	ZNF273	DN_NC_073230.2_74190289_5	DN_NC_073230.2_74299233_4	genuine	0	0.2434	0	0.0
LOC101133668	ZNF429	DN_NC_073230.2_74190289_5	DN_NC_073244.2_27956158_2	genuine	0	0.3447	0	0.0
LOC101133668	ZNF43	DN_NC_073230.2_74190289_5	DN_NC_073244.2_28333451_4	genuine	0	0.2405	0	0.0
LOC101133668	ZNF430	DN_NC_073230.2_74190289_5	DN_NC_073244.2_27504818_5	genuine	0	0.2434	0	0.0
LOC101133668	ZNF468	DN_NC_073230.2_74190289_5	DN_NC_073244.2_64797239_5	genuine	0	0.1483	0	0.0
LOC101133668	ZNF486	DN_NC_073230.2_74190289_5	DN_NC_073244.2_26666712_5	genuine	0	0.2462	0	0.0
LOC101133668	ZNF506	DN_NC_073230.2_74190289_5	DN_NC_073244.2_26240039_2	genuine	0	0.2460	0	0.0
LOC101133668	ZNF519	DN_NC_073230.2_74190289_5	DN_NC_073241.2_36126183_3	genuine	0	0.2089	0	0.0
LOC101133668	ZNF595	DN_NC_073227.2_8633418_2	DN_NC_073230.2_74190289_5	genuine	0	0.1696	0	0.0
LOC101133668	ZNF600	DN_NC_073230.2_74190289_5	DN_NC_073244.2_64724127_4	genuine	0	0.1315	0	0.0
LOC101133668	ZNF626	DN_NC_073230.2_74190289_5	DN_NC_073244.2_27131194_2	genuine	0	0.2411	0	0.0
LOC101133668	ZNF675	DN_NC_073230.2_74190289_5	DN_NC_073244.2_29970261_4	genuine	0	0.2693	0	0.0
LOC101133668	ZNF678	DN_NC_073224.2_40627195_4	DN_NC_073230.2_74190289_5	genuine	0	0.1728	0	0.0
LOC101133668	ZNF680	DN_NC_073230.2_73977205_4	DN_NC_073230.2_74190289_5	genuine	0	0.2408	0	0.0
LOC101133668	ZNF682	DN_NC_073230.2_74190289_5	DN_NC_073244.2_26470366_4	genuine	0	0.1454	0	0.0
LOC101133668	ZNF695	DN_NC_073224.2_8422960_4	DN_NC_073230.2_74190289_5	genuine	0	0.1460	0	0.0
LOC101133668	ZNF721	DN_NC_073227.2_9009888_2	DN_NC_073230.2_74190289_5	genuine	0	0.1483	0	0.0
LOC101133668	ZNF723	DN_NC_073230.2_74190289_5	DN_NC_073244.2_29232445_4	genuine	0	0.3221	1162	0.5017
LOC101133668	ZNF727	DN_NC_073230.2_73508332_4	DN_NC_073230.2_74190289_5	genuine	0	0.1335	0	0.0
LOC101133668	ZNF736	DN_NC_073230.2_73776646_4	DN_NC_073230.2_74190289_5	genuine	0	0.1489	0	0.0
LOC101133668	ZNF91	DN_NC_073230.2_74190289_5	DN_NC_073244.2_29680825_2	genuine	0	0.1783	0	0.0
LOC101133668	ZNF92	DN_NC_073230.2_74190289_5	DN_NC_073230.2_74637814_2	genuine	0	0.1970	1156	0.3886
LOC101134045	LOC129526638	DN_NC_073233.2_14005356_9	DN_NC_073239.2_70164897_2	genuine	0	0.1712	1432	0.6642
LOC101134145	LOC129532639	DN_NC_073231.2_53708239_3	DN_NC_086017.1_161710205_3	genuine	0	0.1617	0	0.0
LOC101134596	PI4KA	DN_NC_086018.1_18253436_31	DN_NC_086018.1_19032395_10	genuine	0	0.5759	1351	0.6088
LOC101135276	LOC115931069	DN_NC_073242.2_21673693_21	DN_NC_073242.2_22021271_21	TP	0	0.1500	4041	0.9103
LOC101135276	LOC129527586	DN_NC_073242.2_21122105_21	DN_NC_073242.2_22021271_21	TP	0	0.1762	4048	0.9227
LOC101135276	SMG1	DN_NC_073242.2_18210354_26	DN_NC_073242.2_22021271_21	genuine	0	0.1673	2946	0.7029
LOC101135415	LOC101137832	DN_NC_073229.2_45764485_6	DN_NC_073241.2_64520240_3	genuine	0	0.2068	0	0.0
LOC101135415	LOC101153526	DN_NC_073229.2_45764485_6	DN_NC_073231.2_150671310_5	genuine	0	0.1638	0	0.0
LOC101135415	ZNF502	DN_NC_073229.2_45764485_6	DN_NC_086017.1_54612772_3	genuine	0	0.2463	0	0.0
LOC101136006	ZNF23	DN_NC_073229.2_45784439_7	DN_NC_073242.2_100900995_5	genuine	0	0.1326	0	0.0
LOC101136006	ZNF619	DN_NC_073229.2_45784439_7	DN_NC_086017.1_50382141_5	genuine	0	0.1730	0	0.0
LOC101136009	LOC115930172	DN_NC_073244.2_26901109_4	DN_NC_073244.2_27051998_4	genuine	0	0.3647	1239	0.3454
LOC101136009	LOC129527827	DN_NC_073242.2_66613619_4	DN_NC_073244.2_26901109_4	genuine	0	0.2359	0	0.0
LOC101136009	LOC129528947	DN_NC_073244.2_26901109_4	DN_NC_073244.2_27408454_4	genuine	0	0.4349	0	0.0
LOC101136009	OSBPL10	DN_NC_073244.2_26901109_4	DN_NC_086017.1_41849524_2	genuine	0	0.2049	0	0.0
LOC101136036	LOC101148457	DN_NC_073237.2_96675699_5	DN_NC_086018.1_19844955_6	genuine	0	0.1673	1820	0.7268
LOC101136036	LOC109025592	DN_NC_073224.2_125859316_3	DN_NC_073237.2_96675699_5	genuine	0	0.2083	657	0.3844
LOC101136154	LRP5	DN_NC_073233.2_76234750_23	DN_NC_086018.1_23267560_8	genuine	0	0.1784	2164	0.9212
LOC101136352	LOC101152610	DN_NC_073240.2_21601841_7	DN_NC_073240.2_23210840_6	TP	0	0.4433	904	0.9407
LOC101136352	LOC129527660	DN_NC_073240.2_23210840_6	DN_NC_073242.2_37476471_6	genuine	0	0.3303	993	1.003
LOC101136398	LOC129530333	DN_NC_073247.2_18638732_2	DN_NC_073248.2_30080680_2	genuine	0	0.3798	664	1.0295
LOC101136422	NUDT9	DN_NC_073227.2_107737271_8	DN_NC_073232.2_103494970_2	genuine	0	0.2039	0	0.0
LOC101136480	LOC129527620	DN_NC_073242.2_15726062_24	DN_NC_073242.2_28606635_19	TP	0	0.4953	2291	0.673
LOC101136583	LOC129529583	DN_NC_073240.2_22595737_5	DN_NC_086018.1_18552717_3	genuine	0	0.1677	653	0.2968
LOC101136640	LOC109024259	DN_NC_073244.2_55565140_5	DN_NC_073244.2_55618657_2	genuine	0	0.2828	0	0.0
LOC101136640	ZNF112	DN_NC_073244.2_55565140_5	DN_NC_073244.2_55835875_4	genuine	0	0.1793	0	0.0
LOC101136819	LOC101147313	DN_NC_086017.1_207228653_16	DN_NC_086017.1_207540432_15	genuine	0	0.2477	1607	0.6701
LOC101136819	SDHA	DN_NC_073243.2_112081564_15	DN_NC_086017.1_207228653_16	genuine	0	0.2135	2430	1.0133
LOC101137060	LOC109025447	DN_NC_073236.2_46676942_15	DN_NC_073236.2_47732210_12	genuine	0	0.2617	1310	0.3892
LOC101137060	RPL39	DN_NC_073236.2_46676942_15	DN_NC_073247.2_131468464_3	genuine	0	0.3458	0	0.0
LOC101137311	LOC129526088	DN_NC_073238.2_32460857_5	DN_NC_073240.2_22623333_4	genuine	0	0.1379	0	0.0
LOC101137311	LOC129527203	DN_NC_073238.2_33291944_6	DN_NC_073240.2_22623333_4	genuine	0	0.1445	0	0.0
LOC101137392	MAGEC1	DN_NC_073247.2_153600158_4	DN_NC_073247.2_153901396_3	genuine	0	0.2311	0	0.0
LOC101137455	LOC129533419	DN_NC_073228.2_182473921_9	DN_NC_073228.2_182638384_11	TP	0	0.8018	1319	0.8018
LOC101137462	LOC101144119	DN_NC_073230.2_64900495_2	DN_NC_073244.2_27285351_4	genuine	0	0.1734	0	0.0
LOC101137462	LOC101150965	DN_NC_073244.2_27285351_4	DN_NC_073244.2_64400145_5	genuine	0	0.2650	0	0.0
LOC101137462	LOC115930172	DN_NC_073244.2_27051998_4	DN_NC_073244.2_27285351_4	genuine	0	0.3522	2327	0.6176
LOC101137462	LOC115931567	DN_NC_073244.2_27285351_4	DN_NC_073244.2_27626411_5	genuine	0	0.4079	937	0.2431
LOC101137462	LOC129527827	DN_NC_073242.2_66613619_4	DN_NC_073244.2_27285351_4	genuine	0	0.2279	2050	0.5046
LOC101137462	LOC129528947	DN_NC_073244.2_27285351_4	DN_NC_073244.2_27408454_4	genuine	0	0.4072	1724	0.45
LOC101137472	NABP2	DN_NC_073234.2_45136934_7	DN_NC_073246.2_34687084_3	genuine	0	0.1470	0	0.0
LOC101137661	LOC109025815	DN_NC_073235.2_31662902_3	DN_NC_073235.2_31973952_17	genuine	0	0.1934	417	0.3432
LOC101137734	LOC129527528	DN_NC_073238.2_30171533_2	DN_NC_073242.2_7013229_2	genuine	0	0.2063	865	0.2907
LOC101137734	LOC134756955	DN_NC_073238.2_30171533_2	DN_NC_073238.2_33197456_2	genuine	0	0.5447	3425	1.0009
LOC101137806	LOC101139163	DN_NC_086017.1_136773097_2	DN_NC_086017.1_141278779_5	genuine	0	0.2474	1744	0.7556
LOC101137806	LOC101152938	DN_NC_073233.2_75718276_6	DN_NC_086017.1_136773097_2	genuine	0	0.1625	1743	0.5085
LOC101137806	LOC115934341	DN_NC_086017.1_136773097_2	DN_NC_086017.1_85330170_7	genuine	0	0.1954	1745	0.6875
LOC101137832	ZSCAN16	DN_NC_073229.2_45747170_4	DN_NC_073241.2_64520240_3	genuine	0	0.1828	0	0.0
LOC101137900	LOC109027212	DN_NC_073229.2_67950085_3	DN_NC_073238.2_32617313_2	genuine	0	0.2119	383	0.2888
LOC101137900	LOC129528278	DN_NC_073238.2_32617313_2	DN_NC_073241.2_83874271_3	genuine	0	0.2114	383	0.2882
LOC101137900	LOC129528791	DN_NC_073238.2_32617313_2	DN_NC_073244.2_6165323_3	genuine	0	0.2192	383	0.2988
LOC101137900	LOC129530234	DN_NC_073238.2_32661686_2	DN_NC_073248.2_26554434_7	TP	0	0.2407	445	0.2274
LOC101137900	PLGRKT	DN_NC_073237.2_58966871_3	DN_NC_073238.2_32617313_2	genuine	0	0.1336	399	0.2391
LOC101137900	RHOT1	DN_NC_073228.2_60766049_19	DN_NC_073238.2_32617313_2	genuine	0	0.1354	405	0.1296
LOC101137955	ZFP2	DN_NC_073228.2_182864372_4	DN_NC_073229.2_44967262_5	genuine	0	0.2041	0	0.0
LOC101137955	ZFP69B	DN_NC_073224.2_199494304_6	DN_NC_073229.2_44967262_5	genuine	0	0.1752	0	0.0
LOC101137955	ZFP90	DN_NC_073229.2_44967262_5	DN_NC_073242.2_97765438_4	genuine	0	0.2035	0	0.0
LOC101137955	ZNF181	DN_NC_073229.2_44967262_5	DN_NC_073244.2_45796040_6	genuine	0	0.1848	0	0.0
LOC101137955	ZNF248	DN_NC_073229.2_44967262_5	DN_NC_073232.2_81253567_6	genuine	0	0.1350	0	0.0
LOC101137955	ZNF485	DN_NC_073229.2_44967262_5	DN_NC_073232.2_71834982_5	genuine	0	0.2085	0	0.0
LOC101137955	ZNF879	DN_NC_073228.2_182994030_5	DN_NC_073229.2_44967262_5	genuine	0	0.1906	0	0.0
LOC101137992	LOC101139594	DN_NC_073247.2_64921939_13	DN_NC_073247.2_64998786_13	genuine	0	0.1933	0	0.0
LOC101138011	LOC109025084	DN_NC_073224.2_98617594_3	DN_NC_073229.2_52163606_6	genuine	0	0.3253	552	0.6987
LOC101138261	LOC109027124	DN_NC_073229.2_194862622_5	DN_NC_073232.2_72957232_4	genuine	0	0.3288	0	0.0
LOC101138261	MPHOSPH8	DN_NC_073232.2_72957232_4	DN_NC_073238.2_33904146_3	genuine	0	0.4114	425	0.4114
LOC101138337	LOC101151317	DN_NC_073228.2_154780892_3	DN_NC_073244.2_48030811_4	genuine	0	0.1536	0	0.0
LOC101138952	ZNF260	DN_NC_073244.2_47706460_3	DN_NC_073244.2_63934684_6	genuine	0	0.1833	0	0.0
LOC101139594	LOC101144987	DN_NC_073247.2_62361057_13	DN_NC_073247.2_64998786_13	genuine	0	0.2368	0	0.0
LOC101139594	LOC101146541	DN_NC_073247.2_62249491_13	DN_NC_073247.2_64998786_13	genuine	0	0.2352	0	0.0
LOC101140402	LOC101141165	DN_NC_086018.1_21140998_4	DN_NC_086018.1_23370474_4	genuine	0	0.3016	438	0.4735
LOC101140402	LOC109024546	DN_NC_086018.1_19935965_4	DN_NC_086018.1_23370474_4	genuine	0	0.4596	0	0.0
LOC101140864	LOC109026769	DN_NC_073228.2_79926211_12	DN_NC_073238.2_29962908_11	genuine	0	0.1308	0	0.0
LOC101140892	RPLP1	DN_NC_073228.2_155613898_3	DN_NC_073240.2_70293854_4	genuine	0	0.2191	728	0.6041
LOC101141027	LOC101144119	DN_NC_073230.2_64900495_2	DN_NC_073244.2_27765726_4	genuine	0	0.1991	0	0.0
LOC101141027	LOC101147715	DN_NC_073244.2_27765726_4	DN_NC_073244.2_28820229_4	genuine	0	0.1461	1320	0.5102
LOC101141027	LOC101151892	DN_NC_073227.2_8792448_3	DN_NC_073244.2_27765726_4	genuine	0	0.1554	0	0.0
LOC101141027	LOC115930172	DN_NC_073244.2_27051998_4	DN_NC_073244.2_27765726_4	genuine	0	0.4557	1772	0.685
LOC101141027	LOC115931567	DN_NC_073244.2_27566430_5	DN_NC_073244.2_27765726_4	genuine	0	0.4828	880	0.3402
LOC101141027	LOC129527827	DN_NC_073242.2_66613619_4	DN_NC_073244.2_27765726_4	genuine	0	0.1859	2213	0.8554
LOC101141027	LOC129528947	DN_NC_073244.2_27408454_4	DN_NC_073244.2_27765726_4	genuine	0	0.5133	1746	0.6749
LOC101141027	ZNF91	DN_NC_073244.2_27765726_4	DN_NC_073244.2_29680825_2	genuine	0	0.2845	1163	0.4496
LOC101141165	LOC109024546	DN_NC_086018.1_19935965_4	DN_NC_086018.1_21140998_4	genuine	0	0.3128	0	0.0
LOC101141192	LOC101146782	DN_NC_073232.2_65009281_5	DN_NC_073232.2_65534545_21	genuine	0	0.1585	2766	0.5502
LOC101141192	LOC134759160	DN_NC_073232.2_64911725_5	DN_NC_073232.2_65009281_5	genuine	0	0.7093	5251	0.9998
LOC101141821	LOC115933573	DN_NC_073236.2_31528778_7	DN_NC_073236.2_32340171_12	TP	0	0.2778	2615	0.7459
LOC101142134	LOC109027174	DN_NC_073229.2_47549272_8	DN_NC_073229.2_47663527_8	genuine	0	0.9386	1944	1.0026
LOC101142502	SERPINB9	DN_NC_073229.2_20497552_7	DN_NC_073241.2_93292541_7	genuine	0	0.1622	0	0.0
LOC101142525	LOC134758618	DN_NC_073228.2_179980536_5	DN_NC_073230.2_113873404_2	genuine	0	0.1432	0	0.0
LOC101142646	LOC101151892	DN_NC_073227.2_8792448_3	DN_NC_073244.2_27869273_3	genuine	0	0.1348	0	0.0
LOC101142646	LOC115930172	DN_NC_073244.2_27051998_4	DN_NC_073244.2_27869273_3	genuine	0	0.2193	0	0.0
LOC101142646	LOC115931567	DN_NC_073244.2_27566430_5	DN_NC_073244.2_27869273_3	genuine	0	0.2583	0	0.0
LOC101142646	LOC129527827	DN_NC_073242.2_66613619_4	DN_NC_073244.2_27869273_3	genuine	0	0.1395	0	0.0
LOC101142646	LOC129528947	DN_NC_073244.2_27408454_4	DN_NC_073244.2_27869273_3	genuine	0	0.3031	0	0.0
LOC101142859	LOC134758545	DN_NC_073228.2_66328056_2	DN_NC_073228.2_70719297_2	TP	0	0.4722	4565	1.1398
LOC101142918	LOC115936005	DN_NC_073232.2_92223921_5	DN_NC_073232.2_99723280_5	genuine	0	0.6829	3339	1.0009
LOC101142998	LOC109027174	DN_NC_073229.2_47663527_8	DN_NC_073229.2_48967498_8	genuine	0	0.4920	1460	0.753
LOC101143142	LOC129530478	DN_NC_073246.2_2464898_3	DN_NC_086018.1_2012052_3	TP	0	0.7828	1482	1.0624
LOC101143404	SHQ1	DN_NC_073232.2_65161149_4	DN_NC_086017.1_82640717_11	genuine	0	0.3237	1726	0.5863
LOC101143448	LOC101145464	DN_NC_073240.2_21986088_4	DN_NC_073247.2_147586730_5	genuine	0	0.1319	464	0.1889
LOC101143448	LOC109023154	DN_NC_073239.2_123333523_2	DN_NC_073240.2_21986088_4	genuine	0	0.1454	461	0.2018
LOC101143448	LOC109025730	DN_NC_073224.2_123525276_5	DN_NC_073240.2_21986088_4	genuine	0	0.2417	452	0.3404
LOC101143448	PDCD5	DN_NC_073240.2_21986088_4	DN_NC_073244.2_43610901_6	genuine	0	0.2570	459	0.3652
LOC101143448	SPC25	DN_NC_073235.2_71373985_7	DN_NC_073240.2_21986088_4	genuine	0	0.3382	461	0.339
LOC101143844	LOC109027174	DN_NC_073229.2_47663527_8	DN_NC_073229.2_49051174_8	genuine	0	0.4946	1663	0.8577
LOC101144119	LOC101146634	DN_NC_073230.2_64900495_2	DN_NC_073244.2_28711447_2	genuine	0	0.2260	0	0.0
LOC101144119	LOC109026610	DN_NC_073227.2_8705656_4	DN_NC_073230.2_64900495_2	genuine	0	0.1859	0	0.0
LOC101144119	LOC115931568	DN_NC_073230.2_64900495_2	DN_NC_073244.2_28072858_4	genuine	0	0.2420	0	0.0
LOC101144119	LOC129527827	DN_NC_073230.2_64900495_2	DN_NC_073242.2_66613619_4	genuine	0	0.1304	0	0.0
LOC101144119	ZNF254	DN_NC_073230.2_64900495_2	DN_NC_073244.2_30438386_2	genuine	0	0.1959	0	0.0
LOC101144119	ZNF273	DN_NC_073230.2_64900495_2	DN_NC_073230.2_74299233_4	genuine	0	0.1936	0	0.0
