chrom	start	end	best_gene	identity	kind	n_reads	transcribed
NC_073237.2	30780	43365	FGFR3	0.981	pseudogene_copy	4	0
NC_073237.2	12297481	12315035	LOC129524657	0.991	pseudogene_copy	4	0
NC_073237.2	59682534	59684497	HNRNPA1	0.837	pseudogene_copy	4	0
NC_073242.2	105115076	105115880	LOC101152105	0.935	unannotated	4	0
NC_073228.2	50838657	50843737	LOC115932994	0.92	pseudogene_copy	4	0
NC_073228.2	70240910	70245969	LOC115931727	0.918	unannotated	4	0
NC_073228.2	134854468	134856884	LOC134758102	0.98	unannotated	4	0
NC_073228.2	181600373	181603048	SUDS3	0.945	pseudogene_copy	4	0
NC_073228.2	185246309	185253902	LOC134757081	0.885	pseudogene_copy	4	0
NC_073228.2	185254300	185261336	LOC134757081	0.879	pseudogene_copy	4	0
NC_073228.2	185261815	185265571	LOC134757081	0.879	pseudogene_copy	4	0
NC_086017.1	22603530	22604883	KRT18	0.933	pseudogene_copy	4	0
NC_086017.1	25705148	25707401	IMPDH1	0.911	pseudogene_copy	4	0
NC_086017.1	46876529	46877451	PRADC1	0.936	pseudogene_copy	4	0
NC_086017.1	52791972	52793120	LOC101134010	0.912	pseudogene_copy	4	0
NC_086017.1	167938667	167950668	PA2G4	0.838	pseudogene_copy	4	0
NC_073236.2	77253149	77253711	LOC129530113	0.971	pseudogene_copy	4	0
NC_073238.2	29682	42045	FGFR3	0.98	pseudogene_copy	4	0
NC_073238.2	24267049	24271572	TMEM128	0.956	unannotated	4	0
NC_073238.2	24747065	24751249	LOC115931713	0.935	unannotated	4	0
NC_073238.2	32057790	32063781	MEP1A	0.93	unannotated	4	0
NC_073238.2	38642167	38646604	NUS1	0.917	pseudogene_copy	4	0
NC_073238.2	129191566	129192038	LOC101129492	0.869	pseudogene_copy	4	0
NC_073245.2	46153275	46154854	PIGP	0.874	pseudogene_copy	4	0
NC_073245.2	69617833	69618084	LOC129526082	0.908	unannotated	4	0
NC_073231.2	11433202	11439961	LOC115936283	0.902	unannotated	3	0
NC_073231.2	11463956	11464803	LOC101132345	0.909	pseudogene_copy	3	0
NC_073231.2	15169469	15169718	LOC129526082	0.908	unannotated	3	0
NC_073224.2	5549090	5550904	LOC129533108	0.91	unannotated	3	0
NC_073224.2	90499714	90501892	EWSR1	0.966	pseudogene_copy	3	0
NC_073224.2	107653386	107657229	FRG2C	0.887	pseudogene_copy	3	0
NC_073224.2	148441944	148445843	LOC109026053	0.882	pseudogene_copy	3	0
NC_073224.2	156861179	156873246	LOC101133208	0.964	unannotated	3	0
NC_073224.2	241171083	241197940	LOC129532709	0.992	pseudogene_copy	3	0
NC_086018.1	6848926	6855332	LOC129530473	0.979	pseudogene_copy	3	0
NC_086018.1	19658571	19662322	LOC101125106	0.957	pseudogene_copy	3	0
NC_086018.1	23265679	23266712	PHF10	0.924	pseudogene_copy	3	0
NC_073244.2	30512243	30517107	HAVCR1	0.902	pseudogene_copy	3	0
NC_073244.2	51023338	51025846	LOC109024120	0.931	unannotated	3	0
NC_073244.2	65709100	65709569	RPLP1	0.84	pseudogene_copy	3	0
NC_073243.2	94701254	94702189	LOC109027830	0.974	pseudogene_copy	3	0
NC_073229.2	19142731	19145872	ELF2	0.906	pseudogene_copy	3	0
NC_073229.2	43887629	43888132	LOC101137229	0.913	pseudogene_copy	3	0
NC_073229.2	60748403	60748833	RPL24	0.988	unannotated	3	0
NC_073229.2	61890546	61891143	LOC109023896	0.882	pseudogene_copy	3	0
NC_073239.2	17496877	17497359	LOC101147117	0.883	unannotated	3	0
NC_073239.2	73924973	73926251	LOC101150350	0.91	pseudogene_copy	3	0
NC_073233.2	55122800	55288664	NOX4	0.977	pseudogene_copy	3	0
NC_073233.2	69626825	69627365	LOC101146371	0.889	pseudogene_copy	3	0
NC_073233.2	144148380	144149738	LOC129533126	0.938	unannotated	3	0
NC_073247.2	77963173	77963907	LOC129532506	0.927	unannotated	3	0
NC_073247.2	87072540	87075124	LOC115932097	0.912	pseudogene_copy	3	0
NC_073247.2	124164978	124167926	CCDC121	0.962	pseudogene_copy	3	0
NC_073227.2	71833024	71833787	PPIA	0.993	pseudogene_copy	3	0
NC_073227.2	159357299	159359106	NOB1	0.952	pseudogene_copy	3	0
NC_073227.2	166249477	166252969	GK3	0.968	pseudogene_copy	3	0
NC_073227.2	174692193	174693455	WDR45	0.96	pseudogene_copy	3	0
NC_073227.2	185886496	185888440	TRIM61	0.966	pseudogene_copy	3	0
NC_073227.2	207314832	207316057	SLC25A5	0.912	pseudogene_copy	3	0
NC_073227.2	211490395	211491128	LOC129532821	0.996	unannotated	3	0
NC_073235.2	86071319	86072355	CACYBP	0.978	pseudogene_copy	3	0
NC_073235.2	102106052	102109476	SEPHS1	0.937	pseudogene_copy	3	0
NC_073234.2	19726077	19728468	HSPA8	0.925	pseudogene_copy	3	0
NC_073234.2	22099358	22100017	LOC129533706	0.901	unannotated	3	0
NC_073234.2	23890291	23895336	ALG1L2	0.945	unannotated	3	0
NC_073234.2	24148699	24150181	SUPT4H1	0.891	pseudogene_copy	3	0
NC_073234.2	75479838	75483897	TDG	0.933	pseudogene_copy	3	0
NC_073234.2	79259214	79279817	LOC101126259	0.941	pseudogene_copy	3	0
NC_073234.2	92086096	92087057	RWDD1	0.925	pseudogene_copy	3	0
NC_073234.2	110899163	110899780	RPL29	0.972	pseudogene_copy	3	0
NC_073232.2	83090551	83095433	LOC109028496	0.894	unannotated	3	0
NC_073230.2	64408407	64413480	CCNJ	0.927	pseudogene_copy	3	0
NC_073230.2	64846549	64847653	LOC115933773	0.879	pseudogene_copy	3	0
NC_073230.2	65407015	65417406	LOC134757820	0.951	unannotated	3	0
NC_073230.2	87365998	87375467	LOC129528280	0.996	pseudogene_copy	3	0
NC_073230.2	128531698	128532430	LOC129532506	0.925	unannotated	3	0
NC_073230.2	130418818	130419134	LOC129527250	0.888	unannotated	3	0
NC_073230.2	145825904	145827488	PSMC1	0.932	pseudogene_copy	3	0
NC_073248.2	15402493	15405280	LOC129530277	0.979	pseudogene_copy	3	0
NC_073248.2	45054428	45113316	LOC101134946	0.954	pseudogene_copy	3	0
NC_073248.2	46983626	46996080	LOC129524657	0.979	pseudogene_copy	3	0
NC_073248.2	46999648	47001258	LOC129524426	0.981	pseudogene_copy	3	0
NC_073240.2	14973195	14977716	TMEM128	0.957	unannotated	3	0
NC_073240.2	16080151	16081257	BMS1P14	0.834	unannotated	3	0
NC_073240.2	21495748	21542148	LOC129527054	0.993	unannotated	3	0
NC_073240.2	22022430	22033009	LOC115930170	0.986	pseudogene_copy	3	0
NC_073240.2	73309386	73310362	RPS2	0.987	pseudogene_copy	3	0
NC_073240.2	86311736	86348573	LOC115932861	0.998	pseudogene_copy	3	0
NC_073240.2	103803612	103887143	LOC115933269	0.986	pseudogene_copy	3	0
NC_073237.2	14427177	14444732	LOC129528175	0.991	pseudogene_copy	3	0
NC_073237.2	78641131	78646623	LOC109025589	0.952	pseudogene_copy	3	0
NC_073237.2	121561406	121562599	LOC101148649	0.914	pseudogene_copy	3	0
NC_073242.2	4010813	4011295	LOC101141087	0.887	pseudogene_copy	3	0
NC_073242.2	74333858	74335056	HMGN2	0.946	unannotated	3	0
NC_073228.2	45852737	45855610	LOC101141121	0.999	pseudogene_copy	3	0
NC_073228.2	65666998	65676799	LOC115934596	0.927	pseudogene_copy	3	0
NC_073228.2	86485357	86487809	RNF138	0.991	pseudogene_copy	3	0
NC_073228.2	90393361	90420937	LOC101141937	0.977	pseudogene_copy	3	0
NC_073228.2	138325490	138326052	LOC109025084	0.938	pseudogene_copy	3	0
NC_073228.2	164154638	164155101	SNRPE	0.939	pseudogene_copy	3	0
NC_086017.1	13768982	13771912	PNPT1	0.926	pseudogene_copy	3	0
NC_086017.1	133509113	133512942	EIF4B	0.907	pseudogene_copy	3	0
NC_086017.1	152091322	152091782	LOC101123774	0.865	pseudogene_copy	3	0
NC_086017.1	155038534	155038988	LOC101138607	0.869	unannotated	3	0
NC_086017.1	191981294	191981702	LOC101130836	0.902	pseudogene_copy	3	0
NC_086017.1	211767666	211810983	LOC129523704	0.993	unannotated	3	0
NC_073241.2	30788	43184	FGFR3	0.982	pseudogene_copy	3	0
NC_073241.2	32519326	32536915	LOC129524657	0.988	pseudogene_copy	3	0
NC_073236.2	24665375	24680964	LOC129524662	0.995	pseudogene_copy	3	0
NC_073236.2	26198883	26232435	LOC101144369	0.972	unannotated	3	0
NC_073236.2	30288441	30297002	LOC115934282	0.998	pseudogene_copy	3	0
NC_073236.2	67779455	67779751	LOC101141974	0.949	unannotated	3	0
NC_073236.2	77224804	77226162	RSL24D1	0.919	pseudogene_copy	3	0
NC_073236.2	106036638	106037858	SLC25A5	0.915	pseudogene_copy	3	0
NC_073238.2	104070812	104074335	SP3	0.918	pseudogene_copy	3	0
NC_073245.2	28507891	28508415	RPS19	0.947	unannotated	3	0
NC_073245.2	36303755	36314811	LOC134757820	0.993	unannotated	3	0
NC_073246.2	27286724	27287864	RPL13A	0.948	pseudogene_copy	3	0
NC_073231.2	11550698	11558622	LOC134756435	0.938	pseudogene_copy	2	0
NC_073231.2	11683952	11686549	LOC129524347	0.999	unannotated	2	0
NC_073231.2	16685421	16693372	LOC134756435	0.936	unannotated	2	0
NC_073231.2	16710932	16719416	LOC129533540	0.916	unannotated	2	0
NC_073231.2	51253493	51255777	TPM4	0.946	pseudogene_copy	2	0
NC_073231.2	59200915	59202220	NPM1	0.962	pseudogene_copy	2	0
NC_073231.2	99813136	99813533	LOC109023382	0.937	pseudogene_copy	2	0
NC_073231.2	110833387	110833996	LOC101135885	0.901	pseudogene_copy	2	0
NC_073224.2	19083121	19084450	LOC129533126	0.896	unannotated	2	0
NC_073224.2	28938221	28992559	WNT3A	0.979	pseudogene_copy	2	0
NC_073224.2	62569649	62571790	EEF1A1	0.926	pseudogene_copy	2	0
NC_073224.2	69073130	69073379	LOC129526082	0.932	unannotated	2	0
NC_073224.2	103285915	103286280	LOC129526082	0.923	unannotated	2	0
NC_073224.2	107162598	107178871	LOC115934005	0.939	pseudogene_copy	2	0
NC_073224.2	118940644	118943133	PKM	0.879	pseudogene_copy	2	0
NC_073224.2	132947936	132948184	LOC129526082	0.924	unannotated	2	0
NC_073224.2	158392437	158392861	LOC101141974	0.907	pseudogene_copy	2	0
NC_073224.2	166832121	166988973	LOC129525034	0.95	unannotated	2	0
NC_073224.2	167681815	167682193	LOC101124540	0.856	pseudogene_copy	2	0
NC_073224.2	200468219	200469535	LOC115931061	0.891	unannotated	2	0
NC_086018.1	9697709	9752421	LOC115933219	0.951	pseudogene_copy	2	0
NC_086018.1	16278544	16294677	LOC129529661	0.994	unannotated	2	0
NC_073244.2	27720670	27721077	LOC101152497	0.935	pseudogene_copy	2	0
NC_073244.2	47616763	47618381	ACOT4	0.913	pseudogene_copy	2	0
NC_073244.2	48453120	48455957	LOC129528518	0.986	unannotated	2	0
NC_073244.2	64925579	64925915	LOC109024093	0.911	unannotated	2	0
NC_073244.2	66721879	66736209	LOC115931566	0.946	pseudogene_copy	2	0
NC_073244.2	70967465	71006348	LOC129534569	0.998	unannotated	2	0
NC_073243.2	36707823	36708332	RPL27A	0.912	pseudogene_copy	2	0
NC_073243.2	40775792	40776128	LOC101132832	0.911	pseudogene_copy	2	0
NC_073243.2	53714344	53714857	RPL26	0.971	pseudogene_copy	2	0
NC_073243.2	54393621	54394414	ING2	0.952	pseudogene_copy	2	0
NC_073229.2	17669779	17687203	LOC101144932	0.959	unannotated	2	0
NC_073229.2	57733962	57734427	RPL23	0.953	pseudogene_copy	2	0
NC_073229.2	60522663	60523717	ATP6V0C	0.896	pseudogene_copy	2	0
NC_073229.2	109440771	109447823	KRT18	0.898	pseudogene_copy	2	0
NC_073229.2	145596176	145597698	HMGN2	0.904	pseudogene_copy	2	0
NC_073229.2	150830484	150831414	PRELID1	0.963	pseudogene_copy	2	0
NC_073229.2	188668562	188671116	LOC129527394	0.937	unannotated	2	0
NC_073229.2	191238205	191241133	LOC129528248	0.916	unannotated	2	0
NC_073229.2	194946017	194971901	LOC129534177	1.0	unannotated	2	0
NC_073239.2	37220382	37222428	NEK2	0.919	pseudogene_copy	2	0
NC_073239.2	68392418	68395746	SET	0.906	pseudogene_copy	2	0
NC_073239.2	70929988	70931081	ATP5F1C	0.904	pseudogene_copy	2	0
NC_073239.2	116924745	116926096	VDAC3	0.927	pseudogene_copy	2	0
NC_073233.2	12384482	12385392	LOC101140427	0.911	pseudogene_copy	2	0
NC_073233.2	80056034	80061575	LOC101152334	0.939	pseudogene_copy	2	0
NC_073233.2	97865869	97874421	LOC115932791	0.992	pseudogene_copy	2	0
NC_073233.2	115795980	115796433	RPLP2	0.946	pseudogene_copy	2	0
NC_073247.2	23295243	23296415	PSMA6	0.851	pseudogene_copy	2	0
NC_073247.2	23847203	23848061	GPX1	0.969	pseudogene_copy	2	0
NC_073247.2	85906278	85908155	MKRN1	0.897	pseudogene_copy	2	0
NC_073247.2	96750160	96752575	LOC134758102	0.976	unannotated	2	0
NC_073247.2	112686560	112687579	NSA2	0.939	pseudogene_copy	2	0
NC_073227.2	12475652	12482018	LOC101133718	0.953	pseudogene_copy	2	0
NC_073227.2	147536239	147536613	LOC129526082	0.882	unannotated	2	0
NC_073227.2	155269700	155270636	LOC101146120	0.927	pseudogene_copy	2	0
NC_073227.2	159278359	159283410	ARMC1	0.905	pseudogene_copy	2	0
NC_073227.2	179296375	179299207	AIDA	0.957	pseudogene_copy	2	0
NC_073227.2	205577929	205579220	GAR1	0.885	pseudogene_copy	2	0
NC_073227.2	211722234	211723892	LOC129532826	0.999	unannotated	2	0
NC_073235.2	28087524	28090246	YWHAZ	0.961	pseudogene_copy	2	0
NC_073235.2	32604034	32604722	RPL19	0.909	pseudogene_copy	2	0
NC_073235.2	34363130	34367384	LOC115931713	0.917	unannotated	2	0
NC_073235.2	59695134	59696273	CDK7	0.951	pseudogene_copy	2	0
NC_073235.2	94322578	94324877	DNAJB1	0.931	pseudogene_copy	2	0
NC_073235.2	109033031	109034362	HNRNPA1L2	0.912	pseudogene_copy	2	0
NC_073234.2	22138757	22143319	PKP2	0.901	pseudogene_copy	2	0
NC_073234.2	25160294	25160549	LOC129526082	0.89	unannotated	2	0
NC_073234.2	35329306	35331206	TCP1	0.922	pseudogene_copy	2	0
NC_073234.2	37545065	37547875	PABPC1	0.918	pseudogene_copy	2	0
NC_073234.2	109936042	109937063	NSA2	0.943	pseudogene_copy	2	0
NC_073232.2	8456026	8536441	LOC129532709	0.99	pseudogene_copy	2	0
NC_073232.2	24012339	24025029	LOC129532776	0.938	pseudogene_copy	2	0
NC_073232.2	46317865	46318413	ATP5MC1	0.913	pseudogene_copy	2	0
NC_073232.2	48005569	48007189	AKR1B10	0.934	pseudogene_copy	2	0
NC_073232.2	68604234	68604761	LOC109028957	0.904	pseudogene_copy	2	0
NC_073232.2	71850000	71852484	CAP1	0.92	pseudogene_copy	2	0
NC_073232.2	82125541	82128124	ARL6IP1	0.869	pseudogene_copy	2	0
NC_073232.2	102321734	102322235	SNRPD2	0.929	pseudogene_copy	2	0
NC_073232.2	133428867	133429607	RPL19	0.931	pseudogene_copy	2	0
NC_073230.2	19940777	19942327	SSB	0.93	pseudogene_copy	2	0
NC_073230.2	53638853	53640028	LOC129523876	0.977	pseudogene_copy	2	0
NC_073230.2	53641938	53643422	LOC129523876	0.99	pseudogene_copy	2	0
NC_073230.2	62252959	62254177	SLC25A5	0.925	pseudogene_copy	2	0
NC_073230.2	65434594	65446870	LOC115931727	0.915	unannotated	2	0
NC_073230.2	73215605	73220048	LOC134758407	0.928	pseudogene_copy	2	0
NC_073230.2	90883025	90884442	LOC134759322	0.918	pseudogene_copy	2	0
NC_073230.2	115061636	115063094	DCAF13	0.912	pseudogene_copy	2	0
NC_073230.2	153199287	153200109	LOC101136393	0.899	pseudogene_copy	2	0
NC_073230.2	161261176	161261855	FABP5	0.971	pseudogene_copy	2	0
NC_073248.2	41840858	41843810	GLUD1	0.924	pseudogene_copy	2	0
NC_073248.2	43898912	43901704	GLUD1	0.926	pseudogene_copy	2	0
NC_073240.2	15750385	15758945	LOC134757059	0.991	pseudogene_copy	2	0
NC_073240.2	15772507	15811565	LOC115934290	0.974	pseudogene_copy	2	0
NC_073240.2	16088227	16090057	LOC134757042	0.972	unannotated	2	0
NC_073240.2	18223918	18276951	LOC129529294	0.993	pseudogene_copy	2	0
NC_073240.2	29588651	29592005	LOC134757309	0.996	unannotated	2	0
NC_073240.2	35818126	35819333	PRELID1	0.921	pseudogene_copy	2	0
NC_073240.2	79653974	79657384	TBC1D2B	0.961	unannotated	2	0
NC_073240.2	85695663	85703415	LOC101127226	0.992	pseudogene_copy	2	0
NC_073237.2	32030883	32032121	SLC25A5	0.908	pseudogene_copy	2	0
NC_073237.2	57109625	57111051	RPL4	0.962	pseudogene_copy	2	0
NC_073237.2	84285680	84304364	LOC101148827	0.986	pseudogene_copy	2	0
NC_073237.2	94016368	94018246	KRT18	0.916	pseudogene_copy	2	0
NC_073237.2	127032643	127033328	RPL19	0.907	pseudogene_copy	2	0
NC_073237.2	133202204	133212882	ATP6V1G1	0.909	unannotated	2	0
NC_073242.2	117096827	117097708	RPL7A	0.922	pseudogene_copy	2	0
NC_073228.2	46693093	46696554	C4H17orf58	0.871	pseudogene_copy	2	0
NC_073228.2	49324037	49324795	LOC129531710	0.926	pseudogene_copy	2	0
NC_073228.2	49935855	49936967	LOC129534211	0.895	pseudogene_copy	2	0
NC_073228.2	54308701	54316524	LOC129533809	0.995	unannotated	2	0
NC_073228.2	123550469	123552104	MRPL10	0.901	pseudogene_copy	2	0
NC_073228.2	143362374	143366422	NCOA4	0.913	pseudogene_copy	2	0
NC_073228.2	175155447	175156132	RPL19	0.921	unannotated	2	0
NC_073228.2	181468425	181486358	LOC115934622	0.993	pseudogene_copy	2	0
NC_086017.1	41320682	41325214	THRAP3	0.912	pseudogene_copy	2	0
NC_086017.1	49256631	49258365	EEF1A1	0.933	pseudogene_copy	2	0
NC_086017.1	58260661	58261060	LOC101152650	0.878	pseudogene_copy	2	0
NC_086017.1	67803634	67804335	LOC101140340	0.921	pseudogene_copy	2	0
NC_086017.1	106443364	106443829	RPL22	0.996	pseudogene_copy	2	0
NC_086017.1	123401334	123402331	LOC115930437	0.916	pseudogene_copy	2	0
NC_073241.2	23438999	23440611	LOC129524426	0.998	pseudogene_copy	2	0
NC_073241.2	24791417	24808979	LOC129528175	0.991	pseudogene_copy	2	0
NC_073241.2	61752738	61755230	WBP11	0.897	pseudogene_copy	2	0
NC_073241.2	109592626	109593109	LOC101141087	0.91	pseudogene_copy	2	0
NC_073236.2	4562891	4565794	TINCR	0.98	unannotated	2	0
NC_073236.2	25381784	25383614	LOC134757042	0.972	unannotated	2	0
NC_073236.2	32692822	32708981	IGFBPL1	0.979	pseudogene_copy	2	0
NC_073236.2	50890433	50892739	LOC101146690	0.935	unannotated	2	0
NC_073236.2	79064369	79065958	ATP1B3	0.894	pseudogene_copy	2	0
NC_073236.2	111457543	111457937	LOC115935319	0.875	pseudogene_copy	2	0
NC_073236.2	119318167	119318597	LOC101137639	0.903	pseudogene_copy	2	0
NC_073236.2	119677494	119678921	DRG1	0.949	pseudogene_copy	2	0
NC_073236.2	131331202	131331646	SNRPE	0.931	pseudogene_copy	2	0
NC_073238.2	6815662	6854861	LOC129530492	0.99	pseudogene_copy	2	0
NC_073238.2	60910184	60913567	FKBP1C	0.896	pseudogene_copy	2	0
NC_073238.2	91674376	91675203	RPL7	0.935	pseudogene_copy	2	0
NC_073246.2	8388176	8405732	LOC129529427	0.985	pseudogene_copy	2	0
NC_073246.2	8524545	8563754	LOC129530492	0.991	pseudogene_copy	2	0
NC_073246.2	15748824	15750675	LOC115931858	0.958	pseudogene_copy	2	0
NC_073246.2	29330145	29330922	LOC101123985	0.913	pseudogene_copy	2	0
NC_073231.2	11755027	11759204	LOC129524393	0.995	pseudogene_copy	1	0
NC_073231.2	11759784	11762612	LOC134758989	0.998	unannotated	1	0
NC_073231.2	11996756	12008631	LOC101133718	0.946	unannotated	1	0
NC_073231.2	12010702	12011953	LOC134759322	0.922	pseudogene_copy	1	0
NC_073231.2	38831151	38832072	LOC109027830	0.967	pseudogene_copy	1	0
NC_073231.2	39758880	39760000	SLC25A51	0.94	pseudogene_copy	1	0
NC_073231.2	64623753	64624897	LOC101135462	0.923	pseudogene_copy	1	0
NC_073231.2	71071938	71074147	PSAT1	0.914	pseudogene_copy	1	0
NC_073231.2	99705250	99706780	LOC101127500	0.925	pseudogene_copy	1	0
NC_073231.2	151314599	151366877	LOC129524260	0.993	pseudogene_copy	1	0
NC_073224.2	7276338	7277423	LOC101136923	0.945	pseudogene_copy	1	0
NC_073224.2	24853688	24856308	ACO2	0.898	pseudogene_copy	1	0
NC_073224.2	36032968	36035421	LOC115930151	0.947	pseudogene_copy	1	0
NC_073224.2	37374979	37375512	LOC101146664	0.896	pseudogene_copy	1	0
NC_073224.2	48080780	48081227	LOC101133796	0.96	pseudogene_copy	1	0
NC_073224.2	54781835	54782202	LOC134756791	0.898	unannotated	1	0
NC_073224.2	87819003	87819596	LOC101135885	0.916	pseudogene_copy	1	0
NC_073224.2	88313908	88315545	QRSL1	0.903	pseudogene_copy	1	0
NC_073224.2	90948588	90949095	LOC101138287	0.931	pseudogene_copy	1	0
NC_073224.2	95908675	95910027	LOC101134010	0.923	pseudogene_copy	1	0
NC_073224.2	98306745	98309616	HSP90AA1	0.898	pseudogene_copy	1	0
NC_073224.2	107151934	107157366	FAM91A1	0.923	pseudogene_copy	1	0
NC_073224.2	107294184	107296100	LOC101145482	0.903	pseudogene_copy	1	0
NC_073224.2	115399397	115400910	PRAMEF17	0.879	pseudogene_copy	1	0
NC_073224.2	117602767	117603245	LOC101140090	0.876	pseudogene_copy	1	0
NC_073224.2	193529284	193532528	LOC129528248	0.92	unannotated	1	0
NC_073224.2	202182207	202183966	VCPKMT	0.852	pseudogene_copy	1	0
NC_073224.2	212967209	212968084	LOC101136134	0.909	pseudogene_copy	1	0
NC_073224.2	215890222	215891559	LOC101132116	0.93	pseudogene_copy	1	0
NC_073224.2	218414824	218415823	LOC129533533	0.943	pseudogene_copy	1	0
NC_073224.2	223102358	223105078	LOC134757814	0.919	unannotated	1	0
NC_073224.2	223946352	223946749	LOC101126623	0.952	pseudogene_copy	1	0
NC_073224.2	227080762	227088395	LOC115932888	0.981	pseudogene_copy	1	0
NC_073224.2	227185683	227187706	LOC129533108	0.992	pseudogene_copy	1	0
NC_073224.2	227251562	227254390	PRAMEF17	0.916	pseudogene_copy	1	0
NC_073224.2	227306744	227308836	LOC101145725	0.945	pseudogene_copy	1	0
NC_073224.2	227692618	227698179	LOC115933279	0.996	pseudogene_copy	1	0
NC_073224.2	235515535	235587801	PMM2	0.898	unannotated	1	0
NC_073224.2	240297168	240300044	LOC134758710	0.972	unannotated	1	0
NC_073224.2	240426534	240445627	LOC134758129	0.983	unannotated	1	0
NC_086018.1	14854263	14865805	ANKRD62	0.958	pseudogene_copy	1	0
NC_086018.1	18146419	18150148	LOC101125106	0.935	pseudogene_copy	1	0
NC_086018.1	21804918	21806494	LOC115931945	0.99	unannotated	1	0
NC_086018.1	24441168	24442378	LOC101144197	0.912	pseudogene_copy	1	0
NC_086018.1	32600147	32602687	ACO2	0.842	pseudogene_copy	1	0
NC_086018.1	42569390	42570746	KRT18	0.921	pseudogene_copy	1	0
NC_073244.2	5533791	5560289	LOC115933269	0.99	pseudogene_copy	1	0
NC_073244.2	27021891	27028977	ERV3-1	0.905	pseudogene_copy	1	0
NC_073244.2	40682334	40682836	LOC101154144	0.876	unannotated	1	0
NC_073244.2	43054073	43054832	LOC101133291	0.974	pseudogene_copy	1	0
NC_073244.2	45588055	45588783	LOC101130286	0.897	pseudogene_copy	1	0
NC_073244.2	45598635	45608770	ZNF302	0.916	unannotated	1	0
NC_073244.2	53170197	53170840	LOC101153622	0.924	pseudogene_copy	1	0
NC_073244.2	60050400	60051099	LOC101152662	0.934	pseudogene_copy	1	0
NC_073244.2	60495551	60497027	SUMO1	0.93	pseudogene_copy	1	0
NC_073244.2	64947727	64949200	ARPC1A	0.94	pseudogene_copy	1	0
NC_073244.2	65620898	65630344	MIR519A-2	0.944	unannotated	1	0
NC_073244.2	65655082	65655189	MIR1283-2	0.944	unannotated	1	0
NC_073244.2	65675234	65675349	MIR517C-2	1.0	unannotated	1	0
NC_073244.2	65676441	65676556	MIR520G	0.991	unannotated	1	0
NC_073244.2	66784613	66799433	KIR2DL4	0.93	pseudogene_copy	1	0
NC_073243.2	31327669	31329408	LOC101130214	0.971	pseudogene_copy	1	0
NC_073243.2	40911279	40912033	CHCHD2	0.945	pseudogene_copy	1	0
NC_073243.2	41179923	41181873	LOC115935322	0.913	pseudogene_copy	1	0
NC_073243.2	43666386	43667135	PPIA	0.938	pseudogene_copy	1	0
NC_073243.2	56817416	56818210	RPS19	0.877	pseudogene_copy	1	0
NC_073243.2	74713036	74715851	LOC129528132	0.986	unannotated	1	0
NC_073243.2	76649281	76649981	RPL19	0.906	pseudogene_copy	1	0
NC_073243.2	78132388	78133730	TMEM183A	0.938	pseudogene_copy	1	0
NC_073243.2	82455140	82456048	RPS4X	0.919	pseudogene_copy	1	0
NC_073229.2	17700581	17702268	LOC101132452	0.985	unannotated	1	0
NC_073229.2	19095650	19103318	LOC129524726	0.993	unannotated	1	0
NC_073229.2	23403258	23403672	LOC109023382	0.922	pseudogene_copy	1	0
NC_073229.2	25105483	25107927	HNRNPL	0.847	pseudogene_copy	1	0
NC_073229.2	25141352	25143613	IDH1	0.907	pseudogene_copy	1	0
NC_073229.2	27744990	27745869	RPL7A	0.923	pseudogene_copy	1	0
NC_073229.2	45346296	45348031	LOC101128637	0.889	pseudogene_copy	1	0
NC_073229.2	52011434	52011888	RPL35	0.952	pseudogene_copy	1	0
NC_073229.2	52320878	52321545	LOC101128980	0.917	pseudogene_copy	1	0
NC_073229.2	59096334	59096842	RPL32	0.891	pseudogene_copy	1	0
NC_073229.2	75737746	75739870	LOC129534111	0.972	pseudogene_copy	1	0
NC_073229.2	90186368	90188082	NUFIP1	0.969	pseudogene_copy	1	0
NC_073229.2	135076002	135077358	PDAP1	0.908	pseudogene_copy	1	0
NC_073229.2	146932836	146938971	ERV3-1	0.923	unannotated	1	0
NC_073229.2	172734699	172735161	LOC101131725	0.903	pseudogene_copy	1	0
NC_073229.2	174057953	174059787	CCT7	0.884	pseudogene_copy	1	0
NC_073229.2	177128555	177129194	C9H11orf98	0.884	pseudogene_copy	1	0
NC_073239.2	17401776	17403875	YTHDF2	0.979	pseudogene_copy	1	0
NC_073239.2	21274587	21275685	RPLP0	0.892	pseudogene_copy	1	0
NC_073239.2	25400424	25402612	LOC129527394	0.937	unannotated	1	0
NC_073239.2	25832650	25833087	LOC101135486	0.886	pseudogene_copy	1	0
NC_073239.2	35097910	35100486	RBBP4	0.907	pseudogene_copy	1	0
NC_073239.2	37513615	37519318	AJM1	0.92	pseudogene_copy	1	0
NC_073239.2	73630734	73631061	LOC134757904	0.87	pseudogene_copy	1	0
NC_073239.2	80494330	80495781	GCAT	0.91	pseudogene_copy	1	0
NC_073239.2	80635110	80636655	EIF2S2	0.932	pseudogene_copy	1	0
NC_073239.2	93824601	93825358	RPLP1	0.924	unannotated	1	0
NC_073239.2	110073921	110074750	LOC101127736	0.888	pseudogene_copy	1	0
NC_073233.2	5700859	5828568	LOC129523704	0.993	unannotated	1	0
NC_073233.2	10565153	10569272	RDX	0.924	pseudogene_copy	1	0
NC_073233.2	42224307	42225711	KRT18	0.909	pseudogene_copy	1	0
NC_073233.2	65677139	65677505	LOC129527250	0.862	unannotated	1	0
