gene_a	gene_b	cls	in_ep	core	bridge_dn_a	bridge_dn_b	mask_a	mask_b	bridge_mask
LOC101136009	ZNF519	truthbar	1	0.1543	DN_NC_073241.2_36126198_2	DN_NC_073244.2_26901109_4	0.2075	0.5314	0.5314
LOC101136009	ZNF528	truthbar	1						
LOC101136009	ZNF578	truthbar	1	0.2236	DN_NC_073244.2_26901109_4	DN_NC_073244.2_64426370_6	0.5314	0.4463	0.5314
LOC101136009	ZNF595	truthbar	1	0.4867	DN_NC_073227.2_8633418_2	DN_NC_073244.2_26901109_4	0.5689	0.5314	0.5689
LOC101136009	ZNF600	truthbar	1	0.3652	DN_NC_073244.2_26901109_4	DN_NC_073244.2_64724127_4	0.5314	0.3339	0.5314
LOC101136009	ZNF611	truthbar	1						
LOC101136009	ZNF616	truthbar	1	0.1754	DN_NC_073244.2_26901109_4	DN_NC_073244.2_64081943_4	0.5314	0.2620	0.5314
LOC101136009	ZNF626	truthbar	1	0.3997	DN_NC_073244.2_26901109_4	DN_NC_073244.2_27131194_2	0.5314	0.4557	0.5314
LOC101136009	ZNF655	truthbar	1						
LOC101136009	ZNF675	truthbar	1	0.3583	DN_NC_073244.2_26901109_4	DN_NC_073244.2_29970261_4	0.5314	0.3774	0.5314
LOC101136009	ZNF678	truthbar	1	0.3421	DN_NC_073224.2_40627195_4	DN_NC_073244.2_26901109_4	0.3220	0.5314	0.5314
LOC101136009	ZNF680	truthbar	1	0.4092	DN_NC_073230.2_73977205_4	DN_NC_073244.2_26901109_4	0.3066	0.5314	0.5314
LOC101136009	ZNF681	truthbar	1	0.4218	DN_NC_073244.2_26901109_4	DN_NC_073244.2_30067652_4	0.5314	0.4267	0.5314
LOC101136009	ZNF682	truthbar	1	0.2853	DN_NC_073244.2_26470366_4	DN_NC_073244.2_26901109_4	0.3255	0.5314	0.5314
LOC101136009	ZNF695	truthbar	1	0.3812	DN_NC_073224.2_8422960_4	DN_NC_073244.2_26901109_4	0.3045	0.5314	0.5314
LOC101136009	ZNF701	truthbar	1						
LOC101136009	ZNF721	truthbar	1	0.3669	DN_NC_073227.2_9010062_2	DN_NC_073244.2_26901109_4	0.3953	0.5314	0.5314
LOC101136009	ZNF723	truthbar	1	0.1801	DN_NC_073244.2_26901109_4	DN_NC_073244.2_29232445_4	0.5314	0.5099	0.5314
LOC101136009	ZNF727	truthbar	1	0.2434	DN_NC_073230.2_73508332_4	DN_NC_073244.2_26901109_4	0.3146	0.5314	0.5314
LOC101136009	ZNF736	truthbar	1						
LOC101136009	ZNF761	truthbar	1	0.3730	DN_NC_073244.2_26901109_4	DN_NC_073244.2_65362909_5	0.5314	0.3364	0.5314
LOC101136009	ZNF766	truthbar	1						
LOC101136009	ZNF8	truthbar	1						
LOC101136009	ZNF808	truthbar	1	0.2052	DN_NC_073244.2_26901109_4	DN_NC_073244.2_64500861_5	0.5314	0.4373	0.5314
LOC101136009	ZNF813	truthbar	1						
LOC101136009	ZNF83	truthbar	1	0.3855	DN_NC_073244.2_26901109_4	DN_NC_073244.2_64585864_4	0.5314	0.3038	0.5314
LOC101136009	ZNF836	truthbar	1						
LOC101136009	ZNF841	truthbar	1						
LOC101136009	ZNF888	truthbar	1	0.1547	DN_NC_073244.2_26901109_4	DN_NC_073244.2_64860608_4	0.5314	0.4244	0.5314
LOC101136009	ZNF91	truthbar	1	0.2322	DN_NC_073244.2_26901109_4	DN_NC_073244.2_29680825_4	0.5314	0.4948	0.5314
LOC101136009	ZNF92	truthbar	1	0.4407	DN_NC_073230.2_74637814_2	DN_NC_073244.2_26901109_4	0.3657	0.5314	0.5314
LOC101136036	LOC101143777	genuine	0						
LOC101136036	LOC101148457	genuine	0	0.1673	DN_NC_073237.2_96675699_5	DN_NC_086018.1_19844955_6	0.6995	0.5974	0.6995
LOC101136036	LOC109025592	genuine	0	0.2083	DN_NC_073224.2_125859316_3	DN_NC_073237.2_96675699_5	0.5571	0.6995	0.6995
LOC101136036	LOC115933090	genuine	0						
LOC101136036	LOC129524676	genuine	0						
LOC101136036	LOC129525008	genuine	0						
LOC101136036	LOC129526479	genuine	0						
LOC101136036	LOC134756761	genuine	0						
LOC101136036	MKRN1	genuine	0						
LOC101136036	TIMM23B	genuine	0						
LOC101136036	TOR3A	genuine	0						
LOC101136036	TRAF5	genuine	0						
LOC101136154	LRP5	genuine	0	0.1784	DN_NC_073233.2_76234750_23	DN_NC_086018.1_23267560_8	0.0497	0.0387	0.0497
LOC101136154	LRP6	genuine	0						
LOC101136203	LOC109029034	TP	1	0.4795	DN_NC_073234.2_49024482_9	DN_NC_073234.2_49087212_9	0.0109	0.0718	0.0718
LOC101136203	TTBK2	genuine	0						
LOC101136352	LOC101152610	TP	0	0.4433	DN_NC_073240.2_21601841_7	DN_NC_073240.2_23210840_6	0.0635	0.0859	0.0859
LOC101136352	LOC129527660	genuine	0	0.3303	DN_NC_073240.2_23210840_6	DN_NC_073242.2_37476471_6	0.0859	0.1015	0.1015
LOC101136398	LOC115932241	TP	1	0.4233	DN_NC_073247.2_18318973_2	DN_NC_073247.2_18638732_2	0.0269	0.0403	0.0403
LOC101136398	LOC115932281	TP	1	0.5745	DN_NC_073247.2_18638732_2	DN_NC_073247.2_18934892_2	0.0403	0.0404	0.0404
LOC101136398	LOC129529790	TP	1	0.7534	DN_NC_073247.2_17003459_2	DN_NC_073247.2_18638732_2	0.0445	0.0403	0.0445
LOC101136398	LOC129530333	genuine	0	0.3798	DN_NC_073247.2_18638732_2	DN_NC_073248.2_30080680_2	0.0403	0.0392	0.0403
LOC101136422	NUDT9	genuine	0	0.2039	DN_NC_073227.2_107737271_8	DN_NC_073232.2_103494970_2	0.3101	0.1905	0.3101
LOC101136480	LOC115933250	TP	1	0.6532	DN_NC_073242.2_15726062_24	DN_NC_073242.2_30717385_31	0.0400	0.0495	0.0495
LOC101136480	LOC115933349	genuine	0						
LOC101136480	LOC129527620	TP	0	0.4953	DN_NC_073242.2_15726062_24	DN_NC_073242.2_28606635_19	0.0400	0.0247	0.0400
LOC101136480	LOC134757427	genuine	0						
LOC101136583	LOC101148853	truthbar	1	0.8487	DN_NC_073235.2_121946440_4	DN_NC_073240.2_22595737_5	0.0273	0.0509	0.0509
LOC101136583	LOC101148972	truthbar	1	0.7504	DN_NC_073234.2_52202911_4	DN_NC_073240.2_22595737_5	0.0411	0.0509	0.0509
LOC101136583	LOC101150168	truthbar	1	0.6794	DN_NC_073234.2_52151326_4	DN_NC_073240.2_22595737_5	0.0581	0.0509	0.0581
LOC101136583	LOC115933728	truthbar	1	0.8922	DN_NC_073235.2_31723374_5	DN_NC_073240.2_22595737_5	0.0123	0.0509	0.0509
LOC101136583	LOC129526434	TP	1	1.0000	DN_NC_073238.2_31467876_5	DN_NC_073240.2_22595737_5	0.0993	0.0509	0.0993
LOC101136583	LOC129529583	genuine	0	0.1677	DN_NC_073240.2_22595737_5	DN_NC_086018.1_18552717_3	0.0509	0.1544	0.1544
LOC101136583	TUBA1C	truthbar	1	0.7933	DN_NC_073234.2_52064465_4	DN_NC_073240.2_22595737_5	0.0558	0.0509	0.0558
LOC101136583	TUBA3E	truthbar	1	0.8725	DN_NC_073235.2_32697745_5	DN_NC_073240.2_22595737_5	0.0120	0.0509	0.0509
LOC101136583	TUBA8	truthbar	1	0.5868	DN_NC_073240.2_22595737_5	DN_NC_086018.1_16134008_5	0.0509	0.0561	0.0561
LOC101136583	TUBAL3	truthbar	1						
LOC101136640	LOC109024259	genuine	0	0.2828	DN_NC_073244.2_55565140_5	DN_NC_073244.2_55618657_2	0.1434	0.2361	0.2361
LOC101136640	ZNF112	genuine	0	0.1793	DN_NC_073244.2_55565140_5	DN_NC_073244.2_55835875_4	0.1434	0.1143	0.1434
LOC101136640	ZNF155	truthbar	1	0.4023	DN_NC_073244.2_55497464_5	DN_NC_073244.2_55565140_5	0.1626	0.1434	0.1626
LOC101136640	ZNF214	genuine	0						
LOC101136640	ZNF221	truthbar	1	0.4192	DN_NC_073244.2_55464824_5	DN_NC_073244.2_55565140_5	0.1676	0.1434	0.1676
LOC101136640	ZNF222	truthbar	1	0.8599	DN_NC_073244.2_55538420_4	DN_NC_073244.2_55565140_5	0.1228	0.1434	0.1434
LOC101136640	ZNF224	truthbar	1	0.4073	DN_NC_073244.2_55565140_5	DN_NC_073244.2_55607411_6	0.1434	0.1220	0.1434
LOC101136640	ZNF225	truthbar	1	0.4081	DN_NC_073244.2_55565140_5	DN_NC_073244.2_55626504_5	0.1434	0.1971	0.1971
LOC101136640	ZNF229	genuine	0						
LOC101136640	ZNF230	truthbar	1	0.4909	DN_NC_073244.2_55516115_5	DN_NC_073244.2_55565140_5	0.1521	0.1434	0.1521
LOC101136640	ZNF233	truthbar	1	0.2267	DN_NC_073244.2_55565140_5	DN_NC_073244.2_55771764_5	0.1434	0.1166	0.1434
LOC101136640	ZNF234	truthbar	1	0.4658	DN_NC_073244.2_55565140_5	DN_NC_073244.2_55654796_6	0.1434	0.2861	0.2861
LOC101136640	ZNF235	truthbar	1	0.1950	DN_NC_073244.2_55565140_5	DN_NC_073244.2_55797441_5	0.1434	0.1122	0.1434
LOC101136640	ZNF239	truthbar	1						
LOC101136640	ZNF284	truthbar	1	0.2333	DN_NC_073244.2_55565140_5	DN_NC_073244.2_55585242_5	0.1434	0.3981	0.3981
LOC101136640	ZNF285	truthbar	1						
LOC101136640	ZNF45	truthbar	1						
LOC101136692	LOC101137060	genuine	0						
LOC101136692	LOC109025447	truthbar	1	0.5126	DN_NC_073236.2_46653509_10	DN_NC_073236.2_47712811_9	0.0657	0.0870	0.0870
LOC101136692	LOC129531666	genuine	1	0.5068	DN_NC_073236.2_46653509_10	DN_NC_073236.2_51202468_4	0.0657	0.1817	0.1817
LOC101136692	LOC129531667	truthbar	1	0.3265	DN_NC_073236.2_46653509_10	DN_NC_073236.2_51437835_4	0.0657	0.2000	0.2000
LOC101136692	RGPD8	genuine	1	0.5344	DN_NC_073236.2_46653509_10	DN_NC_073236.2_49989275_2	0.0657	0.1936	0.1936
LOC101136692	RPL39	genuine	0						
LOC101136692	RPL39L	genuine	0						
LOC101136819	LOC101147313	genuine	0	0.2477	DN_NC_086017.1_207228653_16	DN_NC_086017.1_207540432_15	0.0238	0.1517	0.1517
LOC101136819	LOC115934054	genuine	0						
LOC101136819	SDHA	genuine	0	0.2135	DN_NC_073243.2_112081564_15	DN_NC_086017.1_207228653_16	0.1368	0.0238	0.1368
LOC101136971	LOC115932749	TP	1	0.9632	DN_NC_073242.2_28528734_13	DN_NC_073242.2_35785087_23	0.1442	0.1427	0.1442
LOC101136971	ZC3H7A	TP	1	1.0000	DN_NC_073242.2_15387796_13	DN_NC_073242.2_28528734_13	0.1438	0.1442	0.1442
LOC101137060	LOC109025447	genuine	0	0.2617	DN_NC_073236.2_46676942_15	DN_NC_073236.2_47732210_12	0.2071	0.2216	0.2216
LOC101137060	LOC129531666	genuine	0						
LOC101137060	LOC129531667	genuine	0						
LOC101137060	RGPD8	genuine	0						
LOC101137060	RPL39	genuine	0	0.3458	DN_NC_073236.2_46676942_15	DN_NC_073247.2_131468464_3	0.2071	0.0853	0.2071
LOC101137060	RPL39L	genuine	0						
LOC101137311	LOC129526088	genuine	0	0.1379	DN_NC_073238.2_32460857_5	DN_NC_073240.2_22623333_4	0.3472	0.1313	0.3472
LOC101137311	LOC129527203	genuine	0	0.1445	DN_NC_073238.2_33291944_6	DN_NC_073240.2_22623333_4	0.2331	0.1313	0.2331
LOC101137311	PSPC1	truthbar	1	0.3602	DN_NC_073238.2_34005367_9	DN_NC_073240.2_22623333_4	0.1374	0.1313	0.1374
LOC101137392	MAGEC1	genuine	0	0.2311	DN_NC_073247.2_153600158_4	DN_NC_073247.2_153901396_3	0.0765	0.0710	0.0765
LOC101137455	LOC129533419	TP	0	0.8018	DN_NC_073228.2_182473921_9	DN_NC_073228.2_182638384_11	0.0845	0.0582	0.0845
LOC101137462	LOC101141027	truthbar	1	0.5385	DN_NC_073244.2_27285351_4	DN_NC_073244.2_27765726_4	0.7315	0.4666	0.7315
LOC101137462	LOC101142646	truthbar	1	0.2133	DN_NC_073244.2_27285351_4	DN_NC_073244.2_27869273_3	0.7315	0.4816	0.7315
LOC101137462	LOC101144119	genuine	0	0.1734	DN_NC_073230.2_64900495_2	DN_NC_073244.2_27285351_4	0.2503	0.7315	0.7315
LOC101137462	LOC101144471	truthbar	1						
LOC101137462	LOC101144838	truthbar	1	0.1982	DN_NC_073244.2_27285351_4	DN_NC_073244.2_28256975_5	0.7315	0.3847	0.7315
LOC101137462	LOC101145945	truthbar	1	0.2744	DN_NC_073244.2_27285351_4	DN_NC_073244.2_28588105_4	0.7315	0.3633	0.7315
LOC101137462	LOC101146634	truthbar	1	0.4858	DN_NC_073244.2_27285351_4	DN_NC_073244.2_28711447_4	0.7315	0.4050	0.7315
LOC101137462	LOC101147715	truthbar	1	0.2695	DN_NC_073244.2_27285351_4	DN_NC_073244.2_28820229_4	0.7315	0.5027	0.7315
LOC101137462	LOC101150965	genuine	0	0.2650	DN_NC_073244.2_27285351_4	DN_NC_073244.2_64400145_5	0.7315	0.3365	0.7315
LOC101137462	LOC101151892	genuine	0						
LOC101137462	LOC101152401	truthbar	1						
LOC101137462	LOC101153126	truthbar	1	0.3845	DN_NC_073244.2_27285351_4	DN_NC_073244.2_29297022_4	0.7315	0.4345	0.7315
LOC101137462	LOC101153131	truthbar	1						
LOC101137462	LOC109024216	truthbar	1						
LOC101137462	LOC109026610	TP	1	0.2875	DN_NC_073227.2_8705656_4	DN_NC_073244.2_27285351_4	0.3416	0.7315	0.7315
LOC101137462	LOC115930172	genuine	0	0.3522	DN_NC_073244.2_27051998_4	DN_NC_073244.2_27285351_4	0.4137	0.7315	0.7315
LOC101137462	LOC115931567	genuine	0	0.4079	DN_NC_073244.2_27285351_4	DN_NC_073244.2_27626411_5	0.7315	0.4704	0.7315
LOC101137462	LOC115931568	truthbar	1	0.4711	DN_NC_073244.2_27285351_4	DN_NC_073244.2_28072858_4	0.7315	0.3930	0.7315
LOC101137462	LOC115931576	truthbar	1	0.4798	DN_NC_073244.2_27285351_4	DN_NC_073244.2_29046961_4	0.7315	0.4500	0.7315
LOC101137462	LOC115931654	truthbar	1	0.2211	DN_NC_073244.2_27285351_4	DN_NC_073244.2_65266359_4	0.7315	0.3995	0.7315
LOC101137462	LOC115931857	truthbar	1	0.2068	DN_NC_073244.2_27285351_4	DN_NC_073246.2_15789285_3	0.7315	0.2698	0.7315
LOC101137462	LOC129527827	genuine	0	0.2279	DN_NC_073242.2_66613619_4	DN_NC_073244.2_27285351_4	0.4438	0.7315	0.7315
LOC101137462	LOC129528947	genuine	0	0.4072	DN_NC_073244.2_27285351_4	DN_NC_073244.2_27408454_4	0.7315	0.5416	0.7315
LOC101137462	OSBPL10	genuine	0						
LOC101137462	ZNF141	truthbar	1	0.2014	DN_NC_073227.2_8907801_4	DN_NC_073244.2_27285351_4	0.2847	0.7315	0.7315
LOC101137462	ZNF195	truthbar	1	0.2158	DN_NC_073233.2_9788172_5	DN_NC_073244.2_27285351_4	0.2339	0.7315	0.7315
LOC101137462	ZNF254	truthbar	1	0.4512	DN_NC_073244.2_27285351_4	DN_NC_073244.2_30438340_4	0.7315	0.3798	0.7315
LOC101137462	ZNF267	truthbar	1						
LOC101137462	ZNF273	truthbar	1	0.2776	DN_NC_073230.2_74299233_4	DN_NC_073244.2_27285351_4	0.3847	0.7315	0.7315
LOC101137462	ZNF28	truthbar	1						
LOC101137462	ZNF347	truthbar	1						
LOC101137462	ZNF415	truthbar	1						
LOC101137462	ZNF429	truthbar	1	0.6982	DN_NC_073244.2_27285351_4	DN_NC_073244.2_27956158_4	0.7315	0.5461	0.7315
LOC101137462	ZNF43	truthbar	1	0.3875	DN_NC_073244.2_27285351_4	DN_NC_073244.2_28333451_4	0.7315	0.4625	0.7315
LOC101137462	ZNF430	truthbar	1	0.2046	DN_NC_073244.2_27285351_4	DN_NC_073244.2_27504818_5	0.7315	0.4270	0.7315
LOC101137462	ZNF468	truthbar	1						
LOC101137462	ZNF480	truthbar	1						
LOC101137462	ZNF486	truthbar	1	0.4177	DN_NC_073244.2_26666712_5	DN_NC_073244.2_27285351_4	0.4566	0.7315	0.7315
LOC101137462	ZNF506	truthbar	1	0.2019	DN_NC_073244.2_26240035_4	DN_NC_073244.2_27285351_4	0.3919	0.7315	0.7315
LOC101137462	ZNF519	truthbar	1	0.3049	DN_NC_073241.2_36126198_2	DN_NC_073244.2_27285351_4	0.2075	0.7315	0.7315
LOC101137462	ZNF528	truthbar	1						
LOC101137462	ZNF578	truthbar	1						
LOC101137462	ZNF595	truthbar	1	0.4606	DN_NC_073227.2_8633418_2	DN_NC_073244.2_27285351_4	0.5689	0.7315	0.7315
LOC101137462	ZNF600	truthbar	1						
LOC101137462	ZNF611	truthbar	1						
LOC101137462	ZNF616	truthbar	1						
LOC101137462	ZNF626	truthbar	1	0.1535	DN_NC_073244.2_27131194_2	DN_NC_073244.2_27285351_4	0.4557	0.7315	0.7315
LOC101137462	ZNF655	truthbar	1						
LOC101137462	ZNF675	truthbar	1	0.6144	DN_NC_073244.2_27285351_4	DN_NC_073244.2_29970261_4	0.7315	0.3774	0.7315
LOC101137462	ZNF678	truthbar	1	0.3168	DN_NC_073224.2_40627195_4	DN_NC_073244.2_27285351_4	0.3220	0.7315	0.7315
LOC101137462	ZNF680	truthbar	1	0.3730	DN_NC_073230.2_73977205_4	DN_NC_073244.2_27285351_4	0.3066	0.7315	0.7315
LOC101137462	ZNF681	truthbar	1	0.3069	DN_NC_073244.2_27285351_4	DN_NC_073244.2_30067652_4	0.7315	0.4267	0.7315
LOC101137462	ZNF682	truthbar	1	0.4790	DN_NC_073244.2_26470366_4	DN_NC_073244.2_27285351_4	0.3255	0.7315	0.7315
LOC101137462	ZNF695	truthbar	1	0.3798	DN_NC_073224.2_8422960_4	DN_NC_073244.2_27285351_4	0.3045	0.7315	0.7315
LOC101137462	ZNF701	truthbar	1						
LOC101137462	ZNF721	truthbar	1	0.2944	DN_NC_073227.2_9010062_2	DN_NC_073244.2_27285351_4	0.3953	0.7315	0.7315
LOC101137462	ZNF723	truthbar	1	0.2673	DN_NC_073244.2_27285351_4	DN_NC_073244.2_29232445_4	0.7315	0.5099	0.7315
LOC101137462	ZNF727	truthbar	1	0.1860	DN_NC_073230.2_73508332_4	DN_NC_073244.2_27285351_4	0.3146	0.7315	0.7315
LOC101137462	ZNF736	truthbar	1	0.1700	DN_NC_073230.2_73776646_4	DN_NC_073244.2_27285351_4	0.3000	0.7315	0.7315
LOC101137462	ZNF761	truthbar	1						
LOC101137462	ZNF766	truthbar	1						
LOC101137462	ZNF8	truthbar	1						
LOC101137462	ZNF808	truthbar	1						
LOC101137462	ZNF813	truthbar	1	0.1367	DN_NC_073244.2_27285351_4	DN_NC_073244.2_65398487_4	0.7315	0.3208	0.7315
LOC101137462	ZNF83	truthbar	1						
LOC101137462	ZNF836	truthbar	1						
LOC101137462	ZNF841	truthbar	1						
LOC101137462	ZNF888	truthbar	1						
LOC101137462	ZNF91	truthbar	1	0.2911	DN_NC_073244.2_27285351_4	DN_NC_073244.2_29680825_2	0.7315	0.5202	0.7315
LOC101137462	ZNF92	truthbar	1	0.4407	DN_NC_073230.2_74637814_2	DN_NC_073244.2_27285351_4	0.3657	0.7315	0.7315
LOC101137472	NABP2	genuine	0	0.1470	DN_NC_073234.2_45136934_7	DN_NC_073246.2_34687084_3	0.2336	0.2979	0.2979
LOC101137661	LOC109025815	genuine	0	0.1934	DN_NC_073235.2_31662902_3	DN_NC_073235.2_31973952_17	0.0329	0.0950	0.0950
LOC101137734	LOC101146595	genuine	0						
LOC101137734	LOC129527528	genuine	0	0.2063	DN_NC_073238.2_30171533_2	DN_NC_073242.2_7013229_2	0.3638	0.6546	0.6546
LOC101137734	LOC129532907	genuine	0						
LOC101137734	LOC134756955	genuine	0	0.5447	DN_NC_073238.2_30171533_2	DN_NC_073238.2_33197456_2	0.3638	0.3582	0.3638
LOC101137734	ORC4	genuine	0						
LOC101137734	TCTN1	genuine	0						
LOC101137806	LOC101139163	genuine	0	0.2474	DN_NC_086017.1_136773097_2	DN_NC_086017.1_141278779_5	0.1005	0.0477	0.1005
LOC101137806	LOC101152938	genuine	0	0.1625	DN_NC_073233.2_75718276_6	DN_NC_086017.1_136773097_2	0.0604	0.1005	0.1005
LOC101137806	LOC115934341	genuine	0	0.1954	DN_NC_086017.1_136773097_2	DN_NC_086017.1_85330170_7	0.1005	0.0323	0.1005
LOC101137832	LOC101153526	truthbar	1	0.2312	DN_NC_073231.2_150671310_5	DN_NC_073241.2_64520240_3	0.1908	0.2340	0.2340
LOC101137832	ZKSCAN1	genuine	0						
LOC101137832	ZNF121	truthbar	1	0.2470	DN_NC_073241.2_64520240_3	DN_NC_073244.2_15605841_4	0.2340	0.3827	0.3827
LOC101137832	ZNF232	genuine	0						
LOC101137832	ZNF274	genuine	0						
LOC101137832	ZNF397	genuine	0						
LOC101137832	ZNF436	truthbar	1	0.2707	DN_NC_073224.2_216467757_3	DN_NC_073241.2_64520240_3	0.1508	0.2340	0.2340
LOC101137832	ZNF502	truthbar	1	0.2755	DN_NC_073241.2_64520240_3	DN_NC_086017.1_54612772_3	0.2340	0.1708	0.2340
LOC101137832	ZSCAN12	truthbar	1	0.1347	DN_NC_073229.2_46022147_4	DN_NC_073241.2_64520244_2	0.1240	0.2276	0.2276
LOC101137832	ZSCAN16	genuine	0	0.1828	DN_NC_073229.2_45747170_4	DN_NC_073241.2_64520240_3	0.0506	0.2340	0.2340
LOC101137832	ZSCAN22	genuine	0						
LOC101137832	ZSCAN9	genuine	0						
LOC101137900	LOC109027212	genuine	0	0.2119	DN_NC_073229.2_67950085_3	DN_NC_073238.2_32617313_2	0.7308	0.4197	0.7308
LOC101137900	LOC115934041	genuine	0						
LOC101137900	LOC129528278	genuine	0	0.2114	DN_NC_073238.2_32617313_2	DN_NC_073241.2_83874271_3	0.4197	0.7306	0.7306
LOC101137900	LOC129528791	genuine	0	0.2192	DN_NC_073238.2_32617313_2	DN_NC_073244.2_6165323_3	0.4197	0.7410	0.7410
LOC101137900	LOC129530234	TP	0	0.2407	DN_NC_073238.2_32661686_2	DN_NC_073248.2_26554434_7	0.2024	0.3656	0.3656
LOC101137900	LOC134758719	genuine	0						
LOC101137900	PLGRKT	genuine	0	0.1336	DN_NC_073237.2_58966871_3	DN_NC_073238.2_32617313_2	0.4967	0.4197	0.4967
LOC101137900	RHOT1	genuine	0	0.1354	DN_NC_073228.2_60766049_19	DN_NC_073238.2_32617313_2	0.1091	0.4197	0.4197
LOC101137900	SERPINA3	genuine	0						
LOC101137900	SSBP1	genuine	0						
LOC101137955	LOC115934057	truthbar	1						
LOC101137955	ZFP2	genuine	0	0.2041	DN_NC_073228.2_182864372_4	DN_NC_073229.2_44967262_5	0.1403	0.2021	0.2021
LOC101137955	ZFP69B	genuine	0	0.1752	DN_NC_073224.2_199494304_6	DN_NC_073229.2_44967262_5	0.1174	0.2021	0.2021
LOC101137955	ZFP90	genuine	0	0.2035	DN_NC_073229.2_44967262_5	DN_NC_073242.2_97765438_4	0.2021	0.2426	0.2426
LOC101137955	ZNF181	genuine	0	0.1848	DN_NC_073229.2_44967262_5	DN_NC_073244.2_45796040_6	0.2021	0.1703	0.2021
LOC101137955	ZNF2	genuine	0						
LOC101137955	ZNF248	genuine	0	0.1350	DN_NC_073229.2_44967262_5	DN_NC_073232.2_81253567_6	0.2021	0.1140	0.2021
LOC101137955	ZNF333	genuine	0						
LOC101137955	ZNF391	truthbar	1	0.1865	DN_NC_073229.2_44967262_5	DN_NC_073229.2_45005781_3	0.2021	0.2383	0.2383
LOC101137955	ZNF485	genuine	0	0.2085	DN_NC_073229.2_44967262_5	DN_NC_073232.2_71834982_5	0.2021	0.2724	0.2724
LOC101137955	ZNF514	genuine	0						
LOC101137955	ZNF554	genuine	0						
LOC101137955	ZNF621	genuine	0						
LOC101137955	ZNF879	genuine	0	0.1906	DN_NC_073228.2_182994030_5	DN_NC_073229.2_44967262_5	0.2623	0.2021	0.2623
LOC101137992	LOC101139594	genuine	0	0.1933	DN_NC_073247.2_64921939_13	DN_NC_073247.2_64998786_13	0.0413	0.0138	0.0413
LOC101137992	LOC101144987	genuine	0						
LOC101137992	LOC101146541	genuine	0						
LOC101138011	LOC109025084	genuine	0	0.3253	DN_NC_073224.2_98617594_3	DN_NC_073229.2_52163606_6	0.4853	0.0025	0.4853
LOC101138011	LOC129528550	genuine	0						
LOC101138066	LOC115930840	TP	1	0.2797	DN_NC_073240.2_85708603_4	DN_NC_073240.2_86386259_3	0.2082	0.2093	0.2093
LOC101138261	LOC101145660	genuine	0						
LOC101138261	LOC101152741	genuine	0						
LOC101138261	LOC109027124	genuine	0	0.3288	DN_NC_073229.2_194862622_5	DN_NC_073232.2_72957232_4	0.5920	0.2221	0.5920
LOC101138261	LOC129527173	genuine	0						
LOC101138261	LOC129528096	genuine	0						
LOC101138261	MPHOSPH8	genuine	0	0.4114	DN_NC_073232.2_72957232_4	DN_NC_073238.2_33904146_3	0.2221	0.5102	0.5102
LOC101138261	SVBP	genuine	0						
LOC101138337	LOC101145348	genuine	0						
LOC101138337	LOC101151317	genuine	0	0.1536	DN_NC_073228.2_154780892_3	DN_NC_073244.2_48030811_4	0.1819	0.4233	0.4233
LOC101138337	LOC101153727	genuine	0						
LOC101138337	LOC109024207	genuine	0						
LOC101138337	LOC109027078	genuine	0						
LOC101138337	LOC115931610	genuine	0						
LOC101138337	ZFP28	genuine	0						
LOC101138337	ZFP3	genuine	0						
LOC101138337	ZFP69	genuine	0						
LOC101138337	ZFP82	genuine	0						
LOC101138337	ZNF177	genuine	0						
LOC101138337	ZNF184	genuine	0						
LOC101138337	ZNF189	genuine	0						
LOC101138337	ZNF266	genuine	0						
LOC101138337	ZNF283	genuine	0						
LOC101138337	ZNF30	genuine	0						
LOC101138337	ZNF329	genuine	0						
LOC101138337	ZNF331	genuine	0						
LOC101138337	ZNF420	genuine	0						
LOC101138337	ZNF461	genuine	0						
LOC101138337	ZNF471	genuine	0						
LOC101138337	ZNF529	genuine	0						
LOC101138337	ZNF540	genuine	0						
LOC101138337	ZNF546	genuine	0						
LOC101138337	ZNF560	genuine	0						
LOC101138337	ZNF565	genuine	0						
LOC101138337	ZNF566	genuine	0						
LOC101138337	ZNF571	genuine	0						
LOC101138337	ZNF573	genuine	0						
LOC101138337	ZNF582	genuine	0						
LOC101138337	ZNF583	genuine	0						
LOC101138337	ZNF596	genuine	0						
LOC101138337	ZNF607	genuine	0						
LOC101138337	ZNF665	genuine	0						
LOC101138337	ZNF684	genuine	0						
LOC101138337	ZNF780A	genuine	0						
LOC101138337	ZNF780B	genuine	0						
LOC101138337	ZNF790	genuine	0						
LOC101138337	ZNF829	genuine	0						
LOC101138337	ZNF891	genuine	0						
LOC101138952	LOC129523567	genuine	0						
LOC101138952	LOC129528667	truthbar	1	0.2226	DN_NC_073244.2_63882905_5	DN_NC_073244.2_63934684_6	0.2320	0.1220	0.2320
LOC101138952	ZFP37	truthbar	1	0.1864	DN_NC_073237.2_109279481_4	DN_NC_073244.2_63934684_6	0.2257	0.1220	0.2257
LOC101138952	ZNF10	truthbar	1						
LOC101138952	ZNF140	truthbar	1						
LOC101138952	ZNF157	truthbar	1						
LOC101138952	ZNF175	truthbar	1						
LOC101138952	ZNF180	truthbar	1						
LOC101138952	ZNF182	truthbar	1	0.2412	DN_NC_073244.2_63934684_6	DN_NC_073247.2_58372296_6	0.1220	0.1467	0.1467
LOC101138952	ZNF25	truthbar	1						
