evidence_id	haplotype	probe_id	target	target_start	target_end	strand	identity	query_coverage	aligned_span	mapq
PAT_LOCUS_74	PAT	FAM_006	chr16_pat_hsa15	29713307	29726892	-	0.9207	0.9905	13273	0
PAT_LOCUS_75	PAT	FAM_006	chr16_pat_hsa15	23542380	23555954	+	0.9206	0.9911	13281	0
PAT_LOCUS_76	PAT	FAM_006	chr16_pat_hsa15	24898280	24911849	-	0.9203	0.9911	13281	0
PAT_LOCUS_77	PAT	FAM_006	chr16_pat_hsa15	33166866	33180513	+	0.9199	0.9905	13273	0
PAT_LOCUS_78	PAT	FAM_006	chr16_pat_hsa15	29664766	29678502	-	0.9194	0.9982	13376	0
PAT_LOCUS_79	PAT	FAM_006	chr16_pat_hsa15	33337276	33350925	+	0.9197	0.9905	13273	0
PAT_LOCUS_80	PAT	FAM_006	chr16_pat_hsa15	33422086	33435715	+	0.9196	0.9905	13273	0
PAT_LOCUS_81	PAT	FAM_006	chr16_pat_hsa15	31360729	31374373	+	0.9196	0.9905	13273	0
PAT_LOCUS_82	PAT	FAM_006	chr16_pat_hsa15	24702614	24716181	-	0.9200	0.9911	13281	0
PAT_LOCUS_83	PAT	FAM_007	chr16_pat_hsa15	31095281	31108934	-	0.9209	0.9915	13344	1
PAT_LOCUS_84	PAT	FAM_007	chr16_pat_hsa15	29616543	29630367	-	0.9200	0.9995	13451	0
PAT_LOCUS_85	PAT	FAM_007	chr16_pat_hsa15	29713232	29726892	+	0.9207	0.9918	13348	0
PAT_LOCUS_86	PAT	FAM_007	chr16_pat_hsa15	23542380	23556017	-	0.9207	0.9915	13344	0
PAT_LOCUS_87	PAT	FAM_007	chr16_pat_hsa15	24898217	24911849	+	0.9205	0.9915	13344	0
PAT_LOCUS_88	PAT	FAM_007	chr16_pat_hsa15	24702551	24716181	+	0.9201	0.9915	13344	0
PAT_LOCUS_89	PAT	FAM_007	chr16_pat_hsa15	33166866	33180588	-	0.9196	0.9918	13348	0
PAT_LOCUS_90	PAT	FAM_007	chr16_pat_hsa15	29664692	29678502	+	0.9191	0.9995	13451	0
PAT_LOCUS_91	PAT	FAM_007	chr16_pat_hsa15	33422086	33435790	-	0.9194	0.9918	13348	0
PAT_LOCUS_92	PAT	FAM_007	chr16_pat_hsa15	33337276	33351000	-	0.9194	0.9918	13348	0
PAT_LOCUS_93	PAT	FAM_007	chr16_pat_hsa15	31360729	31374447	-	0.9192	0.9918	13348	0
PAT_LOCUS_94	PAT	FAM_008	chr16_pat_hsa15	29616189	29618888	+	0.9793	0.9982	2699	60
PAT_LOCUS_95	PAT	FAM_008	chr16_pat_hsa15	29676156	29678856	-	0.9774	0.9982	2700	0
PAT_LOCUS_96	PAT	FAM_008	chr16_pat_hsa15	23647000	23649722	-	0.9749	0.9982	2706	0
PAT_LOCUS_97	PAT	FAM_008	chr16_pat_hsa15	33421611	33424328	+	0.9748	0.9982	2706	0
PAT_LOCUS_98	PAT	FAM_008	chr16_pat_hsa15	29724644	29727365	-	0.9745	0.9982	2706	0
PAT_LOCUS_99	PAT	FAM_008	chr16_pat_hsa15	31360254	31362971	+	0.9741	0.9982	2706	0
PAT_LOCUS_100	PAT	FAM_008	chr16_pat_hsa15	33336801	33339515	+	0.9741	0.9970	2703	0
PAT_LOCUS_101	PAT	FAM_008	chr16_pat_hsa15	33166391	33169105	+	0.9741	0.9970	2703	0
PAT_LOCUS_102	PAT	FAM_008	chr16_pat_hsa15	33044224	33046938	-	0.9733	0.9970	2703	0
PAT_LOCUS_103	PAT	FAM_008	chr16_pat_hsa15	31094807	31097522	+	0.9733	0.9978	2705	0
PAT_LOCUS_104	PAT	FAM_008	chr16_pat_hsa15	23541907	23544629	+	0.9730	0.9982	2706	0
PAT_LOCUS_105	PAT	FAM_008	chr16_pat_hsa15	33215178	33217895	-	0.9730	0.9982	2706	0
PAT_LOCUS_106	PAT	FAM_008	chr16_pat_hsa15	24909600	24912322	-	0.9723	0.9982	2706	0
PAT_LOCUS_107	PAT	FAM_008	chr16_pat_hsa15	24713932	24716654	-	0.9723	0.9982	2706	0
PAT_LOCUS_108	PAT	FAM_009	chr16_pat_hsa15	29616562	29627299	-	0.9763	1.0000	10731	12
PAT_LOCUS_109	PAT	FAM_009	chr16_pat_hsa15	29667753	29678483	+	0.9757	1.0000	10730	0
PAT_LOCUS_110	PAT	FAM_009	chr16_pat_hsa15	33166855	33177520	-	0.9757	0.9932	10658	0
PAT_LOCUS_111	PAT	FAM_009	chr16_pat_hsa15	33422075	33432725	-	0.9757	0.9932	10650	0
PAT_LOCUS_112	PAT	FAM_009	chr16_pat_hsa15	33337265	33347932	-	0.9754	0.9932	10658	0
PAT_LOCUS_113	PAT	FAM_009	chr16_pat_hsa15	33206773	33217431	+	0.9753	0.9932	10658	0
PAT_LOCUS_114	PAT	FAM_009	chr16_pat_hsa15	33035822	33046474	+	0.9752	0.9932	10652	0
PAT_LOCUS_115	PAT	FAM_009	chr16_pat_hsa15	31360718	31371385	-	0.9746	0.9932	10658	0
PAT_LOCUS_116	PAT	FAM_009	chr16_pat_hsa15	29716300	29726903	+	0.9658	0.9932	10603	0
PAT_LOCUS_117	PAT	FAM_009	chr16_pat_hsa15	24705637	24716283	+	0.9654	0.9970	10646	0
PAT_LOCUS_118	PAT	FAM_009	chr16_pat_hsa15	24901304	24911951	+	0.9654	0.9970	10647	0
PAT_LOCUS_119	PAT	FAM_009	chr16_pat_hsa15	31095179	31105873	-	0.9652	1.0000	10694	0
PAT_LOCUS_120	PAT	FAM_009	chr16_pat_hsa15	23542278	23552931	-	0.9649	0.9970	10653	0
PAT_LOCUS_121	PAT	FAM_009	chr16_pat_hsa15	23638648	23649351	+	0.9642	1.0000	10703	0
PAT_LOCUS_122	PAT	FAM_010	chr16_pat_hsa15	35224655	35233492	+	0.9743	1.0000	8837	60
PAT_LOCUS_123	PAT	FAM_011	chr16_pat_hsa15	35224654	35227046	+	0.9707	1.0000	2392	60
PAT_LOCUS_124	PAT	FAM_012	chr16_pat_hsa15	76648954	76660631	+	0.9712	0.9997	11468	60
PAT_LOCUS_125	PAT	FAM_013	chr16_pat_hsa15	85708747	85718055	+	0.9805	1.0000	9308	37
PAT_LOCUS_126	PAT	FAM_013	chr16_pat_hsa15	86292957	86306131	+	0.9787	1.0000	9461	0
PAT_LOCUS_127	PAT	FAM_013	chr16_pat_hsa15	86475119	86485269	-	0.9784	1.0000	9461	0
PAT_LOCUS_128	PAT	FAM_013	chr16_pat_hsa15	83999058	84008464	-	0.9782	0.8771	8298	0
PAT_LOCUS_129	PAT	FAM_013	chr16_pat_hsa15	84057500	84070662	-	0.9734	0.9998	9459	0
PAT_LOCUS_130	PAT	FAM_014	chr16_pat_hsa15	85708731	85718714	-	0.9767	1.0000	9819	29
PAT_LOCUS_131	PAT	FAM_014	chr16_pat_hsa15	86474460	86485285	+	0.9760	1.0000	9819	0
PAT_LOCUS_132	PAT	FAM_014	chr16_pat_hsa15	86292941	86306790	-	0.9757	1.0000	9819	0
PAT_LOCUS_133	PAT	FAM_014	chr16_pat_hsa15	83998399	84008464	+	0.9771	0.8789	8630	0
PAT_LOCUS_134	PAT	FAM_014	chr16_pat_hsa15	84056841	84070677	+	0.9719	0.9997	9816	0
PAT_LOCUS_135	PAT	FAM_014	chr16_pat_hsa15	85798574	85808356	-	0.9581	1.0000	9782	0
PAT_LOCUS_136	PAT	FAM_014	chr16_pat_hsa15	86386250	86396022	-	0.9568	1.0000	9772	0
PAT_LOCUS_137	PAT	FAM_015	chr16_pat_hsa15	85708731	85718042	-	0.9801	1.0000	9311	60
PAT_LOCUS_138	PAT	FAM_015	chr16_pat_hsa15	86292941	86306118	-	0.9724	1.0000	9726	0
PAT_LOCUS_139	PAT	FAM_015	chr16_pat_hsa15	86475132	86485285	+	0.9722	1.0000	9726	0
PAT_LOCUS_140	PAT	FAM_015	chr16_pat_hsa15	83999071	84008464	+	0.9737	0.8788	8547	0
PAT_LOCUS_141	PAT	FAM_015	chr16_pat_hsa15	84057513	84070677	+	0.9685	0.9997	9723	0
PAT_LOCUS_142	PAT	FAM_016	chr16_pat_hsa15	85708526	85713637	+	0.9747	0.8738	5102	60
PAT_LOCUS_143	PAT	FAM_016	chr16_pat_hsa15	85798367	85803544	+	0.9670	0.9221	5177	0
PAT_LOCUS_144	PAT	FAM_016	chr16_pat_hsa15	86386043	86391207	+	0.9653	0.9185	5164	0
PAT_LOCUS_145	PAT	FAM_016	chr16_pat_hsa15	86479757	86485490	-	0.9588	0.9832	5733	0
PAT_LOCUS_146	PAT	FAM_016	chr16_pat_hsa15	86292736	86298490	+	0.9586	0.9832	5741	0
PAT_LOCUS_147	PAT	FAM_016	chr16_pat_hsa15	84065281	84070715	-	0.9553	0.9539	5434	0
PAT_LOCUS_148	PAT	FAM_017	chr19_pat_hsa5x17	104830512	104837098	-	0.9797	0.9997	6586	10
PAT_LOCUS_149	PAT	FAM_017	chr19_pat_hsa5x17	104871320	104877905	-	0.9794	0.9997	6585	0
PAT_LOCUS_150	PAT	FAM_017	chr19_pat_hsa5x17	104789693	104796276	-	0.9790	0.9997	6583	0
PAT_LOCUS_151	PAT	FAM_017	chr16_pat_hsa15	29847968	29854694	+	0.9686	1.0000	6726	0
PAT_LOCUS_152	PAT	FAM_017	chr16_pat_hsa15	23777624	23784753	+	0.9629	1.0000	7129	0
