gene	chrom	start	end	strand	n_introns	K	n_chain_reads	primary_at_gene	primary_frac	n_secondary	n_sib_chain_match	n_seq_favors_sibling	nm_rate_gene	nm_rate_primary	dom_sibling	dom_sibling_n	klass
gene-LOC129531486	NC_073236.2	32458722	32486713	-	10	4	11	0	0.0	11	11	11	0.0131	0.0037	gene-LOC129531862	10	secondary_dependent_ambiguous
gene-LOC101127189	NC_073233.2	68985119	68994493	+	8	3	11	2	0.182	9	6	9	0.0163	0.0029	gene-LOC101127800	4	secondary_dependent_ambiguous
gene-LOC115932781	NC_073242.2	28370269	28507059	-	25	8	10	2	0.2	8	8	8	0.1147	0.0022	gene-NPIPB11	3	secondary_dependent_ambiguous
gene-LOC129524036	NC_073243.2	15287729	15308351	-	8	3	10	0	0.0	10	10	10	0.0089	0.0014	gene-LOC129524028	5	secondary_dependent_ambiguous
gene-LOC115932828	NC_073242.2	104161715	104219107	+	17	6	9	2	0.222	7	4	7	0.0062	0.0008	gene-LOC115930163	3	secondary_dependent_ambiguous
gene-LOC115931076	NC_073238.2	26347788	26368637	+	5	2	9	1	0.111	8	7	8	0.0212	0.0013	gene-LOC129531450	4	secondary_dependent_ambiguous
gene-LOC129534585	NC_073224.2	15805111	15833058	-	50	8	9	2	0.222	7	4	7	0.0049	0.0042	gene-LOC129529262	2	secondary_dependent_ambiguous
gene-LOC129531432	NC_073236.2	25893792	25915873	+	4	2	8	0	0.0	8	7	8	0.0187	0.0014	gene-LOC129531450	4	secondary_dependent_ambiguous
gene-LOC101136027	NC_086018.1	40146613	40150145	+	3	2	8	0	0.0	8	8	5	0.007	0.0068	gene-LOC129529528	8	secondary_dependent_ambiguous
gene-LOC129526672	NC_073224.2	101200686	101203773	+	2	2	7	0	0.0	7	7	7	0.0019	0.0	gene-GON4L	7	secondary_dependent_ambiguous
gene-LOC115931212	NC_073224.2	18989646	19014013	+	47	8	7	1	0.143	6	4	6	0.0236	0.0055	gene-LOC134757815	2	secondary_dependent_ambiguous
gene-LOC115933368	NC_073242.2	104379335	104435991	-	11	4	7	0	0.0	7	7	7	0.0038	0.0018	gene-GLG1	7	secondary_dependent_ambiguous
gene-LOC129527592	NC_073242.2	22108751	22136211	+	9	3	5	0	0.0	5	3	3	0.083	0.0811	gene-LOC115931102	3	secondary_dependent_ambiguous
gene-LOC134757639	NC_073243.2	111480934	111561238	+	23	8	5	0	0.0	5	3	3	0.1392	0.1853	gene-LOC134756444	3	secondary_dependent_ambiguous
gene-LOC129529423	NC_086018.1	6433835	6474168	-	6	2	5	0	0.0	5	5	5	0.0209	0.0022	gene-LOC115933411	5	secondary_dependent_ambiguous
gene-LOC129530474	NC_073246.2	2520142	2567194	+	4	2	5	1	0.2	4	4	4	0.0092	0.0025	gene-LOC115933411	4	secondary_dependent_ambiguous
gene-LOC129532807	NC_073227.2	211100502	211115480	+	5	2	5	0	0.0	5	3	5	0.0133	0.0018	gene-LOC129525067	2	secondary_dependent_ambiguous
gene-LOC134756753	NC_073236.2	22553726	22573893	-	7	3	3786	1544	0.408	2242	1474	2068	0.0114	0.0027	gene-LRPAP1	1297	primary_sufficient
gene-SEPTIN7	NC_073230.2	43229294	43333710	+	15	5	3683	3677	0.998	6	0	3	0.0859	0.0794	gene-OCLN	6	primary_sufficient
gene-LRPAP1	NC_073227.2	12090719	12110719	-	8	3	3490	1962	0.562	1528	1352	1480	0.0134	0.002	gene-LOC134756753	1200	primary_sufficient
gene-LOC115930071	NC_073239.2	35519992	35579614	+	20	7	2837	2414	0.851	423	423	419	0.0017	0.0012	gene-LOC101124683	423	primary_sufficient
gene-ADAM10	NC_073240.2	59361131	59515410	-	15	5	2749	2749	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-NAA50	NC_086017.1	124590243	124617777	-	6	2	2296	2288	0.997	8	0	8	0.0142	0.002	gene-LOC109025744	8	primary_sufficient
gene-LOC101129940	NC_073224.2	124986535	125007813	-	6	2	2280	855	0.375	1425	1304	1422	0.018	0.0033	gene-SEC22B	665	primary_sufficient
gene-SEC22B	NC_073224.2	117114420	117136411	+	4	2	2258	672	0.298	1586	1393	1586	0.0207	0.0008	gene-LOC101129940	769	primary_sufficient
gene-LOC129525219	NC_073224.2	130160571	130181849	-	7	3	2235	736	0.329	1499	1407	1496	0.0143	0.0031	gene-LOC101129940	758	primary_sufficient
gene-NT5C2	NC_073232.2	115365047	115553069	-	40	8	2107	2107	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-COPA	NC_073224.2	96481395	96535481	+	33	8	1879	1879	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-PCNP	NC_086017.1	112430395	112451022	+	6	2	1586	1586	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-SDHA	NC_073243.2	112081986	112119378	-	14	5	1577	1576	0.999	1	0	1	0.0292	0.0232	NC_086017.1:intergenic	1	primary_sufficient
gene-LOC115933250	NC_073242.2	30711356	30779481	-	35	8	1437	1231	0.857	206	163	205	0.0088	0.004	gene-LOC101136480	149	primary_sufficient
gene-NUDCD3	NC_073230.2	52209701	52311967	-	6	2	1406	1406	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-RAB5B	NC_073234.2	45370427	45391130	-	7	3	1366	1366	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-RRN3	NC_073242.2	29559520	29593927	-	17	6	1301	1292	0.993	9	8	7	0.012	0.0053	gene-LOC101142371	8	primary_sufficient
gene-ASPH	NC_073231.2	58672560	58896208	+	34	8	1258	1258	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-TMEM185A	NC_073247.2	161414171	161449443	+	7	3	982	980	0.998	2	0	2	0.111	0.0258	gene-LOC129530020	2	primary_sufficient
gene-TUBGCP5	NC_073240.2	23992778	24049815	-	28	8	945	767	0.812	178	177	176	0.0022	0.0004	gene-LOC115932683	177	primary_sufficient
gene-WASHC2C	NC_073232.2	69589290	69654539	+	34	8	905	502	0.555	403	271	402	0.0115	0.0029	gene-LOC101143038	270	primary_sufficient
gene-LOC101143038	NC_073232.2	65721688	65786897	-	34	8	903	389	0.431	514	493	513	0.0123	0.0011	gene-WASHC2C	492	primary_sufficient
gene-ACTN1	NC_073239.2	85769349	85874773	-	25	8	899	899	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-HSPA4L	NC_073227.2	147946058	147995579	+	19	7	891	891	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-NSF	NC_073228.2	45507688	45675839	-	22	8	888	888	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-BNIP2	NC_073240.2	60429833	60456530	-	12	4	877	877	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-STAU1	NC_073245.2	61368222	61443072	-	24	8	859	859	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-SPIDR	NC_073231.2	73084719	73561150	-	35	8	818	818	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-ACADM	NC_073224.2	164205610	164243411	-	13	5	797	797	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-SCP2	NC_073224.2	186926334	187049535	-	17	6	797	797	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-PARN	NC_073242.2	32534245	32727507	+	32	8	789	736	0.933	53	42	50	0.0014	0.0007	gene-LOC115932699	42	primary_sufficient
gene-LOC101136692	NC_073236.2	46617150	46674275	+	32	8	787	637	0.809	150	148	150	0.0212	0.0013	gene-LOC109025447	136	primary_sufficient
gene-INTS4	NC_073233.2	85747758	85870816	-	22	8	761	760	0.999	1	1	1	0.0913	0.0742	gene-LOC129523663	1	primary_sufficient
gene-REEP5	NC_073228.2	116717659	116757781	-	4	2	754	754	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115930576	NC_073224.2	218434289	218484751	+	36	8	750	393	0.524	357	327	351	0.0118	0.0057	gene-LOC101131274	331	primary_sufficient
gene-LOC101131274	NC_073224.2	218361366	218405843	-	21	7	732	356	0.486	376	355	359	0.1726	0.0077	gene-LOC115930576	355	primary_sufficient
gene-CD99	NC_073247.2	11949041	11999977	+	16	6	719	347	0.483	372	372	372	0.0059	0.0059	gene-CD99-2	372	primary_sufficient
gene-CD99-2	NC_073248.2	9270499	9321462	+	16	6	719	372	0.517	347	347	347	0.0058	0.0058	gene-CD99	347	primary_sufficient
gene-AP3B1	NC_073243.2	33382750	33678753	+	28	8	699	694	0.993	5	4	5	0.0111	0.0006	gene-LOC115932769	4	primary_sufficient
gene-CTNNA2	NC_073236.2	59115562	60313746	-	28	8	694	694	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-BUB1	NC_073236.2	48216739	48260102	-	25	8	676	676	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-CXADR	NC_073246.2	19495100	19581016	+	9	3	656	656	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-PDXDC1	NC_073242.2	29484584	29537167	+	24	8	650	650	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-TVP23B	NC_073228.2	81447957	81475874	-	8	3	635	566	0.891	69	69	69	0.0232	0.0034	gene-CDRT4	68	primary_sufficient
gene-OXR1	NC_073231.2	112107051	112590266	+	22	8	631	631	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-PCMTD1	NC_073231.2	68896694	68977986	+	7	3	630	620	0.984	10	0	10	0.0118	0.0011	gene-LOC115932736	10	primary_sufficient
gene-LOC115932954	NC_073238.2	25250978	25267164	-	5	2	628	266	0.424	362	332	360	0.0074	0.0012	gene-LOC115932756	180	primary_sufficient
gene-LOC115932756	NC_073240.2	17176045	17192323	-	5	2	627	206	0.329	421	416	421	0.0076	0.0012	gene-LOC115932954	264	primary_sufficient
gene-GPHN	NC_073239.2	83395421	84070231	+	33	8	571	571	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115932680	NC_073232.2	65011226	65025568	-	4	2	557	231	0.415	326	2	326	0.0122	0.0085	NC_073232.2:intergenic	324	primary_sufficient
gene-PPIF	NC_073232.2	36372409	36400064	-	6	2	549	396	0.721	153	153	153	0.0071	0.0013	gene-LOC115932634	153	primary_sufficient
gene-LOC101126070	NC_073230.2	76189729	76438700	+	21	7	549	526	0.958	23	22	23	0.0246	0.0009	gene-LOC129534728	22	primary_sufficient
gene-STAG1	NC_086017.1	147522353	147935386	-	37	8	546	546	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC109025744	NC_073224.2	130013719	130080224	-	16	6	544	250	0.46	294	283	293	0.0155	0.007	gene-LOC134756922	271	primary_sufficient
gene-KDM5B	NC_073224.2	53955785	54036779	+	32	8	538	538	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-CES1	NC_073242.2	84922513	84952604	-	14	5	535	527	0.985	8	0	8	0.0369	0.0029	NC_073242.2:intergenic	8	primary_sufficient
gene-AQR	NC_073240.2	35559771	35669071	-	38	8	532	532	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-HERC2	NC_073240.2	29369656	29577260	-	95	8	525	253	0.482	272	0	271	0.0103	0.0031	gene-LOC115932987	269	primary_sufficient
gene-LOC129525330	NC_073224.2	125591889	125671303	-	37	8	511	141	0.276	370	313	349	0.0175	0.0121	gene-LOC115932984	92	primary_sufficient
gene-SPECC1L	NC_086018.1	21807022	21952334	+	18	6	499	499	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-NDUFA5	NC_073230.2	132558408	132644246	-	12	4	496	496	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-RNF20	NC_073237.2	97820394	97898618	+	26	8	490	490	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-SLC9A9	NC_086017.1	154449522	155031438	-	16	6	484	484	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-MDN1	NC_073229.2	113801798	113990881	-	108	8	482	482	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-NNT	NC_073243.2	68188097	68299148	-	25	8	472	472	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-SORL1	NC_073233.2	129388344	129570321	+	52	8	463	340	0.734	123	120	119	0.0067	0.0016	gene-LOC115932779	68	primary_sufficient
gene-LOC134756922	NC_073224.2	117216993	117271312	+	24	8	456	232	0.509	224	45	224	0.0152	0.0031	NC_073224.2:intergenic	156	primary_sufficient
gene-DPP6	NC_073230.2	162600590	163747467	+	30	8	449	449	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101135585	NC_073224.2	130328858	130377087	+	38	8	445	172	0.387	273	210	272	0.0291	0.0137	gene-LOC115932984	76	primary_sufficient
gene-SBDS	NC_073230.2	76181295	76189666	-	4	2	436	321	0.736	115	1	114	0.0307	0.0025	NC_073230.2:intergenic	114	primary_sufficient
gene-PARG	NC_073232.2	65938188	66068201	+	20	7	431	424	0.984	7	1	6	0.0141	0.0045	gene-TIMM23	5	primary_sufficient
gene-BTAF1	NC_073232.2	104262464	104371873	+	39	8	422	422	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-PIGN	NC_073241.2	91223381	91515247	-	38	8	417	417	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-CCDC144A	NC_073228.2	83396459	83478660	-	24	8	416	346	0.832	70	66	70	0.0104	0.0019	gene-LOC109026769	70	primary_sufficient
gene-MAMDC2	NC_073237.2	66269506	66446957	+	15	5	416	416	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LMBR1	NC_073230.2	165567317	165784494	-	23	8	414	414	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-IKBKG	NC_073247.2	166165197	166186357	+	11	4	413	385	0.932	28	24	27	0.0003	0.0002	gene-LOC115932121	25	primary_sufficient
gene-PHF24	NC_073237.2	27995227	28178494	-	12	4	413	413	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-DAPK1	NC_073237.2	83709295	83917729	+	29	8	411	97	0.236	314	75	305	0.0026	0.0008	NC_073237.2:intergenic	239	secondary_dependent_identifiable
gene-SMG1	NC_073242.2	18160668	18276360	-	66	8	409	113	0.276	296	49	296	0.0359	0.0012	NC_073242.2:intergenic	173	primary_sufficient
gene-WDR41	NC_073243.2	34059013	34261406	+	24	8	409	409	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115935778	NC_073237.2	84364299	84433944	-	25	8	408	316	0.775	92	91	81	0.002	0.0015	gene-DAPK1	91	primary_sufficient
gene-DNAJC3	NC_073238.2	110405808	110517024	+	11	4	404	404	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-MYH11	NC_073242.2	30207983	30368219	-	45	8	399	398	0.997	1	1	1	0.0146	0.0007	gene-LOC115933144	1	primary_sufficient
gene-LOC101136583	NC_073240.2	22595736	22604454	-	4	2	397	169	0.426	228	228	228	0.0047	0.0007	gene-LOC129526434	228	primary_sufficient
gene-LOC129526434	NC_073238.2	31467876	31476702	-	4	2	397	228	0.574	169	169	169	0.004	0.002	gene-LOC101136583	169	primary_sufficient
gene-RAB3IP	NC_073234.2	85042442	85118226	+	20	7	397	397	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129523505	NC_086017.1	9790497	9798438	-	11	4	396	231	0.583	165	88	165	0.0122	0.0016	gene-LOC109025132	88	primary_sufficient
gene-LOC101130554	NC_073224.2	116869739	117094926	-	60	8	389	350	0.9	39	27	39	0.0317	0.0069	gene-LOC134756922	21	primary_sufficient
gene-BCAS3	NC_073228.2	30602789	31312182	-	31	8	382	382	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-PIGK	NC_073224.2	162736526	162866375	+	12	4	372	372	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101145975	NC_073237.2	83934614	83940514	+	10	4	366	336	0.918	30	27	30	0.0114	0.0	gene-LOC129523464	28	primary_sufficient
gene-CDH3	NC_073242.2	97870018	97924185	+	17	6	365	365	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101145461	NC_073247.2	114140054	114204716	-	27	8	358	178	0.497	180	178	179	0.0004	0.0004	gene-LOC129523474	177	primary_sufficient
gene-LOC129523474	NC_073247.2	114041700	114106257	+	27	8	358	181	0.506	177	176	177	0.0004	0.0004	gene-LOC101145461	176	primary_sufficient
gene-CHCHD3	NC_073230.2	141877396	142173550	-	9	3	357	357	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-MYO9A	NC_073240.2	72662342	72969873	-	53	8	349	349	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115931069	NC_073242.2	21674069	21706179	+	11	4	349	71	0.203	278	103	278	0.0339	0.0012	NC_073242.2:intergenic	162	secondary_dependent_identifiable
gene-KIF27	NC_073237.2	80037914	80124840	-	26	8	349	348	0.997	1	0	1	0.0165	0.0044	NC_073237.2:intergenic	1	primary_sufficient
gene-LRIG2	NC_073224.2	125761395	125820438	-	20	7	349	349	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101150079	NC_073242.2	32258508	32294929	-	15	5	347	176	0.507	171	158	171	0.007	0.0007	gene-BFAR	158	primary_sufficient
gene-LOC115932749	NC_073242.2	35785099	35832757	-	25	8	346	314	0.908	32	23	32	0.0068	0.0008	gene-LOC101136971	14	primary_sufficient
gene-BFAR	NC_073242.2	32495361	32531770	-	14	5	345	171	0.496	174	162	174	0.0068	0.0006	gene-LOC101150079	162	primary_sufficient
gene-MLH1	NC_086017.1	46893057	46950852	+	21	7	343	343	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129529226	NC_073224.2	15679357	15690289	+	21	7	336	80	0.238	256	72	256	0.012	0.0028	NC_073224.2:intergenic	102	secondary_dependent_identifiable
gene-NSUN5	NC_073230.2	82395395	82402351	-	14	5	329	148	0.45	181	165	181	0.0501	0.0009	gene-LOC101131844	165	primary_sufficient
gene-LOC109025447	NC_073236.2	47672272	47781828	+	30	8	326	193	0.592	133	131	133	0.0247	0.0015	gene-RGPD8	46	primary_sufficient
gene-LOC129527620	NC_073242.2	28623623	28647617	+	13	5	325	160	0.492	165	160	164	0.0084	0.0006	gene-LOC115933250	127	primary_sufficient
gene-LOC134758712	NC_073224.2	15783688	15791568	+	9	3	323	82	0.254	241	159	238	0.0082	0.0012	NC_073224.2:intergenic	73	primary_sufficient
gene-LAMA2	NC_073229.2	153072798	153704162	+	70	8	321	321	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129527586	NC_073242.2	21138253	21170370	-	10	4	319	31	0.097	288	75	273	0.0361	0.0024	NC_073242.2:intergenic	169	secondary_dependent_identifiable
gene-MICU2	NC_073238.2	35786794	35898338	-	12	4	317	297	0.937	20	0	19	0.0011	0.0011	gene-LOC134759078	10	primary_sufficient
gene-JMJD1C	NC_073232.2	52247449	52595750	+	32	8	317	317	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101131844	NC_073230.2	84201815	84209121	+	19	7	316	180	0.57	136	136	136	0.0238	0.0003	gene-NSUN5	136	primary_sufficient
gene-LOC129530050-2	NC_073248.2	8111113	8116269	-	3	2	315	122	0.387	193	109	169	0.003	0.0	gene-LOC129530050	109	primary_sufficient
gene-LOC129530050	NC_073247.2	10802564	10807745	-	3	2	315	193	0.613	122	75	122	0.0055	0.004	gene-LOC129530050-2	75	primary_sufficient
gene-BDP1	NC_073243.2	40146127	40356181	-	44	8	314	314	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC134758744	NC_073224.2	19225183	19235592	-	20	7	311	11	0.035	300	81	299	0.0124	0.0023	NC_073224.2:intergenic	79	secondary_dependent_identifiable
gene-LOC115932987	NC_073240.2	23337812	23348070	-	7	3	310	282	0.91	28	5	28	0.0103	0.0008	NC_073240.2:intergenic	23	primary_sufficient
gene-LRCH3	NC_086017.1	211103999	211205395	-	29	8	305	305	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-TPST2	NC_086018.1	24544697	24610013	-	8	3	304	304	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-ARHGEF7	NC_073238.2	125852578	126043314	+	36	8	300	300	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-TAOK3	NC_073234.2	133555062	133777545	-	26	8	295	295	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-KMT2C	NC_073230.2	160955197	161255371	-	73	8	295	295	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129531982	NC_073224.2	29070816	29081209	-	22	8	294	57	0.194	237	38	237	0.0116	0.0024	NC_073224.2:intergenic	85	secondary_dependent_identifiable
gene-LOC101128637	NC_073224.2	124490903	124553703	+	15	5	294	249	0.847	45	30	44	0.0097	0.0078	gene-GPR89A	30	primary_sufficient
gene-LRWD1	NC_073230.2	86050166	86058198	+	16	6	294	294	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-GBA1	NC_073224.2	101575329	101587070	+	14	5	294	284	0.966	10	1	10	0.028	0.0013	NC_073224.2:intergenic	9	primary_sufficient
gene-LOC115933728	NC_073235.2	31723374	31730253	-	4	2	292	103	0.353	189	189	188	0.0079	0.0	gene-TUBA3E	189	primary_sufficient
gene-TUBA3E	NC_073235.2	32697746	32704508	+	4	2	292	189	0.647	103	103	101	0.008	0.0007	gene-LOC115933728	103	primary_sufficient
gene-FANCC	NC_073237.2	91552006	91770445	-	24	8	290	290	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-VPS13B	NC_073231.2	104835935	105705878	+	78	8	289	289	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115936027	NC_073232.2	13920809	13935433	+	8	3	283	238	0.841	45	29	45	0.0271	0.0016	gene-LOC101146324	29	primary_sufficient
gene-THOC3	NC_073228.2	179796832	179805703	-	5	2	281	114	0.406	167	158	167	0.0078	0.003	gene-LOC101131460	158	primary_sufficient
gene-LETM1	NC_073227.2	10391288	10435181	-	15	5	281	274	0.975	7	5	7	0.018	0.0058	gene-LOC134757056	2	primary_sufficient
gene-LOC101131460	NC_073228.2	182779393	182788766	-	5	2	280	167	0.596	113	105	113	0.0064	0.0019	gene-THOC3	105	primary_sufficient
gene-SGMS1	NC_073232.2	65169157	65482922	+	16	6	273	273	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-DBNL	NC_073230.2	51866191	51888049	+	16	6	266	266	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-DLG2	NC_073233.2	91336514	93529619	-	46	8	263	263	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115932735	NC_073224.2	124270393	124322579	-	24	8	263	259	0.985	4	4	4	0.0287	0.002	gene-LOC109029488	4	primary_sufficient
gene-SNU13	NC_086018.1	39678690	39695230	-	6	2	262	262	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-KIZ	NC_073245.2	31134158	31254735	+	19	7	260	260	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-MYO1E	NC_073240.2	59907356	60147552	-	27	8	259	259	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101141821	NC_073236.2	32340169	32375422	+	12	4	259	251	0.969	8	8	8	0.0172	0.0011	gene-LOC115933573	8	primary_sufficient
gene-LOC115932994	NC_073228.2	83258345	83265027	+	18	6	256	243	0.949	13	5	13	0.0236	0.0008	gene-LOC129533365	13	primary_sufficient
gene-WDR89	NC_073239.2	80497543	80542130	-	9	3	254	254	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101154433	NC_073242.2	99604419	99622880	+	16	6	253	67	0.265	186	186	186	0.0129	0.0009	gene-LOC115930161	114	primary_sufficient
gene-LOC115930161	NC_073242.2	99173576	99197165	+	16	6	250	114	0.456	136	132	136	0.012	0.0006	gene-LOC101154433	63	primary_sufficient
gene-LOC129532042	NC_073224.2	15902820	15912706	+	19	7	250	86	0.344	164	51	157	0.0108	0.0025	NC_073224.2:intergenic	70	primary_sufficient
gene-DPY19L2	NC_073234.2	37699001	37809557	+	30	8	250	237	0.948	13	3	13	0.0391	0.001	NC_073230.2:intergenic	10	primary_sufficient
gene-NF1	NC_073228.2	61428198	61688398	+	65	8	250	249	0.996	1	1	1	0.0162	0.014	gene-LOC115933340	1	primary_sufficient
gene-PTPRG	NC_086017.1	71417489	72147889	+	32	8	248	248	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-GRAMD1C	NC_086017.1	124700725	124819932	+	19	7	247	247	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-FOCAD	NC_073237.2	43454721	43767326	-	47	8	243	243	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-KDM8	NC_073242.2	26838363	26887321	+	12	4	241	75	0.311	166	150	164	0.0021	0.0014	gene-LOC129523519	152	primary_sufficient
gene-C4A	NC_073229.2	49583444	49597698	+	40	8	240	119	0.496	121	120	121	0.003	0.0015	gene-C4B	120	primary_sufficient
gene-C4B	NC_073229.2	49609903	49624157	+	41	8	240	121	0.504	119	117	119	0.0035	0.0018	gene-C4A	117	primary_sufficient
gene-LOC101143223	NC_073228.2	62386764	62419238	-	13	5	238	224	0.941	14	13	14	0.0025	0.0002	gene-LOC101128092	13	primary_sufficient
gene-PI4KA	NC_086018.1	18253435	18404162	-	58	8	235	220	0.936	15	10	15	0.0164	0.0014	gene-LOC101134596	10	primary_sufficient
gene-LOC101125154	NC_073236.2	35017222	35173888	+	73	8	234	65	0.278	169	165	150	0.0271	0.0073	gene-ANKRD36C	149	primary_sufficient
gene-LOC101135984	NC_073242.2	28555529	28619635	+	14	5	234	78	0.333	156	153	156	0.0078	0.0016	gene-TXNDC11	153	primary_sufficient
gene-PDCD6	NC_073243.2	112027796	112070733	-	6	2	234	234	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101134642	NC_073235.2	32714764	32744123	+	25	8	231	186	0.805	45	41	44	0.0363	0.0037	gene-LOC101148384	43	primary_sufficient
gene-LOC129527585	NC_073242.2	21112721	21135807	-	19	7	229	66	0.288	163	37	130	0.0189	0.0062	gene-LOC101131923	71	primary_sufficient
gene-LOC109025132	NC_073229.2	17703031	17720153	-	11	4	229	113	0.493	116	37	92	0.0156	0.0098	NC_073234.2:intergenic	61	primary_sufficient
gene-ANKRD36C	NC_073236.2	33699714	33873450	-	81	8	228	170	0.746	58	57	55	0.0354	0.0019	gene-LOC101125154	55	primary_sufficient
gene-SHLD2	NC_073232.2	99479086	99576096	+	21	7	228	228	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129523519	NC_073242.2	27042424	27175493	+	13	5	225	154	0.684	71	71	71	0.0016	0.0016	gene-KDM8	71	primary_sufficient
gene-MYO5C	NC_073240.2	52959734	53062087	-	46	8	225	225	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129529986	NC_073247.2	164442448	164446088	-	2	2	224	117	0.522	107	107	107	0.0006	0.0006	gene-LOC129529976	107	primary_sufficient
gene-LOC129529976	NC_073247.2	164381206	164384846	+	2	2	224	107	0.478	117	117	117	0.0006	0.0006	gene-LOC129529986	117	primary_sufficient
gene-FRS2	NC_073234.2	84781965	84891865	+	17	6	224	224	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-NSMAF	NC_073231.2	61728586	61805853	+	32	8	222	222	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101134912	NC_073242.2	21706068	21745177	+	20	7	219	88	0.402	131	94	131	0.0173	0.0016	gene-LOC129527585	64	primary_sufficient
gene-LOC101135276	NC_073242.2	22021251	22070305	+	14	5	215	3	0.014	212	54	212	0.0334	0.0016	NC_073242.2:intergenic	157	secondary_dependent_identifiable
gene-DMD	NC_073247.2	41648194	43739260	-	86	8	214	214	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-ARMCX1	NC_073247.2	113283871	113332383	+	6	2	211	211	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-BRD9	NC_073243.2	111287392	111316656	+	25	8	209	206	0.986	3	0	3	0.0163	0.0012	gene-LOC115933775	3	primary_sufficient
gene-ZYG11B	NC_073224.2	187158144	187259241	-	14	5	205	205	1.0	0	0	0	None	None	None	0	primary_sufficient
