gene_a	chrom_a	gene_b	chrom_b	core_cov	core_ident	same_chrom
LOC129524366	NC_073231.2	LOC134759007	NC_073231.2	1.0	0.993	1
LOC129524365	NC_073231.2	LOC134758998	NC_073231.2	1.0	0.993	1
LOC129524372	NC_073231.2	LOC134758998	NC_073231.2	1.0	0.993	1
LOC134758998	NC_073231.2	LOC134759004	NC_073231.2	1.0	0.993	1
LOC134758998	NC_073231.2	LOC134759005	NC_073231.2	1.0	0.993	1
LOC129524362	NC_073231.2	LOC134758998	NC_073231.2	1.0	0.993	1
LOC129526469	NC_073236.2	LOC129527191	NC_073238.2	1.0	0.993	0
LOC129526391	NC_073236.2	LOC129527283	NC_073240.2	0.854	0.993	0
LOC134756437	NC_073224.2	LOC134758754	NC_073224.2	0.901	0.993	1
LOC101134027	NC_073227.2	SEC22B	NC_073224.2	0.814	0.993	0
LOC129528467	NC_073241.2	LOC129529385	NC_073246.2	0.496	0.993	0
LOC101125574	NC_073229.2	LOC129534225	NC_073229.2	1.0	0.993	1
LOC134759001	NC_073231.2	LOC134759007	NC_073231.2	1.0	0.993	1
LOC109026103	NC_086017.1	SS18	NC_073241.2	0.606	0.993	0
LOC129524356	NC_073231.2	LOC129524357	NC_073231.2	1.0	0.993	1
LOC129524357	NC_073231.2	LOC134759000	NC_073231.2	1.0	0.993	1
LOC129524357	NC_073231.2	LOC129524371	NC_073231.2	1.0	0.993	1
LOC129528445	NC_073241.2	LOC129529385	NC_073246.2	0.648	0.993	0
LOC129524357	NC_073231.2	LOC134759006	NC_073231.2	1.0	0.993	1
LOC134758998	NC_073231.2	LOC134759001	NC_073231.2	1.0	0.993	1
LOC134759000	NC_073231.2	LOC134759001	NC_073231.2	1.0	0.993	1
LOC129524355	NC_073231.2	LOC134759001	NC_073231.2	1.0	0.993	1
LOC129524356	NC_073231.2	LOC134759001	NC_073231.2	1.0	0.993	1
LOC129524371	NC_073231.2	LOC134759001	NC_073231.2	1.0	0.993	1
LOC129524357	NC_073231.2	LOC134758998	NC_073231.2	1.0	0.993	1
LOC129524357	NC_073231.2	LOC134759001	NC_073231.2	1.0	0.993	1
LOC134759001	NC_073231.2	LOC134759003	NC_073231.2	1.0	0.993	1
ARL5A	NC_073235.2	LOC134757235	NC_073240.2	0.569	0.993	0
LOC101144932	NC_073228.2	LOC129525065	NC_073232.2	0.276	0.993	0
LOC101138028	NC_073236.2	LOC115933342	NC_073236.2	1.0	0.993	1
LOC129526398	NC_073238.2	LOC134757216	NC_073240.2	0.346	0.993	0
LOC129524600	NC_073237.2	LOC129528445	NC_073241.2	0.329	0.993	0
LOC101125118	NC_073247.2	LOC115932226	NC_073247.2	0.653	0.993	1
LOC115932226	NC_073247.2	LOC115932251	NC_073247.2	0.653	0.993	1
LOC115932226	NC_073247.2	LOC115932289	NC_073247.2	0.653	0.993	1
LOC115932226	NC_073247.2	LOC115932294	NC_073247.2	0.653	0.993	1
LOC115932226	NC_073247.2	LOC129529694	NC_073247.2	0.653	0.993	1
LOC129525066	NC_086017.1	LOC129526909	NC_073239.2	0.943	0.993	0
LOC115933227	NC_073227.2	LOC129525066	NC_086017.1	0.943	0.993	0
LOC129534554	NC_073229.2	LOC134758127	NC_086017.1	0.98	0.993	0
LOC129531983	NC_073224.2	LOC134758754	NC_073224.2	0.365	0.993	1
LOC129525208	NC_073224.2	SORT1	NC_073224.2	0.328	0.993	1
LOC129529234	NC_073224.2	LOC134758754	NC_073224.2	0.448	0.993	1
LOC129528441	NC_073241.2	LOC129529385	NC_073246.2	0.496	0.993	0
LOC129524654	NC_073237.2	LOC129529385	NC_073246.2	0.496	0.993	0
LOC129523581	NC_073224.2	SORT1	NC_073224.2	0.338	0.993	1
LOC115933182	NC_073230.2	LOC115933194	NC_086017.1	0.999	0.993	0
LOC129528163	NC_073241.2	LOC129529385	NC_073246.2	0.864	0.993	0
LOC129525066	NC_086017.1	LOC134757295	NC_073240.2	0.71	0.993	0
LOC115931047	NC_073242.2	SULT1A2	NC_073242.2	0.813	0.993	1
FFAR3	NC_073244.2	LOC101143734	NC_073244.2	1.0	0.993	1
LOC129525684	NC_073234.2	LOC129526565	NC_073241.2	0.924	0.993	0
LOC129529615	NC_086018.1	LOC129529620	NC_086018.1	0.406	0.993	1
LOC129525641	NC_073234.2	LOC129528141	NC_073231.2	0.793	0.993	0
LOC129526471	NC_073236.2	LOC134756947	NC_073238.2	0.787	0.993	0
LOC129523959	NC_073224.2	LOC129528141	NC_073231.2	0.794	0.993	0
LOC134757073	NC_073238.2	LOC134757392	NC_073241.2	0.518	0.993	0
LOC115932987	NC_073240.2	LOC129527258	NC_073240.2	0.537	0.993	1
LOC109024570	NC_086018.1	LOC129529621	NC_086018.1	0.877	0.993	1
LOC129523739	NC_073230.2	LOC129523993	NC_073224.2	1.0	0.993	0
LOC129523739	NC_073230.2	LOC129528382	NC_073241.2	1.0	0.993	0
LOC109024570	NC_086018.1	LOC129523490	NC_086018.1	0.874	0.993	1
LOC129528259	NC_073241.2	LOC129530539	NC_073235.2	0.816	0.993	0
LOC129528733	NC_073233.2	LOC129530539	NC_073235.2	0.816	0.993	0
LOC129524654	NC_073237.2	LOC129528163	NC_073241.2	0.71	0.993	0
LOC129528163	NC_073241.2	LOC129528441	NC_073241.2	0.71	0.993	1
LOC101142376	NC_073244.2	LOC115933194	NC_086017.1	0.831	0.993	0
LOC115936058	NC_073229.2	LOC134758964	NC_073230.2	0.809	0.993	0
LOC129525765	NC_073234.2	LOC134756371	NC_073227.2	1.0	0.993	0
LOC129527885	NC_073243.2	LOC134756371	NC_073227.2	1.0	0.993	0
LOC129525066	NC_086017.1	LOC129525554	NC_073233.2	0.766	0.993	0
LOC115933091	NC_073233.2	LOC129523819	NC_073230.2	0.561	0.993	0
LOC115935978	NC_073232.2	LOC129525008	NC_073232.2	0.397	0.993	1
LOC115930210	NC_073234.2	RPL7	NC_073231.2	0.999	0.993	0
LOC129526385	NC_073238.2	LOC129528452	NC_073241.2	0.998	0.993	0
LOC101136743	NC_073236.2	LOC129523934	NC_073230.2	0.394	0.993	0
LOC129523934	NC_073230.2	LOC129527370	NC_073240.2	0.322	0.993	0
LOC129524667	NC_073237.2	LOC129526385	NC_073238.2	0.833	0.993	0
LOC129526471	NC_073236.2	LOC129530491	NC_073246.2	0.879	0.993	0
LOC129526566	NC_073239.2	LOC129532626	NC_086017.1	1.0	0.993	0
LOC129530491	NC_073246.2	LOC134756947	NC_073238.2	0.879	0.993	0
LOC101134038	NC_073224.2	RPL10	NC_073247.2	0.957	0.993	0
KMT2C	NC_073230.2	LOC129530485	NC_073246.2	0.947	0.993	0
LOC101129998	NC_073242.2	LOC115931075	NC_073242.2	0.492	0.993	1
LOC129528462	NC_073241.2	LOC134756446	NC_073246.2	0.841	0.993	0
LOC129528750	NC_073244.2	MORN5	NC_073237.2	0.733	0.993	0
LOC129532026	NC_073224.2	LOC134757815	NC_073224.2	0.219	0.993	1
LOC115932622	NC_073233.2	LOC115936287	NC_073233.2	1.0	0.993	1
LOC129527430	NC_073242.2	LOC129534555	NC_073229.2	0.642	0.993	0
LOC115932623	NC_073233.2	LOC115936287	NC_073233.2	1.0	0.993	1
LOC101132445	NC_073247.2	LOC129529770	NC_073247.2	0.99	0.993	1
LOC129529770	NC_073247.2	LOC129529771	NC_073247.2	1.0	0.993	1
LOC129533340	NC_073224.2	LOC134757816	NC_073224.2	1.0	0.993	1
C17H18orf32	NC_073241.2	LOC115934570	NC_073228.2	1.0	0.993	0
LOC101129521	NC_073240.2	LOC101137306	NC_073234.2	0.508	0.993	0
LOC129526003	NC_073234.2	LOC129527370	NC_073240.2	0.178	0.993	0
LOC129527370	NC_073240.2	LOC129527948	NC_073243.2	0.178	0.993	0
LOC129527370	NC_073240.2	LOC129528141	NC_073231.2	0.332	0.993	0
LOC101136299	NC_073247.2	LOC129530061	NC_073247.2	1.0	0.993	1
LOC101130238	NC_073228.2	LOC101130614	NC_073228.2	0.567	0.993	1
LOC101136299	NC_073247.2	LOC129530067	NC_073247.2	1.0	0.993	1
LOC101143299	NC_073234.2	RPS26	NC_073234.2	0.914	0.993	1
LOC129529380	NC_073238.2	LOC129530498	NC_073246.2	0.907	0.993	0
LOC101128472	NC_073229.2	LOC115934962	NC_073229.2	0.985	0.993	1
LOC101138851	NC_073231.2	LOC129533959	NC_073228.2	0.902	0.993	0
LOC129524667	NC_073237.2	LOC129528228	NC_073241.2	0.968	0.993	0
LOC129524600	NC_073237.2	LOC129524659	NC_073237.2	0.868	0.993	1
LOC101138851	NC_073231.2	RPL21	NC_073238.2	0.858	0.993	0
LOC129524659	NC_073237.2	LOC129530544	NC_073236.2	0.866	0.993	0
LOC129532621	NC_086017.1	LOC129534554	NC_073229.2	0.435	0.993	0
LOC129530544	NC_073236.2	LOC134756432	NC_073236.2	0.493	0.993	1
LOC129530544	NC_073236.2	LOC134757222	NC_073240.2	0.493	0.993	0
LOC101134115	NC_073229.2	LOC115934951	NC_073229.2	0.674	0.993	1
LOC129534569	NC_073229.2	LOC134759270	NC_073232.2	0.321	0.993	0
LOC129525411	NC_073233.2	LOC129534569	NC_073229.2	0.321	0.993	0
LOC129534569	NC_073229.2	SLC35F5	NC_073235.2	0.321	0.993	0
LOC129524833	NC_073239.2	LOC129534569	NC_073229.2	0.321	0.993	0
LOC115930164	NC_073224.2	LOC134756448	NC_073224.2	0.674	0.993	1
AK6	NC_073243.2	LOC101141762	NC_073245.2	0.161	0.993	0
LOC101131561	NC_073242.2	LOC115933066	NC_073242.2	0.325	0.992	1
LOC129534585	NC_073224.2	LOC129534707	NC_073224.2	0.562	0.992	1
AHCTF1	NC_073224.2	LOC101139146	NC_073235.2	0.404	0.992	0
LOC129529247	NC_073224.2	LOC129532055	NC_073224.2	0.419	0.992	1
LOC115930779	NC_073240.2	LOC129527175	NC_073240.2	0.375	0.992	1
LOC129534219	NC_073229.2	ZC3H11C	NC_073229.2	0.998	0.992	1
LOC115931980	NC_086018.1	LOC129529613	NC_086018.1	1.0	0.992	1
LOC129534075	NC_073229.2	LOC129534219	NC_073229.2	0.935	0.992	1
LOC115936187	NC_073229.2	LOC129534075	NC_073229.2	0.692	0.992	1
LOC129534073	NC_073229.2	ZC3H11C	NC_073229.2	1.0	0.992	1
LOC115936187	NC_073229.2	ZC3H11C	NC_073229.2	0.736	0.992	1
LOC101123746	NC_073229.2	LOC115936187	NC_073229.2	0.693	0.992	1
LOC129534074	NC_073229.2	ZC3H11C	NC_073229.2	0.995	0.992	1
LOC101128796	NC_073224.2	LOC134758759	NC_073224.2	0.561	0.992	1
LOC101128796	NC_073224.2	LOC129529247	NC_073224.2	0.98	0.992	1
LOC115930779	NC_073240.2	LOC134757232	NC_073240.2	0.434	0.992	1
LOC101128796	NC_073224.2	LOC134758715	NC_073224.2	0.84	0.992	1
LOC129531977	NC_073224.2	LOC129532055	NC_073224.2	0.466	0.992	1
LOC101142994	NC_073238.2	LOC134756975	NC_073238.2	0.633	0.992	1
LOC129531977	NC_073224.2	LOC134758715	NC_073224.2	0.734	0.992	1
LOC101136480	NC_073242.2	LOC115933250	NC_073242.2	0.99	0.992	1
LOC101127609	NC_073242.2	LOC115930161	NC_073242.2	0.21	0.992	1
LOC115932984	NC_073224.2	LOC129525331	NC_073224.2	0.351	0.992	1
LOC129525641	NC_073234.2	SLC35F5	NC_073235.2	0.337	0.992	0
LOC129525331	NC_073224.2	LOC134756861	NC_073224.2	0.721	0.992	1
LOC115933235	NC_073224.2	LOC134756861	NC_073224.2	0.747	0.992	1
LOC101144552	NC_073235.2	LOC129532017	NC_073235.2	0.28	0.992	1
LOC129528455	NC_073241.2	LOC129530464	NC_073238.2	0.959	0.992	0
LOC129534588	NC_073224.2	PLA2G4B	NC_073240.2	0.343	0.992	0
LOC101130854	NC_073242.2	LOC115933071	NC_073242.2	0.39	0.992	1
LOC129526379	NC_073238.2	LOC129528466	NC_073241.2	0.558	0.992	0
LOC129523468	NC_073236.2	LOC129523511	NC_073227.2	0.422	0.992	0
LOC129524653	NC_073237.2	LOC129528466	NC_073241.2	0.414	0.992	0
LOC101130871	NC_073228.2	LOC115933006	NC_073228.2	0.518	0.992	1
LOC101129526	NC_073242.2	LOC115931016	NC_073242.2	0.799	0.992	1
LOC129524653	NC_073237.2	LOC129524658	NC_073237.2	0.484	0.992	1
LOC129528444	NC_073241.2	LOC129528466	NC_073241.2	0.487	0.992	1
LOC129524663	NC_073237.2	LOC134757055	NC_073238.2	0.544	0.992	0
LOC129528459	NC_073241.2	LOC134757055	NC_073238.2	0.544	0.992	0
AGAP6	NC_073232.2	LOC129525050	NC_073232.2	0.919	0.992	1
LOC129528459	NC_073241.2	LOC129528466	NC_073241.2	0.488	0.992	1
LOC101134109	NC_073236.2	UAP1	NC_073224.2	0.574	0.992	0
LOC129524658	NC_073237.2	LOC129530382	NC_073248.2	0.391	0.992	0
LOC129528469	NC_073241.2	LOC134757055	NC_073238.2	0.503	0.992	0
LOC115932781	NC_073242.2	LOC129527568	NC_073242.2	0.151	0.992	1
LOC129524833	NC_073239.2	LOC129526580	NC_073242.2	0.455	0.992	0
LOC129525008	NC_073232.2	LOC129525050	NC_073232.2	0.566	0.992	1
LOC129526580	NC_073242.2	LOC134759270	NC_073232.2	0.453	0.992	0
LOC129526580	NC_073242.2	LOC129528719	NC_073244.2	0.454	0.992	0
LOC115933182	NC_073230.2	LOC115933227	NC_073227.2	0.971	0.992	0
LOC101136743	NC_073236.2	LOC129534553	NC_073229.2	0.284	0.992	0
LOC129524833	NC_073239.2	LOC129534553	NC_073229.2	0.882	0.992	0
LOC115930163	NC_073242.2	LOC115932828	NC_073242.2	1.0	0.992	1
HSPA1A	NC_073229.2	LOC101131586	NC_073229.2	0.862	0.992	1
LOC101126658	NC_086018.1	LOC101135843	NC_086018.1	0.632	0.992	1
LOC101126658	NC_086018.1	LOC129529618	NC_086018.1	0.631	0.992	1
LOC115930164	NC_073224.2	LOC115933275	NC_073224.2	0.533	0.992	1
LOC129523959	NC_073224.2	LOC129527948	NC_073243.2	0.527	0.992	0
LOC115931421	NC_073241.2	LOC129527948	NC_073243.2	0.527	0.992	0
LOC101136480	NC_073242.2	LOC129527620	NC_073242.2	0.695	0.992	1
LOC101125919	NC_073243.2	LOC115931292	NC_073243.2	0.916	0.992	1
LOC115931292	NC_073243.2	LOC134757580	NC_073243.2	0.916	0.992	1
LOC115931292	NC_073243.2	LOC134757581	NC_073243.2	0.916	0.992	1
LOC115932756	NC_073240.2	LOC134756368	NC_073236.2	0.795	0.992	0
LOC129525641	NC_073234.2	LOC129526003	NC_073234.2	0.527	0.992	1
LOC129526003	NC_073234.2	LOC129530133	NC_073247.2	0.527	0.992	0
LOC129524028	NC_073231.2	LOC129525579	NC_073233.2	0.527	0.992	0
LOC101141855	NC_073242.2	LOC129527636	NC_073242.2	0.21	0.992	1
LOC115932819	NC_073236.2	LOC115933013	NC_073238.2	1.0	0.992	0
LOC129532627	NC_086017.1	LOC134759270	NC_073232.2	0.531	0.992	0
LOC129528719	NC_073244.2	LOC129532627	NC_086017.1	0.47	0.992	0
LOC129526580	NC_073242.2	LOC129533288	NC_073227.2	0.39	0.992	0
LOC129524028	NC_073231.2	LOC129532627	NC_086017.1	0.47	0.992	0
LOC129525023	NC_073232.2	LOC129527948	NC_073243.2	0.258	0.992	0
LOC129530133	NC_073247.2	SLC35F5	NC_073235.2	0.731	0.992	0
LOC129523934	NC_073230.2	LOC129524028	NC_073231.2	0.733	0.992	0
LOC129523934	NC_073230.2	LOC129534553	NC_073229.2	0.733	0.992	0
LOC129525023	NC_073232.2	LOC129532627	NC_086017.1	0.417	0.992	0
LOC129528719	NC_073244.2	LOC129533288	NC_073227.2	0.208	0.992	0
LOC129523934	NC_073230.2	LOC129532895	NC_073227.2	0.733	0.992	0
LOC129526003	NC_073234.2	LOC129532627	NC_086017.1	0.527	0.992	0
LOC129527948	NC_073243.2	LOC129534553	NC_073229.2	0.527	0.992	0
LOC129524833	NC_073239.2	LOC129533288	NC_073227.2	0.389	0.992	0
LOC129525684	NC_073234.2	LOC134757295	NC_073240.2	0.914	0.992	0
LOC101134596	NC_086018.1	PI4KA	NC_086018.1	0.3	0.992	1
LOC101143460	NC_073228.2	LOC109026769	NC_073228.2	0.978	0.992	1
LOC115931040	NC_073240.2	LOC129531435	NC_073236.2	0.708	0.992	0
LOC115930119	NC_073229.2	LOC115933182	NC_073230.2	0.999	0.992	0
LOC115931970	NC_086018.1	LOC129529612	NC_086018.1	0.353	0.992	1
LOC129523934	NC_073230.2	LOC129523959	NC_073224.2	0.569	0.992	0
LOC129528719	NC_073244.2	LOC129531748	NC_073236.2	0.463	0.992	0
LOC115930161	NC_073242.2	LOC129527724	NC_073242.2	0.153	0.992	1
LOC134758991	NC_073231.2	LOC134758995	NC_073231.2	0.924	0.992	1
LOC115930119	NC_073229.2	LOC129526909	NC_073239.2	0.938	0.992	0
LOC129533142	NC_073227.2	SH3KBP1	NC_073247.2	0.744	0.992	0
LOC115933423	NC_073238.2	LOC129527244	NC_073240.2	0.848	0.992	0
LOC115935842	NC_073236.2	LOC129524766	NC_073237.2	0.437	0.992	0
LOC134758981	NC_073231.2	LOC134758991	NC_073231.2	0.887	0.992	1
LOC115930119	NC_073229.2	LOC129525684	NC_073234.2	0.885	0.992	0
LOC129523819	NC_073230.2	LOC129532956	NC_073227.2	0.601	0.992	0
LOC115933184	NC_073230.2	LOC115933216	NC_073230.2	0.936	0.992	1
LOC101131460	NC_073228.2	THOC3	NC_073228.2	0.999	0.992	1
LOC129523934	NC_073230.2	LOC129525579	NC_073233.2	0.293	0.992	0
LOC129523543	NC_073240.2	LOC129526914	NC_073240.2	0.391	0.992	1
LOC129523819	NC_073230.2	LOC134756358	NC_073242.2	1.0	0.992	0
LOC101126658	NC_086018.1	LOC115931971	NC_086018.1	0.616	0.992	1
LOC129524036	NC_073243.2	LOC129526003	NC_073234.2	0.717	0.992	0
LOC129528440	NC_073241.2	LOC129528455	NC_073241.2	0.736	0.992	1
LOC129524036	NC_073243.2	LOC129527948	NC_073243.2	0.717	0.992	1
LOC129528440	NC_073241.2	LOC129530382	NC_073248.2	0.425	0.992	0
LOC101125919	NC_073243.2	LOC134757579	NC_073243.2	0.989	0.992	1
LOC134757579	NC_073243.2	LOC134757580	NC_073243.2	0.989	0.992	1
LOC134757579	NC_073243.2	LOC134757581	NC_073243.2	0.989	0.992	1
LOC129524356	NC_073231.2	LOC134759006	NC_073231.2	1.0	0.992	1
LOC129524653	NC_073237.2	LOC129528449	NC_073241.2	0.95	0.992	0
LOC129525038	NC_073224.2	LOC134758535	NC_073224.2	1.0	0.992	1
LOC101126771	NC_073230.2	LOC115935416	NC_073230.2	1.0	0.992	1
LOC129524600	NC_073237.2	LOC129530544	NC_073236.2	0.296	0.992	0
LOC129524356	NC_073231.2	LOC134759007	NC_073231.2	1.0	0.992	1
LOC129524371	NC_073231.2	LOC134759007	NC_073231.2	1.0	0.992	1
LOC129524363	NC_073231.2	LOC134759000	NC_073231.2	1.0	0.992	1
LOC129524360	NC_073231.2	LOC134759000	NC_073231.2	1.0	0.992	1
LOC115932944	NC_073224.2	LOC115933122	NC_073224.2	1.0	0.992	1
LOC115933250	NC_073242.2	LOC129527569	NC_073242.2	0.267	0.992	1
LOC129524365	NC_073231.2	LOC134759006	NC_073231.2	1.0	0.992	1
LOC129524367	NC_073231.2	LOC134759000	NC_073231.2	1.0	0.992	1
LOC129524368	NC_073231.2	LOC134759000	NC_073231.2	1.0	0.992	1
LOC129524369	NC_073231.2	LOC134759000	NC_073231.2	1.0	0.992	1
LOC134759004	NC_073231.2	LOC134759006	NC_073231.2	1.0	0.992	1
LOC134759005	NC_073231.2	LOC134759006	NC_073231.2	1.0	0.992	1
LOC129524366	NC_073231.2	LOC134759000	NC_073231.2	1.0	0.992	1
LOC129524372	NC_073231.2	LOC134759006	NC_073231.2	1.0	0.992	1
LOC129524356	NC_073231.2	LOC129524360	NC_073231.2	1.0	0.992	1
LOC129524362	NC_073231.2	LOC134759006	NC_073231.2	1.0	0.992	1
LOC129524373	NC_073231.2	LOC134759002	NC_073231.2	1.0	0.992	1
LOC101126771	NC_073230.2	LOC115933184	NC_073230.2	0.924	0.992	1
LOC134759002	NC_073231.2	LOC134759003	NC_073231.2	1.0	0.992	1
LOC129524470	NC_073237.2	LOC129528441	NC_073241.2	0.744	0.992	0
LOC129524371	NC_073231.2	LOC134759002	NC_073231.2	1.0	0.992	1
LOC129524470	NC_073237.2	LOC129524654	NC_073237.2	0.743	0.992	1
LOC134758998	NC_073231.2	LOC134759002	NC_073231.2	1.0	0.992	1
LOC129524361	NC_073231.2	LOC134758998	NC_073231.2	1.0	0.992	1
LOC129524363	NC_073231.2	LOC134758998	NC_073231.2	1.0	0.992	1
LOC129524364	NC_073231.2	LOC134758998	NC_073231.2	1.0	0.992	1
LOC129524367	NC_073231.2	LOC134758998	NC_073231.2	1.0	0.992	1
LOC129524368	NC_073231.2	LOC134758998	NC_073231.2	1.0	0.992	1
LOC129524376	NC_073231.2	LOC134758998	NC_073231.2	1.0	0.992	1
LOC129524366	NC_073231.2	LOC134758998	NC_073231.2	1.0	0.992	1
LOC101126792	NC_073240.2	LOC129527191	NC_073238.2	1.0	0.992	0
LOC101138564	NC_073238.2	LOC129527211	NC_073238.2	0.55	0.992	1
LOC129531501	NC_073238.2	LOC134756831	NC_073236.2	0.375	0.992	0
HMGN1	NC_073246.2	LOC101154501	NC_073224.2	0.5	0.992	0
LOC129526471	NC_073236.2	LOC129527283	NC_073240.2	0.493	0.992	0
LOC101154187	NC_073228.2	LOC115932657	NC_073228.2	0.457	0.992	1
LOC134759001	NC_073231.2	LOC134759006	NC_073231.2	1.0	0.992	1
LOC129528194	NC_073241.2	LOC134757319	NC_073240.2	1.0	0.992	0
LOC115933342	NC_073236.2	LOC115933540	NC_073236.2	1.0	0.992	1
LOC129524358	NC_073231.2	LOC134759001	NC_073231.2	1.0	0.992	1
LOC129524359	NC_073231.2	LOC134759001	NC_073231.2	1.0	0.992	1
LOC129524370	NC_073231.2	LOC134759001	NC_073231.2	1.0	0.992	1
LOC129528187	NC_073238.2	LOC129528194	NC_073241.2	1.0	0.992	0
LOC129525554	NC_073233.2	LOC129532956	NC_073227.2	0.53	0.992	0
LOC129524362	NC_073231.2	LOC134759001	NC_073231.2	1.0	0.992	1
LOC129524369	NC_073231.2	LOC134759001	NC_073231.2	1.0	0.992	1
LOC129524372	NC_073231.2	LOC134759001	NC_073231.2	1.0	0.992	1
LOC134759001	NC_073231.2	LOC134759002	NC_073231.2	1.0	0.992	1
LOC115933354	NC_073242.2	LOC134757425	NC_073242.2	1.0	0.992	1
LMBR1	NC_073230.2	LOC101148918	NC_073224.2	0.187	0.992	0
LOC129525554	NC_073233.2	LOC134756358	NC_073242.2	0.998	0.992	0
LOC129528187	NC_073238.2	LOC134757391	NC_073241.2	0.508	0.992	0
LOC129528163	NC_073241.2	LOC129528467	NC_073241.2	0.71	0.992	1
LOC101142376	NC_073244.2	LOC129523819	NC_073230.2	0.989	0.992	0
LOC129524600	NC_073237.2	LOC129530470	NC_073246.2	0.431	0.992	0
LOC129529646	NC_086018.1	LOC129530391	NC_073248.2	0.946	0.992	0
LOC101129069	NC_073246.2	LOC129530492	NC_073246.2	0.427	0.992	1
LOC115933182	NC_073230.2	LOC129525066	NC_086017.1	0.943	0.992	0
LOC129525066	NC_086017.1	LOC134756358	NC_073242.2	0.943	0.992	0
LOC129525174	NC_073232.2	LOC129526565	NC_073241.2	1.0	0.992	0
LOC129528465	NC_073241.2	LOC129529646	NC_086018.1	0.548	0.992	0
LOC115933194	NC_086017.1	LOC129523819	NC_073230.2	0.999	0.992	0
LOC129526389	NC_073238.2	LOC134756753	NC_073236.2	0.56	0.992	0
LOC109027640	NC_073230.2	LOC129534743	NC_073230.2	0.941	0.992	1
LOC101142220	NC_073238.2	RPSA	NC_086017.1	0.98	0.992	0
LOC129524668	NC_073237.2	LOC129529383	NC_073246.2	0.969	0.992	0
LOC101145547	NC_073243.2	LOC115931266	NC_073243.2	0.864	0.992	1
LOC115933194	NC_086017.1	LOC129525554	NC_073233.2	0.964	0.992	0
LOC129529385	NC_073246.2	LOC134756947	NC_073238.2	0.788	0.992	0
LOC115931421	NC_073241.2	LOC129528141	NC_073231.2	0.794	0.992	0
LOC129525066	NC_086017.1	LOC129525684	NC_073234.2	0.865	0.992	0
LOC101142376	NC_073244.2	LOC129525174	NC_073232.2	0.902	0.992	0
LOC134757073	NC_073238.2	LOC134757415	NC_073241.2	0.96	0.992	0
LOC129525374	NC_073224.2	MAGI3	NC_073224.2	0.643	0.992	1
DOC2A	NC_073242.2	LOC115931070	NC_073242.2	0.624	0.992	1
LOC101135276	NC_073242.2	LOC129527586	NC_073242.2	0.394	0.992	1
LOC115933227	NC_073227.2	LOC129525554	NC_073233.2	0.804	0.992	0
LOC101135276	NC_073242.2	LOC115931069	NC_073242.2	0.392	0.992	1
LOC115933194	NC_086017.1	LOC115933239	NC_073236.2	0.89	0.992	0
LOC129529591	NC_086018.1	ZNF74	NC_086018.1	0.237	0.992	1
LOC129525416	NC_073233.2	LOC129528750	NC_073244.2	1.0	0.992	0
LOC129528750	NC_073244.2	LOC129532807	NC_073227.2	1.0	0.992	0
LOC129524600	NC_073237.2	LOC129528163	NC_073241.2	0.71	0.992	0
LOC109024055	NC_073244.2	LOC129528606	NC_073244.2	0.589	0.992	1
LOC109024055	NC_073244.2	LOC129528610	NC_073244.2	0.589	0.992	1
LOC109024055	NC_073244.2	LOC129528611	NC_073244.2	0.589	0.992	1
LOC109024055	NC_073244.2	LOC129528615	NC_073244.2	0.589	0.992	1
LOC109024055	NC_073244.2	LOC129528616	NC_073244.2	0.589	0.992	1
LOC109024055	NC_073244.2	LOC129528617	NC_073244.2	0.589	0.992	1
LOC109024055	NC_073244.2	LOC129528618	NC_073244.2	0.589	0.992	1
LOC109024055	NC_073244.2	LOC129528619	NC_073244.2	0.589	0.992	1
LOC129528163	NC_073241.2	LOC129528460	NC_073241.2	0.71	0.992	1
LOC101152267	NC_073228.2	RPL7	NC_073231.2	0.972	0.992	0
LOC115933194	NC_086017.1	LOC134757295	NC_073240.2	0.629	0.992	0
LGALS9C	NC_073228.2	LOC115932657	NC_073228.2	0.419	0.992	1
LOC129523739	NC_073230.2	LOC129534555	NC_073229.2	0.901	0.992	0
LOC129532626	NC_086017.1	LOC134756370	NC_086017.1	1.0	0.992	1
LOC129529382	NC_073246.2	LOC129530569	NC_073246.2	1.0	0.992	1
LOC101128488	NC_073230.2	LOC115933796	NC_073235.2	0.902	0.992	0
LOC129526957	NC_073236.2	LOC129528452	NC_073241.2	1.0	0.992	0
LOC129528452	NC_073241.2	LOC134757216	NC_073240.2	1.0	0.992	0
LOC101125803	NC_073228.2	LOC115934631	NC_073228.2	0.889	0.992	1
LOC101125803	NC_073228.2	LOC134756429	NC_073228.2	0.889	0.992	1
LOC129532626	NC_086017.1	LOC134756371	NC_073227.2	0.735	0.992	0
LOC129528462	NC_073241.2	LOC134756703	NC_073236.2	0.975	0.992	0
LOC129523739	NC_073230.2	LOC129525416	NC_073233.2	0.735	0.992	0
LOC129523739	NC_073230.2	LOC129532807	NC_073227.2	0.735	0.992	0
LOC129526566	NC_073239.2	LOC134756371	NC_073227.2	0.809	0.992	0
LOC129525554	NC_073233.2	LOC129525684	NC_073234.2	0.685	0.992	0
LOC129526385	NC_073238.2	LOC129528462	NC_073241.2	0.975	0.992	0
LOC129526398	NC_073238.2	LOC129528462	NC_073241.2	0.975	0.992	0
LOC129525416	NC_073233.2	LOC134756370	NC_086017.1	0.813	0.992	0
