cid	kind	chrom	start	end	protein	divergence	n_loci_read	haploid_label	ref_loci	mat_loci	pat_loci	ref_frag	mat_frag	pat_frag	best_id_ref	best_id_mat	best_id_pat	anyid_ref	anyid_mat	anyid_pat	allcov_ref	allcov_mat	allcov_pat	diploid_label	subclass	confidence	oracle_family	oracle_class	oracle_collapsed	reason
NC_073236.2_47672269	collapsed	NC_073236.2	47672269	47731251	LOC109025447	9.3	3	AMBIGUOUS	2	2	2	3	3	3	1.0	1.0	1.0	1.0	1.0	1.0	0.5569	0.5569	0.5569	UNDECIDABLE		med	1	multi_copy	0	reference already models 2 loci and both haplotypes match (no diploid-visible extra) -- RNA variant is an allele of an existing copy / reference already contains the paralog (MHC-class); not a NEW reference-absent copy
NC_073236.2_108326754	collapsed	NC_073236.2	108326754	108384160	SRD5A2	4.4	1	ALLELE/HET	1	1	1	0	0	0	0.9958	0.9966	0.9958	0.9958	0.9966	0.9958	0.8045	0.8045	0.8045	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073236.2_136389939	collapsed	NC_073236.2	136389939	136394857	NO-HIT	25.2	None	DIVERGENT-NOVEL	1	1	1	0	0	0	0.9725	0.9725	0.9725	0.9725	0.9725	0.9725	0.8388	0.8388	0.8388	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073236.2_139051025	collapsed	NC_073236.2	139051025	139225258	NO-HIT	7.0	None	AMBIGUOUS	1	1	1	0	0	0	0.9592	0.9589	0.9592	0.9592	0.9589	0.9592	0.9919	0.9919	0.9919	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073236.2_139329520	collapsed	NC_073236.2	139329520	139333311	NO-HIT	9.1	None	AMBIGUOUS	1	1	1	0	0	0	0.9793	0.9755	0.9793	0.9793	0.9755	0.9793	0.9971	0.9971	0.9971	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073237.2_24097071	collapsed	NC_073237.2	24097071	24154058	NO-HIT	4.0	None	AMBIGUOUS	1	1	1	0	0	0	0.9777	0.9786	0.9777	0.9777	0.9786	0.9777	0.8641	0.8641	0.8641	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073237.2_29407910	collapsed	NC_073237.2	29407910	29453726	LOC101142783	4.2	3	AMBIGUOUS	4	4	4	1	1	1	0.9852	0.9852	0.9852	0.9852	0.9852	0.9852	0.8097	0.8097	0.8097	UNDECIDABLE		med	22	multi_copy	0	reference already models 4 loci and both haplotypes match (no diploid-visible extra) -- RNA variant is an allele of an existing copy / reference already contains the paralog (MHC-class); not a NEW reference-absent copy
NC_073237.2_86746091	collapsed	NC_073237.2	86746091	86874556	LOC129530108	4.0	None	ALLELE/HET	1	1	1	0	0	0	0.9846	0.9836	0.9846	0.9846	0.9836	0.9846	0.7936	0.7936	0.7936	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073237.2_92253383	collapsed	NC_073237.2	92253383	92464551	LOC115931578	25.9	None	COPY	1	1	1	0	0	0	0.9722	0.9757	0.9722	0.9722	0.9757	0.9722	0.5559	0.5559	0.5559	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073237.2_106907810	collapsed	NC_073237.2	106907810	107039112	MUSK	3.5	1	AMBIGUOUS	1	1	1	0	0	0	0.9811	0.9811	0.9811	0.9811	0.9811	0.9811	0.5532	0.5532	0.5532	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073237.2_109499325	collapsed	NC_073237.2	109499325	109614364	FKBP15	23.4	None	COPY	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NOVEL	genuinely_absent	high				absent from reference AND both haplotypes (no block >= 0.9 identity and <50% coverage in all three) -- genuinely novel or artifact / too divergent (<~80%) to place as a full germline copy
NC_073237.2_112096187	collapsed	NC_073237.2	112096187	112323553	NO-HIT	11.2	None	ALLELE/HET	1	1	1	0	0	0	0.9671	0.9693	0.9671	0.9671	0.9693	0.9671	0.9283	0.9283	0.9283	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073237.2_132109476	collapsed	NC_073237.2	132109476	132199876	KCNT1	40.1	None	DIVERGENT-NOVEL	1	1	1	0	0	0	0.9824	0.9832	0.9824	0.9824	0.9832	0.9824	0.7979	0.7979	0.7979	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073238.2_32266743	collapsed	NC_073238.2	32266743	32352771	SH3BGRL2	67.6	None	COPY	0	0	0	19	14	17	0.9623	0.9623	0.9623	0.9623	0.9623	0.9623	0.2721	0.2721	0.2721	NOVEL	partial_present	high	34	multi_copy	1	reference/hap-PRESENT but only PARTIAL coverage: high-identity (~96%) fragments cover 27% (<50%) of the consensus in ref -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073238.2_52980396	collapsed	NC_073238.2	52980396	53174873	FREM2	7.4	1	AMBIGUOUS	1	1	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.6065	0.6065	0.6065	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073238.2_101504720	collapsed	NC_073238.2	101504720	101569974	NO-HIT	19.0	None	ALLELE/HET	0	0	0	1	1	1	0.9939	0.9939	0.9939	0.9939	0.9939	0.9939	1.0	1.0	1.0	NOVEL	subthreshold_present	high				reference/hap-PRESENT below the id>=0.9 gate: a 100%-coverage locus aligns at ~89% identity in ref -- a single divergent locus that IS in the genome (transcript consensus ~11% diverged), not a full >=90% copy and NOT novel-to-genome
NC_073239.2_94194199	collapsed	NC_073239.2	94194199	94333049	VIPAS39	24.6	None	DIVERGENT-NOVEL	0	0	0	1	1	1	0.9553	0.9553	0.9553	0.9553	0.9553	0.9553	0.2933	0.2933	0.2933	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~96%) fragments cover 29% (<50%) of the consensus in ref -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073239.2_118930933	collapsed	NC_073239.2	118930933	119017154	DYNC1H1	46.1	None	DIVERGENT-NOVEL	0	0	0	1	1	1	0.9922	0.9935	0.9922	0.9922	0.9935	0.9922	0.2015	0.2412	0.2015	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~99%) fragments cover 24% (<50%) of the consensus in mat -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073240.2_33599393	collapsed	NC_073240.2	33599393	33797797	FMN1	3.3	1	ALLELE/HET	1	1	1	0	0	0	0.9845	0.9845	0.9845	0.9845	0.9845	0.9845	0.566	0.566	0.566	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073240.2_34675462	collapsed	NC_073240.2	34675462	34856484	AVEN	5.8	1	ALLELE/HET	1	1	1	5	4	4	0.9888	0.9905	0.9888	0.9888	0.9905	0.9888	0.5769	0.572	0.5769	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073240.2_38615657	collapsed	NC_073240.2	38615657	38781813	TMCO5A	4.2	1	AMBIGUOUS	1	1	1	0	0	0	0.9885	0.9905	0.9885	0.9885	0.9905	0.9885	0.6549	0.6549	0.6549	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073240.2_52516524	collapsed	NC_073240.2	52516524	52581880	TMOD2	20.9	None	DIVERGENT-NOVEL	0	0	0	1	1	1	0.9847	0.9847	0.9847	0.9847	0.9847	0.9847	0.5184	0.5184	0.5184	NOVEL	subthreshold_present	high				reference/hap-PRESENT below the id>=0.9 gate: a 52%-coverage locus aligns at ~89% identity in ref -- a single divergent locus that IS in the genome (transcript consensus ~11% diverged), not a full >=90% copy and NOT novel-to-genome
NC_073240.2_69714094	collapsed	NC_073240.2	69714094	69763087	SH3BGRL2	3.2	1	ALLELE/HET	1	1	1	0	0	0	0.9751	0.9805	0.9751	0.9751	0.9805	0.9751	1.0	1.0	1.0	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073240.2_75001464	collapsed	NC_073240.2	75001464	75043553	TAB3	3.5	5	AMBIGUOUS	4	3	4	0	0	0	0.978	0.978	0.978	0.978	0.978	0.978	0.9722	0.9722	0.9722	UNDECIDABLE		low				ambiguous / contradictory locus counts (ref=4,mat=3,pat=4) -- no clean diploid resolution
NC_073240.2_81806342	collapsed	NC_073240.2	81806342	82002972	ARNT2	13.7	1	ALLELE/HET	1	1	1	0	0	0	0.9932	0.9942	0.9932	0.9932	0.9942	0.9932	0.8621	0.8621	0.8621	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073241.2_38333496	collapsed	NC_073241.2	38333496	38489537	GNAL	4.6	1	AMBIGUOUS	1	1	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.7641	0.7641	0.7641	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073241.2_105729386	collapsed	NC_073241.2	105729386	105859752	NO-HIT	6.5	None	ALLELE/HET	1	1	1	0	0	0	0.9642	0.9642	0.964	0.9642	0.9642	0.964	1.0	1.0	1.0	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073242.2_4907880	collapsed	NC_073242.2	4907880	4913621	LOC129527496	3.2	1	ALLELE/HET	1	1	1	0	0	0	0.9945	0.9945	0.9945	0.9945	0.9945	0.9945	0.6726	0.6726	0.6726	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073242.2_6233163	collapsed	NC_073242.2	6233163	6310917	KCTD5	25.3	None	COPY	2	2	2	0	0	0	0.9928	1.0	0.9928	0.9928	1.0	0.9928	0.8551	0.8551	0.8551	UNDECIDABLE		med	177	multi_copy	0	reference already models 2 loci and both haplotypes match (no diploid-visible extra) -- RNA variant is an allele of an existing copy / reference already contains the paralog (MHC-class); not a NEW reference-absent copy
NC_073242.2_18569043	collapsed	NC_073242.2	18569043	18599318	NO-HIT	13.9	None	AMBIGUOUS	9	8	9	0	1	0	0.9428	0.9449	0.9428	0.9428	0.9449	0.9428	0.9888	0.9888	0.9888	UNDECIDABLE		low				ambiguous / contradictory locus counts (ref=9,mat=8,pat=9) -- no clean diploid resolution
NC_073242.2_22663046	collapsed	NC_073242.2	22663046	22748219	USP31	43.9	None	DIVERGENT-NOVEL	1	1	1	0	0	0	0.9563	0.9584	0.9563	0.9563	0.9584	0.9563	0.9996	0.9996	0.9996	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073242.2_93456069	collapsed	NC_073242.2	93456069	93480588	CADM2	7.8	1	ALLELE/HET	1	1	1	0	0	0	0.9512	0.955	0.9512	0.9512	0.955	0.9512	1.0	1.0	1.0	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073242.2_107132656	collapsed	NC_073242.2	107132656	107402189	LOC115935585	25.9	None	COPY	0	0	0	1	1	1	0.9958	0.9916	0.9958	0.9958	0.9916	0.9958	0.7902	0.7902	0.7902	NOVEL	subthreshold_present	high				reference/hap-PRESENT below the id>=0.9 gate: a 79%-coverage locus aligns at ~91% identity in ref -- a single divergent locus that IS in the genome (transcript consensus ~9% diverged), not a full >=90% copy and NOT novel-to-genome
NC_073242.2_115154945	collapsed	NC_073242.2	115154945	115173983	KLHL36	6.5	1	ALLELE/HET	0	0	0	1	1	1	0.9944	0.9991	0.9944	0.9944	0.9991	0.9944	0.4562	0.4562	0.4562	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~100%) fragments cover 46% (<50%) of the consensus in mat -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073242.2_115967411	collapsed	NC_073242.2	115967411	116194659	GSE1	10.3	1	AMBIGUOUS	1	1	1	0	0	0	0.9948	0.9948	0.9948	0.9948	0.9948	0.9948	0.5085	0.5085	0.5085	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073242.2_117905753	collapsed	NC_073242.2	117905753	117962625	FBXO31	6.6	1	AMBIGUOUS	1	1	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.8921	0.8261	0.8921	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073243.2_15595463	collapsed	NC_073243.2	15595463	15599446	LIAT1	15.5	1	ALLELE/HET	1	1	1	0	0	0	0.9894	0.9884	0.9894	0.9894	0.9884	0.9894	0.7787	0.7787	0.7787	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073243.2_27312208	collapsed	NC_073243.2	27312208	27435624	CERS5	43.2	None	COPY	0	0	0	0	0	0	0.0	0.0	0.0	0.842	0.842	0.842	0.6566	0.6566	0.6566	NOVEL	subthreshold_present	high				reference/hap-PRESENT below the id>=0.9 gate: a 66%-coverage locus aligns at ~84% identity in ref -- a single divergent locus that IS in the genome (transcript consensus ~16% diverged), not a full >=90% copy and NOT novel-to-genome
NC_073243.2_30120917	collapsed	NC_073243.2	30120917	30246526	NO-HIT	70.6	None	DIVERGENT-NOVEL	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NOVEL	genuinely_absent	high				absent from reference AND both haplotypes (no block >= 0.9 identity and <50% coverage in all three) -- genuinely novel or artifact / too divergent (<~80%) to place as a full germline copy
NC_073243.2_30720094	collapsed	NC_073243.2	30720094	30848095	TVP23B	5.8	2	AMBIGUOUS	2	2	2	1	1	1	0.9629	0.9649	0.9629	0.9629	0.9649	0.9629	0.7242	0.7242	0.7242	UNDECIDABLE		med				reference already models 2 loci and both haplotypes match (no diploid-visible extra) -- RNA variant is an allele of an existing copy / reference already contains the paralog (MHC-class); not a NEW reference-absent copy
NC_073243.2_88364350	collapsed	NC_073243.2	88364350	88384441	PRDM9	13.5	2	AMBIGUOUS	1	1	1	1	1	1	0.9951	0.9692	0.9951	0.9951	0.9692	0.9951	0.5544	0.5544	0.5544	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073244.2_14850327	collapsed	NC_073244.2	14850327	14875512	ZNF558	3.7	1	AMBIGUOUS	1	1	1	0	0	0	0.9979	0.9979	1.0	0.9979	0.9979	1.0	0.7626	0.7626	0.7626	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073244.2_15355286	collapsed	NC_073244.2	15355286	15415343	ZNF559	22.2	None	COPY	1	1	1	0	0	0	0.9995	0.9995	1.0	0.9995	0.9995	1.0	0.702	0.702	0.702	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073244.2_17846595	collapsed	NC_073244.2	17846595	17944006	LOC101130507	10.1	1	AMBIGUOUS	1	1	1	0	0	0	0.964	0.964	0.964	0.964	0.964	0.964	0.8012	0.8012	0.8012	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073244.2_18096775	collapsed	NC_073244.2	18096775	18109820	LOC101128712	5.2	1	AMBIGUOUS	1	1	1	0	0	0	0.9952	0.9952	1.0	0.9952	0.9952	1.0	0.939	0.939	0.9397	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073244.2_27131194	collapsed	NC_073244.2	27131194	27170012	LOC115931578	5.5	None	AMBIGUOUS	1	1	1	0	0	0	0.9925	0.9925	0.9854	0.9925	0.9925	0.9854	0.853	0.853	0.853	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073244.2_28431147	collapsed	NC_073244.2	28431147	28544467	ZNF208	13.6	4	AMBIGUOUS	1	1	1	1	1	1	0.9708	0.9708	0.9708	0.9708	0.9708	0.9708	0.8464	0.8464	0.8464	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073244.2_29626893	collapsed	NC_073244.2	29626893	29718700	ZNF91	24.6	None	COPY	1	1	1	1	1	1	0.9712	0.9712	0.9712	0.9712	0.9712	0.9712	0.8879	0.8879	0.8879	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073244.2_47964367	collapsed	NC_073244.2	47964367	48057184	LOC101127117	3.3	11	AMBIGUOUS	1	1	1	14	14	14	0.9934	0.9934	0.9964	0.9934	0.9934	0.9964	0.9102	0.9102	0.9102	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073245.2_28784637	collapsed	NC_073245.2	28784637	28792549	INO80C	6.9	1	ALLELE/HET	1	2	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.9609	1.0	0.9609	ALLELE		high				extra locus on MATERNAL only (ref=1,mat=2,pat=1) -- heterozygous one-chromosome CNV, not a germline copy
NC_073245.2_56146489	collapsed	NC_073245.2	56146489	56301093	LOC129524615	16.9	None	AMBIGUOUS	0	0	0	0	0	0	0.0	0.0	0.0	0.8952	0.8952	0.8952	0.9839	0.9839	0.9839	NOVEL	subthreshold_present	high				reference/hap-PRESENT below the id>=0.9 gate: a 98%-coverage locus aligns at ~89% identity in ref -- a single divergent locus that IS in the genome (transcript consensus ~11% diverged), not a full >=90% copy and NOT novel-to-genome
NC_073245.2_68632998	collapsed	NC_073245.2	68632998	68670110	AURKA	10.1	None	AMBIGUOUS	1	1	1	2	2	2	0.9963	0.9985	0.9963	0.9963	0.9985	0.9963	0.7617	0.7617	0.7617	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073245.2_76044575	collapsed	NC_073245.2	76044575	76134719	ZBTB46	17.0	1	ALLELE/HET	1	1	1	0	0	0	0.9986	0.9986	0.9986	0.9986	0.9986	0.9986	0.6757	0.6757	0.6757	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073245.2_76557745	collapsed	NC_073245.2	76557745	76577792	PCMTD2	3.6	2	AMBIGUOUS	2	2	2	0	0	0	0.991	1.0	0.991	0.991	1.0	0.991	0.7359	0.7359	0.7359	UNDECIDABLE		med				reference already models 2 loci and both haplotypes match (no diploid-visible extra) -- RNA variant is an allele of an existing copy / reference already contains the paralog (MHC-class); not a NEW reference-absent copy
NC_073246.2_18281654	collapsed	NC_073246.2	18281654	18611650	NO-HIT	4.7	None	AMBIGUOUS	1	1	1	0	0	0	0.9957	0.9957	0.9957	0.9957	0.9957	0.9957	0.9	0.9	0.9	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073246.2_30485798	collapsed	NC_073246.2	30485798	30793069	N6AMT1	30.7	None	COPY	0	0	0	2	2	2	0.9763	0.9763	0.9778	0.9763	0.9763	0.9778	0.237	0.237	0.237	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~98%) fragments cover 24% (<50%) of the consensus in pat -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073246.2_35973819	collapsed	NC_073246.2	35973819	36044082	SLC5A3	4.7	1	AMBIGUOUS	1	1	1	0	0	0	0.9693	0.9693	0.9706	0.9693	0.9693	0.9706	0.9805	0.9805	0.9805	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073246.2_41077635	collapsed	NC_073246.2	41077635	41207838	BRWD1	6.4	1	AMBIGUOUS	1	1	1	1	1	1	0.9852	0.9852	0.9859	0.9852	0.9852	0.9859	0.8015	0.8015	0.8015	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073246.2_47124660	collapsed	NC_073246.2	47124660	47147320	POFUT2	9.2	1	ALLELE/HET	1	1	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.7676	0.7676	0.9573	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073246.2_47151614	collapsed	NC_073246.2	47151614	47157988	NO-HIT	6.9	None	ALLELE/HET	1	1	1	0	0	0	0.9949	0.9949	0.9971	0.9949	0.9949	0.9971	0.973	0.973	0.973	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073246.2_48214082	collapsed	NC_073246.2	48214082	48358513	PCNT	3.0	1	AMBIGUOUS	0	0	0	1	1	1	1.0	1.0	1.0	1.0	1.0	1.0	0.425	0.425	0.425	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~100%) fragments cover 42% (<50%) of the consensus in ref -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_086017.1_14081636	collapsed	NC_086017.1	14081636	14265325	LOC101150774	26.8	None	COPY	0	0	0	1	1	1	0.9966	0.9966	0.9966	0.9966	0.9966	0.9966	0.3333	0.3333	0.3333	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~100%) fragments cover 33% (<50%) of the consensus in ref -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_086017.1_18814921	collapsed	NC_086017.1	18814921	19083444	SRGAP3	8.0	1	ALLELE/HET	0	0	0	1	1	1	1.0	1.0	1.0	1.0	1.0	1.0	0.4981	0.4981	0.4981	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~100%) fragments cover 50% (<50%) of the consensus in ref -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_086017.1_22582872	collapsed	NC_086017.1	22582872	22591526	NO-HIT	17.6	None	AMBIGUOUS	1	1	1	0	0	0	0.9394	0.9394	0.9394	0.9394	0.9394	0.9394	0.6597	0.6597	0.6597	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_086017.1_87520213	collapsed	NC_086017.1	87520213	87692596	ROBO2	29.8	None	DIVERGENT-NOVEL	0	0	0	1	1	1	0.9492	0.9499	0.9492	0.9492	0.9499	0.9492	0.4144	0.4144	0.4144	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~95%) fragments cover 41% (<50%) of the consensus in mat -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_086017.1_108627629	collapsed	NC_086017.1	108627629	108782434	CRYBG3	23.5	None	DIVERGENT-NOVEL	0	0	0	1	1	1	0.9965	0.9971	0.9965	0.9965	0.9971	0.9965	0.4574	0.4574	0.4574	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~100%) fragments cover 46% (<50%) of the consensus in mat -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_086017.1_118126517	collapsed	NC_086017.1	118126517	118216154	LOC129532516	21.8	None	COPY	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NOVEL	genuinely_absent	high				absent from reference AND both haplotypes (no block >= 0.9 identity and <50% coverage in all three) -- genuinely novel or artifact / too divergent (<~80%) to place as a full germline copy
NC_086017.1_124836956	collapsed	NC_086017.1	124836956	124962316	QTRT2	26.8	None	DIVERGENT-NOVEL	1	1	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.594	0.594	0.594	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_086017.1_162591122	collapsed	NC_086017.1	162591122	162602762	IGSF10	3.5	1	ALLELE/HET	1	1	1	0	0	0	0.9739	0.9754	0.9739	0.9739	0.9754	0.9739	0.7801	0.7801	0.7801	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_086017.1_200221528	collapsed	NC_086017.1	200221528	200275635	LOC129524615	5.3	1	ALLELE/HET	1	1	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.8565	0.8565	0.8565	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_086018.1_15590312	collapsed	NC_086018.1	15590312	15646604	ATP6V1E1	5.7	3	AMBIGUOUS	0	0	0	2	2	2	0.9476	0.9492	0.9476	0.9476	0.9492	0.9476	0.4378	0.4378	0.4378	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~95%) fragments cover 44% (<50%) of the consensus in mat -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_086018.1_19667916	collapsed	NC_086018.1	19667916	19705312	NO-HIT	74.3	None	COPY	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.8726	0.0	0.0	0.2193	NOVEL	genuinely_absent	high				absent from reference AND both haplotypes (no block >= 0.9 identity and <50% coverage in all three) -- genuinely novel or artifact / too divergent (<~80%) to place as a full germline copy
NC_086018.1_44781834	collapsed	NC_086018.1	44781834	45190771	TBC1D22A	27.5	None	COPY	1	1	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.5174	0.5174	0.5174	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
