dna_family	n_copies	n_transcribed	n_well_expressed	genes
DFAM34	25	7	2	CENPA,H3-4,LOC101128104,LOC101128472,LOC101132116,LOC101140048,LOC101140122,LOC101141136,LOC101150816,LOC101154495,LOC115930237,LOC115931245,LOC115931259,LOC115931279,LOC115934295,LOC115934932,LOC115934933,LOC129527887,LOC129528035,LOC134757565,LOC134757614,LOC134757615,LOC134757616,LOC134757617,LOC134757642
DFAM35	25	7	2	CD101,IGSF3,LOC129524653,LOC129524658,LOC129524663,LOC129524664,LOC129524670,LOC129526379,LOC129528193,LOC129528444,LOC129528455,LOC129528464,LOC129528466,LOC129528469,LOC129529381,LOC129529384,LOC129529387,LOC129529647,LOC129530382,LOC129530464,LOC129530486,LOC129530497,LOC129530543,LOC129530565,LOC134757055
DFAM36	24	13	4	LOC101123860,LOC101125134,LOC101129167,LOC101130985,LOC101132256,LOC101132414,LOC101132614,LOC101135182,LOC101135184,LOC101136632,LOC101138091,LOC101140761,LOC101142132,LOC101143505,LOC101143962,LOC101145599,LOC101145971,LOC101150640,LOC101154451,LOC109024886,LOC109027306,LOC109027638,LOC115934934,LOC129534207
DFAM37	24	14	3	LOC101144812,LOC115933574,LOC129526437,LOC129527242,LOC129527390,SLC6A1,SLC6A11,SLC6A12,SLC6A13,SLC6A14,SLC6A15,SLC6A16,SLC6A17,SLC6A18,SLC6A19,SLC6A2,SLC6A20,SLC6A3,SLC6A4,SLC6A5,SLC6A6,SLC6A7,SLC6A8,SLC6A9
DFAM38	24	23	12	ESR1,ESR2,ESRRA,ESRRB,ESRRG,HNF4A,HNF4G,NR2E1,NR2E3,NR2F1,NR2F2,NR2F6,NR4A1,NR4A2,NR4A3,PPARA,PPARD,PPARG,RARA,RARB,RARG,RXRA,RXRB,RXRG
DFAM39	24	23	1	ELOA,ELOA2,LOC129528410,LOC129528411,LOC129528412,LOC129528414,LOC129528415,LOC129528416,LOC129528417,LOC129528418,LOC129528419,LOC129528420,LOC129528421,LOC129528422,LOC129528423,LOC129528424,LOC129528426,LOC129528427,LOC129528428,LOC129528429,LOC129528430,LOC129528431,LOC134756367,LOC134757035
DFAM40	24	0	0	LCE1B,LCE2A,LCE2D,LCE3A,LCE3B,LCE3C,LCE3D,LCE4A,LCE5A,LOC101129659,LOC101137094,LOC101137446,LOC101138200,LOC101143221,LOC101143583,LOC101143949,LOC101149788,LOC101151609,LOC101151968,LOC101154124,LOC109023073,LOC109029323,LOC109029442,LOC115934023
DFAM41	24	16	12	ACTA1,ACTA2,ACTB,ACTBL2,ACTG1,ACTG2,ACTL10,ACTL6A,ACTL6B,ACTL7A,ACTL7B,ACTL8,ACTL9,ACTR1A,ACTR1B,ACTR2,ACTR3,ACTR3B,ACTRT1,ACTRT2,ACTRT3,LOC101150071,LOC101152821,LOC129524584
DFAM42	24	14	6	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ,GABRR1,GABRR2,GABRR3,GLRA1,GLRA2,GLRA3,GLRA4,GLRB
DFAM43	24	11	4	LOC101125919,LOC101126771,LOC101129811,LOC101130521,LOC101132319,LOC101136868,LOC101146750,LOC115931291,LOC115931292,LOC115931293,LOC115933184,LOC115933216,LOC115935261,LOC115935262,LOC115935290,LOC115935297,LOC115935416,LOC134757578,LOC134757579,LOC134757580,LOC134757581,LOC134757582,LOC134757583,SPDYE3
DFAM44	23	21	10	LOC101141855,LOC109023568,LOC115931062,LOC115931102,LOC115931109,LOC115932744,LOC115932779,LOC115932781,LOC115933039,LOC115933071,LOC115933079,LOC115933350,LOC129523555,LOC129527568,LOC129527592,LOC129527600,LOC129527613,LOC129527636,LOC129527692,LOC129527693,LOC129527720,LOC129527721,NPIPB11
DFAM45	23	5	0	FOXA1,FOXA2,FOXA3,FOXC1,FOXC2,FOXD4L1,FOXE1,FOXE3,FOXF1,FOXF2,FOXI1,FOXI2,FOXI3,FOXJ1,FOXL1,FOXL2,FOXL3,FOXQ1,FOXS1,LOC101149305,LOC129524105,LOC129524612,LOC134756825
DFAM46	23	8	2	ADRA1A,ADRA1B,ADRA1D,ADRB2,DRD1,DRD5,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR2A,HTR2B,HTR2C,HTR4,HTR5A,HTR6,LOC101123867,LOC101124226,LOC101148012,LOC101153731,TAAR1,TAAR5
DFAM47	22	19	14	AKT1,AKT2,AKT3,LOC101127525,LOC129530427,PRKACA,PRKACB,PRKACG,PRKCA,PRKCB,PRKCE,PRKCG,PRKCH,PRKCI,PRKCZ,RSKR,SGK1,SGK2,SGK3,STK32A,STK32B,STK32C
DFAM48	22	18	6	ADAMTS1,ADAMTS10,ADAMTS12,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,LOC101127226,LOC109023513,LOC115933405
DFAM49	21	21	12	AXL,EPHA1,EPHA10,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,EPHB1,EPHB2,EPHB3,EPHB4,EPHB6,FGFR1,FGFR2,FGFR3,FGFR4,MERTK,TYRO3
DFAM50	21	2	2	LOC101139703,LOC109024528,LOC115931939,LOC115931947,LOC115933174,LOC129524669,LOC129526951,LOC129529615,LOC129529620,LOC129529648,LOC129529656,LOC129529657,LOC129529664,LOC129530378,LOC129530379,LOC129530384,LOC129530466,LOC129530487,LOC129530496,LOC129530567,LOC134756411
DFAM51	21	20	16	CAMK1,CAMK1D,CAMK1G,CAMK4,CAMKV,DAPK2,DAPK3,MAPKAPK2,MAPKAPK3,MAPKAPK5,MYLK3,MYLK4,PHKG1,PHKG2,PNCK,PSKH1,PSKH2,STK17A,STK17B,STK33,ULK3
DFAM52	21	1	1	IFNA2,IFNA21,IFNA6,IFNA8,IFNB1,IFNE,IFNK,LOC101137485,LOC101138981,LOC101139336,LOC101139713,LOC101140412,LOC101141543,LOC101142673,LOC115935827,LOC115935829,LOC115935831,LOC115935832,LOC115935833,LOC115935834,LOC134756937
DFAM53	20	10	5	MMP1,MMP10,MMP11,MMP12,MMP13,MMP14,MMP15,MMP16,MMP17,MMP19,MMP20,MMP21,MMP24,MMP25,MMP26,MMP27,MMP28,MMP3,MMP7,MMP8
DFAM54	20	3	0	LOC101124042,LOC101134418,LOC101138016,LOC101145738,LOC101146458,LOC101147060,LOC101149329,LOC101151378,LOC101151746,LOC101153544,LOC115932712,LOC115932790,LOC115932791,LOC115933568,LOC115936245,LOC115936253,LOC129523488,LOC129525445,TRIM51,TRIM77
DFAM55	20	7	4	CLDN1,CLDN10,CLDN11,CLDN14,CLDN15,CLDN17,CLDN18,CLDN19,CLDN2,CLDN20,CLDN24,CLDN25,CLDN3,CLDN4,CLDN5,CLDN6,CLDN7,CLDN8,CLDN9,LOC101150195
DFAM56	20	10	4	GJA1,GJA10,GJA3,GJA4,GJA5,GJA8,GJA9,GJB1,GJB2,GJB3,GJB4,GJB5,GJB6,GJB7,GJC1,GJC2,GJD2,GJD3,LOC101126521,LOC101150976
DFAM57	20	18	10	GALNT1,GALNT10,GALNT11,GALNT12,GALNT13,GALNT14,GALNT15,GALNT16,GALNT17,GALNT18,GALNT2,GALNT3,GALNT5,GALNT6,GALNT7,GALNT8,GALNT9,GALNTL5,GALNTL6,POC1B
DFAM58	20	5	1	LOC129523703,LOC129523959,LOC129524028,LOC129524036,LOC129524833,LOC129525023,LOC129525411,LOC129525579,LOC129525641,LOC129526003,LOC129526580,LOC129527370,LOC129527948,LOC129528719,LOC129530133,LOC129532895,LOC129533288,LOC129534553,LOC134759270,SLC35F5
DFAM59	19	15	6	CHP1,CHP2,CLXN,GUCA1A,GUCA1B,GUCA1C,HPCA,HPCAL1,HPCAL4,KCNIP1,KCNIP2,KCNIP3,KCNIP4,NCALD,NCS1,PPP3R1,PPP3R2,RCVRN,VSNL1
DFAM60	19	17	12	AURKA,AURKB,AURKC,CAMKK1,CAMKK2,GRK1,GRK2,GRK3,GRK4,GRK5,GRK6,GRK7,LOC101147811,LOC109028275,PDPK1,STK11,STK16,STK38,STK38L
DFAM61	19	10	7	HMGN2,HMGN3,HMGN4,LOC101126607,LOC101127689,LOC101130226,LOC101133298,LOC101137804,LOC101140345,LOC101140615,LOC101141058,LOC101148869,LOC101153591,LOC109023133,LOC109027238,LOC115934990,LOC115935862,LOC129531477,LOC129532770
DFAM62	19	16	8	BLK,BMX,BTK,CSK,FGR,FRK,FYN,HCK,ITK,LCK,LOC101139136,LYN,MATK,SRC,SRMS,SYK,TEC,TXK,YES1
DFAM63	19	9	3	WNT1,WNT10A,WNT10B,WNT11,WNT16,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT5A,WNT5B,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT9A,WNT9B
DFAM64	19	14	4	CHRNA1,CHRNA10,CHRNA2,CHRNA3,CHRNA4,CHRNA5,CHRNA6,CHRNA7,CHRNA9,CHRNB1,CHRNB2,CHRNB3,CHRNB4,CHRND,CHRNG,HTR3A,HTR3B,HTR3E,LOC101139165
DFAM65	19	8	1	LOC129523739,LOC129523820,LOC129523993,LOC129525067,LOC129525576,LOC129525765,LOC129526566,LOC129527430,LOC129527885,LOC129528382,LOC129528750,LOC129531752,LOC129532626,LOC129532807,LOC129532980,LOC129534555,LOC134756370,LOC134756371,MORN5
DFAM66	19	6	0	CCL1,CCL11,CCL13,CCL14,CCL15,CCL16,CCL18,CCL21,CCL22,CCL23,CCL24,CCL3,CCL7,CCL8,CXCL8,LOC101123729,LOC101134802,LOC129533794,LOC129533812
DFAM67	18	15	11	GNA11,GNA12,GNA13,GNA14,GNA15,GNAI1,GNAI2,GNAI3,GNAL,GNAO1,GNAQ,GNAS,GNAT1,GNAT2,GNAT3,GNAZ,LOC101149632,LOC129531713
DFAM68	18	6	2	DLX2,DLX3,DLX5,EMX1,EMX2,HHEX,HMX1,HMX2,HMX3,LBX1,LBX2,NKX1-2,NKX2-2,NKX2-3,NKX2-5,NKX2-6,NKX2-8,NKX3-1
DFAM69	18	16	11	SEMA3A,SEMA3B,SEMA3C,SEMA3D,SEMA3E,SEMA3F,SEMA3G,SEMA4A,SEMA4B,SEMA4C,SEMA4D,SEMA4F,SEMA4G,SEMA6A,SEMA6B,SEMA6C,SEMA6D,SEMA7A
DFAM70	18	6	3	LOC101136059,LOC101137513,SLC22A1,SLC22A10,SLC22A11,SLC22A12,SLC22A13,SLC22A15,SLC22A16,SLC22A2,SLC22A20,SLC22A24,SLC22A3,SLC22A4,SLC22A5,SLC22A6,SLC22A7,SLC22A8
DFAM71	18	2	0	KIR2DL4,LILRA2,LILRA4,LILRB2,LILRB3,LOC101128484,LOC101152160,LOC109024094,LOC109024105,LOC115930123,LOC115931563,LOC115931566,LOC115933440,LOC115933447,LOC129528682,LOC129528683,LOC129528684,LOC129528686
DFAM72	18	16	9	CDH1,CDH11,CDH12,CDH15,CDH18,CDH19,CDH2,CDH20,CDH22,CDH24,CDH3,CDH4,CDH5,CDH6,CDH7,CDH8,CDH9,LOC101134111
DFAM73	18	11	4	FGF1,FGF10,FGF11,FGF12,FGF13,FGF14,FGF16,FGF2,FGF20,FGF22,FGF3,FGF4,FGF5,FGF6,FGF7,FGF9,LOC109029477,LOC129526430
DFAM74	18	10	4	AGTR2,BDKRB1,BDKRB2,C5AR1,C5AR2,CMKLR1,CMKLR2,FPR1,FPR2,FPR3,GPR15,GPR25,LOC101141032,LOC115931556,LTB4R,NPBWR1,PTGDR2,UTS2R
DFAM75	18	6	0	LOC101124572,LOC101124938,LOC101125671,LOC101126269,LOC101126623,LOC101126985,LOC101127721,LOC101131917,LOC101133914,LOC101134211,LOC101153373,LOC109023678,LOC109024112,LOC115931107,LOC134758274,MT1HL1,MT3,MT4
DFAM76	18	11	3	LOC101132076,LOC101132445,LOC101145105,LOC115932311,LOC129529765,LOC129529767,LOC129529768,LOC129529769,LOC129529770,LOC129529771,LOC129529773,LOC129529774,LOC129529775,LOC129529807,PAGE1,XAGE2,XAGE3,XAGE5
DFAM77	18	9	5	LOC101126684,LOC101137537,LOC101137833,LOC101138851,LOC101141290,LOC101144435,LOC101151538,LOC101152491,LOC109024489,LOC109029067,LOC115933486,LOC129524776,LOC129527811,LOC129530113,LOC129533959,LOC129534659,LOC134757331,RPL21
DFAM78	17	11	5	LOC101132490,LOC101132862,LOC101133486,LOC101143578,LOC101146257,LOC101148472,LOC115931046,LOC115931047,LOC115931110,SULT1A2,SULT1A3,SULT1C4,SULT1E1,SULT2A1,SULT2B1,SULT4A1,SULT6B1
DFAM79	17	11	4	CA1,CA10,CA11,CA12,CA13,CA14,CA2,CA3,CA4,CA5A,CA5B,CA6,CA7,CA8,CA9,LOC101142892,LOC115931101
DFAM80	17	13	2	KCNJ1,KCNJ10,KCNJ11,KCNJ12,KCNJ13,KCNJ14,KCNJ15,KCNJ16,KCNJ2,KCNJ3,KCNJ4,KCNJ5,KCNJ6,KCNJ8,KCNJ9,LOC109026822,LOC129533583
DFAM81	17	17	16	DDX10,DDX18,DDX27,DDX31,DDX39A,DDX39B,DDX4,DDX47,DDX49,DDX51,DDX52,DDX55,DDX56,DDX59,EIF4A1,EIF4A2,EIF4A3
DFAM82	17	14	6	ADAM11,ADAM12,ADAM15,ADAM19,ADAM2,ADAM22,ADAM23,ADAM28,ADAM30,ADAM32,ADAM33,ADAM7,ADAM8,ADAM9,ADAMDEC1,LOC101128857,LOC101130647
DFAM83	17	2	0	LOC101135574,LOC101136299,LOC101137030,LOC101138507,LOC101140413,LOC101141178,LOC101152064,LOC115932322,LOC115932374,LOC115932783,LOC115932784,LOC129529678,LOC129530061,LOC129530062,LOC129530063,LOC129530067,LOC129530069
DFAM84	17	14	3	LOC101140955,LOC129530238,LOC129530239,LOC129530240,LOC129530241,LOC129530242,LOC129530243,LOC129530249,LOC129530256,LOC129530259,LOC129530261,LOC129530264,LOC129530266,LOC129530267,RBMX,RBMXL1,RBMXL2
DFAM85	16	3	1	LOC101129069,LOC101135732,LOC129523572,LOC129524661,LOC129528187,LOC129528194,LOC129528447,LOC129528453,LOC129528465,LOC129529646,LOC129530391,LOC129530492,LOC129530571,LOC134757319,LOC134757391,TPTE2
DFAM86	16	13	6	LOC101128182,LOC101137955,LOC115934057,LOC129528668,ZFP41,ZNF124,ZNF22,ZNF331,ZNF391,ZNF550,ZNF669,ZNF670,ZNF691,ZNF705A,ZNF705D,ZNF705EP
DFAM87	16	8	2	BARX1,BARX2,BSX,DBX1,DBX2,DLX1,DLX4,DLX6,GBX1,GBX2,LOC101140742,MEOX1,MEOX2,MNX1,MSX1,MSX2
DFAM88	16	13	11	DAZAP1,HNRNPA0,HNRNPA1,HNRNPA1L2,HNRNPA2B1,HNRNPA3,HNRNPAB,HNRNPD,HNRNPDL,LOC101130214,LOC101134010,LOC101144033,LOC109029309,MSI1,MSI2,TARDBP
DFAM89	16	16	15	DDX17,DDX19A,DDX19B,DDX21,DDX23,DDX25,DDX3X,DDX3Y,DDX41,DDX42,DDX43,DDX46,DDX5,DDX50,DDX53,DDX6
DFAM90	16	10	7	KLF1,KLF13,KLF14,KLF15,KLF16,KLF17,KLF2,KLF4,KLF5,KLF6,KLF7,KLF8,KLF9,SP5,SP7,ZNF367
DFAM91	16	8	0	CDX1,CDX2,CDX4,HOXA2,HOXA4,HOXA6,HOXB2,HOXB4,HOXB6,HOXB7,HOXC4,HOXC5,HOXC6,HOXC9,HOXD4,HOXD9
DFAM92	15	1	0	LOC101144685,LOC109028806,LOC129532044,LOC129532101,LOC129532194,LOC129532195,LOC129532196,LOC129532197,LOC129532198,LOC129532199,LOC129532200,LOC129532201,LOC134756460,LOC134756461,LOC134759291
DFAM93	15	14	5	LOC101135790,LOC101138909,LOC101143194,MYH1,MYH10,MYH11,MYH13,MYH14,MYH15,MYH2,MYH3,MYH4,MYH7B,MYH8,MYH9
DFAM94	15	9	1	LOC101135156,LOC101135980,LOC101139531,LOC101140249,LOC101140616,LOC109026641,LOC115934311,UGT1A6,UGT2A2,UGT2B15,UGT2B17,UGT2B4,UGT3A1,UGT3A2,UGT8
DFAM95	15	15	8	LOC101125458,OCM,ZNF205,ZNF324,ZNF324B,ZNF487,ZNF619,ZNF620,ZNF621,ZNF641,ZNF684,ZNF688,ZNF707,ZNF747,ZNF764
DFAM96	15	14	11	CD151,CD37,CD53,CD63,CD81,CD82,CD9,LOC101134712,TSPAN1,TSPAN18,TSPAN2,TSPAN3,TSPAN4,TSPAN8,TSPAN9
DFAM97	15	3	2	EIF3F,LOC115932761,LOC129524668,LOC129529383,LOC129529649,LOC129530380,LOC129530488,LOC129530568,LOC129531742,LOC134756925,LOC134757073,LOC134757392,LOC134757413,LOC134757414,LOC134757415
DFAM98	15	6	0	EVX1,EVX2,GSX1,GSX2,HOXA1,HOXA3,HOXA7,HOXB1,HOXB3,HOXB8,HOXC8,HOXD1,HOXD3,HOXD8,PDX1
DFAM99	15	11	3	F2R,F2RL1,F2RL2,F2RL3,GPR174,GPR18,GPR20,GPR35,LPAR4,LPAR5,LPAR6,P2RY10,P2RY8,PTAFR,SUCNR1
DFAM100	15	7	3	FTH1,FTHL17,FTL,FTMT,LOC101130393,LOC101130581,LOC101130706,LOC101133655,LOC101141419,LOC101147616,LOC101151945,LOC109023554,LOC109027830,LOC115931247,LOC129525611
DFAM101	15	10	3	ADCYAP1R1,CALCR,CALCRL,CRHR1,CRHR2,GCGR,GHRHR,GIPR,GLP1R,GLP2R,PTH1R,PTH2R,SCTR,VIPR1,VIPR2
DFAM102	15	11	5	LOC101125081,LOC101131674,LOC101151578,LOC101153430,LOC109025051,LOC115935411,LOC129523454,TUBB,TUBB1,TUBB2A,TUBB4A,TUBB4B,TUBB6,TUBB8,TUBE1
DFAM103	15	10	6	ANGPT1,ANGPT2,ANGPT4,ANGPTL4,ANGPTL5,ANGPTL7,FCN1,FCN2,FCN3,FGB,FGG,FGL1,FGL2,FIBCD1,MFAP4
DFAM104	15	12	6	B3GALNT1,B3GALT1,B3GALT2,B3GALT4,B3GALT5,B3GALT6,B3GALT9,B3GNT2,B3GNT3,B3GNT4,B3GNT5,B3GNT6,B3GNT7,B3GNT8,B3GNT9
DFAM105	15	9	4	CRABP1,CRABP2,FABP12,FABP3,FABP4,FABP5,FABP7,FABP9,LOC101134652,LOC129526930,PMP2,RBP1,RBP2,RBP5,RBP7
DFAM106	14	6	4	LOC101142993,LOC101143315,LOC109025589,LOC109027258,LOC109028392,LOC115931078,LOC115931082,LOC115931086,LOC115931087,LOC115935612,LOC115935789,LOC115935839,LOC129524434,NPAP1L
DFAM107	14	7	3	LOC101148313,LOC101151087,LOC109024957,LOC115935025,LOC129528711,LOC129528712,LOC129528713,LOC129528714,LOC129528715,LOC134758720,RFPL1,RFPL2,RFPL3,RFPL4A
DFAM108	14	9	5	FRG1,LOC101142904,LOC129524675,LOC129526395,LOC129526409,LOC129526550,LOC129527278,LOC129528236,LOC129529294,LOC129529430,LOC129529434,LOC129530429,LOC129530552,LOC129532222
DFAM109	14	2	1	GGTLC1,GGTLC2,LOC101149759,LOC109024567,LOC109024570,LOC129523490,LOC129524426,LOC129529427,LOC129529588,LOC129529621,LOC129529623,LOC129529624,LOC134756364,LOC134756365
DFAM110	14	0	0	LOC101142515,LOC129524138,LOC129525442,LOC129527457,LOC129528989,LOC129529096,LOC129529378,LOC129529932,LOC129532991,LOC129533139,LOC134757770,LOC134758469,LOC134758556,LOC134759048
DFAM111	14	11	2	LOC101129569,LOC101149491,LOC109023877,LOC115931276,LOC115931970,LOC115931980,LOC115932887,LOC129527970,LOC129529598,LOC129529612,LOC129529613,LOC129529614,LOC134757612,LOC134758421
DFAM112	14	2	2	CDK2AP1,CDK2AP2,LOC109028351,LOC115932939,LOC129526375,LOC129526401,LOC129526552,LOC129526976,LOC129527275,LOC129529333,LOC129529548,LOC129529639,LOC129531947,LOC134757038
DFAM113	14	11	7	DHRS3,DHRS7,DHRS7B,DHRS7C,HSD11B1,HSD11B1L,HSD17B11,HSD17B13,KDSR,LOC101124010,LOC101139911,RDH10,RDH8,SDR16C5
DFAM114	14	8	6	LOC101129892,LOC101130286,LOC101133796,LOC101138009,LOC101141346,LOC101143299,LOC101144988,LOC101145780,LOC101146854,LOC101151078,LOC101152650,LOC109023669,LOC134756773,RPS26
DFAM115	14	5	0	AZU1,CMA1,CTRC,CTSG,ELANE,GZMB,GZMH,GZMM,KLK10,KLK11,KLK8,LOC101150353,PRSS57,PRTN3
DFAM116	14	4	0	CEACAM1,CEACAM21,CEACAM3,CEACAM4,CEACAM5,CEACAM6,CEACAM7,LOC101148900,LOC101151083,LOC101152037,LOC101152645,LOC115931550,LOC129528544,LOC129528545
DFAM117	14	7	2	LOC101125643,LOC101132210,LOC101146259,LOC109023026,LOC129530275,LOC129530276,LOC129530277,LOC129530278,LOC129530279,LOC129530280,LOC134757598,SET,SETSIP,TSPYL5
DFAM118	13	13	7	ABCC10,ABCC11,ABCC12,ABCC2,ABCC3,ABCC4,ABCC5,ABCC8,ABCC9,LOC101129526,LOC101130854,LOC115931016,LOC115933209
DFAM119	13	13	11	ATP10A,ATP10B,ATP10D,ATP11A,ATP11B,ATP11C,ATP8A1,ATP8A2,ATP8B1,ATP8B3,ATP8B4,ATP9A,ATP9B
DFAM120	13	11	5	ANKRD18A,ANKRD18B,ANKRD62,LOC101134651,LOC101137900,LOC101140738,LOC101142783,LOC101147259,LOC101152675,LOC109028262,LOC115933254,LOC115935851,LOC129531862
DFAM121	13	12	7	ANXA1,ANXA10,ANXA11,ANXA13,ANXA2,ANXA3,ANXA4,ANXA5,ANXA7,ANXA9,LOC101143885,LOC101145465,LOC129525002
DFAM122	13	6	4	LOC101129170,LOC101135431,LOC101146129,LOC101152462,LOC109023149,LOC109025909,LOC109027916,LOC115932158,LOC115933428,LOC129524120,LOC129526136,LOC129526436,LOC129527250
DFAM123	13	10	7	CTSC,CTSF,CTSH,CTSK,CTSO,CTSS,CTSV,CTSW,LOC101143280,LOC101143887,LOC101145975,LOC115935969,LOC129523464
DFAM124	13	13	4	LOC109027415,LOC129525654,LOC129525965,LOC129526204,LOC129526297,LOC129529282,LOC129532274,LOC129533004,LOC129533069,LOC129534266,LOC134756508,LOC134756980,LOC134757208
DFAM125	13	9	4	BMP10,BMP2,BMP4,BMP5,BMP6,BMP7,BMP8B,GDF2,GDF3,GDF5,GDF6,GDF7,LOC101149312
DFAM126	13	6	2	S100A1,S100A10,S100A12,S100A2,S100A3,S100A4,S100A5,S100A6,S100A9,S100B,S100G,S100P,S100Z
DFAM127	13	6	1	LOC101125558,LOC101144080,LOC101151653,LOC109026840,LOC115933306,LOC115934662,LOC129533458,LOC129533792,LOC129533797,LOC129533806,LOC129533808,LOC129533813,TBC1D26
DFAM128	13	12	5	MKNK1,MKNK2,PIM1,PIM2,PIM3,TRIB1,TRIB2,TRIB3,TSSK1B,TSSK2,TSSK3,TSSK4,TSSK6
DFAM129	13	8	6	AKR1A1,AKR1B1,AKR1B10,AKR1C3,AKR1C8,AKR1D1,AKR1E2,LOC101146188,LOC101146324,LOC101148343,LOC101152195,LOC115935241,LOC115936027
DFAM130	13	13	8	HFE,LOC101141279,LOC101142134,LOC101142998,LOC101143108,LOC101143844,LOC101144465,LOC101144699,LOC101150279,LOC101151331,LOC101153360,LOC115930068,MHC-G
DFAM131	13	6	0	CD33,LOC101125455,LOC101126892,LOC101128115,LOC101129556,LOC101130387,LOC101131692,LOC101133170,LOC101151086,LOC115931639,SIGLEC10,SIGLEC12,SIGLEC5
DFAM132	13	13	11	PPEF1,PPEF2,PPP1CA,PPP1CB,PPP1CC,PPP2CA,PPP2CB,PPP3CA,PPP3CB,PPP3CC,PPP4C,PPP5C,PPP6C
DFAM133	13	8	2	ADIPOQ,C1QA,C1QB,C1QC,C1QL1,C1QL2,C1QL3,C1QL4,C1QTNF2,C1QTNF5,C1QTNF7,C1QTNF9,LOC115930440
DFAM134	13	1	0	CRYBA1,CRYBA2,CRYBA4,CRYBB1,CRYBB3,CRYGN,CRYGS,LOC101147661,LOC101148018,LOC101148389,LOC101148752,LOC101149104,LOC109024534
DFAM135	13	12	10	LOC101125737,LOC101131274,LOC101135585,LOC115930576,LOC115932984,LOC115933235,LOC115934004,LOC129525191,LOC129525330,LOC129525331,LOC129525599,LOC129525691,LOC134756861
DFAM136	13	13	11	IPP,KEAP1,KLHL1,KLHL10,KLHL12,KLHL17,KLHL2,KLHL20,KLHL21,KLHL28,KLHL3,KLHL4,KLHL5
DFAM137	13	5	2	CXCL1,CXCL10,CXCL11,CXCL13,CXCL5,CXCL6,CXCL9,LOC101124266,LOC101133388,LOC101134092,PF4,PF4V1,PPBP
DFAM138	13	1	0	HBE1,HBM,HBQ1,HBZ,LOC101126932,LOC101127306,LOC101146261,LOC115931067,LOC115933478,LOC129527462,LOC134757486,LOC134759280,LOC134759281
DFAM139	13	8	3	LOC101125692,LOC101126416,LOC101135418,LOC101141065,LOC101142243,LOC101144011,LOC101151556,LOC101151919,LOC101152881,LOC101153230,LOC109024954,LOC115936030,LOC134756398
DFAM140	13	0	0	LOC101131333,LOC101131675,LOC101132032,LOC101135404,LOC101135994,LOC101136363,LOC101136718,LOC101137823,LOC109026844,LOC115934664,LOC129523541,LOC129533766,LOC129533767
DFAM141	13	9	1	BRS3,GPR83,GRPR,HCRTR1,HCRTR2,NMBR,NPFFR1,NPFFR2,NPY2R,PRLHR,TACR1,TACR2,TACR3
DFAM142	13	13	12	PAK1,PAK2,PAK3,PAK4,PAK5,PAK6,RPS6KB1,RPS6KB2,STK24,STK25,STK26,STK3,STK4
DFAM143	13	12	4	RGS1,RGS10,RGS13,RGS16,RGS17,RGS18,RGS19,RGS2,RGS20,RGS21,RGS4,RGS5,RGS8
DFAM144	12	10	7	ATP12A,ATP1A1,ATP1A2,ATP1A3,ATP1A4,ATP2A1,ATP2A2,ATP2A3,ATP2C1,ATP2C2,ATP4A,LOC115932652
DFAM145	12	3	2	LOC101123958,LOC101130079,LOC101130686,LOC101138859,LOC101142220,LOC101145104,LOC101148649,LOC101154352,LOC109024647,LOC115930187,LOC129528351,RPSA
DFAM146	12	6	4	LOC101125084,LOC101126027,LOC101131421,LOC101132158,LOC101132832,LOC101137471,LOC109027152,LOC109028868,LOC115930093,LOC115935346,RPS27,RPS27L
DFAM147	12	10	4	NLRP11,NLRP12,NLRP13,NLRP14,NLRP2,NLRP3,NLRP4,NLRP5,NLRP6,NLRP7,NLRP8,NLRP9
DFAM148	12	2	1	LOC101141135,LOC101141507,LOC115931595,LOC115931596,LOC115931597,LOC115931598,LOC115931599,LOC115931624,MBD2,MBD3,MBD3L1,MBD3L3
DFAM149	12	12	10	ALDH1A1,ALDH1A2,ALDH1A3,ALDH1B1,ALDH1L1,ALDH1L2,ALDH2,ALDH5A1,ALDH8A1,ALDH9A1,LOC115935842,LOC129524687
DFAM150	12	11	5	LOC134756555,SLCO1A2,SLCO1B1,SLCO1B3,SLCO1C1,SLCO2A1,SLCO2B1,SLCO3A1,SLCO4A1,SLCO4C1,SLCO5A1,SLCO6A1
DFAM151	12	7	4	LOC101152940,LOC101154053,LOC109025285,LOC109025684,LOC109025864,LOC109025960,LOC109026691,LOC109028865,LOC129523807,LOC129534693,LOC134759030,RPS29
DFAM152	12	4	0	ARX,DMBX1,ESX1,OTP,PHOX2A,PHOX2B,PITX1,PITX2,PITX3,RAX,RAX2,SEBOX
