gene_a	gene_b	cls	cls_auth	in_dna_loose	in_ep	ep_tier	core_recip	core_source	has_direct_edge	aln_len	aln_frac	mm_median_hi	mm_mean_hi	mm_max_hi	mm_median_lo	mm_mean_lo	mm_max_lo	mm_max_max	mm_max_min	mm_median_max	mm_mean_max	allele_gene	allele_balanced_frac	allele_het_risk	allele_copy_like	allele_med_maf	abl_bridge_mask
LOC101124732	ZNF792	truthbar	truthbar-FP	0	1	tier1	0.1340	dn	1	NA	NA	3.0000	3.6604	52	1.0000	7.1429	51	52	51	3.0000	7.1429	NA	NA	NA	NA	NA	0.1794
LOC101124778	LOC101126065	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	LOC101128106	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	LOC101128844	truthbar	truthbar-FP	0	1	tier1	0.1639	dn	1	NA	NA	50.0000	38.4425	52	50.0000	45.2225	52	52	52	50.0000	45.2225	NA	NA	NA	NA	NA	0.4428
LOC101124778	LOC101129171	genuine	genuine-FP	0	0	none	0.2267	dn	1	0	0.0000	50.0000	38.4425	52	50.0000	46.5775	52	52	52	50.0000	46.5775	NA	NA	NA	NA	NA	0.4183
LOC101124778	LOC101130023	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	LOC101133546	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	LOC101133668	genuine	genuine-FP	0	0	none	0.2427	dn	1	0	0.0000	50.0000	38.4425	52	51.0000	44.5550	52	52	52	51.0000	44.5550	NA	NA	NA	NA	NA	0.4183
LOC101124778	LOC101136009	truthbar	truthbar-FP	0	1	tier1	0.3114	dn	1	NA	NA	50.0000	38.4425	52	51.0000	46.8575	52	52	52	51.0000	46.8575	NA	NA	NA	NA	NA	0.5314
LOC101124778	LOC101137462	truthbar	truthbar-FP	0	1	tier1	0.2614	dn	1	NA	NA	50.0000	38.4425	52	51.0000	48.2600	52	52	52	51.0000	48.2600	NA	NA	NA	NA	NA	0.7315
LOC101124778	LOC101141027	truthbar	truthbar-FP	0	1	tier1	0.3835	dn	1	NA	NA	50.0000	38.4425	52	51.0000	49.1175	52	52	52	51.0000	49.1175	NA	NA	NA	NA	NA	0.4666
LOC101124778	LOC101142646	truthbar	truthbar-FP	0	1	tier1	0.1562	dn	1	NA	NA	50.0000	38.4425	52	50.0000	46.9175	52	52	52	50.0000	46.9175	NA	NA	NA	NA	NA	0.4816
LOC101124778	LOC101144119	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	LOC101144471	truthbar	truthbar-FP	0	1	tier1	0.1586	dn	1	NA	NA	23.0000	19.8400	53	50.0000	38.4425	52	53	52	50.0000	38.4425	NA	NA	NA	NA	NA	0.4183
LOC101124778	LOC101144838	truthbar	truthbar-FP	0	1	tier1	0.3094	dn	1	NA	NA	50.0000	38.4425	52	50.0000	41.7300	52	52	52	50.0000	41.7300	NA	NA	NA	NA	NA	0.4183
LOC101124778	LOC101145945	truthbar	truthbar-FP	0	1	tier1	0.1800	dn	1	NA	NA	50.0000	38.4425	52	50.0000	38.4925	51	52	51	50.0000	38.4925	NA	NA	NA	NA	NA	0.4183
LOC101124778	LOC101146634	genuine	genuine-FP	0	0	none	0.2805	dn	1	0	0.0000	50.0000	38.4425	52	50.0000	39.2350	51	52	51	50.0000	39.2350	NA	NA	NA	NA	NA	0.4183
LOC101124778	LOC101147715	genuine	genuine-FP	0	0	none	0.1989	dn	1	0	0.0000	50.0000	38.4425	52	51.0000	47.7875	52	52	52	51.0000	47.7875	NA	NA	NA	NA	NA	0.5027
LOC101124778	LOC101150965	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	LOC101151892	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	LOC101152401	truthbar	truthbar-FP	0	1	tier1	0.1509	dn	1	NA	NA	50.0000	38.4425	52	16.0000	20.2125	52	52	52	50.0000	38.4425	NA	NA	NA	NA	NA	0.4183
LOC101124778	LOC101153126	truthbar	truthbar-FP	0	1	tier1	0.3085	dn	1	NA	NA	50.0000	38.4425	52	50.0000	46.2725	52	52	52	50.0000	46.2725	NA	NA	NA	NA	NA	0.4345
LOC101124778	LOC101153131	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	LOC109024216	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	LOC109026610	truthbar	truthbar-FP	0	1	tier1	0.2512	dn	1	NA	NA	50.0000	38.4425	52	10.0000	24.1175	52	52	52	50.0000	38.4425	NA	NA	NA	NA	NA	0.4183
LOC101124778	LOC115930172	genuine	genuine-FP	0	0	none	0.3535	dn	1	0	0.0000	50.0000	38.4425	52	51.0000	48.7475	52	52	52	51.0000	48.7475	NA	NA	NA	NA	NA	0.4183
LOC101124778	LOC115931567	genuine	genuine-FP	0	0	none	0.4705	dn	1	0	0.0000	50.0000	38.4425	52	50.0000	43.8750	52	52	52	50.0000	43.8750	NA	NA	NA	NA	NA	0.4258
LOC101124778	LOC115931568	truthbar	truthbar-FP	0	1	tier1	0.3969	dn	1	NA	NA	50.0000	38.4425	52	50.0000	47.9150	52	52	52	50.0000	47.9150	NA	NA	NA	NA	NA	0.4183
LOC101124778	LOC115931576	truthbar	truthbar-FP	0	1	tier1	0.3273	dn	1	NA	NA	50.0000	38.4425	52	50.0000	46.1500	52	52	52	50.0000	46.1500	NA	NA	NA	NA	NA	0.4500
LOC101124778	LOC115931654	truthbar	truthbar-FP	0	1	tier1	0.1407	dn	1	NA	NA	50.0000	38.4425	52	9.0000	19.2275	52	52	52	50.0000	38.4425	NA	NA	NA	NA	NA	0.4183
LOC101124778	LOC115931857	truthbar	truthbar-FP	0	1	tier1	0.1372	dn	1	NA	NA	50.0000	38.4425	52	4.0000	6.0884	51	52	51	50.0000	38.4425	NA	NA	NA	NA	NA	0.4183
LOC101124778	LOC129527827	genuine	genuine-FP	0	0	none	0.2277	dn	1	0	0.0000	50.0000	38.4425	52	51.0000	47.7675	52	52	52	51.0000	47.7675	NA	NA	NA	NA	NA	0.4438
LOC101124778	LOC129528947	genuine	genuine-FP	0	0	none	0.2929	dn	1	0	0.0000	50.0000	38.4425	52	51.0000	48.2775	52	52	52	51.0000	48.2775	NA	NA	NA	NA	NA	0.5416
LOC101124778	OSBPL10	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF141	truthbar	truthbar-FP	0	1	tier1	0.1435	dn	1	NA	NA	50.0000	38.4425	52	51.0000	41.4050	52	52	52	51.0000	41.4050	NA	NA	NA	NA	NA	0.4183
LOC101124778	ZNF195	truthbar	truthbar-FP	0	1	tier1	0.1536	dn	1	NA	NA	50.0000	38.4425	52	1.0000	5.0417	51	52	51	50.0000	38.4425	NA	NA	NA	NA	NA	0.4183
LOC101124778	ZNF254	truthbar	truthbar-FP	0	1	tier1	0.3281	dn	1	NA	NA	50.0000	38.4425	52	51.0000	45.9875	52	52	52	51.0000	45.9875	NA	NA	NA	NA	NA	0.4183
LOC101124778	ZNF267	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF273	truthbar	truthbar-FP	0	1	tier1	0.3518	dn	1	NA	NA	50.0000	38.4425	52	50.0000	43.3025	52	52	52	50.0000	43.3025	NA	NA	NA	NA	NA	0.4183
LOC101124778	ZNF28	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF347	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF415	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF429	truthbar	truthbar-FP	0	1	tier1	0.5094	dn	1	NA	NA	50.0000	38.4425	52	50.0000	47.5000	52	52	52	50.0000	47.5000	NA	NA	NA	NA	NA	0.5265
LOC101124778	ZNF43	truthbar	truthbar-FP	0	1	tier1	0.1660	dn	1	NA	NA	50.0000	38.4425	52	47.0000	36.7150	52	52	52	50.0000	38.4425	NA	NA	NA	NA	NA	0.4625
LOC101124778	ZNF430	truthbar	truthbar-FP	0	1	tier1	0.3264	dn	1	NA	NA	50.0000	38.4425	52	51.0000	45.9425	52	52	52	51.0000	45.9425	NA	NA	NA	NA	NA	0.4270
LOC101124778	ZNF468	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF480	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF486	truthbar	truthbar-FP	0	1	tier1	0.3648	dn	1	NA	NA	50.0000	38.4425	52	49.0000	42.4925	52	52	52	50.0000	42.4925	NA	NA	NA	NA	NA	0.4566
LOC101124778	ZNF506	truthbar	truthbar-FP	0	1	tier1	0.3880	dn	1	NA	NA	50.0000	38.4425	52	50.0000	46.2400	52	52	52	50.0000	46.2400	NA	NA	NA	NA	NA	0.4183
LOC101124778	ZNF519	truthbar	truthbar-FP	0	1	tier1	0.1356	dn	1	NA	NA	50.0000	38.4425	52	4.0000	8.2468	52	52	52	50.0000	38.4425	NA	NA	NA	NA	NA	0.4183
LOC101124778	ZNF528	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF578	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF595	truthbar	truthbar-FP	0	1	tier1	0.1931	dn	1	NA	NA	50.0000	38.4425	52	40.0000	29.3775	51	52	51	50.0000	38.4425	NA	NA	NA	NA	NA	0.5689
LOC101124778	ZNF600	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF611	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF616	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF626	truthbar	truthbar-FP	0	1	tier1	0.3506	dn	1	NA	NA	50.0000	38.4425	52	51.0000	49.1125	52	52	52	51.0000	49.1125	NA	NA	NA	NA	NA	0.4557
LOC101124778	ZNF655	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF675	truthbar	truthbar-FP	0	1	tier1	0.4450	dn	1	NA	NA	50.0000	38.4425	52	49.0000	43.8850	52	52	52	50.0000	43.8850	NA	NA	NA	NA	NA	0.4183
LOC101124778	ZNF678	truthbar	truthbar-FP	0	1	tier1	0.1538	dn	1	NA	NA	51.0000	44.7239	52	50.0000	38.4425	52	52	52	51.0000	44.7239	NA	NA	NA	NA	NA	0.4183
LOC101124778	ZNF680	truthbar	truthbar-FP	0	1	tier1	0.4083	dn	1	NA	NA	50.0000	38.4425	52	50.0000	45.9375	52	52	52	50.0000	45.9375	NA	NA	NA	NA	NA	0.4183
LOC101124778	ZNF681	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF682	truthbar	truthbar-FP	0	1	tier1	0.2369	dn	1	NA	NA	50.0000	38.4425	52	45.0000	38.0750	52	52	52	50.0000	38.4425	NA	NA	NA	NA	NA	0.4183
LOC101124778	ZNF695	truthbar	truthbar-FP	0	1	tier1	0.3152	dn	1	NA	NA	50.0000	38.4425	52	50.5000	49.6925	52	52	52	50.5000	49.6925	NA	NA	NA	NA	NA	0.4183
LOC101124778	ZNF701	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF721	genuine	genuine-FP	0	0	none	0.2087	dn	1	0	0.0000	50.0000	38.4425	52	51.0000	41.4400	52	52	52	51.0000	41.4400	NA	NA	NA	NA	NA	0.4183
LOC101124778	ZNF723	truthbar	truthbar-FP	0	1	tier1	0.5743	dn	1	NA	NA	50.0000	38.4425	52	51.0000	45.7600	52	52	52	51.0000	45.7600	NA	NA	NA	NA	NA	0.5099
LOC101124778	ZNF727	truthbar	truthbar-FP	0	1	tier1	0.1469	dn	1	NA	NA	50.0000	38.4425	52	50.0000	46.8750	52	52	52	50.0000	46.8750	NA	NA	NA	NA	NA	0.4183
LOC101124778	ZNF736	truthbar	truthbar-FP	0	1	tier1	0.3083	dn	1	NA	NA	50.0000	38.4425	52	51.0000	48.9375	52	52	52	51.0000	48.9375	NA	NA	NA	NA	NA	0.4183
LOC101124778	ZNF761	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF766	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF8	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF808	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF813	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF83	truthbar	truthbar-FP	0	1	tier1	0.2207	dn	1	NA	NA	20.0000	19.9575	53	50.0000	38.4425	52	53	52	50.0000	38.4425	NA	NA	NA	NA	NA	0.4183
LOC101124778	ZNF836	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF841	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF888	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101124778	ZNF91	genuine	genuine-FP	0	0	none	0.1815	dn	1	0	0.0000	50.0000	42.6700	53	50.0000	38.4425	52	53	52	50.0000	42.6700	NA	NA	NA	NA	NA	0.4948
LOC101124778	ZNF92	truthbar	truthbar-FP	0	1	tier1	0.3193	dn	1	NA	NA	50.0000	38.4425	52	50.0000	43.3875	52	52	52	50.0000	43.3875	NA	NA	NA	NA	NA	0.4183
LOC101124938	LOC101125671	truthbar	truthbar-FP	0	1	tier1	0.3596	dn	1	NA	NA	14.0000	13.6333	17	14.0000	13.6154	17	17	17	14.0000	13.6333	NA	NA	NA	NA	NA	0.1759
LOC101124938	LOC101126623	truthbar	truthbar-FP	0	1	tier2_nonmega	0.4199	dn	1	NA	NA	14.0000	13.6333	17	13.0000	13.1875	17	17	17	14.0000	13.6333	NA	NA	NA	NA	NA	0.2200
LOC101124938	LOC101134211	truthbar	truthbar-FP	0	1	tier1	0.3832	dn	1	NA	NA	14.0000	13.6333	17	14.0000	13.3462	17	17	17	14.0000	13.6333	NA	NA	NA	NA	NA	0.1759
LOC101124938	MT3	truthbar	truthbar-FP	0	1	tier2_nonmega	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125309	RUNDC1	genuine	genuine-FP	0	0	none	0.1635	dn	1	0	0.0000	2.0000	11.7234	52	2.0000	3.4035	51	52	51	2.0000	11.7234	NA	NA	NA	NA	NA	0.4212
LOC101125339	XKR8	genuine	genuine-FP	0	0	none	0.2302	dn	1	1600	0.7194	2.0000	2.4400	51	3.0000	3.4000	5	51	5	3.0000	3.4000	NA	NA	NA	NA	NA	0.1230
LOC101125415	LOC101133440	truthbar	truthbar-FP	0	1	tier1	0.3745	dn	1	NA	NA	14.0000	14.7025	51	14.0000	14.5075	51	51	51	14.0000	14.7025	NA	NA	NA	NA	NA	0.0598
LOC101125415	LOC101137806	genuine	genuine-FP	0	0	none	0.4094	dn	1	1743	0.7114	14.0000	14.6300	52	14.0000	14.7025	51	52	51	14.0000	14.7025	NA	NA	NA	NA	NA	0.1005
LOC101125415	LOC101139163	TP	TP	1	1	tier1	0.4138	dn	1	NA	NA	15.0000	15.7675	52	14.0000	14.7025	51	52	51	15.0000	15.7675	NA	NA	NA	NA	NA	0.0477
LOC101125415	LOC101152938	truthbar	truthbar-FP	0	1	tier1	0.3388	dn	1	NA	NA	15.0000	21.1800	52	14.0000	14.7025	51	52	51	15.0000	21.1800	NA	NA	NA	NA	NA	0.0604
LOC101125415	LOC115934341	TP	TP	1	1	tier1	0.3743	dn	1	NA	NA	15.0000	15.2350	52	14.0000	14.7025	51	52	51	15.0000	15.2350	NA	NA	NA	NA	NA	0.0347
LOC101125458	LOC101130137	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	LOC101138337	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	LOC101145348	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	LOC101151317	genuine	genuine-FP	0	0	none	0.2065	dn	1	0	0.0000	1.0000	1.7130	52	3.0000	3.0175	48	52	48	3.0000	3.0175	NA	NA	NA	NA	NA	0.4233
LOC101125458	LOC101153727	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	LOC109024207	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	LOC109027078	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	LOC115931610	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZFP28	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZFP3	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZFP69	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZFP82	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF177	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF184	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF189	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF266	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF283	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF30	genuine	genuine-FP	0	0	none	0.2312	dn	1	0	0.0000	1.0000	7.4429	52	1.0000	1.7130	52	52	52	1.0000	7.4429	NA	NA	NA	NA	NA	0.3364
LOC101125458	ZNF329	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF331	genuine	genuine-FP	0	0	none	0.1593	dn	1	0	0.0000	19.0000	12.9154	53	1.0000	1.7130	52	53	52	19.0000	12.9154	NA	NA	NA	NA	NA	0.3364
LOC101125458	ZNF420	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF461	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF471	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF529	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF540	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF546	genuine	genuine-FP	0	0	none	0.1936	dn	1	0	0.0000	1.0000	6.1833	52	1.0000	1.7130	52	52	52	1.0000	6.1833	NA	NA	NA	NA	NA	0.3443
LOC101125458	ZNF560	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF565	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF566	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF571	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF573	genuine	genuine-FP	0	0	none	0.2436	dn	1	0	0.0000	1.0000	1.7130	52	2.0000	10.0299	51	52	51	2.0000	10.0299	NA	NA	NA	NA	NA	0.3364
LOC101125458	ZNF582	genuine	genuine-FP	0	0	none	0.2029	dn	1	0	0.0000	1.0000	1.7130	52	1.0000	1.6784	52	52	52	1.0000	1.7130	NA	NA	NA	NA	NA	0.3364
LOC101125458	ZNF583	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF596	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF607	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF665	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF684	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF780A	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF780B	genuine	genuine-FP	0	0	none	0.1898	dn	1	0	0.0000	1.0000	1.7130	52	2.0000	8.8485	51	52	51	2.0000	8.8485	NA	NA	NA	NA	NA	0.3364
LOC101125458	ZNF790	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF829	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125458	ZNF891	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101125671	LOC101126623	truthbar	truthbar-FP	0	1	tier2_nonmega	0.7475	dn	1	NA	NA	14.0000	13.6154	17	13.0000	13.1875	17	17	17	14.0000	13.6154	NA	NA	NA	NA	NA	0.2200
LOC101125671	LOC101134211	truthbar	truthbar-FP	0	1	tier1	0.6922	dn	1	NA	NA	14.0000	13.6154	17	14.0000	13.3462	17	17	17	14.0000	13.6154	NA	NA	NA	NA	NA	0.1423
LOC101125671	MT3	truthbar	truthbar-FP	0	1	tier2_nonmega	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC101126025	LOC101143448	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
