family_id	tid	chrom	start	end	n_exon	strand	n_reads	core_recip
GWFAM191	RC_NC_073238.2_23381625_2	NC_073238.2	23381625	23384078	2	-	1	0.283
GWFAM20	RC_NC_073237.2_16742612_16	NC_073237.2	16742612	16791248	16	-	1	0.281
GWFAM70	RC_NC_073228.2_145008059_2	NC_073228.2	145008059	145016074	2	+	1	0.281
GWFAM3	RC_NC_073224.2_14722888_5	NC_073224.2	14722888	14737025	5	-	1	0.279
GWFAM93	RC_NC_073230.2_13406128_13	NC_073230.2	13406128	13501233	13	-	2	0.279
GWFAM56	RC_NC_073228.2_55229098_5	NC_073228.2	55229098	55308641	5	-	1	0.277
GWFAM157	RC_NC_073236.2_32987835_3	NC_073236.2	32987835	33009728	3	+	1	0.277
GWFAM70	RC_NC_073228.2_144936226_4	NC_073228.2	144936226	144959494	4	-	1	0.276
GWFAM206	RC_NC_073242.2_28427224_13	NC_073242.2	28427224	28505648	13	-	1	0.276
GWFAM70	RC_NC_073228.2_145068826_2	NC_073228.2	145068826	145073196	2	+	2	0.271
GWFAM45	RC_NC_073238.2_24693737_8	NC_073238.2	24693737	24739565	8	+	2	0.271
GWFAM144	RC_NC_086018.1_18591805_14	NC_086018.1	18591805	18615494	14	+	1	0.271
GWFAM193	RC_NC_073240.2_24224495_4	NC_073240.2	24224495	24244193	4	+	1	0.271
GWFAM223	RC_NC_073244.2_17831287_5	NC_073244.2	17831287	17862271	5	+	1	0.27
GWFAM113	RC_NC_073232.2_8889038_4	NC_073232.2	8889038	8899102	4	-	2	0.266
GWFAM207	RC_NC_073242.2_28370351_2	NC_073242.2	28370351	28374241	2	-	1	0.266
GWFAM207	RC_NC_073242.2_28370351_2	NC_073242.2	28370351	28373457	2	-	1	0.266
GWFAM223	RC_NC_073244.2_17922208_4	NC_073244.2	17922208	17941857	4	+	2	0.264
GWFAM139	RC_NC_073229.2_44199649_2	NC_073229.2	44199649	44202340	2	+	1	0.262
GWFAM204	RC_NC_073247.2_61926418_2	NC_073247.2	61926418	61929234	2	+	2	0.262
GWFAM253	RC_NC_073247.2_163591240_5	NC_073247.2	163591240	163600782	5	+	2	0.261
GWFAM225	RC_NC_073244.2_48352994_6	NC_073244.2	48352994	48377365	6	-	2	0.261
GWFAM130	RC_NC_073234.2_52252929_2	NC_073234.2	52252929	52253520	2	-	1	0.26
GWFAM247	RC_NC_073247.2_114323547_19	NC_073247.2	114323547	114348633	19	+	1	0.258
GWFAM225	RC_NC_073244.2_49247298_3	NC_073244.2	49247298	49327651	3	-	1	0.255
GWFAM196	RC_NC_073240.2_23164309_7	NC_073240.2	23164309	23202985	7	-	1	0.253
GWFAM25	RC_NC_073235.2_61469729_27	NC_073235.2	61469729	61733295	27	+	2	0.249
GWFAM70	RC_NC_073228.2_145035037_2	NC_073228.2	145035037	145055961	2	+	1	0.248
GWFAM13	RC_NC_073224.2_114597391_16	NC_073224.2	114597391	114643278	16	+	1	0.247
GWFAM228	RC_NC_073244.2_64500866_3	NC_073244.2	64500866	64529928	3	+	2	0.247
GWFAM225	RC_NC_073244.2_49247303_4	NC_073244.2	49247303	49327636	4	-	2	0.246
GWFAM12	RC_NC_073224.2_114825955_2	NC_073224.2	114825955	114870719	2	+	1	0.245
GWFAM178	RC_NC_073230.2_74903612_3	NC_073230.2	74903612	74952251	3	-	1	0.244
GWFAM78	RC_NC_073228.2_182334770_20	NC_073228.2	182334770	182473694	20	-	1	0.242
GWFAM228	RC_NC_073244.2_64034718_2	NC_073244.2	64034718	64037026	2	-	1	0.241
GWFAM228	RC_NC_073244.2_64586216_4	NC_073244.2	64586216	64610038	4	-	2	0.241
GWFAM152	RC_NC_073236.2_30530561_2	NC_073236.2	30530561	30537972	2	-	1	0.24
GWFAM157	RC_NC_073236.2_32987744_2	NC_073236.2	32987744	33010428	2	+	2	0.24
GWFAM108	RC_NC_073244.2_26314323_5	NC_073244.2	26314323	26403782	5	+	1	0.24
GWFAM93	RC_NC_073230.2_80957458_2	NC_073230.2	80957458	81078135	2	-	1	0.239
GWFAM214	RC_NC_073228.2_78989093_8	NC_073228.2	78989093	79005480	8	-	1	0.239
GWFAM100	RC_NC_073230.2_72906310_2	NC_073230.2	72906310	72907629	2	+	1	0.237
GWFAM225	RC_NC_073244.2_48979770_4	NC_073244.2	48979770	48997909	4	+	2	0.237
GWFAM225	RC_NC_073244.2_49072473_8	NC_073244.2	49072473	49164500	8	-	2	0.237
GWFAM228	RC_NC_073244.2_64426391_6	NC_073244.2	64426391	64486746	6	+	1	0.237
GWFAM153	RC_NC_073230.2_90977598_12	NC_073230.2	90977598	90997894	12	+	2	0.236
GWFAM228	RC_NC_073244.2_65380638_2	NC_073244.2	65380638	65426557	2	+	1	0.236
GWFAM227	RC_NC_073244.2_64543458_3	NC_073244.2	64543458	64559923	3	+	2	0.235
GWFAM228	RC_NC_073244.2_64585864_4	NC_073244.2	64585864	64610022	4	-	1	0.234
GWFAM225	RC_NC_073244.2_48185610_7	NC_073244.2	48185610	48297846	7	+	2	0.232
GWFAM226	RC_NC_073244.2_55771872_5	NC_073244.2	55771872	55787232	5	+	1	0.23
GWFAM207	RC_NC_073242.2_28996045_2	NC_073242.2	28996045	28998704	2	-	1	0.23
GWFAM20	RC_NC_086018.1_18726746_8	NC_086018.1	18726746	18761936	8	+	1	0.229
GWFAM20	RC_NC_073238.2_24441944_5	NC_073238.2	24441944	24509905	5	-	1	0.227
GWFAM85	RC_NC_073229.2_50240926_2	NC_073229.2	50240926	50250184	2	-	1	0.225
GWFAM226	RC_NC_073244.2_55940472_6	NC_073244.2	55940472	55962848	6	-	2	0.225
GWFAM223	RC_NC_073244.2_18201659_7	NC_073244.2	18201659	18247477	7	+	2	0.221
GWFAM108	RC_NC_073244.2_27131184_2	NC_073244.2	27131184	27133849	2	+	1	0.221
GWFAM78	RC_NC_073228.2_183036824_4	NC_073228.2	183036824	183059984	4	+	2	0.218
GWFAM114	RC_NC_073232.2_36372411_5	NC_073232.2	36372411	36399442	5	-	2	0.218
GWFAM207	RC_NC_073240.2_24878776_3	NC_073240.2	24878776	24884361	3	-	1	0.218
GWFAM225	RC_NC_073244.2_47706473_2	NC_073244.2	47706473	47723501	2	-	1	0.217
GWFAM27	RC_NC_073244.2_55585266_6	NC_073244.2	55585266	55602661	6	+	2	0.216
GWFAM228	RC_NC_073244.2_64672254_2	NC_073244.2	64672254	64695309	2	-	1	0.216
GWFAM178	RC_NC_073240.2_60939418_2	NC_073240.2	60939418	60946504	2	+	1	0.214
GWFAM55	RC_NC_086018.1_18435740_2	NC_086018.1	18435740	18437832	2	+	1	0.213
GWFAM178	RC_NC_073230.2_159581737_2	NC_073230.2	159581737	159584847	2	-	2	0.212
GWFAM93	RC_NC_073230.2_85342513_33	NC_073230.2	85342513	85578768	33	+	2	0.211
GWFAM223	RC_NC_073244.2_18262347_13	NC_073244.2	18262347	18333869	13	-	1	0.209
GWFAM108	RC_NC_073244.2_26666712_4	NC_073244.2	26666712	26699660	4	+	2	0.207
GWFAM226	RC_NC_073244.2_55386831_4	NC_073244.2	55386831	55417405	4	-	2	0.207
GWFAM136	RC_NC_073234.2_45208394_6	NC_073234.2	45208394	45212500	6	-	1	0.207
GWFAM171	RC_NC_073237.2_84486218_2	NC_073237.2	84486218	84489366	2	+	1	0.206
GWFAM186	RC_NC_073239.2_32596198_2	NC_073239.2	32596198	32601416	2	+	2	0.206
GWFAM178	RC_NC_073234.2_70966126_2	NC_073234.2	70966126	70973258	2	+	1	0.205
GWFAM151	RC_NC_073227.2_18011223_2	NC_073227.2	18011223	18017470	2	+	1	0.204
GWFAM186	RC_NC_073239.2_32596753_4	NC_073239.2	32596753	32611601	4	-	1	0.203
GWFAM195	RC_NC_073242.2_37435648_13	NC_073242.2	37435648	37476313	13	-	2	0.203
GWFAM228	RC_NC_073244.2_64613763_7	NC_073244.2	64613763	64659926	7	-	1	0.201
GWFAM141	RC_NC_073235.2_134112389_3	NC_073235.2	134112389	134117808	3	+	1	0.201
GWFAM214	RC_NC_073228.2_78946134_4	NC_073228.2	78946134	78990936	4	+	1	0.2
GWFAM228	RC_NC_073244.2_64672250_5	NC_073244.2	64672250	64695319	5	-	2	0.199
GWFAM37	RC_NC_073233.2_6759831_3	NC_073233.2	6759831	6761010	3	+	1	0.199
GWFAM178	RC_NC_073228.2_181422094_2	NC_073228.2	181422094	181424402	2	-	1	0.198
GWFAM70	RC_NC_073228.2_145181192_2	NC_073228.2	145181192	145343534	2	+	1	0.194
GWFAM55	RC_NC_073224.2_213463656_3	NC_073224.2	213463656	213467783	3	-	2	0.193
GWFAM55	RC_NC_073228.2_50679622_2	NC_073228.2	50679622	50682376	2	-	1	0.192
GWFAM119	RC_NC_073231.2_149988461_2	NC_073231.2	149988461	149995744	2	+	1	0.192
GWFAM27	RC_NC_073244.2_55669630_2	NC_073244.2	55669630	55675557	2	+	1	0.191
GWFAM193	RC_NC_073240.2_21874316_5	NC_073240.2	21874316	22022171	5	-	2	0.191
GWFAM193	RC_NC_073240.2_22861517_4	NC_073240.2	22861517	22959772	4	+	1	0.191
GWFAM178	RC_NC_073236.2_76547219_2	NC_073236.2	76547219	76554407	2	+	1	0.189
GWFAM207	RC_NC_073242.2_32221490_3	NC_073242.2	32221490	32225927	3	+	1	0.189
GWFAM113	RC_NC_073242.2_120770777_3	NC_073242.2	120770777	120780817	3	+	2	0.189
GWFAM227	RC_NC_073244.2_64509173_2	NC_073244.2	64509173	64560739	2	+	1	0.187
GWFAM95	RC_NC_073244.2_65705431_2	NC_073244.2	65705431	65709559	2	+	1	0.187
GWFAM227	RC_NC_073244.2_64543471_2	NC_073244.2	64543471	64560739	2	+	2	0.186
GWFAM230	RC_NC_073244.2_67564635_3	NC_073244.2	67564635	67569869	3	-	1	0.185
GWFAM234	RC_NC_073246.2_2520131_5	NC_073246.2	2520131	2564155	5	+	1	0.185
GWFAM85	RC_NC_073229.2_50201406_2	NC_073229.2	50201406	50207994	2	-	1	0.184
GWFAM178	RC_NC_073232.2_107305195_6	NC_073232.2	107305195	107331886	6	-	1	0.184
GWFAM178	RC_NC_073234.2_59125729_6	NC_073234.2	59125729	59174362	6	+	2	0.184
GWFAM234	RC_NC_073246.2_2520110_2	NC_073246.2	2520110	2559178	2	+	1	0.184
GWFAM256	RC_NC_073248.2_16438969_12	NC_073248.2	16438969	16463384	12	+	1	0.184
GWFAM242	RC_NC_073247.2_61985496_12	NC_073247.2	61985496	62084884	12	+	2	0.181
GWFAM226	RC_NC_073244.2_55417483_2	NC_073244.2	55417483	55435525	2	+	1	0.181
GWFAM34	RC_NC_086017.1_112545892_3	NC_086017.1	112545892	112559089	3	+	1	0.181
GWFAM192	RC_NC_073239.2_123401691_4	NC_073239.2	123401691	123466855	4	-	2	0.179
GWFAM108	RC_NC_073244.2_26314316_2	NC_073244.2	26314316	26342983	2	+	2	0.179
GWFAM250	RC_NC_073244.2_27171340_2	NC_073244.2	27171340	27202763	2	+	1	0.179
GWFAM40	RC_NC_073243.2_18773984_3	NC_073243.2	18773984	18785664	3	-	2	0.177
GWFAM171	RC_NC_073237.2_84484038_5	NC_073237.2	84484038	84490856	5	-	1	0.176
GWFAM207	RC_NC_073242.2_22131016_2	NC_073242.2	22131016	22136157	2	+	1	0.176
GWFAM108	RC_NC_073244.2_27128004_5	NC_073244.2	27128004	27169988	5	-	2	0.175
GWFAM112	RC_NC_073241.2_110135158_2	NC_073241.2	110135158	110169554	2	+	1	0.174
GWFAM262	RC_NC_086018.1_22554415_6	NC_086018.1	22554415	22561703	6	-	1	0.173
GWFAM223	RC_NC_073244.2_17960526_2	NC_073244.2	17960526	17984532	2	+	1	0.172
GWFAM89	RC_NC_073233.2_119063958_6	NC_073233.2	119063958	119116315	6	-	1	0.172
GWFAM5	RC_NC_073230.2_75593174_26	NC_073230.2	75593174	75700062	26	-	1	0.171
GWFAM225	RC_NC_073244.2_49141570_2	NC_073244.2	49141570	49144882	2	-	1	0.171
GWFAM225	RC_NC_073244.2_48066692_6	NC_073244.2	48066692	48093356	6	-	2	0.17
GWFAM207	RC_NC_073240.2_24878776_3	NC_073240.2	24878776	24884928	3	-	1	0.17
GWFAM34	RC_NC_073244.2_11696092_2	NC_073244.2	11696092	11698475	2	-	1	0.169
GWFAM228	RC_NC_073244.2_65046428_4	NC_073244.2	65046428	65071135	4	-	2	0.169
GWFAM179	RC_NC_086018.1_18552718_5	NC_086018.1	18552718	18558904	5	-	1	0.169
GWFAM45	RC_NC_073240.2_18234090_9	NC_073240.2	18234090	18273623	9	-	2	0.168
GWFAM225	RC_NC_073244.2_48030535_2	NC_073244.2	48030535	48056888	2	+	2	0.167
GWFAM228	RC_NC_073244.2_65399009_2	NC_073244.2	65399009	65427435	2	+	1	0.167
GWFAM178	RC_NC_073227.2_124902207_6	NC_073227.2	124902207	124966844	6	-	1	0.167
GWFAM27	RC_NC_073244.2_55516103_5	NC_073244.2	55516103	55527041	5	+	2	0.166
GWFAM225	RC_NC_073244.2_47934743_2	NC_073244.2	47934743	47941666	2	-	1	0.165
GWFAM36	RC_NC_073234.2_44475791_3	NC_073234.2	44475791	44594401	3	-	2	0.165
GWFAM36	RC_NC_073234.2_44476021_2	NC_073234.2	44476021	44594401	2	-	2	0.165
GWFAM36	RC_NC_073234.2_44476127_2	NC_073234.2	44476127	44530574	2	-	1	0.165
GWFAM36	RC_NC_073234.2_44476127_2	NC_073234.2	44476127	44531981	2	-	1	0.165
GWFAM36	RC_NC_073234.2_44476127_3	NC_073234.2	44476127	44530577	3	-	1	0.165
GWFAM178	RC_NC_073224.2_116631659_3	NC_073224.2	116631659	116684651	3	-	1	0.162
GWFAM215	RC_NC_073227.2_8849612_2	NC_073227.2	8849612	8885238	2	-	1	0.162
GWFAM139	RC_NC_073229.2_44201437_2	NC_073229.2	44201437	44205307	2	+	1	0.161
GWFAM179	RC_NC_073238.2_31421732_8	NC_073238.2	31421732	31473730	8	+	1	0.161
GWFAM178	RC_NC_073242.2_35714104_2	NC_073242.2	35714104	35717207	2	+	1	0.161
GWFAM193	RC_NC_073248.2_31001319_2	NC_073248.2	31001319	31009288	2	-	2	0.161
GWFAM55	RC_NC_073247.2_11079182_2	NC_073247.2	11079182	11080991	2	-	1	0.16
GWFAM225	RC_NC_073244.2_48030306_3	NC_073244.2	48030306	48056885	3	+	2	0.16
GWFAM178	RC_NC_073231.2_62092900_2	NC_073231.2	62092900	62113566	2	+	1	0.16
GWFAM225	RC_NC_073244.2_48030328_4	NC_073244.2	48030328	48056617	4	+	1	0.159
GWFAM225	RC_NC_073244.2_49072473_2	NC_073244.2	49072473	49102118	2	-	2	0.159
GWFAM256	RC_NC_073248.2_16068096_8	NC_073248.2	16068096	16082425	8	-	1	0.159
GWFAM228	RC_NC_073244.2_64861926_2	NC_073244.2	64861926	64864961	2	-	1	0.158
GWFAM215	RC_NC_073242.2_66607330_2	NC_073242.2	66607330	66616538	2	-	1	0.158
GWFAM34	RC_NC_073231.2_150651305_2	NC_073231.2	150651305	150669578	2	-	1	0.157
GWFAM86	RC_NC_073229.2_86209089_3	NC_073229.2	86209089	86348436	3	+	1	0.156
GWFAM225	RC_NC_073244.2_49072478_2	NC_073244.2	49072478	49086111	2	-	1	0.156
GWFAM48	RC_NC_073243.2_112291071_4	NC_073243.2	112291071	112319939	4	-	1	0.156
GWFAM152	RC_NC_086018.1_20955490_15	NC_086018.1	20955490	20986291	15	-	1	0.156
GWFAM28	RC_NC_073224.2_223392269_3	NC_073224.2	223392269	223413791	3	+	1	0.155
GWFAM100	RC_NC_073230.2_73388964_2	NC_073230.2	73388964	73399922	2	+	1	0.155
GWFAM49	RC_NC_073236.2_140600331_2	NC_073236.2	140600331	140608749	2	-	1	0.155
GWFAM223	RC_NC_073244.2_17960512_4	NC_073244.2	17960512	17984537	4	+	2	0.154
GWFAM152	RC_NC_073240.2_14536345_3	NC_073240.2	14536345	14558849	3	+	1	0.154
GWFAM215	RC_NC_073227.2_8792458_3	NC_073227.2	8792458	8835395	3	+	2	0.153
GWFAM95	RC_NC_073230.2_43399598_3	NC_073230.2	43399598	43403871	3	+	2	0.151
GWFAM100	RC_NC_073230.2_73395060_2	NC_073230.2	73395060	73399925	2	+	1	0.15
GWFAM85	RC_NC_073229.2_50237151_3	NC_073229.2	50237151	50241585	3	-	1	0.15
GWFAM193	RC_NC_073236.2_90474412_4	NC_073236.2	90474412	90495615	4	-	1	0.15
GWFAM45	RC_NC_073235.2_33685556_11	NC_073235.2	33685556	33710566	11	+	2	0.15
GWFAM229	RC_NC_073244.2_65905928_2	NC_073244.2	65905928	65915926	2	+	1	0.148
GWFAM55	RC_NC_073242.2_36142782_2	NC_073242.2	36142782	36145097	2	+	1	0.148
GWFAM34	RC_NC_073230.2_64431659_4	NC_073230.2	64431659	64443711	4	+	1	0.147
GWFAM43	RC_NC_073227.2_208193335_5	NC_073227.2	208193335	208472515	5	-	1	0.146
GWFAM46	RC_NC_073227.2_211100546_4	NC_073227.2	211100546	211124882	4	+	1	0.146
GWFAM228	RC_NC_073244.2_64265260_4	NC_073244.2	64265260	64291723	4	+	1	0.145
GWFAM228	RC_NC_073244.2_64527360_2	NC_073244.2	64527360	64529890	2	+	1	0.145
GWFAM77	RC_NC_073228.2_182933845_2	NC_073228.2	182933845	182939041	2	+	1	0.143
GWFAM225	RC_NC_073244.2_48620521_5	NC_073244.2	48620521	48640123	5	+	2	0.143
GWFAM9	RC_NC_073238.2_44791719_4	NC_073238.2	44791719	44948845	4	-	2	0.143
GWFAM20	RC_NC_073238.2_24435116_16	NC_073238.2	24435116	24483769	16	+	2	0.142
GWFAM170	RC_NC_073237.2_84509314_6	NC_073237.2	84509314	84517190	6	+	1	0.141
GWFAM62	RC_NC_073228.2_82076837_4	NC_073228.2	82076837	82088186	4	+	1	0.138
GWFAM154	RC_NC_073236.2_31388978_4	NC_073236.2	31388978	31438454	4	+	2	0.138
GWFAM228	RC_NC_073244.2_65046428_7	NC_073244.2	65046428	65071113	7	-	1	0.138
GWFAM90	RC_NC_073231.2_150344061_5	NC_073231.2	150344061	150351247	5	-	2	0.138
GWFAM73	RC_NC_073234.2_140824294_4	NC_073234.2	140824294	140879353	4	-	1	0.138
GWFAM159	RC_NC_073237.2_29867418_26	NC_073237.2	29867418	30100884	26	-	1	0.137
GWFAM223	RC_NC_073244.2_18107766_2	NC_073244.2	18107766	18113579	2	+	2	0.137
GWFAM227	RC_NC_073244.2_64779424_2	NC_073244.2	64779424	64800341	2	+	1	0.137
GWFAM180	RC_NC_073238.2_30078511_4	NC_073238.2	30078511	30107912	4	+	2	0.137
GWFAM254	RC_NC_073247.2_164861300_5	NC_073247.2	164861300	164890470	5	+	2	0.136
GWFAM151	RC_NC_073230.2_161022909_22	NC_073230.2	161022909	161255327	22	-	2	0.135
GWFAM24	RC_NC_073224.2_187048980_2	NC_073224.2	187048980	187058623	2	+	1	0.134
GWFAM34	RC_NC_073244.2_47966153_2	NC_073244.2	47966153	47978225	2	-	1	0.134
GWFAM178	RC_NC_073244.2_54343342_3	NC_073244.2	54343342	54377013	3	+	1	0.134
GWFAM58	RC_NC_073244.2_64688674_2	NC_073244.2	64688674	64695309	2	-	1	0.134
GWFAM201	RC_NC_073227.2_8849139_4	NC_073227.2	8849139	8885247	4	-	2	0.133
GWFAM228	RC_NC_073244.2_64668768_2	NC_073244.2	64668768	64675232	2	-	1	0.132
GWFAM37	RC_NC_073227.2_97008835_2	NC_073227.2	97008835	97055757	2	-	2	0.132
GWFAM93	RC_NC_073230.2_76875629_4	NC_073230.2	76875629	76900532	4	-	1	0.131
GWFAM225	RC_NC_073244.2_49105378_5	NC_073244.2	49105378	49124369	5	+	2	0.131
GWFAM55	RC_NC_073238.2_67020356_2	NC_073238.2	67020356	67022699	2	+	1	0.131
GWFAM178	RC_NC_073237.2_129609828_2	NC_073237.2	129609828	129630879	2	-	1	0.13
GWFAM228	RC_NC_073244.2_64724424_2	NC_073244.2	64724424	64762425	2	-	1	0.13
