tier	chrom	start	end	n_isoforms	n_fsm	n_psv	n_coseg	n_copies	frac_sec	frac_mq0	n_aln	minor_frac
C_multimap	NC_073240.2	59633797	59635389	1	0	3	3	2	0.111	0.000	40	0.300
C_multimap	NC_073241.2	55817399	55893099	2	0	3	3	2	0.981	0.000	6	0.500
C_multimap	NC_073242.2	27042175	27175493	1	0	7	3	2	0.327	0.314	175	0.171
C_multimap	NC_073242.2	67959391	68000604	1	0	12	3	2	0.380	0.581	31	0.364
C_multimap	NC_073242.2	82203493	82300673	2	0	3	3	2	0.222	0.000	7	0.429
C_multimap	NC_073242.2	90235360	90343772	1	0	3	3	2	0.158	0.000	16	0.455
C_multimap	NC_073242.2	104767093	104857594	1	0	3	3	2	0.868	0.111	18	0.500
C_multimap	NC_073242.2	107132657	107233004	2	0	3	3	2	0.306	0.000	25	0.375
C_multimap	NC_073243.2	30816172	30848012	1	1	19	3	2	0.744	0.000	202	0.312
C_multimap	NC_073244.2	21089681	21169017	1	0	4	3	2	0.200	0.000	12	0.375
C_multimap	NC_073246.2	32849871	32974816	4	0	8	3	2	0.244	0.000	34	0.423
C_multimap	NC_073247.2	167706455	167722400	1	0	19	3	2	0.646	0.029	69	0.190
C_multimap	NC_073247.2	167722549	167723238	1	0	8	3	2	0.637	0.031	65	0.146
