dn	n_kmers	km_median	km_mean	km_p90	km_frac_ge_100
DN_NC_073228.2_46729356_10	4636	2.0000	2.5321	6.0000	0.0000
DN_NC_073228.2_46778774_7	3073	0.0000	1.4514	3.0000	0.0000
DN_NC_073228.2_47938018_2	862	0.0000	4206.6114	123.6000	0.1044
DN_NC_073228.2_49477319_5	3798	1.0000	1726.3499	1.0000	0.0503
DN_NC_073228.2_49710333_4	3114	1.0000	1325.3439	20.7000	0.0662
DN_NC_073228.2_49804904_11	1797	0.0000	0.6071	2.0000	0.0000
DN_NC_073228.2_49856055_11	2427	0.0000	0.5876	2.0000	0.0000
DN_NC_073228.2_50347799_18	3103	0.0000	0.4776	1.0000	0.0000
DN_NC_073228.2_52119080_9	3352	0.0000	257.8470	1.0000	0.0030
DN_NC_073228.2_53278878_13	3317	0.0000	0.4974	1.0000	0.0000
DN_NC_073228.2_53674812_10	5383	0.0000	2.0162	1.0000	0.0020
DN_NC_073228.2_54243403_14	2096	0.0000	4.3349	11.0000	0.0000
DN_NC_073228.2_56462402_14	2096	0.0000	4.3841	11.0000	0.0000
DN_NC_073228.2_56531257_20	2999	0.0000	3.2154	11.0000	0.0000
DN_NC_073228.2_57285795_22	5741	0.0000	0.5999	2.0000	0.0000
DN_NC_073228.2_57477870_3	5054	0.0000	109.1915	1.0000	0.0265
DN_NC_073228.2_57567147_5	5403	0.0000	404.7690	2.0000	0.0202
DN_NC_073228.2_57583458_4	4140	0.0000	1.1529	1.0000	0.0036
DN_NC_073228.2_57642308_6	5330	0.0000	935.4456	2.0000	0.0259
DN_NC_073228.2_58045766_15	1981	0.0000	5.8864	1.0000	0.0096
DN_NC_073228.2_58687413_3	835	1.0000	0.7904	1.0000	0.0000
DN_NC_073228.2_58745873_3	731	0.0000	0.4733	1.0000	0.0000
DN_NC_073228.2_60766049_19	3105	0.0000	0.6209	1.0000	0.0003
DN_NC_073228.2_60914130_12	3082	1.0000	1.7349	5.0000	0.0000
DN_NC_073228.2_61034643_7	1016	0.0000	1731.4419	73.5000	0.0974
DN_NC_073228.2_62340772_5	4429	1.0000	1265.1739	11.0000	0.0813
DN_NC_073228.2_62433488_6	3458	0.0000	0.8953	3.0000	0.0000
DN_NC_073228.2_64369461_5	1252	0.0000	126.0216	13.0000	0.0208
DN_NC_073228.2_64684384_5	5423	0.0000	0.5491	1.0000	0.0000
DN_NC_073228.2_64691860_6	3552	0.0000	0.5405	1.0000	0.0000
DN_NC_073228.2_64755384_5	863	0.0000	0.4913	1.0000	0.0000
DN_NC_073228.2_64760968_3	4368	0.0000	620.0957	2.0000	0.0366
DN_NC_073228.2_64771915_4	4624	0.0000	292.6985	2.0000	0.0205
DN_NC_073228.2_64771950_2	3407	1.0000	3.2360	2.0000	0.0035
DN_NC_073228.2_66328056_2	3982	1.0000	202.5522	6.0000	0.0309
DN_NC_073228.2_70438436_2	1839	1.0000	1908.1751	4.0000	0.0457
DN_NC_073228.2_70719297_2	5157	0.0000	216.3481	5.0000	0.0246
DN_NC_073228.2_78724694_4	1658	0.0000	933.5633	4.0000	0.0549
DN_NC_073228.2_78872851_5	4482	1.0000	782.5826	10.0000	0.0283
DN_NC_073228.2_78970101_2	5372	0.0000	1.0437	3.0000	0.0000
DN_NC_073228.2_78970117_3	5450	0.0000	21.8809	3.0000	0.0035
DN_NC_073228.2_79204251_5	1419	1.0000	1.0529	3.0000	0.0000
DN_NC_073228.2_79859997_3	2693	1.0000	2.0353	6.0000	0.0000
DN_NC_073228.2_79926211_12	3431	0.0000	1.0726	3.0000	0.0000
DN_NC_073228.2_81446275_7	3971	1.0000	523.5553	3.0000	0.0217
DN_NC_073228.2_81689164_6	3057	1.0000	4.6726	5.0000	0.0072
DN_NC_073228.2_83259868_7	3970	0.0000	1.9128	4.0000	0.0023
DN_NC_073228.2_83368453_5	4543	1.0000	26.6016	5.0000	0.0108
DN_NC_073228.2_83434996_12	4374	0.0000	695.6573	3.0000	0.0295
DN_NC_073228.2_83513581_6	4227	1.0000	1.0643	1.0000	0.0009
DN_NC_073228.2_83600319_6	7796	1.0000	234.4851	1.0000	0.0144
DN_NC_073228.2_83796015_2	752	0.0000	1.2819	4.0000	0.0000
DN_NC_073228.2_84714357_6	3831	1.0000	696.0386	3.0000	0.0345
DN_NC_073228.2_8941710_13	3025	0.0000	0.4912	1.0000	0.0000
DN_NC_073228.2_9043620_39	6919	0.0000	0.4660	1.0000	0.0000
DN_NC_073228.2_91400267_25	7358	0.0000	1.6442	1.0000	0.0005
DN_NC_073228.2_91522397_9	5935	0.0000	1.9479	1.0000	0.0007
DN_NC_073228.2_9291784_6	2820	0.0000	1934.5553	3.0000	0.0631
DN_NC_073228.2_9345525_10	2809	0.0000	1.1171	2.0000	0.0014
DN_NC_073228.2_9720205_10	3765	0.0000	0.4717	1.0000	0.0000
DN_NC_073228.2_97705476_2	1676	1.0000	1.8431	1.0000	0.0018
DN_NC_073228.2_9959442_6	1043	0.0000	0.5053	1.0000	0.0000
DN_NC_073229.2_107305414_13	6804	0.0000	1.7643	1.0000	0.0034
DN_NC_073229.2_109663823_28	4934	0.0000	1112.8093	1970.0000	0.1117
DN_NC_073229.2_113642543_16	5472	0.0000	25.9170	1.0000	0.0042
DN_NC_073229.2_113787300_3	9290	1.0000	659.6363	3.0000	0.0304
DN_NC_073229.2_135821332_11	3005	0.0000	0.6329	1.0000	0.0003
DN_NC_073229.2_136502891_3	2442	0.0000	2.0635	2.0000	0.0016
DN_NC_073229.2_136550623_3	4495	2.0000	295.2801	9.0000	0.0527
DN_NC_073229.2_140139419_8	3669	1.0000	135.5530	1.0000	0.0281
DN_NC_073229.2_140449427_2	2364	1.0000	0.5148	1.0000	0.0000
DN_NC_073229.2_140476081_2	3230	1.0000	731.4715	1.0000	0.0334
DN_NC_073229.2_141117205_4	4825	0.0000	53.1190	4.0000	0.0265
DN_NC_073229.2_147682056_8	7996	1.0000	198.4715	1.0000	0.0183
DN_NC_073229.2_157439925_18	5583	0.0000	1.1789	1.0000	0.0011
DN_NC_073229.2_174132332_5	3497	1.0000	37.0512	3.0000	0.0166
DN_NC_073229.2_174168227_4	1629	0.0000	14.8330	2.0000	0.0080
DN_NC_073229.2_174230881_5	2910	0.0000	29.9732	3.0000	0.0155
DN_NC_073229.2_17702988_11	2167	0.0000	1.3738	4.0000	0.0000
DN_NC_073229.2_181371301_3	3970	1.0000	9.3537	1.0000	0.0071
DN_NC_073229.2_182999268_13	3164	0.0000	0.6707	1.0000	0.0003
DN_NC_073229.2_183992530_9	3794	0.0000	0.5751	1.0000	0.0000
DN_NC_073229.2_184008587_12	3814	0.0000	0.6366	2.0000	0.0000
DN_NC_073229.2_190755772_21	5344	0.0000	0.5608	1.0000	0.0004
DN_NC_073229.2_193493894_22	5847	0.0000	3.7188	1.0000	0.0012
DN_NC_073229.2_194862622_5	1078	0.0000	776.2597	39.3000	0.0659
DN_NC_073229.2_195378107_3	3009	0.0000	972.6763	35.2000	0.0818
DN_NC_073229.2_20497552_7	6878	1.0000	956.3585	2.0000	0.0365
DN_NC_073229.2_20766733_4	1680	0.0000	1.3274	4.0000	0.0000
DN_NC_073229.2_21470970_2	2100	0.0000	0.5124	1.0000	0.0000
DN_NC_073229.2_21709541_6	1284	1.0000	0.5491	1.0000	0.0000
DN_NC_073229.2_21735101_10	3939	0.0000	199.5260	1.0000	0.0094
DN_NC_073229.2_28348360_6	1127	0.0000	0.6823	2.0000	0.0000
DN_NC_073229.2_28419493_6	1485	0.0000	130.3077	2.0000	0.0088
DN_NC_073229.2_29619457_3	1020	1.0000	15.5814	2.0000	0.0294
DN_NC_073229.2_42464475_7	1111	0.0000	0.4707	1.0000	0.0000
DN_NC_073229.2_43677378_4	4465	0.0000	225.9295	31.6000	0.0802
DN_NC_073229.2_43808975_3	3380	0.0000	31.7618	1.0000	0.0151
DN_NC_073229.2_43841872_2	2581	1.0000	0.8206	1.0000	0.0000
DN_NC_073229.2_44058305_8	3583	0.0000	1.6910	2.0000	0.0025
DN_NC_073229.2_44079934_10	4157	0.0000	637.4109	2.0000	0.0200
DN_NC_073229.2_44118209_11	2959	0.0000	0.7401	2.0000	0.0000
DN_NC_073229.2_44135507_8	3227	0.0000	3.9582	2.0000	0.0015
DN_NC_073229.2_44179535_6	2651	0.0000	0.4832	1.0000	0.0000
DN_NC_073229.2_44501801_6	2319	0.0000	1624.0918	11.0000	0.0699
DN_NC_073229.2_44967262_5	2929	0.0000	16.4309	1.0000	0.0065
DN_NC_073229.2_45005781_3	4067	1.0000	31.1421	1.0000	0.0098
DN_NC_073229.2_45067329_6	4226	0.0000	2.7229	1.0000	0.0031
DN_NC_073229.2_45706582_4	1992	1.0000	769.2003	1.0000	0.0246
DN_NC_073229.2_45747170_4	1304	1.0000	0.6887	1.0000	0.0000
DN_NC_073229.2_45764485_6	7420	0.0000	9.6539	1.0000	0.0070
DN_NC_073229.2_45784439_7	3638	1.0000	229.6058	1.0000	0.0041
DN_NC_073229.2_45857463_4	1943	0.0000	1.1544	1.0000	0.0005
DN_NC_073229.2_45875453_5	4133	1.0000	657.8156	2.0000	0.0247
DN_NC_073229.2_45959984_4	2930	0.0000	0.6573	1.0000	0.0003
DN_NC_073229.2_45985816_6	4668	0.0000	1397.9756	2.0000	0.0668
DN_NC_073229.2_46022147_4	6473	0.0000	326.8783	1.0000	0.0137
DN_NC_073229.2_46514381_2	4955	1.0000	3.0490	1.0000	0.0067
DN_NC_073229.2_46518353_2	2806	1.0000	347.7929	1.0000	0.0075
DN_NC_073229.2_46656086_7	3642	0.0000	1321.5574	1.0000	0.0310
DN_NC_073229.2_47377766_7	1212	0.0000	0.8251	2.0000	0.0000
DN_NC_073229.2_47549272_8	1957	0.0000	0.9765	3.0000	0.0000
DN_NC_073229.2_47663527_8	1919	0.0000	0.9703	3.0000	0.0000
DN_NC_073229.2_48177425_8	4155	0.0000	830.7836	3.0000	0.0534
DN_NC_073229.2_48413863_4	2636	1.0000	1.2731	3.0000	0.0015
DN_NC_073229.2_48967498_8	2102	0.0000	0.9053	2.0000	0.0000
DN_NC_073229.2_49051174_8	1966	0.0000	0.8484	2.0000	0.0000
DN_NC_073229.2_49412440_2	3238	1.0000	9.9614	1.0000	0.0062
DN_NC_073229.2_49412455_2	2688	0.0000	0.5930	1.0000	0.0000
DN_NC_073229.2_49424718_2	3496	1.0000	1.0089	2.0000	0.0009
DN_NC_073229.2_49429142_2	3177	1.0000	263.1272	2.0000	0.0145
DN_NC_073229.2_49484905_28	3952	0.0000	2.3353	1.0000	0.0058
DN_NC_073229.2_49583451_41	5928	0.0000	0.8634	2.0000	0.0000
DN_NC_073229.2_49609902_41	5956	0.0000	0.8632	2.0000	0.0000
DN_NC_073229.2_49774005_9	2869	1.0000	4.5974	2.0000	0.0105
DN_NC_073229.2_50085643_6	2333	0.0000	1.1505	4.0000	0.0000
DN_NC_073229.2_50300098_6	1848	0.0000	1.4215	4.0000	0.0011
DN_NC_073229.2_50358119_5	1142	0.0000	0.6629	2.0000	0.0000
DN_NC_073229.2_50380193_5	1634	0.0000	0.5814	1.0000	0.0000
DN_NC_073229.2_50716510_5	3432	0.0000	421.4461	1.0000	0.0355
DN_NC_073229.2_50784857_5	1248	0.0000	0.4864	1.0000	0.0000
DN_NC_073229.2_50795834_6	2297	0.0000	0.5303	1.0000	0.0000
DN_NC_073229.2_52163606_6	770	0.0000	3.4818	14.0000	0.0000
DN_NC_073229.2_52271806_8	4006	1.0000	0.5537	1.0000	0.0000
DN_NC_073229.2_53231942_12	2841	0.0000	246.6639	1.0000	0.0039
DN_NC_073229.2_57565568_13	4920	0.0000	411.0384	1.0000	0.0201
DN_NC_073229.2_60720496_6	2392	0.0000	1.3763	1.0000	0.0008
DN_NC_073229.2_60778300_16	3010	0.0000	1.0478	1.0000	0.0017
DN_NC_073229.2_60831709_26	5494	0.0000	0.4929	1.0000	0.0000
DN_NC_073229.2_60853569_16	2408	0.0000	0.4605	1.0000	0.0000
DN_NC_073229.2_60975828_26	6421	0.0000	249.2032	1.0000	0.0143
DN_NC_073229.2_61929003_23	3241	0.0000	16.7448	1.0000	0.0089
DN_NC_073229.2_62050928_12	3352	0.0000	0.8816	3.0000	0.0000
DN_NC_073229.2_64639535_22	6018	0.0000	2.9676	1.0000	0.0027
DN_NC_073229.2_67950085_3	1306	5.0000	162.8813	385.5000	0.3292
DN_NC_073229.2_70515777_4	1646	0.0000	1.0115	1.0000	0.0000
DN_NC_073229.2_70527768_7	1027	0.0000	0.8354	3.0000	0.0000
DN_NC_073229.2_70567152_7	2496	0.0000	0.9431	3.0000	0.0000
DN_NC_073229.2_70609285_7	1250	0.0000	0.8248	3.0000	0.0000
DN_NC_073229.2_70674504_7	1296	0.0000	0.7253	2.0000	0.0000
DN_NC_073229.2_86209092_3	1445	0.0000	1.1529	2.0000	0.0000
DN_NC_073229.2_94673034_3	1221	1.0000	2460.6257	680.0000	0.1450
DN_NC_073229.2_94771458_11	3403	0.0000	0.8193	1.0000	0.0015
DN_NC_073229.2_94961202_4	6330	0.0000	0.4948	1.0000	0.0000
DN_NC_073229.2_97353754_3	3748	1.0000	1498.8138	2.0000	0.0472
DN_NC_073229.2_97456874_3	1599	1.0000	7.9068	1.0000	0.0063
DN_NC_073229.2_97606864_8	4035	1.0000	249.4411	12.0000	0.0164
DN_NC_073230.2_101581724_4	4349	0.0000	0.5300	1.0000	0.0000
DN_NC_073230.2_101602035_18	4560	0.0000	0.4998	1.0000	0.0000
DN_NC_073230.2_101646316_2	466	0.0000	0.5150	1.0000	0.0000
DN_NC_073230.2_108545376_8	3358	1.0000	264.9148	1.0000	0.0030
DN_NC_073230.2_112158616_4	3158	0.0000	1332.5329	3.0000	0.0453
DN_NC_073230.2_113873404_2	3481	1.0000	263.9199	1.0000	0.0161
DN_NC_073230.2_115994887_11	3598	0.0000	0.5170	1.0000	0.0000
DN_NC_073230.2_116119215_11	2799	0.0000	0.4666	1.0000	0.0000
DN_NC_073230.2_116150343_22	6510	0.0000	0.6614	1.0000	0.0005
DN_NC_073230.2_116851282_14	7541	0.0000	566.0924	1.0000	0.0516
DN_NC_073230.2_12413521_6	4061	0.0000	199.1714	2.0000	0.0116
DN_NC_073230.2_124939640_5	2071	0.0000	10.4737	1.0000	0.0169
DN_NC_073230.2_12962256_6	2101	0.0000	3.4641	7.0000	0.0029
DN_NC_073230.2_132467242_13	5760	0.0000	130.2851	1.0000	0.0665
DN_NC_073230.2_13331389_15	1742	0.0000	0.9351	2.0000	0.0000
DN_NC_073230.2_13358875_21	3121	0.0000	26.7212	2.0000	0.0045
DN_NC_073230.2_137552467_7	3426	0.0000	2190.0625	108.5000	0.1013
DN_NC_073230.2_13762772_6	2357	1.0000	27.1710	2.0000	0.0051
DN_NC_073230.2_137926513_11	2714	0.0000	323.3434	2.0000	0.0041
DN_NC_073230.2_138011361_9	2218	0.0000	0.6276	1.0000	0.0000
DN_NC_073230.2_14161449_15	4133	0.0000	277.2819	2.0000	0.0259
DN_NC_073230.2_14200490_21	3810	0.0000	45.9622	2.0000	0.0084
DN_NC_073230.2_14245227_15	1790	0.0000	0.9514	2.0000	0.0000
DN_NC_073230.2_143596666_10	3892	1.0000	918.2292	4.0000	0.0527
DN_NC_073230.2_143617302_10	2840	1.0000	1.3345	3.0000	0.0014
DN_NC_073230.2_149202220_20	3811	0.0000	2.3639	1.0000	0.0010
DN_NC_073230.2_149564614_8	3124	1.0000	1.1921	3.0000	0.0000
DN_NC_073230.2_150857421_7	2303	0.0000	23.3799	12.0000	0.0534
DN_NC_073230.2_152836468_8	5256	1.0000	101.5868	1.0000	0.0251
DN_NC_073230.2_152880918_9	5763	0.0000	90.2263	1.0000	0.0108
DN_NC_073230.2_159385621_3	3578	0.0000	837.8301	320.6000	0.1065
DN_NC_073230.2_159879400_23	4098	0.0000	0.4485	1.0000	0.0000
DN_NC_073230.2_160290576_8	2075	1.0000	0.7807	2.0000	0.0000
DN_NC_073230.2_161022909_27	4107	0.0000	5.7436	28.0000	0.0000
DN_NC_073230.2_161461454_2	1582	1.0000	2462.6075	61.6000	0.0999
DN_NC_073230.2_165840202_11	3811	0.0000	1399.2212	2.0000	0.0401
DN_NC_073230.2_168783006_4	818	0.0000	5.7689	21.0000	0.0000
DN_NC_073230.2_28044538_2	3914	0.0000	12.9888	1.0000	0.0128
DN_NC_073230.2_29909396_5	4280	0.0000	73.5341	3.0000	0.0301
DN_NC_073230.2_37931018_4	3770	0.0000	383.4204	2.0000	0.0456
DN_NC_073230.2_40386475_10	3450	0.0000	485.5875	2.0000	0.0267
DN_NC_073230.2_44313875_22	3780	0.0000	0.4886	1.0000	0.0000
DN_NC_073230.2_47037104_3	4316	1.0000	1892.0730	2.0000	0.0556
DN_NC_073230.2_47037167_3	1771	0.0000	1217.1852	178.0000	0.1180
DN_NC_073230.2_47098444_23	3554	0.0000	10.6579	6.0000	0.0129
DN_NC_073230.2_47332274_8	3708	0.0000	596.1006	2.0000	0.0162
DN_NC_073230.2_51605178_3	3445	0.0000	270.8508	2.0000	0.0322
DN_NC_073230.2_51812102_9	1640	0.0000	2543.9811	8.0000	0.0677
DN_NC_073230.2_51889040_3	873	0.0000	0.4960	1.0000	0.0000
DN_NC_073230.2_52044244_19	1818	0.0000	0.3823	1.0000	0.0000
DN_NC_073230.2_52428682_23	4333	0.0000	0.5022	1.0000	0.0000
DN_NC_073230.2_53547116_11	2862	0.0000	11.8892	5.0000	0.0276
DN_NC_073230.2_56036026_15	4696	0.0000	11.2266	1.0000	0.0285
DN_NC_073230.2_63523034_4	2623	1.0000	806.8422	2.0000	0.0396
DN_NC_073230.2_63938060_3	878	0.0000	1.3872	3.0000	0.0011
DN_NC_073230.2_63974160_10	3855	0.0000	1178.8936	17.0000	0.0431
DN_NC_073230.2_64191496_8	2209	1.0000	2637.7945	3.0000	0.0652
DN_NC_073230.2_64231587_14	3053	0.0000	0.8461	2.0000	0.0000
DN_NC_073230.2_64295055_2	614	0.0000	0.6336	1.0000	0.0000
DN_NC_073230.2_64705365_4	614	0.0000	1.3257	3.0000	0.0000
DN_NC_073230.2_64900495_2	7133	1.0000	147.1999	3.0000	0.0133
DN_NC_073230.2_72857214_2	2550	2.0000	2.8310	3.0000	0.0039
DN_NC_073230.2_72907176_2	2575	1.0000	1.8742	3.0000	0.0016
DN_NC_073230.2_73388327_2	2567	1.0000	1.7530	3.0000	0.0023
DN_NC_073230.2_73508332_4	5731	0.0000	121.9520	4.0000	0.0230
DN_NC_073230.2_73776646_4	7151	0.0000	21.6700	3.0000	0.0109
DN_NC_073230.2_73977205_4	3103	0.0000	5.0145	3.0000	0.0077
DN_NC_073230.2_74126483_4	4789	1.0000	154.8133	5.0000	0.0203
DN_NC_073230.2_74190280_2	4201	1.0000	40.9898	146.0000	0.2133
DN_NC_073230.2_74190289_5	3020	1.0000	435.1477	13.0000	0.0702
DN_NC_073230.2_74299233_4	3547	1.0000	549.3428	9.0000	0.0454
DN_NC_073230.2_74637722_4	3034	1.0000	4.6018	5.0000	0.0096
DN_NC_073230.2_74637814_2	2718	1.0000	4.9209	5.0000	0.0107
DN_NC_073230.2_74930869_10	2122	0.0000	0.6338	1.0000	0.0000
DN_NC_073230.2_74941165_2	4052	0.0000	1760.7261	3.0000	0.0681
DN_NC_073230.2_75755711_3	2182	0.0000	1.1343	3.0000	0.0005
DN_NC_073230.2_75935335_9	3798	0.0000	0.6295	2.0000	0.0000
DN_NC_073230.2_76179541_5	3468	0.0000	938.5112	3.0000	0.0461
DN_NC_073230.2_76190196_16	3654	0.0000	15.2039	2.0000	0.0079
DN_NC_073230.2_76425037_7	2069	0.0000	2188.5930	67.2000	0.0942
DN_NC_073230.2_80576116_9	2803	0.0000	1.0268	3.0000	0.0000
DN_NC_073230.2_81087606_7	2955	0.0000	8.6897	3.0000	0.0058
DN_NC_073230.2_82009167_15	3277	0.0000	0.7739	2.0000	0.0000
DN_NC_073230.2_82279960_5	1688	1.0000	1.1564	3.0000	0.0000
DN_NC_073230.2_82390460_3	2434	1.0000	0.8307	2.0000	0.0000
DN_NC_073230.2_82396764_10	1760	0.0000	0.7977	2.0000	0.0000
DN_NC_073230.2_82405962_7	2053	0.0000	0.5675	1.0000	0.0000
DN_NC_073230.2_83196711_9	2288	0.0000	0.4869	1.0000	0.0000
DN_NC_073230.2_84149572_5	1909	0.0000	282.4133	2.0000	0.0194
DN_NC_073230.2_84189831_5	1300	0.0000	261.2454	2.0000	0.0292
DN_NC_073230.2_84201987_11	1779	0.0000	756.5250	2.0000	0.0208
DN_NC_073230.2_84208466_3	3705	0.0000	0.7951	2.0000	0.0000
DN_NC_073230.2_84474222_2	4259	0.0000	784.8253	1.0000	0.0242
DN_NC_073230.2_84854491_12	1597	0.0000	0.4308	1.0000	0.0000
DN_NC_073230.2_86050165_15	2637	0.0000	0.5556	2.0000	0.0000
DN_NC_073230.2_86077849_4	2002	0.0000	6.5190	3.0000	0.0055
DN_NC_073230.2_86128587_5	1067	0.0000	7.7460	16.0000	0.0047
DN_NC_073230.2_86186055_4	2012	0.0000	18.2078	3.0000	0.0070
DN_NC_073230.2_86213678_7	2551	0.0000	9.4308	5.0000	0.0118
DN_NC_073230.2_86257459_21	2946	0.0000	1.9067	6.0000	0.0000
DN_NC_073230.2_87974016_14	3625	0.0000	0.4811	1.0000	0.0000
DN_NC_073230.2_88115984_10	1935	0.0000	4.5028	1.0000	0.0026
DN_NC_073230.2_88425670_12	2464	0.0000	109.1343	2.0000	0.0049
DN_NC_073230.2_88640144_6	1467	1.0000	1.7519	1.0000	0.0027
DN_NC_073230.2_88683937_6	2861	1.0000	1.2345	1.0000	0.0010
DN_NC_073230.2_88700652_4	2021	0.0000	1.3543	1.0000	0.0010
DN_NC_073230.2_88726357_6	6976	0.0000	1400.5199	1.0000	0.0568
DN_NC_073230.2_89256114_4	4645	0.0000	1124.7742	2.0000	0.0325
DN_NC_073230.2_89274458_2	2437	1.0000	1086.0874	1.0000	0.0328
DN_NC_073230.2_89296262_6	5778	0.0000	0.5633	1.0000	0.0000
DN_NC_073230.2_89330255_2	2049	1.0000	1182.4549	1.2000	0.0605
DN_NC_073230.2_89389986_8	6398	1.0000	852.6971	1.0000	0.0386
DN_NC_073230.2_89408091_6	1056	0.0000	0.4754	1.0000	0.0000
DN_NC_073230.2_90977223_13	2342	0.0000	0.6110	2.0000	0.0000
DN_NC_073230.2_91654449_3	7051	1.0000	157.5778	5.0000	0.0428
DN_NC_073230.2_92132360_3	1930	0.0000	695.3187	29.1000	0.0896
DN_NC_073230.2_94413807_52	5532	0.0000	0.4796	1.0000	0.0000
DN_NC_073230.2_95688791_4	6830	1.0000	127.0930	1.0000	0.0018
DN_NC_073230.2_95718597_3	7355	1.0000	7.0114	1.0000	0.0018
DN_NC_073230.2_98628332_5	2757	0.0000	0.6061	2.0000	0.0000
DN_NC_073230.2_98668717_3	2247	1.0000	1.0525	3.0000	0.0000
DN_NC_073231.2_104280615_11	2863	0.0000	0.6008	1.0000	0.0003
DN_NC_073231.2_105681903_7	3708	0.0000	48.2567	1.0000	0.0102
DN_NC_073231.2_105703620_4	3287	1.0000	54.4831	1.0000	0.0116
DN_NC_073231.2_107519754_4	5039	1.0000	413.8780	1.0000	0.0447
DN_NC_073231.2_109134791_7	3824	0.0000	2.3632	1.0000	0.0008
DN_NC_073231.2_114003443_13	2749	1.0000	7.5558	1.0000	0.0029
DN_NC_073231.2_11581641_7	2255	1.0000	2.4745	8.0000	0.0000
DN_NC_073231.2_12364354_11	2171	0.0000	0.4579	1.0000	0.0000
DN_NC_073231.2_130802378_3	5059	0.0000	590.4339	1.0000	0.0285
DN_NC_073231.2_130827518_11	8520	0.0000	269.7920	1.0000	0.0216
DN_NC_073231.2_130851528_29	5953	0.0000	1.1648	1.0000	0.0010
DN_NC_073231.2_14164248_27	9666	0.0000	1.2930	1.0000	0.0008
DN_NC_073231.2_148826481_3	2652	0.0000	1407.0863	25.9000	0.0860
DN_NC_073231.2_149140314_3	4328	0.0000	771.6583	1.0000	0.0455
DN_NC_073231.2_149487100_2	4877	0.0000	2.1029	1.0000	0.0016
DN_NC_073231.2_149487156_2	5140	0.0000	2.0214	1.0000	0.0016
DN_NC_073231.2_150568091_5	3443	0.0000	0.7659	1.0000	0.0003
DN_NC_073231.2_150618111_5	2728	0.0000	1276.5260	2.0000	0.0499
DN_NC_073231.2_150671293_2	1947	1.0000	0.8485	1.0000	0.0010
DN_NC_073231.2_150671310_5	2679	1.0000	1291.8735	2.0000	0.0377
DN_NC_073231.2_150726059_5	6272	0.0000	876.6374	1.0000	0.0365
DN_NC_073231.2_150777699_3	4964	0.0000	497.5979	1.0000	0.0207
DN_NC_073231.2_150817007_4	5265	0.0000	572.3295	1.0000	0.0218
DN_NC_073231.2_150893284_5	3973	0.0000	434.2341	2.0000	0.0342
DN_NC_073231.2_150902261_3	2257	0.0000	1611.6602	25.0000	0.0789
DN_NC_073231.2_151095996_10	3304	0.0000	995.6416	38.0000	0.0493
DN_NC_073231.2_151170137_9	2133	0.0000	1450.3385	8.0000	0.0483
DN_NC_073231.2_26115616_28	4869	0.0000	0.8236	1.0000	0.0014
DN_NC_073231.2_27206312_6	4335	1.0000	3.5280	1.0000	0.0016
DN_NC_073231.2_27219653_9	5296	1.0000	909.9637	2.0000	0.0515
DN_NC_073231.2_27335163_6	3497	1.0000	705.9457	2.0000	0.0112
DN_NC_073231.2_27367940_9	3630	1.0000	339.5248	2.0000	0.0110
DN_NC_073231.2_27420263_10	2697	0.0000	1137.8365	1.0000	0.0260
DN_NC_073231.2_30601556_2	3886	0.0000	0.6552	2.0000	0.0000
DN_NC_073231.2_30794526_14	4886	0.0000	25.9863	1.0000	0.0090
DN_NC_073231.2_32715505_7	5718	0.0000	0.8716	1.0000	0.0010
DN_NC_073231.2_33560018_4	2508	0.0000	0.5008	1.0000	0.0000
DN_NC_073231.2_35021307_7	1589	1.0000	0.5160	1.0000	0.0000
DN_NC_073231.2_4571400_3	5620	1.0000	522.9774	7.0000	0.0274
DN_NC_073231.2_4596743_6	4495	1.0000	1309.6830	1.0000	0.0398
DN_NC_073231.2_47085106_7	2341	0.0000	8.7407	11.0000	0.0017
DN_NC_073231.2_49018603_18	4202	0.0000	0.6661	1.0000	0.0007
DN_NC_073231.2_50727873_22	5597	0.0000	0.6073	1.0000	0.0005
DN_NC_073231.2_53153474_12	2888	0.0000	0.4612	1.0000	0.0000
DN_NC_073231.2_53708239_3	920	0.0000	3883.2359	256.7000	0.1141
DN_NC_073231.2_6126395_2	1954	0.0000	1260.1172	200.7000	0.1136
DN_NC_073231.2_79409495_17	4463	0.0000	0.5113	1.0000	0.0000
DN_NC_073231.2_79838229_13	4261	1.0000	0.5729	1.0000	0.0000
DN_NC_073231.2_79866967_2	2851	0.0000	53.2459	153.0000	0.2634
DN_NC_073231.2_83007056_9	5050	0.0000	8.4877	1.0000	0.0085
DN_NC_073232.2_100192352_9	3349	1.0000	3.4395	2.0000	0.0027
DN_NC_073232.2_100896386_2	3063	1.0000	155.6321	1.0000	0.0095
DN_NC_073232.2_100896386_3	2385	1.0000	199.5191	1.0000	0.0122
DN_NC_073232.2_101260375_9	1739	0.0000	0.5883	1.0000	0.0000
DN_NC_073232.2_101543079_10	3747	1.0000	577.3363	1.0000	0.0576
DN_NC_073232.2_103494970_2	4527	1.0000	4.4944	1.0000	0.0046
DN_NC_073232.2_104141687_27	6108	0.0000	0.4488	1.0000	0.0000
DN_NC_073232.2_104390833_9	4467	1.0000	23.4936	1.0000	0.0025
DN_NC_073232.2_108139494_4	5781	1.0000	83.0735	9.0000	0.0521
DN_NC_073232.2_108425417_2	5457	1.0000	0.5454	1.0000	0.0000
