dn_a	dn_b	n_exon_a	n_exon_b	n_exon_min	colinear	colinear_nd	n_matched	exon_match_frac	mean_matched_id	best_exon_id	isolated_domain	colinear_50	colinear_60	colinear_65	colinear_70	colinear_75	colinear_80
DN_NC_073230.2_14161449_15	DN_NC_073230.2_76425037_7	15	7	7	4	4	4	0.5714	0.9564	0.9672	0	6	4	4	4	4	4
DN_NC_073230.2_14161449_15	DN_NC_073230.2_81087606_7	15	7	7	4	4	4	0.5714	0.9426	0.9767	0	6	4	4	4	4	4
DN_NC_073230.2_143596666_10	DN_NC_073230.2_143617302_10	10	10	10	8	8	8	0.8	0.9758	1.0	0	9	8	8	8	8	8
DN_NC_073230.2_149202220_20	DN_NC_073247.2_64062359_23	20	23	20	3	3	3	0.15	0.7636	0.8046	0	12	9	8	3	2	1
DN_NC_073230.2_149564614_8	DN_NC_073247.2_51197700_2	8	2	2	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0
DN_NC_073230.2_150857421_7	DN_NC_073241.2_83874271_3	7	3	3	1	1	1	0.3333	0.8241	0.8241	1	2	1	1	1	1	1
DN_NC_073230.2_150857421_7	DN_NC_073244.2_6165323_3	7	3	3	1	1	1	0.3333	0.8119	0.8119	1	2	1	1	1	1	1
DN_NC_073230.2_152836468_8	DN_NC_073230.2_152880918_9	8	9	8	5	5	5	0.625	0.7878	0.8454	0	7	6	6	5	4	2
DN_NC_073230.2_159385621_3	DN_NC_073230.2_92132360_3	3	3	3	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073230.2_159385621_3	DN_NC_073234.2_126370406_2	3	2	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073230.2_159385621_3	DN_NC_073235.2_71373985_7	3	7	3	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073230.2_159385621_3	DN_NC_073239.2_123333523_2	3	2	2	0	0	0	0.0	0.0	0.0	0	1	1	0	0	0	0
DN_NC_073230.2_159385621_3	DN_NC_073244.2_43610901_6	3	6	3	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073230.2_159385621_3	DN_NC_073247.2_115708949_2	3	2	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073230.2_159385621_3	DN_NC_073247.2_147586730_5	3	5	3	0	0	0	0.0	0.0	0.0	0	2	1	0	0	0	0
DN_NC_073230.2_159879400_23	DN_NC_073235.2_122326496_17	23	17	17	9	9	9	0.5294	0.7583	0.8611	0	15	14	13	9	3	1
DN_NC_073230.2_160290576_8	DN_NC_073232.2_68914292_6	8	6	6	0	0	0	0.0	0.0	0.0	0	3	0	0	0	0	0
DN_NC_073230.2_161022909_27	DN_NC_073236.2_21263952_7	27	7	7	3	3	3	0.4286	0.9753	0.9883	0	5	3	3	3	3	3
DN_NC_073230.2_161022909_27	DN_NC_073238.2_22875925_6	27	6	6	4	4	4	0.6667	0.9766	0.9883	0	6	4	4	4	4	4
DN_NC_073230.2_161022909_27	DN_NC_073238.2_24580375_8	27	8	8	4	4	4	0.5	0.9684	0.9777	0	5	4	4	4	4	4
DN_NC_073230.2_161022909_27	DN_NC_073240.2_14396114_6	27	6	6	2	2	2	0.3333	0.9722	0.9883	0	5	2	2	2	2	2
DN_NC_073230.2_161461454_2	DN_NC_073233.2_24803514_8	2	8	2	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073230.2_161461454_2	DN_NC_073236.2_23070420_5	2	5	2	1	1	1	0.5	0.8924	0.8924	1	2	1	1	1	1	1
DN_NC_073230.2_161461454_2	DN_NC_073238.2_25250945_5	2	5	2	1	1	1	0.5	0.8924	0.8924	1	2	1	1	1	1	1
DN_NC_073230.2_161461454_2	DN_NC_073240.2_17174470_5	2	5	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073230.2_168783006_4	DN_NC_073231.2_150902261_3	4	3	3	2	2	2	0.6667	0.9868	1.0	0	2	2	2	2	2	2
DN_NC_073230.2_168783006_4	DN_NC_073232.2_146269317_5	4	5	4	3	3	3	0.75	0.9756	0.9877	0	3	3	3	3	3	3
DN_NC_073230.2_168783006_4	DN_NC_073232.2_8583099_4	4	4	4	3	3	3	0.75	0.9785	0.9879	0	3	3	3	3	3	3
DN_NC_073230.2_168783006_4	DN_NC_073236.2_140400059_5	4	5	4	3	3	3	0.75	0.9876	0.9934	0	3	3	3	3	3	3
DN_NC_073230.2_168783006_4	DN_NC_073237.2_118498911_4	4	4	4	3	3	3	0.75	0.9834	0.9939	0	3	3	3	3	3	3
DN_NC_073230.2_168783006_4	DN_NC_073239.2_124648897_4	4	4	4	3	3	3	0.75	0.9916	1.0	0	3	3	3	3	3	3
DN_NC_073230.2_168783006_4	DN_NC_073240.2_103747497_4	4	4	4	3	3	3	0.75	0.986	1.0	0	3	3	3	3	3	3
DN_NC_073230.2_168783006_4	DN_NC_073241.2_110003031_5	4	5	4	3	3	3	0.75	0.9837	0.9877	0	3	3	3	3	3	3
DN_NC_073230.2_168783006_4	DN_NC_073242.2_121237165_4	4	4	4	3	3	3	0.75	0.9892	1.0	0	3	3	3	3	3	3
DN_NC_073230.2_168783006_4	DN_NC_073244.2_70818649_5	4	5	4	3	3	3	0.75	0.9813	0.9938	0	3	3	3	3	3	3
DN_NC_073230.2_168783006_4	DN_NC_086017.1_211655827_5	4	5	4	3	3	3	0.75	0.9828	0.9938	0	3	3	3	3	3	3
DN_NC_073230.2_168783006_4	DN_NC_086017.1_9337960_4	4	4	4	4	4	4	1.0	0.979	0.9939	0	4	4	4	4	4	4
DN_NC_073230.2_28044538_2	DN_NC_073239.2_98531685_2	2	2	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073230.2_28044538_2	DN_NC_073243.2_97368870_3	2	3	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073230.2_29909396_5	DN_NC_073230.2_98628332_5	5	5	5	3	3	3	0.6	0.983	0.9939	0	4	3	3	3	3	3
DN_NC_073230.2_37931018_4	DN_NC_073236.2_112799498_6	4	6	4	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073230.2_40386475_10	DN_NC_073230.2_63523034_4	10	4	4	3	3	3	0.75	0.9834	0.9931	0	4	3	3	3	3	3
DN_NC_073230.2_44313875_22	DN_NC_073245.2_58594952_21	22	21	21	13	13	13	0.619	0.7565	0.8361	0	20	19	18	13	7	2
DN_NC_073230.2_47037104_3	DN_NC_073230.2_51605178_3	3	3	3	2	2	2	0.6667	0.934	0.9917	0	2	2	2	2	2	2
DN_NC_073230.2_47037167_3	DN_NC_073230.2_51605178_3	3	3	3	2	2	2	0.6667	0.9898	0.9917	0	2	2	2	2	2	2
DN_NC_073230.2_47037167_3	DN_NC_073233.2_132992860_18	3	18	3	0	0	0	0.0	0.0	0.0	0	3	1	1	0	0	0
DN_NC_073230.2_47037167_3	DN_NC_086018.1_40100382_3	3	3	3	0	0	0	0.0	0.0	0.0	0	1	1	1	0	0	0
DN_NC_073230.2_47098444_23	DN_NC_073230.2_51812102_9	23	9	9	3	3	3	0.3333	0.9675	0.9828	0	7	3	3	3	3	3
DN_NC_073230.2_47098444_23	DN_NC_073230.2_86128587_5	23	5	5	3	3	3	0.6	0.9731	0.9888	0	5	3	3	3	3	3
DN_NC_073230.2_47098444_23	DN_NC_073230.2_86257459_21	23	21	21	8	8	16	0.7619	0.9729	0.9924	0	10	8	8	8	8	8
DN_NC_073230.2_47332274_8	DN_NC_073244.2_63917963_3	8	3	3	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073230.2_51812102_9	DN_NC_073230.2_86128587_5	9	5	5	4	4	4	0.8	0.9545	0.9943	0	5	4	4	4	4	4
DN_NC_073230.2_51812102_9	DN_NC_073230.2_86213678_7	9	7	7	6	6	6	0.8571	0.9653	0.9938	0	6	6	6	6	6	6
DN_NC_073230.2_51889040_3	DN_NC_073232.2_109704136_4	3	4	3	2	2	2	0.6667	0.7776	0.7778	0	2	2	2	2	2	0
DN_NC_073230.2_52044244_19	DN_NC_073232.2_41878762_20	19	20	19	15	15	15	0.7895	0.7957	0.883	0	18	18	17	15	12	7
DN_NC_073230.2_52428682_23	DN_NC_073232.2_66124270_23	23	23	23	18	18	18	0.7826	0.7926	0.8989	0	22	20	19	18	15	6
DN_NC_073230.2_53547116_11	DN_NC_073230.2_64295055_2	11	2	2	0	0	0	0.0	0.0	0.0	0	2	1	1	0	0	0
DN_NC_073230.2_53547116_11	DN_NC_073230.2_64705365_4	11	4	4	0	0	0	0.0	0.0	0.0	0	3	1	1	0	0	0
DN_NC_073230.2_53547116_11	DN_NC_073233.2_55845432_8	11	8	8	5	5	5	0.625	0.8718	0.9398	0	5	5	5	5	5	4
DN_NC_073230.2_56036026_15	DN_NC_073233.2_11450665_3	15	3	3	1	1	1	0.3333	0.7811	0.7811	1	3	1	1	1	1	0
DN_NC_073230.2_56036026_15	DN_NC_073246.2_35769268_8	15	8	8	1	1	1	0.125	0.9054	0.9054	1	6	1	1	1	1	1
DN_NC_073230.2_63938060_3	DN_NC_073230.2_64191496_8	3	8	3	2	2	2	0.6667	0.8585	0.9464	0	3	2	2	2	2	1
DN_NC_073230.2_63938060_3	DN_NC_073230.2_64295055_2	3	2	2	0	0	0	0.0	0.0	0.0	0	2	1	1	0	0	0
DN_NC_073230.2_63938060_3	DN_NC_073230.2_64705365_4	3	4	3	2	2	2	0.6667	0.9949	1.0	0	3	2	2	2	2	2
DN_NC_073230.2_63974160_10	DN_NC_073236.2_47432803_11	10	11	10	7	7	7	0.7	0.8079	0.8656	0	9	8	8	7	7	3
DN_NC_073230.2_63974160_10	DN_NC_073245.2_35625538_4	10	4	4	0	0	0	0.0	0.0	0.0	0	3	0	0	0	0	0
DN_NC_073230.2_64191496_8	DN_NC_073230.2_64705365_4	8	4	4	1	1	1	0.25	0.9464	0.9464	1	3	1	1	1	1	1
DN_NC_073230.2_64900495_2	DN_NC_073230.2_73977205_4	2	4	2	0	0	0	0.0	0.0	0.0	0	1	1	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073230.2_74126483_4	2	4	2	0	0	0	0.0	0.0	0.0	0	2	1	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073230.2_74190289_5	2	5	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073230.2_74299233_4	2	4	2	0	0	0	0.0	0.0	0.0	0	1	1	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073242.2_66613619_4	2	4	2	0	0	0	0.0	0.0	0.0	0	2	1	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_26240039_2	2	2	2	0	0	0	0.0	0.0	0.0	0	1	1	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_26470366_4	2	4	2	0	0	0	0.0	0.0	0.0	0	1	1	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_26666712_5	2	5	2	0	0	0	0.0	0.0	0.0	0	1	1	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_27131194_2	2	2	2	0	0	0	0.0	0.0	0.0	0	1	1	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_27285351_4	2	4	2	0	0	0	0.0	0.0	0.0	0	2	1	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_27504818_5	2	5	2	0	0	0	0.0	0.0	0.0	0	1	1	1	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_27765726_4	2	4	2	0	0	0	0.0	0.0	0.0	0	1	1	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_27956158_2	2	2	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_28072858_4	2	4	2	0	0	0	0.0	0.0	0.0	0	1	1	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_28711447_2	2	2	2	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_29232445_4	2	4	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_29557605_4	2	4	2	0	0	0	0.0	0.0	0.0	0	1	1	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_29680825_2	2	2	2	0	0	0	0.0	0.0	0.0	0	2	1	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_29970261_4	2	4	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073230.2_64900495_2	DN_NC_073244.2_30438386_2	2	2	2	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073230.2_72857214_2	DN_NC_073230.2_72907176_2	2	2	2	2	2	2	1.0	0.9969	0.9996	0	2	2	2	2	2	2
DN_NC_073230.2_72857214_2	DN_NC_073230.2_73388327_2	2	2	2	2	2	2	1.0	0.8673	0.9033	0	2	2	2	2	2	2
DN_NC_073230.2_72907176_2	DN_NC_073230.2_73388327_2	2	2	2	2	2	2	1.0	0.8743	0.9037	0	2	2	2	2	2	2
DN_NC_073230.2_73508332_4	DN_NC_073230.2_73977205_4	4	4	4	2	2	2	0.5	0.8021	0.8105	0	4	4	2	2	2	2
DN_NC_073230.2_73508332_4	DN_NC_073230.2_74126483_4	4	4	4	2	2	2	0.5	0.7889	0.8	0	4	3	2	2	2	1
DN_NC_073230.2_73508332_4	DN_NC_073230.2_74190289_5	4	5	4	2	2	2	0.5	0.7875	0.8211	0	3	2	2	2	2	1
DN_NC_073230.2_73508332_4	DN_NC_073230.2_74299233_4	4	4	4	2	2	2	0.5	0.814	0.8175	0	4	4	2	2	2	2
DN_NC_073230.2_73508332_4	DN_NC_073230.2_74637814_2	4	2	2	0	0	0	0.0	0.0	0.0	0	2	1	1	0	0	0
DN_NC_073230.2_73508332_4	DN_NC_073242.2_37386128_4	4	4	4	2	2	2	0.5	0.8048	0.8095	0	4	4	2	2	2	2
DN_NC_073230.2_73508332_4	DN_NC_073242.2_66613619_4	4	4	4	2	2	2	0.5	0.7983	0.8108	0	4	3	2	2	2	1
DN_NC_073230.2_73508332_4	DN_NC_073244.2_26240035_4	4	4	4	2	2	2	0.5	0.7534	0.8016	0	4	4	2	2	1	1
DN_NC_073230.2_73508332_4	DN_NC_073244.2_26314241_4	4	4	4	2	2	2	0.5	0.7665	0.7857	0	4	3	2	2	1	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_26470366_4	4	4	4	2	2	2	0.5	0.8048	0.8175	0	4	4	2	2	2	2
DN_NC_073230.2_73508332_4	DN_NC_073244.2_26666712_5	4	5	4	2	2	2	0.5	0.7627	0.8095	0	3	3	2	2	1	1
DN_NC_073230.2_73508332_4	DN_NC_073244.2_26901109_4	4	4	4	1	1	1	0.25	0.7158	0.7158	1	3	3	1	1	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27051998_4	4	4	4	2	2	2	0.5	0.7679	0.8095	0	4	3	2	2	1	1
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27131194_2	4	2	2	0	0	0	0.0	0.0	0.0	0	2	1	0	0	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27285351_4	4	4	4	2	2	2	0.5	0.7573	0.7778	0	4	2	2	2	1	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27408454_4	4	4	4	2	2	2	0.5	0.7837	0.8095	0	4	4	2	2	2	1
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27504818_5	4	5	4	2	2	2	0.5	0.8009	0.8333	0	4	4	2	2	2	1
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27626411_5	4	5	4	2	2	2	0.5	0.7864	0.8254	0	4	4	2	2	1	1
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27765726_4	4	4	4	2	2	2	0.5	0.7876	0.7895	0	3	3	3	2	2	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27869273_3	4	3	3	1	1	1	0.3333	0.8	0.8	1	2	1	1	1	1	1
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27956158_2	4	2	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_28072858_4	4	4	4	2	2	2	0.5	0.7745	0.8016	0	4	4	2	2	1	1
DN_NC_073230.2_73508332_4	DN_NC_073244.2_28256975_5	4	5	4	2	2	2	0.5	0.8219	0.8333	0	4	4	2	2	2	2
DN_NC_073230.2_73508332_4	DN_NC_073244.2_28333451_4	4	4	4	2	2	2	0.5	0.7942	0.8095	0	4	4	3	2	2	1
DN_NC_073230.2_73508332_4	DN_NC_073244.2_28711447_2	4	2	2	0	0	0	0.0	0.0	0.0	0	2	2	0	0	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_28820229_4	4	4	4	2	2	2	0.5	0.7955	0.8016	0	4	2	2	2	2	1
DN_NC_073230.2_73508332_4	DN_NC_073244.2_29046961_4	4	4	4	2	2	2	0.5	0.7955	0.8016	0	4	4	2	2	2	1
DN_NC_073230.2_73508332_4	DN_NC_073244.2_29232445_4	4	4	4	2	2	2	0.5	0.8113	0.8211	0	2	2	2	2	2	2
DN_NC_073230.2_73508332_4	DN_NC_073244.2_29297022_4	4	4	4	2	2	2	0.5	0.7679	0.8175	0	4	3	2	2	1	1
DN_NC_073230.2_73508332_4	DN_NC_073244.2_29557605_4	4	4	4	2	2	2	0.5	0.81	0.8105	0	3	3	2	2	2	2
DN_NC_073230.2_73508332_4	DN_NC_073244.2_29680825_2	4	2	2	0	0	0	0.0	0.0	0.0	0	2	1	0	0	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_29970261_4	4	4	4	2	2	2	0.5	0.7692	0.8095	0	3	2	2	2	1	1
DN_NC_073230.2_73508332_4	DN_NC_073244.2_30067652_4	4	4	4	2	2	2	0.5	0.7784	0.8095	0	4	2	2	2	1	1
DN_NC_073230.2_73508332_4	DN_NC_073244.2_30090650_6	4	6	4	1	1	1	0.25	0.7579	0.7579	1	3	3	2	1	1	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_30438386_2	4	2	2	0	0	0	0.0	0.0	0.0	0	2	1	0	0	0	0
DN_NC_073230.2_73508332_4	DN_NC_073244.2_65046428_2	4	4	4	1	1	1	0.25	0.8083	0.8083	1	1	1	1	1	1	1
DN_NC_073230.2_73508332_4	DN_NC_073244.2_65266359_4	4	4	4	1	1	1	0.25	0.7698	0.7698	1	2	1	1	1	1	0
DN_NC_073230.2_73776646_4	DN_NC_073230.2_73977205_4	4	4	4	2	2	2	0.5	0.8074	0.8211	0	3	3	2	2	2	2
DN_NC_073230.2_73776646_4	DN_NC_073230.2_74126483_4	4	4	4	2	2	2	0.5	0.7942	0.8105	0	4	3	3	2	2	1
DN_NC_073230.2_73776646_4	DN_NC_073230.2_74190289_5	4	5	4	2	2	2	0.5	0.7967	0.8316	0	3	2	2	2	2	1
DN_NC_073230.2_73776646_4	DN_NC_073230.2_74299233_4	4	4	4	2	2	2	0.5	0.8232	0.8254	0	3	3	2	2	2	2
DN_NC_073230.2_73776646_4	DN_NC_073230.2_74637814_2	4	2	2	0	0	0	0.0	0.0	0.0	0	1	1	0	0	0	0
DN_NC_073230.2_73776646_4	DN_NC_073242.2_66613619_4	4	4	4	2	2	2	0.5	0.8011	0.8243	0	4	3	2	2	2	1
DN_NC_073230.2_73776646_4	DN_NC_073244.2_26240035_4	4	4	4	2	2	2	0.5	0.7613	0.7857	0	3	3	2	2	1	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_26314241_4	4	4	4	2	2	2	0.5	0.7678	0.7857	0	3	2	2	2	2	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_26470366_4	4	4	4	2	2	2	0.5	0.8048	0.8175	0	3	3	2	2	2	2
DN_NC_073230.2_73776646_4	DN_NC_073244.2_26666712_5	4	5	4	2	2	2	0.5	0.7692	0.8095	0	3	3	2	2	1	1
DN_NC_073230.2_73776646_4	DN_NC_073244.2_27051998_4	4	4	4	2	2	2	0.5	0.785	0.8016	0	3	3	2	2	2	1
DN_NC_073230.2_73776646_4	DN_NC_073244.2_27285351_4	4	4	4	2	2	2	0.5	0.7586	0.7778	0	4	3	2	2	1	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_27408454_4	4	4	4	2	2	2	0.5	0.789	0.8095	0	4	3	2	2	2	1
DN_NC_073230.2_73776646_4	DN_NC_073244.2_27504818_5	4	5	4	2	2	2	0.5	0.8009	0.8333	0	3	3	3	2	2	1
DN_NC_073230.2_73776646_4	DN_NC_073244.2_27626411_5	4	5	4	2	2	2	0.5	0.7877	0.8254	0	3	3	2	2	2	1
DN_NC_073230.2_73776646_4	DN_NC_073244.2_27765726_4	4	4	4	2	2	2	0.5	0.7889	0.8	0	3	3	2	2	2	1
DN_NC_073230.2_73776646_4	DN_NC_073244.2_27869273_3	4	3	3	1	1	1	0.3333	0.7895	0.7895	1	2	1	1	1	1	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_27956158_2	4	2	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_28072858_4	4	4	4	2	2	2	0.5	0.7652	0.8016	0	3	2	2	2	1	1
DN_NC_073230.2_73776646_4	DN_NC_073244.2_28333451_4	4	4	4	2	2	2	0.5	0.7903	0.8095	0	4	3	3	2	2	1
DN_NC_073230.2_73776646_4	DN_NC_073244.2_28588105_4	4	4	4	2	2	2	0.5	0.8377	0.8421	0	4	3	2	2	2	2
DN_NC_073230.2_73776646_4	DN_NC_073244.2_28711447_2	4	2	2	0	0	0	0.0	0.0	0.0	0	2	1	0	0	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_29046961_4	4	4	4	2	2	2	0.5	0.8232	0.8254	0	4	3	2	2	2	2
DN_NC_073230.2_73776646_4	DN_NC_073244.2_29232445_4	4	4	4	2	2	2	0.5	0.8061	0.8105	0	2	2	2	2	2	2
DN_NC_073230.2_73776646_4	DN_NC_073244.2_29297022_4	4	4	4	2	2	2	0.5	0.7732	0.8175	0	4	3	2	2	1	1
DN_NC_073230.2_73776646_4	DN_NC_073244.2_29557605_4	4	4	4	2	2	2	0.5	0.8113	0.8211	0	3	3	2	2	2	2
DN_NC_073230.2_73776646_4	DN_NC_073244.2_29680825_2	4	2	2	0	0	0	0.0	0.0	0.0	0	2	1	0	0	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_30067652_4	4	4	4	2	2	2	0.5	0.785	0.8016	0	4	2	2	2	2	1
DN_NC_073230.2_73776646_4	DN_NC_073244.2_30438386_2	4	2	2	0	0	0	0.0	0.0	0.0	0	2	1	0	0	0	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_64265252_5	4	5	4	1	1	1	0.25	0.8016	0.8016	1	3	2	1	1	1	1
DN_NC_073230.2_73776646_4	DN_NC_073244.2_64585864_4	4	4	4	1	1	1	0.25	0.7857	0.7857	1	2	1	1	1	1	0
DN_NC_073230.2_73776646_4	DN_NC_073244.2_64836827_4	4	4	4	1	1	1	0.25	0.7778	0.7778	1	2	1	1	1	1	0
DN_NC_073230.2_73977205_4	DN_NC_073230.2_74126483_4	4	4	4	3	3	3	0.75	0.8874	0.9048	0	4	4	4	3	3	3
DN_NC_073230.2_73977205_4	DN_NC_073230.2_74190289_5	4	5	4	3	3	3	0.75	0.8515	0.881	0	4	4	4	3	3	3
DN_NC_073230.2_73977205_4	DN_NC_073230.2_74299233_4	4	4	4	4	4	4	1.0	0.8686	0.9365	0	4	4	4	4	3	3
DN_NC_073230.2_73977205_4	DN_NC_073230.2_74637814_2	4	2	2	2	2	2	1.0	0.7898	0.8249	0	2	2	2	2	2	1
DN_NC_073230.2_73977205_4	DN_NC_073233.2_9788172_5	4	5	4	2	2	2	0.5	0.7942	0.8175	0	4	4	2	2	2	1
DN_NC_073230.2_73977205_4	DN_NC_073241.2_36126198_2	4	2	2	0	0	0	0.0	0.0	0.0	0	2	2	1	0	0	0
DN_NC_073230.2_73977205_4	DN_NC_073242.2_37386128_4	4	4	4	2	2	2	0.5	0.7903	0.8016	0	4	4	2	2	2	1
DN_NC_073230.2_73977205_4	DN_NC_073242.2_66613619_4	4	4	4	3	3	3	0.75	0.852	0.8968	0	4	4	4	3	3	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_26240035_4	4	4	4	3	3	3	0.75	0.8432	0.8968	0	4	4	3	3	3	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_26314241_4	4	4	4	3	3	3	0.75	0.8268	0.8968	0	4	4	4	3	3	2
DN_NC_073230.2_73977205_4	DN_NC_073244.2_26470366_4	4	4	4	2	2	2	0.5	0.8167	0.8333	0	4	4	4	2	2	2
DN_NC_073230.2_73977205_4	DN_NC_073244.2_26666712_5	4	5	4	3	3	3	0.75	0.8298	0.881	0	4	3	3	3	3	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_26901109_4	4	4	4	2	2	2	0.5	0.8283	0.8355	0	3	3	3	2	2	2
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27051998_4	4	4	4	3	3	3	0.75	0.8465	0.9048	0	4	4	4	3	3	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27131194_2	4	2	2	1	1	1	0.5	0.7389	0.7389	1	2	2	2	1	0	0
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27285351_4	4	4	4	3	3	3	0.75	0.8494	0.881	0	4	4	4	3	3	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27408454_4	4	4	4	3	3	3	0.75	0.8652	0.9444	0	4	4	4	3	3	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27504818_5	4	5	4	3	3	3	0.75	0.8711	0.9048	0	4	4	4	3	3	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27566430_5	4	5	4	4	4	4	1.0	0.8099	0.881	0	4	4	4	4	3	2
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27765726_4	4	4	4	4	4	4	1.0	0.8545	0.9206	0	4	4	4	4	3	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27869273_3	4	3	3	2	2	2	0.6667	0.7959	0.8211	0	3	3	3	2	2	1
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27956158_2	4	2	2	2	2	2	1.0	0.7842	0.8324	0	2	2	2	2	1	1
DN_NC_073230.2_73977205_4	DN_NC_073244.2_28072858_4	4	4	4	3	3	3	0.75	0.8111	0.9127	0	4	4	3	3	2	2
DN_NC_073230.2_73977205_4	DN_NC_073244.2_28256975_5	4	5	4	4	4	4	1.0	0.8573	0.9053	0	4	4	4	4	3	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_28588105_4	4	4	4	4	4	4	1.0	0.8494	0.9158	0	4	4	4	4	3	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_28711447_4	4	5	4	3	3	3	0.75	0.8687	0.9365	0	4	4	4	3	3	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_28820229_4	4	4	4	3	3	3	0.75	0.8134	0.8968	0	3	3	3	3	2	2
DN_NC_073230.2_73977205_4	DN_NC_073244.2_29046961_4	4	4	4	4	4	4	1.0	0.8266	0.8889	0	4	4	4	4	3	3
DN_NC_073230.2_73977205_4	DN_NC_073244.2_29232445_4	4	4	4	3	3	3	0.75	0.8266	0.8889	0	3	3	3	3	2	2
DN_NC_073230.2_73977205_4	DN_NC_073244.2_29297022_4	4	4	4	3	3	3	0.75	0.8621	0.9286	0	4	4	4	3	3	3
