a	b	core_recip
DN_NC_073244.2_29680825_4	DN_NC_073244.2_64860608_4	0.2273
DN_NC_073230.2_89330255_2	DN_NC_086017.1_54457640_6	0.1435
DN_NC_073244.2_18096775_3	DN_NC_073244.2_18356684_4	0.2539
DN_NC_073244.2_55607411_6	DN_NC_073244.2_55835875_4	0.1644
DN_NC_073236.2_108637713_6	DN_NC_073240.2_42709516_6	0.2157
DN_NC_073228.2_182909765_5	DN_NC_073241.2_64479147_4	0.175
DN_NC_073243.2_49045190_4	DN_NC_073243.2_70014918_17	0.1676
DN_NC_073244.2_27566430_5	DN_NC_073244.2_65102393_4	0.2182
DN_NC_073230.2_74190289_5	DN_NC_073244.2_29557605_4	0.1701
DN_NC_073232.2_72046295_2	DN_NC_073247.2_113184615_2	0.5308
DN_NC_073242.2_21170576_8	DN_NC_073242.2_21650759_11	0.3045
DN_NC_073237.2_129609538_2	DN_NC_073244.2_43610901_6	0.1329
DN_NC_073244.2_27285351_4	DN_NC_073244.2_28072858_4	0.4711
DN_NC_073227.2_8633418_2	DN_NC_073230.2_74126483_4	0.183
DN_NC_073230.2_90977223_13	DN_NC_073236.2_31570340_7	0.2269
DN_NC_073234.2_90802099_6	DN_NC_073234.2_90815331_10	0.4329
DN_NC_073244.2_26314241_4	DN_NC_073244.2_64500861_5	0.1528
DN_NC_073241.2_36126183_3	DN_NC_073244.2_64125568_5	0.1875
DN_NC_073244.2_55538420_4	DN_NC_073244.2_55654796_6	0.5665
DN_NC_073244.2_64797239_5	DN_NC_073244.2_65046428_4	0.2499
DN_NC_073232.2_23981209_3	DN_NC_073232.2_23981901_2	0.7797
DN_NC_073234.2_135871466_4	DN_NC_073234.2_135886660_4	0.4406
DN_NC_073240.2_85898394_3	DN_NC_073242.2_100900995_5	0.1546
DN_NC_073244.2_51749194_6	DN_NC_086017.1_41849524_2	0.1486
DN_NC_073236.2_32240619_3	DN_NC_073244.2_48660338_4	0.18
DN_NC_073224.2_228923130_6	DN_NC_073224.2_228936705_6	0.3528
DN_NC_073224.2_199406700_5	DN_NC_073245.2_58728682_5	0.1515
DN_NC_073228.2_61354966_3	DN_NC_073234.2_45248479_4	0.8858
DN_NC_073227.2_179688123_13	DN_NC_073227.2_179727029_10	0.3906
DN_NC_073227.2_154494633_2	DN_NC_073227.2_154494634_2	0.9807
DN_NC_073244.2_48352926_4	DN_NC_073244.2_64585864_4	0.141
DN_NC_073234.2_148420424_5	DN_NC_073244.2_59726455_2	0.1951
DN_NC_073244.2_49246931_6	DN_NC_073244.2_64836827_4	0.1462
DN_NC_073228.2_184836165_2	DN_NC_073241.2_64520240_3	0.2921
DN_NC_073231.2_150618111_5	DN_NC_073244.2_15324693_6	0.2311
DN_NC_073243.2_20324218_2	DN_NC_073244.2_70323040_7	0.1607
DN_NC_073230.2_72857214_2	DN_NC_073230.2_72907176_2	1.0
DN_NC_073232.2_72820474_5	DN_NC_073244.2_47798559_5	0.2007
DN_NC_073231.2_4596743_6	DN_NC_073244.2_69672458_4	0.1339
DN_NC_073239.2_32645673_2	DN_NC_073239.2_32681049_2	0.999
DN_NC_073244.2_65398487_4	DN_NC_086017.1_54527845_6	0.2574
DN_NC_073235.2_21185111_2	DN_NC_073235.2_21185127_2	0.959
DN_NC_073228.2_145079893_2	DN_NC_073228.2_145079904_2	0.9263
DN_NC_073227.2_8633418_2	DN_NC_073244.2_27566430_5	0.3885
DN_NC_073228.2_182864372_4	DN_NC_086017.1_54487757_3	0.3781
DN_NC_073244.2_45737704_5	DN_NC_086017.1_54527845_6	0.1374
DN_NC_073234.2_126370406_2	DN_NC_073240.2_23725358_9	0.1688
DN_NC_073229.2_46656086_7	DN_NC_073230.2_88700652_4	0.1734
DN_NC_073224.2_129429039_7	DN_NC_073224.2_223156764_8	0.4724
DN_NC_073237.2_109230975_4	DN_NC_073237.2_89310571_5	0.155
DN_NC_073231.2_150568091_5	DN_NC_073244.2_47798559_5	0.2295
DN_NC_073236.2_47732210_12	DN_NC_073236.2_49989275_2	0.2127
DN_NC_073230.2_89330255_2	DN_NC_073242.2_6930599_2	0.1353
DN_NC_073244.2_28072858_4	DN_NC_073244.2_29046961_4	0.472
DN_NC_073237.2_89310571_5	DN_NC_073244.2_64585864_4	0.1647
DN_NC_073234.2_148682020_7	DN_NC_073244.2_69601170_4	0.186
DN_NC_073244.2_48242798_5	DN_NC_073244.2_51783968_5	0.263
DN_NC_073227.2_8907801_4	DN_NC_073244.2_27765726_4	0.1604
DN_NC_073244.2_49072464_4	DN_NC_073244.2_49176797_4	0.2327
DN_NC_073228.2_154747841_5	DN_NC_086017.1_54527845_6	0.1847
DN_NC_073224.2_40627195_4	DN_NC_073244.2_27051998_4	0.2749
DN_NC_073228.2_182994030_5	DN_NC_073231.2_150568091_5	0.265
DN_NC_073244.2_18047026_4	DN_NC_073244.2_18614963_5	0.1688
DN_NC_073224.2_8222533_5	DN_NC_073244.2_26314241_4	0.2267
DN_NC_073244.2_30067652_4	DN_NC_073244.2_64125568_5	0.2453
DN_NC_073244.2_51749194_6	DN_NC_073244.2_64081943_4	0.2904
DN_NC_073244.2_27956158_4	DN_NC_073244.2_65266359_4	0.1742
DN_NC_073229.2_46022147_4	DN_NC_073230.2_88700652_4	0.1617
DN_NC_073247.2_131152949_4	DN_NC_073248.2_8111002_4	0.5903
DN_NC_073228.2_182994030_5	DN_NC_073228.2_83600319_6	0.3087
DN_NC_073235.2_106111443_2	DN_NC_073237.2_32419572_2	0.1939
DN_NC_073229.2_49412455_2	DN_NC_073233.2_130982674_9	0.6566
DN_NC_073247.2_161251228_4	DN_NC_073247.2_163590486_3	0.2223
DN_NC_073236.2_47712811_9	DN_NC_073236.2_52824428_4	0.468
DN_NC_073228.2_22930246_39	DN_NC_073228.2_23038330_39	0.4182
DN_NC_073247.2_67140268_2	DN_NC_073247.2_67278736_2	0.5797
DN_NC_073230.2_73776646_4	DN_NC_073244.2_30438340_4	0.2172
DN_NC_073236.2_22549336_8	DN_NC_073236.2_24785599_8	0.8731
DN_NC_073227.2_107202270_4	DN_NC_073244.2_43610901_6	0.1448
DN_NC_073237.2_109279481_4	DN_NC_073244.2_70042341_3	0.1729
DN_NC_073230.2_159879400_23	DN_NC_073235.2_122326496_17	0.1915
DN_NC_073244.2_69572632_3	DN_NC_073244.2_70024584_5	0.1697
DN_NC_073244.2_18356684_4	DN_NC_073244.2_18614963_5	0.1996
DN_NC_073244.2_17922158_4	DN_NC_073244.2_18232282_4	0.243
DN_NC_073224.2_8422960_4	DN_NC_073244.2_26901109_4	0.3812
DN_NC_073244.2_29297022_4	DN_NC_073244.2_29680825_2	0.2975
DN_NC_073244.2_27956158_2	DN_NC_073244.2_49205215_5	0.2264
DN_NC_073244.2_64306022_6	DN_NC_073247.2_56899135_7	0.1557
DN_NC_073244.2_27566430_5	DN_NC_073244.2_30067652_4	0.3048
DN_NC_073237.2_79911899_2	DN_NC_086017.1_14101435_2	0.1952
DN_NC_073232.2_72820474_5	DN_NC_073244.2_47706460_3	0.1521
DN_NC_073230.2_73508332_4	DN_NC_073244.2_27131194_2	0.1764
DN_NC_073242.2_6930599_2	DN_NC_073244.2_70224599_4	0.1353
DN_NC_073233.2_72649199_20	DN_NC_073245.2_35236141_20	0.8658
DN_NC_073233.2_65156508_13	DN_NC_073243.2_16710332_14	0.1659
DN_NC_073244.2_65266359_4	DN_NC_073244.2_65362909_5	0.1626
DN_NC_073233.2_9788172_5	DN_NC_073244.2_65003440_7	0.221
DN_NC_073244.2_68258639_5	DN_NC_073244.2_68293337_5	0.4856
DN_NC_073228.2_182864372_4	DN_NC_073229.2_45067329_6	0.3152
DN_NC_073244.2_47250467_5	DN_NC_073244.2_48384768_7	0.3625
DN_NC_073231.2_150777699_3	DN_NC_073244.2_59726455_2	0.1415
DN_NC_073228.2_182994030_5	DN_NC_073241.2_36126198_2	0.304
DN_NC_073244.2_29297022_4	DN_NC_073244.2_29680825_4	0.3899
DN_NC_073244.2_48980018_5	DN_NC_073244.2_68491976_5	0.3288
DN_NC_073244.2_28711447_4	DN_NC_073244.2_48093173_7	0.3099
DN_NC_073231.2_150902261_3	DN_NC_073240.2_103747497_4	0.2123
DN_NC_073229.2_44967262_5	DN_NC_073244.2_51825388_5	0.2096
DN_NC_073244.2_29046961_4	DN_NC_073244.2_64500861_5	0.1366
DN_NC_073228.2_184836165_2	DN_NC_073229.2_45747170_4	0.1412
DN_NC_073229.2_86209092_3	DN_NC_073243.2_86703688_5	0.1549
DN_NC_073244.2_26240039_2	DN_NC_073244.2_29297022_4	0.2118
DN_NC_073244.2_47288294_4	DN_NC_073244.2_47706466_2	0.1778
DN_NC_073244.2_15508499_10	DN_NC_073244.2_49246931_6	0.1747
DN_NC_073244.2_69783488_3	DN_NC_073244.2_69821764_4	0.2013
DN_NC_073244.2_26240035_4	DN_NC_073244.2_28333451_4	0.2241
DN_NC_073244.2_27285351_4	DN_NC_073244.2_30438386_2	0.4156
DN_NC_073234.2_148682020_7	DN_NC_073241.2_64520244_2	0.1634
DN_NC_073227.2_8705656_4	DN_NC_073244.2_27285351_4	0.2875
DN_NC_073224.2_8261601_4	DN_NC_073244.2_18045307_2	0.243
DN_NC_073230.2_74299233_4	DN_NC_073244.2_28256975_5	0.376
DN_NC_073237.2_79911899_2	DN_NC_073239.2_75240589_2	0.13
DN_NC_073228.2_83513581_6	DN_NC_073237.2_123801018_5	0.2186
DN_NC_073224.2_218434129_23	DN_NC_073224.2_223613827_8	0.8034
DN_NC_073244.2_47586219_5	DN_NC_073244.2_68513423_5	0.2021
DN_NC_073244.2_29557605_4	DN_NC_073244.2_55426973_9	0.2155
DN_NC_073242.2_37386128_4	DN_NC_073244.2_30438386_2	0.1559
DN_NC_073237.2_97733433_3	DN_NC_073244.2_64585864_4	0.1651
DN_NC_073244.2_27408454_4	DN_NC_073244.2_28711447_2	0.4041
DN_NC_073239.2_124648897_4	DN_NC_086017.1_211655827_5	0.1338
DN_NC_073244.2_64908457_4	DN_NC_073244.2_65398487_4	0.3367
DN_NC_073247.2_164405406_2	DN_NC_073247.2_164861277_3	0.4572
DN_NC_073243.2_20204464_2	DN_NC_073244.2_64797239_5	0.2052
DN_NC_073237.2_113053473_2	DN_NC_073237.2_113053473_3	0.9562
DN_NC_073229.2_45067329_6	DN_NC_073244.2_48030384_3	0.3337
DN_NC_073236.2_52686516_4	DN_NC_073247.2_113660362_2	0.2369
DN_NC_073247.2_38356091_2	DN_NC_073247.2_40747465_5	0.2244
DN_NC_073244.2_64306022_6	DN_NC_073244.2_64500861_5	0.1578
DN_NC_073224.2_129970070_21	DN_NC_073224.2_223613827_8	0.2956
DN_NC_073234.2_148420424_5	DN_NC_073244.2_70525717_3	0.1519
DN_NC_073233.2_94701214_2	DN_NC_073233.2_94701273_2	0.9569
DN_NC_073230.2_74637722_4	DN_NC_073244.2_28333451_4	0.2209
DN_NC_073227.2_9010062_2	DN_NC_073230.2_73508332_4	0.1919
DN_NC_073230.2_74126483_4	DN_NC_073244.2_28711447_4	0.2618
DN_NC_073227.2_8705656_4	DN_NC_073227.2_9010062_2	0.2328
DN_NC_073244.2_55654796_6	DN_NC_073244.2_55678004_6	0.3392
DN_NC_073244.2_17960497_4	DN_NC_073244.2_18470484_4	0.1777
DN_NC_073231.2_150671293_2	DN_NC_073244.2_63961971_6	0.1698
DN_NC_073244.2_27626411_5	DN_NC_073244.2_27869273_3	0.2387
DN_NC_073227.2_8633418_2	DN_NC_073244.2_26240035_4	0.2693
DN_NC_073244.2_69799604_5	DN_NC_073244.2_70024584_5	0.1514
DN_NC_073247.2_161556098_3	DN_NC_073247.2_164407411_3	0.372
DN_NC_073228.2_27148471_4	DN_NC_073228.2_45948292_6	0.3107
DN_NC_073244.2_17751582_4	DN_NC_073244.2_18124193_3	0.2279
DN_NC_073230.2_74190289_5	DN_NC_073244.2_26901109_4	0.2492
DN_NC_073228.2_182909765_5	DN_NC_073236.2_32302189_6	0.1382
DN_NC_073227.2_16860393_3	DN_NC_073243.2_101845354_5	0.179
DN_NC_073244.2_68766684_2	DN_NC_086018.1_21231592_2	0.2239
DN_NC_073224.2_120787661_19	DN_NC_073224.2_96681549_23	0.5176
DN_NC_073244.2_69492904_4	DN_NC_073244.2_70024584_5	0.2328
DN_NC_073238.2_30202631_2	DN_NC_073238.2_33511810_2	0.1769
DN_NC_073241.2_64468689_4	DN_NC_073244.2_48620420_5	0.1955
DN_NC_073243.2_20204464_2	DN_NC_086017.1_85766278_5	0.2036
DN_NC_073227.2_8705656_4	DN_NC_086017.1_54612772_3	0.1529
DN_NC_073244.2_28711447_2	DN_NC_073244.2_65362909_5	0.2483
DN_NC_073227.2_8633416_4	DN_NC_073244.2_64125568_5	0.1588
DN_NC_073244.2_69294668_4	DN_NC_073244.2_69454247_3	0.2188
DN_NC_073244.2_26314241_4	DN_NC_073244.2_26666712_5	0.1744
DN_NC_073227.2_8633418_2	DN_NC_073227.2_8792448_3	0.1502
DN_NC_073228.2_182909765_5	DN_NC_073243.2_20324218_2	0.1591
DN_NC_073244.2_17751582_4	DN_NC_073244.2_17876785_4	0.4311
DN_NC_073227.2_8633418_2	DN_NC_073244.2_27285351_4	0.4606
DN_NC_073232.2_80964961_8	DN_NC_073237.2_109279481_4	0.2319
DN_NC_073229.2_45875453_5	DN_NC_073229.2_45959984_4	0.1617
DN_NC_073244.2_18307855_4	DN_NC_073244.2_27869273_3	0.1325
DN_NC_073228.2_181539844_2	DN_NC_073228.2_182670660_2	1.0
DN_NC_073230.2_74299233_4	DN_NC_073244.2_29557605_4	0.4332
DN_NC_073239.2_91908376_2	DN_NC_073239.2_91908476_2	0.9853
DN_NC_073244.2_65102393_4	DN_NC_073247.2_56899135_7	0.1522
DN_NC_073244.2_28333451_4	DN_NC_073244.2_29680825_2	0.4695
DN_NC_073244.2_29680825_4	DN_NC_073244.2_64724127_4	0.1429
DN_NC_073244.2_27285351_4	DN_NC_073244.2_27408454_4	0.4072
DN_NC_073241.2_64520240_3	DN_NC_073244.2_15648295_6	0.1981
DN_NC_073234.2_148420424_5	DN_NC_073244.2_68611978_5	0.1524
DN_NC_073224.2_117217199_13	DN_NC_073224.2_123525276_5	0.2252
DN_NC_073230.2_89330236_3	DN_NC_073240.2_44172340_2	0.1587
DN_NC_073244.2_64543447_4	DN_NC_073244.2_64860608_4	0.2466
DN_NC_073228.2_29619142_9	DN_NC_073230.2_137552467_7	0.2097
DN_NC_073242.2_100926924_5	DN_NC_073244.2_64585864_4	0.2664
DN_NC_073242.2_37386128_4	DN_NC_073244.2_27408454_4	0.1859
DN_NC_073244.2_49072464_4	DN_NC_073244.2_65003440_7	0.2149
DN_NC_073244.2_17831067_3	DN_NC_073244.2_8680135_4	0.1475
DN_NC_073228.2_182994030_5	DN_NC_073244.2_18047026_4	0.1748
DN_NC_073228.2_182227322_13	DN_NC_073235.2_103471173_13	0.5606
DN_NC_073228.2_83513581_6	DN_NC_073244.2_63961971_6	0.1545
DN_NC_073244.2_26666712_5	DN_NC_073244.2_27765726_4	0.3927
DN_NC_073228.2_78970117_3	DN_NC_073242.2_66481481_2	0.2001
DN_NC_073244.2_28711447_4	DN_NC_073244.2_30438340_4	0.3139
DN_NC_073244.2_17751582_4	DN_NC_073244.2_51749194_6	0.1309
DN_NC_073231.2_150671310_5	DN_NC_073244.2_55654796_6	0.1512
DN_NC_073227.2_8633418_2	DN_NC_073227.2_9010062_2	0.2174
DN_NC_073244.2_51749194_6	DN_NC_073244.2_68643423_8	0.1862
DN_NC_073227.2_9009888_2	DN_NC_073244.2_27051998_4	0.1452
DN_NC_073247.2_161251228_4	DN_NC_073247.2_163809311_4	0.3283
DN_NC_073244.2_64034715_7	DN_NC_073244.2_64724127_4	0.1935
DN_NC_073224.2_15783681_8	DN_NC_073224.2_19344252_8	1.0
DN_NC_073237.2_109279481_4	DN_NC_073244.2_49072464_4	0.3926
DN_NC_073244.2_55565140_5	DN_NC_073244.2_55835875_4	0.1793
DN_NC_073232.2_80964961_8	DN_NC_086017.1_85766278_5	0.2126
DN_NC_073232.2_81033881_5	DN_NC_073234.2_148682020_7	0.262
DN_NC_073244.2_64125568_5	DN_NC_073244.2_65003440_7	0.3993
DN_NC_073244.2_47250467_5	DN_NC_073244.2_64340366_4	0.1672
DN_NC_073244.2_65362909_5	DN_NC_073244.2_70077616_7	0.1402
DN_NC_073231.2_79409495_17	DN_NC_073232.2_40728717_16	0.2622
DN_NC_073244.2_26314241_4	DN_NC_073244.2_64034715_7	0.1794
DN_NC_073244.2_47706466_2	DN_NC_073244.2_48030811_4	0.2597
DN_NC_073234.2_86426177_10	DN_NC_073235.2_71373985_7	0.2338
DN_NC_073244.2_27869273_3	DN_NC_073244.2_27956158_4	0.3642
DN_NC_073244.2_65046428_4	DN_NC_073246.2_15789285_3	0.2147
DN_NC_073237.2_28860054_9	DN_NC_073247.2_137840069_2	0.2262
DN_NC_073244.2_26901109_4	DN_NC_073244.2_27765726_4	0.3591
DN_NC_073244.2_65046428_2	DN_NC_073244.2_68513423_5	0.2205
DN_NC_073242.2_66613619_4	DN_NC_073244.2_28820229_4	0.173
DN_NC_073229.2_20524922_2	DN_NC_073234.2_121621201_3	0.1546
DN_NC_073240.2_26182490_10	DN_NC_073245.2_12383621_7	0.7873
DN_NC_073230.2_74126483_4	DN_NC_073242.2_37386128_4	0.3053
DN_NC_073239.2_70164897_2	DN_NC_073244.2_17922158_4	0.1424
DN_NC_073228.2_184836166_2	DN_NC_073244.2_45985550_6	0.2002
DN_NC_073230.2_74299233_4	DN_NC_073244.2_29232445_4	0.6887
DN_NC_086017.1_12917334_8	DN_NC_086017.1_12936527_11	0.5988
DN_NC_073228.2_184836166_2	DN_NC_073234.2_148486259_4	0.1821
DN_NC_073224.2_130406472_2	DN_NC_073247.2_65342412_4	0.2768
DN_NC_073224.2_8222533_5	DN_NC_073244.2_28333451_4	0.166
DN_NC_073238.2_66682517_7	DN_NC_073238.2_66830454_5	0.2479
DN_NC_073224.2_199406700_5	DN_NC_073234.2_148420424_5	0.1746
DN_NC_073244.2_64081943_4	DN_NC_073244.2_64340366_4	0.1766
DN_NC_073244.2_45985550_6	DN_NC_073244.2_48660338_4	0.1473
DN_NC_073230.2_73508332_4	DN_NC_073230.2_74190289_5	0.1335
DN_NC_073231.2_150671293_2	DN_NC_073241.2_64520240_3	0.2064
DN_NC_073244.2_29680825_2	DN_NC_073244.2_30438340_4	0.2005
DN_NC_073229.2_70567152_7	DN_NC_073229.2_70674504_7	0.6239
DN_NC_073244.2_64081943_4	DN_NC_073244.2_65102393_4	0.4163
DN_NC_073231.2_150671310_5	DN_NC_073231.2_150777699_3	0.1597
DN_NC_073236.2_32676987_2	DN_NC_073237.2_24562360_2	0.3419
DN_NC_073244.2_55585242_5	DN_NC_073244.2_55797441_5	0.2474
DN_NC_073244.2_27765726_4	DN_NC_073244.2_65102393_4	0.2994
DN_NC_073237.2_79911856_2	DN_NC_073237.2_79912635_2	0.8585
DN_NC_073230.2_133771638_2	DN_NC_073230.2_133785696_2	0.5212
DN_NC_073237.2_46657799_9	DN_NC_073244.2_10146023_10	0.3263
DN_NC_073244.2_64231369_4	DN_NC_073244.2_64500861_5	0.2488
DN_NC_073248.2_19648671_11	DN_NC_073248.2_19694607_11	1.0
DN_NC_073244.2_47997304_5	DN_NC_073244.2_55341363_7	0.409
DN_NC_073230.2_72857214_2	DN_NC_073230.2_73388327_2	0.1471
DN_NC_073233.2_75718276_6	DN_NC_073242.2_8737492_8	0.3111
DN_NC_073229.2_49412454_2	DN_NC_073229.2_49412455_2	0.8781
DN_NC_073230.2_74190289_5	DN_NC_073244.2_29046961_4	0.2434
DN_NC_073224.2_123525276_5	DN_NC_073235.2_142785844_3	0.3276
DN_NC_073234.2_148537990_5	DN_NC_073247.2_58372296_6	0.3363
DN_NC_073242.2_66613619_4	DN_NC_073244.2_48919547_6	0.1799
DN_NC_073244.2_17635782_4	DN_NC_073244.2_8680135_4	0.1675
DN_NC_073237.2_89310571_5	DN_NC_073244.2_65266359_4	0.1843
DN_NC_073233.2_116263271_8	DN_NC_073239.2_123333523_2	0.1467
DN_NC_073229.2_169955497_4	DN_NC_073229.2_169955517_2	0.8755
DN_NC_073227.2_8633416_4	DN_NC_073242.2_66613619_4	0.1729
DN_NC_073247.2_10802440_4	DN_NC_073248.2_8111002_4	0.7035
DN_NC_073232.2_101749810_2	DN_NC_073232.2_101751532_2	0.8704
DN_NC_073234.2_148486259_4	DN_NC_073244.2_63895938_6	0.2251
DN_NC_073237.2_30220066_5	DN_NC_073244.2_51749194_6	0.1506
DN_NC_073244.2_47250467_5	DN_NC_073244.2_70422477_3	0.1947
DN_NC_073227.2_9009655_3	DN_NC_073244.2_26240039_2	0.2052
DN_NC_073230.2_74190289_5	DN_NC_073244.2_48066692_6	0.1725
DN_NC_073227.2_123234622_13	DN_NC_073242.2_37667715_4	0.232
DN_NC_073242.2_66613619_4	DN_NC_073244.2_27051998_4	0.2455
DN_NC_073235.2_143720615_16	DN_NC_073235.2_143747819_4	0.4225
DN_NC_073227.2_8788064_2	DN_NC_073230.2_150857421_7	0.2807
DN_NC_073228.2_83513581_6	DN_NC_073241.2_64520240_3	0.2804
DN_NC_073231.2_150618111_5	DN_NC_086017.1_54487757_3	0.2464
DN_NC_073227.2_9009655_3	DN_NC_073244.2_27626411_5	0.2667
DN_NC_073228.2_64851588_2	DN_NC_073228.2_64854515_2	0.8478
DN_NC_086017.1_171562539_2	DN_NC_086017.1_171562540_2	0.9694
DN_NC_073231.2_150671310_5	DN_NC_073244.2_45796040_6	0.1589
DN_NC_073244.2_30438340_4	DN_NC_073244.2_64759228_5	0.2958
DN_NC_073224.2_130406472_2	DN_NC_073227.2_59134185_2	0.1874
DN_NC_073238.2_114796219_2	DN_NC_073240.2_79492690_6	0.1533
DN_NC_073244.2_68513423_5	DN_NC_086017.1_85766278_5	0.2454
DN_NC_073229.2_44967262_5	DN_NC_073244.2_48242798_5	0.1919
DN_NC_073231.2_150777699_3	DN_NC_086017.1_54487757_3	0.3459
DN_NC_073230.2_74637814_2	DN_NC_073244.2_30438386_2	0.3321
DN_NC_086017.1_203857146_2	DN_NC_086017.1_203857147_3	0.9085
DN_NC_073244.2_70159242_5	DN_NC_086017.1_85766278_5	0.2389
DN_NC_073229.2_49412440_2	DN_NC_073229.2_49412454_2	0.8245
DN_NC_073241.2_64520244_2	DN_NC_073244.2_47878793_6	0.1707
DN_NC_073244.2_17876785_4	DN_NC_073244.2_18470484_4	0.2164
DN_NC_073242.2_100900995_5	DN_NC_086017.1_50382141_5	0.2875
DN_NC_073230.2_74637722_4	DN_NC_073244.2_27956158_2	0.6038
DN_NC_073233.2_9788172_5	DN_NC_073244.2_30438340_4	0.2235
DN_NC_073244.2_64400145_5	DN_NC_073244.2_65046428_4	0.5799
DN_NC_073244.2_26314241_4	DN_NC_073244.2_65362909_5	0.1365
DN_NC_073237.2_109279481_4	DN_NC_073242.2_100900995_5	0.3464
DN_NC_073232.2_81033881_5	DN_NC_073244.2_48093173_7	0.2205
DN_NC_073227.2_8633416_4	DN_NC_073230.2_74637814_2	0.3845
DN_NC_073244.2_28711447_4	DN_NC_073244.2_49205215_5	0.2329
DN_NC_073230.2_168783006_4	DN_NC_086017.1_211655827_5	0.3508
DN_NC_073244.2_27285351_4	DN_NC_073244.2_30067652_4	0.3069
DN_NC_073231.2_150671293_2	DN_NC_073244.2_47706466_2	0.2059
DN_NC_073231.2_150671310_5	DN_NC_073244.2_48352926_4	0.2327
DN_NC_073227.2_14699766_2	DN_NC_073227.2_14699796_2	0.5764
DN_NC_073230.2_92132360_3	DN_NC_073247.2_115708949_2	0.1682
DN_NC_073230.2_74299233_4	DN_NC_073244.2_26901109_4	0.419
DN_NC_073228.2_154780892_3	DN_NC_073244.2_48030811_4	0.1536
DN_NC_073239.2_113209919_2	DN_NC_073239.2_113209931_3	0.7742
DN_NC_073236.2_30994185_5	DN_NC_073238.2_29552503_8	0.222
DN_NC_073229.2_45067329_6	DN_NC_073244.2_68643423_8	0.1646
DN_NC_073242.2_37386128_4	DN_NC_073244.2_30067652_4	0.2039
DN_NC_073242.2_104912717_12	DN_NC_073242.2_99181437_12	0.5836
DN_NC_073244.2_51749194_6	DN_NC_073244.2_64125568_5	0.1904
DN_NC_073230.2_89330255_2	DN_NC_086017.1_50382141_5	0.1377
DN_NC_073234.2_50306180_17	DN_NC_073243.2_49045190_4	0.2155
DN_NC_073244.2_64797239_5	DN_NC_073244.2_65003440_7	0.2189
DN_NC_073244.2_26470366_4	DN_NC_073244.2_27566430_5	0.5263
DN_NC_073239.2_77917590_16	DN_NC_073247.2_65342412_4	0.206
DN_NC_073244.2_63542066_5	DN_NC_073245.2_58728682_5	0.1515
DN_NC_073234.2_49097599_9	DN_NC_086017.1_171687466_2	0.1967
DN_NC_073229.2_45747170_4	DN_NC_073229.2_46022147_4	0.2953
DN_NC_073242.2_97765438_4	DN_NC_073244.2_27765726_4	0.1825
DN_NC_073244.2_27626411_5	DN_NC_073244.2_64759228_5	0.2405
DN_NC_073244.2_49072464_4	DN_NC_073244.2_63840101_6	0.2296
DN_NC_073231.2_150671310_5	DN_NC_073244.2_65102393_4	0.2584
DN_NC_073228.2_161454333_5	DN_NC_073247.2_105439613_2	0.1704
DN_NC_073227.2_211418821_2	DN_NC_086017.1_35538439_12	0.1344
DN_NC_073224.2_8222533_5	DN_NC_073241.2_36126183_3	0.1356
DN_NC_073234.2_52202911_4	DN_NC_073235.2_32697745_5	0.8409
DN_NC_073242.2_119807836_6	DN_NC_073244.2_15453865_9	0.1371
DN_NC_073237.2_31481917_11	DN_NC_073237.2_93516915_6	0.2605
DN_NC_073224.2_8222533_5	DN_NC_073227.2_8633416_4	0.1823
DN_NC_073230.2_74637814_2	DN_NC_073244.2_27408454_4	0.2397
DN_NC_073227.2_9010062_2	DN_NC_073244.2_45985550_6	0.1368
DN_NC_073227.2_212285016_9	DN_NC_073231.2_151170137_9	0.4222
DN_NC_073231.2_149140314_3	DN_NC_073237.2_123801018_5	0.1488
DN_NC_073224.2_123525276_5	DN_NC_073232.2_101543079_10	0.2206
DN_NC_073244.2_64543447_4	DN_NC_073244.2_64724127_4	0.2192
DN_NC_073227.2_8907801_4	DN_NC_073244.2_26240039_2	0.2115
DN_NC_073244.2_18047026_4	DN_NC_073244.2_18649721_4	0.2085
DN_NC_073242.2_37386128_4	DN_NC_073244.2_65046428_4	0.3164
DN_NC_073235.2_71373985_7	DN_NC_073247.2_114234875_11	0.2419
DN_NC_073244.2_64500861_5	DN_NC_073244.2_64759228_5	0.2673
DN_NC_073247.2_114842677_3	DN_NC_073247.2_115094764_3	0.3416
DN_NC_073227.2_8907801_4	DN_NC_073244.2_27626411_5	0.2449
DN_NC_073230.2_73776646_4	DN_NC_073244.2_29557605_4	0.3154
DN_NC_073247.2_164381222_3	DN_NC_073247.2_164405406_2	0.6688
DN_NC_073227.2_8633418_2	DN_NC_073244.2_30090650_6	0.164
DN_NC_073224.2_123525276_5	DN_NC_073227.2_49278079_9	0.3464
DN_NC_073234.2_148630977_5	DN_NC_073244.2_48093173_7	0.2036
DN_NC_073228.2_154747841_5	DN_NC_073244.2_55426973_9	0.1557
DN_NC_073231.2_150817007_4	DN_NC_086017.1_54551513_4	0.2689
DN_NC_086017.1_161554109_3	DN_NC_086017.1_161554163_2	0.6062
DN_NC_073237.2_90625379_2	DN_NC_073237.2_90625631_3	0.9377
DN_NC_073227.2_100164790_17	DN_NC_073227.2_100166351_2	0.8731
DN_NC_073244.2_28711447_4	DN_NC_073244.2_65326089_4	0.1328
DN_NC_073237.2_89310571_5	DN_NC_073244.2_64797239_5	0.173
