gene_a	gene_b	dn_a	dn_b	cls	in_dna_loose	n_exon_a	n_exon_b	n_exon_min	stratum	both_single	core_recip	aln_frac	contain_ab	contain_ba	recip_contain	fold
FAM136A	LOC101147326	DN_NC_073228.2_28439701_5	DN_NC_073236.2_69434930_3	genuine	0	5	3	3	multi	0	0.4246	0.9543	0.0000	1.0000	0.0000	1
FAM13C	PHYHIPL	DN_NC_073232.2_56389207_14	DN_NC_073232.2_56509561_5	genuine	0	14	5	5	multi	0	0.4794	0.4773	0.0714	0.0000	0.0000	1
FAM200A	LOC101145047	DN_NC_073227.2_23893974_2	DN_NC_073230.2_89274458_2	genuine	0	2	2	2	multi	0	0.5685	0.6331	0.0000	0.5000	0.0000	3
FAM228B	FGD3	DN_NC_073236.2_115828789_3	DN_NC_073237.2_89465596_2	genuine	0	3	2	2	multi	0	0.1568	0.9162	0.3333	0.5000	0.3333	4
FAM228B	LOC129526638	DN_NC_073236.2_115828789_3	DN_NC_073239.2_70164897_2	genuine	0	3	2	2	multi	0	0.1656	0.6317	0.0000	0.5000	0.0000	4
FAM228B	MTHFD2L	DN_NC_073227.2_94499432_2	DN_NC_073236.2_115828789_3	genuine	0	2	3	2	multi	0	0.3256	0.6271	0.5000	0.3333	0.3333	4
FAM228B	ZNF626	DN_NC_073236.2_115828789_3	DN_NC_073244.2_27139185_2	genuine	0	3	2	2	multi	0	0.2572	0.7533	0.3333	0.5000	0.3333	4
FAM236B	LOC115932943	DN_NC_073247.2_84517974_3	DN_NC_073247.2_84653260_2	genuine	0	3	2	2	multi	0	0.4391	0.0000	0.0000	0.0000	0.0000	3
FAM236B	LOC129530010	DN_NC_073247.2_84517974_3	DN_NC_073247.2_84678651_3	genuine	0	3	3	3	multi	0	0.6974	1.0263	1.0000	1.0000	1.0000	3
FAM50A	FAM50B	DN_NC_073229.2_21470970_2	DN_NC_073247.2_166062772_13	truthbar	0	2	13	2	multi	0	0.3945	0.0000	0.0000	0.0000	0.0000	3
FANCL	VRK2	DN_NC_073236.2_81530457_14	DN_NC_073236.2_81606261_13	genuine	0	14	13	13	multi	0	0.2704	0.2709	0.0714	0.0000	0.0000	1
FBH1	LOC109028588	DN_NC_073232.2_14850424_21	DN_NC_073232.2_14895260_2	genuine	0	21	2	2	multi	0	0.1634	0.1622	0.0476	0.0000	0.0000	3
FBP2	LOC134758618	DN_NC_073228.2_179980536_5	DN_NC_073237.2_91001440_7	genuine	0	5	7	5	multi	0	0.1449	0.0000	0.0000	0.0000	0.0000	1
FBXO17	LOC101138261	DN_NC_073232.2_72957232_4	DN_NC_073244.2_50702615_6	genuine	0	4	6	4	multi	0	0.1462	0.0000	0.0000	0.0000	0.0000	2
FBXO17	LOC109027124	DN_NC_073229.2_194862622_5	DN_NC_073244.2_50702615_6	genuine	0	5	6	5	multi	0	0.2404	0.3780	0.2000	0.0000	0.0000	2
FBXO17	MPHOSPH8	DN_NC_073238.2_33904146_3	DN_NC_073244.2_50702615_6	genuine	0	3	6	3	multi	0	0.3166	0.0000	0.0000	0.0000	0.0000	2
FBXO17	SVBP	DN_NC_073224.2_197128142_3	DN_NC_073244.2_50702615_6	genuine	0	3	6	3	multi	0	0.1462	0.0000	0.0000	0.0000	0.0000	2
FBXO44	FBXO6	DN_NC_073224.2_228923130_6	DN_NC_073224.2_228936705_6	truthbar	0	6	6	6	multi	0	0.3528	0.1147	0.1667	0.1667	0.1667	1
FCGR2A	FCGR2B	DN_NC_073224.2_95093869_7	DN_NC_073224.2_95171181_7	truthbar	0	7	7	7	multi	0	0.2621	0.3175	0.5714	0.4286	0.4286	1
FGD1	FGD3	DN_NC_073237.2_89473261_14	DN_NC_073247.2_64561534_19	truthbar	0	14	19	14	multi	0	0.2754	0.0000	0.0000	0.0000	0.0000	4
FGD1	TSR2	DN_NC_073247.2_64556424_5	DN_NC_073247.2_64561534_19	genuine	0	5	19	5	multi	0	0.2796	0.2768	0.0000	0.0526	0.0000	4
FGD3	LOC129526638	DN_NC_073237.2_89465596_2	DN_NC_073239.2_70164897_2	genuine	0	2	2	2	multi	0	0.1452	0.6456	0.0000	0.5000	0.0000	4
FGD3	MTHFD2L	DN_NC_073227.2_94499432_2	DN_NC_073237.2_89465596_2	genuine	0	2	2	2	multi	0	0.1568	0.6127	0.5000	0.5000	0.5000	4
FGD3	ZNF626	DN_NC_073237.2_89465596_2	DN_NC_073244.2_27139185_2	genuine	0	2	2	2	multi	0	0.1664	0.9654	0.5000	0.5000	0.5000	4
FGF2	NUDT6	DN_NC_073227.2_142943898_3	DN_NC_073227.2_143010447_5	TP	1	3	5	3	multi	0	0.4208	0.4208	0.0000	0.2000	0.0000	0
FGFR1	FGFR4	DN_NC_073228.2_180865938_18	DN_NC_073231.2_83007056_9	truthbar	0	18	9	9	multi	0	0.2843	0.0000	0.0000	0.0000	0.0000	3
FIP1L1	LNX1	DN_NC_073227.2_72845455_9	DN_NC_073227.2_72905683_18	genuine	0	9	18	9	multi	0	0.4397	0.4382	0.1111	0.0000	0.0000	3
FKBP15	SLC31A2	DN_NC_073237.2_109499325_4	DN_NC_073237.2_109511989_28	genuine	0	4	28	4	multi	0	0.4088	0.4088	0.0000	0.0357	0.0000	3
FKBP9	LOC101129903	DN_NC_073230.2_40386475_10	DN_NC_073230.2_63523034_4	TP	1	10	4	4	multi	0	0.4661	0.7798	0.3000	0.7500	0.3000	2
FLNB	LOC101142657	DN_NC_073230.2_137926513_11	DN_NC_086017.1_68009077_13	truthbar	0	11	13	11	multi	0	0.3572	0.0000	0.0000	0.0000	0.0000	3
FMO1	FMO4	DN_NC_073224.2_85416146_10	DN_NC_073224.2_85471368_7	truthbar	0	10	7	7	multi	0	0.3416	0.0000	0.0000	0.0000	0.0000	3
FOXO1	LOC115933254	DN_NC_073236.2_32935299_2	DN_NC_073238.2_54832744_2	genuine	0	2	2	2	multi	0	0.3255	0.8849	0.5000	0.5000	0.5000	4
FPR2	LOC129528664	DN_NC_073244.2_63732072_2	DN_NC_073244.2_63765159_2	genuine	0	2	2	2	multi	0	0.3254	0.0000	0.0000	0.0000	0.0000	1
FRG1	LOC101142904	DN_NC_073227.2_210893336_9	DN_NC_073246.2_2235416_3	TP	1	9	3	3	multi	0	0.2852	0.0000	0.0000	0.0000	0.0000	3
FRG1	LOC115933219	DN_NC_073227.2_210893336_9	DN_NC_073245.2_42779121_5	TP	1	9	5	5	multi	0	0.2217	0.5957	0.6667	0.6000	0.6000	3
FRG1	LOC129526395	DN_NC_073227.2_210893336_9	DN_NC_073238.2_24693721_8	TP	1	9	8	8	multi	0	0.4893	0.5557	0.6667	0.6250	0.6250	3
FRG1	LOC129526550	DN_NC_073227.2_210893336_9	DN_NC_073239.2_44147073_8	TP	1	9	8	8	multi	0	0.3984	0.4561	0.5556	0.6250	0.5556	3
FRG1	LOC129526557	DN_NC_073227.2_210893336_9	DN_NC_073239.2_44758266_8	genuine	0	9	8	8	multi	0	0.2939	0.8828	0.8889	0.8750	0.8750	3
FRG1	LOC129530429	DN_NC_073227.2_210893336_9	DN_NC_073248.2_10847471_7	truthbar	0	9	7	7	multi	0	0.4043	0.6836	0.6667	0.8571	0.6667	3
FRG1	LOC129530552	DN_NC_073227.2_210893336_9	DN_NC_086018.1_1774757_3	TP	1	9	3	3	multi	0	0.2852	0.0000	0.0000	0.0000	0.0000	3
FRG1	LOC129531431	DN_NC_073227.2_210893336_9	DN_NC_073236.2_26203134_8	TP	1	9	8	8	multi	0	0.3984	0.4648	0.5556	0.6250	0.5556	3
FRG1	LOC129532222	DN_NC_073227.2_210893336_9	DN_NC_073235.2_33703802_2	TP	1	9	2	2	multi	0	0.2041	0.0000	0.0000	0.0000	0.0000	3
FRG1	LOC129532224	DN_NC_073227.2_210893336_9	DN_NC_073235.2_34402342_7	genuine	0	9	7	7	multi	0	0.2246	0.5586	0.0000	0.0000	0.0000	3
FYN	YES1	DN_NC_073229.2_135821332_11	DN_NC_073241.2_49527271_12	truthbar	0	11	12	11	multi	0	0.2767	0.0000	0.0000	0.0000	0.0000	1
FZD3	FZD6	DN_NC_073231.2_109134791_7	DN_NC_073231.2_32715505_7	truthbar	0	7	7	7	multi	0	0.2020	0.0000	0.0000	0.0000	0.0000	3
GALNT1	GALNT13	DN_NC_073235.2_56615771_10	DN_NC_073241.2_64883296_11	truthbar	0	10	11	10	multi	0	0.3915	0.0000	0.0000	0.0000	0.0000	1
GALNT14	GALNT16	DN_NC_073236.2_108768428_15	DN_NC_073239.2_86159949_15	truthbar	0	15	15	15	multi	0	0.3957	0.0000	0.0000	0.0000	0.0000	1
GALNT17	LOC115935264	DN_NC_073230.2_80576116_9	DN_NC_073230.2_81087606_7	genuine	0	9	7	7	multi	0	0.4265	0.6203	0.2222	0.2857	0.2222	4
GAPDHS	LOC109024240	DN_NC_073244.2_46592534_11	DN_NC_073244.2_46599941_3	genuine	0	11	3	3	multi	0	0.1422	0.0000	0.0000	0.0000	0.0000	3
GATC	SRSF9	DN_NC_073234.2_135871466_4	DN_NC_073234.2_135886660_4	TP	1	4	4	4	multi	0	0.4406	0.4406	0.0000	0.2500	0.0000	4
GBA1	LOC101127437	DN_NC_073224.2_101578782_11	DN_NC_073224.2_101602135_9	TP	1	11	9	9	multi	0	0.3588	0.8320	0.6364	0.6667	0.6364	3
GBP2	GBP3	DN_NC_073224.2_150859518_11	DN_NC_073224.2_150948916_11	truthbar	0	12	11	11	multi	0	0.3730	0.4962	0.7500	0.8182	0.7500	3
GBP2	GBP5	DN_NC_073224.2_150712594_12	DN_NC_073224.2_150859518_11	truthbar	0	12	12	12	multi	0	0.2943	0.0000	0.0000	0.0000	0.0000	3
GBP2	GBP6	DN_NC_073224.2_150600792_11	DN_NC_073224.2_150859518_11	truthbar	0	11	12	11	multi	0	0.2268	0.0000	0.0000	0.0000	0.0000	3
GBP2	LOC101130426	DN_NC_073224.2_150859518_11	DN_NC_073224.2_150903711_11	truthbar	0	12	11	11	multi	0	0.3176	0.4033	0.7500	0.8182	0.7500	3
GBP2	LOC101137042	DN_NC_073224.2_150567709_6	DN_NC_073224.2_150859518_11	genuine	0	6	12	6	multi	0	0.1569	0.0000	0.0000	0.0000	0.0000	3
GBP3	GBP4	DN_NC_073224.2_150787798_12	DN_NC_073224.2_150948916_11	truthbar	0	12	11	11	multi	0	0.1462	0.0000	0.0000	0.0000	0.0000	3
GBP3	GBP5	DN_NC_073224.2_150712594_12	DN_NC_073224.2_150948916_11	truthbar	0	12	11	11	multi	0	0.3246	0.0000	0.0000	0.0000	0.0000	3
GBP3	GBP6	DN_NC_073224.2_150600792_11	DN_NC_073224.2_150948916_11	truthbar	0	11	11	11	multi	0	0.1515	0.0000	0.0000	0.0000	0.0000	3
GBP3	LOC101130426	DN_NC_073224.2_150903711_11	DN_NC_073224.2_150948916_11	truthbar	0	11	11	11	multi	0	0.5171	0.7380	0.8182	0.9091	0.8182	3
GBP3	LOC101137042	DN_NC_073224.2_150567709_6	DN_NC_073224.2_150948916_11	genuine	0	6	11	6	multi	0	0.1555	0.1481	0.5000	0.2727	0.2727	3
GBP4	GBP6	DN_NC_073224.2_150600792_11	DN_NC_073224.2_150787798_12	truthbar	0	11	12	11	multi	0	0.5839	0.3518	0.4545	0.5000	0.4545	3
GBP5	LOC101130426	DN_NC_073224.2_150712594_12	DN_NC_073224.2_150903711_11	truthbar	0	12	11	11	multi	0	0.2766	0.0000	0.0000	0.0000	0.0000	3
GBP6	LOC101130426	DN_NC_073224.2_150600792_11	DN_NC_073224.2_150903711_11	truthbar	0	11	11	11	multi	0	0.1515	0.0000	0.0000	0.0000	0.0000	3
GGA1	GGA3	DN_NC_073228.2_16713346_17	DN_NC_086018.1_35611817_17	truthbar	0	17	17	17	multi	0	0.1543	0.0000	0.0000	0.0000	0.0000	1
GGT1	LOC129526379	DN_NC_073238.2_24435116_16	DN_NC_086018.1_22138206_15	genuine	0	16	15	15	multi	0	0.1420	0.6684	0.5000	0.6000	0.5000	4
GIMAP4	LOC101145464	DN_NC_073230.2_159385621_3	DN_NC_073247.2_147586730_5	genuine	0	3	5	3	multi	0	0.2032	0.1926	0.0000	0.0000	0.0000	0
GIMAP4	LOC109023154	DN_NC_073230.2_159385621_3	DN_NC_073239.2_123333523_2	genuine	0	3	2	2	multi	0	0.1467	0.2049	0.0000	0.0000	0.0000	0
GIMAP4	LOC109025730	DN_NC_073224.2_123525276_5	DN_NC_073230.2_159385621_3	genuine	0	5	3	3	multi	0	0.3441	0.3562	0.2000	0.0000	0.0000	0
GIMAP4	LOC129530131	DN_NC_073230.2_159385621_3	DN_NC_073247.2_115708949_2	genuine	0	3	2	2	multi	0	0.1512	0.1565	0.0000	0.0000	0.0000	0
GIMAP4	LOC134756589	DN_NC_073230.2_159385621_3	DN_NC_073234.2_126370406_2	genuine	0	3	2	2	multi	0	0.1628	0.1674	0.0000	0.0000	0.0000	0
GIMAP4	PDCD5	DN_NC_073230.2_159385621_3	DN_NC_073244.2_43610901_6	genuine	0	3	6	3	multi	0	0.3739	0.3747	0.0000	0.1667	0.0000	0
GIMAP4	SEM1	DN_NC_073230.2_159385621_3	DN_NC_073230.2_92132360_3	genuine	0	3	3	3	multi	0	0.1718	0.2421	0.0000	0.0000	0.0000	0
GIMAP4	SPC25	DN_NC_073230.2_159385621_3	DN_NC_073235.2_71373985_7	genuine	0	3	7	3	multi	0	0.2449	0.3463	0.0000	0.1429	0.0000	0
GLB1	GLB1L	DN_NC_073235.2_121932800_16	DN_NC_086017.1_42871160_16	truthbar	0	16	16	16	multi	0	0.1760	0.0000	0.0000	0.0000	0.0000	1
GLIPR1	KRR1	DN_NC_073234.2_90802099_6	DN_NC_073234.2_90815331_10	genuine	0	6	10	6	multi	0	0.4329	0.4333	0.1667	0.0000	0.0000	3
GLMP	TMEM79	DN_NC_073224.2_100532147_6	DN_NC_073224.2_100535401_4	genuine	0	6	4	4	multi	0	0.3675	0.3675	0.0000	0.2500	0.0000	3
GLT8D2	TDG	DN_NC_073234.2_119380821_10	DN_NC_073234.2_119401970_11	genuine	0	10	11	10	multi	0	0.6238	0.6238	0.1000	0.0909	0.0909	3
GLUD1	GLUD2	DN_NC_073232.2_99433455_13	DN_NC_073247.2_132688708_2	TP	1	13	2	2	multi	0	0.7331	0.8402	0.9231	0.5000	0.5000	1
GMNN	LOC129527626	DN_NC_073229.2_42464475_7	DN_NC_073242.2_31473413_2	genuine	0	7	2	2	multi	0	0.1547	0.0000	0.0000	0.0000	0.0000	4
GMNN	LOC134757427	DN_NC_073229.2_42464475_7	DN_NC_073242.2_15582646_2	genuine	0	7	2	2	multi	0	0.1370	0.0000	0.0000	0.0000	0.0000	4
GMNN	LOC134757432	DN_NC_073229.2_42464475_7	DN_NC_073242.2_30609225_2	genuine	0	7	2	2	multi	0	0.1547	0.0000	0.0000	0.0000	0.0000	4
GNAI1	GNAI3	DN_NC_073224.2_130486250_9	DN_NC_073230.2_108545376_8	truthbar	0	9	8	8	multi	0	0.3161	0.0000	0.0000	0.0000	0.0000	3
GNAL	GNAS	DN_NC_073241.2_38359785_12	DN_NC_073245.2_71171979_13	truthbar	0	12	13	12	multi	0	0.5633	0.0000	0.0000	0.0000	0.0000	3
GNB1	GNB2	DN_NC_073224.2_239365488_12	DN_NC_073230.2_88115984_10	truthbar	0	12	10	10	multi	0	0.5258	0.0000	0.0000	0.0000	0.0000	1
GNG5	RPF1	DN_NC_073224.2_155484145_3	DN_NC_073224.2_155489872_9	genuine	0	3	9	3	multi	0	0.6307	0.6273	0.3333	0.0000	0.0000	3
GPAT3	GPAT4	DN_NC_073227.2_103831874_13	DN_NC_073231.2_79838229_13	genuine	0	13	13	13	multi	0	0.3603	0.0000	0.0000	0.0000	0.0000	4
GPAT4	LOC101133668	DN_NC_073230.2_74190280_2	DN_NC_073231.2_79866967_2	genuine	0	2	2	2	multi	0	0.2929	0.8579	0.5000	0.5000	0.5000	4
GPN1	SUPT7L	DN_NC_073236.2_112253211_6	DN_NC_073236.2_112264496_14	genuine	0	6	14	6	multi	0	0.6197	0.6197	0.1667	0.0714	0.0714	3
GPR89A	LOC101128637	DN_NC_073224.2_116008764_12	DN_NC_073224.2_124490902_14	genuine	0	12	14	12	multi	0	0.5039	1.0877	1.0000	0.9286	0.9286	3
GRIA1	GRIA4	DN_NC_073228.2_157310163_16	DN_NC_073233.2_113496230_16	truthbar	0	16	16	16	multi	0	0.1448	0.0000	0.0000	0.0000	0.0000	3
GRK2	GRK3	DN_NC_073233.2_75193065_21	DN_NC_086018.1_23590926_21	truthbar	0	21	21	21	multi	0	0.6349	0.0000	0.0000	0.0000	0.0000	1
GRTP1	LAMP1	DN_NC_073238.2_128177434_9	DN_NC_073238.2_128201955_8	genuine	0	9	8	8	multi	0	0.6147	0.6147	0.1111	0.1250	0.1111	1
GSTM1	GSTM3	DN_NC_073224.2_129169623_8	DN_NC_073224.2_129211328_8	truthbar	0	8	8	8	multi	0	0.6313	0.0000	0.0000	0.0000	0.0000	1
GSTM1	GSTM4	DN_NC_073224.2_129211328_8	DN_NC_073224.2_130416112_8	TP	1	8	8	8	multi	0	0.4365	0.4365	0.7500	0.8750	0.7500	1
GSTM1	GSTM5	DN_NC_073224.2_129191737_8	DN_NC_073224.2_129211328_8	truthbar	0	8	8	8	multi	0	0.4182	0.5565	0.8750	0.8750	0.8750	1
GSTM1	LOC129530196	DN_NC_073224.2_129200469_3	DN_NC_073248.2_27104145_4	genuine	0	3	4	3	multi	0	0.1906	0.4821	0.3333	0.0000	0.0000	1
GSTM2	LOC101126097	DN_NC_073224.2_115215234_17	DN_NC_073224.2_130013703_13	genuine	0	17	13	13	multi	0	0.4230	0.9984	0.8235	0.9231	0.8235	1
GSTM2	LOC101129940	DN_NC_073224.2_124983304_5	DN_NC_073224.2_130157457_4	genuine	0	5	4	4	multi	0	0.7880	1.0214	0.8000	1.0000	0.8000	1
GSTM2	LOC101131274	DN_NC_073224.2_129970070_21	DN_NC_073224.2_218361248_19	genuine	0	21	19	19	multi	0	0.1703	0.9713	0.9524	0.9474	0.9474	1
GSTM2	LOC101135585	DN_NC_073224.2_129970070_21	DN_NC_073224.2_130335848_23	genuine	0	21	23	21	multi	0	0.4989	0.6547	0.8571	0.8261	0.8261	1
GSTM2	LOC101140579	DN_NC_073224.2_130406472_4	DN_NC_073233.2_132097253_2	genuine	0	4	2	2	multi	0	0.1336	0.0000	0.0000	0.0000	0.0000	1
GSTM2	LOC109023809	DN_NC_073224.2_117447152_14	DN_NC_073224.2_130305133_13	genuine	0	14	13	13	multi	0	0.2564	1.0181	1.0000	1.0000	1.0000	1
GSTM2	LOC109026404	DN_NC_073224.2_130406472_2	DN_NC_086017.1_165200217_5	genuine	0	2	5	2	multi	0	0.1349	0.2299	0.0000	0.0000	0.0000	1
GSTM2	LOC115930164	DN_NC_073224.2_129970070_21	DN_NC_073224.2_223156764_8	genuine	0	21	8	8	multi	0	0.3036	0.8901	0.2381	0.6250	0.2381	1
GSTM2	LOC115930576	DN_NC_073224.2_129970070_21	DN_NC_073224.2_218434129_23	genuine	0	21	23	21	multi	0	0.1703	0.9702	0.9524	0.9565	0.9524	1
GSTM2	LOC115932735	DN_NC_073224.2_124254598_20	DN_NC_073224.2_129970070_21	genuine	0	20	21	20	multi	0	0.1417	0.1739	0.2000	0.3810	0.2000	1
GSTM2	LOC115932984	DN_NC_073224.2_129970070_21	DN_NC_073224.2_130224824_25	genuine	0	21	25	21	multi	0	0.2346	0.6288	0.9048	0.9600	0.9048	1
GSTM2	LOC115933235	DN_NC_073224.2_129429039_7	DN_NC_073224.2_129970070_21	genuine	0	7	21	7	multi	0	0.5893	1.0000	1.0000	0.3333	0.3333	1
GSTM2	LOC115933241	DN_NC_073224.2_115073393_19	DN_NC_073224.2_129970070_21	genuine	0	19	21	19	multi	0	0.3804	0.8149	0.7895	0.9524	0.7895	1
GSTM2	LOC115935025	DN_NC_073224.2_130406472_4	DN_NC_073229.2_136550623_3	genuine	0	4	3	3	multi	0	0.1632	0.0000	0.0000	0.0000	0.0000	1
GSTM2	LOC129525330	DN_NC_073224.2_125594338_29	DN_NC_073224.2_129970070_21	genuine	0	29	21	21	multi	0	0.2328	0.6135	1.0000	0.8571	0.8571	1
GSTM2	LOC129525331	DN_NC_073224.2_125055626_35	DN_NC_073224.2_129970070_21	genuine	0	35	21	21	multi	0	0.2143	0.5952	1.0000	0.9048	0.9048	1
GSTM2	LOC129525599	DN_NC_073224.2_116807774_25	DN_NC_073224.2_129970070_21	genuine	0	25	21	21	multi	0	0.6679	0.8251	1.0000	0.9048	0.9048	1
GSTM2	LOC129532045	DN_NC_073224.2_130406472_2	DN_NC_073235.2_137582288_5	genuine	0	2	5	2	multi	0	0.1429	0.0000	0.0000	0.0000	0.0000	1
GSTM2	LOC134756861	DN_NC_073224.2_117494263_25	DN_NC_073224.2_129970070_21	genuine	0	25	21	21	multi	0	0.6682	0.8251	0.7600	0.9048	0.7600	1
GSTM2	LOC134756922	DN_NC_073224.2_117217199_13	DN_NC_073224.2_130013703_13	genuine	0	13	13	13	multi	0	0.9713	1.0000	0.9231	1.0000	0.9231	1
GSTM2	LOC134757399	DN_NC_073224.2_130406472_2	DN_NC_073241.2_80636266_2	genuine	0	2	2	2	multi	0	0.2493	0.2917	0.0000	0.0000	0.0000	1
GSTM2	SEC22B	DN_NC_073224.2_117114419_5	DN_NC_073224.2_130157457_4	genuine	0	5	4	4	multi	0	0.3202	1.0212	0.8000	1.0000	0.8000	1
GSTM2	SNX14	DN_NC_073224.2_130406472_2	DN_NC_073229.2_109663823_28	genuine	0	2	28	2	multi	0	0.1494	0.2396	0.0000	0.0357	0.0000	1
GSTM2	TRIP13	DN_NC_073224.2_130305133_13	DN_NC_073243.2_111262956_13	genuine	0	13	13	13	multi	0	0.1916	0.3212	0.9231	0.8462	0.8462	1
GSTM2	WDR64	DN_NC_073224.2_130406472_2	DN_NC_073224.2_13812644_2	genuine	0	2	2	2	multi	0	0.2655	0.0000	0.0000	0.0000	0.0000	1
GSTM2	XAF1	DN_NC_073224.2_130406472_4	DN_NC_073243.2_21894066_7	genuine	0	4	7	4	multi	0	0.1601	0.0000	0.0000	0.0000	0.0000	1
GSTM3	GSTM4	DN_NC_073224.2_129169623_8	DN_NC_073224.2_130416112_8	truthbar	0	8	8	8	multi	0	0.6066	0.0000	0.0000	0.0000	0.0000	1
GSTM3	GSTM5	DN_NC_073224.2_129169623_8	DN_NC_073224.2_129191737_8	truthbar	0	8	8	8	multi	0	0.6334	0.0000	0.0000	0.0000	0.0000	1
GSTM4	GSTM5	DN_NC_073224.2_129191737_8	DN_NC_073224.2_130416112_8	truthbar	0	8	8	8	multi	0	0.4402	0.4365	0.7500	0.7500	0.7500	1
GTF3A	MTIF3	DN_NC_073238.2_41750994_9	DN_NC_073238.2_41760020_5	genuine	0	9	5	5	multi	0	0.1981	0.1981	0.0000	0.0000	0.0000	1
H1-4	LOC101133280	DN_NC_073229.2_43808975_3	DN_NC_073229.2_43841872_2	genuine	0	3	2	2	multi	0	0.1557	0.1415	0.0000	0.0000	0.0000	3
HARS1	LOC101146509	DN_NC_073228.2_144523376_13	DN_NC_073228.2_144540580_13	truthbar	0	13	13	13	multi	0	0.5838	0.2220	0.0769	0.0769	0.0769	1
HCFC1R1	THOC6	DN_NC_073242.2_6668831_3	DN_NC_073242.2_6668959_13	genuine	0	3	13	3	multi	0	0.4695	0.4737	0.3333	0.0000	0.0000	3
HCK	LCK	DN_NC_073224.2_207670698_13	DN_NC_073245.2_44289870_13	truthbar	0	12	13	12	multi	0	0.4163	0.0000	0.0000	0.0000	0.0000	3
HDGFL3	TM6SF1	DN_NC_073240.2_84645975_10	DN_NC_073240.2_84673981_6	genuine	0	10	6	6	multi	0	0.6009	0.5986	0.1000	0.0000	0.0000	3
HERC2	LOC109023386	DN_NC_073240.2_23447377_5	DN_NC_073240.2_29509629_20	genuine	0	5	20	5	multi	0	0.1904	0.2243	0.6000	0.2500	0.2500	1
HERC2	LOC115930830	DN_NC_073240.2_29509629_20	DN_NC_073240.2_31271054_17	genuine	0	20	17	17	multi	0	0.2543	0.6675	0.6500	0.6471	0.6471	1
HERC2	LOC129527054	DN_NC_073240.2_23337808_11	DN_NC_073240.2_29369420_15	genuine	0	11	15	11	multi	0	0.6185	0.9029	0.9091	0.6667	0.6667	1
HERC2	LOC129527072	DN_NC_073240.2_24965661_3	DN_NC_073240.2_29509629_20	genuine	0	3	20	3	multi	0	0.2719	0.8098	0.6667	0.1500	0.1500	1
HERC5	HERC6	DN_NC_073227.2_108696648_23	DN_NC_073227.2_108774177_23	truthbar	0	23	23	23	multi	0	0.2682	0.0000	0.0000	0.0000	0.0000	1
HIGD1A	SDHAF4	DN_NC_073229.2_94673034_3	DN_NC_086017.1_52688084_4	genuine	0	3	4	3	multi	0	0.1692	0.0000	0.0000	0.0000	0.0000	3
HIVEP1	LOC129532538	DN_NC_073229.2_29619457_3	DN_NC_086017.1_156500672_3	genuine	0	3	3	3	multi	0	0.1529	0.0000	0.0000	0.0000	0.0000	3
HIVEP1	LOC129532539	DN_NC_073229.2_29619457_3	DN_NC_086017.1_156500672_2	genuine	0	3	2	2	multi	0	0.1529	0.0000	0.0000	0.0000	0.0000	3
HIVEP1	TNFRSF10B	DN_NC_073229.2_29619457_3	DN_NC_073231.2_27219653_9	genuine	0	3	9	3	multi	0	0.1548	0.0000	0.0000	0.0000	0.0000	3
HK1	HK2	DN_NC_073232.2_46350686_18	DN_NC_073236.2_64893638_18	truthbar	0	18	18	18	multi	0	0.7510	0.0000	0.0000	0.0000	0.0000	1
HK1	HKDC1	DN_NC_073232.2_46350686_18	DN_NC_073232.2_46484201_18	truthbar	0	18	18	18	multi	0	0.3327	0.0000	0.0000	0.0000	0.0000	1
HK2	HKDC1	DN_NC_073232.2_46484201_18	DN_NC_073236.2_64893638_18	truthbar	0	18	18	18	multi	0	0.2356	0.0000	0.0000	0.0000	0.0000	1
HMGN2	LOC129533754	DN_NC_073224.2_213462039_6	DN_NC_073228.2_49710333_4	genuine	0	6	4	4	multi	0	0.1736	0.3792	0.6667	0.0000	0.0000	3
HNRNPA1	LOC101136459	DN_NC_073234.2_47062440_10	DN_NC_073238.2_67037804_5	genuine	0	10	5	5	multi	0	0.5115	0.5866	0.8000	0.2000	0.2000	3
HNRNPF	HNRNPH1	DN_NC_073228.2_183595646_14	DN_NC_073232.2_72046295_2	truthbar	0	14	2	2	multi	0	0.5570	0.0000	0.0000	0.0000	0.0000	1
HNRNPF	HNRNPH2	DN_NC_073232.2_72046295_2	DN_NC_073247.2_113184310_2	truthbar	0	2	2	2	multi	0	0.5308	0.0000	0.0000	0.0000	0.0000	1
HNRNPH1	HNRNPH2	DN_NC_073228.2_183595646_14	DN_NC_073247.2_113184615_2	truthbar	0	14	2	2	multi	0	0.6090	0.5292	0.7857	0.5000	0.5000	1
HPCAL1	HPCAL4	DN_NC_073224.2_200263910_4	DN_NC_073236.2_129488631_5	truthbar	0	4	5	4	multi	0	0.2494	0.0000	0.0000	0.0000	0.0000	3
HSCB	NBEAL1	DN_NC_073235.2_105819742_3	DN_NC_086018.1_26773900_6	genuine	0	3	6	3	multi	0	0.1598	0.0000	0.0000	0.0000	0.0000	1
HSP90AA1	HSP90AB1	DN_NC_073229.2_62050928_12	DN_NC_073239.2_119046659_11	truthbar	0	12	11	11	multi	0	0.4101	0.0000	0.0000	0.0000	0.0000	1
HSPA12A	HSPA12B	DN_NC_073232.2_128963971_12	DN_NC_073245.2_13635871_13	truthbar	0	12	13	12	multi	0	0.2210	0.0000	0.0000	0.0000	0.0000	3
