family_id	n_genes	genes
FAM110	7	LOC101127305,LOC101128279,LOC101128883,LOC101129227,LOC101130182,LOC134758420,SPRR2G
FAM111	7	LOC101125692,LOC101126416,LOC101135418,LOC101151919,LOC101152881,LOC101153230,LOC109024954
FAM112	7	LOC101123893,LOC101131021,LOC101133011,LOC101133456,LOC101147806,LOC109024144,RPL36
FAM113	7	KRT31,KRT32,KRT34,KRT35,KRT36,LOC109026842,LOC115930137
FAM114	6	LOC129530275,LOC129530276,LOC129530277,LOC129530278,LOC129530279,LOC129530280
FAM115	6	FRG2C,LOC115932837,LOC115932854,LOC129530558,LOC129532824,LOC134758387
FAM116	6	LOC129525778,LOC129525779,LOC129526731,LOC129528260,LOC134757173,MALRD1
FAM117	6	LOC101129526,LOC115931016,LOC115933209,LOC115933354,LOC129527624,LOC134757425
FAM118	6	LOC129529226,LOC129531982,LOC129532042,LOC129534588,LOC134758744,PLA2G4B
FAM119	6	LOC129530381,LOC129531205,LOC129531501,LOC134756831,SAFB,SAFB2
FAM120	6	GOLGA6L10,LOC101138066,LOC101149595,LOC115930840,LOC129523543,LOC129526914
FAM121	6	LOC101125611,LOC101132018,LOC101135421,LOC101138942,LOC101144800,RPL9
FAM122	6	LOC101131561,LOC101138318,LOC115933066,LOC115933144,LOC129527341,PKD1
FAM123	6	LOC101142457,LOC129523468,LOC129523511,LOC134756389,RABL2A,RABL2B
FAM124	6	LOC115931040,LOC115933152,LOC129531435,LOC134756757,LOC134757820,TEX14
FAM125	6	LOC101132402,LOC101136779,LOC115935322,LOC129528333,SUMO2,SUMO4
FAM126	6	LOC101147160,LOC115932867,LOC129533282,LOC129533340,LOC134757814,LOC134757816
FAM127	6	LOC101128599,LOC101153611,LOC101153957,LOC115931590,LOC115932619,ZSCAN5B
FAM128	6	LOC101141440,LOC101142918,LOC101143516,LOC115930150,LOC115935007,NUTM2F
FAM129	6	EEF1A1,LOC101136757,LOC101142679,LOC109023808,LOC109027324,LOC109028379
FAM130	6	LOC101142362,LOC109023224,LOC115931699,LOC115932819,LOC115933013,LOC134757320
FAM131	6	LOC101136583,LOC101148853,LOC115933728,LOC129526434,TUBA3E,TUBA8
FAM132	6	ARHGAP23,LOC101138564,LOC115933558,LOC129527200,LOC129527211,LOC129527345
FAM133	6	FTH1,LOC101130581,LOC101130706,LOC109027830,LOC115931247,LOC129525611
FAM134	6	LOC101147134,LOC115930162,LOC115935863,LOC134758959,PRSS2,PRSS3
FAM135	6	ANAPC1,LOC109025714,LOC115933561,LOC129531482,LOC134756741,LOC134756742
FAM136	6	LOC101144812,LOC115933574,LOC129526437,LOC129527242,LOC129527390,SLC6A8
FAM137	6	HNRNPA1,HNRNPA1L2,LOC101130214,LOC101134010,LOC101137249,LOC101144033
FAM138	6	CES4A,LOC115932799,LOC115932915,LOC129531429,LOC134756833,LOC134757223
FAM139	6	LOC101128093,LOC101137229,LOC101139046,LOC101152403,LOC109025084,LOC115931945
FAM140	6	LOC101152940,LOC101154053,LOC109025285,LOC109025864,LOC109026691,RPS29
FAM141	6	DPY19L2,LOC101148570,LOC109027749,LOC115935244,LOC115935345,LOC115935380
FAM142	6	LOC101128806,LOC101135508,LOC101153622,LOC109028893,LOC115933000,RPL15
FAM143	6	ALG1,ALG1L1P,ALG1L2,LOC101130727,LOC109023085,LOC109027697
FAM144	6	LOC101129558,LOC101130144,LOC101135429,LOC101144977,LOC134757831,SIRPB1
FAM145	6	LOC101125643,LOC101146259,LOC109023026,LOC134757598,SET,SETSIP
FAM146	6	LOC101151083,LOC101152037,LOC101152645,LOC115931550,LOC129528544,LOC129528545
FAM147	6	LOC101131169,LOC101148650,LOC101150855,LOC134758199,LOC134759022,RPS15A
FAM148	6	KRT7,KRT8,LOC101132703,LOC101132977,LOC101149792,LOC129532097
FAM149	6	LOC101137298,LOC101137655,LOC101138029,LOC101138407,LOC101139500,LOC129525946
FAM150	6	CEACAM1,CEACAM3,CEACAM5,CEACAM6,CEACAM7,LOC101148900
FAM151	6	ELOC,LOC101125987,LOC101139242,LOC101141508,LOC101152199,LOC109025605
FAM152	6	LOC101124653,LOC101127913,LOC109027626,LOC115936267,LOC115936270,LOC115936296
FAM153	6	LOC101135314,LOC101135660,LOC101136025,LOC101136393,LOC101136745,LOC101139829
FAM154	6	MYH1,MYH13,MYH2,MYH3,MYH4,MYH8
FAM155	6	LOC101136640,ZNF155,ZNF222,ZNF224,ZNF225,ZNF230
FAM156	5	LOC101143267,LOC101145461,LOC101146896,LOC129523474,NXF3
FAM157	5	LOC109024451,LOC109029387,LOC115930426,LOC129526141,LOC134756400
FAM158	5	CPLANE1,LOC115933170,LOC115933270,LOC134757605,WDR70
FAM159	5	LETM1,LOC115933202,LOC129530721,LOC134757056,LOC134757964
FAM160	5	LOC101127117,LOC101127516,LOC115933256,LOC129523466,STAG3
FAM161	5	FOXD4L1,LOC101149305,LOC129524105,LOC129524612,LOC134756825
FAM162	5	LOC115932097,LOC129526087,LOC129527234,LOC134756956,TERF1
FAM163	5	LOC101136480,LOC115933250,LOC115933349,LOC129527569,LOC129527620
FAM164	5	LOC129527887,LOC129528035,LOC134757565,LOC134757615,LOC134757642
FAM165	5	LOC129530208,LOC129530236,LOC129530237,LOC129530294,LOC129530295
FAM166	5	LOC109028113,LOC129525329,LOC129525664,LOC129532613,PSMA5
FAM167	5	LOC101130553,LOC101132345,LOC101144197,LOC101145399,LOC129534774
FAM168	5	CBFB,LOC115931076,LOC129531432,LOC129531450,LOC134756387
FAM169	5	LOC101138607,LOC101139924,LOC101143909,LOC134756682,RPS17
FAM170	5	LOC101138028,LOC115933342,LOC115933540,LOC115936243,UBTFL1
FAM171	5	LGALS9C,LOC101133154,LOC101138463,LOC101154187,LOC115932657
FAM172	5	HIGD1A,LOC101132615,LOC101134412,LOC101152317,LOC109029167
FAM173	5	LOC109023382,LOC109028997,LOC129528949,LOC129534056,RPL34
FAM174	5	LOC101138040,LOC101139259,LOC101151356,LOC115935319,SNRPG
FAM175	5	EEF1B2,LOC101130619,LOC101136280,LOC101144131,LOC101146256
FAM176	5	LOC101129830,LOC101146806,LOC109024622,LOC109026990,RPL18A
FAM177	5	CKS1B,LOC101127646,LOC109027898,LOC109028877,LOC129526772
FAM178	5	LOC101126499,LOC101138287,LOC101146767,LOC115930419,RPL26
FAM179	5	LOC101132879,LOC101134166,LOC101143037,LOC101150321,RPL7A
FAM180	5	LOC101143675,LOC109024677,LOC129523984,LOC134758146,UBE2V1
FAM181	5	LOC101142199,LOC101147574,LOC101148666,LOC101149210,RPS12
FAM182	5	LOC101136203,LOC101151260,LOC101152583,LOC109029034,LOC109029062
FAM183	5	LOC101130836,LOC101133075,LOC101141038,LOC101151223,RPL32
FAM184	5	HMGA1,LOC101127844,LOC101142088,LOC109024698,LOC134756436
FAM185	5	LOC101127500,LOC109027176,LOC109028042,LOC115934314,MYL12B
FAM186	5	LCN1,LOC101126259,LOC101147034,LOC101153071,THEM4
FAM187	5	LOC115930184,LOC115936283,LOC115936312,LOC129527542,LOC134759064
FAM188	5	LOC101125960,LOC109024249,LOC109024637,LOC129529182,RPL37
FAM189	5	APOBEC3B,APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3G
FAM190	5	CCNQ,LOC101145937,LOC109029187,LOC129527246,LOC129530296
FAM191	5	LOC101127912,LOC101131055,LOC101133679,LOC101152105,LOC109025874
FAM192	5	LOC101131530,LOC101132260,LOC101132985,LOC101133349,LOC101133713
FAM193	5	LOC101145105,LOC115932311,XAGE2,XAGE3,XAGE5
FAM194	4	LOC129526106,LOC129526873,LOC134756953,TBC1D1
FAM195	4	LOC101129329,LOC129526105,LOC134756755,TPM4
FAM196	4	LOC101151529,LOC129523521,LOC129527432,LOC129527828
FAM197	4	ALDH1B1,LOC115935842,LOC129524687,LOC129524766
FAM198	4	LOC101149482,LOC129523522,LOC129527445,LOC129527830
FAM199	4	GON4L,LOC129526672,LOC129533367,YY1AP1
FAM200	4	CDH18,LOC101140640,LOC134757554,NUP50
FAM201	4	LOC101151746,LOC115932712,LOC115936245,LOC115936253
FAM202	4	LOC101127189,LOC101127800,LOC115936196,LOC115936305
FAM203	4	LOC101149396,LOC129532822,LOC129532823,LOC129532832
FAM204	4	LOC101133912,LOC101134607,LOC109023068,RTL8B
FAM205	4	HBE1,LOC115933478,LOC134759280,LOC134759281
FAM206	4	ETDB,ETDC,LOC101141544,LOC115932285
FAM207	4	LOC129530537,LOC129530592,LOC134757033,TINCR
FAM208	4	CCDC144A,LOC101126875,LOC101143460,LOC109026769
FAM209	4	LOC101127609,LOC101154433,LOC115930161,LOC129527724
FAM210	4	LOC101147131,LOC134758806,LOC134758807,LOC134758808
FAM211	4	LOC101152972,LOC115931074,LOC129527053,RHPN2
FAM212	4	LOC101133975,LOC115930099,LOC129527339,LOC129527618
FAM213	4	LOC115934544,LOC134757221,LOC134757324,ZCCHC14
FAM214	4	KYAT3,LOC101140955,RBMX,RBMXL1
FAM215	4	C1QTNF3,LOC129523471,LOC129530594,LOC134757411
FAM216	4	LOC101129878,LOC101130238,LOC101130614,LOC101130972
FAM217	4	LOC101135633,LOC115931263,LOC134756444,LOC134757639
FAM218	4	FEM1A,LOC101142994,LOC129527203,LOC134756975
FAM219	4	ADAMTS7,LOC101127226,LOC109023513,LOC115933405
FAM220	4	LOC129523581,LOC129525208,LOC129532935,SORT1
FAM221	4	GNG5,GNG5B,LOC109027862,LOC115936218
FAM222	4	LOC101130871,LOC101138086,LOC115933006,LOC115933189
FAM223	4	AK6,LOC101141762,LOC115934278,TAF9
FAM224	4	LOC129526444,LOC129527204,LOC134756976,SLX9
FAM225	4	LOC101136398,LOC115932241,LOC115932281,LOC129529790
FAM226	4	LOC101129940,LOC101134027,LOC129525219,SEC22B
FAM227	4	ADH5,LOC101125574,LOC129534179,LOC129534225
FAM228	4	LOC101147502,LOC115930163,LOC115932828,LOC115933253
FAM229	4	ALPI,LOC101132628,LOC115933736,LOC115933737
FAM230	4	HERC2,LOC101149126,LOC115932987,LOC129527258
FAM231	4	LOC101134115,LOC101153761,LOC115934951,TMEM14B
FAM232	4	FDPS,LOC109027640,LOC129529224,LOC129534743
FAM233	4	AP1S2,LOC115931299,LOC129527971,LOC129533460
FAM234	4	LOC101131259,LOC109024294,LOC109024295,TMSB4X
FAM235	4	HGFAC,LOC115934282,LOC134756832,LOC134757059
FAM236	4	ARL4A,LOC101135338,LOC115934320,LOC129534288
FAM237	4	LOC101147463,LOC101150945,LOC115931267,LOC115931282
FAM238	4	LOC101147888,LOC101149915,LOC115936225,TRIM77
FAM239	4	LOC101153729,LOC101154093,LOC109024085,LOC115931638
FAM240	4	LOC101138765,LOC101139383,LOC101151385,RPL13A
FAM241	4	LOC101134687,LOC109023584,LOC109027020,RPS27A
FAM242	4	LOC101127312,LOC101147253,LOC109024287,LOC129533515
FAM243	4	EIF5A,LOC101132464,LOC109026716,LOC129524935
FAM244	4	LOC115933185,LOC115935248,LOC129534750,UPK3BL1
FAM245	4	LOC101134531,LOC101140222,LOC101140583,PRH2
FAM246	4	LOC101149662,LOC115935026,PIP5K1A,PSMD4
FAM247	4	LOC101128742,LOC101148972,LOC101150168,TUBA1C
FAM248	4	CFH,CFHR5,LOC101131400,LOC115935403
FAM249	4	LOC101128182,ZNF705A,ZNF705D,ZNF705EP
FAM250	4	LOC101135797,LOC101151540,LOC129532449,RPS18
FAM251	4	CST5,LOC101150231,LOC109023081,LOC115931737
FAM252	4	LOC101127583,LOC101151578,SCP2,TUBB
FAM253	4	ANKRD36C,LOC101125154,LOC109025523,LOC129530340
FAM254	4	LOC101128088,LOC101128458,LOC109023694,LOC115931020
FAM255	4	CES1,LOC101149966,LOC109023710,LOC115931015
FAM256	4	SLC35G3,SLC35G4,SLC35G5,SLC35G6
FAM257	4	LOC101128812,LOC101129151,LOC101129533,LOC101134919
FAM258	4	LOC101126357,LOC101126699,LOC101143657,LOC115930165
FAM259	4	LOC101135754,LOC101145089,LOC109025964,TPM3
FAM260	4	LOC101129785,LOC101133825,LOC101140090,RPS15
FAM261	4	LOC101137667,LOC101146853,LOC109028674,RPLP1
FAM262	4	HP,LOC101124941,LOC115930087,LOC129527712
FAM263	4	LOC101136189,LOC101136561,LOC101136923,LOC109029255
FAM264	4	LOC101131235,LOC101132303,LOC115935014,LOC134758703
FAM265	4	ATP5MF,LOC101124099,LOC101136485,LOC101148588
FAM266	4	LOC101137417,LOC101142081,LOC109028938,LOC134756361
FAM267	4	FAM47A,FAM47B,LOC101141047,LOC101144132
FAM268	4	FAM136A,LOC101153492,LOC109026392,LOC129533491
FAM269	4	LOC101129788,LOC109024811,LOC115931610,LOC115931626
FAM270	4	LOC101126456,LOC101127173,LOC101151965,LOC134756383
FAM271	4	LOC101124418,LOC101130407,LOC101143553,MIA2
FAM272	4	HMGB3,LOC101134437,LOC101150009,LOC115935782
FAM273	4	BTF3,LOC101133056,LOC101144663,PPP3CC
FAM274	4	LOC101135427,LOC101153278,LOC109027288,OSTC
FAM275	4	MIR516A-1,MIR516A-2,MIR516B-1,MIR516B-2
FAM276	4	ATP5MC1,LOC101138209,LOC101144419,LOC101144921
FAM277	4	LOC101134771,LOC101135486,LOC129534637,RPL27
FAM278	4	LOC109028806,LOC134756460,LOC134756461,LOC134759291
FAM279	4	LOC101148362,LOC109023337,LOC115934594,RPL35A
FAM280	4	GSTM1,GSTM2,GSTM4,LOC101138588
FAM281	4	LOC101124732,LOC101145690,ZNF418,ZNF552
FAM282	4	LOC101133475,LOC101148734,MRGPRX2,MRGPRX3
FAM283	4	LOC101126892,LOC101151086,LOC115931639,SIGLEC12
FAM284	4	SCN1A,SCN2A,SCN3A,SCN9A
FAM285	4	KRT71,KRT72,KRT74,LOC101126119
FAM286	4	APOL1,APOL2,APOL3,APOL4
FAM287	3	LOC115931097,LOC115932699,PARN
FAM288	3	LOC129525787,ZNF586,ZNF776
FAM289	3	LOC115934564,SRP19,ZRSR2
FAM290	3	DAZ1,DAZL,LOC129530216
FAM291	3	LOC115935618,LOC129523560,SOCS6
FAM292	3	LOC101151897,LOC129527628,LOC129527629
FAM293	3	F8A1,F8A3,LOC115932395
FAM294	3	LOC101152665,LOC115932047,LOC129529676
FAM295	3	FUT2,LOC101146871,LOC134757697
FAM296	3	LOC101147718,ZNF780A,ZNF780B
FAM297	3	ARL5A,LOC101135389,LOC134757235
FAM298	3	LOC101145839,LOC134756931,PTEN
FAM299	3	LOC101148825,LOC101149184,LOC115932255
FAM300	3	LOC101123729,LOC101140367,LOC129533812
FAM301	3	LOC101129330,LOC115932133,LOC115932200
FAM302	3	LOC101146261,LOC115931067,LOC134757486
FAM303	3	LOC101149667,LOC134756392,LOC134759258
FAM304	3	DDT,LOC109024612,LOC115931951
FAM305	3	LOC115933784,PIGY,PYURF
FAM306	3	DUSP7,LOC115933338,LOC134758532
FAM307	3	LOC101149786,LOC129525628,LOC134757007
FAM308	3	LOC109029260,LOC115933429,MPHOSPH8
FAM309	3	CENPVL3,LOC101142669,LOC101145832
FAM310	3	LOC101127370,LOC115934576,UPF3A
FAM311	3	LOC101137311,LOC129527240,PSPC1
FAM312	3	LOC115932827,LOC115933369,LOC129527725
FAM313	3	LOC101137570,LOC129528093,OFD1
FAM314	3	LOC101135518,LOC101151290,PLEKHM1
FAM315	3	CCL3,LOC101139671,LOC129533794
FAM316	3	LOC101145597,LOC109026668,TPT1
FAM317	3	GNA11,LOC101149632,LOC129531713
FAM318	3	LOC129527454,LOC129527819,SLC9B1
FAM319	3	LIMK2,LOC115930203,PPP1R14B
FAM320	3	LOC101139541,LOC109026304,MYL6
FAM321	3	LOC101134596,LOC115931965,PI4KA
FAM322	3	LOC115931052,LOC115934954,SMIM30
FAM323	3	LOC101153727,LOC115930085,ZNF850
FAM324	3	LOC101132815,LOC129534664,LOC134758882
FAM325	3	LOC101142730,LOC115932141,TXNDC9
FAM326	3	LOC101125924,LOC109024327,MIX23
FAM327	3	LOC101131083,LOC134757993,PIN4
FAM328	3	LOC109023386,LOC115930830,LOC129527072
FAM329	3	LOC101136971,LOC115932749,ZC3H7A
FAM330	3	LOC115933523,LOC115933524,LOC129523459
FAM331	3	LOC101154316,LOC129534171,LOC129534468
FAM332	3	LOC101128212,LOC115931710,OTOP1
FAM333	3	LOC129527440,LOC129527821,MTMR2
FAM334	3	LOC101137006,LOC115931241,SEPTIN7
FAM335	3	LOC101142371,LOC129527596,RRN3
FAM336	3	LOC101141121,LOC115934587,MAPK8IP1
FAM337	3	LOC115930126,LOC115932684,LOC129527248
FAM338	3	LOC129529560,LOC129529591,ZNF74
FAM339	3	CSPG4,LOC101141731,LOC134757271
FAM340	3	BMERB1,LOC101125551,MPV17L
FAM341	3	LOC101129613,LOC134757058,LSP1
FAM342	3	CEP170,LOC115933756,LOC129531985
FAM343	3	LOC101150852,LOC129529661,USP18
FAM344	3	LOC101135829,LOC101146826,ST13
FAM345	3	LLPH,LOC101151758,LOC129529526
FAM346	3	LOC101143038,WASHC2A,WASHC2C
FAM347	3	DGCR6,DGCR6L,LOC115931912
FAM348	3	LOC101147656,LOC129532216,RHOQ
FAM349	3	LOC101128472,LOC115934962,LOC129534195
FAM350	3	HSPA1A,HSPA1L,LOC101131586
FAM351	3	LOC101141498,LOC101145547,LOC115931266
FAM352	3	FAU,LOC101128102,LOC101136911
FAM353	3	KCNJ12,LOC109026822,LOC129533583
FAM354	3	LOC101146492,LOC129526335,RPS3
FAM355	3	LOC101133681,LOC109023730,MAP1LC3B
FAM356	3	EIF2S2,LOC101138541,LOC101143155
FAM357	3	LOC101134418,LOC101147060,LOC115933568
FAM358	3	AP3S1,LOC101146685,LOC115931023
FAM359	3	LOC101128987,LOC101135126,PRELID1
FAM360	3	LOC115931911,LOC115931957,PRODH
FAM361	3	CNTNAP3C,LOC101143875,LOC115933307
FAM362	3	LOC101128230,LOC101143959,LOC115930108
FAM363	3	LOC101133218,LOC129525227,RPLP0
FAM364	3	LOC101142890,LOC109025371,LOC115931944
FAM365	3	COTL1,LOC101126043,LOC115934679
FAM366	3	FRAT1,FRAT2,LOC101145989
FAM367	3	LOC101129444,LOC101134822,MEMO1
FAM368	3	LOC101139358,LOC101141522,SUMO1
FAM369	3	LOC101136048,LOC101136772,RAMAC
FAM370	3	LOC101153713,LOC115931260,UBE2S
FAM371	3	EIF4B,LOC101136303,LOC101146246
FAM372	3	AMY2A,AMY2B,LOC101133335
FAM373	3	INTS4,LOC109027741,LOC129523663
FAM374	3	FAHD2B,LOC101146690,LOC101148848
FAM375	3	LOC101143646,LOC101144011,LOC134756398
FAM376	3	LOC101146937,LOC115933763,NOC2L
FAM377	3	LOC101139472,LOC101144070,RPS13
FAM378	3	LOC101132221,LOC101148081,LOC101148812
FAM379	3	LOC101129832,LOC101141974,RPS20
FAM380	3	GK,GK2,GK3
FAM381	3	LOC101127634,LOC101138853,NREP
FAM382	3	LOC115934309,LOC134757060,RGS12
FAM383	3	ISCA1,LOC101129959,LOC101148543
FAM384	3	AKR1B10,LOC101146188,LOC115935241
FAM385	3	LOC101129979,LOC101133845,LOC101145522
FAM386	3	LOC101131514,LOC101146371,PTGES3
FAM387	3	LOC101136934,LOC109029264,LOC115930232
FAM388	3	LOC101132116,LOC101140048,LOC115934295
FAM389	3	LOC101133347,PGAM1,PGAM4
FAM390	3	DEFB108B,LOC101143900,LOC115935600
FAM391	3	LOC101140366,LOC101144085,LOC115931273
FAM392	3	CDC27,LOC129526253,LOC129529219
FAM393	3	LOC101131139,LOC134759079,PCBP2
FAM394	3	KCTD9,LOC101135809,LOC101147376
FAM395	3	LOC109027025,LOC115932787,MAP2K3
FAM396	3	LOC115933154,SLC25A51,SLC25A52
FAM397	3	LOC101143341,LOC115931021,LOC115931038
FAM398	3	LOC101151846,LOC115930422,RPS7
FAM399	3	LOC101123934,LOC109024736,SLC2A14
FAM400	3	LOC109026315,POU5F1,POU5F1B
FAM401	3	LOC101123793,LOC101152574,LOC115936189
FAM402	3	LOC129523908,LOC129523916,MUC3A
FAM403	3	HSPD1,LOC101150049,LOC115931220
FAM404	3	LOC115934550,LOC115934643,WDR45B
FAM405	3	LOC115932847,LOC115932948,LOC115934368
FAM406	3	LOC101131889,LOC101135123,LOC109029274
FAM407	3	LOC101132095,LOC101132458,LOC101142327
FAM408	3	ITLN2,LOC101146454,LOC115930226
FAM409	3	LAMTOR5,LOC129525086,LOC129526804
FAM410	3	LOC101137461,PPP1R2,PPP1R2B
FAM411	3	AMACR,FH,LOC129530595
FAM412	3	LOC101149308,LOC101150014,LOC115935826
FAM413	3	HIGD2A,HIGD2B,LOC101136214
FAM414	3	LOC101136877,LOC101137254,LOC115931861
FAM415	3	LOC101133649,LOC101137162,LOC109029292
FAM416	3	LOC109024460,LOC109024875,LOC115931863
FAM417	3	LOC101147362,LOC101149513,LOC115935323
FAM418	3	LOC101129296,LOC101129673,LOC101130382
FAM419	3	LOC101137976,LOC115930074,SRSF8
FAM420	3	LOC101130542,TCEAL5,TCEAL6
FAM421	3	LOC101152547,LOC109027960,RPL10A
FAM422	3	LOC109026927,LOC129525865,S100A11
FAM423	3	LOC115930603,RAB6A,RAB6D
FAM424	3	LOC101142644,LOC101150350,RPL3
FAM425	3	RFPL1,RFPL2,RFPL3
FAM426	3	IGLL1,LOC101127022,LOC101140402
FAM427	3	LOC101129206,LOC109023503,RPS24
FAM428	3	C1D,LOC101141672,LOC101144382
FAM429	3	LOC115934628,LOC129533524,LOC134758435
FAM430	3	LOC101126445,LOC101144883,XRCC6
FAM431	3	LOC101130013,LOC101149912,RPL35
FAM432	3	LOC101142901,LOC101143270,LOC101143635
FAM433	3	LOC101127528,LOC101150857,LOC109027080
FAM434	3	LOC101125875,LOC101145215,ZNF285
FAM435	3	GHAA,KRT37,KRT38
FAM436	3	LOC115932124,LOC129533630,TRPC6
FAM437	3	LOC101140666,TFDP1,TFDP3
FAM438	3	EIF1,LOC101129727,LOC109023875
FAM439	3	FCF1,LOC109027573,LOC129532227
FAM440	3	LOC101124016,LOC109025310,NACA2
FAM441	3	LOC101143400,LOC101144665,RPL22
FAM442	3	LOC101133082,LOC101139475,NDUFA4
FAM443	3	LOC101139316,LOC101140391,LOC115934969
FAM444	3	LOC101152850,PRR23A,PRR23C
FAM445	3	ATAD3C,LOC101147150,LOC129532554
FAM446	3	CHMP5,LOC129528483,LOC129529733
FAM447	3	LOC101133676,LOC101134598,LOC115935392
FAM448	3	ADH1B,LOC101136823,LOC101142845
FAM449	3	LOC109024738,RAB40A,RAB40B
FAM450	3	LOC129523904,LOC129523905,MUC17
FAM451	3	LOC101129351,LOC115936286,LOC115936295
FAM452	3	LOC101129839,LOC101140424,SDHC
FAM453	3	CCDC188,LOC109024617,LOC129531870
FAM454	3	BTN3A1,LOC101147830,LOC134758720
FAM455	3	ERVW-1,LOC129533119,LOC134759083
FAM456	3	DYNLL1,LOC101135308,LOC101135579
FAM457	3	LOC101140030,ULBP1,ULBP3
FAM458	3	CSNK1A1,CSNK1A1L,LOC101130599
FAM459	3	LOC115933999,LOC115934002,LOC115934046
FAM460	3	LOC101136534,LOC129531768,MRPS17
FAM461	3	LOC101134578,LOC109024358,RPS16
FAM462	3	AKR7A2,LOC101150628,LOC115933748
FAM463	3	KDM4D,KDM4E,KDM4F
FAM464	3	LOC101141893,LOC101147067,STMP1
FAM465	3	HSD3B2,LOC101141070,LOC101141801
FAM466	3	LOC101135064,LOC101154437,TUBG2
FAM467	3	HMGB1,LOC101125882,LOC109025566
FAM468	3	CXCL1,LOC101133388,LOC101134092
FAM469	3	CXCL5,CXCL6,GLYR1
FAM470	3	CD209,LOC101152880,LOC115931601
FAM471	3	KRT18,LOC101126813,LOC101130209
FAM472	3	LOC101146163,LOC129528891,RSL24D1
FAM473	3	GBP2,GBP3,LOC101130426
FAM474	3	LOC101128507,LOC101128867,LOC101129209
FAM475	3	LOC101124096,LOC101135771,LOC101153947
FAM476	3	LOC101142049,LOC101146664,PHB1
FAM477	3	GAPDH,LOC101130026,LOC115932114
FAM478	3	MIR1283-2,MIR1283-3,MIR524
FAM479	3	LOC101131893,NXPE1,NXPE4
FAM480	3	LOC101135590,LOC101136324,LOC101136685
FAM481	3	LOC101142809,LOC101143168,LOC101148609
FAM482	3	KRT25,KRT27,KRT28
FAM483	3	LOC134756555,SLCO1B1,SLCO1B3
FAM484	3	LOC101140217,LOC101140579,LOC115936274
FAM485	3	ZNF616,ZNF836,ZNF841
FAM486	3	ADGRE3,ADGRE5,LOC101140763
FAM487	3	FOLR2,LOC101152334,LOC101152944
FAM488	3	LOC101130989,LOC101132676,LOC101133420
FAM489	3	LOC101147661,LOC101148018,LOC101148389
FAM490	3	LOC101129109,LOC101145374,LOC101145751
FAM491	3	LOC101133708,LOC101134051,LOC115936232
FAM492	2	CHML,OPN3
FAM493	2	LOC129529856,LOC129529857
FAM494	2	FSBP,RAD54B
FAM495	2	LOC134756410,UBQLNL
FAM496	2	CGGBP1,LOC101142721
FAM497	2	BPNT2,LOC115935585
FAM498	2	KLHDC4,LOC109023589
FAM499	2	LOC101144987,LOC101146541
FAM500	2	LOC101152321,LOC101153414
FAM501	2	EOLA1,EOLA2
FAM502	2	DMRTC1B,LOC129530010
FAM503	2	LOC129523516,TEX28
FAM504	2	LOC101136027,LOC129529528
FAM505	2	CHTF8,DERPC
FAM506	2	LOC109023279,SYNE3
FAM507	2	LOC129530018,MAGEA9
FAM508	2	CACNG4,LOC101130857
FAM509	2	HTD2,RPP14
FAM510	2	LOC101148313,LOC115935025
FAM511	2	LOC101143588,SLC35A4
FAM512	2	P2RY11,PPAN
FAM513	2	KIFC1,PHF1
FAM514	2	CDK5RAP3,PNPO
FAM515	2	LOC101145835,LOC129530096
FAM516	2	LOC134757864,LOC134757875
FAM517	2	LOC129528237,TIA1
FAM518	2	CCDC103,FAM187A
FAM519	2	LOC129533777,PGAP3
FAM520	2	LOC129530473,LOC129530554
FAM521	2	LOC101124000,LOC129523644
FAM522	2	LOC101146886,LOC109024512
FAM523	2	LOC101154167,LOC134757191
FAM524	2	LOC109028257,NDOR1
FAM525	2	LOC101146547,LOC115932259
FAM526	2	RNF133,RNF148
FAM527	2	HRCT1,SPAAR
FAM528	2	LOC109028656,LOC134756385
FAM529	2	GP1BB,SEPTIN5
FAM530	2	HGSNAT,LOC109028071
FAM531	2	DPH1,OVCA2
FAM532	2	AQP12A,LOC101135498
FAM533	2	LOC101141577,LOC129532335
FAM534	2	LOC101148088,LOC115932194
FAM535	2	TMEM217,TMEM217B
FAM536	2	LOC129527642,LOC129527643
FAM537	2	LOC101124026,LOC101141789
FAM538	2	DDIT3,LOC129523523
FAM539	2	DCANP1,TIFAB
FAM540	2	LOC134756837,SLC6A17
FAM541	2	LOC101128461,NLRP1
FAM542	2	BBS1,LOC129525261
FAM543	2	LOC129528667,LOC129528668
FAM544	2	LOC115933315,LOC129527068
FAM545	2	DUSP8,LOC109028957
FAM546	2	FAM236B,LOC115932941
FAM547	2	LOC109026500,UVSSA
FAM548	2	CXHXorf51A,CXHXorf51B
FAM549	2	GNG7,LOC109024056
FAM550	2	LOC101151457,LOC115935617
FAM551	2	ENDOV,LOC109026946
FAM552	2	LOC101131116,LOC129528673
FAM553	2	LOC101143820,SNRNP25
FAM554	2	LOC101147372,LOC115932410
FAM555	2	LOC129530363,LOC129530366
FAM556	2	LOC129529513,MIEF1
FAM557	2	LOC129523576,LOC129529205
FAM558	2	LOC129525318,MIR675B
FAM559	2	MIR484,NDE1
FAM560	2	LOC134757501,MIR365A
FAM561	2	LOC129533836,MIR193A
FAM562	2	BCKDK,MIR1343
FAM563	2	FAM156A,LOC101125357
FAM564	2	LOC101144123,LOC115931910
FAM565	2	DAPK1,LOC115935778
