gene_a	gene_b	class	cls	core	aln_frac	all_isoform_alnfrac	gga_score	exon_hom	junc_conc	shared_path	n_exon_match	n_iso_a	n_iso_b
LOC101136009	ZNF721	truthbar-FP	truthbar	0.3669	0.0000	1.0000	0.2593	0.4986	0.0000	0.0400	10	22	46
LOC101136009	ZNF723	truthbar-FP	truthbar	0.1801	0.0000	1.0000	0.3180	0.4293	0.3333	0.0800	7	22	14
LOC101136009	ZNF727	truthbar-FP	truthbar	0.2434	0.0000	1.0000	0.2312	0.4425	0.0000	0.0400	10	22	36
LOC101136009	ZNF761	truthbar-FP	truthbar	0.3730	0.0000	0.9427	0.0163	0.0127	0.0000	0.0400	11	22	8
LOC101136009	ZNF808	truthbar-FP	truthbar	0.2052	0.0000	1.0000	0.1577	0.1087	0.3333	0.0800	3	22	20
LOC101136009	ZNF83	truthbar-FP	truthbar	0.3855	0.0000	1.0000	0.1577	0.1087	0.3333	0.0800	3	22	19
LOC101136009	ZNF888	truthbar-FP	truthbar	0.1547	0.0000	1.0000	0.0550	0.0900	0.0000	0.0400	11	22	13
LOC101136009	ZNF91	truthbar-FP	truthbar	0.2322	0.0000	1.0000	0.1435	0.2669	0.0000	0.0400	5	22	25
LOC101136009	ZNF92	truthbar-FP	truthbar	0.4407	0.0000	1.0000	0.0955	0.1711	0.0000	0.0400	4	22	40
LOC101136036	LOC101148457	genuine-FP	genuine	0.1673	0.7268	1.0000	0.3185	0.5814	0.0000	0.1111	4	7	8
LOC101136036	LOC109025592	genuine-FP	genuine	0.2083	0.3844	1.0000	0.3240	0.5924	0.0000	0.1111	4	7	3
LOC101136154	LRP5	genuine-FP	genuine	0.1784	0.9212	1.0000	0.4863	0.8057	0.1739	0.1600	6	4	5
LOC101136203	LOC109029034	TP	TP	0.4795	0.6480	1.0000	0.7905	0.8622	0.9375	0.5000	17	2	2
LOC101136352	LOC101152610	TP	TP	0.4433	0.9407	1.0000	0.7952	0.9640	0.7727	0.4800	24	5	3
LOC101136352	LOC129527660	genuine-FP	genuine	0.3303	1.0030	1.0000	0.2379	0.2556	0.2500	0.1905	10	5	3
LOC101136398	LOC115932241	TP	TP	0.4233	0.9070	1.0000	0.7500	1.0000	0.6667	0.3333	6	3	3
LOC101136398	LOC115932281	TP	TP	0.5745	1.0000	1.0000	0.7500	1.0000	0.5000	0.5000	6	3	2
LOC101136398	LOC129529790	TP	TP	0.7534	1.0514	1.0000	0.7500	1.0000	0.6667	0.3333	6	3	4
LOC101136398	LOC129530333	genuine-FP	genuine	0.3798	1.0295	1.0000	1.0000	1.0000	1.0000	1.0000	6	3	1
LOC101136422	NUDT9	genuine-FP	genuine	0.2039	0.0000	1.0000	0.4212	0.7923	0.0000	0.1000	2	2	8
LOC101136480	LOC115933250	TP	TP	0.6532	1.0000	1.0000	0.4427	0.5027	0.5652	0.2000	15	8	8
LOC101136480	LOC129527620	TP	TP	0.4953	0.6730	1.0000	0.4103	0.4814	0.4783	0.2000	14	8	8
LOC101136583	LOC101148853	truthbar-FP	truthbar	0.8487	0.8195	1.0000	0.1111	0.2022	0.0000	0.0400	8	8	7
LOC101136583	LOC101148972	truthbar-FP	truthbar	0.7504	0.0000	1.0000	0.4567	0.7263	0.2941	0.0800	15	8	8
LOC101136583	LOC101150168	truthbar-FP	truthbar	0.6794	0.0000	1.0000	0.4420	0.6970	0.2941	0.0800	15	8	8
LOC101136583	LOC115933728	truthbar-FP	truthbar	0.8922	0.9316	1.0000	0.4173	0.6363	0.2857	0.1111	14	8	4
LOC101136583	LOC129526434	TP	TP	1.0000	1.0000	1.0000	0.1957	0.3651	0.0000	0.0526	7	8	6
LOC101136583	LOC129529583	genuine-FP	genuine	0.1677	0.2968	1.0000	0.2076	0.3796	0.0000	0.0714	4	8	4
LOC101136583	TUBA1C	truthbar-FP	truthbar	0.7933	0.0000	1.0000	0.7112	0.9012	0.8824	0.1600	22	8	8
LOC101136583	TUBA3E	truthbar-FP	truthbar	0.8725	0.9110	1.0000	0.1667	0.3107	0.0000	0.0455	7	8	6
LOC101136583	TUBA8	truthbar-FP	truthbar	0.5868	0.4496	0.8296	0.2908	0.5191	0.0000	0.1250	4	8	2
LOC101136640	LOC109024259	genuine-FP	genuine	0.2828	0.0000	1.0000	0.0795	0.1391	0.0000	0.0400	1	7	10
LOC101136640	ZNF112	genuine-FP	genuine	0.1793	0.0000	1.0000	0.3724	0.7247	0.0000	0.0400	10	7	13
LOC101136640	ZNF155	truthbar-FP	truthbar	0.4023	0.6987	1.0000	0.6193	0.7965	0.6842	0.2000	23	7	8
LOC101136640	ZNF221	truthbar-FP	truthbar	0.4192	0.3953	1.0000	0.5518	0.8132	0.4211	0.1600	24	7	8
LOC101136640	ZNF222	truthbar-FP	truthbar	0.8599	0.8569	1.0000	0.5808	0.7922	0.5789	0.1600	22	7	7
LOC101136640	ZNF224	truthbar-FP	truthbar	0.4073	0.4555	1.0000	0.2409	0.2702	0.2632	0.1600	14	7	8
LOC101136640	ZNF225	truthbar-FP	truthbar	0.4081	0.3883	1.0000	0.2556	0.3512	0.2000	0.1200	18	7	8
LOC101136640	ZNF230	truthbar-FP	truthbar	0.4909	0.6764	1.0000	0.3595	0.4446	0.3889	0.1600	18	7	8
LOC101136640	ZNF233	truthbar-FP	truthbar	0.2267	0.0000	0.3636	0.0319	0.0438	0.0000	0.0400	7	7	6
LOC101136640	ZNF234	truthbar-FP	truthbar	0.4658	0.0000	1.0000	0.2277	0.2702	0.2105	0.1600	14	7	8
LOC101136640	ZNF235	truthbar-FP	truthbar	0.1950	0.0000	0.3466	0.0665	0.0667	0.0526	0.0800	12	7	8
LOC101136640	ZNF284	truthbar-FP	truthbar	0.2333	0.3714	1.0000	0.1829	0.2702	0.1111	0.0800	14	7	8
LOC101136692	LOC109025447	truthbar-FP	truthbar	0.5126	1.0174	1.0000	0.6864	0.9502	0.5652	0.2800	19	8	8
LOC101136692	LOC129531666	genuine-FP	genuine	0.5068	0.5071	1.0000	0.7440	0.9844	0.7273	0.2800	18	8	6
LOC101136692	LOC129531667	truthbar-FP	truthbar	0.3265	0.3265	1.0000	0.7786	1.0000	0.7143	0.4000	5	8	3
LOC101136692	RGPD8	genuine-FP	genuine	0.5344	0.5344	1.0000	0.5761	0.6541	0.6364	0.3600	16	8	8
LOC101136819	LOC101147313	genuine-FP	genuine	0.2477	0.6701	1.0000	0.7848	0.9896	0.7600	0.4000	23	8	8
LOC101136819	SDHA	genuine-FP	genuine	0.2135	1.0133	1.0000	0.5006	0.8704	0.1818	0.0800	7	8	8
LOC101136971	LOC115932749	TP	TP	0.9632	0.9632	1.0000	0.7279	0.9461	0.7391	0.2800	22	2	8
LOC101136971	ZC3H7A	TP	TP	1.0000	1.0000	1.0000	0.5107	0.7597	0.3636	0.1600	14	2	4
LOC101137060	LOC109025447	genuine-FP	genuine	0.2617	0.3892	0.5740	0.0989	0.1214	0.0476	0.1053	4	8	8
LOC101137060	RPL39	genuine-FP	genuine	0.3458	0.0000	0.0000	0.2532	0.3398	0.0000	0.3333	1	8	1
LOC101137311	LOC129526088	genuine-FP	genuine	0.1379	0.0000	1.0000	0.4489	0.8352	0.0000	0.1250	5	4	3
LOC101137311	LOC129527203	genuine-FP	genuine	0.1445	0.0000	1.0000	0.3873	0.7247	0.0000	0.1000	5	4	4
LOC101137311	PSPC1	truthbar-FP	truthbar	0.3602	0.6276	1.0000	0.4409	0.7793	0.0714	0.1333	5	4	8
LOC101137392	MAGEC1	genuine-FP	genuine	0.2311	0.0000	1.0000	0.8929	1.0000	1.0000	0.5714	8	5	2
LOC101137455	LOC129533419	TP	TP	0.8018	0.8018	1.0000	0.5247	0.8633	0.2222	0.1500	13	3	3
LOC101137462	LOC101141027	truthbar-FP	truthbar	0.5385	0.7004	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	29
LOC101137462	LOC101142646	truthbar-FP	truthbar	0.2133	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	29
LOC101137462	LOC101144119	genuine-FP	genuine	0.1734	0.0000	1.0000	0.0161	0.0121	0.0000	0.0400	11	23	9
LOC101137462	LOC101144838	truthbar-FP	truthbar	0.1982	0.3645	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	26
LOC101137462	LOC101145945	truthbar-FP	truthbar	0.2744	0.4425	1.0000	0.5179	0.7457	0.5000	0.0800	22	23	22
LOC101137462	LOC101146634	truthbar-FP	truthbar	0.4858	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	33
LOC101137462	LOC101147715	truthbar-FP	truthbar	0.2695	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	25
LOC101137462	LOC101150965	genuine-FP	genuine	0.2650	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	22
LOC101137462	LOC101153126	truthbar-FP	truthbar	0.3845	0.4231	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	32
LOC101137462	LOC109026610	TP	TP	0.2875	0.0000	1.0000	0.0117	0.0035	0.0000	0.0400	11	23	18
LOC101137462	LOC115930172	genuine-FP	genuine	0.3522	0.6176	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	28
LOC101137462	LOC115931567	genuine-FP	genuine	0.4079	0.2431	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	38
LOC101137462	LOC115931568	truthbar-FP	truthbar	0.4711	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	32
LOC101137462	LOC115931576	truthbar-FP	truthbar	0.4798	0.4257	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	29
LOC101137462	LOC115931654	truthbar-FP	truthbar	0.2211	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	32
LOC101137462	LOC115931857	truthbar-FP	truthbar	0.2068	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	29
LOC101137462	LOC129527827	genuine-FP	genuine	0.2279	0.5046	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	33
LOC101137462	LOC129528947	genuine-FP	genuine	0.4072	0.4500	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	35
LOC101137462	ZNF141	truthbar-FP	truthbar	0.2014	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	26
LOC101137462	ZNF195	truthbar-FP	truthbar	0.2158	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	26
LOC101137462	ZNF254	truthbar-FP	truthbar	0.4512	0.4333	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	30
LOC101137462	ZNF273	truthbar-FP	truthbar	0.2776	0.4964	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	35
LOC101137462	ZNF429	truthbar-FP	truthbar	0.6982	0.7004	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	36
LOC101137462	ZNF43	truthbar-FP	truthbar	0.3875	0.4247	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	26
LOC101137462	ZNF430	truthbar-FP	truthbar	0.2046	0.2113	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	32
LOC101137462	ZNF486	truthbar-FP	truthbar	0.4177	0.4713	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	32
LOC101137462	ZNF506	truthbar-FP	truthbar	0.2019	0.4202	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	34
LOC101137462	ZNF519	truthbar-FP	truthbar	0.3049	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	36
LOC101137462	ZNF595	truthbar-FP	truthbar	0.4606	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	46
LOC101137462	ZNF626	truthbar-FP	truthbar	0.1535	0.5774	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	29
LOC101137462	ZNF675	truthbar-FP	truthbar	0.6144	0.9205	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	20
LOC101137462	ZNF678	truthbar-FP	truthbar	0.3168	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	44
LOC101137462	ZNF680	truthbar-FP	truthbar	0.3730	0.5573	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	38
LOC101137462	ZNF681	truthbar-FP	truthbar	0.3069	0.2384	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	17
LOC101137462	ZNF682	truthbar-FP	truthbar	0.4790	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	36
LOC101137462	ZNF695	truthbar-FP	truthbar	0.3798	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	42
LOC101137462	ZNF721	truthbar-FP	truthbar	0.2944	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	46
LOC101137462	ZNF723	truthbar-FP	truthbar	0.2673	0.6520	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	14
LOC101137462	ZNF727	truthbar-FP	truthbar	0.1860	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	36
LOC101137462	ZNF736	truthbar-FP	truthbar	0.1700	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	30
LOC101137462	ZNF813	truthbar-FP	truthbar	0.1367	0.0000	0.7207	0.0147	0.0094	0.0000	0.0400	5	23	8
LOC101137462	ZNF91	truthbar-FP	truthbar	0.2911	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	25
LOC101137462	ZNF92	truthbar-FP	truthbar	0.4407	0.3617	1.0000	0.0000	0.0000	0.0000	0.0000	0	23	40
LOC101137472	NABP2	genuine-FP	genuine	0.1470	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	3	4
LOC101137661	LOC109025815	genuine-FP	genuine	0.1934	0.3432	1.0000	0.8170	0.9673	0.7619	0.5714	19	6	4
LOC101137734	LOC129527528	genuine-FP	genuine	0.2063	0.2907	1.0000	0.3078	0.5322	0.0000	0.1667	1	2	6
LOC101137734	LOC134756955	genuine-FP	genuine	0.5447	1.0009	1.0000	0.0000	0.0000	0.0000	0.0000	0	2	4
LOC101137806	LOC101139163	genuine-FP	genuine	0.2474	0.7556	1.0000	0.9138	0.9526	1.0000	0.7500	8	2	3
LOC101137806	LOC101152938	genuine-FP	genuine	0.1625	0.5085	1.0000	0.7858	0.9883	0.6667	0.5000	7	2	5
LOC101137806	LOC115934341	genuine-FP	genuine	0.1954	0.6875	0.9465	0.5136	0.8188	0.1667	0.2500	2	2	3
LOC101137832	LOC101153526	truthbar-FP	truthbar	0.2312	0.0000	1.0000	0.3874	0.7470	0.0000	0.0556	2	7	8
LOC101137832	ZNF121	truthbar-FP	truthbar	0.2470	0.0000	0.0000	0.0360	0.0164	0.0000	0.1111	2	7	3
LOC101137832	ZNF436	truthbar-FP	truthbar	0.2707	0.0000	1.0000	0.0273	0.0091	0.0000	0.0909	1	7	6
LOC101137832	ZNF502	truthbar-FP	truthbar	0.2755	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	7	5
LOC101137832	ZSCAN12	truthbar-FP	truthbar	0.1347	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	7	8
LOC101137832	ZSCAN16	genuine-FP	genuine	0.1828	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	7	6
LOC101137900	LOC109027212	genuine-FP	genuine	0.2119	0.2888	1.0000	0.4227	0.7898	0.0000	0.1111	6	8	3
LOC101137900	LOC129528278	genuine-FP	genuine	0.2114	0.2882	1.0000	0.1914	0.3565	0.0000	0.0526	3	8	6
LOC101137900	LOC129528791	genuine-FP	genuine	0.2192	0.2988	1.0000	0.0000	0.0000	0.0000	0.0000	0	8	5
LOC101137900	LOC129530234	TP	TP	0.2407	0.2274	0.3309	0.4720	0.8725	0.0000	0.1429	4	8	2
LOC101137900	PLGRKT	genuine-FP	genuine	0.1336	0.2391	1.0000	0.0208	0.0216	0.0000	0.0400	3	8	7
LOC101137900	RHOT1	genuine-FP	genuine	0.1354	0.1296	1.0000	0.3197	0.6176	0.0000	0.0435	4	8	8
LOC101137955	ZFP2	genuine-FP	genuine	0.2041	0.0000	1.0000	0.0192	0.0090	0.0000	0.0588	1	5	5
LOC101137955	ZFP69B	genuine-FP	genuine	0.1752	0.0000	1.0000	0.1907	0.3480	0.0000	0.0667	2	5	4
LOC101137955	ZFP90	genuine-FP	genuine	0.2035	0.0000	0.0000	0.4316	0.8177	0.0000	0.0909	1	5	7
LOC101137955	ZNF181	genuine-FP	genuine	0.1848	0.0000	1.0000	0.0170	0.0090	0.0000	0.0500	1	5	8
LOC101137955	ZNF248	genuine-FP	genuine	0.1350	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	5	8
LOC101137955	ZNF391	truthbar-FP	truthbar	0.1865	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	5	1
LOC101137955	ZNF485	genuine-FP	genuine	0.2085	0.0000	1.0000	0.4844	0.9189	0.0000	0.1000	1	5	3
LOC101137955	ZNF879	genuine-FP	genuine	0.1906	0.0000	1.0000	0.0170	0.0090	0.0000	0.0500	1	5	8
LOC101137992	LOC101139594	genuine-FP	genuine	0.1933	0.0000	0.0000	0.2478	0.3787	0.0909	0.1429	2	8	8
LOC101138011	LOC109025084	genuine-FP	genuine	0.3253	0.6987	1.0000	0.3952	0.6237	0.0000	0.3333	1	2	3
LOC101138066	LOC115930840	TP	TP	0.2797	0.8329	1.0000	0.8929	1.0000	1.0000	0.5714	7	7	2
LOC101138261	LOC109027124	genuine-FP	genuine	0.3288	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	4	5
LOC101138261	MPHOSPH8	genuine-FP	genuine	0.4114	0.4114	1.0000	0.3499	0.6665	0.0000	0.0667	2	4	8
LOC101138337	LOC101151317	genuine-FP	genuine	0.1536	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	2	16
LOC101138952	LOC129528667	truthbar-FP	truthbar	0.2226	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	15	11
LOC101138952	ZFP37	truthbar-FP	truthbar	0.1864	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	15	14
LOC101138952	ZNF182	truthbar-FP	truthbar	0.2412	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	15	25
LOC101138952	ZNF26	truthbar-FP	truthbar	0.2409	0.0000	1.0000	0.2825	0.5450	0.0000	0.0400	4	15	8
LOC101138952	ZNF260	genuine-FP	genuine	0.1833	0.0000	1.0000	0.3075	0.4186	0.2727	0.1200	7	15	15
LOC101138952	ZNF300	truthbar-FP	truthbar	0.1678	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	15	9
LOC101138952	ZNF33B	truthbar-FP	truthbar	0.1402	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	15	17
LOC101138952	ZNF41	truthbar-FP	truthbar	0.1399	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	15	11
LOC101138952	ZNF484	truthbar-FP	truthbar	0.1409	0.0000	1.0000	0.2657	0.4005	0.1818	0.0800	7	15	13
LOC101138952	ZNF577	truthbar-FP	truthbar	0.1595	0.0000	1.0000	0.0148	0.0069	0.0000	0.0455	8	15	7
LOC101138952	ZNF585A	truthbar-FP	truthbar	0.1396	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	15	15
LOC101138952	ZNF585B	truthbar-FP	truthbar	0.1850	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	15	18
LOC101138952	ZNF605	truthbar-FP	truthbar	0.2195	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	15	20
LOC101138952	ZNF606	truthbar-FP	truthbar	0.1833	0.0000	0.0000	0.0178	0.0157	0.0000	0.0400	7	15	8
LOC101138952	ZNF613	truthbar-FP	truthbar	0.1303	0.0000	1.0000	0.0147	0.0093	0.0000	0.0400	9	15	8
LOC101138952	ZNF649	truthbar-FP	truthbar	0.1602	0.0000	1.0000	0.0135	0.0069	0.0000	0.0400	3	15	8
LOC101138952	ZNF84	truthbar-FP	truthbar	0.1551	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	15	21
LOC101139163	LOC101152938	TP	TP	0.2500	0.8302	1.0000	0.7172	0.9749	0.5556	0.3636	9	3	5
LOC101139163	LOC115934341	TP	TP	0.2448	0.8085	0.8476	0.5486	0.8360	0.3000	0.2222	5	3	3
LOC101139594	LOC101144987	genuine-FP	genuine	0.2368	0.0000	1.0000	0.7349	0.9835	0.7727	0.2000	24	8	7
LOC101139594	LOC101146541	genuine-FP	genuine	0.2352	0.0000	1.0000	0.7122	0.9835	0.6818	0.2000	24	8	5
LOC101139703	LOC129526951	TP	TP	0.4479	1.0319	1.0000	0.8542	1.0000	0.7500	0.6667	15	7	3
LOC101140030	ULBP1	truthbar-FP	truthbar	0.2157	0.9873	1.0000	0.8786	1.0000	0.8000	0.7143	7	4	2
LOC101140030	ULBP3	truthbar-FP	truthbar	0.3927	0.4621	0.8556	0.6077	0.7655	0.4000	0.5000	5	4	7
LOC101140402	LOC101141165	genuine-FP	genuine	0.3016	0.4735	1.0000	0.8333	1.0000	1.0000	0.3333	13	5	3
LOC101140402	LOC109024546	genuine-FP	genuine	0.4596	0.0000	1.0000	0.6164	0.7347	0.7857	0.2105	15	5	6
LOC101140641	LOC101141395	truthbar-FP	truthbar	0.1995	0.0000	0.0000	0.1612	0.2224	0.0000	0.2000	1	1	1
LOC101140864	LOC109026769	genuine-FP	genuine	0.1308	0.0000	1.0000	0.0261	0.0305	0.0000	0.0435	2	2	6
LOC101140892	RPLP1	genuine-FP	genuine	0.2191	0.6041	0.6041	0.1634	0.1602	0.0000	0.3333	1	2	1
LOC101141025	LOC115935014	truthbar-FP	truthbar	0.3442	0.0000	1.0000	0.8500	1.0000	0.9000	0.5000	12	3	8
LOC101141027	LOC101142646	truthbar-FP	truthbar	0.2830	0.5528	1.0000	0.0000	0.0000		0.0000	0	29	29
LOC101141027	LOC101144119	genuine-FP	genuine	0.1991	0.0000	1.0000	0.0161	0.0121	0.0000	0.0400	10	29	9
LOC101141027	LOC101144838	truthbar-FP	truthbar	0.4468	0.8980	1.0000	0.0000	0.0000		0.0000	0	29	26
LOC101141027	LOC101145945	truthbar-FP	truthbar	0.2114	0.7109	1.0000	0.0115	0.0031	0.0000	0.0400	9	29	22
LOC101141027	LOC101146634	truthbar-FP	truthbar	0.3533	0.4426	1.0000	0.0000	0.0000		0.0000	0	29	33
LOC101141027	LOC101147715	genuine-FP	genuine	0.1461	0.5102	1.0000	0.0000	0.0000	0.0000	0.0000	0	29	25
LOC101141027	LOC101151892	genuine-FP	genuine	0.1554	0.0000	1.0000	0.1767	0.3221	0.0000	0.0625	3	29	6
LOC101141027	LOC101153126	truthbar-FP	truthbar	0.4395	0.7074	1.0000	0.4804	0.7006		0.0400	18	29	32
LOC101141027	LOC109024216	truthbar-FP	truthbar	0.1542	0.0000	1.0000	0.1695	0.2343		0.0400	6	29	37
LOC101141027	LOC109026610	truthbar-FP	truthbar	0.4302	0.0000	1.0000	0.0117	0.0035	0.0000	0.0400	10	29	18
LOC101141027	LOC115930172	genuine-FP	genuine	0.4557	0.6850	1.0000	0.0000	0.0000		0.0000	0	29	28
LOC101141027	LOC115931567	genuine-FP	genuine	0.4828	0.3402	1.0000	0.0000	0.0000		0.0000	0	29	38
LOC101141027	LOC115931568	truthbar-FP	truthbar	0.4322	0.6699	1.0000	0.0000	0.0000		0.0000	0	29	32
LOC101141027	LOC115931576	truthbar-FP	truthbar	0.5334	0.6904	1.0000	0.0000	0.0000		0.0000	0	29	29
LOC101141027	LOC115931654	truthbar-FP	truthbar	0.2756	0.0000	1.0000	0.2191	0.3086		0.0400	7	29	32
LOC101141027	LOC115931857	truthbar-FP	truthbar	0.3456	0.0000	1.0000	0.3386	0.4879		0.0400	12	29	29
LOC101141027	LOC129527827	genuine-FP	genuine	0.1859	0.8554	1.0000	0.0000	0.0000		0.0000	0	29	33
LOC101141027	LOC129528947	genuine-FP	genuine	0.5133	0.6749	1.0000	0.0000	0.0000		0.0000	0	29	35
LOC101141027	ZNF141	truthbar-FP	truthbar	0.1604	0.0000	1.0000	0.0000	0.0000		0.0000	0	29	26
LOC101141027	ZNF195	truthbar-FP	truthbar	0.2412	0.0000	1.0000	0.0000	0.0000		0.0000	0	29	26
LOC101141027	ZNF254	truthbar-FP	truthbar	0.5419	0.7731	1.0000	0.0000	0.0000		0.0000	0	29	30
LOC101141027	ZNF267	truthbar-FP	truthbar	0.2215	0.0000	1.0000	0.0000	0.0000		0.0000	0	29	29
LOC101141027	ZNF273	truthbar-FP	truthbar	0.5307	0.6363	1.0000	0.0000	0.0000		0.0000	0	29	35
LOC101141027	ZNF429	truthbar-FP	truthbar	0.6447	0.5251	1.0000	0.0000	0.0000		0.0000	0	29	36
LOC101141027	ZNF43	truthbar-FP	truthbar	0.3634	1.0390	1.0000	0.0000	0.0000		0.0000	0	29	26
LOC101141027	ZNF430	truthbar-FP	truthbar	0.4785	0.6428	1.0000	0.0000	0.0000		0.0000	0	29	32
LOC101141027	ZNF486	truthbar-FP	truthbar	0.3927	0.0000	1.0000	0.0000	0.0000		0.0000	0	29	32
LOC101141027	ZNF506	truthbar-FP	truthbar	0.2474	0.6664	1.0000	0.0000	0.0000		0.0000	0	29	34
LOC101141027	ZNF519	truthbar-FP	truthbar	0.3643	0.0000	1.0000	0.0000	0.0000		0.0000	0	29	36
LOC101141027	ZNF528	truthbar-FP	truthbar	0.1867	0.0000	1.0000	0.1185	0.2169	0.0000	0.0400	10	29	15
LOC101141027	ZNF595	truthbar-FP	truthbar	0.4592	0.0000	1.0000	0.0000	0.0000		0.0000	0	29	46
LOC101141027	ZNF626	truthbar-FP	truthbar	0.4403	0.3525	1.0000	0.0000	0.0000		0.0000	0	29	29
LOC101141027	ZNF675	truthbar-FP	truthbar	0.4460	0.8333	1.0000	0.0000	0.0000	0.0000	0.0000	0	29	20
LOC101141027	ZNF678	truthbar-FP	truthbar	0.4480	0.0000	1.0000	0.0000	0.0000		0.0000	0	29	44
LOC101141027	ZNF680	truthbar-FP	truthbar	0.4983	0.6664	1.0000	0.0000	0.0000		0.0000	0	29	38
LOC101141027	ZNF681	truthbar-FP	truthbar	0.2772	1.0043	1.0000	0.0000	0.0000	0.0000	0.0000	0	29	17
LOC101141027	ZNF682	truthbar-FP	truthbar	0.4445	0.0000	1.0000	0.0000	0.0000		0.0000	0	29	36
LOC101141027	ZNF695	truthbar-FP	truthbar	0.4743	0.0000	1.0000	0.0000	0.0000		0.0000	0	29	42
LOC101141027	ZNF721	truthbar-FP	truthbar	0.2891	0.0000	1.0000	0.0000	0.0000		0.0000	0	29	46
LOC101141027	ZNF723	truthbar-FP	truthbar	0.5104	0.7461	1.0000	0.0000	0.0000	0.0000	0.0000	0	29	14
LOC101141027	ZNF727	truthbar-FP	truthbar	0.1546	0.0000	1.0000	0.0000	0.0000		0.0000	0	29	36
LOC101141027	ZNF736	truthbar-FP	truthbar	0.2888	0.0000	1.0000	0.0000	0.0000		0.0000	0	29	30
LOC101141027	ZNF91	genuine-FP	genuine	0.2845	0.4496	1.0000	0.0000	0.0000	0.0000	0.0000	0	29	25
LOC101141027	ZNF92	truthbar-FP	truthbar	0.5072	0.8628	1.0000	0.0000	0.0000		0.0000	0	29	40
LOC101141165	LOC109024546	genuine-FP	genuine	0.3128	0.0000	1.0000	0.8333	1.0000	1.0000	0.3333	12	3	6
LOC101141171	NUDT10	TP	TP	0.2192	0.5069	1.0000	0.8750	1.0000	1.0000	0.5000	4	3	2
LOC101141192	LOC101146782	genuine-FP	genuine	0.1585	0.5502	1.0000	0.6917	0.7926	0.7273	0.4545	10	8	2
LOC101141192	LOC134759160	genuine-FP	genuine	0.7093	0.9998	1.0000	0.5835	0.9851	0.1818	0.1818	8	8	8
