gene_a	chrom_a	gene_b	chrom_b	core_cov	core_ident	aln_ident	jaccard
LOC115934309	NC_073248.2	LOC134757060	NC_073238.2	0.967	0.981	0.977	0.5109
LOC129523959	NC_073224.2	LOC129524036	NC_073243.2	0.967	0.993	0.991	0.4776
LOC129524036	NC_073243.2	LOC129524833	NC_073239.2	0.967	0.991	0.987	0.4507
LOC129524036	NC_073243.2	LOC129525641	NC_073234.2	0.967	0.994	0.991	0.1444
LOC129524036	NC_073243.2	LOC129534553	NC_073229.2	0.967	0.991	0.991	0.2761
LOC129524036	NC_073243.2	LOC134759270	NC_073232.2	0.967	0.989	0.989	0.3219
LOC129524036	NC_073243.2	SLC35F5	NC_073235.2	0.967	0.989	0.987	0.2117
LOC129526379	NC_073238.2	LOC129529381	NC_073246.2	0.967	0.982	0.979	0.4292
LOC129526379	NC_073238.2	LOC129529387	NC_073246.2	0.967	0.981	0.977	0.3833
LOC129529381	NC_073246.2	LOC129529647	NC_086018.1	0.967	0.982	0.979	0.4699
LOC129529381	NC_073246.2	LOC129530543	NC_073236.2	0.967	0.982	0.979	0.4346
LOC129529381	NC_073246.2	LOC134757055	NC_073238.2	0.967	0.981	0.977	0.4337
LOC129529387	NC_073246.2	LOC129529647	NC_086018.1	0.967	0.98	0.974	0.4623
LOC129529387	NC_073246.2	LOC129530543	NC_073236.2	0.967	0.981	0.979	0.412
LOC129529387	NC_073246.2	LOC134757055	NC_073238.2	0.967	0.979	0.975	0.4058
LOC129530380	NC_073248.2	LOC134757073	NC_073238.2	0.967	0.978	0.974	0.3869
LOC129534058	NC_073229.2	RPS2	NC_073242.2	0.967	0.965	0.961	0.3107
LOC101126792	NC_073240.2	LOC129529391	NC_073246.2	0.966	0.984	0.984	0.5682
LOC101127721	NC_073242.2	LOC109024112	NC_073224.2	0.966	0.846	0.847	0.0748
LOC101130706	NC_073235.2	LOC109027830	NC_073224.2	0.966	0.979	0.977	0.2713
LOC101139294	NC_073228.2	LOC115933479	NC_073233.2	0.966	0.927	0.929	0.1298
LOC101139294	NC_073228.2	PPIA	NC_073230.2	0.966	0.934	0.933	0.1455
LOC101141368	NC_086017.1	LOC115930192	NC_073224.2	0.966	0.953	0.954	0.0921
LOC101152722	NC_086017.1	LOC115930434	NC_073238.2	0.966	0.985	0.98	0.5625
LOC109027020	NC_073224.2	RPS27A	NC_073236.2	0.966	0.979	0.978	0.3587
LOC129524028	NC_073231.2	LOC129524036	NC_073243.2	0.966	0.991	0.989	0.2826
LOC129524036	NC_073243.2	LOC129528719	NC_073244.2	0.966	0.991	0.989	0.2518
LOC129524036	NC_073243.2	LOC129530133	NC_073247.2	0.966	0.994	0.99	0.4931
LOC129524036	NC_073243.2	LOC129532895	NC_073227.2	0.966	0.991	0.99	0.5126
LOC129524472	NC_073237.2	LOC129528463	NC_073241.2	0.966	0.992	0.989	0.5
LOC129524668	NC_073237.2	LOC129530380	NC_073248.2	0.966	0.978	0.975	0.4648
LOC129526469	NC_073236.2	LOC129529391	NC_073246.2	0.966	0.985	0.985	0.5869
LOC129526569	NC_073239.2	LOC129529391	NC_073246.2	0.966	0.976	0.976	0.4611
LOC129527191	NC_073238.2	LOC129529391	NC_073246.2	0.966	0.981	0.981	0.5563
LOC129527198	NC_073240.2	LOC129529391	NC_073246.2	0.966	0.976	0.977	0.4833
LOC129529391	NC_073246.2	LOC129529652	NC_086018.1	0.966	0.977	0.977	0.4745
LOC129531742	NC_073236.2	LOC134757073	NC_073238.2	0.966	0.982	0.974	0.4577
LOC129531742	NC_073236.2	LOC134757413	NC_073241.2	0.966	0.98	0.976	0.5702
LOC101139294	NC_073228.2	LOC101140340	NC_086017.1	0.965	0.888	0.887	0.0633
LOC101140340	NC_086017.1	LOC101153588	NC_073228.2	0.965	0.919	0.918	0.1381
LOC109023678	NC_073242.2	LOC134758274	NC_073227.2	0.965	0.843	0.846	0.0769
LOC115931260	NC_073243.2	UBE2S	NC_073244.2	0.965	0.985	0.985	0.484
LOC101151356	NC_073232.2	LOC115935319	NC_073230.2	0.964	0.962	0.964	0.2812
LOC115930419	NC_073238.2	RPL26	NC_073243.2	0.964	0.983	0.979	0.3224
LOC115933194	NC_086017.1	LOC129525554	NC_073233.2	0.964	0.992	0.992	0.6809
LOC115933486	NC_073233.2	LOC129533959	NC_073228.2	0.964	0.976	0.975	0.4318
LOC129524654	NC_073237.2	LOC129528460	NC_073241.2	0.964	0.996	0.989	0.625
LOC129524668	NC_073237.2	LOC129531742	NC_073236.2	0.964	0.984	0.981	0.6195
LOC129526957	NC_073236.2	LOC134757216	NC_073240.2	0.964	0.999	0.985	0.9162
LOC129530473	NC_073246.2	LOC129530554	NC_086018.1	0.964	1.0	1.0	0.4117
LOC129530488	NC_073246.2	LOC134757073	NC_073238.2	0.964	0.987	0.979	0.4965
LOC101124072	NC_073227.2	SAR1A	NC_073232.2	0.963	0.92	0.923	0.0356
LOC101132018	NC_073240.2	LOC101138942	NC_073228.2	0.963	0.949	0.949	0.1036
LOC101132879	NC_073229.2	LOC101150321	NC_073227.2	0.963	0.932	0.933	0.1186
LOC101137833	NC_073241.2	LOC115933486	NC_073233.2	0.963	0.975	0.972	0.4167
LOC101137833	NC_073241.2	LOC129533959	NC_073228.2	0.963	0.994	0.993	0.8039
LOC101139294	NC_073228.2	LOC101153289	NC_073232.2	0.963	0.903	0.903	0.0439
LOC101143037	NC_073232.2	LOC101150321	NC_073227.2	0.963	0.922	0.921	0.1244
LOC101147134	NC_073230.2	PRSS3	NC_073237.2	0.963	0.905	0.903	0.0909
LOC101150321	NC_073227.2	RPL7A	NC_073237.2	0.963	0.942	0.942	0.1587
LOC101152491	NC_086017.1	LOC134757331	NC_073240.2	0.963	0.939	0.939	0.2148
LOC101154270	NC_073235.2	RPL6	NC_073234.2	0.963	0.985	0.982	0.314
LOC109026425	NC_086017.1	RPL23A	NC_073228.2	0.963	0.987	0.983	0.2664
LOC129524472	NC_073237.2	LOC129529382	NC_073246.2	0.963	0.981	0.981	0.3097
LOC129524472	NC_073237.2	LOC129530495	NC_073246.2	0.963	0.986	0.987	0.5258
LOC129524472	NC_073237.2	LOC129530569	NC_073246.2	0.963	0.981	0.981	0.3179
LOC129526395	NC_073238.2	LOC129529294	NC_073246.2	0.963	0.989	0.99	0.1204
LOC129526550	NC_073239.2	LOC129529294	NC_073246.2	0.963	0.991	0.99	0.2038
LOC129534659	NC_073224.2	LOC134757331	NC_073240.2	0.963	0.938	0.938	0.162
COPS8	NC_073235.2	LOC101129256	NC_086017.1	0.962	0.967	0.966	0.1126
GGTLC1	NC_073245.2	LOC129523490	NC_086018.1	0.962	0.965	0.959	0.3672
LOC101132402	NC_073228.2	SUMO4	NC_073229.2	0.962	0.866	0.872	0.0321
LOC101152940	NC_073224.2	LOC101154053	NC_086017.1	0.962	0.937	0.933	0.2
LOC109024489	NC_073246.2	LOC115933486	NC_073233.2	0.962	0.974	0.973	0.4254
LOC129524663	NC_073237.2	LOC129528469	NC_073241.2	0.962	0.987	0.986	0.6456
LOC129525684	NC_073234.2	LOC129526909	NC_073239.2	0.962	0.993	0.993	0.7583
C15H14orf119	NC_073239.2	LOC101135331	NC_073237.2	0.961	0.894	0.898	0.0496
LOC101142049	NC_073237.2	LOC101146664	NC_073247.2	0.961	0.88	0.885	0.0326
LOC101147134	NC_073230.2	LOC115935863	NC_073237.2	0.961	0.909	0.909	0.0957
C3H4orf46	NC_073227.2	LOC129527464	NC_073242.2	0.96	0.965	0.96	0.0531
FAM136A	NC_073236.2	LOC109026392	NC_086017.1	0.96	0.953	0.955	0.0642
LOC101126684	NC_073232.2	LOC101137833	NC_073241.2	0.96	0.964	0.958	0.2609
LOC101127811	NC_073235.2	LOC101152412	NC_073246.2	0.96	0.934	0.932	0.1538
LOC101130214	NC_086017.1	LOC101144033	NC_073233.2	0.96	0.929	0.93	0.0763
LOC101153713	NC_073228.2	LOC115931260	NC_073243.2	0.96	0.98	0.979	0.3395
LOC115930119	NC_073229.2	LOC115933227	NC_073227.2	0.96	0.99	0.99	0.3078
LOC129524654	NC_073237.2	LOC129530485	NC_073246.2	0.96	0.982	0.975	0.2813
LOC129524670	NC_073237.2	LOC129529647	NC_086018.1	0.96	0.984	0.977	0.4167
LOC129530502	NC_073246.2	LOC134756700	NC_073236.2	0.96	0.986	0.986	0.6382
LOC129531450	NC_073240.2	LOC134756387	NC_073236.2	0.96	0.994	0.995	0.837
LOC134757073	NC_073238.2	LOC134757415	NC_073241.2	0.96	0.992	0.991	0.5625
ABCD1	NC_073247.2	LOC134757041	NC_073238.2	0.959	0.959	0.961	0.0467
FTH1	NC_073233.2	LOC109027830	NC_073224.2	0.959	0.981	0.98	0.1903
HNRNPA1L2	NC_073238.2	LOC101144033	NC_073233.2	0.959	0.922	0.921	0.0579
LOC101129414	NC_073243.2	TOMM7	NC_073230.2	0.959	0.965	0.965	0.3661
LOC109027830	NC_073224.2	LOC115931247	NC_073243.2	0.959	0.979	0.975	0.2289
LOC129524653	NC_073237.2	LOC129530464	NC_073238.2	0.959	0.989	0.989	0.7018
LOC129524664	NC_073237.2	LOC129529647	NC_086018.1	0.959	0.985	0.984	0.4597
LOC129526909	NC_073239.2	LOC129532712	NC_073232.2	0.959	0.989	0.985	0.2652
LOC129528455	NC_073241.2	LOC129530464	NC_073238.2	0.959	0.992	0.992	0.7411
LOC101127555	NC_073233.2	LOC101154144	NC_073235.2	0.958	0.912	0.912	0.1538
LOC101129892	NC_073244.2	LOC101141346	NC_073235.2	0.958	0.962	0.962	0.3011
LOC101133989	NC_073232.2	NHP2	NC_073228.2	0.958	0.974	0.974	0.336
LOC101134211	NC_073242.2	LOC134758274	NC_073227.2	0.958	0.849	0.855	0.0427
LOC101139366	NC_073236.2	LOC101154144	NC_073235.2	0.958	0.886	0.887	0.0653
LOC101146227	NC_073234.2	LOC109024093	NC_073244.2	0.958	0.944	0.934	0.2
LOC101154144	NC_073235.2	LOC115932777	NC_073224.2	0.958	0.888	0.888	0.0934
LOC129524472	NC_073237.2	LOC129530398	NC_073248.2	0.958	0.965	0.958	0.1642
LOC129529284	NC_073246.2	LOC129529426	NC_086018.1	0.958	0.99	0.99	0.5722
LOC134758274	NC_073227.2	MT1HL1	NC_073224.2	0.958	0.832	0.832	0.1146
LOC101134038	NC_073224.2	RPL10	NC_073247.2	0.957	0.993	0.989	0.463
LOC101141893	NC_073230.2	LOC101147067	NC_073235.2	0.957	0.915	0.918	0.0526
LOC101142804	NC_073224.2	LOC101151037	NC_073234.2	0.957	0.938	0.938	0.1327
LOC101153622	NC_073230.2	RPL15	NC_086017.1	0.957	0.929	0.928	0.0641
LOC109026322	NC_086017.1	RPL7	NC_073231.2	0.957	0.996	0.976	0.773
LOC109029139	NC_073224.2	RPL39L	NC_086017.1	0.957	0.886	0.887	0.0552
LOC115931577	NC_073244.2	RPS2	NC_073242.2	0.957	0.994	0.986	0.5907
LOC129524470	NC_073237.2	LOC129530485	NC_073246.2	0.957	0.988	0.977	0.3606
LOC129527811	NC_073242.2	RPL21	NC_073238.2	0.957	0.983	0.98	0.3795
IGSF3	NC_073224.2	LOC129529381	NC_073246.2	0.956	0.968	0.968	0.1523
IGSF3	NC_073224.2	LOC129529387	NC_073246.2	0.956	0.966	0.968	0.1491
LOC101125960	NC_073231.2	LOC109024637	NC_073247.2	0.956	0.822	0.812	0.0455
LOC101137537	NC_086017.1	LOC101137833	NC_073241.2	0.956	0.988	0.985	0.6239
LOC101138040	NC_073235.2	LOC115935319	NC_073230.2	0.956	0.913	0.912	0.0606
LOC101139294	NC_073228.2	LOC101144515	NC_073233.2	0.956	0.91	0.908	0.1018
LOC101142804	NC_073224.2	LOC101146120	NC_073236.2	0.956	0.934	0.934	0.1101
LOC101149210	NC_073233.2	RPS12	NC_073229.2	0.956	0.976	0.97	0.4419
LOC101152815	NC_073233.2	LOC129526900	NC_073240.2	0.956	0.964	0.965	0.2767
CCNQ	NC_073247.2	LOC109029187	NC_073224.2	0.955	0.953	0.954	0.1643
LOC101126442	NC_073231.2	LOC101127166	NC_073224.2	0.955	0.936	0.939	0.2012
LOC101126623	NC_073242.2	LOC134758274	NC_073227.2	0.955	0.848	0.852	0.0893
LOC101127166	NC_073224.2	LOC101137306	NC_073234.2	0.955	0.946	0.948	0.2229
LOC101127166	NC_073224.2	LOC101141368	NC_086017.1	0.955	0.928	0.931	0.0491
LOC101127166	NC_073224.2	LOC115935032	NC_073229.2	0.955	0.942	0.944	0.1792
LOC101127166	NC_073224.2	RPL17	NC_073241.2	0.955	0.948	0.95	0.1689
LOC101130286	NC_073237.2	LOC101141346	NC_073235.2	0.955	0.94	0.94	0.1869
LOC101141346	NC_073235.2	LOC101151078	NC_073241.2	0.955	0.908	0.908	0.0917
LOC101147604	NC_073229.2	RPL27A	NC_073233.2	0.955	0.986	0.98	0.562
LOC115930119	NC_073229.2	LOC115933239	NC_073236.2	0.955	0.989	0.975	0.5579
LOC115931241	NC_073243.2	SEPTIN7	NC_073230.2	0.955	0.995	0.995	0.5628
LOC115932624	NC_073233.2	SSU72L6	NC_073230.2	0.955	0.959	0.959	0.3226
LOC115933182	NC_073230.2	LOC115933239	NC_073236.2	0.955	0.996	0.981	0.4915
LOC115933227	NC_073227.2	LOC115933239	NC_073236.2	0.955	0.989	0.975	0.2338
LOC115933239	NC_073236.2	LOC129525174	NC_073232.2	0.955	0.985	0.973	0.4505
LOC115933239	NC_073236.2	LOC129526909	NC_073239.2	0.955	0.997	0.996	0.5985
LOC115933239	NC_073236.2	LOC134756358	NC_073242.2	0.955	0.989	0.99	0.1126
LOC129524664	NC_073237.2	LOC129529381	NC_073246.2	0.955	0.984	0.98	0.3436
LOC129524664	NC_073237.2	LOC129529387	NC_073246.2	0.955	0.982	0.978	0.3183
LOC129524670	NC_073237.2	LOC129529381	NC_073246.2	0.955	0.98	0.978	0.3225
LOC129524670	NC_073237.2	LOC129529387	NC_073246.2	0.955	0.978	0.975	0.2921
GTSF1	NC_073234.2	LOC109027668	NC_073230.2	0.954	0.996	0.994	0.5494
LOC101126684	NC_073232.2	LOC129527811	NC_073242.2	0.954	0.965	0.956	0.2812
LOC101127689	NC_086017.1	LOC101130226	NC_073240.2	0.954	0.9	0.9	0.0777
LOC101127689	NC_086017.1	LOC101153591	NC_073228.2	0.954	0.932	0.932	0.0932
LOC101130286	NC_073237.2	LOC101133796	NC_073231.2	0.954	0.955	0.952	0.2832
LOC101132158	NC_073224.2	LOC109028868	NC_073233.2	0.954	0.977	0.962	0.4217
LOC101137804	NC_086017.1	LOC109023133	NC_073239.2	0.954	0.941	0.944	0.1493
LOC101151078	NC_073241.2	LOC101152650	NC_073230.2	0.954	0.917	0.918	0.1103
LOC101130686	NC_073224.2	LOC101138859	NC_073247.2	0.953	0.965	0.965	0.3346
LOC101135657	NC_086018.1	VWF	NC_073234.2	0.953	0.971	0.97	0.1649
LOC129529380	NC_073238.2	LOC129530485	NC_073246.2	0.953	0.989	0.981	0.2907
IFITM2	NC_073233.2	LOC101143671	NC_073234.2	0.952	0.926	0.921	0.1472
LOC101140067	NC_073224.2	NRBF2	NC_073232.2	0.952	0.982	0.982	0.2977
LOC101145937	NC_073228.2	LOC129527246	NC_073238.2	0.952	0.943	0.945	0.1467
LOC101145937	NC_073228.2	LOC129530296	NC_073248.2	0.952	0.908	0.91	0.0679
LOC101152433	NC_073232.2	RPL31	NC_073236.2	0.952	0.979	0.98	0.0689
LOC109026425	NC_086017.1	LOC129525277	NC_073233.2	0.952	0.931	0.93	0.0544
LOC129528441	NC_073241.2	LOC129530485	NC_073246.2	0.952	0.99	0.984	0.2913
LOC129531594	NC_073236.2	UFM1	NC_073238.2	0.952	0.992	0.973	0.1173
LOC101125738	NC_073224.2	LOC101129166	NC_073229.2	0.951	0.819	0.826	0.038
LOC101134637	NC_073224.2	LOC129526378	NC_073238.2	0.951	0.977	0.968	0.2687
LOC101134637	NC_073224.2	LOC129529284	NC_073246.2	0.951	0.977	0.968	0.3987
LOC101134637	NC_073224.2	LOC129529426	NC_086018.1	0.951	0.977	0.967	0.3548
LOC101134637	NC_073224.2	LOC129530468	NC_073238.2	0.951	0.98	0.96	0.4857
LOC101134637	NC_073224.2	LOC129530502	NC_073246.2	0.951	0.982	0.974	0.466
LOC101134637	NC_073224.2	LOC134756700	NC_073236.2	0.951	0.976	0.969	0.4158
LOC101148362	NC_073224.2	LOC115934594	NC_073228.2	0.951	0.9	0.899	0.1017
LOC129524664	NC_073237.2	LOC129528449	NC_073241.2	0.951	0.987	0.985	0.2832
LOC129526379	NC_073238.2	LOC129528449	NC_073241.2	0.951	0.988	0.983	0.3696
LOC129528449	NC_073241.2	LOC129530543	NC_073236.2	0.951	0.987	0.981	0.3475
LOC129528449	NC_073241.2	LOC134757055	NC_073238.2	0.951	0.993	0.989	0.4476
LOC101138287	NC_073234.2	LOC101146767	NC_073247.2	0.95	0.955	0.952	0.2108
LOC109024826	NC_073235.2	SAP18	NC_073238.2	0.95	0.911	0.911	0.0604
LOC115932953	NC_073224.2	RPS23	NC_073228.2	0.95	0.984	0.985	0.0943
LOC129523684	NC_073230.2	LOC129530307	NC_073248.2	0.95	0.951	0.951	0.1339
LOC129524653	NC_073237.2	LOC129528449	NC_073241.2	0.95	0.992	0.989	0.3358
LOC129524663	NC_073237.2	LOC129528449	NC_073241.2	0.95	0.999	0.995	0.5257
LOC129528228	NC_073241.2	LOC129530398	NC_073248.2	0.95	0.947	0.95	0.0941
ATF4	NC_086018.1	LOC101153927	NC_073228.2	0.949	0.964	0.958	0.2942
ENTR1	NC_073237.2	LOC101126524	NC_073241.2	0.949	0.955	0.954	0.1867
LOC101125185	NC_073240.2	LOC101142361	NC_086017.1	0.949	0.899	0.902	0.0932
LOC101131725	NC_073237.2	LOC129530591	NC_073241.2	0.949	0.941	0.941	0.2035
LOC101131725	NC_073237.2	LOC134757034	NC_073238.2	0.949	0.943	0.943	0.2035
LOC109028725	NC_086017.1	LOC109028727	NC_073233.2	0.948	0.93	0.93	0.1381
LOC109028727	NC_073233.2	LOC134757181	NC_073239.2	0.948	0.942	0.938	0.1861
LOC129524668	NC_073237.2	LOC134757073	NC_073238.2	0.948	0.987	0.987	0.5035
KMT2C	NC_073230.2	LOC129530485	NC_073246.2	0.947	0.993	0.99	0.0366
LOC101127634	NC_073230.2	LOC101138853	NC_073231.2	0.947	0.951	0.945	0.0624
LOC101129830	NC_073224.2	LOC101146806	NC_073236.2	0.947	0.892	0.894	0.0824
LOC101129830	NC_073224.2	LOC109024622	NC_073247.2	0.947	0.872	0.871	0.0374
LOC101129830	NC_073224.2	LOC109026990	NC_073228.2	0.947	0.88	0.883	0.0541
LOC101129830	NC_073224.2	RPL18A	NC_073244.2	0.947	0.88	0.883	0.055
LOC101133825	NC_073224.2	LOC101140090	NC_073234.2	0.947	0.913	0.912	0.0318
LOC101137537	NC_086017.1	LOC101151538	NC_073243.2	0.947	0.964	0.964	0.3857
LOC101137537	NC_086017.1	LOC129533959	NC_073228.2	0.947	0.994	0.993	0.7048
LOC101137833	NC_073241.2	RPL21	NC_073238.2	0.947	0.994	0.983	0.5338
LOC101152105	NC_073234.2	LOC109025874	NC_073235.2	0.947	0.899	0.901	0.1071
LOC101125084	NC_073244.2	LOC109027152	NC_073229.2	0.946	0.911	0.91	0.1402
LOC101127555	NC_073233.2	LOC101154368	NC_073224.2	0.946	0.89	0.89	0.15
LOC101144253	NC_073236.2	LOC115930095	NC_073237.2	0.946	0.981	0.981	0.5551
LOC129523703	NC_073230.2	LOC129525023	NC_073232.2	0.946	0.996	0.981	0.6765
LOC129528187	NC_073238.2	LOC129529646	NC_086018.1	0.946	0.994	0.976	0.6834
LOC129528194	NC_073241.2	LOC129529646	NC_086018.1	0.946	0.99	0.972	0.5191
LOC129529646	NC_086018.1	LOC129530391	NC_073248.2	0.946	0.992	0.973	0.6784
LOC129529646	NC_086018.1	LOC134757319	NC_073240.2	0.946	0.994	0.98	0.6679
CHMP5	NC_073237.2	LOC129529733	NC_073247.2	0.945	0.95	0.934	0.1626
FAU	NC_073233.2	LOC101136911	NC_073232.2	0.945	0.992	0.992	0.5935
LOC101127689	NC_086017.1	LOC101141058	NC_073233.2	0.945	0.925	0.926	0.1376
LOC115933961	NC_086017.1	LOC129524489	NC_073237.2	0.945	0.959	0.955	0.1853
LOC129529384	NC_073246.2	LOC134757055	NC_073238.2	0.945	0.985	0.984	0.5832
LOC101125738	NC_073224.2	LOC101136257	NC_073229.2	0.944	0.842	0.841	0.048
LOC101126577	NC_073233.2	LOC115931577	NC_073244.2	0.944	0.954	0.949	0.2492
LOC101127555	NC_073233.2	LOC101153289	NC_073232.2	0.944	0.909	0.91	0.0714
LOC101127811	NC_073235.2	LOC134758505	NC_073224.2	0.944	0.881	0.88	0.0818
LOC101141974	NC_086017.1	RPS20	NC_073231.2	0.944	0.983	0.983	0.4194
LOC115932736	NC_073224.2	PCMTD1	NC_073231.2	0.944	0.991	0.992	0.2423
LOC115933182	NC_073230.2	LOC129525174	NC_073232.2	0.944	0.989	0.989	0.6046
LOC129523819	NC_073230.2	LOC129525066	NC_086017.1	0.944	0.991	0.982	0.5566
LOC101137306	NC_073234.2	RPL17	NC_073241.2	0.943	0.995	0.986	0.544
LOC101137478	NC_086018.1	LOC101142804	NC_073224.2	0.943	0.936	0.936	0.125
LOC115930119	NC_073229.2	LOC129525066	NC_086017.1	0.943	0.991	0.973	0.4916
LOC115933182	NC_073230.2	LOC129525066	NC_086017.1	0.943	0.992	0.973	0.3617
LOC115933227	NC_073227.2	LOC129525066	NC_086017.1	0.943	0.993	0.976	0.1964
LOC129524426	NC_073237.2	LOC129529427	NC_086018.1	0.943	0.982	0.982	0.2357
LOC129525066	NC_086017.1	LOC129525174	NC_073232.2	0.943	0.986	0.97	0.362
LOC129525066	NC_086017.1	LOC129526909	NC_073239.2	0.943	0.993	0.992	0.4447
LOC129525066	NC_086017.1	LOC134756358	NC_073242.2	0.943	0.992	0.991	0.0878
LOC129529284	NC_073246.2	LOC134756700	NC_073236.2	0.943	0.987	0.986	0.6382
LOC101134637	NC_073224.2	LOC129528161	NC_073241.2	0.942	0.982	0.96	0.5178
LOC101137537	NC_086017.1	LOC109024489	NC_073246.2	0.942	0.985	0.983	0.521
LOC101137537	NC_086017.1	LOC115933486	NC_073233.2	0.942	0.971	0.972	0.4219
LOC101142730	NC_073227.2	LOC115932141	NC_073247.2	0.942	0.961	0.958	0.3018
LOC101142730	NC_073227.2	TXNDC9	NC_073236.2	0.942	0.963	0.961	0.1406
LOC109023382	NC_073240.2	LOC129534056	NC_073229.2	0.942	0.898	0.904	0.0355
LOC129534056	NC_073229.2	RPL34	NC_073227.2	0.942	0.913	0.918	0.0417
LOC101123893	NC_073247.2	RPL36	NC_073244.2	0.941	0.872	0.87	0.0571
LOC101131083	NC_073240.2	LOC134757993	NC_086017.1	0.941	0.977	0.977	0.3636
LOC129525174	NC_073232.2	LOC129526909	NC_073239.2	0.941	0.989	0.989	0.6439
CCDC3	NC_073232.2	LOC115935825	NC_073224.2	0.94	0.99	0.989	0.1938
KMT5A	NC_073234.2	LOC129528161	NC_073241.2	0.94	0.99	0.981	0.256
LOC101130550	NC_073232.2	YWHAZ	NC_073231.2	0.94	0.974	0.968	0.1545
LOC101138287	NC_073234.2	LOC115930419	NC_073238.2	0.94	0.959	0.956	0.1094
LOC101139472	NC_073224.2	RPS13	NC_073233.2	0.94	0.983	0.983	0.4177
LOC101130286	NC_073237.2	LOC101138009	NC_073232.2	0.939	0.93	0.932	0.169
LOC101146163	NC_073229.2	LOC129528891	NC_073244.2	0.939	0.902	0.901	0.051
LOC129528464	NC_073241.2	LOC129530486	NC_073246.2	0.939	0.984	0.979	0.5063
LOC129528464	NC_073241.2	LOC129530565	NC_073246.2	0.939	0.985	0.98	0.5169
LOC129533217	NC_073227.2	LOC134758995	NC_073231.2	0.939	0.976	0.974	0.4141
GGTLC1	NC_073245.2	GGTLC2	NC_086018.1	0.938	0.964	0.957	0.2932
LOC101134211	NC_073242.2	MT1HL1	NC_073224.2	0.938	0.863	0.86	0.0595
LOC101138287	NC_073234.2	RPL26	NC_073243.2	0.938	0.963	0.964	0.196
LOC101146216	NC_073224.2	LOC115935612	NC_073231.2	0.938	0.952	0.95	0.2298
LOC101151538	NC_073243.2	LOC109024489	NC_073246.2	0.938	0.972	0.972	0.4196
LOC115930119	NC_073229.2	LOC129526909	NC_073239.2	0.938	0.992	0.992	0.6425
LOC129526565	NC_073241.2	LOC129532712	NC_073232.2	0.938	0.981	0.975	0.1248
LOC101128125	NC_073245.2	RPF2	NC_073229.2	0.937	0.955	0.956	0.0843
LOC101135421	NC_073244.2	LOC101138942	NC_073228.2	0.937	0.954	0.952	0.1478
LOC101143299	NC_073234.2	LOC101144988	NC_073247.2	0.937	0.969	0.97	0.0877
LOC129528464	NC_073241.2	LOC129530464	NC_073238.2	0.937	0.997	0.985	0.6237
LOC101127312	NC_073236.2	LOC101147253	NC_073247.2	0.936	0.981	0.98	0.4912
LOC101142996	NC_073244.2	LOC129524489	NC_073237.2	0.936	0.86	0.855	0.0427
LOC101144197	NC_073227.2	LOC101145399	NC_073239.2	0.936	0.995	0.995	0.7024
LOC129524670	NC_073237.2	LOC134757055	NC_073238.2	0.936	0.988	0.987	0.4907
LOC134757073	NC_073238.2	LOC134757414	NC_073241.2	0.936	0.996	0.995	0.6385
LOC101123893	NC_073247.2	LOC101133011	NC_073239.2	0.935	0.855	0.855	0.0811
LOC101126607	NC_073239.2	LOC101127689	NC_086017.1	0.935	0.921	0.924	0.129
LOC101127555	NC_073233.2	LOC101153588	NC_073228.2	0.935	0.91	0.911	0.1823
LOC101139366	NC_073236.2	LOC101151494	NC_073233.2	0.935	0.881	0.884	0.06
LOC101140340	NC_086017.1	LOC101151494	NC_073233.2	0.935	0.895	0.895	0.0602
LOC101151494	NC_073233.2	LOC101153588	NC_073228.2	0.935	0.916	0.917	0.1084
LOC101151494	NC_073233.2	LOC101154368	NC_073224.2	0.935	0.906	0.907	0.1014
LOC101151494	NC_073233.2	LOC115932777	NC_073224.2	0.935	0.901	0.903	0.1278
LOC101151494	NC_073233.2	PPIA	NC_073230.2	0.935	0.937	0.937	0.1841
LOC101151494	NC_073233.2	PPIAL4H	NC_073224.2	0.935	0.901	0.903	0.1285
LOC115935032	NC_073229.2	RPL17	NC_073241.2	0.935	0.992	0.984	0.5326
LOC129525975	NC_073234.2	TBX20	NC_073230.2	0.935	0.978	0.978	0.0473
LOC129528193	NC_073241.2	LOC129530464	NC_073238.2	0.935	0.985	0.985	0.4719
LOC101131055	NC_073234.2	LOC109025874	NC_073235.2	0.934	0.867	0.868	0.0549
LOC101138942	NC_073228.2	RPL9	NC_073227.2	0.934	0.999	0.982	0.6207
LOC101140955	NC_073224.2	RBMX	NC_073247.2	0.934	0.998	0.997	0.4168
LOC115933194	NC_086017.1	LOC115933227	NC_073227.2	0.934	0.989	0.989	0.1659
IGSF3	NC_073224.2	LOC129529647	NC_086018.1	0.933	0.973	0.971	0.1933
LOC101140422	NC_073224.2	LOC101144947	NC_073228.2	0.933	0.961	0.958	0.3302
LOC101151494	NC_073233.2	LOC101153289	NC_073232.2	0.933	0.908	0.909	0.0445
LOC101152462	NC_073233.2	LOC109023149	NC_073239.2	0.933	0.884	0.883	0.0707
LOC109023149	NC_073239.2	LOC109025909	NC_073224.2	0.933	0.918	0.917	0.0938
LOC109023149	NC_073239.2	LOC115932158	NC_073247.2	0.933	0.898	0.898	0.0536
LOC109027584	NC_073230.2	LOC115933990	NC_086017.1	0.933	0.934	0.918	0.1685
LOC129523819	NC_073230.2	LOC129525174	NC_073232.2	0.933	0.988	0.988	0.4654
