cid	chrom	start	end	divergence	n_loci	sedef_partners	protein	call	reason
NC_086017.1_124836956	NC_086017.1	124836956	124962316	26.8	None	0	QTRT2	DIVERGENT-NOVEL	single locus, no SEDEF, div=26.8% too divergent for a het — a paralog the T2T lacks OR an artifact (needs DNA / 2nd haplotype)
NC_086017.1_14081636	NC_086017.1	14081636	14265325	26.8	None	29	LOC101150774	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=29) — structurally a copy
NC_086017.1_162591122	NC_086017.1	162591122	162602762	3.5	1	0	IGSF10	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=3.5% — a het variant of a one-copy gene
NC_086017.1_18814921	NC_086017.1	18814921	19083444	8.0	1	0	SRGAP3	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=8.0% — a het variant of a one-copy gene
NC_086017.1_200221528	NC_086017.1	200221528	200275635	5.3	1	0	LOC129524615	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=5.3% — a het variant of a one-copy gene
NC_086017.1_22582872	NC_086017.1	22582872	22591526	17.6	None	1	NO-HIT	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=1) AND het-range div=17.6% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_086017.1_87520213	NC_086017.1	87520213	87692596	29.8	None	0	ROBO2	DIVERGENT-NOVEL	single locus, no SEDEF, div=29.8% too divergent for a het — a paralog the T2T lacks OR an artifact (needs DNA / 2nd haplotype)
NC_086018.1_15590312	NC_086018.1	15590312	15646604	5.7	3	0	ATP6V1E1	AMBIGUOUS	multi-copy (n_loci=3, sedef_partners=0) AND het-range div=5.7% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_086018.1_19667916	NC_086018.1	19667916	19705312	74.3	None	30	NO-HIT	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=30) — structurally a copy
NC_086018.1_44781834	NC_086018.1	44781834	45190771	27.5	None	5	TBC1D22A	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=5) — structurally a copy
