dn	n_reads	mm_median	mm_mean	mm_max
DN_NC_073229.2_44179535_6	8	1.0000	3.8750	22
DN_NC_073229.2_44501801_6	400	8.0000	8.3700	51
DN_NC_073229.2_44967262_5	60	1.0000	7.7833	51
DN_NC_073229.2_45005781_3	67	51.0000	30.7463	52
DN_NC_073229.2_45067329_6	297	1.0000	3.4444	52
DN_NC_073229.2_45706582_4	42	1.0000	7.2143	52
DN_NC_073229.2_45747170_4	36	1.0000	3.9444	52
DN_NC_073229.2_45764485_6	129	1.0000	2.2016	52
DN_NC_073229.2_45784439_7	54	1.0000	3.8704	52
DN_NC_073229.2_45857463_4	58	1.0000	10.5517	52
DN_NC_073229.2_45875453_5	87	2.0000	8.1954	52
DN_NC_073229.2_45959984_4	201	1.0000	5.8458	52
DN_NC_073229.2_45985816_6	136	2.0000	4.6324	51
DN_NC_073229.2_46022147_4	133	1.0000	3.0526	51
DN_NC_073229.2_46514381_2	193	9.0000	8.8756	52
DN_NC_073229.2_46518353_2	57	7.0000	8.4035	52
DN_NC_073229.2_46656086_7	63	1.0000	9.0794	52
DN_NC_073229.2_47377766_7	400	9.0000	9.1625	51
DN_NC_073229.2_47549272_8	400	8.0000	8.8575	52
DN_NC_073229.2_47663527_8	400	9.0000	7.9075	27
DN_NC_073229.2_48177425_8	400	10.0000	10.0850	51
DN_NC_073229.2_48413863_4	400	6.0000	6.4275	52
DN_NC_073229.2_48967498_8	400	9.0000	15.7700	52
DN_NC_073229.2_49051174_8	400	10.0000	10.7000	52
DN_NC_073229.2_49412440_2	400	5.0000	4.3825	5
DN_NC_073229.2_49412455_2	400	5.0000	4.3825	5
DN_NC_073229.2_49424718_2	400	5.0000	4.5375	5
DN_NC_073229.2_49429142_2	400	5.0000	4.5650	5
DN_NC_073229.2_49484905_28	211	1.0000	1.0142	4
DN_NC_073229.2_49583451_41	245	2.0000	2.0041	3
DN_NC_073229.2_49609902_41	303	2.0000	2.3333	8
DN_NC_073229.2_49774005_9	119	2.0000	1.8571	2
DN_NC_073229.2_50085643_6	400	8.0000	9.7525	52
DN_NC_073229.2_50300098_6	400	8.0000	9.4200	52
DN_NC_073229.2_50358119_5	32	2.0000	17.7812	52
DN_NC_073229.2_50380193_5	93	2.0000	4.1290	52
DN_NC_073229.2_50716510_5	27	1.0000	5.7407	51
DN_NC_073229.2_50784857_5	28	1.0000	16.1429	51
DN_NC_073229.2_50795834_6	157	8.0000	9.8408	51
DN_NC_073229.2_52163606_6	110	4.0000	17.7091	51
DN_NC_073229.2_52271806_8	16	1.0000	4.7500	42
DN_NC_073229.2_53231942_12	37	1.0000	5.2162	51
DN_NC_073229.2_57565568_13	50	1.0000	1.0000	1
DN_NC_073229.2_60720496_6	134	1.0000	2.1418	51
DN_NC_073229.2_60778300_16	400	1.0000	1.4250	51
DN_NC_073229.2_60831709_26	176	1.0000	1.4886	23
DN_NC_073229.2_60853569_16	207	1.0000	1.1498	23
DN_NC_073229.2_60975828_26	120	2.0000	1.8083	34
DN_NC_073229.2_61929003_23	50	1.0000	1.5800	29
DN_NC_073229.2_62050928_12	400	11.0000	10.9100	52
DN_NC_073229.2_64639535_22	121	2.0000	1.9835	5
DN_NC_073229.2_67950085_3	114	51.0000	47.7193	52
DN_NC_073229.2_70515777_4	400	6.0000	7.6025	51
DN_NC_073229.2_70527768_7	400	6.0000	7.8425	51
DN_NC_073229.2_70567152_7	400	6.0000	8.4375	52
DN_NC_073229.2_70609285_7	400	6.0000	8.4375	52
DN_NC_073229.2_70674504_7	400	6.0000	7.1825	52
DN_NC_073229.2_86209092_3	400	5.0000	10.0450	52
DN_NC_073229.2_94673034_3	30	1.0000	9.9333	52
DN_NC_073229.2_94771458_11	400	51.0000	35.7325	51
DN_NC_073229.2_94961202_4	222	1.0000	6.0991	52
DN_NC_073229.2_97353754_3	201	2.0000	3.3582	51
DN_NC_073229.2_97456874_3	14	4.0000	9.9286	51
DN_NC_073229.2_97606864_8	400	9.0000	14.5925	51
DN_NC_073230.2_101581724_4	400	1.0000	2.9425	52
DN_NC_073230.2_101602035_18	400	1.0000	2.6475	52
DN_NC_073230.2_101646316_2	400	1.0000	2.6475	52
DN_NC_073230.2_108545376_8	400	1.0000	1.0025	2
DN_NC_073230.2_112158616_4	400	2.0000	3.1400	17
DN_NC_073230.2_113873404_2	16	1.0000	6.7500	51
DN_NC_073230.2_115994887_11	400	2.0000	2.1475	38
DN_NC_073230.2_116119215_11	400	1.0000	1.0000	1
DN_NC_073230.2_116150343_22	400	1.0000	1.0000	1
DN_NC_073230.2_116851282_14	400	1.0000	1.6325	52
DN_NC_073230.2_12413521_6	400	2.0000	2.4400	51
DN_NC_073230.2_124939640_5	23	43.0000	29.2609	52
DN_NC_073230.2_12962256_6	400	41.0000	39.9500	51
DN_NC_073230.2_132467242_13	119	1.0000	1.9076	52
DN_NC_073230.2_13331389_15	53	2.0000	4.1321	48
DN_NC_073230.2_13358875_21	45	2.0000	2.9556	45
DN_NC_073230.2_137552467_7	125	2.0000	3.6800	51
DN_NC_073230.2_13762772_6	393	5.0000	5.0025	6
DN_NC_073230.2_137926513_11	159	2.0000	4.4591	51
DN_NC_073230.2_138011361_9	9	1.0000	1.0000	1
DN_NC_073230.2_14161449_15	400	11.0000	9.4750	51
DN_NC_073230.2_14200490_21	85	2.0000	5.0941	51
DN_NC_073230.2_14245227_15	72	3.0000	13.1389	51
DN_NC_073230.2_143596666_10	99	5.0000	6.2222	51
DN_NC_073230.2_143617302_10	105	5.0000	7.3524	51
DN_NC_073230.2_149202220_20	64	1.0000	1.4688	25
DN_NC_073230.2_149564614_8	400	11.0000	11.8875	51
DN_NC_073230.2_150857421_7	163	4.0000	11.6380	52
DN_NC_073230.2_152836468_8	64	1.0000	1.9062	51
DN_NC_073230.2_152880918_9	400	1.0000	1.3775	51
DN_NC_073230.2_159385621_3	68	1.0000	6.1029	51
DN_NC_073230.2_159879400_23	324	1.0000	1.0000	1
DN_NC_073230.2_160290576_8	219	2.0000	2.7078	51
DN_NC_073230.2_161022909_27	400	33.0000	37.9175	53
DN_NC_073230.2_161461454_2	400	12.0000	15.0950	53
DN_NC_073230.2_165840202_11	115	2.0000	3.3826	51
DN_NC_073230.2_168783006_4	400	23.0000	23.1550	51
DN_NC_073230.2_28044538_2	198	48.0000	43.9141	52
DN_NC_073230.2_29909396_5	149	2.0000	3.3087	51
DN_NC_073230.2_37931018_4	91	3.0000	9.9011	52
DN_NC_073230.2_40386475_10	400	2.0000	2.0225	10
DN_NC_073230.2_44313875_22	288	1.0000	4.2569	52
DN_NC_073230.2_47037104_3	138	2.0000	8.0435	51
DN_NC_073230.2_47037167_3	94	2.0000	11.6596	51
DN_NC_073230.2_47098444_23	400	8.0000	8.8750	51
DN_NC_073230.2_47332274_8	98	1.0000	5.9592	52
DN_NC_073230.2_51605178_3	91	2.0000	9.6044	51
DN_NC_073230.2_51812102_9	306	8.0000	8.9575	51
DN_NC_073230.2_51889040_3	33	2.0000	3.6667	51
DN_NC_073230.2_52044244_19	27	1.0000	2.8519	51
DN_NC_073230.2_52428682_23	392	1.0000	1.0485	11
DN_NC_073230.2_53547116_11	400	12.0000	16.1650	51
DN_NC_073230.2_56036026_15	127	51.0000	49.8583	52
DN_NC_073230.2_63523034_4	400	2.0000	2.0525	14
DN_NC_073230.2_63938060_3	234	2.0000	14.6667	52
DN_NC_073230.2_63974160_10	400	20.0000	24.8450	51
DN_NC_073230.2_64191496_8	121	51.0000	28.6694	52
DN_NC_073230.2_64231587_14	400	4.0000	10.3800	52
DN_NC_073230.2_64295055_2	80	51.0000	39.7875	52
DN_NC_073230.2_64705365_4	190	2.0000	2.8789	38
DN_NC_073230.2_64900495_2	267	11.0000	16.2172	52
DN_NC_073230.2_72857214_2	128	8.0000	9.1172	49
DN_NC_073230.2_72907176_2	138	7.0000	8.5797	49
DN_NC_073230.2_73388327_2	400	51.0000	49.1700	52
DN_NC_073230.2_73508332_4	400	50.0000	46.8750	52
DN_NC_073230.2_73776646_4	400	51.0000	48.9375	52
DN_NC_073230.2_73977205_4	400	50.0000	45.9375	52
DN_NC_073230.2_74126483_4	400	50.0000	45.2225	52
DN_NC_073230.2_74190280_2	400	51.0000	44.5550	52
DN_NC_073230.2_74190289_5	400	51.0000	44.5550	52
DN_NC_073230.2_74299233_4	400	50.0000	43.3025	52
DN_NC_073230.2_74637722_4	400	50.0000	43.3875	52
DN_NC_073230.2_74637814_2	400	50.0000	43.3875	52
DN_NC_073230.2_74930869_10	400	4.0000	8.5850	50
DN_NC_073230.2_74941165_2	400	4.0000	8.5850	50
DN_NC_073230.2_75755711_3	400	6.0000	8.8150	51
DN_NC_073230.2_75935335_9	400	4.0000	4.0950	47
DN_NC_073230.2_76179541_5	400	3.0000	3.0350	14
DN_NC_073230.2_76190196_16	400	2.0000	2.0325	14
DN_NC_073230.2_76425037_7	400	2.0000	2.0000	2
DN_NC_073230.2_80576116_9	79	7.0000	9.9747	51
DN_NC_073230.2_81087606_7	400	11.0000	9.7725	33
DN_NC_073230.2_82009167_15	400	2.0000	2.2925	11
DN_NC_073230.2_82279960_5	400	3.0000	3.2700	51
DN_NC_073230.2_82390460_3	111	2.0000	2.3694	16
DN_NC_073230.2_82396764_10	400	2.0000	3.0875	51
DN_NC_073230.2_82405962_7	63	2.0000	2.6349	16
DN_NC_073230.2_83196711_9	37	1.0000	2.2162	45
DN_NC_073230.2_84149572_5	400	2.0000	3.9625	33
DN_NC_073230.2_84189831_5	74	2.0000	6.3108	52
DN_NC_073230.2_84201987_11	400	2.0000	4.5700	52
DN_NC_073230.2_84208466_3	128	2.0000	4.5000	51
DN_NC_073230.2_84474222_2	400	1.0000	1.3550	52
DN_NC_073230.2_84854491_12	400	1.0000	1.0800	32
DN_NC_073230.2_86050165_15	400	2.0000	2.7000	51
DN_NC_073230.2_86077849_4	400	5.0000	7.1050	51
DN_NC_073230.2_86128587_5	365	9.0000	9.7452	51
DN_NC_073230.2_86186055_4	400	5.0000	7.2575	33
DN_NC_073230.2_86213678_7	364	8.0000	9.2170	51
DN_NC_073230.2_86257459_21	400	12.0000	25.0900	53
DN_NC_073230.2_87974016_14	157	1.0000	1.3185	51
DN_NC_073230.2_88115984_10	285	1.0000	1.7018	51
DN_NC_073230.2_88425670_12	242	3.0000	5.0579	51
DN_NC_073230.2_88640144_6	92	1.0000	7.0326	53
DN_NC_073230.2_88683937_6	308	1.0000	2.5097	53
DN_NC_073230.2_88700652_4	235	1.0000	3.2128	53
DN_NC_073230.2_88726357_6	376	1.0000	2.7420	53
DN_NC_073230.2_89256114_4	111	2.0000	2.9189	52
DN_NC_073230.2_89274458_2	134	2.0000	2.6642	51
DN_NC_073230.2_89296262_6	370	1.0000	1.1405	51
DN_NC_073230.2_89330255_2	162	1.0000	1.3642	51
DN_NC_073230.2_89389986_8	400	1.0000	1.2550	51
DN_NC_073230.2_89408091_6	400	1.0000	1.1300	51
DN_NC_073230.2_90977223_13	267	7.0000	7.2884	51
DN_NC_073230.2_91654449_3	92	1.0000	20.2826	52
DN_NC_073230.2_92132360_3	103	2.0000	5.6699	53
DN_NC_073230.2_94413807_52	400	1.0000	1.0000	1
DN_NC_073230.2_95688791_4	35	1.0000	5.4857	51
DN_NC_073230.2_95718597_3	78	1.0000	10.4103	52
DN_NC_073230.2_98628332_5	76	2.0000	2.6711	51
DN_NC_073230.2_98668717_3	336	6.0000	5.7619	51
DN_NC_073231.2_104280615_11	400	1.0000	1.0250	11
DN_NC_073231.2_105681903_7	71	1.0000	3.2113	52
DN_NC_073231.2_105703620_4	166	6.5000	6.3253	52
DN_NC_073231.2_107519754_4	370	1.0000	2.4622	51
DN_NC_073231.2_109134791_7	400	1.0000	1.0475	20
DN_NC_073231.2_114003443_13	250	2.0000	2.0280	51
DN_NC_073231.2_11581641_7	400	14.0000	14.5075	51
DN_NC_073231.2_12364354_11	24	1.0000	3.0833	51
DN_NC_073231.2_130802378_3	159	1.0000	3.7862	51
DN_NC_073231.2_130827518_11	400	1.0000	2.0975	51
DN_NC_073231.2_130851528_29	400	1.0000	1.9725	51
DN_NC_073231.2_14164248_27	364	1.0000	1.3984	52
DN_NC_073231.2_148826481_3	80	1.0000	12.4875	52
DN_NC_073231.2_149140314_3	84	1.0000	2.2143	51
DN_NC_073231.2_149487100_2	131	1.0000	1.0229	2
DN_NC_073231.2_149487156_2	131	1.0000	1.0229	2
DN_NC_073231.2_150568091_5	230	1.0000	2.2348	52
DN_NC_073231.2_150618111_5	118	1.0000	17.5339	52
DN_NC_073231.2_150671293_2	391	1.0000	5.4962	52
DN_NC_073231.2_150671310_5	393	1.0000	5.6056	53
DN_NC_073231.2_150726059_5	162	1.0000	14.6543	52
DN_NC_073231.2_150777699_3	195	1.0000	12.3487	52
DN_NC_073231.2_150817007_4	117	1.0000	13.2479	52
DN_NC_073231.2_150893284_5	396	51.0000	42.7323	52
DN_NC_073231.2_150902261_3	400	23.0000	23.4625	51
DN_NC_073231.2_151095996_10	400	30.0000	35.8650	52
DN_NC_073231.2_151170137_9	203	8.0000	8.0345	51
DN_NC_073231.2_26115616_28	400	1.0000	1.0150	6
DN_NC_073231.2_27206312_6	221	1.0000	2.1584	52
DN_NC_073231.2_27219653_9	346	1.5000	10.8092	52
DN_NC_073231.2_27335163_6	140	4.0000	15.3500	52
DN_NC_073231.2_27367940_9	141	4.0000	15.2482	52
DN_NC_073231.2_27420263_10	60	1.0000	5.8667	51
DN_NC_073231.2_30601556_2	400	3.0000	3.0975	37
DN_NC_073231.2_30794526_14	400	1.0000	1.0000	1
DN_NC_073231.2_32715505_7	214	1.0000	1.4860	51
DN_NC_073231.2_33560018_4	64	1.0000	4.2188	51
DN_NC_073231.2_35021307_7	96	1.0000	13.5000	51
DN_NC_073231.2_4571400_3	111	19.0000	24.4324	52
DN_NC_073231.2_4596743_6	97	5.0000	9.6289	52
DN_NC_073231.2_47085106_7	342	10.0000	13.3830	53
DN_NC_073231.2_49018603_18	18	1.0000	1.1667	3
DN_NC_073231.2_50727873_22	400	1.0000	2.4750	52
DN_NC_073231.2_53153474_12	400	1.0000	1.1450	52
DN_NC_073231.2_53708239_3	14	1.0000	1.5714	5
DN_NC_073231.2_6126395_2	19	10.0000	17.7368	51
DN_NC_073231.2_79409495_17	48	1.0000	3.1458	39
DN_NC_073231.2_79838229_13	400	2.0000	2.3925	51
DN_NC_073231.2_79866967_2	400	2.0000	2.3700	51
DN_NC_073231.2_83007056_9	195	1.0000	1.7641	51
DN_NC_073232.2_100192352_9	59	3.0000	3.9661	51
DN_NC_073232.2_100896386_2	99	2.0000	5.5657	51
DN_NC_073232.2_100896386_3	120	2.0000	1.7917	8
DN_NC_073232.2_101260375_9	400	10.0000	8.7125	12
DN_NC_073232.2_101543079_10	400	1.0000	1.3075	51
DN_NC_073232.2_103494970_2	90	1.0000	1.5667	51
DN_NC_073232.2_104141687_27	210	1.0000	1.2286	35
DN_NC_073232.2_104390833_9	48	1.0000	2.8333	37
DN_NC_073232.2_108139494_4	174	19.0000	25.2414	52
DN_NC_073232.2_108425417_2	400	1.0000	1.2450	45
DN_NC_073232.2_108425608_2	400	1.0000	1.2425	45
DN_NC_073232.2_109704136_4	400	13.0000	13.5875	51
DN_NC_073232.2_113619502_15	400	1.0000	1.0000	1
DN_NC_073232.2_12004654_22	266	1.0000	1.1880	51
DN_NC_073232.2_122771445_4	285	3.0000	3.9895	51
DN_NC_073232.2_123144734_12	400	1.0000	1.0075	3
DN_NC_073232.2_123171879_4	400	1.0000	1.0050	3
DN_NC_073232.2_128963971_12	379	1.0000	1.0000	1
DN_NC_073232.2_134750324_9	58	1.0000	1.0000	1
DN_NC_073232.2_135159346_4	355	2.0000	2.7070	52
DN_NC_073232.2_135204586_6	379	2.0000	2.7361	52
DN_NC_073232.2_135254310_6	400	1.0000	1.1250	51
DN_NC_073232.2_135264721_4	400	1.0000	1.1250	51
DN_NC_073232.2_137259733_11	206	15.0000	14.1456	52
DN_NC_073232.2_139190015_27	317	1.0000	1.3028	51
DN_NC_073232.2_13920774_9	400	4.0000	19.1875	54
DN_NC_073232.2_13945467_9	400	4.0000	19.4925	54
DN_NC_073232.2_140203810_21	184	1.0000	1.2880	52
DN_NC_073232.2_14351656_4	25	1.0000	4.4400	50
DN_NC_073232.2_144274206_9	93	2.0000	3.5161	40
DN_NC_073232.2_144546965_14	157	1.0000	1.0000	1
DN_NC_073232.2_145623155_3	193	1.0000	3.1192	52
DN_NC_073232.2_146269317_5	400	23.0000	23.6525	51
DN_NC_073232.2_14850424_21	400	1.0000	1.0025	2
DN_NC_073232.2_14895260_2	400	1.0000	1.0575	24
DN_NC_073232.2_15175774_15	400	1.0000	1.8675	52
DN_NC_073232.2_26196651_3	400	1.0000	1.0025	2
DN_NC_073232.2_26211167_9	400	1.0000	1.0000	1
DN_NC_073232.2_34013134_3	330	1.0000	1.5424	52
DN_NC_073232.2_36391573_6	400	2.0000	2.0375	13
DN_NC_073232.2_40728717_16	211	1.0000	1.1659	33
DN_NC_073232.2_41878762_20	63	1.0000	2.6508	51
DN_NC_073232.2_41941662_15	102	1.0000	2.0098	51
DN_NC_073232.2_42022900_16	400	14.0000	15.1150	51
DN_NC_073232.2_42152672_3	52	1.0000	4.0577	51
DN_NC_073232.2_42645510_15	400	2.0000	4.2375	52
DN_NC_073232.2_46350686_18	400	1.0000	1.0025	2
DN_NC_073232.2_46484201_18	62	1.0000	1.7097	45
DN_NC_073232.2_46766506_15	400	2.0000	2.4975	6
DN_NC_073232.2_46804261_15	400	4.0000	4.0000	5
DN_NC_073232.2_50172230_4	51	2.0000	17.6078	51
DN_NC_073232.2_54856348_6	201	1.0000	1.0000	1
DN_NC_073232.2_56389207_14	115	1.0000	4.5130	51
DN_NC_073232.2_56509561_5	119	1.0000	2.7899	51
DN_NC_073232.2_64911725_5	400	3.0000	3.0100	4
DN_NC_073232.2_65009281_5	400	3.0000	3.0575	9
DN_NC_073232.2_65161149_4	400	2.0000	1.9950	5
DN_NC_073232.2_65534545_21	400	3.0000	3.1425	51
DN_NC_073232.2_65721054_29	400	3.0000	3.4775	22
DN_NC_073232.2_65905862_9	400	6.0000	6.0275	51
DN_NC_073232.2_66124270_23	109	1.0000	1.9174	51
DN_NC_073232.2_68371563_10	400	7.0000	8.5275	22
DN_NC_073232.2_68618263_8	400	21.0000	14.6550	22
DN_NC_073232.2_68914292_6	400	2.0000	2.2150	4
DN_NC_073232.2_69473322_8	400	22.0000	16.5475	52
DN_NC_073232.2_69588940_31	400	3.0000	3.4750	22
DN_NC_073232.2_71834982_5	55	1.0000	2.9818	51
DN_NC_073232.2_71881610_2	115	1.0000	2.5217	52
DN_NC_073232.2_71881634_2	115	1.0000	2.5217	52
DN_NC_073232.2_71973207_3	40	1.0000	18.4250	52
DN_NC_073232.2_72046295_2	400	2.0000	3.4475	51
DN_NC_073232.2_72618921_23	400	22.0000	23.6125	51
DN_NC_073232.2_72820474_5	324	2.0000	3.0185	52
DN_NC_073232.2_72957232_4	131	51.0000	36.4885	52
DN_NC_073232.2_80964961_8	256	2.0000	3.8203	52
DN_NC_073232.2_81033881_5	324	2.0000	3.8395	52
DN_NC_073232.2_81134357_6	282	1.0000	2.8688	51
DN_NC_073232.2_81253567_6	304	2.0000	2.7961	51
DN_NC_073232.2_8583099_4	400	23.0000	23.4950	52
DN_NC_073232.2_88373590_10	400	2.0000	2.1275	52
DN_NC_073232.2_8894424_4	64	3.0000	6.7031	52
DN_NC_073232.2_89563823_24	400	2.0000	2.3775	52
DN_NC_073232.2_8975313_3	400	26.0000	24.4850	51
DN_NC_073232.2_91788490_6	400	2.0000	2.0900	35
DN_NC_073232.2_92223921_5	186	3.0000	3.8441	11
DN_NC_073232.2_92781991_6	400	3.0000	3.2650	51
DN_NC_073232.2_99433455_13	400	6.0000	6.2000	51
DN_NC_073232.2_99479042_10	301	2.0000	2.4219	51
DN_NC_073232.2_99723280_5	189	3.0000	3.8307	11
DN_NC_073232.2_99830035_5	278	1.0000	1.4353	51
DN_NC_073233.2_103065421_4	22	1.0000	1.0000	1
DN_NC_073233.2_103150044_4	20	1.0000	1.0000	1
DN_NC_073233.2_103702122_11	400	2.0000	1.8725	6
DN_NC_073233.2_103744968_15	400	5.0000	4.6325	16
DN_NC_073233.2_10737351_7	135	1.0000	3.4741	52
DN_NC_073233.2_110213303_8	94	1.0000	2.8511	51
DN_NC_073233.2_110238282_9	400	1.0000	1.4250	51
DN_NC_073233.2_112912081_9	32	4.0000	13.1250	52
DN_NC_073233.2_112925764_3	27	4.0000	13.2222	52
DN_NC_073233.2_113496230_16	182	1.0000	5.2033	53
DN_NC_073233.2_11450665_3	57	51.0000	41.5263	53
DN_NC_073233.2_116263271_8	47	1.0000	21.2979	52
DN_NC_073233.2_118106361_14	400	4.0000	3.8425	51
DN_NC_073233.2_11930987_8	158	1.0000	5.8038	52
DN_NC_073233.2_11960151_8	86	1.0000	6.8721	52
DN_NC_073233.2_11997286_8	251	1.0000	4.0319	52
DN_NC_073233.2_119992784_4	310	9.0000	9.3516	52
DN_NC_073233.2_12022944_8	400	1.0000	1.3475	51
DN_NC_073233.2_129388517_48	400	3.0000	4.0250	51
DN_NC_073233.2_130017597_2	264	1.0000	1.1212	32
DN_NC_073233.2_130017597_4	272	1.0000	1.1176	32
DN_NC_073233.2_130982674_9	400	13.0000	12.9700	15
DN_NC_073233.2_130995027_7	31	1.0000	1.4839	15
DN_NC_073233.2_132097253_2	58	51.0000	43.3103	53
DN_NC_073233.2_132992860_18	208	51.0000	48.1731	52
DN_NC_073233.2_13339812_3	101	1.0000	1.1188	12
DN_NC_073233.2_14005356_9	101	1.0000	2.8812	51
DN_NC_073233.2_15764817_25	242	4.0000	4.9339	51
DN_NC_073233.2_16844162_15	133	1.0000	4.9323	51
DN_NC_073233.2_18540673_22	275	1.0000	1.0691	15
DN_NC_073233.2_19708960_19	400	1.0000	1.0075	2
DN_NC_073233.2_19815473_9	400	1.0000	1.0075	2
DN_NC_073233.2_23732821_4	64	1.0000	3.3594	52
DN_NC_073233.2_24785501_8	400	8.0000	8.4150	51
DN_NC_073233.2_24803514_8	96	1.0000	3.9688	51
DN_NC_073233.2_24846978_8	49	4.0000	4.4490	49
DN_NC_073233.2_54778450_7	21	22.0000	22.4286	51
DN_NC_073233.2_54817717_7	39	12.0000	14.9744	51
DN_NC_073233.2_55845432_8	185	12.0000	17.6811	51
DN_NC_073233.2_65156508_13	23	1.0000	1.6087	15
DN_NC_073233.2_67344582_15	203	1.0000	1.4433	51
DN_NC_073233.2_6759783_2	305	17.0000	18.3082	51
DN_NC_073233.2_6761147_2	41	51.0000	44.3171	51
DN_NC_073233.2_6765652_2	375	13.0000	11.5707	51
DN_NC_073233.2_6771931_2	400	13.0000	10.2475	51
DN_NC_073233.2_69582499_12	400	1.0000	1.4575	52
DN_NC_073233.2_69678029_12	400	1.0000	1.1275	51
DN_NC_073233.2_69723982_12	39	1.0000	10.0513	52
DN_NC_073233.2_70511026_18	400	1.0000	1.1475	31
DN_NC_073233.2_72203709_7	111	5.0000	4.5766	8
DN_NC_073233.2_72649199_20	101	1.0000	1.0000	1
DN_NC_073233.2_72751588_5	355	1.0000	1.1268	9
DN_NC_073233.2_72823864_14	20	1.0000	1.4000	9
DN_NC_073233.2_73623857_14	400	1.0000	2.2500	51
DN_NC_073233.2_73629498_4	400	1.0000	2.2500	51
DN_NC_073233.2_7370930_22	360	1.0000	1.0278	8
DN_NC_073233.2_74176850_16	252	1.0000	1.6667	52
DN_NC_073233.2_74467231_21	30	1.0000	17.9667	52
DN_NC_073233.2_74557606_4	400	4.0000	3.3825	51
DN_NC_073233.2_74583920_4	400	3.0000	3.1725	51
DN_NC_073233.2_74603920_22	132	1.0000	1.7652	51
DN_NC_073233.2_75193065_21	162	1.0000	1.3086	51
DN_NC_073233.2_75326481_7	199	1.0000	1.5075	51
DN_NC_073233.2_75363756_11	166	1.0000	1.7952	51
DN_NC_073233.2_75718276_6	400	15.0000	21.1800	52
DN_NC_073233.2_75965332_20	52	1.0000	2.1923	51
DN_NC_073233.2_76234750_23	173	2.0000	2.2486	51
DN_NC_073233.2_78027084_24	192	1.0000	1.2708	51
DN_NC_073233.2_78071205_2	158	1.0000	1.3291	51
DN_NC_073233.2_83154693_15	51	1.0000	1.0000	1
DN_NC_073233.2_84240332_5	190	2.0000	6.1316	51
DN_NC_073233.2_97509393_19	41	3.0000	2.9512	3
DN_NC_073233.2_9788172_5	240	1.0000	5.0417	51
DN_NC_073233.2_97922937_7	34	11.0000	15.7353	52
DN_NC_073233.2_97983776_19	400	1.0000	1.1275	52
DN_NC_073234.2_106852963_2	48	39.5000	30.1250	52
DN_NC_073234.2_119380821_10	400	2.0000	2.1875	51
DN_NC_073234.2_119401970_11	400	2.0000	2.1700	51
DN_NC_073234.2_120456173_23	66	51.0000	40.0000	51
DN_NC_073234.2_121481999_7	55	1.0000	2.2727	51
DN_NC_073234.2_125738330_13	148	2.0000	3.5270	52
DN_NC_073234.2_126026608_4	221	1.0000	1.5792	51
DN_NC_073234.2_126131834_7	400	1.0000	1.1275	51
DN_NC_073234.2_126370406_2	13	1.0000	4.8462	51
DN_NC_073234.2_127179897_13	400	1.0000	1.0025	2
DN_NC_073234.2_127819985_16	386	9.0000	9.4819	51
DN_NC_073234.2_130067111_7	167	1.0000	1.0000	1
DN_NC_073234.2_135608372_3	133	1.0000	1.3759	51
DN_NC_073234.2_135617419_11	148	1.0000	1.3514	51
DN_NC_073234.2_135871466_4	131	3.0000	4.3282	51
DN_NC_073234.2_135886660_4	123	3.0000	4.4878	51
DN_NC_073234.2_137155900_12	29	1.0000	7.0690	51
DN_NC_073234.2_139148650_20	195	1.0000	1.3077	52
DN_NC_073234.2_139370404_3	49	1.0000	20.1429	52
DN_NC_073234.2_140369418_2	400	15.0000	14.6325	25
DN_NC_073234.2_140369418_3	400	15.0000	14.6325	25
DN_NC_073234.2_147445272_9	47	2.0000	9.1915	52
DN_NC_073234.2_147580679_4	50	2.0000	12.1800	51
DN_NC_073234.2_148420424_5	108	1.0000	18.6204	52
DN_NC_073234.2_148486259_4	315	1.0000	3.2444	52
DN_NC_073234.2_148537990_5	400	1.0000	2.3800	52
DN_NC_073234.2_148580749_5	400	1.0000	2.6350	52
DN_NC_073234.2_148620174_2	78	2.0000	6.6410	52
DN_NC_073234.2_148630977_5	264	1.0000	1.3826	51
DN_NC_073234.2_148682020_7	400	1.0000	1.2750	51
DN_NC_073234.2_15631092_11	400	4.0000	5.1475	52
DN_NC_073234.2_17584207_9	141	1.0000	1.2340	31
DN_NC_073234.2_18597435_13	26	1.0000	1.0385	2
DN_NC_073234.2_21213540_25	59	1.0000	4.3559	51
DN_NC_073234.2_22113821_5	206	1.0000	1.5631	27
DN_NC_073234.2_22528772_7	400	2.0000	2.4025	51
DN_NC_073234.2_22529951_2	400	2.0000	2.4050	51
DN_NC_073234.2_22572777_12	63	1.0000	2.2857	51
DN_NC_073234.2_22604826_16	48	1.0000	2.6250	51
DN_NC_073234.2_22631499_6	369	1.0000	1.5339	51
DN_NC_073234.2_22636891_13	320	1.0000	1.4281	51
DN_NC_073234.2_23452056_11	377	4.0000	4.8117	51
DN_NC_073234.2_23565467_10	373	4.0000	4.0349	9
DN_NC_073234.2_24956987_7	158	4.0000	14.8671	52
DN_NC_073234.2_24978856_8	199	4.0000	19.3568	52
DN_NC_073234.2_26006928_5	110	2.0000	2.5636	51
DN_NC_073234.2_27515614_23	138	1.0000	1.8116	51
DN_NC_073234.2_36991193_12	108	51.0000	36.8611	52
DN_NC_073234.2_37699488_22	400	6.0000	6.3600	51
DN_NC_073234.2_43619064_8	336	1.0000	1.3274	51
