gene_a	gene_b	dn_a	dn_b	label	comp	fold	core_recip	aln_frac	aln_len	log_aln_len	contain_max	contain_min	recip_contain	core_x_alnfrac	contain_x_alnfrac	id	min_cov	n_exon_min	n_exon_max	n_exon_ratio	n_exon_absdiff	both_single	min_shared_mult	max_shared_mult	mult_ratio	n_shared_nodes	log_n_shared_nodes	shares_only_repeat_m5	vg_softmask	mmMed_min	mmMed_max	mmMed_mean	mmMax_min	mmMax_max	mmMax_mean	nReads_min	nReads_max	nReads_mean	nReads_ratio	kmMed_min	kmMed_max	kmMed_mean	kmFrac100_min	kmFrac100_max	kmFrac100_mean	nKmers_min	nKmers_max	nKmers_mean	mask_max	mask_min	bridge_mask
LOC101130728	LOC129523520	DN_NC_073224.2_19027212_8	DN_NC_073224.2_19135994_8	1	351	2	0.9993	0.9993	1467	7.29166	1	1	1	0.9986	0.9993	0.9947	0.231	8	8	1	0	0	4	8	0.5	240	5.4848	0	0.0034	9	9	9	51	51	51	400	400	400	1	0	0	0	0	0	0	1448	1452	1450	0.0034	0.002	0.0034
LOC101130728	LOC129529226	DN_NC_073224.2_15670210_25	DN_NC_073224.2_19135994_8	0	351	2	0.4932	0.4952	727	6.5903	0.75	0.24	0.24	0.244233	0.3714	0	0	8	25	0.32	17	0	6	8	0.75	127	4.85203	1	0.0063	9	9	9	51	52	51.5	400	400	400	1	0	0	0	0	0	0	1448	3328	2388	0.0063	0.0034	0.0063
LOC101130728	LOC129531982	DN_NC_073224.2_19135994_8	DN_NC_073224.2_29070818_24	0	351	2	0.626	0.6267	920	6.82546	0.875	0.2917	0.2917	0.392314	0.548363	0	0	8	24	0.333333	16	0	6	8	0.75	149	5.01064	1	0.0156	9	9	9	51	51	51	400	400	400	1	0	0	0	0	0	0	1448	3897	2672.5	0.0156	0.0034	0.0156
LOC101130728	LOC134756437	DN_NC_073224.2_19135994_8	DN_NC_073224.2_19235747_8	1	351	2	1	1	1468	7.29234	1	1	1	1	1	0.9939	0.319	8	8	1	0	0	3	8	0.375	235	5.46383	0	0.0034	9	9	9	51	51	51	400	400	400	1	0	0	0	0	0	0	1448	1454	1451	0.0034	0.0034	0.0034
LOC101130728	LOC134758712	DN_NC_073224.2_15783681_8	DN_NC_073224.2_19135994_8	1	351	2	1	1	1468	7.29234	1	1	1	1	1	0.9084	0.429	8	8	1	0	0	4	8	0.5	245	5.50533	0	0.0034	9	9	9	51	52	51.5	400	400	400	1	0	0	0	0	0	0	1448	1454	1451	0.0034	0.0027	0.0034
LOC101130728	LOC134758754	DN_NC_073224.2_19135994_8	DN_NC_073224.2_19344252_8	1	351	2	1	1	1441	7.27379	1	1	1	1	1	0.9993	1	8	8	1	0	0	2	8	0.25	258	5.55683	0	0.0034	9	9	9	51	51	51	400	400	400	1	0	0	0	0	0	0	1421	1448	1434.5	0.0034	0.0028	0.0034
LOC101130854	LOC115932779	DN_NC_073242.2_15911262_31	DN_NC_073242.2_29051840_13	0	353	2	0.6351	0.658	1778	7.48381	0.8462	0.3871	0.3871	0.417896	0.5568	0.8531	0.209	13	31	0.419355	18	0	2	497	0.00402414	297	5.69709	0	0.2513	8	12	10	53	53	53	184	295	239.5	0.623729	0	0	0	0.0009	0.044	0.02245	2682	6487	4584.5	0.2513	0.0575	0.2513
LOC101130854	LOC115932992	DN_NC_073242.2_15911262_31	DN_NC_073242.2_16378095_15	1	353	2	0.2915	0.6031	1779	7.48437	0.9333	0.3871	0.3871	0.175804	0.562873	0.9387	0.296	15	31	0.483871	16	0	2	5	0.4	296	5.69373	0	0.2095	8	12	10	53	53	53	177	295	236	0.6	0	0	0	0.0009	0.0482	0.02455	2571	6487	4529	0.2095	0.0575	0.2095
LOC101130877	LOC109025073	DN_NC_073244.2_17994654_4	DN_NC_073244.2_18096775_3	0	302	4	0.235	0.4406	1243	7.12609	0	0	0	0.103541	0			3	4	0.75	1	0	2	130	0.0153846	39	3.68888	0	0.2973	3	5	4	10	13	11.5	400	400	400	1	1	1	1	0.0008	0.0282	0.0145	2563	5212	3887.5	0.2973	0.2715	0.2973
LOC101130877	ZNF433	DN_NC_073244.2_17994654_4	DN_NC_073244.2_18047026_4	0	302	4	0.1846	0.6162	1442	7.27448	0.25	0	0	0.113751	0.15405			4	4	1	0	0	3	130	0.0230769	35	3.58352	0	0.2973	3	5	4	10	13	11.5	400	400	400	1	0	1	0.5	0.0098	0.0282	0.019	2244	5212	3728	0.2973	0.2906	0.2973
LOC101130894	LOC115933167	DN_NC_073230.2_51812102_9	DN_NC_073230.2_86213678_7	1	354	3	0.5193	0.5428	901	6.80461	0.8571	0.7778	0.7778	0.281876	0.465234	0.9764	0.361	7	9	0.777778	2	0	2	10	0.2	129	4.86753	0	0.4994	8	8	8	51	51	51	306	364	335	0.840659	0	0	0	0.0118	0.0677	0.03975	1640	2551	2095.5	0.4994	0.2825	0.4994
LOC101130894	LOC129523494	DN_NC_073230.2_112158616_4	DN_NC_073230.2_86213678_7	1	354	3	0.1408	0.1684	433	6.07304	0.75	0.4286	0.4286	0.0237107	0.1263	0.9724	0	4	7	0.571429	3	0	2	6	0.333333	51	3.95124	0	0.4994	2	8	5	17	51	34	364	400	382	0.91	0	0	0	0.0118	0.0453	0.02855	2551	3158	2854.5	0.4994	0.1709	0.4994
LOC101130894	LOC129534750	DN_NC_073230.2_86128587_5	DN_NC_073230.2_86213678_7	0	354	3	0.4554	0.4572	497	6.2106	0.8	0.5714	0.5714	0.208209	0.36576	0	0	5	7	0.714286	2	0	2	10	0.2	93	4.54329	0	0.4994	8	9	8.5	51	51	51	364	365	364.5	0.99726	0	0	0	0.0047	0.0118	0.00825	1067	2551	1809	0.4994	0.1518	0.4994
LOC101131060	MMP19	DN_NC_073234.2_45519337_9	DN_NC_073234.2_45523055_3	0	355	1	0.5901	0.6851	2223	7.70706	0.3333	0.2222	0.2222	0.404278	0.228344			3	9	0.333333	6	0	2	188	0.0106383	456	6.12468	0	0.1413	1	1	1	24	24	24	180	247	213.5	0.728745	0	0	0	0.0118	0.0233	0.01755	3225	6229	4727	0.1413	0.0773	0.1413
LOC101131274	LOC115930164	DN_NC_073224.2_218361248_19	DN_NC_073224.2_223156764_8	1	124	4	0.9202	0.9468	2420	7.79194	0.875	0.3684	0.3684	0.871245	0.82845	0.9668	0.361	8	19	0.421053	11	0	2	18	0.111111	412	6.02345	0	0.1138	9	12	10.5	47	51	49	400	400	400	1	0	0	0	0	0	0	2506	4164	3335	0.1138	0.1074	0.1138
LOC101131274	LOC115930576	DN_NC_073224.2_218361248_19	DN_NC_073224.2_218434129_23	1	124	4	0.8486	0.8902	4234	8.35114	0.9474	0.7826	0.7826	0.755424	0.843375	0.9959	0.598	19	23	0.826087	4	0	2	18	0.111111	745	6.61473	0	0.1074	10	12	11	51	51	51	400	400	400	1	0	0	0	0	0	0	4037	4164	4100.5	0.1074	0.0986	0.1074
LOC101131274	LOC115932984	DN_NC_073224.2_130224824_25	DN_NC_073224.2_218361248_19	1	124	4	0.1952	0.5846	2435	7.79811	0.8947	0.88	0.88	0.114114	0.523042	0.9059	0.567	19	25	0.76	6	0	7	18	0.388889	98	4.59512	1	0.1074	12	35	23.5	51	52	51.5	400	400	400	1	0	0	0	0	0	0	2752	4164	3458	0.1074	0.1023	0.1074
LOC101131274	LOC115933235	DN_NC_073224.2_129429039_7	DN_NC_073224.2_218361248_19	1	124	4	0.4724	0.9123	2279	7.73193	0.7143	0.2632	0.2632	0.430971	0.651656	0.9034	0.383	7	19	0.368421	12	0	4	18	0.222222	158	5.0689	0	0.1781	12	40	26	51	52	51.5	400	400	400	1	0	0	0	0	0	0	2372	4164	3268	0.1781	0.1074	0.1781
LOC101131274	LOC115933241	DN_NC_073224.2_115073393_19	DN_NC_073224.2_218361248_19	0	124	4	0.1967	0.8191	3594	8.1873	0.9474	0.7895	0.7895	0.161117	0.776015			19	19	1	0	0	3	18	0.166667	232	5.45104	0	0.1074	10	12	11	51	52	51.5	400	400	400	1	0	0	0	0	0	0	4164	4263	4213.5	0.1074	0.1051	0.1074
LOC101131274	LOC129525330	DN_NC_073224.2_125594338_29	DN_NC_073224.2_218361248_19	1	124	4	0.1937	0.5802	2435	7.79811	0.931	0.8947	0.8947	0.112385	0.540166	0.9041	0.61	19	29	0.655172	10	0	4	18	0.222222	114	4.74493	0	0.1074	12	30	21	51	52	51.5	400	400	400	1	0	0	0	0	0	0	1955	4164	3059.5	0.1074	0.0748	0.1074
LOC101131274	LOC129525331	DN_NC_073224.2_125055626_35	DN_NC_073224.2_218361248_19	1	124	4	0.1709	0.536	2549	7.84385	0.8857	0.8421	0.8421	0.0916024	0.474735	0.9022	0.715	19	35	0.542857	16	0	4	18	0.222222	118	4.77912	0	0.1114	12	31.5	21.75	51	51	51	400	400	400	1	0	0	0	0	0	0	2096	4164	3130	0.1114	0.1074	0.1114
LOC101131397	LOC101137280	DN_NC_073232.2_135159346_4	DN_NC_073232.2_135204586_6	0	356	2	0.1363	0.1348	455	6.12249	0.1667	0	0	0.0183732	0.0224712			4	6	0.666667	2	0	2	3	0.666667	48	3.89182	0	0.1379	2	2	2	52	52	52	355	379	367	0.936675	0	0	0	0	0.008	0.004	3356	3621	3488.5	0.1379	0.0892	0.1379
LOC101131416	LOC115930154	DN_NC_073235.2_31672555_8	DN_NC_073235.2_32750477_8	1	357	3	0.771	1.011	1470	7.2937	1	1	1	0.779481	1.011	0.9286	0.561	8	8	1	0	0	2	4	0.5	249	5.52146	0	0.0268	2	21	11.5	43	51	47	45	81	63	0.555556	0	0	0	0	0	0	1434	1487	1460.5	0.0268	0.0259	0.0268
LOC101131460	THOC3	DN_NC_073228.2_179795915_6	DN_NC_073228.2_182778476_6	1	358	4	1	1	2518	7.83162	1	0.8333	0.8333	1	1	0.9919	0.758	6	6	1	0	0	2	16	0.125	478	6.1717	0	0.1364	2	2	2	51	51	51	290	296	293	0.97973	1	1	1	0	0.0039	0.00195	2498	3060	2779	0.1364	0.1009	0.1364
LOC101131561	LOC134757427	DN_NC_073242.2_15607160_18	DN_NC_073242.2_28689005_18	0	255	1	0.3331	0.9448	6643	8.80147	0.9444	0.9444	0.9444	0.314713	0.892269			18	18	1	0	0	2	5	0.4	1025	6.93342	0	0.028	4	4	4	25	51	38	241	291	266	0.828179	0	0	0	0	0	0	7011	7118	7064.5	0.028	0.0202	0.028
LOC101131674	TUBB2A	DN_NC_073229.2_20766733_4	DN_NC_073242.2_120516047_4	1	359	1	0.7718	0.7565	1286	7.16007	0.75	0.75	0.75	0.583867	0.567375	0.92	0	4	4	1	0	0	2	5	0.4	81	4.40672	0	0.0312	10	26	18	51	51	51	400	400	400	1	0	1	0.5	0	0	0	1680	1820	1750	0.0312	0.019	0.0312
LOC101131674	TUBB4A	DN_NC_073242.2_120516047_4	DN_NC_073244.2_12296250_4	1	359	1	0.7011	0.7027	1293	7.16549	0.75	0.75	0.75	0.492663	0.527025	0.9267	0.205	4	4	1	0	0	2	5	0.4	80	4.39445	0	0.0595	10	26	18	51	51	51	400	400	400	1	0	1	0.5	0	0	0	1820	2282	2051	0.0595	0.019	0.0595
LOC101131689	LOC109024259	DN_NC_073244.2_55618657_2	DN_NC_073244.2_55678004_6	0	360	4	0.2155	0	0	0	0	0	0	0	0			2	6	0.333333	4	0	3	79	0.0379747	28	3.3673	0	0.2361	3	3	3	51	51	51	400	400	400	1	0	0	0	0.0135	0.0147	0.0141	3188	4304	3746	0.2361	0.1416	0.2361
LOC101131689	ZNF239	DN_NC_073232.2_71881634_2	DN_NC_073244.2_55678004_6	0	360	4	0.2524	0	0	0	0	0	0	0	0			2	6	0.333333	4	0	7	52	0.134615	4	1.60944	1	0.1416	1	3	2	51	52	51.5	115	400	257.5	0.2875	0	0	0	0	0.0135	0.00675	2769	4304	3536.5	0.1416	0.0561	0.1416
LOC101131768	LOC109025447	DN_NC_073236.2_47712811_9	DN_NC_073236.2_52824428_4	1	362	2	0.468	0.468	1913	7.55695	0.25	0.1111	0.1111	0.219024	0.117	0.9767	0.701	4	9	0.444444	5	0	2	188	0.0106383	679	6.52209	0	0.1793	6	6	6	11	11	11	400	400	400	1	0	0	0	0	0.0037	0.00185	4068	5831	4949.5	0.1793	0.087	0.1793
LOC101131768	LOC129531666	DN_NC_073236.2_51202468_4	DN_NC_073236.2_52824428_4	1	362	2	0.7321	0.9993	4085	8.31532	1	1	1	0.731588	0.9993	0.9856	0.567	4	4	1	0	0	2	188	0.0106383	735	6.60123	0	0.1817	6	6	6	11	11	11	400	400	400	1	0	0	0	0.0034	0.0037	0.00355	4068	4366	4217	0.1817	0.1793	0.1817
LOC101131768	LOC129531667	DN_NC_073236.2_51437835_4	DN_NC_073236.2_52824428_4	1	362	2	1	1	3225	8.079	1	1	1	1	1	0.9857	0.987	4	4	1	0	0	2	188	0.0106383	591	6.38351	0	0.2	6	6	6	11	11	11	400	400	400	1	0	0	0	0.0037	0.0053	0.0045	3205	4068	3636.5	0.2	0.1793	0.2
LOC101131768	RGPD8	DN_NC_073236.2_49989275_2	DN_NC_073236.2_52824428_4	1	362	2	0.4873	1.0397	4086	8.31557	1	1	1	0.506646	1.0397	0.9343	0.564	2	4	0.5	2	0	2	188	0.0106383	664	6.49979	0	0.1936	6	7	6.5	11	51	31	400	400	400	1	0	1	0.5	0.0031	0.0037	0.0034	3910	4068	3989	0.1936	0.1793	0.1936
LOC101131852	LOC129528486	DN_NC_073231.2_4571400_3	DN_NC_073244.2_6036407_2	0	364	2	0.2029	0.9314	1983	7.59287	0.5	0	0	0.188981	0.4657			2	3	0.666667	1	0	2	7	0.285714	200	5.3033	0	0.3227	19	23	21	52	52	52	87	111	99	0.783784	0	1	0.5	0.0152	0.0274	0.0213	2099	5620	3859.5	0.3227	0.3122	0.3227
LOC101131852	RPL23A	DN_NC_073228.2_64369461_5	DN_NC_073231.2_4571400_3	0	364	2	0.1486	0.3695	470	6.15486	0.6	0	0	0.0549077	0.2217			3	5	0.6	2	0	2	4	0.5	28	3.3673	0	0.3122	6	19	12.5	52	52	52	101	111	106	0.90991	0	1	0.5	0.0208	0.0274	0.0241	1252	5620	3436	0.3122	0.1612	0.3122
LOC101131923	LOC101142371	DN_NC_073242.2_21650759_11	DN_NC_073242.2_31545375_14	0	109	3	0.31	0.2896	583	6.3699	0.3636	0.2857	0.2857	0.089776	0.105299			11	14	0.785714	3	0	2	5	0.4	103	4.64439	0	0.1343	5	5	5	47	51	49	400	400	400	1	0	0	0	0.013	0.0219	0.01745	1993	3196	2594.5	0.1343	0.0532	0.1343
LOC101131923	RRN3	DN_NC_073242.2_21650759_11	DN_NC_073242.2_29556580_18	0	109	3	0.3308	0.3323	669	6.50728	0.4545	0.2778	0.2778	0.109925	0.15103			11	18	0.611111	7	0	2	497	0.00402414	111	4.7185	0	0.1955	5	5	5	47	52	49.5	400	400	400	1	0	1	0.5	0.013	0.0262	0.0196	1993	6782	4387.5	0.1955	0.0532	0.1955
LOC101132303	LOC115935014	DN_NC_073229.2_50085643_6	DN_NC_073229.2_50300098_6	1	365	1	0.4727	0.6563	1226	7.11233	0.8333	0.8333	0.8333	0.310233	0.546895	0.9163	0.51	6	6	1	0	0	2	4	0.5	152	5.03044	0	0.0964	8	8	8	52	52	52	400	400	400	1	0	0	0	0	0.0011	0.00055	1848	2333	2090.5	0.0964	0.0748	0.0964
LOC101132313	SBDS	DN_NC_073230.2_76179541_5	DN_NC_073230.2_82279960_5	0	366	2	0.418	1.007	1720	7.45066	1	0.8	0.8	0.420926	1.007			5	5	1	0	0	2	8	0.25	253	5.53733	0	0.3159	3	3	3	14	51	32.5	400	400	400	1	0	1	0.5	0	0.0461	0.02305	1688	3468	2578	0.3159	0.0948	0.3159
LOC101132325	LOC101148457	DN_NC_073247.2_51197700_2	DN_NC_086018.1_19844955_6	0	79	3	0.1692	0.2756	690	6.53814	0.5	0.1111	0.1111	0.0466315	0.1378			2	9	0.222222	7	0	2	11	0.181818	47	3.8712	0	0.5974	11	22	16.5	51	52	51.5	400	400	400	1	0	0	0	0.0968	0.183	0.1399	2470	2530	2500	0.5974	0.4297	0.5974
LOC101132325	MKRN1	DN_NC_073230.2_149564614_8	DN_NC_073247.2_51197700_2	1	79	3	0.4492	0.4466	1191	7.08339	0.75	0.5	0.5	0.200613	0.33495	0.9328	0.424	2	8	0.25	6	0	2	3	0.666667	91	4.52179	0	0.4297	11	11	11	51	51	51	400	400	400	1	0	1	0.5	0	0.0968	0.0484	2530	3124	2827	0.4297	0.0948	0.4297
LOC101132434	LOC101135843	DN_NC_086018.1_18646417_6	DN_NC_086018.1_22406144_7	1	69	3	0.8537	0.8492	1921	7.56112	0.6667	0.5714	0.5714	0.724962	0.566162	0.9763	0.649	6	7	0.857143	1	0	2	5	0.4	298	5.70044	0	0.0671	13	13	13	51	52	51.5	298	350	324	0.851429	0	0	0	0	0	0	2242	2632	2437	0.0671	0.0508	0.0671
LOC101132434	LOC115932815	DN_NC_086018.1_18646417_6	DN_NC_086018.1_22166696_9	1	69	3	0.7263	0.8479	1918	7.55956	0.6667	0.5714	0.5714	0.61583	0.565295	0.9788	0.589	6	7	0.857143	1	0	2	5	0.4	314	5.75257	0	0.0584	13	13	13	51	52	51.5	298	344	321	0.866279	0	0	0	0	0	0	2242	2635	2438.5	0.0584	0.0508	0.0584
LOC101132445	LOC129529771	DN_NC_073247.2_59744368_5	DN_NC_073247.2_59753367_5	1	367	4	0.9963	1	543	6.29895	1	0.8	0.8	0.9963	1	1	0.99	5	5	1	0	0	2	10	0.2	101	4.62497	0	0.0868	11	11	11	51	51	51	262	263	262.5	0.996198	0	0	0	0	0	0	523	1075	799	0.0868	0.0479	0.0868
LOC101132445	LOC129529775	DN_NC_073247.2_59753367_5	DN_NC_073247.2_59782481_5	1	367	4	1	1	579	6.36303	1	0.8	0.8	1	1	0.9983	0.99	5	5	1	0	0	4	10	0.4	104	4.65396	0	0.0868	11	11	11	51	51	51	263	264	263.5	0.996212	0	0	0	0	0	0	559	1075	817	0.0868	0.0449	0.0868
LOC101132881	LOC101148191	DN_NC_073230.2_28044538_2	DN_NC_073239.2_98531685_2	0	193	4	0.1861	0	0	0	0	0	0	0	0			2	2	1	0	0	4	6	0.666667	5	1.79176	0	0.2929	45	48	46.5	52	52	52	198	323	260.5	0.613003	0	1	0.5	0.0128	0.0156	0.0142	2953	3914	3433.5	0.2929	0.2834	0.2929
LOC101132881	LOC109023808	DN_NC_073239.2_98531685_2	DN_NC_073243.2_97368870_3	0	193	4	0.2358	0.5476	1461	7.28756	0.5	0.3333	0.3333	0.129124	0.2738			2	3	0.666667	1	0	2	6	0.333333	53	3.98898	0	0.2834	9	45	27	50	52	51	323	400	361.5	0.8075	0	1	0.5	0	0.0156	0.0078	2648	2953	2800.5	0.2834	0.0757	0.2834
LOC101132881	LOC115930530	DN_NC_073239.2_98531685_2	DN_NC_073239.2_98531712_3	0	193	4	0.2317	0.2317	691	6.53959	0.5	0.3333	0.3333	0.0536849	0.11585			2	3	0.666667	1	0	2	19	0.105263	115	4.75359	0	0.2834	41	45	43	52	52	52	95	323	209	0.294118	1	1	1	0.011	0.0156	0.0133	2953	4544	3748.5	0.2834	0.2699	0.2834
LOC101133249	LOC109024404	DN_NC_073227.2_16860393_3	DN_NC_073245.2_28784637_3	0	64	2	0.1547	0.6709	1735	7.45934	0.3333	0.3333	0.3333	0.103788	0.223611			3	3	1	0	0	2	6	0.333333	20	3.04452	0	0.7316	2	51	26.5	51	52	51.5	44	400	222	0.11	1	1	1	0.1001	0.1383	0.1192	2566	3206	2886	0.7316	0.6879	0.7316
LOC101133249	LOC109026441	DN_NC_073227.2_16860393_3	DN_NC_073227.2_21866694_4	0	64	2	0.1489	0	0	0	0	0	0	0	0			3	4	0.75	1	0	2	12	0.166667	28	3.3673	0	0.6879	1	51	26	51	52	51.5	26	400	213	0.065	0	1	0.5	0.061	0.1383	0.09965	2566	3426	2996	0.6879	0.5727	0.6879
LOC101133249	MCFD2	DN_NC_073227.2_16860393_3	DN_NC_073236.2_92822528_4	0	64	2	0.1485	0.751	1942	7.57199	0.3333	0	0	0.111523	0.250308			3	4	0.75	1	0	2	7	0.285714	67	4.21951	0	0.6879	51	51	51	51	51	51	400	400	400	1	0	1	0.5	0.1139	0.1383	0.1261	2566	4082	3324	0.6879	0.5467	0.6879
LOC101133440	LOC101137806	DN_NC_073231.2_11581641_7	DN_NC_086017.1_136773097_2	0	31	3	0.251	0.7648	1740	7.46221	0.5	0.2857	0.2857	0.191965	0.3824			2	7	0.285714	5	0	2	8	0.25	138	4.93447	0	0.1005	14	14	14	51	52	51.5	400	400	400	1	1	1	1	0	0.0073	0.00365	2255	3418	2836.5	0.1005	0.0598	0.1005
LOC101133440	LOC101139163	DN_NC_073231.2_11581641_7	DN_NC_086017.1_141278779_5	1	31	3	0.4484	0.7415	1687	7.4313	0.4	0.2857	0.2857	0.332489	0.2966	0.9081	0.873	5	7	0.714286	2	0	2	8	0.25	173	5.15906	0	0.0598	14	15	14.5	51	52	51.5	400	400	400	1	0	1	0.5	0	0	0	2226	2255	2240.5	0.0598	0.0477	0.0598
LOC101133440	LOC115934341	DN_NC_073231.2_11581641_7	DN_NC_086017.1_85330170_7	1	31	3	0.4945	1.0466	2381	7.7757	1	1	1	0.517544	1.0466	0.9003	0.872	7	7	1	0	0	2	8	0.25	195	5.27811	0	0.0598	14	15	14.5	51	52	51.5	400	400	400	1	0	1	0.5	0	0	0	2255	2507	2381	0.0598	0.0323	0.0598
LOC101133546	LOC101150965	DN_NC_073244.2_64400145_5	DN_NC_073244.2_65326089_4	0	36	0	0.2038	0	0	0	0	0	0	0	0			4	5	0.8	1	0	14	503	0.027833	22	3.13549	1	0.3382	19	23	21	52	53	52.5	400	400	400	1	1	1	1	0.0375	0.0483	0.0429	2259	4992	3625.5	0.3382	0.3365	0.3382
LOC101133546	LOC129527827	DN_NC_073242.2_66613619_4	DN_NC_073244.2_65326089_4	0	36	0	0.1334	0	0	0	0	0	0	0	0			4	4	1	0	0	5	285	0.0175439	9	2.30259	1	0.4438	19	51	35	52	52	52	400	400	400	1	0	1	0.5	0.0319	0.0375	0.0347	3635	4992	4313.5	0.4438	0.3382	0.4438
LOC101133546	ZNF813	DN_NC_073244.2_65326089_4	DN_NC_073244.2_65398487_4	1	36	0	0.2849	0.613	3109	8.04238	0.75	0.5	0.5	0.174644	0.45975	0.9164	0.295	4	4	1	0	0	2	503	0.00397614	181	5.20401	0	0.3382	19	23	21	52	52	52	400	400	400	1	1	1	1	0.0231	0.0375	0.0303	4771	4992	4881.5	0.3382	0.3208	0.3382
LOC101133657	LOC109024269	DN_NC_073244.2_18045307_2	DN_NC_073244.2_18385030_4	0	302	4	0.2645	0	0	0	0	0	0	0	0			2	4	0.5	2	0	7	497	0.0140845	29	3.4012	1	0.2917	3	5	4	10	51	30.5	400	400	400	1	1	1	1	0.0315	0.0365	0.034	3754	4642	4198	0.2917	0.2882	0.2917
LOC101133668	LOC101136009	DN_NC_073230.2_74190289_5	DN_NC_073244.2_26901109_4	0	36	0	0.2492	0	0	0	0	0	0	0	0			4	5	0.8	1	0	6	223	0.0269058	34	3.55535	1	0.5314	51	51	51	52	52	52	400	400	400	1	0	1	0.5	0.0631	0.0702	0.06665	3020	3219	3119.5	0.5314	0.3756	0.5314
LOC101133668	LOC101137462	DN_NC_073230.2_74190289_5	DN_NC_073244.2_27285351_4	0	36	0	0.1486	0	0	0	0	0	0	0	0			4	5	0.8	1	0	4	223	0.0179372	39	3.68888	0	0.7315	51	51	51	52	52	52	400	400	400	1	1	1	1	0.0702	0.1931	0.13165	3020	4345	3682.5	0.7315	0.3756	0.7315
LOC101133668	LOC101141027	DN_NC_073230.2_74190289_5	DN_NC_073244.2_27765726_4	0	36	0	0.2451	0	0	0	0	0	0	0	0			4	5	0.8	1	0	2	130	0.0153846	50	3.93183	0	0.4666	51	51	51	52	52	52	400	400	400	1	0	1	0.5	0.0095	0.0702	0.03985	2305	3020	2662.5	0.4666	0.3756	0.4666
LOC101133668	LOC101142646	DN_NC_073230.2_74190289_5	DN_NC_073244.2_27869273_3	0	36	0	0.1499	0	0	0	0	0	0	0	0			3	5	0.6	2	0	3	130	0.0230769	42	3.7612	0	0.4816	50	51	50.5	52	52	52	400	400	400	1	1	1	1	0.0117	0.0702	0.04095	2730	3020	2875	0.4816	0.3756	0.4816
LOC101133668	LOC101144119	DN_NC_073230.2_64900495_2	DN_NC_073230.2_74190289_5	0	36	0	0.1331	0	0	0	0	0	0	0	0			2	5	0.4	3	0	15	130	0.115385	11	2.48491	1	0.3756	11	51	31	52	52	52	267	400	333.5	0.6675	1	1	1	0.0133	0.0702	0.04175	3020	7133	5076.5	0.3756	0.2503	0.3756
LOC101133668	LOC101144838	DN_NC_073230.2_74190289_5	DN_NC_073244.2_28256975_5	0	36	0	0.1789	0	0	0	0	0	0	0	0			5	5	1	0	0	4	130	0.0307692	32	3.49651	0	0.3847	50	51	50.5	52	52	52	400	400	400	1	0	1	0.5	0.0273	0.0702	0.04875	3020	4285	3652.5	0.3847	0.3756	0.3847
LOC101133668	LOC101145945	DN_NC_073230.2_74190289_5	DN_NC_073244.2_28588105_4	0	36	0	0.2163	0.4346	1348	7.20712	0.8	0.5	0.5	0.094004	0.34768			4	5	0.8	1	0	2	130	0.0153846	43	3.78419	0	0.3756	50	51	50.5	51	52	51.5	400	400	400	1	1	1	1	0.031	0.0702	0.0506	3020	3651	3335.5	0.3756	0.3633	0.3756
LOC101133668	LOC101146634	DN_NC_073230.2_74190289_5	DN_NC_073244.2_28711447_4	0	36	0	0.2108	0	0	0	0	0	0	0	0			5	5	1	0	0	2	130	0.0153846	39	3.68888	0	0.405	50	51	50.5	51	52	51.5	400	400	400	1	0	1	0.5	0.0153	0.0702	0.04275	3020	3531	3275.5	0.405	0.3756	0.405
LOC101133668	LOC101147715	DN_NC_073230.2_74190289_5	DN_NC_073244.2_28820229_4	0	36	0	0.1564	0	0	0	0	0	0	0	0			4	5	0.8	1	0	2	130	0.0153846	47	3.8712	0	0.5027	51	51	51	52	52	52	400	400	400	1	1	1	1	0.0219	0.0702	0.04605	3020	5073	4046.5	0.5027	0.3756	0.5027
LOC101133668	LOC101153126	DN_NC_073230.2_74190289_5	DN_NC_073244.2_29297022_4	0	36	0	0.2402	0	0	0	0	0	0	0	0			4	5	0.8	1	0	3	223	0.0134529	36	3.61092	0	0.4345	50	51	50.5	52	52	52	400	400	400	1	0	1	0.5	0.0296	0.0702	0.0499	3020	4467	3743.5	0.4345	0.3756	0.4345
LOC101133668	LOC109024216	DN_NC_073230.2_74190289_5	DN_NC_073244.2_65293743_4	0	36	0	0.156	0	0	0	0	0	0	0	0			4	5	0.8	1	0	21	129	0.162791	9	2.30259	1	0.3756	8	51	29.5	52	52	52	400	400	400	1	1	1	1	0.008	0.0702	0.0391	3020	4120	3570	0.3756	0.2768	0.3756
LOC101133668	LOC109026610	DN_NC_073227.2_8705656_4	DN_NC_073230.2_74190289_5	0	36	0	0.2063	0	0	0	0	0	0	0	0			4	5	0.8	1	0	2	130	0.0153846	18	2.94444	0	0.3756	10	51	30.5	52	52	52	400	400	400	1	1	1	1	0.008	0.0702	0.0391	3020	3871	3445.5	0.3756	0.3416	0.3756
LOC101133668	LOC115930172	DN_NC_073230.2_74190289_5	DN_NC_073244.2_27051998_4	0	36	0	0.2376	0	0	0	0	0	0	0	0			4	5	0.8	1	0	2	130	0.0153846	36	3.61092	0	0.4137	51	51	51	52	52	52	400	400	400	1	0	1	0.5	0.0313	0.0702	0.05075	3020	3481	3250.5	0.4137	0.3756	0.4137
