gene_a	gene_b	block_ident	concentration	total_frac	ident_disp
LOC101128844	ZNF675	0.8108	1.0000	0.8447	0.0574
LOC101128844	ZNF678	0.0000	0.0000	0.0000	0.0000
LOC101128844	ZNF680	0.8076	1.0000	0.5558	0.0625
LOC101128844	ZNF681	0.8421	1.0000	0.3983	0.0514
LOC101128844	ZNF682	0.0000	0.0000	0.0000	0.0000
LOC101128844	ZNF695	0.0000	0.0000	0.0000	0.0000
LOC101128844	ZNF721	0.0000	0.0000	0.0000	0.0000
LOC101128844	ZNF723	0.7709	1.0000	0.7293	0.2526
LOC101128844	ZNF727	0.0000	0.0000	0.0000	0.0000
LOC101128844	ZNF736	0.0000	0.0000	0.0000	0.0000
LOC101128844	ZNF761	0.0000	0.0000	0.0000	0.0000
LOC101128844	ZNF808	0.0000	0.0000	0.0000	0.0000
LOC101128844	ZNF813	0.0000	0.0000	0.0000	0.0000
LOC101128844	ZNF83	0.0000	0.0000	0.0000	0.0000
LOC101128844	ZNF836	0.0000	0.0000	0.0000	0.0000
LOC101128844	ZNF841	0.0000	0.0000	0.0000	0.0000
LOC101128844	ZNF91	0.7329	1.0000	0.4613	0.0741
LOC101128844	ZNF92	0.0000	0.0000	0.0000	0.0000
LOC101128980	LOC134758331	0.9932	1.0000	0.5302	0.0087
LOC101129171	LOC101133546	0.0000	0.0000	0.0000	0.0000
LOC101129171	LOC101133668	0.0000	0.0000	0.0000	0.0000
LOC101129171	LOC101136009	0.5867	1.0000	0.7784	0.0936
LOC101129171	LOC101137462	0.7276	1.0000	0.5771	0.0608
LOC101129171	LOC101141027	0.8005	1.0000	0.6645	0.0708
LOC101129171	LOC101142646	0.0000	0.0000	0.0000	0.0000
LOC101129171	LOC101144838	0.0000	0.0000	0.0000	0.0000
LOC101129171	LOC101145945	0.0000	0.0000	0.0000	0.0000
LOC101129171	LOC101146634	0.0000	0.0000	0.0000	0.0000
LOC101129171	LOC101147715	0.0000	0.0000	0.0000	0.0000
LOC101129171	LOC101150965	0.0000	0.0000	0.0000	0.0000
LOC101129171	LOC101153126	0.0000	0.0000	0.0000	0.0000
LOC101129171	LOC101153131	0.0000	0.0000	0.0000	0.0000
LOC101129171	LOC109024216	0.0000	0.0000	0.0000	0.0000
LOC101129171	LOC109026610	0.0000	0.0000	0.0000	0.0000
LOC101129171	LOC115930172	0.7885	1.0000	0.9250	0.0618
LOC101129171	LOC115931567	0.8361	0.5729	0.6778	0.0769
LOC101129171	LOC115931568	0.0000	0.0000	0.0000	0.0000
LOC101129171	LOC115931576	0.7350	1.0000	0.4783	0.0748
LOC101129171	LOC115931654	0.0000	0.0000	0.0000	0.0000
LOC101129171	LOC129527827	0.0000	0.0000	0.0000	0.0000
LOC101129171	LOC129528947	0.7976	1.0000	0.4938	0.0852
LOC101129171	ZNF141	0.0000	0.0000	0.0000	0.0000
LOC101129171	ZNF254	0.7516	1.0000	0.4791	0.0581
LOC101129171	ZNF273	0.7508	1.0000	0.4409	0.2531
LOC101129171	ZNF429	0.0000	0.0000	0.0000	0.0000
LOC101129171	ZNF43	0.7156	0.3785	1.2109	0.0646
LOC101129171	ZNF430	0.7835	1.0000	0.4487	0.0735
LOC101129171	ZNF486	0.8188	1.0000	0.5010	0.1790
LOC101129171	ZNF506	0.7569	1.0000	0.9213	0.0502
LOC101129171	ZNF595	0.0000	0.0000	0.0000	0.0000
LOC101129171	ZNF611	0.0000	0.0000	0.0000	0.0000
LOC101129171	ZNF626	0.7964	1.0000	0.8446	0.0964
LOC101129171	ZNF675	0.0000	0.0000	0.0000	0.0000
LOC101129171	ZNF680	0.7370	1.0000	0.4544	0.2609
LOC101129171	ZNF681	0.7873	0.5560	0.5311	0.0623
LOC101129171	ZNF682	0.0000	0.0000	0.0000	0.0000
LOC101129171	ZNF695	0.0000	0.0000	0.0000	0.0000
LOC101129171	ZNF721	0.0000	0.0000	0.0000	0.0000
LOC101129171	ZNF723	0.8005	1.0000	0.6429	0.0718
LOC101129171	ZNF727	0.0000	0.0000	0.0000	0.0000
LOC101129171	ZNF736	0.0000	0.0000	0.0000	0.0000
LOC101129171	ZNF761	0.0000	0.0000	0.0000	0.0000
LOC101129171	ZNF766	0.0000	0.0000	0.0000	0.0000
LOC101129171	ZNF808	0.0000	0.0000	0.0000	0.0000
LOC101129171	ZNF813	0.0000	0.0000	0.0000	0.0000
LOC101129171	ZNF841	0.0000	0.0000	0.0000	0.0000
LOC101129171	ZNF91	0.0000	0.0000	0.0000	0.0000
LOC101129171	ZNF92	0.0000	0.0000	0.0000	0.0000
LOC101129219	LOC101130677	0.0000	0.0000	0.0000	0.0000
LOC101129219	LOC101138952	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZFP37	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF157	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF180	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF182	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF260	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF268	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF287	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF334	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF33B	0.9177	1.0000	1.0068	0.0470
LOC101129219	ZNF354A	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF354B	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF382	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF41	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF487	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF567	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF568	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF569	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF605	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF613	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF624	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF674	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF717	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF782	0.0000	0.0000	0.0000	0.0000
LOC101129219	ZNF84	0.0000	0.0000	0.0000	0.0000
LOC101129558	LOC101135429	0.9080	1.0000	0.3459	0.0543
LOC101129578	ZNF16	0.0000	0.0000	0.0000	0.0000
LOC101129578	ZNF250	0.0000	0.0000	0.0000	0.0000
LOC101129578	ZNF251	0.0000	0.0000	0.0000	0.0000
LOC101129578	ZNF3	0.0000	0.0000	0.0000	0.0000
LOC101129578	ZNF544	0.0000	0.0000	0.0000	0.0000
LOC101129578	ZNF623	0.0000	0.0000	0.0000	0.0000
LOC101129578	ZNF79	0.0000	0.0000	0.0000	0.0000
LOC101129578	ZNF892	0.0000	0.0000	0.0000	0.0000
LOC101129712	LOC101134034	0.8053	1.0000	0.5474	0.2164
LOC101129789	LOC101130507	0.0000	0.0000	0.0000	0.0000
LOC101129789	LOC101153725	0.0000	0.0000	0.0000	0.0000
LOC101129789	LOC101154200	0.0000	0.0000	0.0000	0.0000
LOC101129789	LOC109025073	0.0000	0.0000	0.0000	0.0000
LOC101129789	ZNF124	0.0000	0.0000	0.0000	0.0000
LOC101129789	ZNF136	0.0000	0.0000	0.0000	0.0000
LOC101129789	ZNF14	0.0000	0.0000	0.0000	0.0000
LOC101129789	ZNF443	0.0000	0.0000	0.0000	0.0000
LOC101129789	ZNF490	0.0000	0.0000	0.0000	0.0000
LOC101129789	ZNF669	0.0000	0.0000	0.0000	0.0000
LOC101129789	ZNF670	0.0000	0.0000	0.0000	0.0000
LOC101129789	ZNF791	0.0000	0.0000	0.0000	0.0000
LOC101129789	ZNF799	0.0000	0.0000	0.0000	0.0000
LOC101129789	ZNF823	0.0000	0.0000	0.0000	0.0000
LOC101129910	SDAD1	0.8973	1.0000	0.7906	0.0473
LOC101129940	SEC22B	0.9802	1.0000	1.0017	0.0203
LOC101129968	PXN	1.0000	1.0000	0.1750	0.0000
LOC101130023	LOC101133546	0.7303	1.0000	0.3874	0.2763
LOC101130023	LOC101136009	0.0000	0.0000	0.0000	0.0000
LOC101130023	LOC101142646	0.0000	0.0000	0.0000	0.0000
LOC101130023	LOC101144471	0.0000	0.0000	0.0000	0.0000
LOC101130023	LOC101147715	0.0000	0.0000	0.0000	0.0000
LOC101130023	LOC101150965	0.0000	0.0000	0.0000	0.0000
LOC101130023	LOC101152401	0.0000	0.0000	0.0000	0.0000
LOC101130023	LOC101153126	0.0000	0.0000	0.0000	0.0000
LOC101130023	LOC101153131	0.7856	1.0000	0.8210	0.1048
LOC101130023	LOC109024216	0.8519	1.0000	0.2775	0.0594
LOC101130023	LOC115931567	0.0000	0.0000	0.0000	0.0000
LOC101130023	LOC115931654	0.7959	1.0000	0.6276	0.1792
LOC101130023	OSBPL10	0.7876	1.0000	0.3390	0.2198
LOC101130023	ZNF195	0.0000	0.0000	0.0000	0.0000
LOC101130023	ZNF254	0.0000	0.0000	0.0000	0.0000
LOC101130023	ZNF267	0.0000	0.0000	0.0000	0.0000
LOC101130023	ZNF28	0.6403	1.0000	0.6314	0.0663
LOC101130023	ZNF347	0.0000	0.0000	0.0000	0.0000
LOC101130023	ZNF415	0.0000	0.0000	0.0000	0.0000
LOC101130023	ZNF468	0.0000	0.0000	0.0000	0.0000
LOC101130023	ZNF480	0.0000	0.0000	0.0000	0.0000
LOC101130023	ZNF578	0.7826	1.0000	0.6770	0.1674
LOC101130023	ZNF595	0.0000	0.0000	0.0000	0.0000
LOC101130023	ZNF600	0.6586	1.0000	0.8203	0.0876
LOC101130023	ZNF611	0.6618	1.0000	0.8140	0.1009
LOC101130023	ZNF695	0.0000	0.0000	0.0000	0.0000
LOC101130023	ZNF701	0.0000	0.0000	0.0000	0.0000
LOC101130023	ZNF761	0.7314	1.0000	0.4756	0.1894
LOC101130023	ZNF766	0.0000	0.0000	0.0000	0.0000
LOC101130023	ZNF808	0.7370	1.0000	0.5451	0.2511
LOC101130023	ZNF813	0.7867	1.0000	0.3106	0.2320
LOC101130023	ZNF83	0.0000	0.0000	0.0000	0.0000
LOC101130023	ZNF836	0.0000	0.0000	0.0000	0.0000
LOC101130023	ZNF841	0.0000	0.0000	0.0000	0.0000
LOC101130023	ZNF888	0.7109	1.0000	0.7658	0.0819
LOC101130137	LOC101151317	0.0000	0.0000	0.0000	0.0000
LOC101130137	LOC109024207	0.0000	0.0000	0.0000	0.0000
LOC101130137	LOC109027078	0.0000	0.0000	0.0000	0.0000
LOC101130137	ZFP28	0.0000	0.0000	0.0000	0.0000
LOC101130137	ZFP3	0.0000	0.0000	0.0000	0.0000
LOC101130137	ZFP82	0.0000	0.0000	0.0000	0.0000
LOC101130137	ZNF184	0.0000	0.0000	0.0000	0.0000
LOC101130137	ZNF30	0.0000	0.0000	0.0000	0.0000
LOC101130137	ZNF420	0.0000	0.0000	0.0000	0.0000
LOC101130137	ZNF461	0.0000	0.0000	0.0000	0.0000
LOC101130137	ZNF471	0.0000	0.0000	0.0000	0.0000
LOC101130137	ZNF529	0.0000	0.0000	0.0000	0.0000
LOC101130137	ZNF540	0.0000	0.0000	0.0000	0.0000
LOC101130137	ZNF546	0.0000	0.0000	0.0000	0.0000
LOC101130137	ZNF571	0.0000	0.0000	0.0000	0.0000
LOC101130137	ZNF582	0.0000	0.0000	0.0000	0.0000
LOC101130137	ZNF583	0.8661	1.0000	0.3583	0.0642
LOC101130137	ZNF607	0.0000	0.0000	0.0000	0.0000
LOC101130137	ZNF665	0.0000	0.0000	0.0000	0.0000
LOC101130137	ZNF891	0.0000	0.0000	0.0000	0.0000
LOC101130401	LOC101137734	0.9086	1.0000	0.2367	0.0519
LOC101130401	LOC101146595	0.0000	0.0000	0.0000	0.0000
LOC101130401	LOC129527528	0.9184	1.0000	0.3747	0.0439
LOC101130401	LOC134756955	0.9148	1.0000	0.2365	0.0492
LOC101130426	LOC101137042	0.9380	1.0000	0.7296	0.0469
LOC101130507	LOC101130877	0.8037	0.7227	1.0055	0.1654
LOC101130507	LOC101133657	0.0000	0.0000	0.0000	0.0000
LOC101130507	LOC101148180	0.0000	0.0000	0.0000	0.0000
LOC101130507	LOC101153725	0.0000	0.0000	0.0000	0.0000
LOC101130507	LOC101154200	0.0000	0.0000	0.0000	0.0000
LOC101130507	LOC109024269	0.0000	0.0000	0.0000	0.0000
LOC101130507	LOC109025073	0.7928	1.0000	0.3148	0.0860
LOC101130507	ZNF124	0.0000	0.0000	0.0000	0.0000
LOC101130507	ZNF136	0.0000	0.0000	0.0000	0.0000
LOC101130507	ZNF14	0.0000	0.0000	0.0000	0.0000
LOC101130507	ZNF426	0.0000	0.0000	0.0000	0.0000
LOC101130507	ZNF433	0.0000	0.0000	0.0000	0.0000
LOC101130507	ZNF440	0.7578	1.0000	1.0320	0.2557
LOC101130507	ZNF443	0.0000	0.0000	0.0000	0.0000
LOC101130507	ZNF490	0.0000	0.0000	0.0000	0.0000
LOC101130507	ZNF563	0.0000	0.0000	0.0000	0.0000
LOC101130507	ZNF564	0.0000	0.0000	0.0000	0.0000
LOC101130507	ZNF627	0.0000	0.0000	0.0000	0.0000
LOC101130507	ZNF669	0.0000	0.0000	0.0000	0.0000
LOC101130507	ZNF77	0.0000	0.0000	0.0000	0.0000
LOC101130507	ZNF799	0.0000	0.0000	0.0000	0.0000
LOC101130507	ZNF823	0.0000	0.0000	0.0000	0.0000
LOC101130542	TCEAL2	0.9295	1.0000	0.2624	0.0275
LOC101130542	TCEAL5	0.9387	1.0000	0.2299	0.0617
LOC101130542	TCEAL6	0.9390	1.0000	0.8272	0.0479
LOC101130677	ZFP37	0.0000	0.0000	0.0000	0.0000
LOC101130677	ZNF157	0.0000	0.0000	0.0000	0.0000
LOC101130677	ZNF180	0.0000	0.0000	0.0000	0.0000
LOC101130677	ZNF334	0.0000	0.0000	0.0000	0.0000
LOC101130677	ZNF33B	0.0000	0.0000	0.0000	0.0000
LOC101130677	ZNF354A	0.0000	0.0000	0.0000	0.0000
LOC101130677	ZNF382	0.0000	0.0000	0.0000	0.0000
LOC101130677	ZNF41	0.0000	0.0000	0.0000	0.0000
LOC101130677	ZNF487	0.0000	0.0000	0.0000	0.0000
LOC101130677	ZNF527	0.0000	0.0000	0.0000	0.0000
LOC101130677	ZNF567	0.0000	0.0000	0.0000	0.0000
LOC101130677	ZNF624	0.0000	0.0000	0.0000	0.0000
LOC101130677	ZNF674	0.0000	0.0000	0.0000	0.0000
LOC101130677	ZNF717	0.0000	0.0000	0.0000	0.0000
LOC101130677	ZNF782	0.0000	0.0000	0.0000	0.0000
LOC101130677	ZNF84	0.0000	0.0000	0.0000	0.0000
LOC101130677	ZNF883	0.0000	0.0000	0.0000	0.0000
LOC101130728	LOC129523520	0.9945	1.0000	0.9993	0.0116
LOC101130728	LOC129529226	0.9972	1.0000	0.4952	0.0070
LOC101130728	LOC129531982	0.9935	1.0000	0.6267	0.0115
LOC101130728	LOC134756437	0.9939	1.0000	1.0000	0.0106
LOC101130728	LOC134758712	0.9952	1.0000	1.0000	0.0100
LOC101130728	LOC134758754	0.9993	1.0000	1.0000	0.0037
LOC101130783	TCAF1	0.0000	0.0000	0.0000	0.0000
LOC101130854	LOC115932779	0.9820	1.0000	0.6580	0.0402
LOC101130854	LOC115932992	0.9387	0.8021	0.7516	0.1959
LOC101130877	LOC101153725	0.0000	0.0000	0.0000	0.0000
LOC101130877	LOC101153837	0.0000	0.0000	0.0000	0.0000
LOC101130877	LOC101154200	0.0000	0.0000	0.0000	0.0000
LOC101130877	LOC109025073	0.6927	1.0000	0.4406	0.2165
LOC101130877	ZNF136	0.0000	0.0000	0.0000	0.0000
LOC101130877	ZNF433	0.7448	1.0000	0.6162	0.1834
LOC101130877	ZNF440	0.8472	1.0000	0.7199	0.0487
LOC101130877	ZNF443	0.0000	0.0000	0.0000	0.0000
LOC101130877	ZNF563	0.0000	0.0000	0.0000	0.0000
LOC101130877	ZNF77	0.0000	0.0000	0.0000	0.0000
LOC101130877	ZNF823	0.0000	0.0000	0.0000	0.0000
LOC101130894	LOC115933167	0.9800	1.0000	0.5428	0.0258
LOC101130894	LOC129523494	0.9053	1.0000	0.1684	0.0173
LOC101130894	LOC129534750	0.9980	1.0000	0.4572	0.0063
LOC101131060	MMP19	0.9190	1.0000	0.6851	0.0000
LOC101131274	LOC101135585	0.8854	1.0000	0.6189	0.0626
LOC101131274	LOC109029488	0.8835	0.5155	0.3517	0.0557
LOC101131274	LOC115930164	0.9806	1.0000	0.9468	0.0176
LOC101131274	LOC115930576	0.9953	1.0000	0.8902	0.0104
LOC101131274	LOC115932735	0.8986	0.5262	0.3175	0.0443
LOC101131274	LOC115932984	0.8842	0.6072	0.9628	0.0610
LOC101131274	LOC115933235	0.8890	1.0000	0.9123	0.1272
LOC101131274	LOC115933241	0.8336	0.8262	0.9913	0.2342
LOC101131274	LOC129525330	0.8850	1.0000	0.5802	0.0605
LOC101131274	LOC129525331	0.8850	1.0000	0.5120	0.0612
LOC101131274	LOC129525599	0.8125	1.0000	0.7752	0.2519
LOC101131274	LOC134756861	0.8805	1.0000	0.7406	0.0603
LOC101131397	LOC101137280	0.9011	1.0000	0.1348	0.0340
LOC101131416	LOC115930154	0.9728	1.0000	1.0110	0.0302
LOC101131460	THOC3	0.9925	1.0000	1.0000	0.0159
LOC101131561	LOC134757427	0.9840	1.0000	0.9448	0.0178
LOC101131674	TUBB	0.0000	0.0000	0.0000	0.0000
LOC101131674	TUBB2A	0.8935	1.0000	0.7565	0.0794
LOC101131674	TUBB4A	0.8948	1.0000	0.7027	0.0821
LOC101131674	TUBB4B	0.8783	1.0000	0.5495	0.0679
LOC101131674	TUBB8	0.0000	0.0000	0.0000	0.0000
LOC101131689	LOC101136640	0.0000	0.0000	0.0000	0.0000
LOC101131689	LOC109024259	0.0000	0.0000	0.0000	0.0000
LOC101131689	ZNF112	0.0000	0.0000	0.0000	0.0000
LOC101131689	ZNF214	0.0000	0.0000	0.0000	0.0000
LOC101131689	ZNF221	0.0000	0.0000	0.0000	0.0000
LOC101131689	ZNF222	0.0000	0.0000	0.0000	0.0000
LOC101131689	ZNF224	0.0000	0.0000	0.0000	0.0000
LOC101131689	ZNF229	0.0000	0.0000	0.0000	0.0000
LOC101131689	ZNF233	0.0000	0.0000	0.0000	0.0000
LOC101131689	ZNF234	0.8695	1.0000	0.3636	0.0795
LOC101131689	ZNF235	0.0000	0.0000	0.0000	0.0000
LOC101131689	ZNF239	0.0000	0.0000	0.0000	0.0000
LOC101131689	ZNF284	0.0000	0.0000	0.0000	0.0000
LOC101131689	ZNF45	0.0000	0.0000	0.0000	0.0000
LOC101131736	OLFM2	0.0000	0.0000	0.0000	0.0000
LOC101131768	LOC101136692	0.9833	1.0000	0.4680	0.0236
LOC101131768	LOC109025447	0.9822	1.0000	0.4680	0.0194
LOC101131768	LOC129531666	0.9831	1.0000	0.9993	0.0170
LOC101131768	LOC129531667	0.9839	1.0000	1.0000	0.0187
LOC101131768	RGPD8	0.9006	1.0000	1.0397	0.0179
LOC101131844	NSUN5	0.8931	1.0000	1.0146	0.0446
LOC101131852	LOC129528486	0.9516	1.0000	0.9314	0.0307
LOC101131852	RPL23A	0.9106	1.0000	0.3695	0.0378
LOC101131923	LOC101142371	0.9880	1.0000	0.2896	0.0129
LOC101131923	RRN3	0.9880	1.0000	0.3323	0.0125
LOC101132303	LOC115935014	0.9445	1.0000	0.6563	0.0507
LOC101132313	SBDS	0.9663	1.0000	1.0070	0.0333
LOC101132325	LOC101148457	0.8087	1.0000	0.3261	0.0788
LOC101132325	MKRN1	0.9328	1.0000	0.4466	0.0324
LOC101132434	LOC101135843	0.9766	1.0000	0.8492	0.0204
LOC101132434	LOC115932815	0.9279	1.0000	0.8948	0.0200
LOC101132445	LOC129529771	1.0000	1.0000	1.0000	0.0000
LOC101132445	LOC129529775	0.9983	1.0000	1.0000	0.0057
LOC101132445	PAGE1	0.0000	0.0000	0.0000	0.0000
LOC101132881	LOC101148191	0.0000	0.0000	0.0000	0.0000
LOC101132881	LOC109023808	0.8385	1.0000	0.5476	0.1324
LOC101132881	LOC115930530	1.0000	1.0000	0.2317	0.0000
LOC101133052	LOC101141025	0.0000	0.0000	0.0000	0.0000
LOC101133052	LOC115935014	0.0000	0.0000	0.0000	0.0000
LOC101133249	LOC109024404	0.8046	1.0000	0.6709	0.1050
LOC101133249	LOC109026441	0.0000	0.0000	0.0000	0.0000
LOC101133249	MCFD2	0.8337	1.0000	0.7510	0.1380
LOC101133440	LOC101137806	0.8431	1.0000	0.7648	0.0334
LOC101133440	LOC101139163	0.8963	1.0000	0.7415	0.0285
LOC101133440	LOC101152938	0.8595	1.0000	0.9446	0.1254
LOC101133440	LOC115934341	0.8992	1.0000	1.0466	0.0487
LOC101133546	LOC101142646	0.0000	0.0000	0.0000	0.0000
LOC101133546	LOC101144471	0.0000	0.0000	0.0000	0.0000
LOC101133546	LOC101144838	0.0000	0.0000	0.0000	0.0000
LOC101133546	LOC101146634	0.0000	0.0000	0.0000	0.0000
LOC101133546	LOC101150965	0.0000	0.0000	0.0000	0.0000
LOC101133546	LOC101152401	0.5959	1.0000	0.6957	0.1004
LOC101133546	LOC101153126	0.0000	0.0000	0.0000	0.0000
LOC101133546	LOC101153131	0.0000	0.0000	0.0000	0.0000
LOC101133546	LOC109024216	0.7634	1.0000	0.9486	0.2418
LOC101133546	LOC115931654	0.8276	0.6580	0.6801	0.1797
LOC101133546	LOC129527827	0.0000	0.0000	0.0000	0.0000
LOC101133546	ZNF254	0.0000	0.0000	0.0000	0.0000
LOC101133546	ZNF28	0.8145	0.5982	0.5968	0.1177
LOC101133546	ZNF415	0.0000	0.0000	0.0000	0.0000
LOC101133546	ZNF429	0.0000	0.0000	0.0000	0.0000
LOC101133546	ZNF468	0.8092	0.5735	0.6853	0.0899
LOC101133546	ZNF480	0.0000	0.0000	0.0000	0.0000
LOC101133546	ZNF506	0.0000	0.0000	0.0000	0.0000
LOC101133546	ZNF578	0.6703	1.0000	0.4132	0.0980
LOC101133546	ZNF600	0.6385	0.5711	0.5903	0.0548
LOC101133546	ZNF611	0.6567	0.5935	0.6207	0.0665
LOC101133546	ZNF681	0.0000	0.0000	0.0000	0.0000
LOC101133546	ZNF682	0.0000	0.0000	0.0000	0.0000
LOC101133546	ZNF695	0.0000	0.0000	0.0000	0.0000
LOC101133546	ZNF701	0.5746	1.0000	1.0154	0.0676
LOC101133546	ZNF761	0.7942	1.0000	1.0848	0.2907
LOC101133546	ZNF808	0.8658	0.5008	0.3778	0.0492
LOC101133546	ZNF813	0.6980	0.6913	0.8866	0.3242
LOC101133546	ZNF83	0.0000	0.0000	0.0000	0.0000
LOC101133546	ZNF888	0.6753	0.6624	0.5346	0.0736
LOC101133657	LOC101153725	0.0000	0.0000	0.0000	0.0000
LOC101133657	LOC101153837	0.0000	0.0000	0.0000	0.0000
LOC101133657	LOC101154200	0.8719	1.0000	0.3481	0.0503
LOC101133657	LOC109024269	0.0000	0.0000	0.0000	0.0000
LOC101133657	LOC109025073	0.0000	0.0000	0.0000	0.0000
LOC101133657	ZNF136	0.0000	0.0000	0.0000	0.0000
LOC101133657	ZNF433	0.0000	0.0000	0.0000	0.0000
LOC101133657	ZNF440	0.0000	0.0000	0.0000	0.0000
LOC101133657	ZNF443	0.8575	1.0000	0.4934	0.0499
LOC101133657	ZNF563	0.7681	1.0000	0.4922	0.2857
LOC101133657	ZNF564	0.0000	0.0000	0.0000	0.0000
LOC101133657	ZNF627	0.0000	0.0000	0.0000	0.0000
LOC101133657	ZNF669	0.0000	0.0000	0.0000	0.0000
LOC101133657	ZNF791	0.0000	0.0000	0.0000	0.0000
LOC101133657	ZNF799	0.8970	1.0000	0.3306	0.0497
LOC101133657	ZNF823	0.8928	1.0000	0.6384	0.0526
LOC101133668	LOC101136009	0.0000	0.0000	0.0000	0.0000
LOC101133668	LOC101137462	0.0000	0.0000	0.0000	0.0000
LOC101133668	LOC101141027	0.0000	0.0000	0.0000	0.0000
LOC101133668	LOC101142646	0.0000	0.0000	0.0000	0.0000
LOC101133668	LOC101144119	0.0000	0.0000	0.0000	0.0000
LOC101133668	LOC101144838	0.0000	0.0000	0.0000	0.0000
LOC101133668	LOC101145945	0.7255	1.0000	0.4346	0.2056
LOC101133668	LOC101146634	0.0000	0.0000	0.0000	0.0000
LOC101133668	LOC101147715	0.0000	0.0000	0.0000	0.0000
LOC101133668	LOC101153126	0.0000	0.0000	0.0000	0.0000
LOC101133668	LOC109024216	0.0000	0.0000	0.0000	0.0000
LOC101133668	LOC109026610	0.0000	0.0000	0.0000	0.0000
LOC101133668	LOC115930172	0.0000	0.0000	0.0000	0.0000
LOC101133668	LOC115931567	0.0000	0.0000	0.0000	0.0000
LOC101133668	LOC115931568	0.0000	0.0000	0.0000	0.0000
LOC101133668	LOC115931576	0.0000	0.0000	0.0000	0.0000
LOC101133668	LOC129527827	0.0000	0.0000	0.0000	0.0000
LOC101133668	LOC129528947	0.7924	1.0000	0.4007	0.0437
LOC101133668	ZNF141	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF254	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF267	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF273	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF429	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF43	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF430	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF468	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF486	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF506	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF519	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF595	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF600	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF626	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF675	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF678	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF680	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF682	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF695	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF721	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF723	0.8382	1.0000	0.5017	0.0573
LOC101133668	ZNF727	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF736	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF91	0.0000	0.0000	0.0000	0.0000
LOC101133668	ZNF92	0.8408	1.0000	0.3886	0.0501
LOC101133699	NUTF2	0.9051	1.0000	0.3828	0.0922
LOC101133995	LOC101140641	0.0000	0.0000	0.0000	0.0000
LOC101134045	LOC129526638	0.7996	1.0000	0.6642	0.0507
LOC101134115	TMEM14B	0.8912	1.0000	0.7454	0.0512
LOC101134145	LOC129532639	0.0000	0.0000	0.0000	0.0000
LOC101134211	MT3	0.0000	0.0000	0.0000	0.0000
LOC101134596	PI4KA	0.9859	1.0000	0.6088	0.0177
LOC101135168	LOC115933002	0.9971	1.0000	0.4235	0.0038
LOC101135168	LOC115934626	0.9929	1.0000	0.9453	0.0212
LOC101135168	LRRC37A3	0.8595	1.0000	0.7408	0.2894
LOC101135276	LOC115931069	0.8565	1.0000	0.9369	0.2489
LOC101135276	LOC129527586	0.8839	1.0000	0.9227	0.2442
LOC101135276	SMG1	0.8778	1.0000	0.7029	0.2749
LOC101135415	LOC101137832	0.0000	0.0000	0.0000	0.0000
LOC101135415	LOC101153526	0.0000	0.0000	0.0000	0.0000
