family_stem	modal_gene	copies_chimp	copies_gorilla	copies_orang	sample_paralogs
CNTNAP	CNTNAP3	2	0	0	CNTNAP3,CNTNAP4
PHF	PHF24	2	0	0	PHF24,FAM205A
AQP	AQP7	2	0	0	AQP7
LAGE	LAGE3	2	2	0	LAGE3,DNAJA1
RANBP	RANBP6	2	2	0	RANBP6,IPO5
SMARCA	SMARCA2	2	0	2	SMARCA2,SMARCA4
CKAP	CKAP2L	2	0	0	CKAP2L,IL36G,SIRPG
TEKT	TEKT4	2	0	0	TEKT4
FUNDC	FUNDC2	2	0	0	FUNDC2,F8
PPP4R	PPP4R3B	2	2	0	PPP4R3B,PPP4R3A
ATP6V1E	ATP6V1E2	2	0	0	ATP6V1E2,ATP6V1E1,SLC25A18
MAP4K	MAP4K3	2	0	0	MAP4K3,ATL1,MAP4K5
CLASP	CLASP1	2	0	0	CLASP1,CLASP2
RBMS	RBMS1	2	0	0	RBMS1,RBMS3
TLK	TLK1	2	2	0	TLK1,TLK2
SP	SP3	2	0	0	SP3
ATP5MC	ATP5MC3	2	0	0	ATP5MC3,RPS15A
ZNF	ZNF385B	2	0	2	ZNF385B,TXNL4A,ZNF385D
PLCL	PLCL1	2	2	0	PLCL1,PLCL2
BMPR	BMPR2	2	0	0	BMPR2
USP	USP37	2	2	0	USP37,USP29
MSL	MSL3	2	2	2	MSL3
PER	PER2	2	0	0	PER2,PER1
HDAC	HDAC4	2	0	0	HDAC4,HDAC5
ARL2BP	ARL2BP	2	0	0	ARL2BP
LSM	LSM14A	2	0	0	LSM14A
INTS	INTS6L	2	2	2	INTS6L,INTS6,SAGE1
DNAJC	DNAJC3	2	0	0	DNAJC3
DOCK	DOCK9	2	2	0	DOCK9,DOCK11
SLC7A	SLC7A7	2	0	0	SLC7A7,OXA1L,SLC7A6OS,SLC7A6
SEC	SEC23A	2	2	2	SEC23A,SEC23B
BTBD	BTBD6	2	0	0	BTBD6,BRF1,BTBD3
SNURF	SNURF	2	2	2	SNURF,SNRPB,SNRPN
CCDC	CCDC32	2	0	2	CCDC32
MAPKBP	MAPKBP1	2	0	0	MAPKBP1
TUBGCP	TUBGCP4	2	0	0	TUBGCP4,ZSCAN29,ZKSCAN2
MORF4L	MORF4L1	2	2	2	MORF4L1,MORF4L2
TTLL	TTLL13	2	0	0	TTLL13,TTLL6
PMM	PMM2	2	0	0	PMM2
HAGH	HAGH	2	0	0	HAGH
PKD	PKD1	2	0	0	PKD1
PDPK	PDPK1	2	0	2	PDPK1
ZSCAN	ZSCAN32	2	0	0	ZSCAN32,MTRNR2L4
C16H16orf	C16H16orf90	2	0	0	C16H16orf90,RPL18
MGRN	MGRN1	2	0	0	MGRN1
SEPTIN	SEPTIN12	2	0	2	SEPTIN12,SEPTIN9,SMIM22
GSPT	GSPT1	2	0	0	GSPT1,GSPT2
RRN	RRN3	2	2	0	RRN3,SPN,TRNAV-UAC
TNRC	TNRC6A	2	0	0	TNRC6A,TNRC6C
ALDOA	ALDOA	2	2	2	ALDOA,ALDOC
ZNF	ZNF747	2	0	0	ZNF747,ZNF764
RUSF	RUSF1	2	0	0	RUSF1,SLC5A2
CSNK2A	CSNK2A2	2	0	2	CSNK2A2,CSNK2A1
DPEP	DPEP3	2	2	2	DPEP3,DPEP2
NIP	NIP7	2	0	0	NIP7,COG8
IST	IST1	2	0	0	IST1,PKD1L3
DDX	DDX19A	2	2	2	DDX19A,DDX19B
DEF	DEF8	2	0	0	DEF8
MED	MED31	2	0	0	MED31,TXNDC17,C19H17orf100
MPDU	MPDU1	2	0	0	MPDU1,CD68,SOX15
NAA	NAA38	2	0	2	NAA38,CYB5D1
EFCAB	EFCAB13	2	0	0	EFCAB13,MRPL45
STAT	STAT5A	2	0	0	STAT5A,STAT5B
KAT	KAT2A	2	0	0	KAT2A,KAT2B
KRT	KRT34	2	0	0	KRT34,KRT33A
AP2B	AP2B1	2	2	2	AP2B1,AP1B1
LINC	LINC02693	2	0	0	LINC02693
DRG	DRG2	2	0	0	DRG2
FBXW	FBXW10	2	0	0	FBXW10,FBXW10B
DNAH	DNAH9	2	0	0	DNAH9,DNAH17,PGS1
RANGRF	RANGRF	2	0	0	RANGRF,SLC25A35
NME	NME1	2	0	0	NME1
IGBP	IGBP1C	2	0	2	IGBP1C,IGBP1,TEX14
CLTC	CLTC	2	2	0	CLTC,CLTCL1
AMZ	AMZ2	2	2	2	AMZ2,ARSG
CSNK	CSNK1D	2	0	0	CSNK1D,CSNK1E
FN3KRP	FN3KRP	2	0	0	FN3KRP,FN3K
CNN	CNN2	2	2	2	CNN2,CNN1
SAFB	SAFB2	2	2	2	SAFB2,SAFB
AP1M	AP1M2	2	2	0	AP1M2,AP1M1
GEMIN	GEMIN7	2	0	0	GEMIN7
NAPA	NAPA	2	2	0	NAPA,NAPB
MED	MED25	2	0	0	MED25,PNKP,PTOV1
NLRP	NLRP7	2	2	0	NLRP7,NLRP2
ZBED	ZBED1	2	2	0	ZBED1,DHRSX
PHKA	PHKA2	2	2	0	PHKA2,PHKA1
EIF1AX	EIF1AX	2	2	2	EIF1AX,EIF1AY
DDX	DDX3X	2	2	2	DDX3X,DDX3Y
MAOA	MAOA	2	2	0	MAOA,MAOB
SSX	SSX3	2	0	0	SSX3
NLGN	NLGN3	2	0	0	NLGN3,NLGN4Y
DMRTC	DMRTC1B	2	2	0	DMRTC1B,FAM236B
CT	CT83	2	0	2	CT83
TEX	TEX13D	2	0	0	TEX13D,TEX13C
ATP	ATP11C	2	0	0	ATP11C,ATP11B
CXHXorf	CXHXorf51B	2	0	0	CXHXorf51B,CXHXorf51A
PNMA	PNMA5	2	0	2	PNMA5,PNMA3
TKTL	TKTL1	2	0	2	TKTL1,TKT,TEX28
PRSS	PRSS43P	2	0	0	PRSS43P,PRSS45,PRSS42
IQCF	IQCF3	2	0	2	IQCF3,IQCF2
GLT8D	GLT8D1	2	2	0	GLT8D1,GNL3,PBRM1,SPCS1
NUDT	NUDT16	2	0	0	NUDT16
PLSCR	PLSCR2	2	0	0	PLSCR2,PLSCR1
DGCR	DGCR6L	2	2	2	DGCR6L,DGCR6,PRODH
TMEM	TMEM191C	2	0	0	TMEM191C
MIF	MIF	2	0	0	MIF
SERHL	SERHL2	2	2	0	SERHL2,RRP7A
NOM	NOM1	0	2	0	NOM1
DUSP	DUSP5	0	2	0	DUSP5
COQ	COQ8A	0	2	2	COQ8A,COQ8B
JMJD	JMJD4	0	2	0	JMJD4
TMCC	TMCC2	0	2	0	TMCC2,TMCC1
TOMM	TOMM40L	0	2	0	TOMM40L,NR1I3,TOMM40
IFI	IFI16	0	2	0	IFI16,MNDA
C1H1orf	C1H1orf56	0	2	0	C1H1orf56,CDC42SE1,MLLT11
GPR	GPR89A	0	2	0	GPR89A
RHOC	RHOC	0	2	0	RHOC,MOV10
DRAM	DRAM2	0	2	0	DRAM2,CEPT1,SYCP3,CHPT1
AHCYL	AHCYL1	0	2	0	AHCYL1,AHCYL2
GNAT	GNAT2	0	2	0	GNAT2,AMPD2,AMPD3
IFI	IFI44	0	2	0	IFI44,IFI44L
PGM	PGM1	0	2	0	PGM1,PGM5
LRRC	LRRC41	0	2	0	LRRC41,AIF1
MAST	MAST2	0	2	0	MAST2,MAST4
ZSWIM	ZSWIM5	0	2	0	ZSWIM5,ZSWIM6
CTPS	CTPS1	0	2	0	CTPS1,S100G,CTPS2
LCK	LCK	0	2	0	LCK,LYN
PUM	PUM1	0	2	0	PUM1,PUM2
XKR	XKR8	0	2	2	XKR8
HMGN	HMGN2	0	2	0	HMGN2,BLOC1S6
DVL	DVL2	0	2	2	DVL2,TAS1R3,DVL1,DVL3
DOK	DOK7	0	2	0	DOK7
STK	STK32B	0	2	0	STK32B,STK32C
ATP8A	ATP8A1	0	2	0	ATP8A1,ATP8A2
SLAIN	SLAIN2	0	2	0	SLAIN2,MTHFS
MAPK	MAPK10	0	2	0	MAPK10,MAPK8,ARHGAP22
ADH	ADH1B	0	2	0	ADH1B
OSTC	OSTC	0	2	0	OSTC,LIG3
TBC1D	TBC1D9	0	2	0	TBC1D9,TBC1D9B
ARHGAP	ARHGAP10	0	2	0	ARHGAP10,ARHGAP42
LRBA	LRBA	0	2	0	LRBA,MAB21L1,NBEA
TRIM	TRIM2	0	2	0	TRIM2,TRIM3
PPID	PPID	0	2	0	PPID,ETFDH
ABCA	ABCA9	0	2	0	ABCA9,ABCA8
DHX	DHX40	0	2	0	DHX40
TUBD	TUBD1	0	2	0	TUBD1,RPS6KB1
WFIKKN	WFIKKN2	0	2	0	WFIKKN2,WFIKKN1
PLCD	PLCD3	0	2	0	PLCD3,PLCD1
FBXL	FBXL20	0	2	2	FBXL20,FBXL2
SLFN	SLFN11	0	2	0	SLFN11,SLFN5
CCL	CCL8	0	2	0	CCL8
CCDC	CCDC144A	0	2	0	CCDC144A
ALDH3A	ALDH3A1	0	2	2	ALDH3A1,ALDH3A2
EPB41L	EPB41L4A	0	2	0	EPB41L4A
FBN	FBN2	0	2	0	FBN2,FBN1
SLC22A	SLC22A4	0	2	0	SLC22A4,SLC22A5
DND	DND1	0	2	0	DND1,WDR55
THOC	THOC3	0	2	0	THOC3
FGFR	FGFR4	0	2	0	FGFR4,FGFR1
GRK	GRK6	0	2	0	GRK6,GRK5
CLK	CLK4	0	2	2	CLK4,CLK1
GFOD	GFOD1	0	2	2	GFOD1,GFOD2
BTN3A	BTN3A1	0	2	0	BTN3A1
ZSCAN	ZSCAN9	0	2	2	ZSCAN9,ZSCAN12
EHMT	EHMT2	0	2	0	EHMT2,EHMT1
TEAD	TEAD3	0	2	0	TEAD3,TEAD4
ADGRF	ADGRF5	0	2	0	ADGRF5
KHDRBS	KHDRBS2	0	2	0	KHDRBS2,KHDRBS3
TSPYL	TSPYL4	0	2	0	TSPYL4,TSPYL1
OSBPL	OSBPL3	0	2	0	OSBPL3,OSBPL6
YAE	YAE1	0	2	0	YAE1
UPK3BL	UPK3BL1	0	2	0	UPK3BL1
GALNT	GALNT17	0	2	0	GALNT17
TMEM	TMEM120A	0	2	0	TMEM120A,TMEM120B
PTPRZ	PTPRZ1	0	2	0	PTPRZ1,PTPRG
MKRN	MKRN1	0	2	0	MKRN1
SLC4A	SLC4A2	0	2	0	SLC4A2,SLC4A3
TNFRSF	TNFRSF10D	0	2	0	TNFRSF10D
DOCK	DOCK5	0	2	0	DOCK5,DOCK1
FABP	FABP4	0	2	0	FABP4,PMP2
ZNF	ZNF16	0	2	0	ZNF16,ZNF19
SLC35F	SLC35F5	0	2	0	SLC35F5
PPIF	PPIF	0	2	0	PPIF
DDX	DDX21	0	2	2	DDX21,DDX50
WASHC	WASHC2C	0	2	0	WASHC2C
ZNF	ZNF33B	0	2	0	ZNF33B
EXOC	EXOC6	0	2	0	EXOC6,EXOC6B
SORCS	SORCS3	0	2	2	SORCS3,SORCS1
MICAL	MICAL2	0	2	0	MICAL2,MICAL3
FADS	FADS2	0	2	2	FADS2,FADS3
SPTBN	SPTBN2	0	2	0	SPTBN2,SPTBN1
ANO	ANO1	0	2	0	ANO1,ANO2
MIR	MIR326	0	2	0	MIR326,ARRB1,ARRB2
ANKRD	ANKRD42	0	2	0	ANKRD42,RPL32
NAALAD	NAALAD2	0	2	0	NAALAD2
MTMR	MTMR2	0	2	0	MTMR2,CEP57
TIMM	TIMM8B	0	2	0	TIMM8B,NKAPD1
KMT	KMT2A	0	2	0	KMT2A,KMT2B
SORL	SORL1	0	2	0	SORL1
TSPAN	TSPAN31	0	2	0	TSPAN31,CDK4,MARCHF9
SMARCC	SMARCC2	0	2	0	SMARCC2,SMARCC1
GXYLT	GXYLT1	0	2	0	GXYLT1
BICD	BICD1	0	2	0	BICD1,BICD2
KRAS	KRAS	0	2	0	KRAS,ETFRF1
CAMKK	CAMKK2	0	2	0	CAMKK2,CAMKK1
GALNT	GALNT13	0	2	0	GALNT13,GALNT1
POLR	POLR3K	0	2	0	POLR3K
FOXO	FOXO1	0	2	0	FOXO1
IL	IL37	0	2	0	IL37,XIAP
TLN	TLN1	0	2	0	TLN1,MIR190A,TLN2
DAPK	DAPK1	0	2	0	DAPK1
RAD	RAD23B	0	2	0	RAD23B,RAD23A
TXN	TXN	0	2	0	TXN
CERCAM	CERCAM	0	2	0	CERCAM,COLGALT1
PNPLA	PNPLA7	0	2	2	PNPLA7,PNPLA6
GGT	GGT1	0	2	0	GGT1
ZMYM	ZMYM5	0	2	2	ZMYM5,ZMYM2
UTP	UTP14C	0	2	0	UTP14C,ALG11,UTP14A
SDR39U	SDR39U1	0	2	0	SDR39U1,KHNYN
RPL	RPL10L	0	2	0	RPL10L,RPL10
IFI27L	IFI27L1	0	2	2	IFI27L1,IFI27L2,IFI27
TUBGCP	TUBGCP5	0	2	0	TUBGCP5
LDHAL	LDHAL6B	0	2	0	LDHAL6B,MYO1E,MYO1F
SNAPC	SNAPC5	0	2	2	SNAPC5,MAP2K1,MAP2K2
BTBD	BTBD1	0	2	0	BTBD1,BTBD2
TARS	TARS3	0	2	0	TARS3,TARS1
CHMP	CHMP1B	0	2	0	CHMP1B,GNAL,GNAS
ATP	ATP9B	0	2	0	ATP9B,ATP9A
ZNF	ZNF75A	0	2	0	ZNF75A,ZNF75D
KDM	KDM8	0	2	0	KDM8
MAPK	MAPK3	0	2	0	MAPK3,MAPK1
BFAR	BFAR	0	2	0	BFAR
CES	CES1	0	2	0	CES1
SGSM	SGSM2	0	2	0	SGSM2,TSR1,SGSM1
CDH	CDH6	0	2	0	CDH6
SLC1A	SLC1A3	0	2	0	SLC1A3,SLC1A6
CPLANE	CPLANE1	0	2	0	CPLANE1
DMRTC	DMRTC2	0	2	0	DMRTC2,LYPD4
ERCC	ERCC1	0	2	0	ERCC1,POLR1G
RFPL	RFPL3	0	2	2	RFPL3
SH3KBP	SH3KBP1	0	2	0	SH3KBP1
TMEM	TMEM230	0	2	0	TMEM230
NAA	NAA20	0	2	0	NAA20,CFAP61,CRNKL1
CBR	CBR1	0	2	0	CBR1,CBR3
CD	CD99	0	2	0	CD99
TMSB	TMSB4X	0	2	2	TMSB4X
SCML	SCML1	0	2	0	SCML1,SCML2
ZFX	ZFX	0	2	0	ZFX,ZFY
SLC9A	SLC9A7	0	2	0	SLC9A7,CHST7,SLC9A6
NUDT	NUDT10	0	2	0	NUDT10
KDM	KDM5C	0	2	0	KDM5C,KDM5D
GPRASP	GPRASP2	0	2	0	GPRASP2,GPRASP1
TCEAL	TCEAL8	0	2	2	TCEAL8,TCEAL7
RPL	RPL39	0	2	2	RPL39,RPL39L
MAGEC	MAGEC1	0	2	0	MAGEC1
TMEM	TMEM185A	0	2	0	TMEM185A
IKBKG	IKBKG	0	2	0	IKBKG,G6PD
CRBN	CRBN	0	2	0	CRBN,TRNT1
RAF	RAF1	0	2	0	RAF1,MKRN2
NKIRAS	NKIRAS1	0	2	0	NKIRAS1,UBE2E1,RPL15
LIMD	LIMD1	0	2	0	LIMD1
ALG1L	ALG1L1P	0	2	0	ALG1L1P
LIMK	LIMK2	0	2	0	LIMK2,PIK3IP1
APOBEC	APOBEC3C	0	2	0	APOBEC3C,APOBEC3F
NCAPH	NCAPH2	0	2	0	NCAPH2
ARID	ARID4B	0	0	2	ARID4B,GGPS1,ARID4A
GARIN	GARIN4	0	0	2	GARIN4,GARIN3
PLXNA	PLXNA2	0	0	2	PLXNA2,PLXNA1
RPS	RPS27	0	0	2	RPS27,RPS27L
PIP5K	PIP5K1A	0	0	2	PIP5K1A,PABIR1,PIP5K1B
RPL	RPL21	0	0	2	RPL21
TRNAH-GUG	TRNAH-GUG	0	0	2	TRNAH-GUG
DPYD	DPYD	0	0	2	DPYD,SVIP,CCDC179
PIK3R	PIK3R3	0	0	2	PIK3R3,P3R3URF,PIK3R1
MYCBP	MYCBP	0	0	2	MYCBP,GJA9
MAGT	MAGT1	0	0	2	MAGT1
AGO	AGO3	0	0	2	AGO3,AGO2
CLCNKB	CLCNKB	0	0	2	CLCNKB
ATAD	ATAD3B	0	0	2	ATAD3B
STX	STX18	0	0	2	STX18,EFCAB5
MED	MED28	0	0	2	MED28
PAICS	PAICS	0	0	2	PAICS
SGMS	SGMS2	0	0	2	SGMS2,HADH
DCHS	DCHS2	0	0	2	DCHS2
TMEM	TMEM144	0	0	2	TMEM144
SELENOP	SELENOP	0	0	2	SELENOP,CCDC152
HINT	HINT1	0	0	2	HINT1,LSM2,VARS1
CD	CD14	0	0	2	CD14,TMCO6
NOP	NOP16	0	0	2	NOP16,HIGD2A,BBS4,HIGD2B
TRNAA-AGC	TRNAA-AGC	0	0	2	TRNAA-AGC,TRNAI-AAU
STK	STK38	0	0	2	STK38,STK38L
DSE	DSE	0	0	2	DSE,RPS5
TCP	TCP10L	0	0	2	TCP10L
PMS	PMS2	0	0	2	PMS2
NPTX	NPTX2	0	0	2	NPTX2,NPTX1
ARPC	ARPC1A	0	0	2	ARPC1A,ARPC1B
ZSCAN	ZSCAN25	0	0	2	ZSCAN25
TRIM	TRIM50	0	0	2	TRIM50,FKBP6
BZW	BZW2	0	0	2	BZW2,BZW1
ASNS	ASNS	0	0	2	ASNS
MRPS	MRPS33	0	0	2	MRPS33
DLGAP	DLGAP2	0	0	2	DLGAP2,DLGAP1
DLC	DLC1	0	0	2	DLC1,STARD13
ERLIN	ERLIN2	0	0	2	ERLIN2,ERLIN1
ADAM	ADAM18	0	0	2	ADAM18
ZNF	ZNF638	0	0	2	ZNF638
SLC52A	SLC52A2	0	0	2	SLC52A2,FBXL6,SLC52A1
CELF	CELF2	0	0	2	CELF2,CELF1
SFXN	SFXN3	0	0	2	SFXN3,MRPL52
SHOC	SHOC2	0	0	2	SHOC2,RPL13A
FAM	FAM24B	0	0	2	FAM24B,FAM24A
NAP1L	NAP1L4	0	0	2	NAP1L4,NAP1L1
NRXN	NRXN2	0	0	2	NRXN2,NRXN1
B3GAT	B3GAT3	0	0	2	B3GAT3,TRIM59
CADM	CADM1	0	0	2	CADM1
YBX	YBX3	0	0	2	YBX3
SMIM10L	SMIM10L1	0	0	2	SMIM10L1
RECQL	RECQL	0	0	2	RECQL,PYROXD1
FAIM	FAIM2	0	0	2	FAIM2,TMBIM1,PNKD
ACVR	ACVR1B	0	0	2	ACVR1B,TGFBR1
PCBP	PCBP2	0	0	2	PCBP2,PCBP3
ORMDL	ORMDL2	0	0	2	ORMDL2,SARNP,ORMDL3
ZC3H	ZC3H10	0	0	2	ZC3H10
SHMT	SHMT2	0	0	2	SHMT2,SMCR8,SHMT1
DYNLL	DYNLL1	0	0	2	DYNLL1,DYNLL2
CCDC	CCDC74B	0	0	2	CCDC74B
SMPD	SMPD4	0	0	2	SMPD4
SPOPL	SPOPL	0	0	2	SPOPL,SPOP
NBEAL	NBEAL1	0	0	2	NBEAL1
ACSL	ACSL3	0	0	2	ACSL3,ACSL4
GPAT	GPAT2	0	0	2	GPAT2
MAP4K	MAP4K4	0	0	2	MAP4K4,TNIK
PAPOLG	PAPOLG	0	0	2	PAPOLG,PAPOLA
KIF	KIF3C	0	0	2	KIF3C,KIF3B
TOPORS	TOPORS	0	0	2	TOPORS,SMIM27
RORB	RORB	0	0	2	RORB,RORA
RPL	RPL12	0	0	2	RPL12,CHRM5,AVEN
MIPEP	MIPEP	0	0	2	MIPEP
SUGT	SUGT1	0	0	2	SUGT1
CUL	CUL4A	0	0	2	CUL4A,CUL4B
FLVCR	FLVCR2	0	0	2	FLVCR2
VASH	VASH1	0	0	2	VASH1
ATXN	ATXN3	0	0	2	ATXN3,ATXN3L
WHAMM	WHAMM	0	0	2	WHAMM
ARID	ARID3B	0	0	2	ARID3B,ARID3A
PIEZO	PIEZO2	0	0	2	PIEZO2,MATCAP1,NOL3
CDH	CDH2	0	0	2	CDH2,CDH4
JMJD	JMJD8	0	0	2	JMJD8,STUB1
NDUFB	NDUFB10	0	0	2	NDUFB10,RPL3L,RPL3
DYNC1LI	DYNC1LI2	0	0	2	DYNC1LI2,DYNC1LI1
MIS	MIS12	0	0	2	MIS12,DERL2,DERL3
NF	NF1	0	0	2	NF1
KRT	KRT15	0	0	2	KRT15,KRT19
PSMC3IP	PSMC3IP	0	0	2	PSMC3IP,MLX
MAP3K	MAP3K14	0	0	2	MAP3K14,KIAA1143,KIF15
GGA	GGA3	0	0	2	GGA3,GGA1
MFSD	MFSD11	0	0	2	MFSD11,SRSF2,METTL23
TRMT	TRMT1	0	0	2	TRMT1
RAD54L	RAD54L2	0	0	2	RAD54L2
TBCB	TBCB	0	0	2	TBCB,POLR2I,OVOL3
FAM	FAM209B	0	0	2	FAM209B
ASMTL	ASMTL	0	0	2	ASMTL
PCYT	PCYT1B	0	0	2	PCYT1B,PCYT1A
PAGE	PAGE5	0	0	2	PAGE5
PABPC1L	PABPC1L2B	0	0	2	PABPC1L2B
EBLN	EBLN2	0	0	2	EBLN2,PPP4R2
RPL	RPL29	0	0	2	RPL29
IQCF	IQCF5	0	0	2	IQCF5,IQCF1
NCEH	NCEH1	0	0	2	NCEH1
TST	TST	0	0	2	TST,MPST
