Gene Name	ENSEMBL	Gene ID	Biotype	In Table S1 (SD98 gene set)	SD Unit	Median famCN	No. Assigned Families	Family ID	Family MAD	No. Family Members	No. Protein Coding	No. Unprocessed Pseudogene	Max famCN Great Apes	Min famCN Great Apes	famCN Status per Paralog	Non-Syntenic with Chimpanzee	parCN Category	Fetal brain Expression
SEPTIN14P4	ENSG00000251155.2	CHM13_G0042695	processed_pseudogene	No	.	N/A	2	ID_100	0.4633905	19.0	0.0	6.0	N/A	N/A	N/A	N/A	N/A	N/A
SEPTIN14P8	ENSG00000255464.1	CHM13_G0007794	unprocessed_pseudogene	Yes	.	38.085332	1	ID_100	0.4633905	19.0	0.0	6.0	56.334255	2.4292016	Undetermined	-	Polymorphic	Yes
SEPTIN14P8	ENSG00000255464.1	LOFF_G0002281	unprocessed_pseudogene	Yes	.	38.1918325	1	ID_100	0.4633905	19.0	0.0	6.0	57.54546	2.375486	Undetermined	-	Nearly-Fixed	No
AC073107.1	ENSG00000272693.4	CHM13_G0050915	transcribed_unprocessed_pseudogene	Yes	SD4563,SD4862,SD5097,SD5098,SD6495,SD7403,SD7431	5.30496055	1	ID_101	0.6978975	12.0	0.0	1.0	7.3302413	2.1673447	Expanded in great apes	-	Fixed	Yes
AC137761.1	ENSG00000260158.1	CHM13_G0021383	lncRNA	No	.	N/A	2	ID_101	0.6978975	12.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC137761.1	ENSG00000260158.1	LOFF_G0001131	lncRNA	No	.	N/A	2	ID_101	0.6978975	12.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC138907.7	ENSG00000261569.5	CHM13_G0021401	lncRNA	No	SD4444,SD7594	N/A	2	ID_101	0.6978975	12.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC141257.2	ENSG00000261507.1	CHM13_G0021357	lncRNA	No	SD4444,SD7594	N/A	2	ID_101	0.6978975	12.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC145350.2	ENSG00000260141.1	CHM13_G0021366	lncRNA	No	SD5355,SD7415,SD7417,SD7418,SD7420,SD7421,SD7422,SD7423,SD7424,SD7425,SD7426,SD7925	N/A	3	ID_101	0.6978975	12.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
LINC02799	ENSG00000235887.2	CHM13_G0002870	lncRNA	No	.	N/A	2	ID_101	0.6978975	12.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
LINC02799	ENSG00000235887.2	LOFF_G0000095	lncRNA	No	.	N/A	2	ID_101	0.6978975	12.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
LINC02799	ENSG00000235887.2	LOFF_G0000104	lncRNA	No	.	N/A	2	ID_101	0.6978975	12.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
LINC02799	ENSG00000235887.2	LOFF_G0000112	lncRNA	No	.	N/A	2	ID_101	0.6978975	12.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
LINC02799	ENSG00000235887.2	LOFF_G0002409	lncRNA	No	.	N/A	2	ID_101	0.6978975	12.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
LINC02799	ENSG00000235887.2	LOFF_G0002413	lncRNA	No	.	N/A	2	ID_101	0.6978975	12.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC073107.2	ENSG00000275833.1	CHM13_G0050920	unprocessed_pseudogene	Yes	.	3.82137275	1	ID_102	0.09409975	2.0	0.0	2.0	4.1642537	2.68132665	Expanded in great apes	-	Fixed	Yes
AC073210.1	ENSG00000227113.2	CHM13_G0050901	unprocessed_pseudogene	Yes	.	3.63317325	1	ID_102	0.09409975	2.0	0.0	2.0	4.0348663	2.336983	Expanded in great apes	-	Fixed	Yes
AC073135.1	ENSG00000236246.2	CHM13_G0041001	unprocessed_pseudogene	Yes	SD7364,SD7365,SD7370	7.8058905	1	ID_103	0.38920387	7.0	0.0	7.0	13.927137	6.309455	Expanded in great apes	-	Polymorphic	No
AL591424.3	ENSG00000278130.1	CHM13_G0057490	unprocessed_pseudogene	Yes	SD7364,SD7365,SD7370,SD7371	8.385502	1	ID_103	0.38920387	7.0	0.0	7.0	15.960028	6.0181284	Expanded in great apes	-	Nearly-Fixed	No
AL713922.1	ENSG00000237297.1	CHM13_G0005441	unprocessed_pseudogene	Yes	SD7364,SD7365,SD7370,SD7371	9.387318	1	ID_103	0.38920387	7.0	0.0	7.0	14.550726	6.6856704	Expanded in great apes	-	Nearly-Fixed	No
AP001005.1	ENSG00000262181.2	CHM13_G0025726	unprocessed_pseudogene	Yes	SD7364,SD7365,SD7370	9.60783925	1	ID_103	0.38920387	7.0	0.0	7.0	17.6631565	7.595793	Expanded in great apes	-	Polymorphic	No
AP001005.1	ENSG00000262181.2	LOFF_G0001357	unprocessed_pseudogene	Yes	SD7364,SD7365,SD7370	9.791516	1	ID_103	0.38920387	7.0	0.0	7.0	17.918892	7.659325	Expanded in great apes	-	Polymorphic	No
AP001005.1	ENSG00000262181.2	LOFF_G0001361	unprocessed_pseudogene	Yes	SD7364,SD7365,SD7370	9.03708925	1	ID_103	0.38920387	7.0	0.0	7.0	16.5908145	7.579684	Expanded in great apes	-	Polymorphic	No
AP001005.1	ENSG00000262181.2	LOFF_G0001365	unprocessed_pseudogene	Yes	SD7364,SD7365,SD7370	9.77652188	1	ID_103	0.38920387	7.0	0.0	7.0	17.891812	7.65112315	Expanded in great apes	-	Polymorphic	No
AC073464.1	ENSG00000232502.1	LOFF_G0002732	processed_pseudogene	No	.	N/A	1	ID_104	0.2133755	9.0	0.0	5.0	N/A	N/A	N/A	N/A	N/A	N/A
AL669942.1	ENSG00000274628.5	CHM13_G0055890	transcribed_unprocessed_pseudogene	Yes	.	12.8064948	1	ID_104	0.2133755	9.0	0.0	5.0	10.242582	7.27445435	Undetermined	chr9:40317000-40376000	Polymorphic	Yes
BX664727.3	ENSG00000240240.9	CHM13_G0056052	lncRNA	No	SD4940,SD5258	N/A	5	ID_104	0.2133755	9.0	0.0	5.0	N/A	N/A	N/A	N/A	N/A	N/A
CR769776.2	ENSG00000229156.1	CHM13_G0055964	processed_pseudogene	No	.	N/A	1	ID_104	0.2133755	9.0	0.0	5.0	N/A	N/A	N/A	N/A	N/A	N/A
CR769776.2	ENSG00000229156.1	LOFF_G0002835	processed_pseudogene	No	.	N/A	1	ID_104	0.2133755	9.0	0.0	5.0	N/A	N/A	N/A	N/A	N/A	N/A
CYP4F25P	ENSG00000224106.1	LOFF_G0002731	unprocessed_pseudogene	Yes	.	13.8770963	1	ID_104	0.2133755	9.0	0.0	5.0	9.6921415	7.42523375	Undetermined	chr9:42854000-43114000	Nearly-Fixed	No
CYP4F25P	ENSG00000224106.1	LOFF_G0002836	unprocessed_pseudogene	Yes	.	12.958339	1	ID_104	0.2133755	9.0	0.0	5.0	9.086018	7.2819924	Undetermined	chr9:79614000-79847000	Polymorphic	No
CYP4F60P	ENSG00000230635.2	CHM13_G0056010	unprocessed_pseudogene	Yes	.	13.2910815	1	ID_104	0.2133755	9.0	0.0	5.0	9.1814415	6.3265214	Undetermined	-	Nearly-Fixed	No
FAM95B1	ENSG00000223839.8	CHM13_G0056051	transcribed_unprocessed_pseudogene	Yes	.	13.077706	1	ID_104	0.2133755	9.0	0.0	5.0	10.170096	7.35634	Undetermined	chr9:77663000-77875000	Nearly-Fixed	Yes
AC084121.4	ENSG00000285862.1	CHM13_G0053001	unprocessed_pseudogene	Yes	SD6294	3.69091385	1	ID_105	0.00246315	3.0	0.0	3.0	5.5710707	0.00407547	Expanded in great apes	chr8:11639000-12000000	Polymorphic	No
AC134684.5	ENSG00000285927.1	LOFF_G0002482	unprocessed_pseudogene	Yes	SD6294	3.6884507	1	ID_105	0.00246315	3.0	0.0	3.0	5.3562613	0.00429443	Expanded in great apes	-	Polymorphic	No
AC134684.5	ENSG00000285927.1	LOFF_G0002559	unprocessed_pseudogene	Yes	SD6294	3.68418025	1	ID_105	0.00246315	3.0	0.0	3.0	5.4926753	2.2508E-4	Expanded in great apes	-	Polymorphic	No
AC087203.1	ENSG00000254423.1	CHM13_G0053030	processed_pseudogene	No	.	N/A	1	ID_106	0.478095	56.0	52.0	2.0	N/A	N/A	N/A	N/A	N/A	N/A
AC087203.2	ENSG00000255556.2	CHM13_G0053032	processed_pseudogene	No	.	N/A	3	ID_106	0.478095	56.0	52.0	2.0	N/A	N/A	N/A	N/A	N/A	N/A
USP17L10	ENSG00000231396.3	LOFF_G0002035	protein_coding	Yes	.	104.30944	1	ID_106	0.478095	56.0	52.0	2.0	427.043565	202.851195	Undetermined	-	Polymorphic	No
USP17L11	ENSG00000233136.2	LOFF_G0002011	protein_coding	Yes	.	102.70926	1	ID_106	0.478095	56.0	52.0	2.0	420.70607	182.964965	Undetermined	chr4:9108000-9199000	Polymorphic	No
USP17L11	ENSG00000233136.2	LOFF_G0002012	protein_coding	Yes	.	103.333965	1	ID_106	0.478095	56.0	52.0	2.0	423.16306	189.68082	Undetermined	chr4:9108000-9199000	Polymorphic	No
USP17L11	ENSG00000233136.2	LOFF_G0002013	protein_coding	Yes	.	102.802713	1	ID_106	0.478095	56.0	52.0	2.0	422.4193	187.239395	Undetermined	chr4:9108000-9199000	Polymorphic	No
USP17L11	ENSG00000233136.2	LOFF_G0002014	protein_coding	Yes	.	103.55937	1	ID_106	0.478095	56.0	52.0	2.0	423.5672	190.30692	Undetermined	chr4:9108000-9199000	Polymorphic	No
USP17L11	ENSG00000233136.2	LOFF_G0002015	protein_coding	Yes	.	102.782885	1	ID_106	0.478095	56.0	52.0	2.0	418.22723	186.95895	Undetermined	chr4:9108000-9199000	Polymorphic	No
USP17L11	ENSG00000233136.2	LOFF_G0002016	protein_coding	Yes	.	102.857402	1	ID_106	0.478095	56.0	52.0	2.0	415.10483	177.5057	Undetermined	chr4:9108000-9199000	Polymorphic	No
USP17L11	ENSG00000233136.2	LOFF_G0002019	protein_coding	Yes	.	103.040083	1	ID_106	0.478095	56.0	52.0	2.0	422.25726	184.68433	Undetermined	chr4:9108000-9199000	Polymorphic	No
USP17L11	ENSG00000233136.2	LOFF_G0002020	protein_coding	Yes	.	102.243684	1	ID_106	0.478095	56.0	52.0	2.0	424.512525	179.24113	Undetermined	chr4:9108000-9199000	Polymorphic	No
USP17L11	ENSG00000233136.2	LOFF_G0002021	protein_coding	Yes	.	102.754438	1	ID_106	0.478095	56.0	52.0	2.0	422.22458	188.6731	Undetermined	chr4:9108000-9199000	Polymorphic	No
USP17L11	ENSG00000233136.2	LOFF_G0002023	protein_coding	Yes	.	102.589933	1	ID_106	0.478095	56.0	52.0	2.0	421.75275	188.57109	Undetermined	chr4:9108000-9199000	Polymorphic	No
USP17L11	ENSG00000233136.2	LOFF_G0002024	protein_coding	Yes	.	102.17694	1	ID_106	0.478095	56.0	52.0	2.0	417.836105	183.25425	Undetermined	chr4:9108000-9199000	Polymorphic	No
USP17L11	ENSG00000233136.2	LOFF_G0002025	protein_coding	Yes	.	102.809545	1	ID_106	0.478095	56.0	52.0	2.0	421.61703	187.70065	Undetermined	chr4:9108000-9199000	Polymorphic	No
USP17L11	ENSG00000233136.2	LOFF_G0002026	protein_coding	Yes	.	102.312749	1	ID_106	0.478095	56.0	52.0	2.0	427.21193	179.809485	Undetermined	chr4:9108000-9199000	Polymorphic	No
USP17L11	ENSG00000233136.3	LOFF_G0002032	protein_coding	Yes	.	103.523673	1	ID_106	0.478095	56.0	52.0	2.0	426.975525	202.0274	Undetermined	-	Polymorphic	No
USP17L12	ENSG00000227551.1	LOFF_G0002029	protein_coding	Yes	.	103.610164	1	ID_106	0.478095	56.0	52.0	2.0	424.45509	198.90889	Undetermined	-	Polymorphic	No
USP17L15	ENSG00000223569.7	LOFF_G0002046	protein_coding	Yes	.	103.985166	1	ID_106	0.478095	56.0	52.0	2.0	422.621725	201.378025	Undetermined	-	Polymorphic	No
USP17L18	ENSG00000250844.3	LOFF_G0002031	protein_coding	Yes	.	103.578766	1	ID_106	0.478095	56.0	52.0	2.0	429.58624	203.886455	Undetermined	-	Polymorphic	No
USP17L19	ENSG00000248920.3	LOFF_G0002030	protein_coding	Yes	.	103.58968	1	ID_106	0.478095	56.0	52.0	2.0	428.29933	201.16367	Undetermined	-	Polymorphic	No
USP17L20	ENSG00000250745.2	LOFF_G0002018	protein_coding	Yes	.	103.723325	1	ID_106	0.478095	56.0	52.0	2.0	423.44464	189.81128	Undetermined	chr4:9108000-9199000	Polymorphic	No
USP17L20	ENSG00000250745.3	LOFF_G0002042	protein_coding	Yes	.	103.927975	1	ID_106	0.478095	56.0	52.0	2.0	424.91714	199.83194	Undetermined	-	Polymorphic	No
USP17L21	ENSG00000249811.3	LOFF_G0002022	protein_coding	Yes	.	104.093938	1	ID_106	0.478095	56.0	52.0	2.0	417.107835	195.0484	Undetermined	chr4:9108000-9199000	Polymorphic	No
USP17L22	ENSG00000248933.3	LOFF_G0002033	protein_coding	Yes	.	103.76146	1	ID_106	0.478095	56.0	52.0	2.0	424.68576	199.3319	Undetermined	-	Polymorphic	No
USP17L23	ENSG00000250913.2	LOFF_G0002036	protein_coding	Yes	.	105.452927	1	ID_106	0.478095	56.0	52.0	2.0	427.874175	189.69672	Undetermined	-	Polymorphic	No
USP17L23	ENSG00000250913.2	LOFF_G0002039	protein_coding	Yes	.	104.89073	1	ID_106	0.478095	56.0	52.0	2.0	421.29578	190.98962	Undetermined	-	Polymorphic	No
USP17L24	ENSG00000232264.5	CHM13_G0041258	protein_coding	Yes	.	104.433303	1	ID_106	0.478095	56.0	52.0	2.0	427.130435	204.89047	Undetermined	-	Polymorphic	No
USP17L24	ENSG00000232264.5	LOFF_G0002048	protein_coding	Yes	.	104.465829	1	ID_106	0.478095	56.0	52.0	2.0	427.43737	204.7314	Undetermined	-	Polymorphic	No
USP17L25	ENSG00000230430.5	CHM13_G0041259	protein_coding	Yes	.	104.48977	1	ID_106	0.478095	56.0	52.0	2.0	430.76282	205.68996	Undetermined	-	Polymorphic	No
USP17L25	ENSG00000230430.5	LOFF_G0002049	protein_coding	Yes	.	104.330498	1	ID_106	0.478095	56.0	52.0	2.0	426.44302	205.38754	Undetermined	-	Polymorphic	No
USP17L26	ENSG00000229579.5	CHM13_G0041260	protein_coding	Yes	.	104.455668	1	ID_106	0.478095	56.0	52.0	2.0	428.17876	205.454355	Undetermined	-	Polymorphic	No
USP17L26	ENSG00000229579.5	LOFF_G0002050	protein_coding	Yes	.	104.222571	1	ID_106	0.478095	56.0	52.0	2.0	421.4455	204.97344	Undetermined	-	Polymorphic	No
USP17L27	ENSG00000235780.3	CHM13_G0041262	protein_coding	Yes	.	104.334921	1	ID_106	0.478095	56.0	52.0	2.0	427.46071	205.9645	Undetermined	-	Polymorphic	No
USP17L27	ENSG00000235780.3	LOFF_G0002027	protein_coding	Yes	.	103.541561	1	ID_106	0.478095	56.0	52.0	2.0	420.722335	200.69813	Undetermined	-	Polymorphic	No
USP17L27	ENSG00000235780.3	LOFF_G0002028	protein_coding	Yes	.	103.851865	1	ID_106	0.478095	56.0	52.0	2.0	425.042375	203.27446	Undetermined	-	Polymorphic	No
USP17L27	ENSG00000235780.3	LOFF_G0002034	protein_coding	Yes	.	103.538533	1	ID_106	0.478095	56.0	52.0	2.0	417.024135	202.00505	Undetermined	-	Polymorphic	No
USP17L27	ENSG00000235780.3	LOFF_G0002038	protein_coding	Yes	.	103.477113	1	ID_106	0.478095	56.0	52.0	2.0	421.900625	199.773665	Undetermined	-	Polymorphic	No
USP17L27	ENSG00000235780.3	LOFF_G0002040	protein_coding	Yes	.	104.375017	1	ID_106	0.478095	56.0	52.0	2.0	426.25061	206.11868	Undetermined	-	Polymorphic	No
USP17L27	ENSG00000235780.3	LOFF_G0002041	protein_coding	Yes	.	103.157683	1	ID_106	0.478095	56.0	52.0	2.0	425.306125	200.616625	Undetermined	-	Polymorphic	No
USP17L27	ENSG00000235780.3	LOFF_G0002043	protein_coding	Yes	.	103.578665	1	ID_106	0.478095	56.0	52.0	2.0	422.709415	201.99116	Undetermined	-	Polymorphic	No
USP17L27	ENSG00000235780.3	LOFF_G0002044	protein_coding	Yes	.	103.682747	1	ID_106	0.478095	56.0	52.0	2.0	426.429015	199.812835	Undetermined	-	Polymorphic	No
USP17L27	ENSG00000235780.3	LOFF_G0002045	protein_coding	Yes	.	104.034499	1	ID_106	0.478095	56.0	52.0	2.0	423.49585	201.013775	Undetermined	-	Polymorphic	No
USP17L27	ENSG00000235780.3	LOFF_G0002051	protein_coding	Yes	.	104.645599	1	ID_106	0.478095	56.0	52.0	2.0	424.612885	203.2244	Undetermined	-	Polymorphic	No
USP17L27	ENSG00000235780.3	LOFF_G0002053	protein_coding	Yes	.	104.65966	1	ID_106	0.478095	56.0	52.0	2.0	422.555175	198.837615	Undetermined	-	Polymorphic	No
USP17L27	ENSG00000235780.3	LOFF_G0002054	protein_coding	Yes	.	104.508679	1	ID_106	0.478095	56.0	52.0	2.0	426.67157	200.90158	Undetermined	-	Polymorphic	No
USP17L27	ENSG00000235780.3	LOFF_G0002055	protein_coding	Yes	.	104.43664	1	ID_106	0.478095	56.0	52.0	2.0	428.850335	207.23994	Undetermined	-	Polymorphic	No
USP17L28	ENSG00000231051.3	CHM13_G0041263	protein_coding	Yes	.	104.54902	1	ID_106	0.478095	56.0	52.0	2.0	427.18059	205.20747	Undetermined	-	Polymorphic	No
USP17L28	ENSG00000231051.3	LOFF_G0002052	protein_coding	Yes	.	104.07415	1	ID_106	0.478095	56.0	52.0	2.0	427.682585	205.697	Undetermined	-	Polymorphic	No
USP17L29	ENSG00000231637.3	CHM13_G0041264	protein_coding	Yes	.	104.57196	1	ID_106	0.478095	56.0	52.0	2.0	429.1743	206.93747	Undetermined	-	Polymorphic	No
USP17L29	ENSG00000231637.3	LOFF_G0002047	protein_coding	Yes	.	104.42198	1	ID_106	0.478095	56.0	52.0	2.0	428.98921	207.0194	Undetermined	-	Polymorphic	No
USP17L30	ENSG00000228856.3	CHM13_G0041266	protein_coding	Yes	.	104.443215	1	ID_106	0.478095	56.0	52.0	2.0	429.70978	205.13177	Undetermined	-	Polymorphic	No
USP17L5	ENSG00000227140.3	CHM13_G0041261	protein_coding	Yes	.	104.540639	1	ID_106	0.478095	56.0	52.0	2.0	428.0017	204.63556	Undetermined	-	Polymorphic	No
USP17L5	ENSG00000227140.3	LOFF_G0002037	protein_coding	Yes	.	104.380008	1	ID_106	0.478095	56.0	52.0	2.0	423.604525	202.83569	Undetermined	-	Polymorphic	No
USP17L9P	ENSG00000251694.1	CHM13_G0041265	unprocessed_pseudogene	Yes	.	104.369759	1	ID_106	0.478095	56.0	52.0	2.0	427.176925	204.52826	Undetermined	-	Polymorphic	No
USP17L9P	ENSG00000251694.1	LOFF_G0002017	unprocessed_pseudogene	Yes	.	104.350723	1	ID_106	0.478095	56.0	52.0	2.0	417.819075	197.119445	Undetermined	chr4:9108000-9199000	Polymorphic	No
AC087203.2	ENSG00000255556.2	CHM13_G0053032	processed_pseudogene	No	.	N/A	3	ID_107	0.583761	5.0	4.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
USP17L1	ENSG00000230549.3	CHM13_G0052832	protein_coding	Yes	.	88.626754	1	ID_107	0.583761	5.0	4.0	0.0	383.986435	184.50051	Undetermined	-	Nearly-Fixed	No
USP17L2	ENSG00000223443.2	CHM13_G0052859	protein_coding	Yes	.	90.661303	1	ID_107	0.583761	5.0	4.0	0.0	391.0522	184.6316	Undetermined	-	Polymorphic	No
USP17L3	ENSG00000225327.3	LOFF_G0002536	protein_coding	Yes	.	89.606289	1	ID_107	0.583761	5.0	4.0	0.0	389.028115	196.14329	Undetermined	chr8:12049000-12127000	Polymorphic	No
USP17L4	ENSG00000236125.3	CHM13_G0052834	protein_coding	Yes	.	88.438767	1	ID_107	0.583761	5.0	4.0	0.0	363.36194	176.27	Undetermined	-	Nearly-Fixed	No
AC087203.2	ENSG00000255556.2	CHM13_G0053032	processed_pseudogene	No	.	N/A	3	ID_108	0.0	2.0	1.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
USP17L8	ENSG00000237038.5	CHM13_G0053031	protein_coding	Yes	.	83.3134538	1	ID_108	0.0	2.0	1.0	0.0	361.934335	173.08925	Undetermined	-	Polymorphic	No
AC087393.1	ENSG00000263729.1	CHM13_G0023550	processed_pseudogene	No	SD11162	N/A	4	ID_109	0.0	6.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC087393.1	ENSG00000263729.1	LOFF_G0000182	processed_pseudogene	No	.	N/A	4	ID_109	0.0	6.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC087393.1	ENSG00000263729.1	LOFF_G0000973	processed_pseudogene	No	SD11162	N/A	4	ID_109	0.0	6.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC087393.1	ENSG00000263729.1	LOFF_G0002258	processed_pseudogene	No	SD11162	N/A	4	ID_109	0.0	6.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC113404.2	ENSG00000251668.2	LOFF_G0000044	unprocessed_pseudogene	Yes	SD11160,SD11162	14.138635	1	ID_109	0.0	6.0	0.0	1.0	1.83756265	0.79025127	Undetermined	-	Fixed	No
AC131281.2	ENSG00000254193.1	LOFF_G0000043	processed_pseudogene	No	SD11154,SD11162	N/A	6	ID_109	0.0	6.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC087393.1	ENSG00000263729.1	CHM13_G0023550	processed_pseudogene	No	SD11162	N/A	4	ID_110	0.0	6.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC087393.1	ENSG00000263729.1	LOFF_G0000182	processed_pseudogene	No	.	N/A	4	ID_110	0.0	6.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC087393.1	ENSG00000263729.1	LOFF_G0000973	processed_pseudogene	No	SD11162	N/A	4	ID_110	0.0	6.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC087393.1	ENSG00000263729.1	LOFF_G0002258	processed_pseudogene	No	SD11162	N/A	4	ID_110	0.0	6.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC113404.2	ENSG00000251668.2	LOFF_G0002435	unprocessed_pseudogene	Yes	SD11160	58.9881865	1	ID_110	0.0	6.0	0.0	1.0	35.63538	4.5961533	Undetermined	-	Nearly-Fixed	No
AC131281.2	ENSG00000254193.1	LOFF_G0000043	processed_pseudogene	No	SD11154,SD11162	N/A	6	ID_110	0.0	6.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
AC087499.5	ENSG00000236504.2	CHM13_G0023531	unprocessed_pseudogene	Yes	.	4.09286625	1	ID_111	0.00833505	2.0	0.0	2.0	8.249658	2.4272914	Expanded in great apes	-	Fixed	No
SPECC1P1	ENSG00000227790.7	CHM13_G0023261	transcribed_unprocessed_pseudogene	Yes	SD1356,SD5986	4.07619615	1	ID_111	0.00833505	2.0	0.0	2.0	8.465924	2.3709397	Expanded in great apes	-	Fixed	Yes
AC090616.2	ENSG00000264164.1	CHM13_G0023875	transcribed_processed_pseudogene	No	SD1418,SD1758,SD1761,SD1762,SD1764,SD4631,SD4639,SD4641,SD4642,SD4643,SD4644,SD4646,SD4647,SD4680,SD4736,SD5897,SD5898	N/A	1	ID_112	0.0	8.0	1.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
AC090616.4	ENSG00000264497.1	CHM13_G0023872	processed_pseudogene	No	SD5898	N/A	1	ID_112	0.0	8.0	1.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
AC091132.1	ENSG00000131484.4	CHM13_G0024531	lncRNA	No	.	N/A	1	ID_112	0.0	8.0	1.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
AC091132.4	ENSG00000267198.1	CHM13_G0024532	lncRNA	No	SD2819,SD2825,SD2826,SD2829,SD2830,SD2832,SD3957,SD3958,SD4631,SD4709,SD4733,SD4736,SD4739,SD4747,SD4748,SD4750,SD4752,SD4753,SD4755,SD4756,SD5898,SD5900	N/A	1	ID_112	0.0	8.0	1.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
AC103810.2	ENSG00000265218.1	CHM13_G0025131	lncRNA	No	SD2819,SD2821,SD2825,SD2826,SD2828,SD2829,SD2830,SD2832,SD3957,SD3958,SD4709,SD4733,SD4736,SD4739,SD4747,SD4748,SD4750,SD4752,SD4753,SD4755,SD4756,SD5898	N/A	1	ID_112	0.0	8.0	1.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
AC103810.7	ENSG00000272220.1	CHM13_G0025130	transcribed_processed_pseudogene	No	SD5898	N/A	1	ID_112	0.0	8.0	1.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
ARL17B	ENSG00000228696.10	CHM13_G0024559	protein_coding	Yes	SD1761,SD1762,SD1764,SD1785,SD2166,SD2169,SD2170,SD2819,SD2825,SD2826,SD2829,SD2830,SD2832,SD3957,SD3958,SD4631,SD4639,SD4641,SD4642,SD4643,SD4644,SD4646,SD4647,SD4692,SD4709,SD4733,SD4736,SD4739,SD5714,SD5715,SD5717,SD5719,SD5720,SD5722,SD5724,SD5725,SD5727,SD5728,SD5732,SD5897,SD5898,SD5900,SD6021,SD6024,SD6025,SD7757	10.250436	1	ID_112	0.0	8.0	1.0	0.0	9.950366	6.1499157	Undetermined	chr17:47149000-47201000	Polymorphic	Yes
MSTRG.2476	None	CHM13_G0024567	StringTie	No	SD1184,SD4692,SD5724,SD5725,SD5727,SD5728,SD5732	N/A	1	ID_112	0.0	8.0	1.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
AC091057.4	ENSG00000269930.1	CHM13_G0018306	lncRNA	No	SD6527,SD6528,SD6530,SD6531	N/A	1	ID_113	1.05668187	26.0	12.0	5.0	N/A	N/A	N/A	N/A	N/A	N/A
AC091057.4	ENSG00000269930.1	LOFF_G0000933	lncRNA	No	SD6528,SD6530,SD6531	N/A	1	ID_113	1.05668187	26.0	12.0	5.0	N/A	N/A	N/A	N/A	N/A	N/A
AC091057.4	ENSG00000269930.1	LOFF_G0000945	lncRNA	No	SD6528,SD6530,SD6531	N/A	1	ID_113	1.05668187	26.0	12.0	5.0	N/A	N/A	N/A	N/A	N/A	N/A
AC091057.4	ENSG00000269930.1	LOFF_G0000952	lncRNA	No	SD6528,SD6530,SD6531	N/A	1	ID_113	1.05668187	26.0	12.0	5.0	N/A	N/A	N/A	N/A	N/A	N/A
AC091057.4	ENSG00000269930.1	LOFF_G0000954	lncRNA	No	SD6528,SD6530,SD6531	N/A	1	ID_113	1.05668187	26.0	12.0	5.0	N/A	N/A	N/A	N/A	N/A	N/A
AC091057.4	ENSG00000269930.1	LOFF_G0000956	lncRNA	No	SD6527,SD6528,SD6530,SD6531	N/A	1	ID_113	1.05668187	26.0	12.0	5.0	N/A	N/A	N/A	N/A	N/A	N/A
AC091057.4	ENSG00000269930.1	LOFF_G0000963	lncRNA	No	SD6528,SD6530,SD6531	N/A	1	ID_113	1.05668187	26.0	12.0	5.0	N/A	N/A	N/A	N/A	N/A	N/A
AC091057.4	ENSG00000269930.1	LOFF_G0000966	lncRNA	No	SD6528,SD6530,SD6531	N/A	1	ID_113	1.05668187	26.0	12.0	5.0	N/A	N/A	N/A	N/A	N/A	N/A
AC135983.2	ENSG00000215304.3	CHM13_G0018347	lncRNA	No	SD2151,SD2156,SD4187,SD4840	N/A	3	ID_113	1.05668187	26.0	12.0	5.0	N/A	N/A	N/A	N/A	N/A	N/A
