family	gene	locus	len	fam_size	rna_found	best_par_id	n_par_ge95	n_par_ge90	best_par_locus
ID_78	AC044860.1	chr15:82932394-82986906	54512	5	True	0.975	2	2	chr15:82040000
ID_324	CSPG4P12	chr15:82943632-82966101	22469	5	True	0.992	3	3	chr15:80320000
ID_391	WASH3P	chr15:99730896-99745839	14943	5	True	0.995	7	7	chr11:5000
ID_332	DDX11L9	chr15:99745852-99748389	2537	6	True	0.996	11	11	chr19:0
ID_332	DDX11L16	chr16:4785-7013	2228	6	False	0.999	11	11	chr9:5000
ID_391	WASH6P	chr16:6965-11846	4881	5	False	0.992	9	9	chr9:5000
ID_154	NPIPB2	chr16:11963305-12012756	49451	14	True	0.973	19	25	chr16:22360000
ID_154	NPIPA2	chr16:14746465-14763820	17355	14	True	0.982	13	13	chr16:14935000
ID_154	NPIPP1	chr16:15105361-15124458	19097	14	True	0.971	8	29	chr16:18330000
ID_154	NPIPA5	chr16:15368422-15385843	17421	14	True	0.978	8	13	chr16:14935000
ID_154	NPIPA7	chr16:16391277-16406172	14895	14	True	0.998	12	26	chr16:18325000
ID_154	NPIPB6	chr16:28623069-28643879	20810	14	True	0.985	11	24	chr16:29030000
ID_154	NPIPB8	chr16:28737050-28758038	20988	14	True	0.987	19	24	chr16:29315000
ID_154	NPIPB7	chr16:28924552-28939395	14843	14	True	0.997	11	26	chr16:29035000
ID_154	NPIPB9	chr16:29032364-29053395	21031	14	True	0.997	19	24	chr16:28920000
ID_154	NPIPB10P	chr16:29319787-29333871	14084	14	True	0.990	17	26	chr16:28735000
ID_154	NPIPB11	chr16:29663393-29685822	22429	14	True	0.972	24	27	chr16:21680000
ID_302	BOLA2B	chr16:29735379-29736755	1376	1	False	1.000	2	2	chr16:30575000
ID_154	NPIPB12	chr16:29765424-29788033	22609	14	True	0.991	15	26	chr16:30605000
ID_474	TP53TG3D	chr16:32640147-32643352	3205	3	True	0.997	3	3	chr16:34350000
ID_167	AC133548.1	chr16:32772942-32779658	6716	3	False	0.998	1	1	chr16:34695000
ID_26	SLC9B1P1	chr16:32804124-32821138	17014	2	False	0.974	5	7	chr16:34655000
ID_182	AC137800.1	chr16:33014727-33030069	15342	4	True	0.996	1	1	chr16:34415000
ID_182	AC137800.2	chr16:33033161-33036614	3453	4	True	0.992	1	1	chr16:34405000
ID_474	TP53TG3C	chr16:33087982-33090583	2601	3	True	1.000	3	3	chr16:33605000
ID_474	TP53TG3B	chr16:33607931-33611137	3206	3	True	1.000	3	3	chr16:33085000
ID_167	AC136944.3	chr16:33739351-33747637	8286	3	True	0.998	4	4	chr16:35130000
ID_148	AC142384.1	chr16:34884759-34929924	45165	2	False	0.979	2	2	chr16:33750000
ID_154	NPIPB14P	chr16:75785804-75805631	19827	14	True	0.962	21	23	chr16:29030000
ID_154	NPIPB15	chr16:80195643-80209850	14207	14	True	0.995	16	26	chr16:80310000
ID_14	AC005562.2	chr17:31562334-31562446	112	7	True	1.000	6	9	chr17:31570000
ID_14	LRRC37BP1	chr17:31574334-31581958	7624	7	True	0.984	2	2	chr17:31560000
ID_14	LRRC37B	chr17:32953747-32999386	45639	7	True	0.986	4	4	chr17:31615000
ID_14	AC090616.5	chr17:33034040-33040757	6717	7	True	0.980	2	2	chr17:32970000
ID_92	AC243829.7	chr17:37109490-37110818	1328	2	False	0.988	6	6	chr17:39040000
ID_468	TBC1D3B	chr17:37113571-37124508	10937	9	True	0.996	10	10	chr17:37325000
ID_468	TBC1D3I	chr17:37201376-37212474	11098	9	True	0.995	10	10	chr17:38990000
ID_209	AC233699.1	chr17:37222112-37268486	46374	3	True	0.997	2	2	chr17:39055000
ID_468	TBC1D3H	chr17:37325491-37336389	10898	9	True	0.996	10	10	chr17:37110000
ID_222	AC243829.6	chr17:37415116-37415223	107	1	False	1.000	6	10	chr17:39030000
ID_468	TBC1D3K	chr17:38911393-38922345	10952	9	True	0.998	10	10	chr17:38965000
ID_468	TBC1D3D	chr17:38965110-38976061	10951	9	True	0.998	10	10	chr17:38990000
ID_468	TBC1D3E	chr17:38991013-39001923	10910	9	True	0.998	10	10	chr17:38965000
ID_468	TBC1D3	chr17:39044721-39055611	10890	9	True	0.997	10	10	chr17:38965000
ID_209	NPEPPSP1	chr17:39058772-39120206	61434	3	True	0.996	3	4	chr17:37210000
ID_14	LRRC37A	chr17:47154742-47199790	45048	7	True	0.988	5	5	chr17:47370000
ID_14	LRRC37A2	chr17:47373158-47417300	44142	7	True	0.988	5	5	chr17:47155000
ID_209	NPEPPS	chr17:48385624-48486670	101046	3	True	0.976	3	4	chr17:38980000
ID_468	TBC1D3P1	chr17:60877165-60886227	9062	9	True	0.987	10	10	chr17:63130000
ID_92	AC053481.4	chr17:63130560-63131864	1304	2	False	0.990	6	6	chr17:38925000
ID_468	TBC1D3P2	chr17:63134634-63145601	10967	9	True	0.987	10	10	chr17:60875000
ID_14	LRRC37A3	chr17:65724068-65789437	65369	7	True	0.973	5	5	chr17:47350000
ID_359	FGF7P1	chr18:15048958-15050337	1379	5	True	0.988	7	8	chr21:11690000
ID_332	DDX11L10	chr19:4458-6260	1802	6	True	0.996	11	11	chr15:99745000
ID_175	TEKT4P2	chr21:5692610-5754003	61393	2	False	0.965	3	9	chr14:2925000
ID_22	BAGE2	chr21:10610346-10714100	103754	6	True	0.986	13	16	chr13:13540000
ID_147	ANKRD30BP2	chr21:11382453-11411385	28932	4	True	0.978	3	3	chr13:17620000
ID_359	FGF7P2	chr21:11693615-11695000	1385	5	True	0.988	5	6	chr18:15045000
ID_175	AC134878.2	chr22:5801017-5862418	61401	2	False	0.969	7	9	chr22:7640000
ID_411	OR11H1	chr22:16102172-16103154	982	3	False	0.994	3	3	chr14:13100000
ID_65	AP000534.2	chr22:16115445-16152024	36579	9	True	0.994	3	3	chr14:13115000
ID_403	NF1P11	chr22:16196565-16203867	7302	3	True	0.997	1	3	chr14:13210000
ID_300	BMS1P22	chr22:16379167-16394790	15623	2	True	0.995	2	2	chr14:13395000
ID_283	BCRP7	chr22:18941056-18944077	3021	5	True	0.991	6	6	chr22:21700000
ID_283	BCRP2	chr22:21511792-21531058	19266	5	True	0.993	9	9	chr22:21695000
ID_283	BCRP4	chr22:23052760-23058851	6091	5	True	0.978	7	7	chr22:25105000
ID_283	BCRP1	chr22:24721538-24725375	3837	5	True	0.977	7	7	chr22:25105000
ID_283	AP000356.3	chr22:25106240-25114807	8567	5	True	0.981	9	9	chr22:23050000
