fam	gene	chrom	start	end	bp	cls	mean_total	mean_uniq	fam_found	mischain_frac	nearest_copy_bp	verified_bucket	topup_recoverable
ID_116	GOLGA6L22	chr15	20130998	20141345	10347	coding	59.3	56.5	True		0	FOUND:rna-split	False
ID_71	HERC2P7	chr15	20152552	20156955	4403	transcribed_pseudogene	13.5	13.2	True		0	FOUND:rna-split	False
ID_188	HERC2P2	chr15	20166919	20262941	96022	transcribed_pseudogene	226.9	226.3	True		0	FOUND:rna-split	False
ID_113	GOLGA8IP	chr15	20278132	20289966	11834	transcribed_pseudogene	144.6	143.9	True		0	FOUND:rna-split	False
ID_156	WHAMMP3	chr15	20336417	20358287	21870	transcribed_pseudogene	178.6	178.6	True		0	FOUND:rna-split	False
ID_113	GOLGA8DP	chr15	20841226	20854575	13349	transcribed_pseudogene	240.0	228.3	True		0	FOUND:rna-split	False
ID_116	GOLGA6L1	chr15	21006515	21016292	9777	coding	230.3	202.0	True		0	FOUND:rna-split	False
ID_71	AC242376.1	chr15	21046171	21050536	4365	piece-of-other	29.3	29.3	True		0	FOUND:rna-split	False
ID_116	AC100756.3	chr15	21062528	21070403	7875	coding	61.3	23.7	True		0	FOUND:rna-split	False
ID_113	GOLGA8S	chr15	21091024	21103533	12509	coding	73.4	73.4	True		0	FOUND:rna-split	False
ID_188	HERC2	chr15	25853559	26064943	211384	coding	166.8	166.8	True		0	FOUND:rna-split	False
ID_71	AC091304.3	chr15	26074992	26079365	4373	piece-of-other	4.1	4.1	True		0	FOUND:rna-split	False
ID_116	AC091304.1	chr15	26091804	26100822	9018	coding	197.3	190.0	True		0	FOUND:rna-split	False
ID_113	GOLGA8F	chr15	26121343	26134741	13398	coding	344.8	130.4	True		0	FOUND:rna-split	False
ID_113	GOLGA8G	chr15	26296346	26309751	13405	coding	416.2	217.3	True		0	FOUND:rna-split	False
ID_116	AC138749.1	chr15	26330348	26338091	7743	coding	92.9	84.9	True		0	FOUND:rna-split	False
ID_71	HERC2P11	chr15	26351728	26356111	4383	transcribed_pseudogene	19.6	18.6	True		0	FOUND:rna-split	False
ID_188	HERC2P9	chr15	26366200	26461978	95778	transcribed_pseudogene	100.9	99.8	True		0	FOUND:rna-split	False
ID_113	GOLGA8M	chr15	26478664	26515105	36441	coding	40.6	40.1	True		0	FOUND:rna-split	False
ID_156	WHAMMP2	chr15	26514302	26535923	21621	transcribed_pseudogene	144.0	144.0	True		0	FOUND:rna-split	False
ID_113	GOLGA8J	chr15	27874771	27885220	10449	coding	71.0	71.0	True		0	FOUND:rna-split	False
ID_68	DNM1P28	chr15	27890545	27893814	3269	pseudogene	20.6	19.3	True		0	FOUND:protein-tail	False
ID_179	ULK4P3	chr15	27895441	27922933	27492	transcribed_pseudogene	51.3	50.8	True		0	FOUND:projection	False
ID_113	GOLGA8T	chr15	27926870	27937297	10427	coding	109.4	109.4	True		0	FOUND:rna-split	False
ID_68	AC019322.3	chr15	28188413	28189637	1224	piece-of-other	26.4	24.4	True		0	FOUND:protein-tail	False
ID_113	GOLGA8R	chr15	28197010	28207436	10426	coding	77.9	74.1	True		0	FOUND:rna-split	False
ID_156	AC127502.1	chr15	28264052	28300871	36819	transcribed_pseudogene	114.7	113.9	True		0	FOUND:rna-split	False
ID_156	AC127502.3	chr15	28300623	28306948	6325	pseudogene	69.0	69.0	True		0	FOUND:protein-tail	False
ID_113	GOLGA8Q	chr15	28345327	28355752	10425	coding	64.7	59.4	True		0	FOUND:rna-split	False
ID_68	DNM1P50	chr15	28361066	28364334	3268	transcribed_pseudogene	19.0	13.9	True		0	FOUND:projection	False
ID_179	ULK4P2	chr15	28365932	28393844	27912	transcribed_pseudogene	137.8	125.1	True		0	FOUND:rna-split	False
ID_113	GOLGA8H	chr15	28397319	28407743	10424	coding	146.8	143.8	True		0	FOUND:rna-split	False
ID_113	GOLGA8K	chr15	30189305	30199719	10414	coding	90.7	90.3	True		0	FOUND:projection	False
ID_179	ULK4P1	chr15	30203116	30231537	28421	transcribed_pseudogene	145.8	143.5	True		0	FOUND:rna-split	False
ID_68	DNM1P32	chr15	30233052	30236315	3263	pseudogene	21.1	21.1	True		0	FOUND:protein-tail	False
ID_113	GOLGA8O	chr15	30238450	30252173	13723	coding	177.7	175.5	True		0	FOUND:rna-split	False
ID_156	AC135983.4	chr15	30290477	30296821	6344	pseudogene	9.5	9.3	True		0	FOUND:projection	False
ID_113	GOLGA8N	chr15	30389923	30403785	13862	piece-of-other	111.1	108.2	True		0	FOUND:rna-split	False
ID_78	GOLGA8A	chr15	32184802	32213415	28613	coding	418.1	403.2	True		0	FOUND:protein-tail	False
ID_88	GOLGA6L10	chr15	80204111	80213595	9484	coding	166.3	166.2	True		0	FOUND:rna-split	False
ID_78	UBE2Q2P2	chr15	80219260	80284203	64943	transcribed_pseudogene	288.3	287.5	True		0	FOUND:rna-split	False
ID_88	GOLGA6L9	chr15	80294144	80303281	9137	coding	564.4	564.3	True		0	FOUND:rna-split	False
ID_481	UBE2Q2P6	chr15	80309845	80318965	9120	pseudogene	37.4	36.9	True		0	FOUND:rna-split	False
ID_324	CSPG4P10	chr15	80323598	80341387	17789	pseudogene	46.4	46.2	True		0	FOUND:rna-split	False
ID_481	UBE2Q2L	chr15	82038454	82054353	15899	transcribed_pseudogene	37.4	20.7	True		0	FOUND:rna-split	False
ID_324	CSPG4P11	chr15	82052722	82063358	10636	transcribed_pseudogene	19.2	15.0	True		0	FOUND:rna-split	False
ID_88	GOLGA6L4	chr15	82101780	82111483	9703	coding	136.1	107.1	True		0	FOUND:rna-split	False
ID_481	UBE2Q2P11	chr15	82117976	82127040	9064	pseudogene	38.0	35.4	True		0	FOUND:rna-split	False
ID_324	CSPG4P4Y	chr15	82133635	82137155	3520	pseudogene	26.9	26.9	True		0	FOUND:rna-split	False
ID_78	AC243562.1	chr15	82144483	82145499	1016	piece-of-other	49.7	49.7	True		0	FOUND:rna-split	False
ID_481	UBE2Q2P8	chr15	82169947	82170050	103	fragment	32.0	32.0	True	0.81	10318	MISS:mischain	False
ID_324	DNM1P51	chr15	82233822	82242855	9033	pseudogene	42.1	37.3	True		0	FOUND:rna-split	False
ID_481	UBE2Q2P12	chr15	82243926	82253037	9111	pseudogene	58.8	35.3	True		0	FOUND:rna-split	False
ID_88	GOLGA6L5P	chr15	82260324	82269230	8906	transcribed_pseudogene	485.5	439.3	True		0	FOUND:rna-split	False
ID_78	UBE2Q2P1	chr15	82279207	82323633	44426	transcribed_pseudogene	408.9	408.9	True		0	FOUND:protein-tail	False
ID_78	AC044860.1	chr15	82932394	82986906	54512	transcribed_pseudogene	12.6	11.7	True		0	FOUND:rna-split	False
ID_324	CSPG4P12	chr15	82943632	82966101	22469	transcribed_pseudogene	12.4	11.5	True		0	FOUND:rna-split	False
ID_391	WASH3P	chr15	99730896	99745839	14943	transcribed_pseudogene	1.7	1.7	True		0	FOUND:rna-split	False
ID_332	DDX11L9	chr15	99745852	99748389	2537	transcribed_pseudogene	2.8	2.8	True		0	FOUND:rna-split	False
ID_332	DDX11L16	chr16	4785	7013	2228	transcribed_pseudogene	0.0	0.0	True		11956301	MISS:not-expressed	False
ID_391	WASH6P	chr16	6965	11846	4881	pseudogene	0.0	0.0	True		11951468	MISS:not-expressed	False
ID_154	NPIPB2	chr16	11963305	12012756	49451	coding	156.6	156.6	True		0	FOUND:rna-split	False
ID_154	NPIPA2	chr16	14746465	14763820	17355	coding	259.9	259.9	True		0	FOUND:rna-split	False
ID_154	NPIPP1	chr16	15105361	15124458	19097	transcribed_pseudogene	1459.9	1459.9	True		0	FOUND:rna-split	False
ID_154	NPIPA5	chr16	15368422	15385843	17421	coding	100.5	100.4	True		0	FOUND:rna-split	False
ID_154	NPIPA7	chr16	16391277	16406172	14895	coding	181.2	60.6	True		0	FOUND:rna-split	False
ID_154	NPIPB6	chr16	28623069	28643879	20810	coding	395.7	389.0	True		0	FOUND:rna-split	False
ID_154	NPIPB8	chr16	28737050	28758038	20988	coding	108.4	106.4	True		0	FOUND:rna-split	False
ID_154	NPIPB7	chr16	28924552	28939395	14843	coding	39.7	29.5	True		0	FOUND:rna-split	False
ID_154	NPIPB9	chr16	29032364	29053395	21031	coding	354.9	343.9	True		0	FOUND:rna-split	False
ID_154	NPIPB10P	chr16	29319787	29333871	14084	pseudogene	47.8	46.7	True		0	FOUND:rna-split	False
ID_154	NPIPB11	chr16	29663393	29685822	22429	coding	95.4	95.4	True		0	FOUND:rna-split	False
ID_302	BOLA2B	chr16	29735379	29736755	1376	coding	314.5	292.3	False	0.49	30358	MISS:mischain	False
ID_154	NPIPB12	chr16	29765424	29788033	22609	coding	223.4	215.8	True		0	FOUND:projection	False
ID_474	TP53TG3D	chr16	32640147	32643352	3205	coding	253.9	246.7	True		0	FOUND:rna-split	False
ID_167	AC133548.1	chr16	32772942	32779658	6716	pseudogene	0.2	0.0	True		17462	MISS:not-expressed	False
ID_26	SLC9B1P1	chr16	32804124	32821138	17014	pseudogene	2.2	2.2	True		914	MISS:not-expressed	False
ID_182	AC137800.1	chr16	33014727	33030069	15342	transcribed_pseudogene	17.7	17.7	True		0	FOUND:protein-tail	False
ID_182	AC137800.2	chr16	33033161	33036614	3453	piece-of-other	26.9	26.9	True		0	FOUND:protein-tail	False
ID_474	TP53TG3C	chr16	33087982	33090583	2601	coding	300.5	73.4	True		0	FOUND:rna-split	False
ID_474	TP53TG3B	chr16	33607931	33611137	3206	coding	216.6	34.5	True		0	FOUND:rna-split	False
ID_167	AC136944.3	chr16	33739351	33747637	8286	lncRNA	8.8	0.4	True		0	FOUND:rna-split	False
ID_148	AC142384.1	chr16	34884759	34929924	45165	pseudogene	23.9	23.9	False	0.77	3205	MISS:mischain	False
ID_154	NPIPB14P	chr16	75785804	75805631	19827	piece-of-other	992.1	992.1	True		0	FOUND:rna-split	False
ID_154	NPIPB15	chr16	80195643	80209850	14207	coding	202.9	171.2	True		0	FOUND:rna-split	False
ID_14	AC005562.2	chr17	31562334	31562446	112	fragment	525.0	525.0	True		0	FOUND:rna-split	False
ID_14	LRRC37BP1	chr17	31574334	31581958	7624	piece-of-other	421.5	421.5	True		0	FOUND:rna-split	False
ID_14	LRRC37B	chr17	32953747	32999386	45639	coding	634.6	634.6	True		0	FOUND:rna-split	False
ID_14	AC090616.5	chr17	33034040	33040757	6717	piece-of-other	41.0	41.0	True		0	FOUND:rna-split	False
ID_92	AC243829.7	chr17	37109490	37110818	1328	unannotated	1.0	1.0	False		2754	MISS:not-expressed	False
ID_468	TBC1D3B	chr17	37113571	37124508	10937	coding	6.5	6.0	True		0	FOUND:rna-split	False
ID_468	TBC1D3I	chr17	37201376	37212474	11098	coding	13.6	12.8	True		0	FOUND:projection	False
ID_209	AC233699.1	chr17	37222112	37268486	46374	coding	20.3	15.7	True		0	FOUND:rna-split	False
ID_468	TBC1D3H	chr17	37325491	37336389	10898	coding	65.2	56.6	True		0	FOUND:rna-split	False
ID_222	AC243829.6	chr17	37415116	37415223	107	unannotated	6.0	5.0	False	0.83	1779	MISS:mischain	False
ID_468	TBC1D3K	chr17	38911393	38922345	10952	coding	114.2	24.9	True		0	FOUND:rna-split	False
ID_468	TBC1D3D	chr17	38965110	38976061	10951	coding	284.4	181.0	True		0	FOUND:rna-split	False
ID_468	TBC1D3E	chr17	38991013	39001923	10910	coding	114.0	105.6	True		0	FOUND:rna-split	False
ID_468	TBC1D3	chr17	39044721	39055611	10890	coding	312.5	309.8	True		0	FOUND:rna-split	False
ID_209	NPEPPSP1	chr17	39058772	39120206	61434	transcribed_pseudogene	106.7	101.6	True		0	FOUND:rna-split	False
ID_14	LRRC37A	chr17	47154742	47199790	45048	coding	415.9	409.8	True		0	FOUND:protein-tail	False
ID_14	LRRC37A2	chr17	47373158	47417300	44142	coding	880.4	873.7	True		0	FOUND:protein-tail	False
ID_209	NPEPPS	chr17	48385624	48486670	101046	coding	1023.9	1023.9	True		0	FOUND:rna-split	False
ID_468	TBC1D3P1	chr17	60877165	60886227	9062	pseudogene	185.6	184.5	True		0	FOUND:rna-split	False
ID_92	AC053481.4	chr17	63130560	63131864	1304	unannotated	2.4	2.4	False		2764	MISS:not-expressed	False
ID_468	TBC1D3P2	chr17	63134634	63145601	10967	transcribed_pseudogene	179.4	179.4	True		0	FOUND:rna-split	False
ID_14	LRRC37A3	chr17	65724068	65789437	65369	coding	516.7	516.6	True		0	FOUND:projection	False
ID_359	FGF7P1	chr18	15048958	15050337	1379	pseudogene	183.8	183.8	True		0	FOUND:protein-tail	False
ID_332	DDX11L10	chr19	4458	6260	1802	transcribed_pseudogene	10.0	10.0	True		0	FOUND:protein-tail	False
ID_175	TEKT4P2	chr21	5692610	5754003	61393	transcribed_pseudogene	25.4	24.2	False	0.33	4766468	MISS:mischain	False
ID_22	BAGE2	chr21	10610346	10714100	103754	transcribed_pseudogene	196.2	195.7	True		0	FOUND:rna-split	False
ID_147	ANKRD30BP2	chr21	11382453	11411385	28932	transcribed_pseudogene	74.2	73.7	True		0	FOUND:rna-split	False
ID_359	FGF7P2	chr21	11693615	11695000	1385	pseudogene	19.0	19.0	True		0	FOUND:projection	False
ID_175	AC134878.2	chr22	5801017	5862418	61401	lncRNA	54.9	54.7	False	0.03	16010	MISS:genuine-miss	False
ID_411	OR11H1	chr22	16102172	16103154	982	coding	0.3	0.3	False		751	MISS:not-expressed	False
ID_65	AP000534.2	chr22	16115445	16152024	36579	pseudogene	1.1	1.1	True		0	FOUND:rna-split	False
ID_403	NF1P11	chr22	16196565	16203867	7302	pseudogene	13.3	13.3	True		0	FOUND:rna-split	False
ID_300	BMS1P22	chr22	16379167	16394790	15623	piece-of-other	201.3	190.6	True		0	FOUND:rna-split	False
ID_283	BCRP7	chr22	18941056	18944077	3021	piece-of-other	2290.2	2271.0	True		0	FOUND:rna-split	False
ID_283	BCRP2	chr22	21511792	21531058	19266	transcribed_pseudogene	438.6	427.2	True		0	FOUND:rna-split	False
ID_283	BCRP4	chr22	23052760	23058851	6091	piece-of-other	579.6	579.6	True		0	FOUND:rna-split	False
ID_283	BCRP1	chr22	24721538	24725375	3837	pseudogene	917.7	917.7	True		0	FOUND:rna-split	False
ID_283	AP000356.3	chr22	25106240	25114807	8567	piece-of-other	938.3	938.3	True		0	FOUND:rna-split	False
