gene_a	gene_b
CHM13_G0015661	LOFF_G0001885
CHM13_G0015665	CHM13_G0015693
CHM13_G0015665	CHM13_G0036436
CHM13_G0015665	LOFF_G0000784
CHM13_G0015666	CHM13_G0036437
CHM13_G0015666	LOFF_G0000783
CHM13_G0015669	CHM13_G0036437
CHM13_G0015669	LOFF_G0000776
CHM13_G0015674	CHM13_G0036451
CHM13_G0015674	LOFF_G0000775
CHM13_G0015677	CHM13_G0036458
CHM13_G0015677	LOFF_G0000773
CHM13_G0015678	CHM13_G0015707
CHM13_G0015678	CHM13_G0036460
CHM13_G0015679	CHM13_G0015706
CHM13_G0015679	CHM13_G0036462
CHM13_G0015682	CHM13_G0036464
CHM13_G0015682	LOFF_G0000769
CHM13_G0015682	LOFF_G0001890
CHM13_G0015685	CHM13_G0036464
CHM13_G0015685	LOFF_G0000769
CHM13_G0015685	LOFF_G0001890
CHM13_G0015688	CHM13_G0015697
CHM13_G0015688	CHM13_G0015700
CHM13_G0015688	CHM13_G0015701
CHM13_G0015688	CHM13_G0015702
CHM13_G0015688	CHM13_G0036468
CHM13_G0015688	CHM13_G0036469
CHM13_G0015688	CHM13_G0036470
CHM13_G0015688	CHM13_G0036473
CHM13_G0015689	CHM13_G0015700
CHM13_G0015689	CHM13_G0015702
CHM13_G0015689	CHM13_G0036468
CHM13_G0015689	CHM13_G0036469
CHM13_G0015690	CHM13_G0015697
CHM13_G0015690	CHM13_G0015709
CHM13_G0015690	CHM13_G0036473
CHM13_G0015690	LOFF_G0001885
CHM13_G0015691	CHM13_G0015697
CHM13_G0015691	CHM13_G0015700
CHM13_G0015691	CHM13_G0036473
CHM13_G0015693	CHM13_G0036436
CHM13_G0015693	LOFF_G0000784
CHM13_G0015696	LOFF_G0001892
CHM13_G0015697	CHM13_G0036473
CHM13_G0015700	CHM13_G0036468
CHM13_G0015700	CHM13_G0036469
CHM13_G0015700	CHM13_G0036470
CHM13_G0015700	CHM13_G0036473
CHM13_G0015700	LOFF_G0000765
CHM13_G0015701	CHM13_G0036470
CHM13_G0015701	LOFF_G0000765
CHM13_G0015702	CHM13_G0036468
CHM13_G0015702	CHM13_G0036469
CHM13_G0015706	CHM13_G0036462
CHM13_G0015707	CHM13_G0036460
CHM13_G0015709	LOFF_G0001885
CHM13_G0016234	LOFF_G0000043
CHM13_G0016234	LOFF_G0002258
CHM13_G0016234	LOFF_G0002657
CHM13_G0016234	LOFF_G0002883
CHM13_G0017900	CHM13_G0035611
CHM13_G0017900	CHM13_G0041023
CHM13_G0017923	CHM13_G0017999
CHM13_G0017926	LOFF_G0000922
CHM13_G0017928	CHM13_G0018032
CHM13_G0017928	CHM13_G0018216
CHM13_G0017928	CHM13_G0018240
CHM13_G0017929	CHM13_G0018031
CHM13_G0017929	CHM13_G0018056
CHM13_G0017929	CHM13_G0018057
CHM13_G0017929	CHM13_G0018218
CHM13_G0017929	CHM13_G0018239
CHM13_G0017930	CHM13_G0018030
CHM13_G0017930	CHM13_G0018055
CHM13_G0017930	CHM13_G0018058
CHM13_G0017930	CHM13_G0018220
CHM13_G0017930	CHM13_G0018237
CHM13_G0017930	LOFF_G0000935
CHM13_G0017931	CHM13_G0018029
CHM13_G0017931	CHM13_G0018054
CHM13_G0017931	CHM13_G0018059
CHM13_G0017931	CHM13_G0018221
CHM13_G0017931	CHM13_G0018236
CHM13_G0017931	LOFF_G0000936
CHM13_G0017932	CHM13_G0018027
CHM13_G0017932	CHM13_G0018048
CHM13_G0017932	CHM13_G0018060
CHM13_G0017932	CHM13_G0018222
CHM13_G0017932	CHM13_G0018234
CHM13_G0017932	LOFF_G0000942
CHM13_G0017932	LOFF_G0000945
CHM13_G0017934	CHM13_G0018026
CHM13_G0017937	CHM13_G0018024
CHM13_G0017939	CHM13_G0018022
CHM13_G0017944	LOFF_G0000926
CHM13_G0017947	CHM13_G0018010
CHM13_G0017950	CHM13_G0018006
CHM13_G0017952	CHM13_G0018005
CHM13_G0017955	CHM13_G0018003
CHM13_G0017957	CHM13_G0018002
CHM13_G0017959	CHM13_G0017997
CHM13_G0017960	CHM13_G0017997
CHM13_G0017961	CHM13_G0017997
CHM13_G0017989	LOFF_G0000908
CHM13_G0017990	LOFF_G0000907
CHM13_G0018027	CHM13_G0018048
CHM13_G0018027	CHM13_G0018060
CHM13_G0018027	CHM13_G0018222
CHM13_G0018027	CHM13_G0018234
CHM13_G0018027	LOFF_G0000942
CHM13_G0018029	CHM13_G0018054
CHM13_G0018029	CHM13_G0018059
CHM13_G0018029	CHM13_G0018221
CHM13_G0018029	CHM13_G0018236
CHM13_G0018029	LOFF_G0000936
CHM13_G0018030	CHM13_G0018055
CHM13_G0018030	CHM13_G0018058
CHM13_G0018030	CHM13_G0018220
CHM13_G0018030	CHM13_G0018237
CHM13_G0018030	LOFF_G0000935
CHM13_G0018031	CHM13_G0018056
CHM13_G0018031	CHM13_G0018057
CHM13_G0018031	CHM13_G0018218
CHM13_G0018031	CHM13_G0018239
CHM13_G0018032	CHM13_G0018216
CHM13_G0018032	CHM13_G0018240
CHM13_G0018032	CHM13_G0018241
CHM13_G0018033	CHM13_G0018242
CHM13_G0018033	CHM13_G0018278
CHM13_G0018033	CHM13_G0018303
CHM13_G0018035	CHM13_G0018242
CHM13_G0018035	CHM13_G0018245
CHM13_G0018037	CHM13_G0018247
CHM13_G0018037	CHM13_G0018249
CHM13_G0018039	CHM13_G0018249
CHM13_G0018041	CHM13_G0018249
CHM13_G0018041	CHM13_G0018251
CHM13_G0018042	CHM13_G0018251
CHM13_G0018043	CHM13_G0018249
CHM13_G0018043	CHM13_G0018251
CHM13_G0018048	CHM13_G0018060
CHM13_G0018048	CHM13_G0018222
CHM13_G0018048	CHM13_G0018234
CHM13_G0018048	LOFF_G0000942
CHM13_G0018048	LOFF_G0000945
CHM13_G0018051	CHM13_G0018229
CHM13_G0018052	CHM13_G0018226
CHM13_G0018052	CHM13_G0018232
CHM13_G0018052	LOFF_G0000937
CHM13_G0018054	CHM13_G0018059
CHM13_G0018054	CHM13_G0018236
CHM13_G0018054	LOFF_G0000936
CHM13_G0018055	CHM13_G0018058
CHM13_G0018055	CHM13_G0018237
CHM13_G0018055	LOFF_G0000935
CHM13_G0018056	CHM13_G0018057
CHM13_G0018056	CHM13_G0018239
CHM13_G0018057	CHM13_G0018218
CHM13_G0018057	CHM13_G0018239
CHM13_G0018058	CHM13_G0018220
CHM13_G0018058	CHM13_G0018237
CHM13_G0018058	LOFF_G0000935
CHM13_G0018059	CHM13_G0018221
CHM13_G0018059	CHM13_G0018236
CHM13_G0018059	LOFF_G0000936
CHM13_G0018060	CHM13_G0018222
CHM13_G0018060	CHM13_G0018234
CHM13_G0018060	LOFF_G0000942
CHM13_G0018219	LOFF_G0000911
CHM13_G0018219	LOFF_G0000931
CHM13_G0018219	LOFF_G0000934
CHM13_G0018219	LOFF_G0000944
CHM13_G0018220	LOFF_G0000935
CHM13_G0018221	LOFF_G0000936
CHM13_G0018222	LOFF_G0000945
CHM13_G0018225	LOFF_G0000937
CHM13_G0018226	CHM13_G0018232
CHM13_G0018228	CHM13_G0018230
CHM13_G0018228	LOFF_G0000938
CHM13_G0018228	LOFF_G0000939
CHM13_G0018230	LOFF_G0000938
CHM13_G0018230	LOFF_G0000939
CHM13_G0018232	LOFF_G0000937
CHM13_G0018234	LOFF_G0000942
CHM13_G0018234	LOFF_G0000945
CHM13_G0018236	LOFF_G0000936
CHM13_G0018237	LOFF_G0000935
CHM13_G0018238	LOFF_G0000911
CHM13_G0018238	LOFF_G0000931
CHM13_G0018238	LOFF_G0000934
CHM13_G0018238	LOFF_G0000943
CHM13_G0018238	LOFF_G0000944
CHM13_G0018240	LOFF_G0000932
CHM13_G0018241	LOFF_G0000932
CHM13_G0018242	CHM13_G0018273
CHM13_G0018242	CHM13_G0018278
CHM13_G0018242	CHM13_G0018303
CHM13_G0018242	CHM13_G0018345
CHM13_G0018242	CHM13_G0018347
CHM13_G0018273	CHM13_G0018290
CHM13_G0018273	CHM13_G0018298
CHM13_G0018273	CHM13_G0018351
CHM13_G0018275	CHM13_G0018289
CHM13_G0018275	CHM13_G0018300
CHM13_G0018275	CHM13_G0018350
CHM13_G0018276	CHM13_G0018286
CHM13_G0018276	CHM13_G0018301
CHM13_G0018276	CHM13_G0018347
CHM13_G0018276	CHM13_G0018348
CHM13_G0018278	CHM13_G0018303
CHM13_G0018278	CHM13_G0018345
CHM13_G0018278	CHM13_G0018347
CHM13_G0018278	CHM13_G0018360
CHM13_G0018280	CHM13_G0018344
CHM13_G0018281	CHM13_G0018343
CHM13_G0018286	CHM13_G0018301
CHM13_G0018286	CHM13_G0018333
CHM13_G0018286	CHM13_G0018347
CHM13_G0018286	CHM13_G0018348
CHM13_G0018289	CHM13_G0018300
CHM13_G0018289	CHM13_G0018350
CHM13_G0018290	CHM13_G0018298
CHM13_G0018290	CHM13_G0018351
CHM13_G0018290	CHM13_G0018360
CHM13_G0018292	CHM13_G0018297
CHM13_G0018292	CHM13_G0018353
CHM13_G0018292	CHM13_G0018357
CHM13_G0018293	CHM13_G0018355
CHM13_G0018293	CHM13_G0018356
CHM13_G0018293	CHM13_G0018357
CHM13_G0018295	CHM13_G0018355
CHM13_G0018296	CHM13_G0018354
CHM13_G0018297	CHM13_G0018353
CHM13_G0018297	CHM13_G0018357
CHM13_G0018298	CHM13_G0018351
CHM13_G0018298	CHM13_G0018360
CHM13_G0018300	CHM13_G0018350
CHM13_G0018301	CHM13_G0018347
CHM13_G0018301	CHM13_G0018348
CHM13_G0018303	CHM13_G0018345
CHM13_G0018303	CHM13_G0018347
CHM13_G0018303	CHM13_G0018360
CHM13_G0018306	CHM13_G0018360
CHM13_G0018306	LOFF_G0000933
CHM13_G0018306	LOFF_G0000952
CHM13_G0018306	LOFF_G0000956
CHM13_G0018306	LOFF_G0000966
CHM13_G0018308	CHM13_G0018362
CHM13_G0018308	CHM13_G0018363
CHM13_G0018345	CHM13_G0018351
CHM13_G0018345	CHM13_G0018360
CHM13_G0018347	CHM13_G0018351
CHM13_G0018347	CHM13_G0018360
CHM13_G0018351	CHM13_G0018360
CHM13_G0018351	LOFF_G0000954
CHM13_G0018351	LOFF_G0000963
CHM13_G0018353	CHM13_G0018357
CHM13_G0018360	LOFF_G0000956
CHM13_G0018360	LOFF_G0000963
CHM13_G0018360	LOFF_G0000966
CHM13_G0018398	CHM13_G0018406
CHM13_G0018401	CHM13_G0018408
CHM13_G0018649	CHM13_G0018654
CHM13_G0018649	CHM13_G0018658
CHM13_G0018650	CHM13_G0018659
CHM13_G0018650	CHM13_G0018660
CHM13_G0018651	CHM13_G0018660
CHM13_G0018654	CHM13_G0018662
CHM13_G0018657	CHM13_G0018662
CHM13_G0018657	CHM13_G0018664
CHM13_G0019324	CHM13_G0019361
CHM13_G0019326	CHM13_G0019360
CHM13_G0019327	CHM13_G0019358
CHM13_G0019327	CHM13_G0019418
CHM13_G0019327	CHM13_G0019420
CHM13_G0019357	CHM13_G0019422
CHM13_G0019358	CHM13_G0019418
CHM13_G0019358	CHM13_G0019420
CHM13_G0019418	CHM13_G0019420
CHM13_G0019623	CHM13_G0019739
CHM13_G0019624	CHM13_G0019688
CHM13_G0019624	CHM13_G0019738
CHM13_G0019624	LOFF_G0000986
CHM13_G0019625	CHM13_G0019686
CHM13_G0019625	CHM13_G0019708
CHM13_G0019625	CHM13_G0019709
CHM13_G0019625	CHM13_G0019734
CHM13_G0019629	CHM13_G0019688
CHM13_G0019629	CHM13_G0019707
CHM13_G0019629	CHM13_G0019708
CHM13_G0019629	CHM13_G0019709
CHM13_G0019630	CHM13_G0019688
CHM13_G0019630	CHM13_G0019707
CHM13_G0019630	CHM13_G0019708
CHM13_G0019633	CHM13_G0019684
CHM13_G0019633	CHM13_G0019689
CHM13_G0019633	CHM13_G0019702
CHM13_G0019634	CHM13_G0019684
CHM13_G0019634	CHM13_G0019685
CHM13_G0019634	CHM13_G0019686
CHM13_G0019634	CHM13_G0019691
CHM13_G0019634	CHM13_G0019692
CHM13_G0019634	CHM13_G0019693
CHM13_G0019634	CHM13_G0019694
CHM13_G0019634	CHM13_G0019696
CHM13_G0019634	CHM13_G0019697
CHM13_G0019634	CHM13_G0019701
CHM13_G0019634	CHM13_G0019734
CHM13_G0019634	CHM13_G0019736
CHM13_G0019634	LOFF_G0000983
CHM13_G0019634	LOFF_G0000988
CHM13_G0019636	CHM13_G0019686
CHM13_G0019636	CHM13_G0019696
CHM13_G0019636	CHM13_G0019697
CHM13_G0019636	CHM13_G0019734
CHM13_G0019636	CHM13_G0019736
CHM13_G0019636	LOFF_G0000987
CHM13_G0019682	CHM13_G0019706
CHM13_G0019684	CHM13_G0019701
CHM13_G0019684	CHM13_G0019702
CHM13_G0019684	CHM13_G0019704
CHM13_G0019684	CHM13_G0019736
CHM13_G0019685	CHM13_G0019701
CHM13_G0019685	CHM13_G0019736
CHM13_G0019686	CHM13_G0019734
CHM13_G0019686	CHM13_G0019736
CHM13_G0019686	LOFF_G0000987
CHM13_G0019686	LOFF_G0000988
CHM13_G0019688	CHM13_G0019738
CHM13_G0019688	LOFF_G0000986
CHM13_G0019689	CHM13_G0019699
CHM13_G0019701	CHM13_G0019736
CHM13_G0019736	LOFF_G0000983
CHM13_G0019736	LOFF_G0000988
CHM13_G0019738	LOFF_G0000986
CHM13_G0020115	CHM13_G0046620
CHM13_G0020115	CHM13_G0049689
CHM13_G0020115	LOFF_G0000400
CHM13_G0020115	LOFF_G0001395
CHM13_G0020116	LOFF_G0000004
CHM13_G0020116	LOFF_G0000399
CHM13_G0020119	CHM13_G0026968
CHM13_G0020119	CHM13_G0032072
CHM13_G0020119	CHM13_G0055183
CHM13_G0020119	LOFF_G0000440
CHM13_G0020119	LOFF_G0001616
CHM13_G0020120	CHM13_G0026967
CHM13_G0020120	CHM13_G0032072
CHM13_G0020120	CHM13_G0032073
CHM13_G0020120	LOFF_G0000440
CHM13_G0020120	LOFF_G0001616
CHM13_G0020120	LOFF_G0002647
CHM13_G0020121	CHM13_G0026967
CHM13_G0020121	CHM13_G0032072
CHM13_G0020121	CHM13_G0032073
CHM13_G0020121	LOFF_G0002647
CHM13_G0020122	CHM13_G0026967
CHM13_G0020122	CHM13_G0032072
CHM13_G0020122	CHM13_G0032073
CHM13_G0020122	LOFF_G0000440
CHM13_G0020122	LOFF_G0001388
CHM13_G0020124	CHM13_G0032072
CHM13_G0020124	LOFF_G0001388
CHM13_G0020125	CHM13_G0032072
CHM13_G0020125	LOFF_G0000440
CHM13_G0020224	CHM13_G0020225
CHM13_G0020308	CHM13_G0020712
CHM13_G0020308	CHM13_G0020764
CHM13_G0020359	CHM13_G0020369
CHM13_G0020359	CHM13_G0020370
CHM13_G0020702	CHM13_G0020714
CHM13_G0020702	CHM13_G0020725
CHM13_G0020702	CHM13_G0020726
CHM13_G0020702	CHM13_G0020732
CHM13_G0020702	CHM13_G0020773
CHM13_G0020702	CHM13_G0020801
CHM13_G0020702	CHM13_G0020804
CHM13_G0020702	LOFF_G0001030
CHM13_G0020703	CHM13_G0020717
CHM13_G0020703	CHM13_G0020724
CHM13_G0020703	CHM13_G0020731
CHM13_G0020703	CHM13_G0020774
CHM13_G0020703	CHM13_G0020800
CHM13_G0020703	CHM13_G0020803
CHM13_G0020703	LOFF_G0001024
CHM13_G0020704	CHM13_G0020753
CHM13_G0020704	CHM13_G0020810
CHM13_G0020705	CHM13_G0020755
CHM13_G0020705	CHM13_G0020807
CHM13_G0020707	CHM13_G0020755
CHM13_G0020707	CHM13_G0020758
CHM13_G0020707	CHM13_G0020759
CHM13_G0020707	CHM13_G0020807
CHM13_G0020708	CHM13_G0020755
CHM13_G0020708	CHM13_G0020758
CHM13_G0020708	CHM13_G0020807
CHM13_G0020712	CHM13_G0020764
CHM13_G0020712	CHM13_G0020769
CHM13_G0020712	CHM13_G0020801
CHM13_G0020712	CHM13_G0020802
CHM13_G0020712	CHM13_G0020804
CHM13_G0020712	LOFF_G0001012
CHM13_G0020712	LOFF_G0001030
CHM13_G0020714	CHM13_G0020732
CHM13_G0020714	CHM13_G0020764
CHM13_G0020714	CHM13_G0020769
CHM13_G0020714	CHM13_G0020773
CHM13_G0020714	CHM13_G0020801
CHM13_G0020714	CHM13_G0020802
CHM13_G0020714	CHM13_G0020804
CHM13_G0020714	LOFF_G0001030
CHM13_G0020717	CHM13_G0020731
CHM13_G0020717	CHM13_G0020774
CHM13_G0020717	CHM13_G0020800
CHM13_G0020717	CHM13_G0020803
CHM13_G0020717	LOFF_G0001024
CHM13_G0020723	CHM13_G0020901
CHM13_G0020724	CHM13_G0020731
CHM13_G0020724	CHM13_G0020732
CHM13_G0020724	CHM13_G0020773
CHM13_G0020724	CHM13_G0020774
CHM13_G0020724	CHM13_G0020800
CHM13_G0020724	CHM13_G0020801
CHM13_G0020724	LOFF_G0001030
CHM13_G0020725	CHM13_G0020732
CHM13_G0020725	CHM13_G0020773
CHM13_G0020725	CHM13_G0020801
CHM13_G0020725	LOFF_G0001030
CHM13_G0020726	CHM13_G0020732
CHM13_G0020726	CHM13_G0020769
CHM13_G0020726	CHM13_G0020773
CHM13_G0020726	CHM13_G0020801
CHM13_G0020726	CHM13_G0020802
CHM13_G0020726	LOFF_G0001030
CHM13_G0020731	CHM13_G0020774
CHM13_G0020731	CHM13_G0020800
CHM13_G0020731	CHM13_G0020803
CHM13_G0020731	LOFF_G0001024
CHM13_G0020732	CHM13_G0020773
CHM13_G0020732	CHM13_G0020801
CHM13_G0020732	CHM13_G0020804
CHM13_G0020732	LOFF_G0001030
CHM13_G0020753	CHM13_G0020810
CHM13_G0020755	CHM13_G0020807
CHM13_G0020758	CHM13_G0020807
CHM13_G0020759	CHM13_G0020807
CHM13_G0020764	CHM13_G0020769
CHM13_G0020764	CHM13_G0020801
CHM13_G0020764	CHM13_G0020802
CHM13_G0020764	CHM13_G0020804
CHM13_G0020764	LOFF_G0001012
CHM13_G0020769	CHM13_G0020801
CHM13_G0020769	CHM13_G0020802
CHM13_G0020769	LOFF_G0001012
CHM13_G0020769	LOFF_G0001030
CHM13_G0020773	CHM13_G0020801
CHM13_G0020773	LOFF_G0001030
CHM13_G0020774	CHM13_G0020800
CHM13_G0020774	LOFF_G0001024
CHM13_G0020800	CHM13_G0020803
CHM13_G0020801	CHM13_G0020804
CHM13_G0020801	LOFF_G0001012
CHM13_G0020802	CHM13_G0020804
CHM13_G0020802	LOFF_G0001012
CHM13_G0020803	LOFF_G0001024
CHM13_G0020804	LOFF_G0001030
CHM13_G0020889	CHM13_G0021104
CHM13_G0020889	CHM13_G0021111
CHM13_G0020889	CHM13_G0021112
CHM13_G0020890	CHM13_G0021046
CHM13_G0020890	CHM13_G0021111
CHM13_G0020890	CHM13_G0021113
CHM13_G0020891	CHM13_G0020897
CHM13_G0020891	CHM13_G0020922
CHM13_G0020891	CHM13_G0021114
CHM13_G0020891	CHM13_G0021185
CHM13_G0020891	CHM13_G0025963
CHM13_G0020891	LOFF_G0001051
CHM13_G0020891	LOFF_G0001061
CHM13_G0020891	LOFF_G0001075
CHM13_G0020892	CHM13_G0020898
CHM13_G0020892	CHM13_G0020899
CHM13_G0020892	CHM13_G0020920
CHM13_G0020892	CHM13_G0020921
CHM13_G0020892	CHM13_G0020934
CHM13_G0020892	CHM13_G0020935
CHM13_G0020892	CHM13_G0020937
CHM13_G0020892	CHM13_G0021116
CHM13_G0020892	CHM13_G0021117
CHM13_G0020892	CHM13_G0021131
CHM13_G0020892	CHM13_G0021134
CHM13_G0020892	CHM13_G0021188
CHM13_G0020892	LOFF_G0001068
CHM13_G0020895	CHM13_G0020923
CHM13_G0020895	LOFF_G0001054
CHM13_G0020897	CHM13_G0020922
CHM13_G0020897	CHM13_G0021114
CHM13_G0020897	CHM13_G0021185
CHM13_G0020897	CHM13_G0025963
CHM13_G0020897	LOFF_G0001051
CHM13_G0020897	LOFF_G0001061
CHM13_G0020897	LOFF_G0001075
CHM13_G0020898	CHM13_G0020920
CHM13_G0020898	CHM13_G0020921
CHM13_G0020898	CHM13_G0020934
CHM13_G0020898	CHM13_G0020937
CHM13_G0020898	CHM13_G0021115
CHM13_G0020898	CHM13_G0021116
CHM13_G0020898	CHM13_G0021130
CHM13_G0020898	CHM13_G0021131
CHM13_G0020898	CHM13_G0021187
CHM13_G0020898	CHM13_G0021188
CHM13_G0020898	CHM13_G0025964
CHM13_G0020898	CHM13_G0025965
CHM13_G0020898	LOFF_G0001068
CHM13_G0020898	LOFF_G0001077
CHM13_G0020899	CHM13_G0020920
CHM13_G0020899	CHM13_G0020921
CHM13_G0020899	CHM13_G0020934
CHM13_G0020899	CHM13_G0020937
CHM13_G0020899	CHM13_G0021116
CHM13_G0020899	CHM13_G0021117
CHM13_G0020899	CHM13_G0021131
CHM13_G0020899	CHM13_G0021188
CHM13_G0020899	LOFF_G0001068
CHM13_G0020901	CHM13_G0020923
CHM13_G0020901	CHM13_G0020934
CHM13_G0020901	CHM13_G0021101
CHM13_G0020901	CHM13_G0021102
CHM13_G0020920	CHM13_G0020934
CHM13_G0020920	CHM13_G0020937
CHM13_G0020920	CHM13_G0021116
CHM13_G0020920	CHM13_G0021117
CHM13_G0020920	CHM13_G0021131
CHM13_G0020920	CHM13_G0021188
CHM13_G0020920	LOFF_G0001068
CHM13_G0020921	CHM13_G0020934
CHM13_G0020921	CHM13_G0020937
CHM13_G0020921	CHM13_G0021115
CHM13_G0020921	CHM13_G0021116
CHM13_G0020921	CHM13_G0021130
CHM13_G0020921	CHM13_G0021131
CHM13_G0020921	CHM13_G0021187
CHM13_G0020921	CHM13_G0021188
CHM13_G0020921	LOFF_G0001068
CHM13_G0020921	LOFF_G0001077
CHM13_G0020922	CHM13_G0021114
CHM13_G0020922	CHM13_G0021185
CHM13_G0020922	LOFF_G0001051
CHM13_G0020922	LOFF_G0001061
CHM13_G0020922	LOFF_G0001075
CHM13_G0020923	CHM13_G0021101
CHM13_G0020923	CHM13_G0021102
CHM13_G0020923	LOFF_G0001054
CHM13_G0020925	CHM13_G0020938
CHM13_G0020925	LOFF_G0001046
CHM13_G0020932	CHM13_G0021135
CHM13_G0020932	LOFF_G0001045
CHM13_G0020934	CHM13_G0021116
CHM13_G0020934	CHM13_G0021117
CHM13_G0020934	CHM13_G0021131
CHM13_G0020934	CHM13_G0021132
CHM13_G0020934	CHM13_G0021134
CHM13_G0020934	CHM13_G0021188
CHM13_G0020934	LOFF_G0001068
CHM13_G0020935	CHM13_G0021117
CHM13_G0020935	CHM13_G0021134
CHM13_G0020937	CHM13_G0021115
CHM13_G0020937	CHM13_G0021116
CHM13_G0020937	CHM13_G0021130
CHM13_G0020937	CHM13_G0021131
CHM13_G0020937	CHM13_G0021187
CHM13_G0020937	CHM13_G0021188
CHM13_G0020937	LOFF_G0001068
CHM13_G0020937	LOFF_G0001077
CHM13_G0020938	LOFF_G0001046
CHM13_G0021046	CHM13_G0021051
CHM13_G0021046	CHM13_G0021075
CHM13_G0021046	CHM13_G0021100
CHM13_G0021046	CHM13_G0021114
CHM13_G0021046	CHM13_G0022248
CHM13_G0021046	LOFF_G0001214
CHM13_G0021046	LOFF_G0001219
CHM13_G0021047	CHM13_G0021051
CHM13_G0021047	CHM13_G0021075
CHM13_G0021047	CHM13_G0021100
CHM13_G0021047	CHM13_G0021114
CHM13_G0021047	CHM13_G0022248
CHM13_G0021047	LOFF_G0001214
CHM13_G0021047	LOFF_G0001219
CHM13_G0021048	CHM13_G0021054
CHM13_G0021048	CHM13_G0021074
CHM13_G0021048	CHM13_G0021099
CHM13_G0021048	CHM13_G0021115
CHM13_G0021048	CHM13_G0022247
CHM13_G0021048	LOFF_G0001213
CHM13_G0021048	LOFF_G0001218
CHM13_G0021051	CHM13_G0021069
CHM13_G0021051	CHM13_G0021075
CHM13_G0021051	CHM13_G0021100
CHM13_G0021051	CHM13_G0022248
CHM13_G0021051	LOFF_G0001214
CHM13_G0021051	LOFF_G0001219
CHM13_G0021052	CHM13_G0021072
CHM13_G0021052	CHM13_G0021076
CHM13_G0021054	CHM13_G0021068
CHM13_G0021054	CHM13_G0021074
CHM13_G0021054	CHM13_G0021099
CHM13_G0021054	CHM13_G0022247
CHM13_G0021054	LOFF_G0001213
CHM13_G0021054	LOFF_G0001218
CHM13_G0021068	CHM13_G0021074
CHM13_G0021068	CHM13_G0021099
CHM13_G0021068	CHM13_G0022247
CHM13_G0021068	LOFF_G0001213
CHM13_G0021068	LOFF_G0001218
CHM13_G0021069	CHM13_G0021075
CHM13_G0021069	CHM13_G0021100
CHM13_G0021069	CHM13_G0022248
CHM13_G0021069	LOFF_G0001214
CHM13_G0021069	LOFF_G0001219
CHM13_G0021074	CHM13_G0021099
CHM13_G0021074	CHM13_G0021130
CHM13_G0021074	CHM13_G0021187
CHM13_G0021074	CHM13_G0022247
CHM13_G0021074	LOFF_G0001077
CHM13_G0021074	LOFF_G0001213
CHM13_G0021074	LOFF_G0001218
CHM13_G0021075	CHM13_G0021100
CHM13_G0021075	CHM13_G0021185
CHM13_G0021075	CHM13_G0022248
CHM13_G0021075	LOFF_G0001061
CHM13_G0021075	LOFF_G0001075
CHM13_G0021075	LOFF_G0001214
CHM13_G0021075	LOFF_G0001219
CHM13_G0021099	CHM13_G0021130
CHM13_G0021099	CHM13_G0021187
CHM13_G0021099	CHM13_G0022247
CHM13_G0021099	LOFF_G0001077
CHM13_G0021099	LOFF_G0001213
CHM13_G0021099	LOFF_G0001218
CHM13_G0021100	CHM13_G0021185
CHM13_G0021100	CHM13_G0022248
CHM13_G0021100	LOFF_G0001061
CHM13_G0021100	LOFF_G0001075
CHM13_G0021100	LOFF_G0001214
CHM13_G0021100	LOFF_G0001219
CHM13_G0021114	CHM13_G0021185
CHM13_G0021114	LOFF_G0001051
CHM13_G0021114	LOFF_G0001061
CHM13_G0021115	CHM13_G0021130
CHM13_G0021115	CHM13_G0021187
CHM13_G0021116	CHM13_G0021131
CHM13_G0021116	CHM13_G0022132
CHM13_G0021116	LOFF_G0001068
CHM13_G0021117	CHM13_G0021131
CHM13_G0021117	CHM13_G0021188
CHM13_G0021117	CHM13_G0022132
CHM13_G0021117	LOFF_G0001068
CHM13_G0021120	CHM13_G0021180
CHM13_G0021121	LOFF_G0001063
CHM13_G0021121	LOFF_G0001064
CHM13_G0021121	LOFF_G0001069
CHM13_G0021121	LOFF_G0001070
CHM13_G0021122	LOFF_G0001063
CHM13_G0021122	LOFF_G0001064
CHM13_G0021122	LOFF_G0001069
CHM13_G0021122	LOFF_G0001070
CHM13_G0021122	LOFF_G0001071
CHM13_G0021125	LOFF_G0001064
CHM13_G0021125	LOFF_G0001065
CHM13_G0021125	LOFF_G0001070
CHM13_G0021125	LOFF_G0001071
CHM13_G0021127	LOFF_G0001064
CHM13_G0021127	LOFF_G0001065
CHM13_G0021127	LOFF_G0001071
CHM13_G0021128	LOFF_G0001066
CHM13_G0021128	LOFF_G0001074
CHM13_G0021130	CHM13_G0021187
CHM13_G0021130	LOFF_G0001077
CHM13_G0021131	CHM13_G0021188
CHM13_G0021131	LOFF_G0001068
CHM13_G0021132	CHM13_G0021188
CHM13_G0021135	LOFF_G0001045
CHM13_G0021182	LOFF_G0001059
CHM13_G0021182	LOFF_G0001060
CHM13_G0021182	LOFF_G0001072
CHM13_G0021182	LOFF_G0001073
CHM13_G0021184	LOFF_G0001059
CHM13_G0021184	LOFF_G0001060
CHM13_G0021184	LOFF_G0001072
CHM13_G0021184	LOFF_G0001073
CHM13_G0021185	LOFF_G0001051
CHM13_G0021185	LOFF_G0001061
CHM13_G0021185	LOFF_G0001075
CHM13_G0021187	LOFF_G0001077
CHM13_G0021188	LOFF_G0001068
CHM13_G0021328	CHM13_G0021411
