fam	gene	chrom	start	end	bp	cls	bucket	rna_found	topup	n_exons	exonic_bp	exon_frac	n_cds	n_genes	biotypes
ID_240	AL157893.1	chr10	88097762	88099813	2051	unannotated	FOUND:rna-split	True	False	0	0	0.0	0	0	-
ID_327	CTSLP1	chr10	88270282	88273802	3520	pseudogene	FOUND:rna-split	True	False	7	1004	0.285	0	0	-
ID_332	FO538757.1	chr11	3740	5220	1480	coding	MISS:resolved-elsewhere	False	False	9	1239	0.837	9	1	protein_coding
ID_391	WASHC1	chr11	5922	16459	10537	coding	FOUND:rna-split	True	False	82	17216	1.634	78	1	protein_coding
ID_43	TRIM64DP	chr11	89696664	89702267	5603	pseudogene	FOUND:protein-tail	True	False	0	0	0.0	0	0	-
ID_43	TRIM64B	chr11	89788985	89795720	6735	coding	MISS:not-expressed	False	False	6	1533	0.228	6	1	protein_coding
ID_43	TRIM64	chr11	89888639	89894223	5584	coding	MISS:collapse-K0	False	False	12	2738	0.49	11	1	protein_coding
ID_43	TRIM64EP	chr11	89977681	89983077	5396	coding	FOUND:protein-tail	True	False	0	0	0.0	0	1	protein_coding
ID_332	DDX11L5	chr12	5135	6786	1651	coding	FOUND:projection	True	False	19	4503	2.727	15	1	protein_coding
ID_49	AC009533.1	chr12	9259741	9295801	36060	lncRNA	FOUND:rna-split	True	False	22	2652	0.074	0	1	lncRNA
ID_49	DDX12P	chr12	9401422	9430965	29543	transcribed_pseudogene	FOUND:rna-split	True	False	27	2939	0.099	0	0	-
ID_49	DDX11	chr12	30948352	30979293	30941	coding	FOUND:protein-tail	True	False	1351	231534	7.483	1143	1	protein_coding
ID_22	AL356585.3	chr13	13560341	13578654	18313	piece-of-other	FOUND:rna-split	True	False	23	2555	0.14	0	1	protein_coding
ID_251	AL356585.4	chr13	13734170	13738626	4456	pseudogene	FOUND:rna-split	True	False	4	1229	0.276	0	0	-
ID_147	FO681491.1	chr13	17624760	17647558	22798	pseudogene	FOUND:rna-split	True	False	7	1441	0.063	0	1	snRNA
ID_142	CR381670.1	chr14	5759975	5783699	23724	pseudogene	FOUND:rna-split	True	False	0	0	0.0	0	0	-
ID_411	OR11H12	chr14	13104431	13105517	1086	coding	MISS:not-expressed	False	False	1	981	0.903	1	1	protein_coding
ID_65	CR383656.5	chr14	13134773	13154353	19580	pseudogene	MISS:not-expressed	False	False	5	784	0.04	0	1	lncRNA
ID_403	NF1P10	chr14	13212855	13215996	3141	pseudogene	FOUND:rna-split	True	False	0	0	0.0	0	0	-
ID_411	OR11H13P	chr14	13493444	13494424	980	pseudogene	MISS:genuine-miss	False	False	0	0	0.0	0	0	-
ID_300	BMS1P17	chr14	13614822	13630011	15189	piece-of-other	FOUND:protein-tail	True	False	7	1089	0.072	0	1	lncRNA
ID_403	NF1P7	chr14	13803703	13813427	9724	pseudogene	FOUND:rna-split	True	False	0	0	0.0	0	0	-
ID_148	AC126603.1	chr15	18136928	18186041	49113	pseudogene	MISS:genuine-miss	False	False	13	1875	0.038	0	0	-
ID_188	HERC2P3	chr15	18291208	18418223	127015	transcribed_pseudogene	FOUND:rna-split	True	False	26	4279	0.034	0	0	-
ID_71	AC023310.1	chr15	18428068	18432445	4377	piece-of-other	FOUND:projection	True	False	4	733	0.167	0	0	-
ID_116	GOLGA6L6	chr15	18443672	18453636	9964	coding	FOUND:rna-split	True	False	10	3977	0.399	9	1	protein_coding
ID_113	GOLGA8CP	chr15	18474211	18487534	13323	transcribed_pseudogene	FOUND:rna-split	True	False	18	5251	0.394	0	0	-
ID_167	CHEK2P2	chr15	19353208	19362048	8840	lncRNA	FOUND:rna-split	True	False	28	4629	0.524	0	1	lncRNA
ID_113	GOLGA8EP	chr15	20099133	20109998	10865	transcribed_pseudogene	FOUND:rna-split	True	False	18	2781	0.256	0	0	-
ID_116	GOLGA6L22	chr15	20130998	20141345	10347	coding	FOUND:rna-split	True	False	20	8727	0.843	18	1	protein_coding
ID_71	HERC2P7	chr15	20152552	20156955	4403	transcribed_pseudogene	FOUND:rna-split	True	False	3	480	0.109	0	0	-
ID_188	HERC2P2	chr15	20166919	20262941	96022	transcribed_pseudogene	FOUND:rna-split	True	False	38	6621	0.069	0	0	-
ID_113	GOLGA8IP	chr15	20278132	20289966	11834	transcribed_pseudogene	FOUND:rna-split	True	False	15	2312	0.195	0	1	lncRNA
ID_156	WHAMMP3	chr15	20336417	20358287	21870	transcribed_pseudogene	FOUND:rna-split	True	False	11	3590	0.164	0	0	-
ID_113	GOLGA8DP	chr15	20841226	20854575	13349	transcribed_pseudogene	FOUND:rna-split	True	False	18	5243	0.393	0	0	-
ID_116	GOLGA6L1	chr15	21006515	21016292	9777	coding	FOUND:rna-split	True	False	19	6449	0.66	19	1	protein_coding
ID_71	AC242376.1	chr15	21046171	21050536	4365	piece-of-other	FOUND:rna-split	True	False	8	1403	0.321	0	0	-
ID_116	AC100756.3	chr15	21062528	21070403	7875	coding	FOUND:rna-split	True	False	19	3949	0.501	19	1	protein_coding
ID_113	GOLGA8S	chr15	21091024	21103533	12509	coding	FOUND:rna-split	True	False	56	12498	0.999	49	1	protein_coding
ID_188	HERC2	chr15	25853559	26064943	211384	coding	FOUND:rna-split	True	False	951	158393	0.749	939	1	protein_coding
ID_71	AC091304.3	chr15	26074992	26079365	4373	piece-of-other	FOUND:rna-split	True	False	10	1652	0.378	0	1	lncRNA
ID_116	AC091304.1	chr15	26091804	26100822	9018	coding	FOUND:rna-split	True	False	10	3048	0.338	9	1	protein_coding
ID_113	GOLGA8F	chr15	26121343	26134741	13398	coding	FOUND:rna-split	True	False	245	58514	4.367	171	1	protein_coding
ID_113	GOLGA8G	chr15	26296346	26309751	13405	coding	FOUND:rna-split	True	False	150	36979	2.759	112	1	protein_coding
ID_116	AC138749.1	chr15	26330348	26338091	7743	coding	FOUND:rna-split	True	False	8	2474	0.32	8	1	protein_coding
ID_71	HERC2P11	chr15	26351728	26356111	4383	transcribed_pseudogene	FOUND:rna-split	True	False	4	703	0.16	0	0	-
ID_188	HERC2P9	chr15	26366200	26461978	95778	transcribed_pseudogene	FOUND:rna-split	True	False	17	3493	0.036	0	0	-
ID_113	GOLGA8M	chr15	26478664	26515105	36441	coding	FOUND:rna-split	True	False	129	21176	0.581	118	2	lncRNA;protein_coding
ID_156	WHAMMP2	chr15	26514302	26535923	21621	transcribed_pseudogene	FOUND:rna-split	True	False	9	5246	0.243	0	0	-
ID_113	GOLGA8J	chr15	27874771	27885220	10449	coding	FOUND:rna-split	True	False	68	7096	0.679	68	1	protein_coding
ID_68	DNM1P28	chr15	27890545	27893814	3269	pseudogene	FOUND:protein-tail	True	False	4	1115	0.341	0	0	-
ID_179	ULK4P3	chr15	27895441	27922933	27492	transcribed_pseudogene	FOUND:projection	True	False	6	744	0.027	0	1	snoRNA
ID_113	GOLGA8T	chr15	27926870	27937297	10427	coding	FOUND:rna-split	True	False	56	5760	0.552	51	1	protein_coding
ID_68	AC019322.3	chr15	28188413	28189637	1224	piece-of-other	FOUND:protein-tail	True	False	2	423	0.346	0	0	-
ID_113	GOLGA8R	chr15	28197010	28207436	10426	coding	FOUND:rna-split	True	False	19	1898	0.182	19	1	protein_coding
ID_156	AC127502.1	chr15	28264052	28300871	36819	transcribed_pseudogene	FOUND:rna-split	True	False	14	4267	0.116	0	0	-
ID_156	AC127502.3	chr15	28300623	28306948	6325	pseudogene	FOUND:protein-tail	True	False	2	84	0.013	2	1	protein_coding
ID_113	GOLGA8Q	chr15	28345327	28355752	10425	coding	FOUND:rna-split	True	False	19	1898	0.182	19	1	protein_coding
ID_68	DNM1P50	chr15	28361066	28364334	3268	transcribed_pseudogene	FOUND:projection	True	False	3	777	0.238	0	0	-
ID_179	ULK4P2	chr15	28365932	28393844	27912	transcribed_pseudogene	FOUND:rna-split	True	False	8	10225	0.366	0	2	lncRNA;snoRNA
ID_113	GOLGA8H	chr15	28397319	28407743	10424	coding	FOUND:rna-split	True	False	34	4858	0.466	19	2	lncRNA;protein_coding
ID_113	GOLGA8K	chr15	30189305	30199719	10414	coding	FOUND:projection	True	False	23	4141	0.398	19	2	lncRNA;protein_coding
ID_179	ULK4P1	chr15	30203116	30231537	28421	transcribed_pseudogene	FOUND:rna-split	True	False	5	992	0.035	0	1	snoRNA
ID_68	DNM1P32	chr15	30233052	30236315	3263	pseudogene	FOUND:protein-tail	True	False	4	1112	0.341	0	0	-
ID_113	GOLGA8O	chr15	30238450	30252173	13723	coding	FOUND:rna-split	True	False	74	20565	1.499	69	1	protein_coding
ID_156	AC135983.4	chr15	30290477	30296821	6344	pseudogene	FOUND:projection	True	False	4	753	0.119	2	1	protein_coding
ID_113	GOLGA8N	chr15	30389923	30403785	13862	piece-of-other	FOUND:rna-split	True	False	20	5353	0.386	19	2	lncRNA;protein_coding
ID_78	GOLGA8A	chr15	32184802	32213415	28613	coding	FOUND:protein-tail	True	False	318	74996	2.621	192	1	protein_coding
ID_88	GOLGA6L10	chr15	80204111	80213595	9484	coding	FOUND:rna-split	True	False	18	6152	0.649	18	1	protein_coding
ID_78	UBE2Q2P2	chr15	80219260	80284203	64943	transcribed_pseudogene	FOUND:rna-split	True	False	5	1523	0.023	0	0	-
ID_88	GOLGA6L9	chr15	80294144	80303281	9137	coding	FOUND:rna-split	True	False	17	8114	0.888	13	1	protein_coding
ID_481	UBE2Q2P6	chr15	80309845	80318965	9120	pseudogene	FOUND:rna-split	True	False	0	0	0.0	0	0	-
ID_324	CSPG4P10	chr15	80323598	80341387	17789	pseudogene	FOUND:rna-split	True	False	22	12491	0.702	0	0	-
ID_481	UBE2Q2L	chr15	82038454	82054353	15899	transcribed_pseudogene	FOUND:rna-split	True	False	4	652	0.041	0	0	-
ID_324	CSPG4P11	chr15	82052722	82063358	10636	transcribed_pseudogene	FOUND:rna-split	True	False	6	4840	0.455	0	0	-
ID_88	GOLGA6L4	chr15	82101780	82111483	9703	coding	FOUND:rna-split	True	False	48	22705	2.34	48	1	protein_coding
ID_481	UBE2Q2P11	chr15	82117976	82127040	9064	pseudogene	FOUND:rna-split	True	False	0	0	0.0	0	0	-
ID_324	CSPG4P4Y	chr15	82133635	82137155	3520	pseudogene	FOUND:rna-split	True	False	0	0	0.0	0	0	-
ID_78	AC243562.1	chr15	82144483	82145499	1016	piece-of-other	FOUND:rna-split	True	False	6	389	0.383	0	1	lncRNA
ID_481	UBE2Q2P8	chr15	82169947	82170050	103	fragment	MISS:mischain	False	False	0	0	0.0	0	0	-
ID_324	DNM1P51	chr15	82233822	82242855	9033	pseudogene	FOUND:rna-split	True	False	3	3723	0.412	0	0	-
ID_481	UBE2Q2P12	chr15	82243926	82253037	9111	pseudogene	FOUND:rna-split	True	False	0	0	0.0	0	0	-
ID_88	GOLGA6L5P	chr15	82260324	82269230	8906	transcribed_pseudogene	FOUND:rna-split	True	False	10	3692	0.415	0	0	-
ID_78	UBE2Q2P1	chr15	82279207	82323633	44426	transcribed_pseudogene	FOUND:protein-tail	True	False	8	2319	0.052	0	1	lncRNA
ID_78	AC044860.1	chr15	82932394	82986906	54512	transcribed_pseudogene	FOUND:rna-split	True	False	29	9784	0.179	0	1	lncRNA
ID_324	CSPG4P12	chr15	82943632	82966101	22469	transcribed_pseudogene	FOUND:rna-split	True	False	23	8291	0.369	0	0	-
ID_391	WASH3P	chr15	99730896	99745839	14943	transcribed_pseudogene	FOUND:rna-split	True	False	14	1818	0.122	0	1	miRNA
ID_332	DDX11L9	chr15	99745852	99748389	2537	transcribed_pseudogene	FOUND:rna-split	True	False	7	3190	1.257	0	0	-
ID_332	DDX11L16	chr16	4785	7013	2228	transcribed_pseudogene	MISS:not-expressed	False	False	4	1352	0.607	0	0	-
ID_391	WASH6P	chr16	6965	11846	4881	pseudogene	MISS:not-expressed	False	False	13	1732	0.355	0	1	miRNA
ID_154	NPIPB2	chr16	11963305	12012756	49451	coding	FOUND:rna-split	True	False	57	8704	0.176	34	2	protein_coding
ID_154	NPIPA2	chr16	14746465	14763820	17355	coding	FOUND:rna-split	True	False	117	17727	1.021	114	1	protein_coding
ID_154	NPIPP1	chr16	15105361	15124458	19097	transcribed_pseudogene	FOUND:rna-split	True	False	21	4146	0.217	0	2	lncRNA;protein_coding
ID_154	NPIPA5	chr16	15368422	15385843	17421	coding	FOUND:rna-split	True	False	100	17970	1.032	89	1	protein_coding
ID_154	NPIPA7	chr16	16391277	16406172	14895	coding	FOUND:rna-split	True	False	8	1246	0.084	8	1	protein_coding
ID_154	NPIPB6	chr16	28623069	28643879	20810	coding	FOUND:rna-split	True	False	123	30953	1.487	110	1	protein_coding
ID_154	NPIPB8	chr16	28737050	28758038	20988	coding	FOUND:rna-split	True	False	9	3207	0.153	7	3	lncRNA;other;protein_coding
ID_154	NPIPB7	chr16	28924552	28939395	14843	coding	FOUND:rna-split	True	False	14	2462	0.166	14	1	protein_coding
ID_154	NPIPB9	chr16	29032364	29053395	21031	coding	FOUND:rna-split	True	False	100	23154	1.101	76	1	protein_coding
ID_154	NPIPB10P	chr16	29319787	29333871	14084	pseudogene	FOUND:rna-split	True	False	8	817	0.058	0	0	-
ID_154	NPIPB11	chr16	29663393	29685822	22429	coding	FOUND:rna-split	True	False	8	3393	0.151	7	1	protein_coding
ID_302	BOLA2B	chr16	29735379	29736755	1376	coding	MISS:mischain	False	False	23	8493	6.172	16	3	protein_coding
ID_154	NPIPB12	chr16	29765424	29788033	22609	coding	FOUND:projection	True	False	29	9800	0.433	24	2	lncRNA;protein_coding
ID_474	TP53TG3D	chr16	32640147	32643352	3205	coding	FOUND:rna-split	True	False	25	13666	4.264	6	1	protein_coding
ID_167	AC133548.1	chr16	32772942	32779658	6716	pseudogene	MISS:not-expressed	False	False	0	0	0.0	0	0	-
ID_26	SLC9B1P1	chr16	32804124	32821138	17014	pseudogene	MISS:not-expressed	False	False	4	620	0.036	0	0	-
ID_182	AC137800.1	chr16	33014727	33030069	15342	transcribed_pseudogene	FOUND:protein-tail	True	False	9	771	0.05	0	0	-
ID_182	AC137800.2	chr16	33033161	33036614	3453	piece-of-other	FOUND:protein-tail	True	False	3	476	0.138	0	0	-
ID_474	TP53TG3C	chr16	33087982	33090583	2601	coding	FOUND:rna-split	True	False	15	8322	3.2	4	1	protein_coding
ID_474	TP53TG3B	chr16	33607931	33611137	3206	coding	FOUND:rna-split	True	False	15	8518	2.657	4	1	protein_coding
ID_167	AC136944.3	chr16	33739351	33747637	8286	lncRNA	FOUND:rna-split	True	False	5	664	0.08	0	1	lncRNA
ID_148	AC142384.1	chr16	34884759	34929924	45165	pseudogene	MISS:mischain	False	False	11	1644	0.036	0	0	-
ID_154	NPIPB14P	chr16	75785804	75805631	19827	piece-of-other	FOUND:rna-split	True	False	10	2710	0.137	0	1	lncRNA
ID_154	NPIPB15	chr16	80195643	80209850	14207	coding	FOUND:rna-split	True	False	46	11004	0.775	42	2	lncRNA;protein_coding
ID_14	AC005562.2	chr17	31562334	31562446	112	fragment	FOUND:rna-split	True	False	1	113	1.009	0	0	-
ID_14	LRRC37BP1	chr17	31574334	31581958	7624	piece-of-other	FOUND:rna-split	True	False	12	5088	0.667	0	0	-
ID_14	LRRC37B	chr17	32953747	32999386	45639	coding	FOUND:rna-split	True	False	28	8749	0.192	24	1	protein_coding
ID_14	AC090616.5	chr17	33034040	33040757	6717	piece-of-other	FOUND:rna-split	True	False	3	1242	0.185	0	2	lncRNA
ID_92	AC243829.7	chr17	37109490	37110818	1328	unannotated	MISS:not-expressed	False	False	0	0	0.0	0	0	-
ID_468	TBC1D3B	chr17	37113571	37124508	10937	coding	FOUND:rna-split	True	False	51	8161	0.746	47	1	protein_coding
ID_468	TBC1D3I	chr17	37201376	37212474	11098	coding	FOUND:projection	True	False	15	2102	0.189	14	1	protein_coding
ID_209	AC233699.1	chr17	37222112	37268486	46374	coding	FOUND:rna-split	True	False	22	2240	0.048	15	2	protein_coding
ID_468	TBC1D3H	chr17	37325491	37336389	10898	coding	FOUND:rna-split	True	False	51	7883	0.723	47	1	protein_coding
ID_222	AC243829.6	chr17	37415116	37415223	107	unannotated	MISS:mischain	False	False	0	0	0.0	0	0	-
ID_468	TBC1D3K	chr17	38911393	38922345	10952	coding	FOUND:rna-split	True	False	91	21552	1.968	87	1	protein_coding
ID_468	TBC1D3D	chr17	38965110	38976061	10951	coding	FOUND:rna-split	True	False	113	28172	2.573	109	1	protein_coding
ID_468	TBC1D3E	chr17	38991013	39001923	10910	coding	FOUND:rna-split	True	False	110	26473	2.426	106	1	protein_coding
ID_468	TBC1D3	chr17	39044721	39055611	10890	coding	FOUND:rna-split	True	False	14	2063	0.189	13	1	protein_coding
ID_209	NPEPPSP1	chr17	39058772	39120206	61434	transcribed_pseudogene	FOUND:rna-split	True	False	12	1595	0.026	0	0	-
ID_14	LRRC37A	chr17	47154742	47199790	45048	coding	FOUND:protein-tail	True	False	157	59910	1.33	150	2	protein_coding
ID_14	LRRC37A2	chr17	47373158	47417300	44142	coding	FOUND:protein-tail	True	False	224	93571	2.12	201	2	protein_coding
ID_209	NPEPPS	chr17	48385624	48486670	101046	coding	FOUND:rna-split	True	False	131	26350	0.261	126	2	lncRNA;protein_coding
ID_468	TBC1D3P1	chr17	60877165	60886227	9062	pseudogene	FOUND:rna-split	True	False	2	182	0.02	0	0	-
ID_92	AC053481.4	chr17	63130560	63131864	1304	unannotated	MISS:not-expressed	False	False	0	0	0.0	0	0	-
ID_468	TBC1D3P2	chr17	63134634	63145601	10967	transcribed_pseudogene	FOUND:rna-split	True	False	28	4183	0.381	0	0	-
ID_14	LRRC37A3	chr17	65724068	65789437	65369	coding	FOUND:projection	True	False	33	45344	0.694	22	2	lncRNA;protein_coding
ID_359	FGF7P1	chr18	15048958	15050337	1379	pseudogene	FOUND:protein-tail	True	False	2	290	0.21	0	1	protein_coding
ID_332	DDX11L10	chr19	4458	6260	1802	transcribed_pseudogene	FOUND:protein-tail	True	False	3	917	0.509	0	0	-
ID_175	TEKT4P2	chr21	5692610	5754003	61393	transcribed_pseudogene	MISS:mischain	False	False	11	3689	0.06	0	0	-
ID_22	BAGE2	chr21	10610346	10714100	103754	transcribed_pseudogene	FOUND:rna-split	True	False	24	4439	0.043	0	0	-
ID_147	ANKRD30BP2	chr21	11382453	11411385	28932	transcribed_pseudogene	FOUND:rna-split	True	False	10	2872	0.099	0	0	-
ID_359	FGF7P2	chr21	11693615	11695000	1385	pseudogene	FOUND:projection	True	False	2	296	0.214	0	0	-
ID_175	AC134878.2	chr22	5801017	5862418	61401	lncRNA	MISS:genuine-miss	False	False	10	4022	0.066	0	1	lncRNA
ID_411	OR11H1	chr22	16102172	16103154	982	coding	MISS:not-expressed	False	False	1	948	0.965	1	1	protein_coding
ID_65	AP000534.2	chr22	16115445	16152024	36579	pseudogene	FOUND:rna-split	True	False	7	3089	0.084	0	0	-
ID_403	NF1P11	chr22	16196565	16203867	7302	pseudogene	FOUND:rna-split	True	False	0	0	0.0	0	0	-
ID_300	BMS1P22	chr22	16379167	16394790	15623	piece-of-other	FOUND:rna-split	True	False	4	757	0.048	0	0	-
ID_283	BCRP7	chr22	18941056	18944077	3021	piece-of-other	FOUND:rna-split	True	False	14	5138	1.701	6	3	lncRNA;protein_coding
ID_283	BCRP2	chr22	21511792	21531058	19266	transcribed_pseudogene	FOUND:rna-split	True	False	25	7151	0.371	0	1	lncRNA
ID_283	BCRP4	chr22	23052760	23058851	6091	piece-of-other	FOUND:rna-split	True	False	5	1761	0.289	0	1	other
ID_283	BCRP1	chr22	24721538	24725375	3837	pseudogene	FOUND:rna-split	True	False	8	1951	0.508	0	0	-
ID_283	AP000356.3	chr22	25106240	25114807	8567	piece-of-other	FOUND:rna-split	True	False	12	4599	0.537	0	0	-
