family	gene	locus	member_bp	fam_size	dna_best_paralog_id	dna_n_paralogs_ge90	dna_exists_in_genome	dna_pipeline_recovered	rna_recovered	rna_bucket
ID_188	HERC2P9	chr15:26366200-26461978	95778	4	0.980	4	yes	yes	yes	FOUND:rna-split
ID_113	GOLGA8M	chr15:26478664-26515105	36441	16	0.979	13	yes	yes	yes	FOUND:rna-split
ID_156	WHAMMP2	chr15:26514302-26535923	21621	5	0.971	3	yes	yes	yes	FOUND:rna-split
ID_113	GOLGA8J	chr15:27874771-27885220	10449	16	0.990	9	yes	yes	yes	FOUND:rna-split
ID_68	DNM1P28	chr15:27890545-27893814	3269	4	0.999	3	yes	yes	yes	FOUND:protein-tail
ID_179	ULK4P3	chr15:27895441-27922933	27492	3	0.995	3	yes	yes	yes	FOUND:projection
ID_113	GOLGA8T	chr15:27926870-27937297	10427	16	0.990	9	yes	yes	yes	FOUND:rna-split
ID_68	AC019322.3	chr15:28188413-28189637	1224	4	1.000	3	yes	yes	yes	FOUND:protein-tail
ID_113	GOLGA8R	chr15:28197010-28207436	10426	16	0.998	9	yes	yes	yes	FOUND:rna-split
ID_156	AC127502.1	chr15:28264052-28300871	36819	5	0.994	1	yes	yes	yes	FOUND:rna-split
ID_156	AC127502.3	chr15:28300623-28306948	6325	5	0.996	1	yes	yes	yes	FOUND:protein-tail
ID_113	GOLGA8Q	chr15:28345327-28355752	10425	16	0.998	9	yes	yes	yes	FOUND:rna-split
ID_68	DNM1P50	chr15:28361066-28364334	3268	4	0.999	3	yes	yes	yes	FOUND:projection
ID_179	ULK4P2	chr15:28365932-28393844	27912	3	1.000	3	yes	yes	yes	FOUND:rna-split
ID_113	GOLGA8H	chr15:28397319-28407743	10424	16	0.990	9	yes	yes	yes	FOUND:rna-split
ID_113	GOLGA8K	chr15:30189305-30199719	10414	16	0.990	9	yes	yes	yes	FOUND:projection
ID_179	ULK4P1	chr15:30203116-30231537	28421	3	0.997	3	yes	yes	yes	FOUND:rna-split
ID_68	DNM1P32	chr15:30233052-30236315	3263	4	0.997	3	yes	yes	yes	FOUND:protein-tail
ID_113	GOLGA8O	chr15:30238450-30252173	13723	16	0.995	9	yes	yes	yes	FOUND:rna-split
ID_156	AC135983.4	chr15:30290477-30296821	6344	5	0.996	1	yes	yes	yes	FOUND:projection
ID_113	GOLGA8N	chr15:30389923-30403785	13862	16	0.993	9	yes	yes	yes	FOUND:rna-split
ID_78	GOLGA8A	chr15:32184802-32213415	28613	5	0.994	1	yes	yes	yes	FOUND:protein-tail
ID_88	GOLGA6L10	chr15:80204111-80213595	9484	4	0.969	9	yes	yes	yes	FOUND:rna-split
ID_78	UBE2Q2P2	chr15:80219260-80284203	64943	5	0.948	2	yes	yes	yes	FOUND:rna-split
ID_88	GOLGA6L9	chr15:80294144-80303281	9137	4	0.949	6	yes	yes	yes	FOUND:rna-split
ID_481	UBE2Q2P6	chr15:80309845-80318965	9120	5	0.995	5	yes	yes	yes	FOUND:rna-split
ID_324	CSPG4P10	chr15:80323598-80341387	17789	5	0.993	3	yes	yes	yes	FOUND:rna-split
ID_481	UBE2Q2L	chr15:82038454-82054353	15899	5	1.000	5	yes	yes	yes	FOUND:rna-split
ID_324	CSPG4P11	chr15:82052722-82063358	10636	5	0.999	4	yes	yes	yes	FOUND:rna-split
ID_88	GOLGA6L4	chr15:82101780-82111483	9703	4	0.998	9	yes	yes	yes	FOUND:rna-split
ID_481	UBE2Q2P11	chr15:82117976-82127040	9064	5	0.995	5	yes	yes	yes	FOUND:rna-split
ID_324	CSPG4P4Y	chr15:82133635-82137155	3520	5	0.969	4	yes	yes	yes	FOUND:rna-split
ID_78	AC243562.1	chr15:82144483-82145499	1016	5	0.977	4	yes	yes	yes	FOUND:rna-split
ID_481	UBE2Q2P8	chr15:82169947-82170050	103	5	0.959	10	yes	yes	no	MISS:mischain
ID_324	DNM1P51	chr15:82233822-82242855	9033	5	0.999	4	yes	yes	yes	FOUND:rna-split
ID_481	UBE2Q2P12	chr15:82243926-82253037	9111	5	1.000	5	yes	yes	yes	FOUND:rna-split
ID_88	GOLGA6L5P	chr15:82260324-82269230	8906	4	0.998	8	yes	yes	yes	FOUND:rna-split
ID_78	UBE2Q2P1	chr15:82279207-82323633	44426	5	0.970	3	yes	yes	yes	FOUND:protein-tail
ID_78	AC044860.1	chr15:82932394-82986906	54512	5	0.975	2	yes	yes	yes	FOUND:rna-split
ID_324	CSPG4P12	chr15:82943632-82966101	22469	5	0.992	3	yes	yes	yes	FOUND:rna-split
ID_391	WASH3P	chr15:99730896-99745839	14943	5	0.995	7	yes	yes	yes	FOUND:rna-split
ID_332	DDX11L9	chr15:99745852-99748389	2537	6	0.996	11	yes	yes	yes	FOUND:rna-split
ID_332	DDX11L16	chr16:4785-7013	2228	6	0.999	11	yes	yes	no	MISS:not-expressed
ID_391	WASH6P	chr16:6965-11846	4881	5	0.992	9	yes	yes	no	MISS:not-expressed
ID_154	NPIPB2	chr16:11963305-12012756	49451	14	0.973	25	yes	no	yes	FOUND:rna-split
ID_154	NPIPA2	chr16:14746465-14763820	17355	14	0.982	13	yes	yes	yes	FOUND:rna-split
ID_154	NPIPP1	chr16:15105361-15124458	19097	14	0.971	29	yes	yes	yes	FOUND:rna-split
ID_154	NPIPA5	chr16:15368422-15385843	17421	14	0.978	13	yes	yes	yes	FOUND:rna-split
ID_154	NPIPA7	chr16:16391277-16406172	14895	14	0.998	26	yes	yes	yes	FOUND:rna-split
ID_154	NPIPB6	chr16:28623069-28643879	20810	14	0.985	24	yes	yes	yes	FOUND:rna-split
ID_154	NPIPB8	chr16:28737050-28758038	20988	14	0.987	24	yes	yes	yes	FOUND:rna-split
ID_154	NPIPB7	chr16:28924552-28939395	14843	14	0.997	26	yes	yes	yes	FOUND:rna-split
ID_154	NPIPB9	chr16:29032364-29053395	21031	14	0.997	24	yes	yes	yes	FOUND:rna-split
ID_154	NPIPB10P	chr16:29319787-29333871	14084	14	0.990	26	yes	yes	yes	FOUND:rna-split
ID_154	NPIPB11	chr16:29663393-29685822	22429	14	0.972	27	yes	yes	yes	FOUND:rna-split
ID_302	BOLA2B	chr16:29735379-29736755	1376	1	1.000	2	yes	yes	no	MISS:mischain
ID_154	NPIPB12	chr16:29765424-29788033	22609	14	0.991	26	yes	yes	yes	FOUND:projection
ID_474	TP53TG3D	chr16:32640147-32643352	3205	3	0.997	3	yes	yes	yes	FOUND:rna-split
ID_167	AC133548.1	chr16:32772942-32779658	6716	3	0.998	1	yes	yes	no	MISS:not-expressed
ID_26	SLC9B1P1	chr16:32804124-32821138	17014	2	0.974	7	yes	yes	no	MISS:not-expressed
ID_182	AC137800.1	chr16:33014727-33030069	15342	4	0.996	1	yes	yes	yes	FOUND:protein-tail
ID_182	AC137800.2	chr16:33033161-33036614	3453	4	0.992	1	yes	yes	yes	FOUND:protein-tail
ID_474	TP53TG3C	chr16:33087982-33090583	2601	3	1.000	3	yes	yes	yes	FOUND:rna-split
ID_474	TP53TG3B	chr16:33607931-33611137	3206	3	1.000	3	yes	yes	yes	FOUND:rna-split
ID_167	AC136944.3	chr16:33739351-33747637	8286	3	0.998	4	yes	yes	yes	FOUND:rna-split
ID_148	AC142384.1	chr16:34884759-34929924	45165	2	0.979	2	yes	yes	no	MISS:mischain
ID_154	NPIPB14P	chr16:75785804-75805631	19827	14	0.962	23	yes	yes	yes	FOUND:rna-split
ID_154	NPIPB15	chr16:80195643-80209850	14207	14	0.995	26	yes	no	yes	FOUND:rna-split
ID_14	AC005562.2	chr17:31562334-31562446	112	7	1.000	9	yes	yes	yes	FOUND:rna-split
ID_14	LRRC37BP1	chr17:31574334-31581958	7624	7	0.984	2	yes	yes	yes	FOUND:rna-split
ID_14	LRRC37B	chr17:32953747-32999386	45639	7	0.986	4	yes	yes	yes	FOUND:rna-split
ID_14	AC090616.5	chr17:33034040-33040757	6717	7	0.980	2	yes	yes	yes	FOUND:rna-split
ID_92	AC243829.7	chr17:37109490-37110818	1328	2	0.988	6	yes	yes	no	MISS:not-expressed
ID_468	TBC1D3B	chr17:37113571-37124508	10937	9	0.996	10	yes	yes	yes	FOUND:rna-split
ID_468	TBC1D3I	chr17:37201376-37212474	11098	9	0.995	10	yes	yes	yes	FOUND:projection
ID_209	AC233699.1	chr17:37222112-37268486	46374	3	0.997	2	yes	yes	yes	FOUND:rna-split
ID_468	TBC1D3H	chr17:37325491-37336389	10898	9	0.996	10	yes	yes	yes	FOUND:rna-split
ID_222	AC243829.6	chr17:37415116-37415223	107	1	1.000	10	yes	yes	no	MISS:mischain
ID_468	TBC1D3K	chr17:38911393-38922345	10952	9	0.998	10	yes	yes	yes	FOUND:rna-split
ID_468	TBC1D3D	chr17:38965110-38976061	10951	9	0.998	10	yes	yes	yes	FOUND:rna-split
ID_468	TBC1D3E	chr17:38991013-39001923	10910	9	0.998	10	yes	yes	yes	FOUND:rna-split
ID_468	TBC1D3	chr17:39044721-39055611	10890	9	0.997	10	yes	yes	yes	FOUND:rna-split
ID_209	NPEPPSP1	chr17:39058772-39120206	61434	3	0.996	4	yes	yes	yes	FOUND:rna-split
ID_14	LRRC37A	chr17:47154742-47199790	45048	7	0.988	5	yes	yes	yes	FOUND:protein-tail
ID_14	LRRC37A2	chr17:47373158-47417300	44142	7	0.988	5	yes	yes	yes	FOUND:protein-tail
ID_209	NPEPPS	chr17:48385624-48486670	101046	3	0.976	4	yes	yes	yes	FOUND:rna-split
ID_468	TBC1D3P1	chr17:60877165-60886227	9062	9	0.987	10	yes	yes	yes	FOUND:rna-split
ID_92	AC053481.4	chr17:63130560-63131864	1304	2	0.990	6	yes	yes	no	MISS:not-expressed
ID_468	TBC1D3P2	chr17:63134634-63145601	10967	9	0.987	10	yes	yes	yes	FOUND:rna-split
ID_14	LRRC37A3	chr17:65724068-65789437	65369	7	0.973	5	yes	yes	yes	FOUND:projection
ID_359	FGF7P1	chr18:15048958-15050337	1379	5	0.988	8	yes	yes	yes	FOUND:protein-tail
ID_332	DDX11L10	chr19:4458-6260	1802	6	0.996	11	yes	yes	yes	FOUND:protein-tail
ID_175	TEKT4P2	chr21:5692610-5754003	61393	2	0.965	9	yes	yes	no	MISS:mischain
ID_22	BAGE2	chr21:10610346-10714100	103754	6	0.986	16	yes	yes	yes	FOUND:rna-split
ID_147	ANKRD30BP2	chr21:11382453-11411385	28932	4	0.978	3	yes	yes	yes	FOUND:rna-split
ID_359	FGF7P2	chr21:11693615-11695000	1385	5	0.988	6	yes	yes	yes	FOUND:projection
ID_175	AC134878.2	chr22:5801017-5862418	61401	2	0.969	9	yes	yes	no	MISS:genuine-miss
ID_411	OR11H1	chr22:16102172-16103154	982	3	0.994	3	yes	yes	no	MISS:not-expressed
ID_65	AP000534.2	chr22:16115445-16152024	36579	9	0.994	3	yes	yes	yes	FOUND:rna-split
ID_403	NF1P11	chr22:16196565-16203867	7302	3	0.997	3	yes	yes	yes	FOUND:rna-split
ID_300	BMS1P22	chr22:16379167-16394790	15623	2	0.995	2	yes	yes	yes	FOUND:rna-split
ID_283	BCRP7	chr22:18941056-18944077	3021	5	0.991	6	yes	yes	yes	FOUND:rna-split
ID_283	BCRP2	chr22:21511792-21531058	19266	5	0.993	9	yes	yes	yes	FOUND:rna-split
ID_283	BCRP4	chr22:23052760-23058851	6091	5	0.978	7	yes	yes	yes	FOUND:rna-split
ID_283	BCRP1	chr22:24721538-24725375	3837	5	0.977	7	yes	yes	yes	FOUND:rna-split
ID_283	AP000356.3	chr22:25106240-25114807	8567	5	0.981	9	yes	yes	yes	FOUND:rna-split
